ID;TaxesAndSocialContributions;Periods;TaxesAndSocialContributions_1
7913;Withholding tax on interest, royalties  ;1999 4th quarter;
7914;Withholding tax on interest, royalties  ;1999;0.0
7915;Withholding tax on interest, royalties  ;2000 1st quarter;
7916;Withholding tax on interest, royalties  ;2000 2nd quarter;
7917;Withholding tax on interest, royalties  ;2000 3rd quarter;
7918;Withholding tax on interest, royalties  ;2000 4th quarter;
7919;Withholding tax on interest, royalties  ;2000;0.0
7920;Withholding tax on interest, royalties  ;2001 1st quarter;
7921;Withholding tax on interest, royalties  ;2001 2nd quarter;
7922;Withholding tax on interest, royalties  ;2001 3rd quarter;
7923;Withholding tax on interest, royalties  ;2001 4th quarter;
7924;Withholding tax on interest, royalties  ;2001;0.0
7925;Withholding tax on interest, royalties  ;2002 1st quarter;
7926;Withholding tax on interest, royalties  ;2002 2nd quarter;
7927;Withholding tax on interest, royalties  ;2002 3rd quarter;
7928;Withholding tax on interest, royalties  ;2002 4th quarter;
7929;Withholding tax on interest, royalties  ;2002;0.0
7930;Withholding tax on interest, royalties  ;2003 1st quarter;
7931;Withholding tax on interest, royalties  ;2003 2nd quarter;
7932;Withholding tax on interest, royalties  ;2003 3rd quarter;
7933;Withholding tax on interest, royalties  ;2003 4th quarter;
7934;Withholding tax on interest, royalties  ;2003;0.0
7935;Withholding tax on interest, royalties  ;2004 1st quarter;
7936;Withholding tax on interest, royalties  ;2004 2nd quarter;
7937;Withholding tax on interest, royalties  ;2004 3rd quarter;
7938;Withholding tax on interest, royalties  ;2004 4th quarter;
7939;Withholding tax on interest, royalties  ;2004;0.0
7940;Withholding tax on interest, royalties  ;2005 1st quarter;
7941;Withholding tax on interest, royalties  ;2005 2nd quarter;
7942;Withholding tax on interest, royalties  ;2005 3rd quarter;
7943;Withholding tax on interest, royalties  ;2005 4th quarter;
7944;Withholding tax on interest, royalties  ;2005;0.0
7945;Withholding tax on interest, royalties  ;2006 1st quarter;
7946;Withholding tax on interest, royalties  ;2006 2nd quarter;
7947;Withholding tax on interest, royalties  ;2006 3rd quarter;
7948;Withholding tax on interest, royalties  ;2006 4th quarter;
7949;Withholding tax on interest, royalties  ;2006;0.0
7950;Withholding tax on interest, royalties  ;2007 1st quarter;
7951;Withholding tax on interest, royalties  ;2007 2nd quarter;
7952;Withholding tax on interest, royalties  ;2007 3rd quarter;
7953;Withholding tax on interest, royalties  ;2007 4th quarter;
7954;Withholding tax on interest, royalties  ;2007;0.0
7955;Withholding tax on interest, royalties  ;2008 1st quarter;0.0
7956;Withholding tax on interest, royalties  ;2008 2nd quarter;0.0
7957;Withholding tax on interest, royalties  ;2008 3rd quarter;0.0
7958;Withholding tax on interest, royalties  ;2008 4th quarter;0.0
7959;Withholding tax on interest, royalties  ;2008;0.0
7960;Withholding tax on interest, royalties  ;2009 1st quarter;0.0
7961;Withholding tax on interest, royalties  ;2009 2nd quarter;0.0
7962;Withholding tax on interest, royalties  ;2009 3rd quarter;0.0
7963;Withholding tax on interest, royalties  ;2009 4th quarter;0.0
7964;Withholding tax on interest, royalties  ;2009;0.0
7965;Withholding tax on interest, royalties  ;2010 1st quarter;0.0
7966;Withholding tax on interest, royalties  ;2010 2nd quarter;0.0
7967;Withholding tax on interest, royalties  ;2010 3rd quarter;0.0
7968;Withholding tax on interest, royalties  ;2010 4th quarter;0.0
7969;Withholding tax on interest, royalties  ;2010;0.0
7970;Withholding tax on interest, royalties  ;2011 1st quarter;0.0
7971;Withholding tax on interest, royalties  ;2011 2nd quarter;0.0
7972;Withholding tax on interest, royalties  ;2011 3rd quarter;0.0
7973;Withholding tax on interest, royalties  ;2011 4th quarter;0.0
7974;Withholding tax on interest, royalties  ;2011;0.0
7975;Withholding tax on interest, royalties  ;2012 1st quarter;0.0
7976;Withholding tax on interest, royalties  ;2012 2nd quarter;0.0
7977;Withholding tax on interest, royalties  ;2012 3rd quarter;0.0
7978;Withholding tax on interest, royalties  ;2012 4th quarter;0.0
7979;Withholding tax on interest, royalties  ;2012;0.0
7980;Withholding tax on interest, royalties  ;2013 1st quarter;0.0
7981;Withholding tax on interest, royalties  ;2013 2nd quarter;0.0
7982;Withholding tax on interest, royalties  ;2013 3rd quarter;0.0
7983;Withholding tax on interest, royalties  ;2013 4th quarter;0.0
7984;Withholding tax on interest, royalties  ;2013;0.0
7985;Withholding tax on interest, royalties  ;2014 1st quarter;0.0
7986;Withholding tax on interest, royalties  ;2014 2nd quarter;0.0
7987;Withholding tax on interest, royalties  ;2014 3rd quarter;0.0
7988;Withholding tax on interest, royalties  ;2014 4th quarter;0.0
7989;Withholding tax on interest, royalties  ;2014;0.0
7990;Withholding tax on interest, royalties  ;2015 1st quarter;0.0
7991;Withholding tax on interest, royalties  ;2015 2nd quarter;0.0
7992;Withholding tax on interest, royalties  ;2015 3rd quarter;0.0
7993;Withholding tax on interest, royalties  ;2015 4th quarter;0.0
7994;Withholding tax on interest, royalties  ;2015;0.0
7995;Withholding tax on interest, royalties  ;2016 1st quarter;0.0
7996;Withholding tax on interest, royalties  ;2016 2nd quarter;0.0
7997;Withholding tax on interest, royalties  ;2016 3rd quarter;0.0
7998;Withholding tax on interest, royalties  ;2016 4th quarter;0.0
7999;Withholding tax on interest, royalties  ;2016;0.0
8000;Withholding tax on interest, royalties  ;2017 1st quarter;0.0
8001;Withholding tax on interest, royalties  ;2017 2nd quarter;0.0
8002;Withholding tax on interest, royalties  ;2017 3rd quarter;0.0
8003;Withholding tax on interest, royalties  ;2017 4th quarter;0.0
8004;Withholding tax on interest, royalties  ;2017;0.0
8005;Withholding tax on interest, royalties  ;2018 1st quarter;0.0
8006;Withholding tax on interest, royalties  ;2018 2nd quarter;0.0
8007;Withholding tax on interest, royalties  ;2018 3rd quarter;0.0
8008;Withholding tax on interest, royalties  ;2018 4th quarter;0.0
8009;Withholding tax on interest, royalties  ;2018;0.0
8010;Withholding tax on interest, royalties  ;2019 1st quarter;0.0
8011;Withholding tax on interest, royalties  ;2019 2nd quarter;0.0
8012;Withholding tax on interest, royalties  ;2019 3rd quarter;0.0
8013;Withholding tax on interest, royalties  ;2019 4th quarter;0.0
8014;Withholding tax on interest, royalties  ;2019;0.0
8015;Withholding tax on interest, royalties  ;2020 1st quarter;0.0
8016;Withholding tax on interest, royalties  ;2020 2nd quarter;0.0
8017;Withholding tax on interest, royalties  ;2020 3rd quarter;0.0
8018;Withholding tax on interest, royalties  ;2020 4th quarter;0.0
8019;Withholding tax on interest, royalties  ;2020;0.0
8020;Withholding tax on interest, royalties  ;2021 1st quarter;10.0
8021;Withholding tax on interest, royalties  ;2021 2nd quarter;11.0
8022;Withholding tax on interest, royalties  ;2021 3rd quarter;11.0
8023;Withholding tax on interest, royalties  ;2021 4th quarter;11.0
8024;Withholding tax on interest, royalties  ;2021;43.0
8025;Withholding tax on interest, royalties  ;2022 1st quarter;14.0
8026;Withholding tax on interest, royalties  ;2022 2nd quarter;14.0
8027;Withholding tax on interest, royalties  ;2022 3rd quarter;14.0
8028;Withholding tax on interest, royalties  ;2022 4th quarter;15.0
8029;Withholding tax on interest, royalties  ;2022;57.0
8030;Withholding tax on interest, royalties  ;2023 1st quarter;26.0
8031;Withholding tax on interest, royalties  ;2023 2nd quarter;26.0
8032;Withholding tax on interest, royalties  ;2023 3rd quarter;27.0
8033;Withholding tax on interest, royalties  ;2023 4th quarter;27.0
8034;Withholding tax on interest, royalties  ;2023;106.0
8035;Withholding tax on interest, royalties  ;2024 1st quarter;31.0
8036;Withholding tax on interest, royalties  ;2024 2nd quarter;31.0
8037;Withholding tax on interest, royalties  ;2024 3rd quarter;31.0
8038;Withholding tax on interest, royalties  ;2024 4th quarter;30.0
8039;Withholding tax on interest, royalties  ;2024;123.0
8040;Other taxes;1995;43.0
8041;Other taxes;1996;29.0
8042;Other taxes;1997;29.0
8043;Other taxes;1998;32.0
8044;Other taxes;1999 1st quarter;
8045;Other taxes;1999 2nd quarter;
8046;Other taxes;1999 3rd quarter;
8047;Other taxes;1999 4th quarter;
8048;Other taxes;1999;31.0
8049;Other taxes;2000 1st quarter;
8050;Other taxes;2000 2nd quarter;
8051;Other taxes;2000 3rd quarter;
8052;Other taxes;2000 4th quarter;
8053;Other taxes;2000;356.0
8054;Other taxes;2001 1st quarter;
8055;Other taxes;2001 2nd quarter;
8056;Other taxes;2001 3rd quarter;
8057;Other taxes;2001 4th quarter;
8058;Other taxes;2001;45.0
8059;Other taxes;2002 1st quarter;
8060;Other taxes;2002 2nd quarter;
8061;Other taxes;2002 3rd quarter;
8062;Other taxes;2002 4th quarter;
8063;Other taxes;2002;74.0
8064;Other taxes;2003 1st quarter;
8065;Other taxes;2003 2nd quarter;
8066;Other taxes;2003 3rd quarter;
8067;Other taxes;2003 4th quarter;
8068;Other taxes;2003;28.0
8069;Other taxes;2004 1st quarter;
8070;Other taxes;2004 2nd quarter;
8071;Other taxes;2004 3rd quarter;
8072;Other taxes;2004 4th quarter;
8073;Other taxes;2004;-19.0
8074;Other taxes;2005 1st quarter;
8075;Other taxes;2005 2nd quarter;
8076;Other taxes;2005 3rd quarter;
8077;Other taxes;2005 4th quarter;
8078;Other taxes;2005;47.0
8079;Other taxes;2006 1st quarter;
8080;Other taxes;2006 2nd quarter;
8081;Other taxes;2006 3rd quarter;
8082;Other taxes;2006 4th quarter;
8083;Other taxes;2006;-38.0
8084;Other taxes;2007 1st quarter;
8085;Other taxes;2007 2nd quarter;
8086;Other taxes;2007 3rd quarter;
8087;Other taxes;2007 4th quarter;
8088;Other taxes;2007;149.0
8089;Other taxes;2008 1st quarter;56.0
8090;Other taxes;2008 2nd quarter;54.0
8091;Other taxes;2008 3rd quarter;7.0
8092;Other taxes;2008 4th quarter;-22.0
8093;Other taxes;2008;95.0
8094;Other taxes;2009 1st quarter;21.0
8095;Other taxes;2009 2nd quarter;5.0
8096;Other taxes;2009 3rd quarter;13.0
8097;Other taxes;2009 4th quarter;8.0
8098;Other taxes;2009;47.0
8099;Other taxes;2010 1st quarter;8.0
8100;Other taxes;2010 2nd quarter;-38.0
8101;Other taxes;2010 3rd quarter;46.0
8102;Other taxes;2010 4th quarter;-2.0
8103;Other taxes;2010;14.0
8104;Other taxes;2011 1st quarter;37.0
8105;Other taxes;2011 2nd quarter;1.0
8106;Other taxes;2011 3rd quarter;18.0
8107;Other taxes;2011 4th quarter;-40.0
8108;Other taxes;2011;16.0
8109;Other taxes;2012 1st quarter;42.0
8110;Other taxes;2012 2nd quarter;20.0
8111;Other taxes;2012 3rd quarter;45.0
8112;Other taxes;2012 4th quarter;-71.0
8113;Other taxes;2012;36.0
8114;Other taxes;2013 1st quarter;34.0
8115;Other taxes;2013 2nd quarter;5.0
8116;Other taxes;2013 3rd quarter;27.0
8117;Other taxes;2013 4th quarter;14.0
8118;Other taxes;2013;80.0
8119;Other taxes;2014 1st quarter;23.0
8120;Other taxes;2014 2nd quarter;42.0
8121;Other taxes;2014 3rd quarter;52.0
8122;Other taxes;2014 4th quarter;25.0
8123;Other taxes;2014;142.0
8124;Other taxes;2015 1st quarter;10.0
8125;Other taxes;2015 2nd quarter;32.0
8126;Other taxes;2015 3rd quarter;0.0
8127;Other taxes;2015 4th quarter;38.0
8128;Other taxes;2015;80.0
8129;Other taxes;2016 1st quarter;46.0
8130;Other taxes;2016 2nd quarter;20.0
8131;Other taxes;2016 3rd quarter;55.0
8132;Other taxes;2016 4th quarter;-82.0
8133;Other taxes;2016;39.0
8134;Other taxes;2017 1st quarter;33.0
8135;Other taxes;2017 2nd quarter;36.0
8136;Other taxes;2017 3rd quarter;45.0
8137;Other taxes;2017 4th quarter;52.0
8138;Other taxes;2017;166.0
8139;Other taxes;2018 1st quarter;-22.0
8140;Other taxes;2018 2nd quarter;21.0
8141;Other taxes;2018 3rd quarter;47.0
8142;Other taxes;2018 4th quarter;60.0
8143;Other taxes;2018;106.0
8144;Other taxes;2019 1st quarter;12.0
8145;Other taxes;2019 2nd quarter;46.0
8146;Other taxes;2019 3rd quarter;46.0
8147;Other taxes;2019 4th quarter;26.0
8148;Other taxes;2019;130.0
8149;Other taxes;2020 1st quarter;48.0
8150;Other taxes;2020 2nd quarter;85.0
8151;Other taxes;2020 3rd quarter;47.0
8152;Other taxes;2020 4th quarter;-18.0
8153;Other taxes;2020;162.0
8154;Other taxes;2021 1st quarter;-19.0
8155;Other taxes;2021 2nd quarter;-33.0
8156;Other taxes;2021 3rd quarter;28.0
8157;Other taxes;2021 4th quarter;10.0
8158;Other taxes;2021;-14.0
8159;Other taxes;2022 1st quarter;23.0
8160;Other taxes;2022 2nd quarter;32.0
8161;Other taxes;2022 3rd quarter;43.0
8162;Other taxes;2022 4th quarter;64.0
8163;Other taxes;2022;162.0
8164;Other taxes;2023 1st quarter;18.0
8165;Other taxes;2023 2nd quarter;62.0
8166;Other taxes;2023 3rd quarter;36.0
8167;Other taxes;2023 4th quarter;61.0
8168;Other taxes;2023;177.0
8169;Other taxes;2024 1st quarter;-12.0
8170;Other taxes;2024 2nd quarter;10.0
8171;Other taxes;2024 3rd quarter;31.0
8172;Other taxes;2024 4th quarter;63.0
8173;Other taxes;2024;92.0
8174;Total social contributions;1995;49722.0
8175;Total social contributions;1996;49856.0
8176;Total social contributions;1997;52661.0
8177;Total social contributions;1998;56138.0
8178;Total social contributions;1999 1st quarter;15179.0
8179;Total social contributions;1999 2nd quarter;16607.0
8180;Total social contributions;1999 3rd quarter;14357.0
8181;Total social contributions;1999 4th quarter;15699.0
8182;Total social contributions;1999;61842.0
8183;Total social contributions;2000 1st quarter;15767.0
8184;Total social contributions;2000 2nd quarter;18175.0
8185;Total social contributions;2000 3rd quarter;15237.0
8186;Total social contributions;2000 4th quarter;17197.0
8187;Total social contributions;2000;66376.0
8188;Total social contributions;2001 1st quarter;16522.0
8189;Total social contributions;2001 2nd quarter;17174.0
8190;Total social contributions;2001 3rd quarter;14745.0
8191;Total social contributions;2001 4th quarter;16575.0
8192;Total social contributions;2001;65016.0
8193;Total social contributions;2002 1st quarter;17156.0
8194;Total social contributions;2002 2nd quarter;15695.0
8195;Total social contributions;2002 3rd quarter;15492.0
8196;Total social contributions;2002 4th quarter;16460.0
8197;Total social contributions;2002;64803.0
8198;Total social contributions;2003 1st quarter;18210.0
8199;Total social contributions;2003 2nd quarter;18190.0
8200;Total social contributions;2003 3rd quarter;15523.0
8201;Total social contributions;2003 4th quarter;18279.0
8202;Total social contributions;2003;70202.0
8203;Total social contributions;2004 1st quarter;18268.0
8204;Total social contributions;2004 2nd quarter;16865.0
8205;Total social contributions;2004 3rd quarter;16806.0
8206;Total social contributions;2004 4th quarter;18642.0
8207;Total social contributions;2004;70581.0
8208;Total social contributions;2005 1st quarter;18152.0
8209;Total social contributions;2005 2nd quarter;16880.0
8210;Total social contributions;2005 3rd quarter;16436.0
8211;Total social contributions;2005 4th quarter;20254.0
8212;Total social contributions;2005;71722.0
8213;Total social contributions;2006 1st quarter;20313.0
8214;Total social contributions;2006 2nd quarter;19415.0
8215;Total social contributions;2006 3rd quarter;18883.0
8216;Total social contributions;2006 4th quarter;22920.0
8217;Total social contributions;2006;81531.0
8218;Total social contributions;2007 1st quarter;21160.0
8219;Total social contributions;2007 2nd quarter;19404.0
8220;Total social contributions;2007 3rd quarter;18673.0
8221;Total social contributions;2007 4th quarter;22731.0
8222;Total social contributions;2007;81968.0
8223;Total social contributions;2008 1st quarter;23700.0
8224;Total social contributions;2008 2nd quarter;21196.0
8225;Total social contributions;2008 3rd quarter;16255.0
8226;Total social contributions;2008 4th quarter;24635.0
8227;Total social contributions;2008;85786.0
8228;Total social contributions;2009 1st quarter;22452.0
8229;Total social contributions;2009 2nd quarter;18165.0
8230;Total social contributions;2009 3rd quarter;19816.0
8231;Total social contributions;2009 4th quarter;22789.0
8232;Total social contributions;2009;83222.0
8233;Total social contributions;2010 1st quarter;22081.0
8234;Total social contributions;2010 2nd quarter;21244.0
8235;Total social contributions;2010 3rd quarter;19860.0
8236;Total social contributions;2010 4th quarter;24689.0
8237;Total social contributions;2010;87874.0
8238;Total social contributions;2011 1st quarter;23623.0
8239;Total social contributions;2011 2nd quarter;19707.0
8240;Total social contributions;2011 3rd quarter;21407.0
8241;Total social contributions;2011 4th quarter;24460.0
8242;Total social contributions;2011;89197.0
8243;Total social contributions;2012 1st quarter;24147.0
8244;Total social contributions;2012 2nd quarter;21467.0
8245;Total social contributions;2012 3rd quarter;21504.0
8246;Total social contributions;2012 4th quarter;25426.0
8247;Total social contributions;2012;92544.0
8248;Total social contributions;2013 1st quarter;25207.0
8249;Total social contributions;2013 2nd quarter;23040.0
8250;Total social contributions;2013 3rd quarter;22990.0
8251;Total social contributions;2013 4th quarter;24730.0
8252;Total social contributions;2013;95967.0
8253;Total social contributions;2014 1st quarter;25322.0
8254;Total social contributions;2014 2nd quarter;22143.0
8255;Total social contributions;2014 3rd quarter;22621.0
8256;Total social contributions;2014 4th quarter;26457.0
8257;Total social contributions;2014;96543.0
8258;Total social contributions;2015 1st quarter;25077.0
8259;Total social contributions;2015 2nd quarter;19184.0
8260;Total social contributions;2015 3rd quarter;23031.0
8261;Total social contributions;2015 4th quarter;28187.0
8262;Total social contributions;2015;95479.0
8263;Total social contributions;2016 1st quarter;26384.0
8264;Total social contributions;2016 2nd quarter;24415.0
8265;Total social contributions;2016 3rd quarter;25278.0
8266;Total social contributions;2016 4th quarter;27810.0
8267;Total social contributions;2016;103887.0
8268;Total social contributions;2017 1st quarter;24928.0
8269;Total social contributions;2017 2nd quarter;25141.0
8270;Total social contributions;2017 3rd quarter;26412.0
8271;Total social contributions;2017 4th quarter;28332.0
8272;Total social contributions;2017;104813.0
8273;Total social contributions;2018 1st quarter;26144.0
8274;Total social contributions;2018 2nd quarter;30610.0
8275;Total social contributions;2018 3rd quarter;25929.0
8276;Total social contributions;2018 4th quarter;28749.0
8277;Total social contributions;2018;111432.0
8278;Total social contributions;2019 1st quarter;25427.0
8279;Total social contributions;2019 2nd quarter;32148.0
8280;Total social contributions;2019 3rd quarter;27049.0
8281;Total social contributions;2019 4th quarter;30007.0
8282;Total social contributions;2019;114631.0
8283;Total social contributions;2020 1st quarter;23469.0
8284;Total social contributions;2020 2nd quarter;34792.0
8285;Total social contributions;2020 3rd quarter;26061.0
8286;Total social contributions;2020 4th quarter;29991.0
8287;Total social contributions;2020;114313.0
8288;Total social contributions;2021 1st quarter;25516.0
8289;Total social contributions;2021 2nd quarter;37977.0
8290;Total social contributions;2021 3rd quarter;24526.0
8291;Total social contributions;2021 4th quarter;28822.0
8292;Total social contributions;2021;116841.0
8293;Total social contributions;2022 1st quarter;26690.0
8294;Total social contributions;2022 2nd quarter;37438.0
8295;Total social contributions;2022 3rd quarter;28363.0
8296;Total social contributions;2022 4th quarter;31972.0
8297;Total social contributions;2022;124463.0
8298;Total social contributions;2023 1st quarter;27742.0
8299;Total social contributions;2023 2nd quarter;39445.0
8300;Total social contributions;2023 3rd quarter;28237.0
8301;Total social contributions;2023 4th quarter;33778.0
8302;Total social contributions;2023;129202.0
8303;Total social contributions;2024 1st quarter;29988.0
8304;Total social contributions;2024 2nd quarter;39326.0
8305;Total social contributions;2024 3rd quarter;29407.0
8306;Total social contributions;2024 4th quarter;36620.0
8307;Total social contributions;2024;135341.0
8308;Childcare Act;1995;0.0
8309;Childcare Act;1996;0.0
8310;Childcare Act;1997;0.0
8311;Childcare Act;1998;0.0
8312;Childcare Act;1999 1st quarter;0.0
8313;Childcare Act;1999 2nd quarter;0.0
8314;Childcare Act;1999 3rd quarter;0.0
8315;Childcare Act;1999 4th quarter;0.0
8316;Childcare Act;1999;0.0
8317;Childcare Act;2000 1st quarter;0.0
8318;Childcare Act;2000 2nd quarter;0.0
8319;Childcare Act;2000 3rd quarter;0.0
8320;Childcare Act;2000 4th quarter;0.0
8321;Childcare Act;2000;0.0
8322;Childcare Act;2001 1st quarter;0.0
8323;Childcare Act;2001 2nd quarter;0.0
8324;Childcare Act;2001 3rd quarter;0.0
8325;Childcare Act;2001 4th quarter;0.0
8326;Childcare Act;2001;0.0
8327;Childcare Act;2002 1st quarter;0.0
8328;Childcare Act;2002 2nd quarter;0.0
8329;Childcare Act;2002 3rd quarter;0.0
8330;Childcare Act;2002 4th quarter;0.0
8331;Childcare Act;2002;0.0
8332;Childcare Act;2003 1st quarter;0.0
8333;Childcare Act;2003 2nd quarter;0.0
8334;Childcare Act;2003 3rd quarter;0.0
8335;Childcare Act;2003 4th quarter;0.0
8336;Childcare Act;2003;0.0
8337;Childcare Act;2004 1st quarter;0.0
8338;Childcare Act;2004 2nd quarter;0.0
8339;Childcare Act;2004 3rd quarter;0.0
8340;Childcare Act;2004 4th quarter;0.0
8341;Childcare Act;2004;0.0
8342;Childcare Act;2005 1st quarter;0.0
8343;Childcare Act;2005 2nd quarter;0.0
8344;Childcare Act;2005 3rd quarter;0.0
8345;Childcare Act;2005 4th quarter;0.0
8346;Childcare Act;2005;0.0
8347;Childcare Act;2006 1st quarter;0.0
8348;Childcare Act;2006 2nd quarter;0.0
8349;Childcare Act;2006 3rd quarter;0.0
8350;Childcare Act;2006 4th quarter;0.0
8351;Childcare Act;2006;0.0
8352;Childcare Act;2007 1st quarter;138.0
8353;Childcare Act;2007 2nd quarter;127.0
8354;Childcare Act;2007 3rd quarter;126.0
8355;Childcare Act;2007 4th quarter;131.0
8356;Childcare Act;2007;522.0
8357;Childcare Act;2008 1st quarter;172.0
8358;Childcare Act;2008 2nd quarter;168.0
8359;Childcare Act;2008 3rd quarter;154.0
8360;Childcare Act;2008 4th quarter;178.0
8361;Childcare Act;2008;672.0
8362;Childcare Act;2009 1st quarter;189.0
8363;Childcare Act;2009 2nd quarter;162.0
8364;Childcare Act;2009 3rd quarter;159.0
8365;Childcare Act;2009 4th quarter;176.0
8366;Childcare Act;2009;686.0
8367;Childcare Act;2010 1st quarter;195.0
8368;Childcare Act;2010 2nd quarter;166.0
8369;Childcare Act;2010 3rd quarter;173.0
8370;Childcare Act;2010 4th quarter;175.0
8371;Childcare Act;2010;709.0
8372;Childcare Act;2011 1st quarter;159.0
8373;Childcare Act;2011 2nd quarter;203.0
8374;Childcare Act;2011 3rd quarter;160.0
8375;Childcare Act;2011 4th quarter;188.0
8376;Childcare Act;2011;710.0
8377;Childcare Act;2012 1st quarter;238.0
8378;Childcare Act;2012 2nd quarter;295.0
8379;Childcare Act;2012 3rd quarter;246.0
8380;Childcare Act;2012 4th quarter;273.0
8381;Childcare Act;2012;1052.0
8382;Childcare Act;2013 1st quarter;245.0
8383;Childcare Act;2013 2nd quarter;296.0
8384;Childcare Act;2013 3rd quarter;251.0
8385;Childcare Act;2013 4th quarter;281.0
8386;Childcare Act;2013;1073.0
8387;Childcare Act;2014 1st quarter;240.0
8388;Childcare Act;2014 2nd quarter;296.0
8389;Childcare Act;2014 3rd quarter;241.0
8390;Childcare Act;2014 4th quarter;275.0
8391;Childcare Act;2014;1052.0
8392;Childcare Act;2015 1st quarter;247.0
8393;Childcare Act;2015 2nd quarter;306.0
8394;Childcare Act;2015 3rd quarter;248.0
8395;Childcare Act;2015 4th quarter;282.0
8396;Childcare Act;2015;1083.0
8397;Childcare Act;2016 1st quarter;254.0
8398;Childcare Act;2016 2nd quarter;316.0
8399;Childcare Act;2016 3rd quarter;259.0
8400;Childcare Act;2016 4th quarter;291.0
8401;Childcare Act;2016;1120.0
8402;Childcare Act;2017 1st quarter;262.0
8403;Childcare Act;2017 2nd quarter;322.0
8404;Childcare Act;2017 3rd quarter;269.0
8405;Childcare Act;2017 4th quarter;300.0
8406;Childcare Act;2017;1153.0
8407;Childcare Act;2018 1st quarter;273.0
8408;Childcare Act;2018 2nd quarter;335.0
8409;Childcare Act;2018 3rd quarter;282.0
8410;Childcare Act;2018 4th quarter;316.0
8411;Childcare Act;2018;1206.0
8412;Childcare Act;2019 1st quarter;285.0
8413;Childcare Act;2019 2nd quarter;350.0
8414;Childcare Act;2019 3rd quarter;301.0
8415;Childcare Act;2019 4th quarter;326.0
8416;Childcare Act;2019;1262.0
8417;Childcare Act;2020 1st quarter;286.0
8418;Childcare Act;2020 2nd quarter;354.0
8419;Childcare Act;2020 3rd quarter;300.0
8420;Childcare Act;2020 4th quarter;353.0
8421;Childcare Act;2020;1293.0
8422;Childcare Act;2021 1st quarter;303.0
8423;Childcare Act;2021 2nd quarter;371.0
8424;Childcare Act;2021 3rd quarter;318.0
8425;Childcare Act;2021 4th quarter;356.0
8426;Childcare Act;2021;1348.0
8427;Childcare Act;2022 1st quarter;323.0
8428;Childcare Act;2022 2nd quarter;398.0
8429;Childcare Act;2022 3rd quarter;339.0
8430;Childcare Act;2022 4th quarter;374.0
8431;Childcare Act;2022;1434.0
8432;Childcare Act;2023 1st quarter;348.0
8433;Childcare Act;2023 2nd quarter;440.0
8434;Childcare Act;2023 3rd quarter;367.0
8435;Childcare Act;2023 4th quarter;415.0
8436;Childcare Act;2023;1570.0
8437;Childcare Act;2024 1st quarter;381.0
8438;Childcare Act;2024 2nd quarter;470.0
8439;Childcare Act;2024 3rd quarter;398.0
8440;Childcare Act;2024 4th quarter;452.0
8441;Childcare Act;2024;1701.0
8442;Compulsory Health Insurance Fund;1995;5393.0
8443;Compulsory Health Insurance Fund;1996;7723.0
8444;Compulsory Health Insurance Fund;1997;7699.0
8445;Compulsory Health Insurance Fund;1998;8269.0
8446;Compulsory Health Insurance Fund;1999 1st quarter;2066.0
8447;Compulsory Health Insurance Fund;1999 2nd quarter;2770.0
8448;Compulsory Health Insurance Fund;1999 3rd quarter;2289.0
8449;Compulsory Health Insurance Fund;1999 4th quarter;2794.0
8450;Compulsory Health Insurance Fund;1999;9919.0
8451;Compulsory Health Insurance Fund;2000 1st quarter;2648.0
8452;Compulsory Health Insurance Fund;2000 2nd quarter;3458.0
8453;Compulsory Health Insurance Fund;2000 3rd quarter;2838.0
8454;Compulsory Health Insurance Fund;2000 4th quarter;2337.0
8455;Compulsory Health Insurance Fund;2000;11281.0
8456;Compulsory Health Insurance Fund;2001 1st quarter;3155.0
8457;Compulsory Health Insurance Fund;2001 2nd quarter;2791.0
8458;Compulsory Health Insurance Fund;2001 3rd quarter;2720.0
8459;Compulsory Health Insurance Fund;2001 4th quarter;2781.0
8460;Compulsory Health Insurance Fund;2001;11447.0
8461;Compulsory Health Insurance Fund;2002 1st quarter;3385.0
8462;Compulsory Health Insurance Fund;2002 2nd quarter;2870.0
8463;Compulsory Health Insurance Fund;2002 3rd quarter;2724.0
8464;Compulsory Health Insurance Fund;2002 4th quarter;2667.0
8465;Compulsory Health Insurance Fund;2002;11646.0
8466;Compulsory Health Insurance Fund;2003 1st quarter;4158.0
8467;Compulsory Health Insurance Fund;2003 2nd quarter;4539.0
8468;Compulsory Health Insurance Fund;2003 3rd quarter;2542.0
8469;Compulsory Health Insurance Fund;2003 4th quarter;2900.0
8470;Compulsory Health Insurance Fund;2003;14139.0
8471;Compulsory Health Insurance Fund;2004 1st quarter;3393.0
8472;Compulsory Health Insurance Fund;2004 2nd quarter;3440.0
8473;Compulsory Health Insurance Fund;2004 3rd quarter;3113.0
8474;Compulsory Health Insurance Fund;2004 4th quarter;3197.0
8475;Compulsory Health Insurance Fund;2004;13143.0
8476;Compulsory Health Insurance Fund;2005 1st quarter;3374.0
8477;Compulsory Health Insurance Fund;2005 2nd quarter;3303.0
8478;Compulsory Health Insurance Fund;2005 3rd quarter;3045.0
8479;Compulsory Health Insurance Fund;2005 4th quarter;3058.0
8480;Compulsory Health Insurance Fund;2005;12780.0
8481;Compulsory Health Insurance Fund;2006 1st quarter;0.0
8482;Compulsory Health Insurance Fund;2006 2nd quarter;0.0
8483;Compulsory Health Insurance Fund;2006 3rd quarter;0.0
8484;Compulsory Health Insurance Fund;2006 4th quarter;0.0
