ID;Geslacht;Leeftijd;RegioS;DiagnoseIndelingISHMT;Perioden;TotaalOpnamen_1;TotaalOpnamenPer10000Inwoners_2;Dagopnamen_3;DagopnamenPer10000Inwoners_4;KlinischeOpnamen_5;KlinischeOpnamenPer10000Inwoners_6;VerpleegdagenVanKlinischeOpnamen_7;VerpleegdagenPer10000Inwoners_8;GemVerpleegduurPerKlinischeOpname_9
140;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;103;1993;925.0;0.6;31.0;0.0;894.0;0.6;26186.0;17.1;29.2
141;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;103;1994;1023.0;0.6;37.0;0.0;986.0;0.6;27885.0;18.1;28.2
142;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;103;1995;890.0;0.6;27.0;0.0;863.0;0.6;23110.0;15.0;26.7
143;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;103;1996;976.0;0.6;35.0;0.0;941.0;0.6;26956.0;17.3;28.6
144;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;103;1997;903.0;0.6;46.0;0.0;857.0;0.5;25500.0;16.2;29.7
145;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;103;1998;811.0;0.5;49.0;0.0;762.0;0.5;21553.0;13.6;28.2
146;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;103;1999;878.0;0.6;93.0;0.1;785.0;0.5;20455.0;12.8;26.1
147;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;103;2000;725.0;0.5;61.0;0.0;664.0;0.4;15426.0;9.6;23.2
148;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;103;2001;744.0;0.5;97.0;0.1;647.0;0.4;15529.0;9.6;24.0
149;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;103;2002;718.0;0.4;121.0;0.1;597.0;0.4;13327.0;8.3;22.2
150;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;103;2003;750.0;0.5;181.0;0.1;569.0;0.4;12392.0;7.5;21.7
151;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;103;2004;661.0;0.4;145.0;0.1;516.0;0.3;10756.0;6.5;20.7
152;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;103;2005;628.0;0.4;122.0;0.1;506.0;0.3;9910.0;6.0;19.6
153;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;103;2006;536.0;0.3;97.0;0.1;439.0;0.3;9307.0;5.6;21.2
154;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;103;2007;574.0;0.4;145.0;0.1;429.0;0.3;8977.0;5.5;20.8
155;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;103;2008;678.0;0.4;257.0;0.2;421.0;0.3;8612.0;5.1;20.5
156;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;103;2009;696.0;0.4;201.0;0.1;495.0;0.3;9119.0;5.5;18.3
157;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;103;2010;626.0;0.4;104.0;0.1;522.0;0.3;9743.0;5.9;18.7
158;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;103;2011;601.0;0.4;128.0;0.1;473.0;0.3;7204.0;4.3;15.1
159;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;103;2012;573.0;0.3;99.0;0.1;474.0;0.3;7346.0;4.4;15.5
160;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;104;1981;;;;;773.0;0.5;20782.0;14.6;26.8
161;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;104;1982;;;;;845.0;0.6;20344.0;14.1;24.1
162;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;104;1983;;;;;933.0;0.6;21763.0;15.1;23.2
