ID;SIC93;Destination;Periods;SalesDevelopment_1;Share_2
2606;2300b Petroleum/chemicals/rubber/plastic;Netherlands;2004 2nd quarter;23;88
2607;2300b Petroleum/chemicals/rubber/plastic;Netherlands;2004 July;25;89
2608;2300b Petroleum/chemicals/rubber/plastic;Netherlands;2004 August;30;88
2609;2300b Petroleum/chemicals/rubber/plastic;Netherlands;2004 September;23;91
2610;2300b Petroleum/chemicals/rubber/plastic;Netherlands;2004 3rd quarter;26;89
2611;2300b Petroleum/chemicals/rubber/plastic;Netherlands;2004 October;22;90
2612;2300b Petroleum/chemicals/rubber/plastic;Netherlands;2004 November;40;88
2613;2300b Petroleum/chemicals/rubber/plastic;Netherlands;2004 December;18;86
2614;2300b Petroleum/chemicals/rubber/plastic;Netherlands;2004 4th quarter;28;87
2615;2300b Petroleum/chemicals/rubber/plastic;Netherlands;2004;21;85
2616;2300b Petroleum/chemicals/rubber/plastic;Netherlands;2005 January;21;88
2617;2300b Petroleum/chemicals/rubber/plastic;Netherlands;2005 February;6;89
2618;2300b Petroleum/chemicals/rubber/plastic;Netherlands;2005 March;9;90
2619;2300b Petroleum/chemicals/rubber/plastic;Netherlands;2005 1st quarter;12;89
2620;2300b Petroleum/chemicals/rubber/plastic;Netherlands;2005 April;21;95
2621;2300b Petroleum/chemicals/rubber/plastic;Netherlands;2005 May;22;98
2622;2300b Petroleum/chemicals/rubber/plastic;Netherlands;2005 June;30;99
2623;2300b Petroleum/chemicals/rubber/plastic;Netherlands;2005 2nd quarter;25;96
2624;2300b Petroleum/chemicals/rubber/plastic;Netherlands;2005 July;22;98
2625;2300b Petroleum/chemicals/rubber/plastic;Netherlands;2005 August;34;99
2626;2300b Petroleum/chemicals/rubber/plastic;Netherlands;2005 September;34;99
2627;2300b Petroleum/chemicals/rubber/plastic;Netherlands;2005 3rd quarter;30;99
2628;2300b Petroleum/chemicals/rubber/plastic;Netherlands;2005 October;34;99
2629;2300b Petroleum/chemicals/rubber/plastic;Netherlands;2005 November;27;99
2630;2300b Petroleum/chemicals/rubber/plastic;Netherlands;2005 December;39;99
2631;2300b Petroleum/chemicals/rubber/plastic;Netherlands;2005 4th quarter;33;99
2632;2300b Petroleum/chemicals/rubber/plastic;Netherlands;2005;25;88
2633;2300b Petroleum/chemicals/rubber/plastic;Netherlands;2006 January;32;99
2634;2300b Petroleum/chemicals/rubber/plastic;Netherlands;2006 February;35;93
2635;2300b Petroleum/chemicals/rubber/plastic;Other countries;1997 January;15;99
2636;2300b Petroleum/chemicals/rubber/plastic;Other countries;1997 February;9;99
2637;2300b Petroleum/chemicals/rubber/plastic;Other countries;1997 March;8;98
2638;2300b Petroleum/chemicals/rubber/plastic;Other countries;1997 1st quarter;11;99
2639;2300b Petroleum/chemicals/rubber/plastic;Other countries;1997 April;13;98
2640;2300b Petroleum/chemicals/rubber/plastic;Other countries;1997 May;9;98
2641;2300b Petroleum/chemicals/rubber/plastic;Other countries;1997 June;18;98
2642;2300b Petroleum/chemicals/rubber/plastic;Other countries;1997 2nd quarter;13;98
2643;2300b Petroleum/chemicals/rubber/plastic;Other countries;1997 July;15;97
2644;2300b Petroleum/chemicals/rubber/plastic;Other countries;1997 August;13;97
2645;2300b Petroleum/chemicals/rubber/plastic;Other countries;1997 September;16;97
2646;2300b Petroleum/chemicals/rubber/plastic;Other countries;1997 3rd quarter;15;97
2647;2300b Petroleum/chemicals/rubber/plastic;Other countries;1997 October;15;97
2648;2300b Petroleum/chemicals/rubber/plastic;Other countries;1997 November;8;97
2649;2300b Petroleum/chemicals/rubber/plastic;Other countries;1997 December;20;97
2650;2300b Petroleum/chemicals/rubber/plastic;Other countries;1997 4th quarter;15;97
2651;2300b Petroleum/chemicals/rubber/plastic;Other countries;1997;14;96
2652;2300b Petroleum/chemicals/rubber/plastic;Other countries;1998 January;5;98
2653;2300b Petroleum/chemicals/rubber/plastic;Other countries;1998 February;6;98
2654;2300b Petroleum/chemicals/rubber/plastic;Other countries;1998 March;12;98
2655;2300b Petroleum/chemicals/rubber/plastic;Other countries;1998 1st quarter;8;98
2656;2300b Petroleum/chemicals/rubber/plastic;Other countries;1998 April;1;97
2657;2300b Petroleum/chemicals/rubber/plastic;Other countries;1998 May;-3;97
2658;2300b Petroleum/chemicals/rubber/plastic;Other countries;1998 June;-2;98
2659;2300b Petroleum/chemicals/rubber/plastic;Other countries;1998 2nd quarter;-1;97
2660;2300b Petroleum/chemicals/rubber/plastic;Other countries;1998 July;-4;98
2661;2300b Petroleum/chemicals/rubber/plastic;Other countries;1998 August;-7;99
2662;2300b Petroleum/chemicals/rubber/plastic;Other countries;1998 September;-8;99
2663;2300b Petroleum/chemicals/rubber/plastic;Other countries;1998 3rd quarter;-7;99
2664;2300b Petroleum/chemicals/rubber/plastic;Other countries;1998 October;-11;99
2665;2300b Petroleum/chemicals/rubber/plastic;Other countries;1998 November;-8;99
2666;2300b Petroleum/chemicals/rubber/plastic;Other countries;1998 December;-15;99
2667;2300b Petroleum/chemicals/rubber/plastic;Other countries;1998 4th quarter;-11;99
2668;2300b Petroleum/chemicals/rubber/plastic;Other countries;1998;-3;97
2669;2300b Petroleum/chemicals/rubber/plastic;Other countries;1999 January;-13;98
2670;2300b Petroleum/chemicals/rubber/plastic;Other countries;1999 February;-10;97
2671;2300b Petroleum/chemicals/rubber/plastic;Other countries;1999 March;-4;97
2672;2300b Petroleum/chemicals/rubber/plastic;Other countries;1999 1st quarter;-9;97
2673;2300b Petroleum/chemicals/rubber/plastic;Other countries;1999 April;-6;96
2674;2300b Petroleum/chemicals/rubber/plastic;Other countries;1999 May;0;96
2675;2300b Petroleum/chemicals/rubber/plastic;Other countries;1999 June;6;95
2676;2300b Petroleum/chemicals/rubber/plastic;Other countries;1999 2nd quarter;0;96
2677;2300b Petroleum/chemicals/rubber/plastic;Other countries;1999 July;7;96
2678;2300b Petroleum/chemicals/rubber/plastic;Other countries;1999 August;10;96
2679;2300b Petroleum/chemicals/rubber/plastic;Other countries;1999 September;12;95
2680;2300b Petroleum/chemicals/rubber/plastic;Other countries;1999 3rd quarter;10;96
2681;2300b Petroleum/chemicals/rubber/plastic;Other countries;1999 October;12;96
2682;2300b Petroleum/chemicals/rubber/plastic;Other countries;1999 November;27;95
2683;2300b Petroleum/chemicals/rubber/plastic;Other countries;1999 December;39;95
2684;2300b Petroleum/chemicals/rubber/plastic;Other countries;1999 4th quarter;26;95
2685;2300b Petroleum/chemicals/rubber/plastic;Other countries;1999;6;95
2686;2300b Petroleum/chemicals/rubber/plastic;Other countries;2000 January;32;97
2687;2300b Petroleum/chemicals/rubber/plastic;Other countries;2000 February;39;97
2688;2300b Petroleum/chemicals/rubber/plastic;Other countries;2000 March;36;97
2689;2300b Petroleum/chemicals/rubber/plastic;Other countries;2000 1st quarter;36;96
2690;2300b Petroleum/chemicals/rubber/plastic;Other countries;2000 April;24;99
2691;2300b Petroleum/chemicals/rubber/plastic;Other countries;2000 May;47;99
2692;2300b Petroleum/chemicals/rubber/plastic;Other countries;2000 June;33;99
2693;2300b Petroleum/chemicals/rubber/plastic;Other countries;2000 2nd quarter;35;99
2694;2300b Petroleum/chemicals/rubber/plastic;Other countries;2000 July;23;99
2695;2300b Petroleum/chemicals/rubber/plastic;Other countries;2000 August;40;100
2696;2300b Petroleum/chemicals/rubber/plastic;Other countries;2000 September;30;99
2697;2300b Petroleum/chemicals/rubber/plastic;Other countries;2000 3rd quarter;31;99
2698;2300b Petroleum/chemicals/rubber/plastic;Other countries;2000 October;38;100
2699;2300b Petroleum/chemicals/rubber/plastic;Other countries;2000 November;31;100
2700;2300b Petroleum/chemicals/rubber/plastic;Other countries;2000 December;7;100
2701;2300b Petroleum/chemicals/rubber/plastic;Other countries;2000 4th quarter;25;100
2702;2300b Petroleum/chemicals/rubber/plastic;Other countries;2000;32;97
2703;2300b Petroleum/chemicals/rubber/plastic;Other countries;2001 January;14;100
2704;2300b Petroleum/chemicals/rubber/plastic;Other countries;2001 February;5;100
2705;2300b Petroleum/chemicals/rubber/plastic;Other countries;2001 March;-4;100
2706;2300b Petroleum/chemicals/rubber/plastic;Other countries;2001 1st quarter;5;100
2707;2300b Petroleum/chemicals/rubber/plastic;Other countries;2001 April;10;99
2708;2300b Petroleum/chemicals/rubber/plastic;Other countries;2001 May;2;99
2709;2300b Petroleum/chemicals/rubber/plastic;Other countries;2001 June;1;99
2710;2300b Petroleum/chemicals/rubber/plastic;Other countries;2001 2nd quarter;4;99
2711;2300b Petroleum/chemicals/rubber/plastic;Other countries;2001 July;3;99
2712;2300b Petroleum/chemicals/rubber/plastic;Other countries;2001 August;-4;99
2713;2300b Petroleum/chemicals/rubber/plastic;Other countries;2001 September;-7;99
2714;2300b Petroleum/chemicals/rubber/plastic;Other countries;2001 3rd quarter;-3;99
2715;2300b Petroleum/chemicals/rubber/plastic;Other countries;2001 October;-14;99
2716;2300b Petroleum/chemicals/rubber/plastic;Other countries;2001 November;-20;99
2717;2300b Petroleum/chemicals/rubber/plastic;Other countries;2001 December;-10;99
2718;2300b Petroleum/chemicals/rubber/plastic;Other countries;2001 4th quarter;-15;99
2719;2300b Petroleum/chemicals/rubber/plastic;Other countries;2001;-2;98
2720;2300b Petroleum/chemicals/rubber/plastic;Other countries;2002 January;-9;98
2721;2300b Petroleum/chemicals/rubber/plastic;Other countries;2002 February;-12;98
2722;2300b Petroleum/chemicals/rubber/plastic;Other countries;2002 March;-6;98
2723;2300b Petroleum/chemicals/rubber/plastic;Other countries;2002 1st quarter;-9;98
2724;2300b Petroleum/chemicals/rubber/plastic;Other countries;2002 April;-1;98
2725;2300b Petroleum/chemicals/rubber/plastic;Other countries;2002 May;-7;98
2726;2300b Petroleum/chemicals/rubber/plastic;Other countries;2002 June;-9;98
2727;2300b Petroleum/chemicals/rubber/plastic;Other countries;2002 2nd quarter;-5;98
2728;2300b Petroleum/chemicals/rubber/plastic;Other countries;2002 July;-3;99
2729;2300b Petroleum/chemicals/rubber/plastic;Other countries;2002 August;-5;99
2730;2300b Petroleum/chemicals/rubber/plastic;Other countries;2002 September;-1;98
2731;2300b Petroleum/chemicals/rubber/plastic;Other countries;2002 3rd quarter;-3;99
2732;2300b Petroleum/chemicals/rubber/plastic;Other countries;2002 October;6;98
2733;2300b Petroleum/chemicals/rubber/plastic;Other countries;2002 November;4;98
2734;2300b Petroleum/chemicals/rubber/plastic;Other countries;2002 December;8;98
2735;2300b Petroleum/chemicals/rubber/plastic;Other countries;2002 4th quarter;6;98
2736;2300b Petroleum/chemicals/rubber/plastic;Other countries;2002;-3;98
2737;2300b Petroleum/chemicals/rubber/plastic;Other countries;2003 January;7;98
2738;2300b Petroleum/chemicals/rubber/plastic;Other countries;2003 February;14;98
2739;2300b Petroleum/chemicals/rubber/plastic;Other countries;2003 March;11;97
2740;2300b Petroleum/chemicals/rubber/plastic;Other countries;2003 1st quarter;11;97
2741;2300b Petroleum/chemicals/rubber/plastic;Other countries;2003 April;2;98
2742;2300b Petroleum/chemicals/rubber/plastic;Other countries;2003 May;-1;98
2743;2300b Petroleum/chemicals/rubber/plastic;Other countries;2003 June;1;97
2744;2300b Petroleum/chemicals/rubber/plastic;Other countries;2003 2nd quarter;1;97
2745;2300b Petroleum/chemicals/rubber/plastic;Other countries;2003 July;2;97
2746;2300b Petroleum/chemicals/rubber/plastic;Other countries;2003 August;1;97
2747;2300b Petroleum/chemicals/rubber/plastic;Other countries;2003 September;-1;97
2748;2300b Petroleum/chemicals/rubber/plastic;Other countries;2003 3rd quarter;1;97
2749;2300b Petroleum/chemicals/rubber/plastic;Other countries;2003 October;-3;96
2750;2300b Petroleum/chemicals/rubber/plastic;Other countries;2003 November;-1;96
2751;2300b Petroleum/chemicals/rubber/plastic;Other countries;2003 December;5;96
2752;2300b Petroleum/chemicals/rubber/plastic;Other countries;2003 4th quarter;0;96
2753;2300b Petroleum/chemicals/rubber/plastic;Other countries;2003;3;95
2754;2300b Petroleum/chemicals/rubber/plastic;Other countries;2004 January;1;97
2755;2300b Petroleum/chemicals/rubber/plastic;Other countries;2004 February;-1;97
2756;2300b Petroleum/chemicals/rubber/plastic;Other countries;2004 March;4;97
2757;2300b Petroleum/chemicals/rubber/plastic;Other countries;2004 1st quarter;2;96
2758;2300b Petroleum/chemicals/rubber/plastic;Other countries;2004 April;9;92
2759;2300b Petroleum/chemicals/rubber/plastic;Other countries;2004 May;8;90
2760;2300b Petroleum/chemicals/rubber/plastic;Other countries;2004 June;15;91
2761;2300b Petroleum/chemicals/rubber/plastic;Other countries;2004 2nd quarter;11;90
2762;2300b Petroleum/chemicals/rubber/plastic;Other countries;2004 July;10;91
2763;2300b Petroleum/chemicals/rubber/plastic;Other countries;2004 August;14;91
2764;2300b Petroleum/chemicals/rubber/plastic;Other countries;2004 September;20;91
2765;2300b Petroleum/chemicals/rubber/plastic;Other countries;2004 3rd quarter;14;91
2766;2300b Petroleum/chemicals/rubber/plastic;Other countries;2004 October;11;93
2767;2300b Petroleum/chemicals/rubber/plastic;Other countries;2004 November;19;93
2768;2300b Petroleum/chemicals/rubber/plastic;Other countries;2004 December;13;93
2769;2300b Petroleum/chemicals/rubber/plastic;Other countries;2004 4th quarter;14;93
2770;2300b Petroleum/chemicals/rubber/plastic;Other countries;2004;11;90
2771;2300b Petroleum/chemicals/rubber/plastic;Other countries;2005 January;13;94
2772;2300b Petroleum/chemicals/rubber/plastic;Other countries;2005 February;17;94
2773;2300b Petroleum/chemicals/rubber/plastic;Other countries;2005 March;10;95
2774;2300b Petroleum/chemicals/rubber/plastic;Other countries;2005 1st quarter;13;94
2775;2300b Petroleum/chemicals/rubber/plastic;Other countries;2005 April;8;98
2776;2300b Petroleum/chemicals/rubber/plastic;Other countries;2005 May;11;99
2777;2300b Petroleum/chemicals/rubber/plastic;Other countries;2005 June;12;97
2778;2300b Petroleum/chemicals/rubber/plastic;Other countries;2005 2nd quarter;10;96
2779;2300b Petroleum/chemicals/rubber/plastic;Other countries;2005 July;9;98
2780;2300b Petroleum/chemicals/rubber/plastic;Other countries;2005 August;14;98
2781;2300b Petroleum/chemicals/rubber/plastic;Other countries;2005 September;17;97
2782;2300b Petroleum/chemicals/rubber/plastic;Other countries;2005 3rd quarter;13;98
2783;2300b Petroleum/chemicals/rubber/plastic;Other countries;2005 October;10;97
2784;2300b Petroleum/chemicals/rubber/plastic;Other countries;2005 November;14;98
2785;2300b Petroleum/chemicals/rubber/plastic;Other countries;2005 December;13;98
2786;2300b Petroleum/chemicals/rubber/plastic;Other countries;2005 4th quarter;12;97
2787;2300b Petroleum/chemicals/rubber/plastic;Other countries;2005;13;92
2788;2300b Petroleum/chemicals/rubber/plastic;Other countries;2006 January;12;98
2789;2300b Petroleum/chemicals/rubber/plastic;Other countries;2006 February;9;96
2790;2700c Metal prod., electrical equipment;Destination total;1997 January;0;93
2791;2700c Metal prod., electrical equipment;Destination total;1997 February;7;93
2792;2700c Metal prod., electrical equipment;Destination total;1997 March;2;92
2793;2700c Metal prod., electrical equipment;Destination total;1997 1st quarter;3;92
2794;2700c Metal prod., electrical equipment;Destination total;1997 April;15;92
2795;2700c Metal prod., electrical equipment;Destination total;1997 May;4;92
2796;2700c Metal prod., electrical equipment;Destination total;1997 June;16;93
2797;2700c Metal prod., electrical equipment;Destination total;1997 2nd quarter;11;92
2798;2700c Metal prod., electrical equipment;Destination total;1997 July;16;92
2799;2700c Metal prod., electrical equipment;Destination total;1997 August;6;91
2800;2700c Metal prod., electrical equipment;Destination total;1997 September;14;93
2801;2700c Metal prod., electrical equipment;Destination total;1997 3rd quarter;12;92
2802;2700c Metal prod., electrical equipment;Destination total;1997 October;13;93
2803;2700c Metal prod., electrical equipment;Destination total;1997 November;9;93
2804;2700c Metal prod., electrical equipment;Destination total;1997 December;21;92
2805;2700c Metal prod., electrical equipment;Destination total;1997 4th quarter;14;92
2806;2700c Metal prod., electrical equipment;Destination total;1997;11;91
2807;2700c Metal prod., electrical equipment;Destination total;1998 January;15;97
2808;2700c Metal prod., electrical equipment;Destination total;1998 February;15;97
2809;2700c Metal prod., electrical equipment;Destination total;1998 March;18;97
2810;2700c Metal prod., electrical equipment;Destination total;1998 1st quarter;16;97
2811;2700c Metal prod., electrical equipment;Destination total;1998 April;10;97
2812;2700c Metal prod., electrical equipment;Destination total;1998 May;7;97
2813;2700c Metal prod., electrical equipment;Destination total;1998 June;5;97
2814;2700c Metal prod., electrical equipment;Destination total;1998 2nd quarter;7;97
2815;2700c Metal prod., electrical equipment;Destination total;1998 July;13;97
2816;2700c Metal prod., electrical equipment;Destination total;1998 August;3;97
2817;2700c Metal prod., electrical equipment;Destination total;1998 September;3;97
2818;2700c Metal prod., electrical equipment;Destination total;1998 3rd quarter;6;97
2819;2700c Metal prod., electrical equipment;Destination total;1998 October;0;98
2820;2700c Metal prod., electrical equipment;Destination total;1998 November;1;98
2821;2700c Metal prod., electrical equipment;Destination total;1998 December;-9;97
2822;2700c Metal prod., electrical equipment;Destination total;1998 4th quarter;-3;97
2823;2700c Metal prod., electrical equipment;Destination total;1998;6;96
2824;2700c Metal prod., electrical equipment;Destination total;1999 January;-2;97
2825;2700c Metal prod., electrical equipment;Destination total;1999 February;-9;97
2826;2700c Metal prod., electrical equipment;Destination total;1999 March;5;97
2827;2700c Metal prod., electrical equipment;Destination total;1999 1st quarter;-1;97
2828;2700c Metal prod., electrical equipment;Destination total;1999 April;-6;97
2829;2700c Metal prod., electrical equipment;Destination total;1999 May;-2;97
2830;2700c Metal prod., electrical equipment;Destination total;1999 June;5;98
2831;2700c Metal prod., electrical equipment;Destination total;1999 2nd quarter;-1;97
2832;2700c Metal prod., electrical equipment;Destination total;1999 July;-8;97
2833;2700c Metal prod., electrical equipment;Destination total;1999 August;3;96
2834;2700c Metal prod., electrical equipment;Destination total;1999 September;2;97
2835;2700c Metal prod., electrical equipment;Destination total;1999 3rd quarter;-1;96
2836;2700c Metal prod., electrical equipment;Destination total;1999 October;-2;97
2837;2700c Metal prod., electrical equipment;Destination total;1999 November;9;96
2838;2700c Metal prod., electrical equipment;Destination total;1999 December;28;96
2839;2700c Metal prod., electrical equipment;Destination total;1999 4th quarter;11;96
2840;2700c Metal prod., electrical equipment;Destination total;1999;3;95
2841;2700c Metal prod., electrical equipment;Destination total;2000 January;4;97
2842;2700c Metal prod., electrical equipment;Destination total;2000 February;18;97
2843;2700c Metal prod., electrical equipment;Destination total;2000 March;5;97
2844;2700c Metal prod., electrical equipment;Destination total;2000 1st quarter;9;97
2845;2700c Metal prod., electrical equipment;Destination total;2000 April;6;97
2846;2700c Metal prod., electrical equipment;Destination total;2000 May;26;97
2847;2700c Metal prod., electrical equipment;Destination total;2000 June;0;97
2848;2700c Metal prod., electrical equipment;Destination total;2000 2nd quarter;10;97
2849;2700c Metal prod., electrical equipment;Destination total;2000 July;-1;97
2850;2700c Metal prod., electrical equipment;Destination total;2000 August;24;97
2851;2700c Metal prod., electrical equipment;Destination total;2000 September;9;97
2852;2700c Metal prod., electrical equipment;Destination total;2000 3rd quarter;10;97
2853;2700c Metal prod., electrical equipment;Destination total;2000 October;11;97
2854;2700c Metal prod., electrical equipment;Destination total;2000 November;16;97
2855;2700c Metal prod., electrical equipment;Destination total;2000 December;3;98
2856;2700c Metal prod., electrical equipment;Destination total;2000 4th quarter;10;97
2857;2700c Metal prod., electrical equipment;Destination total;2000;10;95
2858;2700c Metal prod., electrical equipment;Destination total;2001 January;11;97
2859;2700c Metal prod., electrical equipment;Destination total;2001 February;2;98
2860;2700c Metal prod., electrical equipment;Destination total;2001 March;4;97
2861;2700c Metal prod., electrical equipment;Destination total;2001 1st quarter;5;97
2862;2700c Metal prod., electrical equipment;Destination total;2001 April;4;98
2863;2700c Metal prod., electrical equipment;Destination total;2001 May;-1;98
2864;2700c Metal prod., electrical equipment;Destination total;2001 June;5;98
2865;2700c Metal prod., electrical equipment;Destination total;2001 2nd quarter;2;97
2866;2700c Metal prod., electrical equipment;Destination total;2001 July;2;97
2867;2700c Metal prod., electrical equipment;Destination total;2001 August;-1;98
2868;2700c Metal prod., electrical equipment;Destination total;2001 September;-10;97
2869;2700c Metal prod., electrical equipment;Destination total;2001 3rd quarter;-3;97
2870;2700c Metal prod., electrical equipment;Destination total;2001 October;-4;98
2871;2700c Metal prod., electrical equipment;Destination total;2001 November;-11;98
2872;2700c Metal prod., electrical equipment;Destination total;2001 December;-15;98
2873;2700c Metal prod., electrical equipment;Destination total;2001 4th quarter;-10;97
2874;2700c Metal prod., electrical equipment;Destination total;2001;-2;96
2875;2700c Metal prod., electrical equipment;Destination total;2002 January;-5;94
2876;2700c Metal prod., electrical equipment;Destination total;2002 February;-9;93
2877;2700c Metal prod., electrical equipment;Destination total;2002 March;-11;94
2878;2700c Metal prod., electrical equipment;Destination total;2002 1st quarter;-8;94
2879;2700c Metal prod., electrical equipment;Destination total;2002 April;0;94
2880;2700c Metal prod., electrical equipment;Destination total;2002 May;-10;93
2881;2700c Metal prod., electrical equipment;Destination total;2002 June;-5;93
2882;2700c Metal prod., electrical equipment;Destination total;2002 2nd quarter;-5;93
2883;2700c Metal prod., electrical equipment;Destination total;2002 July;0;94
2884;2700c Metal prod., electrical equipment;Destination total;2002 August;-8;93
2885;2700c Metal prod., electrical equipment;Destination total;2002 September;4;92
2886;2700c Metal prod., electrical equipment;Destination total;2002 3rd quarter;-1;93
2887;2700c Metal prod., electrical equipment;Destination total;2002 October;1;91
2888;2700c Metal prod., electrical equipment;Destination total;2002 November;-5;89
2889;2700c Metal prod., electrical equipment;Destination total;2002 December;-2;89
2890;2700c Metal prod., electrical equipment;Destination total;2002 4th quarter;-2;89
2891;2700c Metal prod., electrical equipment;Destination total;2002;-3;91
2892;2700c Metal prod., electrical equipment;Destination total;2003 January;-3;95
2893;2700c Metal prod., electrical equipment;Destination total;2003 February;1;96
2894;2700c Metal prod., electrical equipment;Destination total;2003 March;-2;95
2895;2700c Metal prod., electrical equipment;Destination total;2003 1st quarter;-1;95
2896;2700c Metal prod., electrical equipment;Destination total;2003 April;-6;95
2897;2700c Metal prod., electrical equipment;Destination total;2003 May;-6;94
2898;2700c Metal prod., electrical equipment;Destination total;2003 June;-8;93
2899;2700c Metal prod., electrical equipment;Destination total;2003 2nd quarter;-7;93
2900;2700c Metal prod., electrical equipment;Destination total;2003 July;-4;93
2901;2700c Metal prod., electrical equipment;Destination total;2003 August;-15;94
2902;2700c Metal prod., electrical equipment;Destination total;2003 September;-2;93
2903;2700c Metal prod., electrical equipment;Destination total;2003 3rd quarter;-7;93
2904;2700c Metal prod., electrical equipment;Destination total;2003 October;-3;94
2905;2700c Metal prod., electrical equipment;Destination total;2003 November;-8;94
2906;2700c Metal prod., electrical equipment;Destination total;2003 December;0;94
2907;2700c Metal prod., electrical equipment;Destination total;2003 4th quarter;-3;94
2908;2700c Metal prod., electrical equipment;Destination total;2003;-5;92
2909;2700c Metal prod., electrical equipment;Destination total;2004 January;-4;93
2910;2700c Metal prod., electrical equipment;Destination total;2004 February;0;93
2911;2700c Metal prod., electrical equipment;Destination total;2004 March;14;93
2912;2700c Metal prod., electrical equipment;Destination total;2004 1st quarter;4;93
2913;2700c Metal prod., electrical equipment;Destination total;2004 April;7;92
2914;2700c Metal prod., electrical equipment;Destination total;2004 May;-2;94
2915;2700c Metal prod., electrical equipment;Destination total;2004 June;18;95
2916;2700c Metal prod., electrical equipment;Destination total;2004 2nd quarter;8;93
2917;2700c Metal prod., electrical equipment;Destination total;2004 July;14;96
2918;2700c Metal prod., electrical equipment;Destination total;2004 August;8;95
2919;2700c Metal prod., electrical equipment;Destination total;2004 September;9;95
2920;2700c Metal prod., electrical equipment;Destination total;2004 3rd quarter;11;95
2921;2700c Metal prod., electrical equipment;Destination total;2004 October;-3;96
2922;2700c Metal prod., electrical equipment;Destination total;2004 November;17;96
2923;2700c Metal prod., electrical equipment;Destination total;2004 December;16;95
2924;2700c Metal prod., electrical equipment;Destination total;2004 4th quarter;10;95
2925;2700c Metal prod., electrical equipment;Destination total;2004;8;90
2926;2700c Metal prod., electrical equipment;Destination total;2005 January;11;97
2927;2700c Metal prod., electrical equipment;Destination total;2005 February;7;96
2928;2700c Metal prod., electrical equipment;Destination total;2005 March;2;95
2929;2700c Metal prod., electrical equipment;Destination total;2005 1st quarter;6;95
2930;2700c Metal prod., electrical equipment;Destination total;2005 April;9;95
2931;2700c Metal prod., electrical equipment;Destination total;2005 May;8;96
2932;2700c Metal prod., electrical equipment;Destination total;2005 June;6;94
2933;2700c Metal prod., electrical equipment;Destination total;2005 2nd quarter;8;95
2934;2700c Metal prod., electrical equipment;Destination total;2005 July;-5;96
2935;2700c Metal prod., electrical equipment;Destination total;2005 August;10;96
2936;2700c Metal prod., electrical equipment;Destination total;2005 September;0;96
2937;2700c Metal prod., electrical equipment;Destination total;2005 3rd quarter;1;95
2938;2700c Metal prod., electrical equipment;Destination total;2005 October;0;95
2939;2700c Metal prod., electrical equipment;Destination total;2005 November;0;96
2940;2700c Metal prod., electrical equipment;Destination total;2005 December;-5;96
2941;2700c Metal prod., electrical equipment;Destination total;2005 4th quarter;-2;95
2942;2700c Metal prod., electrical equipment;Destination total;2005;3;93
2943;2700c Metal prod., electrical equipment;Destination total;2006 January;3;97
2944;2700c Metal prod., electrical equipment;Destination total;2006 February;4;96
2945;2700c Metal prod., electrical equipment;Netherlands;1997 January;3;93
2946;2700c Metal prod., electrical equipment;Netherlands;1997 February;8;92
2947;2700c Metal prod., electrical equipment;Netherlands;1997 March;1;92
2948;2700c Metal prod., electrical equipment;Netherlands;1997 1st quarter;4;92
2949;2700c Metal prod., electrical equipment;Netherlands;1997 April;16;93
2950;2700c Metal prod., electrical equipment;Netherlands;1997 May;3;93
2951;2700c Metal prod., electrical equipment;Netherlands;1997 June;14;93
2952;2700c Metal prod., electrical equipment;Netherlands;1997 2nd quarter;11;92
2953;2700c Metal prod., electrical equipment;Netherlands;1997 July;8;93
2954;2700c Metal prod., electrical equipment;Netherlands;1997 August;0;91
2955;2700c Metal prod., electrical equipment;Netherlands;1997 September;11;93
2956;2700c Metal prod., electrical equipment;Netherlands;1997 3rd quarter;7;92
2957;2700c Metal prod., electrical equipment;Netherlands;1997 October;7;93
2958;2700c Metal prod., electrical equipment;Netherlands;1997 November;4;93
2959;2700c Metal prod., electrical equipment;Netherlands;1997 December;11;91
2960;2700c Metal prod., electrical equipment;Netherlands;1997 4th quarter;8;92
2961;2700c Metal prod., electrical equipment;Netherlands;1997;8;91
2962;2700c Metal prod., electrical equipment;Netherlands;1998 January;18;96
2963;2700c Metal prod., electrical equipment;Netherlands;1998 February;19;96
2964;2700c Metal prod., electrical equipment;Netherlands;1998 March;21;96
2965;2700c Metal prod., electrical equipment;Netherlands;1998 1st quarter;19;96
2966;2700c Metal prod., electrical equipment;Netherlands;1998 April;5;96
2967;2700c Metal prod., electrical equipment;Netherlands;1998 May;8;97
2968;2700c Metal prod., electrical equipment;Netherlands;1998 June;6;97
2969;2700c Metal prod., electrical equipment;Netherlands;1998 2nd quarter;6;96
2970;2700c Metal prod., electrical equipment;Netherlands;1998 July;20;97
2971;2700c Metal prod., electrical equipment;Netherlands;1998 August;0;97
2972;2700c Metal prod., electrical equipment;Netherlands;1998 September;8;97
2973;2700c Metal prod., electrical equipment;Netherlands;1998 3rd quarter;10;97
2974;2700c Metal prod., electrical equipment;Netherlands;1998 October;0;97
2975;2700c Metal prod., electrical equipment;Netherlands;1998 November;7;97
2976;2700c Metal prod., electrical equipment;Netherlands;1998 December;5;97
2977;2700c Metal prod., electrical equipment;Netherlands;1998 4th quarter;4;97
2978;2700c Metal prod., electrical equipment;Netherlands;1998;9;96
2979;2700c Metal prod., electrical equipment;Netherlands;1999 January;-4;97
