ID;EconomicActivityNCEA2008;Periods;TotalNumberOfEnterprises_1;k_1PersonEmployed_2;k_2PersonsEmployed_3;k_3To5PersonsEmployed_4;k_5To10PersonsEmployed_5;k_10To20PersonsEmployed_6;k_20To50PersonsEmployed_7;k_50To100PersonsEmployed_8;k_100PersonsEmployedOrMore_9;PrivateLegalForms_10;PublicLegalForms_11
5196;8030 Investigation activities;2007;105;60;15;10;10;5;5;0;0;65;40
5197;8030 Investigation activities;2008;115;70;15;10;5;5;0;5;0;70;40
5198;8030 Investigation activities;2009;110;70;15;5;5;10;0;0;0;70;40
5199;8030 Investigation activities;2010;105;70;15;5;5;10;0;0;0;60;45
5200;81 Facility management;2006;11645;5440;2505;1340;1115;625;435;100;85;9795;1845
5201;81 Facility management;2007;12270;6220;2010;1430;1275;655;470;120;90;10385;1880
5202;81 Facility management;2008;13010;7120;2025;1410;1150;635;450;140;80;11005;2005
5203;81 Facility management;2009;14120;7895;2185;1345;1255;675;510;160;95;11970;2155
5204;81 Facility management;2010;14645;8445;2305;1310;1215;650;475;150;95;12460;2185
5205;811 Facility management;2006;0;0;0;0;0;0;0;0;0;0;0
5206;811 Facility management;2007;0;0;0;0;0;0;0;0;0;0;0
5207;811 Facility management;2008;0;0;0;0;0;0;0;0;0;0;0
5208;811 Facility management;2009;0;0;0;0;0;0;0;0;0;0;0
5209;811 Facility management;2010;10;5;0;0;0;0;0;0;0;5;5
5210;8110 Facility management;2006;0;0;0;0;0;0;0;0;0;0;0
5211;8110 Facility management;2007;0;0;0;0;0;0;0;0;0;0;0
5212;8110 Facility management;2008;0;0;0;0;0;0;0;0;0;0;0
5213;8110 Facility management;2009;0;0;0;0;0;0;0;0;0;0;0
5214;8110 Facility management;2010;10;5;0;0;0;0;0;0;0;5;5
5215;812 Cleaning activities;2006;6495;2785;1405;720;650;430;345;80;75;5190;1300
5216;812 Cleaning activities;2007;6795;3170;1140;780;720;435;370;95;80;5470;1325
5217;812 Cleaning activities;2008;7040;3505;1110;780;670;440;360;110;75;5645;1395
5218;812 Cleaning activities;2009;7595;3830;1275;700;725;455;385;135;90;6110;1485
5219;812 Cleaning activities;2010;7860;4115;1380;675;685;435;360;130;85;6390;1470
5220;8121 General cleaning of buildings;2006;4130;1545;930;510;475;305;265;55;50;3225;900
5221;8121 General cleaning of buildings;2007;4325;1785;750;545;535;310;275;70;60;3400;925
5222;8121 General cleaning of buildings;2008;4545;2015;755;545;500;320;275;80;55;3545;1000
5223;8121 General cleaning of buildings;2009;4990;2235;900;510;530;335;300;105;70;3910;1080
5224;8121 General cleaning of buildings;2010;5110;2400;940;485;500;320;280;105;75;4035;1075
5225;8122 Specialised cleaning of buildings;2006;1760;955;340;155;130;80;65;20;15;1520;235
5226;8122 Specialised cleaning of buildings;2007;1845;1075;275;165;140;90;65;15;15;1610;235
5227;8122 Specialised cleaning of buildings;2008;1860;1150;250;165;125;80;55;20;10;1625;235
5228;8122 Specialised cleaning of buildings;2009;1935;1235;275;135;125;85;55;20;10;1710;225
5229;8122 Specialised cleaning of buildings;2010;2085;1340;340;135;125;80;50;15;5;1870;220
5230;8129 Other cleaning;2006;605;285;140;55;50;45;15;10;5;440;165
5231;8129 Other cleaning;2007;630;310;115;75;45;35;25;10;5;465;165
5232;8129 Other cleaning;2008;640;340;105;70;45;35;25;10;5;475;165
5233;8129 Other cleaning;2009;670;365;100;55;65;35;30;10;5;490;180
5234;8129 Other cleaning;2010;665;375;100;50;65;35;25;10;5;485;180
5235;813 Landscape service activities;2006;5150;2655;1100;620;465;195;90;20;10;4605;545
5236;813 Landscape service activities;2007;5470;3050;870;645;555;220;100;25;10;4915;555
5237;813 Landscape service activities;2008;5970;3620;915;630;480;200;90;30;5;5360;610
5238;813 Landscape service activities;2009;6525;4065;910;645;535;215;120;25;5;5860;665
5239;813 Landscape service activities;2010;6775;4320;925;635;530;215;115;25;10;6065;710
5240;8130 Landscape service activities;2006;5150;2655;1100;620;465;195;90;20;10;4605;545
5241;8130 Landscape service activities;2007;5470;3050;870;645;555;220;100;25;10;4915;555
5242;8130 Landscape service activities;2008;5970;3620;915;630;480;200;90;30;5;5360;610
5243;8130 Landscape service activities;2009;6525;4065;910;645;535;215;120;25;5;5860;665
5244;8130 Landscape service activities;2010;6775;4320;925;635;530;215;115;25;10;6065;710
5245;82 Other business services;2006;2920;1770;445;200;175;120;105;55;45;1955;965
5246;82 Other business services;2007;3095;1920;380;230;205;145;125;50;50;2070;1025
5247;82 Other business services;2008;3175;2050;335;235;195;145;115;55;40;2115;1060
5248;82 Other business services;2009;3410;2225;395;210;195;145;135;55;55;2310;1100
5249;82 Other business services;2010;3555;2395;395;210;175;140;135;55;55;2440;1115
5250;821 Office administrative services;2006;1345;1025;175;50;40;20;20;10;5;1185;160
5251;821 Office administrative services;2007;1425;1125;135;60;40;35;20;10;5;1250;170
5252;821 Office administrative services;2008;1515;1225;110;70;40;35;25;5;0;1330;185
5253;821 Office administrative services;2009;1695;1370;140;60;45;40;25;10;5;1485;210
5254;821 Office administrative services;2010;1805;1495;135;60;40;35;25;10;5;1600;210
5255;8211 Combined administrative services;2006;275;210;30;15;15;0;0;0;0;240;35
5256;8211 Combined administrative services;2007;305;245;20;20;10;5;5;0;0;270;40
5257;8211 Combined administrative services;2008;315;255;20;20;10;10;0;0;0;275;40
5258;8211 Combined administrative services;2009;330;265;25;15;10;10;0;0;0;285;45
5259;8211 Combined administrative services;2010;355;295;20;15;10;10;0;0;0;310;50
5260;8219 Specialised office support;2006;1070;815;145;35;25;20;20;5;0;950;120
5261;8219 Specialised office support;2007;1120;880;115;40;30;25;20;5;0;985;135
5262;8219 Specialised office support;2008;1200;970;95;50;35;25;25;5;0;1055;145
5263;8219 Specialised office support;2009;1365;1105;120;45;35;30;25;5;0;1200;165
5264;8219 Specialised office support;2010;1450;1200;115;45;30;25;25;10;0;1290;160
5265;822 Callcenters;2006;140;25;15;10;15;20;20;15;20;40;100
5266;822 Callcenters;2007;160;30;25;10;20;20;20;15;20;55;105
5267;822 Callcenters;2008;170;45;25;10;20;20;20;15;15;60;115
5268;822 Callcenters;2009;180;50;25;10;20;20;25;10;25;60;115
5269;822 Callcenters;2010;180;55;20;10;15;20;20;10;25;60;120
5270;8220 Callcenters;2006;140;25;15;10;15;20;20;15;20;40;100
5271;8220 Callcenters;2007;160;30;25;10;20;20;20;15;20;55;105
5272;8220 Callcenters;2008;170;45;25;10;20;20;20;15;15;60;115
5273;8220 Callcenters;2009;180;50;25;10;20;20;25;10;25;60;115
5274;8220 Callcenters;2010;180;55;20;10;15;20;20;10;25;60;120
5275;823 Organisation of conventions etc.;2006;620;385;115;35;40;25;10;5;5;310;305
5276;823 Organisation of conventions etc.;2007;650;405;90;50;55;25;15;5;5;325;325
5277;823 Organisation of conventions etc.;2008;625;400;70;60;50;20;15;5;5;305;320
5278;823 Organisation of conventions etc.;2009;635;410;85;45;50;25;15;5;5;310;325
5279;823 Organisation of conventions etc.;2010;645;425;85;45;45;25;15;5;5;325;320
5280;8230 Organisation of conventions etc.;2006;620;385;115;35;40;25;10;5;5;310;305
5281;8230 Organisation of conventions etc.;2007;650;405;90;50;55;25;15;5;5;325;325
5282;8230 Organisation of conventions etc.;2008;625;400;70;60;50;20;15;5;5;305;320
5283;8230 Organisation of conventions etc.;2009;635;410;85;45;50;25;15;5;5;310;325
5284;8230 Organisation of conventions etc.;2010;645;425;85;45;45;25;15;5;5;325;320
5285;829 Other business support activities;2006;820;330;140;100;80;60;60;30;20;415;400
5286;829 Other business support activities;2007;865;360;125;110;90;65;70;25;20;440;420
5287;829 Other business support activities;2008;865;380;130;100;85;65;60;30;20;425;440
5288;829 Other business support activities;2009;905;395;145;95;80;60;75;30;25;450;450
5289;829 Other business support activities;2010;920;420;150;95;70;55;75;30;25;460;465
5290;8291 Credit rating and bill collection;2006;375;185;70;45;30;15;15;10;5;205;170
5291;8291 Credit rating and bill collection;2007;410;210;60;50;35;20;20;10;5;225;185
5292;8291 Credit rating and bill collection;2008;405;215;60;45;25;20;15;10;10;205;200
5293;8291 Credit rating and bill collection;2009;405;205;75;40;25;20;15;10;10;205;200
5294;8291 Credit rating and bill collection;2010;415;220;80;40;25;20;15;10;10;215;200
5295;8292 Packaging, sorting on a fee basis;2006;305;90;50;35;35;35;40;15;5;155;150
5296;8292 Packaging, sorting on a fee basis;2007;305;85;45;40;40;35;40;10;5;160;150
5297;8292 Packaging, sorting on a fee basis;2008;315;100;50;35;40;35;35;15;5;160;160
5298;8292 Packaging, sorting on a fee basis;2009;360;120;55;40;40;30;50;15;10;190;170
5299;8292 Packaging, sorting on a fee basis;2010;355;130;50;40;30;30;50;15;10;185;170
5300;82991 Auctions for agricultural goods;2006;30;5;5;5;5;0;5;5;5;0;30
5301;82991 Auctions for agricultural goods;2007;35;5;5;5;5;5;5;0;5;0;30
5302;82991 Auctions for agricultural goods;2008;30;5;5;5;5;0;5;0;5;5;30
5303;82991 Auctions for agricultural goods;2009;30;10;0;5;5;0;5;0;5;0;30
5304;82991 Auctions for agricultural goods;2010;30;5;0;5;5;0;5;0;5;0;30
5305;82992 Auctions for other goods;2006;105;50;20;15;10;5;0;0;0;55;50
5306;82992 Auctions for other goods;2007;110;55;15;15;10;5;5;0;0;55;55
5307;82992 Auctions for other goods;2008;115;55;20;15;15;5;5;0;0;60;55
5308;82992 Auctions for other goods;2009;105;60;10;15;10;5;5;5;0;55;55
5309;82992 Auctions for other goods;2010;110;60;15;15;10;5;5;5;0;55;60
5310;82999 Other business services n.e.c.;2006;0;0;0;0;0;0;0;0;0;0;0
5311;82999 Other business services n.e.c.;2007;0;0;0;0;0;0;0;0;0;0;0
5312;82999 Other business services n.e.c.;2008;0;0;0;0;0;0;0;0;0;0;0
5313;82999 Other business services n.e.c.;2009;0;0;0;0;0;0;0;0;0;0;0
5314;82999 Other business services n.e.c.;2010;5;0;0;0;0;0;0;0;0;0;0
5315;O Public administration and services;2006;780;90;10;15;20;30;80;140;395;20;765
5316;O Public administration and services;2007;805;80;15;5;10;35;60;115;485;15;785
5317;O Public administration and services;2008;765;60;10;5;15;20;70;120;465;20;745
5318;O Public administration and services;2009;775;60;10;5;15;15;50;120;500;35;740
5319;O Public administration and services;2010;785;75;15;5;15;15;45;120;500;45;740
5320;84 Public administration and services;2006;780;90;10;15;20;30;80;140;395;20;765
5321;84 Public administration and services;2007;805;80;15;5;10;35;60;115;485;15;785
5322;84 Public administration and services;2008;765;60;10;5;15;20;70;120;465;20;745
5323;84 Public administration and services;2009;775;60;10;5;15;15;50;120;500;35;740
5324;84 Public administration and services;2010;785;75;15;5;15;15;45;120;500;45;740
5325;841 Public administration;2006;655;55;10;10;15;25;65;125;345;10;645
5326;841 Public administration;2007;675;45;10;5;10;25;45;105;435;10;665
5327;841 Public administration;2008;650;30;5;5;10;15;55;105;420;10;640
5328;841 Public administration;2009;645;25;5;5;10;15;35;105;450;10;640
5329;841 Public administration;2010;655;30;5;5;10;10;35;110;450;10;645
5330;8411 General public administration;2006;625;50;10;10;15;20;60;125;340;10;615
5331;8411 General public administration;2007;645;40;10;5;10;20;40;100;425;5;640
5332;8411 General public administration;2008;615;25;5;5;10;10;45;100;410;5;610
5333;8411 General public administration;2009;615;20;5;5;10;10;25;100;440;5;610
5334;8411 General public administration;2010;620;25;5;5;10;10;25;100;445;10;610
5335;8412 Regulation of social services etc;2006;10;0;0;0;0;0;5;0;5;0;10
5336;8412 Regulation of social services etc;2007;15;0;0;0;0;0;5;0;0;0;10
5337;8412 Regulation of social services etc;2008;15;0;0;0;0;0;5;5;5;0;15
5338;8412 Regulation of social services etc;2009;15;0;0;0;0;0;5;5;5;0;15
5339;8412 Regulation of social services etc;2010;15;0;0;0;0;0;5;5;5;0;15
5340;8413 Public administration of businesses;2006;20;0;0;0;0;0;5;5;5;0;15
5341;8413 Public administration of businesses;2007;15;5;0;0;0;0;0;5;5;0;15
5342;8413 Public administration of businesses;2008;15;5;0;0;0;5;5;5;5;0;15
5343;8413 Public administration of businesses;2009;15;5;0;0;0;0;5;5;5;0;15
5344;8413 Public administration of businesses;2010;20;5;0;0;0;0;5;5;5;0;15
5345;842 Public services;2006;85;20;0;0;0;5;15;10;35;5;80
5346;842 Public services;2007;85;15;5;0;0;10;10;10;40;5;80
5347;842 Public services;2008;90;20;0;0;0;5;10;10;35;10;80
5348;842 Public services;2009;105;30;5;0;5;0;10;10;45;25;80
5349;842 Public services;2010;110;35;5;0;5;0;10;10;45;30;80
5350;8421 Foreign affairs;2006;0;0;0;0;0;0;0;0;0;0;0
5351;8421 Foreign affairs;2007;0;0;0;0;0;0;0;0;0;0;0
5352;8421 Foreign affairs;2008;0;0;0;0;0;0;0;0;0;0;0
5353;8421 Foreign affairs;2009;0;0;0;0;0;0;0;0;0;0;0
5354;8421 Foreign affairs;2010;0;0;0;0;0;0;0;0;0;0;0
5355;8422 Defence activities;2006;5;0;0;0;0;0;0;0;0;0;5
5356;8422 Defence activities;2007;5;0;0;0;0;0;0;0;5;0;5
5357;8422 Defence activities;2008;5;0;0;0;0;0;0;0;0;0;5
5358;8422 Defence activities;2009;5;0;0;0;0;0;0;0;5;0;5
5359;8422 Defence activities;2010;5;0;0;0;0;0;0;0;5;0;5
5360;84231 Jurisdiction;2006;10;5;0;0;0;0;0;0;0;0;10
5361;84231 Jurisdiction;2007;10;5;0;0;0;0;0;0;0;0;10
5362;84231 Jurisdiction;2008;10;5;0;0;0;0;0;0;0;0;10
5363;84231 Jurisdiction;2009;10;5;0;0;0;0;0;0;0;5;10
5364;84231 Jurisdiction;2010;10;5;0;0;0;0;0;0;0;0;10
5365;84232 Ministry of Justice and prisons;2006;5;5;0;0;0;0;0;0;0;0;5
5366;84232 Ministry of Justice and prisons;2007;5;0;0;0;0;0;0;0;0;0;5
5367;84232 Ministry of Justice and prisons;2008;5;0;0;0;0;0;0;0;0;0;5
5368;84232 Ministry of Justice and prisons;2009;10;0;0;0;0;0;0;5;0;0;10
5369;84232 Ministry of Justice and prisons;2010;10;0;0;0;0;0;0;5;0;0;5
5370;8424 Police;2006;40;0;0;0;0;5;10;0;25;0;40
5371;8424 Police;2007;40;5;0;0;0;0;5;5;25;0;40
5372;8424 Police;2008;40;5;0;0;0;0;5;5;25;0;40
5373;8424 Police;2009;35;0;0;0;0;0;5;5;25;0;35
5374;8424 Police;2010;35;0;0;0;0;0;5;5;25;0;35
5375;8425 Fire brigades;2006;25;10;0;0;0;0;5;5;5;5;20
5376;8425 Fire brigades;2007;25;5;0;0;0;5;5;5;5;5;20
5377;8425 Fire brigades;2008;25;10;0;0;0;0;5;5;5;5;20
5378;8425 Fire brigades;2009;40;20;0;0;0;0;5;0;10;20;20
5379;8425 Fire brigades;2010;45;25;0;0;0;0;5;0;10;25;20
5380;843 Compulsory social security;2006;45;20;0;0;0;0;0;5;15;0;40
5381;843 Compulsory social security;2007;40;15;0;0;0;5;5;0;10;0;40
5382;843 Compulsory social security;2008;30;10;0;0;0;0;5;0;10;0;25
5383;843 Compulsory social security;2009;25;10;5;0;0;0;0;0;5;5;20
5384;843 Compulsory social security;2010;25;10;0;0;0;0;0;5;5;5;20
5385;8430 Compulsory social security;2006;45;20;0;0;0;0;0;5;15;0;40
5386;8430 Compulsory social security;2007;40;15;0;0;0;5;5;0;10;0;40
5387;8430 Compulsory social security;2008;30;10;0;0;0;0;5;0;10;0;25
5388;8430 Compulsory social security;2009;25;10;5;0;0;0;0;0;5;5;20
5389;8430 Compulsory social security;2010;25;10;0;0;0;0;0;5;5;5;20
5390;P Education;2006;18005;11410;2725;710;655;590;625;385;900;13265;4740
5391;P Education;2007;18080;11760;2145;980;715;555;620;400;910;13315;4765
5392;P Education;2008;19205;13130;2155;885;745;605;515;375;795;14270;4935
5393;P Education;2009;20705;14320;2350;890;660;565;620;355;945;15585;5125
5394;P Education;2010;22435;15970;2570;870;620;540;595;345;925;17275;5155
5395;85 Education;2006;18005;11410;2725;710;655;590;625;385;900;13265;4740
5396;85 Education;2007;18080;11760;2145;980;715;555;620;400;910;13315;4765
5397;85 Education;2008;19205;13130;2155;885;745;605;515;375;795;14270;4935
5398;85 Education;2009;20705;14320;2350;890;660;565;620;355;945;15585;5125
5399;85 Education;2010;22435;15970;2570;870;620;540;595;345;925;17275;5155
5400;852 Primary and special education;2006;1485;35;25;5;125;260;340;220;475;40;1445
5401;852 Primary and special education;2007;1405;35;20;10;85;220;335;230;470;35;1370
5402;852 Primary and special education;2008;1350;50;20;25;165;255;230;195;410;50;1300
5403;852 Primary and special education;2009;1335;50;15;10;75;185;305;190;500;45;1290
5404;852 Primary and special education;2010;1290;60;25;15;65;175;295;175;490;65;1225
5405;85201 Primary compulsory education;2006;1260;15;10;5;120;245;290;170;400;10;1250
5406;85201 Primary compulsory education;2007;1190;15;5;5;85;215;295;170;395;10;1180
5407;85201 Primary compulsory education;2008;1145;20;10;25;160;245;185;155;350;15;1130
5408;85201 Primary compulsory education;2009;1140;20;10;5;70;175;280;145;425;15;1125
5409;85201 Primary compulsory education;2010;1090;20;10;10;60;170;270;135;420;25;1070
5410;85202 Special primary education;2006;115;5;10;0;5;10;30;25;35;10;105
5411;85202 Special primary education;2007;115;10;5;0;0;5;30;35;30;10;105
5412;85202 Special primary education;2008;110;15;5;0;5;10;25;20;25;15;95
5413;85202 Special primary education;2009;95;15;0;5;0;5;15;25;30;10;90
5414;85202 Special primary education;2010;105;25;5;5;0;5;15;20;30;20;85
5415;85203 Special education (expert centres);2006;110;15;5;0;0;5;20;25;40;20;90
5416;85203 Special education (expert centres);2007;100;10;5;0;0;0;15;25;40;15;85
5417;85203 Special education (expert centres);2008;95;15;5;0;0;5;20;15;30;20;75
5418;85203 Special education (expert centres);2009;100;15;5;0;0;5;10;20;45;20;80
5419;85203 Special education (expert centres);2010;95;15;5;0;0;5;10;15;40;20;75
5420;853 Secondary education;2006;905;270;70;40;35;35;65;75;320;330;575
5421;853 Secondary education;2007;920;295;65;40;45;30;50;80;320;345;575
5422;853 Secondary education;2008;935;325;65;40;40;30;55;85;290;370;570
5423;853 Secondary education;2009;955;340;75;35;35;30;45;65;325;375;575
5424;853 Secondary education;2010;970;365;75;35;30;30;45;65;325;400;570
5425;85311 Havo and vwo;2006;95;5;0;0;0;0;10;25;50;5;90
5426;85311 Havo and vwo;2007;90;5;0;0;0;0;5;25;50;5;85
5427;85311 Havo and vwo;2008;90;5;5;0;0;5;10;35;35;5;85
5428;85311 Havo and vwo;2009;90;5;0;0;0;0;5;20;55;5;85
5429;85311 Havo and vwo;2010;90;5;0;0;0;0;5;20;55;5;85
5430;85312 Lower vocational education;2006;315;185;15;10;10;10;20;15;55;200;120
5431;85312 Lower vocational education;2007;300;175;10;10;5;10;20;15;50;185;110
5432;85312 Lower vocational education;2008;290;180;10;10;5;5;20;20;40;190;100
5433;85312 Lower vocational education;2009;270;170;10;5;5;5;15;15;45;175;90
5434;85312 Lower vocational education;2010;260;170;5;5;0;5;15;15;45;175;85
5435;85313 Practical education;2006;35;15;5;0;0;0;10;5;0;15;20
5436;85313 Practical education;2007;45;20;5;0;0;0;10;5;0;20;25
5437;85313 Practical education;2008;55;30;5;0;5;0;10;5;0;25;30
5438;85313 Practical education;2009;65;35;10;0;5;5;5;5;5;35;35
5439;85313 Practical education;2010;70;35;10;0;5;5;5;5;5;35;30
5440;85314 Comprehensive schools;2006;170;0;0;0;0;0;5;10;155;0;170
5441;85314 Comprehensive schools;2007;180;5;0;0;0;0;0;10;165;0;175
5442;85314 Comprehensive schools;2008;185;0;0;0;0;0;5;10;165;5;185
5443;85314 Comprehensive schools;2009;185;5;0;0;0;0;0;10;165;5;180
5444;85314 Comprehensive schools;2010;185;5;0;0;0;0;5;10;165;5;180
5445;85321 Secondary vocational education;2006;160;35;30;20;20;15;10;15;20;70;90
5446;85321 Secondary vocational education;2007;175;50;30;20;25;10;10;15;15;80;95
5447;85321 Secondary vocational education;2008;175;60;25;25;15;15;10;10;15;85;90
5448;85321 Secondary vocational education;2009;190;70;30;15;20;10;10;15;20;85;105
5449;85321 Secondary vocational education;2010;195;75;30;15;20;10;10;15;15;90;105
5450;85322 Adult education;2006;40;15;10;5;5;5;5;0;0;20;20
5451;85322 Adult education;2007;45;20;10;0;5;5;5;0;0;25;20
5452;85322 Adult education;2008;50;25;10;5;5;0;5;0;0;30;20
5453;85322 Adult education;2009;60;35;15;0;0;5;5;0;0;40;20
5454;85322 Adult education;2010;75;50;15;0;5;5;5;0;0;55;20
5455;85323 Combined vocational education;2006;90;15;10;0;0;5;10;5;40;20;65
5456;85323 Combined vocational education;2007;90;25;5;5;5;5;5;5;40;30;65
5457;85323 Combined vocational education;2008;85;20;10;5;5;5;5;5;40;30;60
5458;85323 Combined vocational education;2009;95;25;5;5;5;5;5;0;40;35;60
5459;85323 Combined vocational education;2010;95;30;10;5;5;5;5;0;40;35;60
5460;854 Higher education;2006;280;85;50;20;25;20;20;15;50;90;190
5461;854 Higher education;2007;285;85;40;30;30;20;20;15;50;90;195
5462;854 Higher education;2008;295;100;35;30;30;15;15;15;50;95;200
5463;854 Higher education;2009;300;110;30;25;30;20;15;15;55;100;200
5464;854 Higher education;2010;320;130;35;25;30;20;10;15;55;125;195
5465;8541 Post-secondary education;2006;190;60;30;15;15;15;10;10;40;70;120
5466;8541 Post-secondary education;2007;195;65;25;20;15;15;10;10;40;70;125
5467;8541 Post-secondary education;2008;200;75;30;20;15;10;10;10;35;75;125
5468;8541 Post-secondary education;2009;200;75;25;15;15;10;10;10;40;75;125
5469;8541 Post-secondary education;2010;205;80;30;15;15;10;5;10;40;85;120
5470;8542 Tertiary education;2006;90;25;15;5;10;5;5;10;15;20;70
5471;8542 Tertiary education;2007;90;20;10;10;10;5;10;10;15;20;70
5472;8542 Tertiary education;2008;95;25;10;10;15;5;10;5;15;20;70
5473;8542 Tertiary education;2009;100;35;10;10;10;10;5;5;15;25;75
5474;8542 Tertiary education;2010;115;45;10;10;15;10;5;5;15;40;75
5475;855 Other education;2006;14965;10775;2530;630;460;270;185;65;45;12550;2415
5476;855 Other education;2007;15070;11085;1970;875;540;275;200;60;55;12565;2505
5477;855 Other education;2008;16220;12370;1990;765;495;295;195;75;40;13475;2745
5478;855 Other education;2009;17695;13515;2180;800;515;320;240;70;55;14760;2935
5479;855 Other education;2010;19410;15090;2385;780;490;310;235;75;50;16360;3050
5480;85511 Sailing and surfing instruction;2006;40;10;5;15;5;5;0;0;0;25;15
5481;85511 Sailing and surfing instruction;2007;45;5;10;15;10;5;0;0;0;30;15
5482;85511 Sailing and surfing instruction;2008;45;10;5;15;5;5;0;0;0;30;15
5483;85511 Sailing and surfing instruction;2009;45;15;10;10;5;5;0;0;0;25;20
5484;85511 Sailing and surfing instruction;2010;45;15;5;10;5;5;0;0;0;30;20
5485;85519 Other recreation education;2006;220;65;60;50;30;10;0;0;0;150;70
5486;85519 Other recreation education;2007;260;80;50;80;45;5;5;0;0;195;65
5487;85519 Other recreation education;2008;295;115;75;65;30;10;5;0;0;215;85
5488;85519 Other recreation education;2009;345;140;80;65;35;15;5;0;0;250;95
5489;85519 Other recreation education;2010;365;160;85;70;35;15;5;0;0;260;105
5490;85521 Dancing schools;2006;155;45;60;30;15;5;0;0;0;110;45
5491;85521 Dancing schools;2007;165;45;45;55;20;0;0;0;0;120;45
5492;85521 Dancing schools;2008;180;55;55;50;15;5;0;0;0;135;45
5493;85521 Dancing schools;2009;185;60;55;45;20;5;0;0;0;140;45
5494;85521 Dancing schools;2010;185;65;55;40;20;5;0;0;0;145;45
5495;85522 Artistic education for amateurs;2006;285;75;45;20;40;40;45;15;5;85;200
5496;85522 Artistic education for amateurs;2007;295;70;55;35;30;40;45;15;5;105;190
5497;85522 Artistic education for amateurs;2008;295;95;35;35;30;40;35;20;5;105;190
5498;85522 Artistic education for amateurs;2009;300;95;35;35;25;30;50;20;5;115;180
5499;85522 Artistic education for amateurs;2010;290;100;35;30;20;30;45;20;5;120;170
5500;8553 Driving schools;2006;5655;4420;845;180;125;65;20;5;0;5475;180
5501;8553 Driving schools;2007;5835;4760;635;210;135;70;25;5;0;5670;165
5502;8553 Driving schools;2008;5980;4990;610;180;115;60;25;5;0;5795;185
5503;8553 Driving schools;2009;6075;5080;600;170;125;65;35;5;0;5895;185
5504;8553 Driving schools;2010;6305;5310;620;165;120;55;35;5;0;6105;205
5505;85591 Distance education;2006;65;30;10;5;5;5;5;0;5;30;40
5506;85591 Distance education;2007;60;30;10;5;5;0;5;0;5;25;40
5507;85591 Distance education;2008;65;40;5;5;5;5;5;0;5;25;40
5508;85591 Distance education;2009;70;40;10;5;5;5;0;0;5;30;45
5509;85591 Distance education;2010;75;40;10;5;5;5;0;0;5;25;45
5510;85592 Business education and training;2006;7080;5140;1190;265;200;115;95;40;30;5510;1570
5511;85592 Business education and training;2007;7000;5105;940;390;245;135;105;35;35;5310;1690
5512;85592 Business education and training;2008;7800;5940;950;345;240;145;110;45;25;5915;1880
5513;85592 Business education and training;2009;8890;6775;1120;385;235;165;130;40;40;6830;2060
5514;85592 Business education and training;2010;9935;7705;1260;375;225;160;130;45;35;7795;2140
5515;85599 Tutoring and education n.e.c.;2006;1460;985;305;60;40;30;15;10;10;1165;295
5516;85599 Tutoring and education n.e.c.;2007;1410;985;230;80;55;25;20;5;10;1120;290
5517;85599 Tutoring and education n.e.c.;2008;1560;1120;255;75;55;30;15;5;5;1255;305
5518;85599 Tutoring and education n.e.c.;2009;1780;1305;275;85;60;30;20;5;5;1475;305
5519;85599 Tutoring and education n.e.c.;2010;2205;1700;310;80;55;30;20;5;5;1880;325
5520;856 Educational support activities;2006;370;245;60;15;10;5;15;10;10;255;115
5521;856 Educational support activities;2007;395;260;50;25;15;5;15;10;10;275;120
5522;856 Educational support activities;2008;405;285;45;25;10;5;15;10;5;285;120
5523;856 Educational support activities;2009;425;305;50;20;10;10;10;15;5;305;120
5524;856 Educational support activities;2010;445;320;55;20;5;10;10;15;5;325;120
5525;8560 Educational support activities;2006;370;245;60;15;10;5;15;10;10;255;115
5526;8560 Educational support activities;2007;395;260;50;25;15;5;15;10;10;275;120
5527;8560 Educational support activities;2008;405;285;45;25;10;5;15;10;5;285;120
5528;8560 Educational support activities;2009;425;305;50;20;10;10;10;15;5;305;120
5529;8560 Educational support activities;2010;445;320;55;20;5;10;10;15;5;325;120
5530;Q Health and social work activities;2006;40110;15550;9750;6990;4040;1375;815;525;1065;27725;12385
5531;Q Health and social work activities;2007;41945;19295;7300;6470;4770;1670;890;515;1040;28995;12950
5532;Q Health and social work activities;2008;43595;22460;6965;5980;4180;1620;895;480;1010;30130;13465
5533;Q Health and social work activities;2009;46605;24105;7255;5960;4690;1950;1045;495;1105;32885;13720
5534;Q Health and social work activities;2010;51015;28290;7750;5895;4605;1925;1020;465;1055;36990;14025
5535;86 Human health activities;2006;31345;11905;8745;6185;3160;700;240;100;305;25450;5890
5536;86 Human health activities;2007;32495;15260;6265;5505;3815;950;300;100;300;26065;6430
5537;86 Human health activities;2008;33770;17900;5915;5120;3265;890;300;95;290;26785;6985
5538;86 Human health activities;2009;36220;19530;6025;5085;3685;1130;355;100;310;28880;7340
5539;86 Human health activities;2010;40060;23180;6330;5035;3635;1120;355;100;305;32445;7615
5540;861 Hospitals;2006;315;50;30;15;10;5;5;10;195;50;265
5541;861 Hospitals;2007;315;50;25;20;10;5;5;5;195;50;265
5542;861 Hospitals;2008;315;55;25;20;15;5;5;5;185;50;265
5543;861 Hospitals;2009;365;80;30;30;15;15;10;0;185;65;300
5544;861 Hospitals;2010;390;95;35;30;20;15;10;0;180;70;315
5545;86101 University hospitals;2006;10;0;0;0;0;0;0;0;10;0;10
