ID;EnterpriseSize;SectorBranchesSIC2008;Periods;TurnoverIndices_1;TurnoverYearOnYearChange_2
7182;10 or more employed persons;422 Construction of utility projects;2005 January;39.5;10.0
7183;10 or more employed persons;422 Construction of utility projects;2005 February;42.1;3.6
7184;10 or more employed persons;422 Construction of utility projects;2005 March;44.8;-0.1
7185;10 or more employed persons;422 Construction of utility projects;2005 1st quarter;42.1;4.1
7186;10 or more employed persons;422 Construction of utility projects;2005 April;64.0;9.8
7187;10 or more employed persons;422 Construction of utility projects;2005 May;59.1;6.6
7188;10 or more employed persons;422 Construction of utility projects;2005 June;72.9;14.9
7189;10 or more employed persons;422 Construction of utility projects;2005 2nd quarter;65.3;10.7
7190;10 or more employed persons;422 Construction of utility projects;2005 July;76.0;17.1
7191;10 or more employed persons;422 Construction of utility projects;2005 August;41.7;21.8
7192;10 or more employed persons;422 Construction of utility projects;2005 September;70.0;7.5
7193;10 or more employed persons;422 Construction of utility projects;2005 3rd quarter;62.6;14.3
7194;10 or more employed persons;422 Construction of utility projects;2005 October;71.5;4.5
7195;10 or more employed persons;422 Construction of utility projects;2005 November;82.3;10.4
7196;10 or more employed persons;422 Construction of utility projects;2005 December;92.3;-2.3
7197;10 or more employed persons;422 Construction of utility projects;2005 4th quarter;82.0;3.6
7198;10 or more employed persons;422 Construction of utility projects;2005;63.0;8.0
7199;10 or more employed persons;422 Construction of utility projects;2006 January;36.1;-8.6
7200;10 or more employed persons;422 Construction of utility projects;2006 February;44.7;6.3
7201;10 or more employed persons;422 Construction of utility projects;2006 March;52.1;16.2
7202;10 or more employed persons;422 Construction of utility projects;2006 1st quarter;44.3;5.1
7203;10 or more employed persons;422 Construction of utility projects;2006 April;63.9;-0.2
7204;10 or more employed persons;422 Construction of utility projects;2006 May;70.9;20.0
7205;10 or more employed persons;422 Construction of utility projects;2006 June;77.4;6.2
7206;10 or more employed persons;422 Construction of utility projects;2006 2nd quarter;70.7;8.3
7207;10 or more employed persons;422 Construction of utility projects;2006 July;79.8;5.0
7208;10 or more employed persons;422 Construction of utility projects;2006 August;49.1;17.6
7209;10 or more employed persons;422 Construction of utility projects;2006 September;79.3;13.4
7210;10 or more employed persons;422 Construction of utility projects;2006 3rd quarter;69.4;10.9
7211;10 or more employed persons;422 Construction of utility projects;2006 October;80.3;12.2
7212;10 or more employed persons;422 Construction of utility projects;2006 November;92.3;12.1
7213;10 or more employed persons;422 Construction of utility projects;2006 December;104.9;13.6
7214;10 or more employed persons;422 Construction of utility projects;2006 4th quarter;92.5;12.7
7215;10 or more employed persons;422 Construction of utility projects;2006;69.2;9.8
7216;10 or more employed persons;422 Construction of utility projects;2007 January;44.9;24.5
7217;10 or more employed persons;422 Construction of utility projects;2007 February;52.0;16.3
7218;10 or more employed persons;422 Construction of utility projects;2007 March;57.4;10.1
7219;10 or more employed persons;422 Construction of utility projects;2007 1st quarter;51.4;16.1
7220;10 or more employed persons;422 Construction of utility projects;2007 April;67.5;5.7
7221;10 or more employed persons;422 Construction of utility projects;2007 May;74.9;5.6
7222;10 or more employed persons;422 Construction of utility projects;2007 June;80.7;4.3
7223;10 or more employed persons;422 Construction of utility projects;2007 2nd quarter;74.4;5.2
7224;10 or more employed persons;422 Construction of utility projects;2007 July;77.1;-3.4
7225;10 or more employed persons;422 Construction of utility projects;2007 August;54.6;11.3
7226;10 or more employed persons;422 Construction of utility projects;2007 September;76.0;-4.2
7227;10 or more employed persons;422 Construction of utility projects;2007 3rd quarter;69.2;-0.2
7228;10 or more employed persons;422 Construction of utility projects;2007 October;84.5;5.4
7229;10 or more employed persons;422 Construction of utility projects;2007 November;91.3;-1.1
7230;10 or more employed persons;422 Construction of utility projects;2007 December;108.2;3.1
7231;10 or more employed persons;422 Construction of utility projects;2007 4th quarter;94.7;2.4
7232;10 or more employed persons;422 Construction of utility projects;2007;72.4;4.6
7233;10 or more employed persons;422 Construction of utility projects;2008 January;45.5;1.3
7234;10 or more employed persons;422 Construction of utility projects;2008 February;55.3;6.4
7235;10 or more employed persons;422 Construction of utility projects;2008 March;61.3;6.9
7236;10 or more employed persons;422 Construction of utility projects;2008 1st quarter;54.0;5.1
7237;10 or more employed persons;422 Construction of utility projects;2008 April;80.8;19.7
7238;10 or more employed persons;422 Construction of utility projects;2008 May;74.7;-0.3
7239;10 or more employed persons;422 Construction of utility projects;2008 June;87.9;8.9
7240;10 or more employed persons;422 Construction of utility projects;2008 2nd quarter;81.1;9.1
7241;10 or more employed persons;422 Construction of utility projects;2008 July;82.5;7.0
7242;10 or more employed persons;422 Construction of utility projects;2008 August;57.9;6.0
7243;10 or more employed persons;422 Construction of utility projects;2008 September;82.4;8.4
7244;10 or more employed persons;422 Construction of utility projects;2008 3rd quarter;74.3;7.3
7245;10 or more employed persons;422 Construction of utility projects;2008 October;85.9;1.6
7246;10 or more employed persons;422 Construction of utility projects;2008 November;88.5;-3.1
7247;10 or more employed persons;422 Construction of utility projects;2008 December;106.6;-1.4
7248;10 or more employed persons;422 Construction of utility projects;2008 4th quarter;93.7;-1.0
7249;10 or more employed persons;422 Construction of utility projects;2008;75.8;4.6
7250;10 or more employed persons;422 Construction of utility projects;2009 January;51.3;12.7
7251;10 or more employed persons;422 Construction of utility projects;2009 February;68.5;23.9
7252;10 or more employed persons;422 Construction of utility projects;2009 March;91.9;49.8
7253;10 or more employed persons;422 Construction of utility projects;2009 1st quarter;70.6;30.6
7254;10 or more employed persons;422 Construction of utility projects;2009 April;90.9;12.5
7255;10 or more employed persons;422 Construction of utility projects;2009 May;82.3;10.3
7256;10 or more employed persons;422 Construction of utility projects;2009 June;98.2;11.7
7257;10 or more employed persons;422 Construction of utility projects;2009 2nd quarter;90.5;11.5
7258;10 or more employed persons;422 Construction of utility projects;2009 July;89.1;8.0
7259;10 or more employed persons;422 Construction of utility projects;2009 August;80.6;39.2
7260;10 or more employed persons;422 Construction of utility projects;2009 September;85.7;4.0
7261;10 or more employed persons;422 Construction of utility projects;2009 3rd quarter;85.1;14.6
7262;10 or more employed persons;422 Construction of utility projects;2009 October;105.0;22.2
7263;10 or more employed persons;422 Construction of utility projects;2009 November;104.2;17.8
7264;10 or more employed persons;422 Construction of utility projects;2009 December;105.6;-1.0
7265;10 or more employed persons;422 Construction of utility projects;2009 4th quarter;104.9;12.0
7266;10 or more employed persons;422 Construction of utility projects;2009;87.8;15.8
7267;10 or more employed persons;422 Construction of utility projects;2010 January;46.9;-8.6
7268;10 or more employed persons;422 Construction of utility projects;2010 February;56.0;-18.3
7269;10 or more employed persons;422 Construction of utility projects;2010 March;73.6;-19.9
7270;10 or more employed persons;422 Construction of utility projects;2010 1st quarter;58.8;-16.6
7271;10 or more employed persons;422 Construction of utility projects;2010 April;73.9;-18.7
7272;10 or more employed persons;422 Construction of utility projects;2010 May;67.9;-17.6
7273;10 or more employed persons;422 Construction of utility projects;2010 June;83.9;-14.5
7274;10 or more employed persons;422 Construction of utility projects;2010 2nd quarter;75.2;-16.8
7275;10 or more employed persons;422 Construction of utility projects;2010 July;76.3;-14.4
7276;10 or more employed persons;422 Construction of utility projects;2010 August;57.2;-29.0
7277;10 or more employed persons;422 Construction of utility projects;2010 September;82.2;-4.1
7278;10 or more employed persons;422 Construction of utility projects;2010 3rd quarter;71.9;-15.6
7279;10 or more employed persons;422 Construction of utility projects;2010 October;83.4;-20.6
7280;10 or more employed persons;422 Construction of utility projects;2010 November;94.6;-9.3
7281;10 or more employed persons;422 Construction of utility projects;2010 December;101.0;-4.3
7282;10 or more employed persons;422 Construction of utility projects;2010 4th quarter;93.0;-11.4
7283;10 or more employed persons;422 Construction of utility projects;2010;74.7;-14.9
7284;10 or more employed persons;422 Construction of utility projects;2011 January;44.6;-4.8
7285;10 or more employed persons;422 Construction of utility projects;2011 February;56.1;0.2
7286;10 or more employed persons;422 Construction of utility projects;2011 March;75.0;1.9
7287;10 or more employed persons;422 Construction of utility projects;2011 1st quarter;58.6;-0.4
7288;10 or more employed persons;422 Construction of utility projects;2011 April;70.5;-4.7
7289;10 or more employed persons;422 Construction of utility projects;2011 May;75.9;11.9
7290;10 or more employed persons;422 Construction of utility projects;2011 June;73.1;-12.9
7291;10 or more employed persons;422 Construction of utility projects;2011 2nd quarter;73.2;-2.7
7292;10 or more employed persons;422 Construction of utility projects;2011 July;66.9;-12.3
7293;10 or more employed persons;422 Construction of utility projects;2011 August;57.8;0.9
7294;10 or more employed persons;422 Construction of utility projects;2011 September;81.4;-0.9
7295;10 or more employed persons;422 Construction of utility projects;2011 3rd quarter;68.7;-4.4
7296;10 or more employed persons;422 Construction of utility projects;2011 October;78.3;-6.2
7297;10 or more employed persons;422 Construction of utility projects;2011 November;89.8;-5.0
