ID;CommodityFlows;CommodityGroups;Continents;Periods;Estimate_1;LowerBound95ConfidenceInterval_2;UpperBound95ConfidenceInterval_3;ConfidenceInterval_4;ShareInCommodityFlow_5;GrowthIndication_6;Estimate_7;LowerBound95ConfidenceInterval_8;UpperBound95ConfidenceInterval_9;ConfidenceInterval_10;ShareInCommodityFlow_11;GrowthIndication_12
2549;Imports for re-exports;Total;Total all continents;2015;152712;146736;158687;4.0;100;1.0;107746;101960;113531;5.0;100;2.0
2550;Imports for re-exports;Total;Total all continents;2016;156263;150136;162391;4.0;100;9.0;114203;107275;121130;6.0;100;4.0
2551;Imports for re-exports;Total;Total all continents;2017;170508;163707;177310;4.0;100;4.0;114988;108706;121271;5.0;100;9.0
2552;Imports for re-exports;Total;Africa;2007;2098;2016;2180;4.0;2;;7001;6383;7619;9.0;7;
2553;Imports for re-exports;Total;Africa;2008;1976;1892;2060;4.0;1;2.0;2782;2597;2968;7.0;4;1.0
2554;Imports for re-exports;Total;Africa;2009;1607;1524;1689;5.0;1;1.0;2292;2136;2447;7.0;3;1.0
2555;Imports for re-exports;Total;Africa;2010;2158;2059;2256;5.0;1;5.0;2580;2420;2739;6.0;3;5.0
2556;Imports for re-exports;Total;Africa;2011;2444;2329;2558;5.0;2;5.0;2621;2456;2787;6.0;3;9.0
2557;Imports for re-exports;Total;Africa;2012;2991;2845;3137;5.0;2;5.0;3990;3699;4281;7.0;4;5.0
2558;Imports for re-exports;Total;Africa;2013;3632;3445;3820;5.0;2;5.0;6025;5553;6496;8.0;5;5.0
2559;Imports for re-exports;Total;Africa;2014;3373;3207;3538;5.0;2;2.0;4839;4487;5190;7.0;4;1.0
2560;Imports for re-exports;Total;Africa;2015;2669;2534;2804;5.0;2;1.0;3516;3221;3810;8.0;3;1.0
2561;Imports for re-exports;Total;Africa;2016;2934;2843;3026;3.0;2;4.0;3037;2802;3272;8.0;3;1.0
2562;Imports for re-exports;Total;Africa;2017;2852;2737;2966;4.0;2;9.0;3168;2926;3410;8.0;3;9.0
2563;Imports for re-exports;Total;America;2007;20522;19171;21874;7.0;16;;14897;13853;15940;7.0;16;
2564;Imports for re-exports;Total;America;2008;21791;20436;23146;6.0;16;9.0;12370;11494;13246;7.0;16;1.0
2565;Imports for re-exports;Total;America;2009;19481;18285;20678;6.0;16;1.0;12074;11252;12896;7.0;15;9.0
2566;Imports for re-exports;Total;America;2010;17692;16343;19042;8.0;12;2.0;13045;12130;13960;7.0;14;4.0
2567;Imports for re-exports;Total;America;2011;18664;17420;19909;7.0;12;9.0;17644;16491;18796;7.0;18;5.0
2568;Imports for re-exports;Total;America;2012;23305;21800;24811;6.0;14;5.0;22437;20857;24018;7.0;20;5.0
2569;Imports for re-exports;Total;America;2013;22896;21507;24285;6.0;13;9.0;24020;22287;25753;7.0;19;9.0
2570;Imports for re-exports;Total;America;2014;21043;19630;22455;7.0;12;2.0;14701;13793;15609;6.0;13;1.0
2571;Imports for re-exports;Total;America;2015;18513;17362;19663;6.0;12;1.0;14677;13767;15588;6.0;14;9.0
2572;Imports for re-exports;Total;America;2016;20159;18978;21339;6.0;13;4.0;15160;14131;16189;7.0;13;9.0
2573;Imports for re-exports;Total;America;2017;19879;18684;21075;6.0;12;9.0;13050;12140;13960;7.0;11;1.0
2574;Imports for re-exports;Total;Asia;2007;38229;34575;41883;10.0;29;;8928;8356;9501;6.0;9;
2575;Imports for re-exports;Total;Asia;2008;36894;33553;40234;9.0;27;9.0;7822;7277;8367;7.0;10;1.0
2576;Imports for re-exports;Total;Asia;2009;33045;30001;36090;9.0;27;1.0;6601;6120;7082;7.0;8;1.0
2577;Imports for re-exports;Total;Asia;2010;43628;39763;47494;9.0;30;5.0;8611;8006;9216;7.0;9;5.0
2578;Imports for re-exports;Total;Asia;2011;41884;38109;45659;9.0;28;9.0;9795;9223;10366;6.0;10;5.0
2579;Imports for re-exports;Total;Asia;2012;47842;44009;51675;8.0;28;5.0;13628;12601;14655;8.0;12;5.0
2580;Imports for re-exports;Total;Asia;2013;48240;44450;52030;8.0;28;9.0;14823;13614;16033;8.0;12;4.0
2581;Imports for re-exports;Total;Asia;2014;49994;45939;54050;8.0;29;9.0;13801;12755;14848;8.0;12;2.0
2582;Imports for re-exports;Total;Asia;2015;42531;38994;46068;8.0;28;1.0;10906;10076;11737;8.0;10;1.0
2583;Imports for re-exports;Total;Asia;2016;43631;39946;47316;8.0;28;9.0;12797;11775;13818;8.0;11;5.0
2584;Imports for re-exports;Total;Asia;2017;48716;44523;52909;9.0;29;5.0;13537;12542;14533;7.0;12;9.0
2585;Imports for re-exports;Total;Europe;2007;70881;66825;74938;6.0;54;;61712;57386;66037;7.0;65;
2586;Imports for re-exports;Total;Europe;2008;77289;72873;81705;6.0;56;4.0;55786;52139;59432;7.0;70;2.0
2587;Imports for re-exports;Total;Europe;2009;66737;62807;70667;6.0;55;1.0;60176;55871;64481;7.0;74;4.0
2588;Imports for re-exports;Total;Europe;2010;83081;78498;87664;6.0;56;5.0;66186;61550;70823;7.0;73;4.0
2589;Imports for re-exports;Total;Europe;2011;87359;82571;92148;5.0;58;9.0;67899;62748;73049;8.0;69;9.0
2590;Imports for re-exports;Total;Europe;2012;93517;88580;98454;5.0;56;4.0;71244;65960;76528;7.0;63;9.0
2591;Imports for re-exports;Total;Europe;2013;97819;92822;102815;5.0;56;9.0;80183;73747;86619;8.0;63;5.0
2592;Imports for re-exports;Total;Europe;2014;96315;91397;101233;5.0;56;9.0;78985;72812;85157;8.0;70;9.0
2593;Imports for re-exports;Total;Europe;2015;87897;83266;92528;5.0;58;2.0;77251;71594;82908;7.0;72;9.0
2594;Imports for re-exports;Total;Europe;2016;88343;83667;93018;5.0;57;9.0;81338;74555;88122;8.0;71;9.0
2595;Imports for re-exports;Total;Europe;2017;97624;92477;102772;5.0;57;5.0;83248;77109;89388;7.0;72;9.0
2596;Imports for re-exports;Total;Oceania;2007;469;451;488;4.0;0;;1965;1841;2089;6.0;2;
2597;Imports for re-exports;Total;Oceania;2008;408;391;425;4.0;0;1.0;464;417;512;10.0;1;1.0
2598;Imports for re-exports;Total;Oceania;2009;345;329;361;5.0;0;1.0;397;362;433;9.0;0;1.0
2599;Imports for re-exports;Total;Oceania;2010;350;335;365;4.0;0;9.0;412;369;455;10.0;0;9.0
2600;Imports for re-exports;Total;Oceania;2011;431;413;450;4.0;0;5.0;555;491;618;11.0;1;5.0
2601;Imports for re-exports;Total;Oceania;2012;490;467;513;5.0;0;5.0;616;564;667;8.0;1;5.0
2602;Imports for re-exports;Total;Oceania;2013;289;265;313;8.0;0;1.0;981;884;1079;10.0;1;5.0
2603;Imports for re-exports;Total;Oceania;2014;649;619;678;5.0;0;5.0;713;646;781;9.0;1;1.0
2604;Imports for re-exports;Total;Oceania;2015;566;538;594;5.0;0;1.0;747;676;818;9.0;1;9.0
2605;Imports for re-exports;Total;Oceania;2016;626;595;658;5.0;0;5.0;1000;910;1089;9.0;1;5.0
2606;Imports for re-exports;Total;Oceania;2017;780;744;817;5.0;0;5.0;1068;991;1146;7.0;1;9.0
2607;Imports for re-exports;Total;Unspecified countries and areas;2007;120;111;130;8.0;0;;110;101;120;9.0;0;
2608;Imports for re-exports;Total;Unspecified countries and areas;2008;184;168;200;9.0;0;5.0;105;95;114;9.0;0;9.0
2609;Imports for re-exports;Total;Unspecified countries and areas;2009;211;194;227;8.0;0;5.0;204;185;223;9.0;0;5.0
2610;Imports for re-exports;Total;Unspecified countries and areas;2010;285;265;305;7.0;0;5.0;226;198;254;12.0;0;9.0
2611;Imports for re-exports;Total;Unspecified countries and areas;2011;154;143;165;7.0;0;1.0;116;106;127;9.0;0;1.0
2612;Imports for re-exports;Total;Unspecified countries and areas;2012;260;244;277;6.0;0;5.0;285;255;315;11.0;0;5.0
2613;Imports for re-exports;Total;Unspecified countries and areas;2013;450;419;481;7.0;0;5.0;618;541;695;13.0;0;5.0
2614;Imports for re-exports;Total;Unspecified countries and areas;2014;512;481;543;6.0;0;5.0;177;155;198;12.0;0;1.0
2615;Imports for re-exports;Total;Unspecified countries and areas;2015;536;503;568;6.0;0;9.0;648;562;734;13.0;1;5.0
2616;Imports for re-exports;Total;Unspecified countries and areas;2016;570;536;604;6.0;0;4.0;871;753;989;14.0;1;5.0
2617;Imports for re-exports;Total;Unspecified countries and areas;2017;657;617;698;6.0;0;5.0;917;796;1037;13.0;1;9.0
2618;Imports for re-exports;0 Agricultural products and live animals;Total all continents;2007;3785;3545;4025;6.0;3;;5843;5214;6472;11.0;6;
2619;Imports for re-exports;0 Agricultural products and live animals;Total all continents;2008;4312;4046;4579;6.0;3;5.0;5785;5091;6479;12.0;7;9.0
2620;Imports for re-exports;0 Agricultural products and live animals;Total all continents;2009;4019;3773;4266;6.0;3;2.0;5785;5130;6440;11.0;7;9.0
2621;Imports for re-exports;0 Agricultural products and live animals;Total all continents;2010;4541;4262;4820;6.0;3;5.0;5798;5154;6443;11.0;6;9.0
2622;Imports for re-exports;0 Agricultural products and live animals;Total all continents;2011;4851;4551;5150;6.0;3;4.0;6257;5578;6935;11.0;6;9.0
2623;Imports for re-exports;0 Agricultural products and live animals;Total all continents;2012;4731;4471;4992;5.0;3;9.0;5593;4999;6187;11.0;5;1.0
2624;Imports for re-exports;0 Agricultural products and live animals;Total all continents;2013;5183;4898;5468;5.0;3;4.0;6024;5354;6694;11.0;5;9.0
2625;Imports for re-exports;0 Agricultural products and live animals;Total all continents;2014;5525;5208;5843;6.0;3;4.0;8051;7169;8933;11.0;7;5.0
2626;Imports for re-exports;0 Agricultural products and live animals;Total all continents;2015;5430;5102;5758;6.0;4;9.0;6021;5301;6740;12.0;6;1.0
2627;Imports for re-exports;0 Agricultural products and live animals;Total all continents;2016;5727;5387;6068;6.0;4;9.0;6200;5505;6895;11.0;5;9.0
2628;Imports for re-exports;0 Agricultural products and live animals;Total all continents;2017;6378;6005;6752;6.0;4;5.0;6647;5874;7420;12.0;6;9.0
2629;Imports for re-exports;0 Agricultural products and live animals;Africa;2007;401;360;441;10.0;0;;468;400;537;15.0;0;
2630;Imports for re-exports;0 Agricultural products and live animals;Africa;2008;521;469;572;10.0;0;5.0;298;218;378;27.0;0;1.0
2631;Imports for re-exports;0 Agricultural products and live animals;Africa;2009;495;446;544;10.0;0;9.0;488;418;558;14.0;1;5.0
2632;Imports for re-exports;0 Agricultural products and live animals;Africa;2010;538;484;593;10.0;0;9.0;499;423;575;15.0;1;9.0
2633;Imports for re-exports;0 Agricultural products and live animals;Africa;2011;468;420;516;10.0;0;1.0;436;371;501;15.0;0;1.0
2634;Imports for re-exports;0 Agricultural products and live animals;Africa;2012;527;477;578;10.0;0;5.0;496;429;564;14.0;0;9.0
2635;Imports for re-exports;0 Agricultural products and live animals;Africa;2013;617;558;675;10.0;0;5.0;520;446;594;14.0;0;9.0
2636;Imports for re-exports;0 Agricultural products and live animals;Africa;2014;660;589;731;11.0;0;9.0;502;420;583;16.0;0;9.0
2637;Imports for re-exports;0 Agricultural products and live animals;Africa;2015;439;387;492;12.0;0;1.0;366;302;429;17.0;0;1.0
2638;Imports for re-exports;0 Agricultural products and live animals;Africa;2016;608;573;643;6.0;0;5.0;440;397;483;10.0;0;5.0
2639;Imports for re-exports;0 Agricultural products and live animals;Africa;2017;626;582;671;7.0;0;9.0;449;395;502;12.0;0;9.0
2640;Imports for re-exports;0 Agricultural products and live animals;America;2007;843;757;928;10.0;1;;1039;885;1193;15.0;1;
2641;Imports for re-exports;0 Agricultural products and live animals;America;2008;1047;941;1153;10.0;1;5.0;581;391;771;33.0;1;1.0
2642;Imports for re-exports;0 Agricultural products and live animals;America;2009;940;844;1036;10.0;1;1.0;967;827;1108;15.0;1;5.0
2643;Imports for re-exports;0 Agricultural products and live animals;America;2010;969;871;1068;10.0;1;9.0;974;829;1118;15.0;1;9.0
2644;Imports for re-exports;0 Agricultural products and live animals;America;2011;1013;909;1116;10.0;1;9.0;1055;907;1202;14.0;1;9.0
2645;Imports for re-exports;0 Agricultural products and live animals;America;2012;1127;1041;1213;8.0;1;5.0;968;862;1074;11.0;1;9.0
2646;Imports for re-exports;0 Agricultural products and live animals;America;2013;1333;1234;1432;7.0;1;5.0;891;785;997;12.0;1;9.0
2647;Imports for re-exports;0 Agricultural products and live animals;America;2014;1453;1315;1591;10.0;1;4.0;1520;1321;1720;13.0;1;5.0
2648;Imports for re-exports;0 Agricultural products and live animals;America;2015;1098;998;1198;9.0;1;1.0;825;716;933;13.0;1;1.0
2649;Imports for re-exports;0 Agricultural products and live animals;America;2016;1306;1203;1409;8.0;1;5.0;895;787;1003;12.0;1;9.0
2650;Imports for re-exports;0 Agricultural products and live animals;America;2017;1410;1306;1515;7.0;1;4.0;928;817;1039;12.0;1;9.0
2651;Imports for re-exports;0 Agricultural products and live animals;Asia;2007;344;308;380;10.0;0;;419;357;481;15.0;0;
2652;Imports for re-exports;0 Agricultural products and live animals;Asia;2008;371;332;409;10.0;0;9.0;207;125;288;39.0;0;1.0
2653;Imports for re-exports;0 Agricultural products and live animals;Asia;2009;392;352;433;10.0;0;9.0;236;201;271;15.0;0;9.0
2654;Imports for re-exports;0 Agricultural products and live animals;Asia;2010;531;472;590;11.0;0;5.0;280;237;324;16.0;0;5.0
2655;Imports for re-exports;0 Agricultural products and live animals;Asia;2011;647;581;713;10.0;0;5.0;276;237;316;14.0;0;9.0
2656;Imports for re-exports;0 Agricultural products and live animals;Asia;2012;592;530;654;10.0;0;9.0;262;224;300;14.0;0;9.0
2657;Imports for re-exports;0 Agricultural products and live animals;Asia;2013;489;437;542;11.0;0;1.0;237;202;272;15.0;0;9.0
2658;Imports for re-exports;0 Agricultural products and live animals;Asia;2014;524;472;575;10.0;0;9.0;468;404;533;14.0;0;5.0
2659;Imports for re-exports;0 Agricultural products and live animals;Asia;2015;533;488;579;9.0;0;9.0;179;154;203;14.0;0;1.0
2660;Imports for re-exports;0 Agricultural products and live animals;Asia;2016;525;477;572;9.0;0;9.0;180;155;205;14.0;0;9.0
2661;Imports for re-exports;0 Agricultural products and live animals;Asia;2017;550;488;612;11.0;0;9.0;192;157;228;18.0;0;9.0
2662;Imports for re-exports;0 Agricultural products and live animals;Europe;2007;2149;1931;2368;10.0;2;;3866;3264;4468;16.0;4;
2663;Imports for re-exports;0 Agricultural products and live animals;Europe;2008;2319;2082;2555;10.0;2;9.0;4651;3994;5308;14.0;6;5.0
2664;Imports for re-exports;0 Agricultural products and live animals;Europe;2009;2134;1916;2353;10.0;2;9.0;4039;3405;4673;16.0;5;1.0
2665;Imports for re-exports;0 Agricultural products and live animals;Europe;2010;2454;2204;2703;10.0;2;5.0;4007;3386;4629;16.0;4;9.0
2666;Imports for re-exports;0 Agricultural products and live animals;Europe;2011;2663;2393;2933;10.0;2;9.0;4445;3788;5102;15.0;5;9.0
2667;Imports for re-exports;0 Agricultural products and live animals;Europe;2012;2412;2179;2644;10.0;1;2.0;3810;3231;4388;15.0;3;1.0
2668;Imports for re-exports;0 Agricultural products and live animals;Europe;2013;2697;2441;2954;10.0;2;5.0;4297;3641;4953;15.0;3;9.0
2669;Imports for re-exports;0 Agricultural products and live animals;Europe;2014;2804;2529;3079;10.0;2;9.0;5466;4614;6318;16.0;5;5.0
2670;Imports for re-exports;0 Agricultural products and live animals;Europe;2015;3296;2989;3603;9.0;2;5.0;4619;3911;5326;15.0;4;1.0
2671;Imports for re-exports;0 Agricultural products and live animals;Europe;2016;3227;2909;3546;10.0;2;9.0;4659;3975;5343;15.0;4;9.0
2672;Imports for re-exports;0 Agricultural products and live animals;Europe;2017;3716;3366;4066;9.0;2;5.0;5047;4285;5808;15.0;4;9.0
2673;Imports for re-exports;0 Agricultural products and live animals;Oceania;2007;46;41;51;10.0;0;;50;43;57;14.0;0;
2674;Imports for re-exports;0 Agricultural products and live animals;Oceania;2008;53;47;58;10.0;0;5.0;42;36;49;16.0;0;1.0
2675;Imports for re-exports;0 Agricultural products and live animals;Oceania;2009;57;51;63;10.0;0;9.0;53;46;61;14.0;0;5.0
2676;Imports for re-exports;0 Agricultural products and live animals;Oceania;2010;48;43;53;10.0;0;1.0;36;31;42;15.0;0;1.0
2677;Imports for re-exports;0 Agricultural products and live animals;Oceania;2011;56;50;62;10.0;0;5.0;43;37;50;15.0;0;5.0
2678;Imports for re-exports;0 Agricultural products and live animals;Oceania;2012;71;64;78;10.0;0;5.0;54;46;62;15.0;0;5.0
2679;Imports for re-exports;0 Agricultural products and live animals;Oceania;2013;43;33;53;24.0;0;1.0;74;63;85;15.0;0;5.0
2680;Imports for re-exports;0 Agricultural products and live animals;Oceania;2014;83;74;91;10.0;0;5.0;94;80;107;15.0;0;5.0
2681;Imports for re-exports;0 Agricultural products and live animals;Oceania;2015;63;57;69;10.0;0;1.0;32;28;37;15.0;0;1.0
2682;Imports for re-exports;0 Agricultural products and live animals;Oceania;2016;61;54;67;11.0;0;9.0;25;21;29;15.0;0;1.0
2683;Imports for re-exports;0 Agricultural products and live animals;Oceania;2017;75;67;83;11.0;0;5.0;31;26;35;15.0;0;5.0
2684;Imports for re-exports;0 Agricultural products and live animals;Unspecified countries and areas;2007;3;2;3;10.0;0;;1;1;1;21.0;0;
2685;Imports for re-exports;0 Agricultural products and live animals;Unspecified countries and areas;2008;3;2;3;10.0;0;9.0;6;5;6;15.0;0;5.0
2686;Imports for re-exports;0 Agricultural products and live animals;Unspecified countries and areas;2009;1;1;1;17.0;0;1.0;2;1;2;15.0;0;1.0
2687;Imports for re-exports;0 Agricultural products and live animals;Unspecified countries and areas;2010;1;1;2;14.0;0;5.0;2;2;2;14.0;0;9.0
2688;Imports for re-exports;0 Agricultural products and live animals;Unspecified countries and areas;2011;4;4;5;10.0;0;5.0;2;1;2;15.0;0;9.0
2689;Imports for re-exports;0 Agricultural products and live animals;Unspecified countries and areas;2012;3;3;3;10.0;0;1.0;2;2;3;12.0;0;5.0
2690;Imports for re-exports;0 Agricultural products and live animals;Unspecified countries and areas;2013;4;4;4;7.0;0;5.0;3;3;4;9.0;0;5.0
2691;Imports for re-exports;0 Agricultural products and live animals;Unspecified countries and areas;2014;2;2;2;9.0;0;1.0;1;1;1;17.0;0;1.0
2692;Imports for re-exports;0 Agricultural products and live animals;Unspecified countries and areas;2015;1;1;1;27.0;0;1.0;1;0;1;28.0;0;1.0
2693;Imports for re-exports;0 Agricultural products and live animals;Unspecified countries and areas;2016;1;1;1;10.0;0;1.0;1;1;1;15.0;0;9.0
2694;Imports for re-exports;0 Agricultural products and live animals;Unspecified countries and areas;2017;1;1;1;11.0;0;5.0;1;1;1;15.0;0;9.0
2695;Imports for re-exports;1 Foodstuffs and animal fodder;Total all continents;2007;7259;6771;7746;7.0;5;;10910;9864;11956;10.0;12;
2696;Imports for re-exports;1 Foodstuffs and animal fodder;Total all continents;2008;8444;7883;9004;7.0;6;5.0;11457;10348;12566;10.0;14;9.0
2697;Imports for re-exports;1 Foodstuffs and animal fodder;Total all continents;2009;7821;7316;8327;6.0;6;2.0;11332;10262;12403;9.0;14;9.0
2698;Imports for re-exports;1 Foodstuffs and animal fodder;Total all continents;2010;8742;8169;9315;7.0;6;5.0;12142;10992;13293;9.0;13;9.0
2699;Imports for re-exports;1 Foodstuffs and animal fodder;Total all continents;2011;9990;9328;10652;7.0;7;5.0;12384;11221;13548;9.0;13;9.0
2700;Imports for re-exports;1 Foodstuffs and animal fodder;Total all continents;2012;11466;10695;12236;7.0;7;5.0;14151;12724;15578;10.0;13;5.0
2701;Imports for re-exports;1 Foodstuffs and animal fodder;Total all continents;2013;12376;11543;13209;7.0;7;4.0;15150;13594;16706;10.0;12;9.0
2702;Imports for re-exports;1 Foodstuffs and animal fodder;Total all continents;2014;12163;11404;12922;6.0;7;9.0;9954;8961;10947;10.0;9;1.0
2703;Imports for re-exports;1 Foodstuffs and animal fodder;Total all continents;2015;12388;11628;13148;6.0;8;9.0;13222;11946;14497;10.0;12;5.0
2704;Imports for re-exports;1 Foodstuffs and animal fodder;Total all continents;2016;13015;12216;13813;6.0;8;9.0;13514;12242;14785;9.0;12;9.0
2705;Imports for re-exports;1 Foodstuffs and animal fodder;Total all continents;2017;13484;12604;14363;7.0;8;9.0;14174;12795;15553;10.0;12;9.0
2706;Imports for re-exports;1 Foodstuffs and animal fodder;Africa;2007;341;307;375;10.0;0;;216;184;248;15.0;0;
2707;Imports for re-exports;1 Foodstuffs and animal fodder;Africa;2008;413;372;455;10.0;0;5.0;209;176;241;15.0;0;9.0
2708;Imports for re-exports;1 Foodstuffs and animal fodder;Africa;2009;542;485;599;11.0;0;5.0;207;170;244;18.0;0;9.0
2709;Imports for re-exports;1 Foodstuffs and animal fodder;Africa;2010;650;585;714;10.0;0;5.0;247;209;285;15.0;0;5.0
2710;Imports for re-exports;1 Foodstuffs and animal fodder;Africa;2011;809;727;890;10.0;1;5.0;324;272;376;16.0;0;5.0
2711;Imports for re-exports;1 Foodstuffs and animal fodder;Africa;2012;706;627;785;11.0;0;1.0;317;251;383;21.0;0;9.0
2712;Imports for re-exports;1 Foodstuffs and animal fodder;Africa;2013;691;608;774;12.0;0;9.0;277;216;337;22.0;0;9.0
2713;Imports for re-exports;1 Foodstuffs and animal fodder;Africa;2014;856;757;954;12.0;0;5.0;357;282;433;21.0;0;5.0
2714;Imports for re-exports;1 Foodstuffs and animal fodder;Africa;2015;986;886;1085;10.0;1;5.0;292;240;343;18.0;0;1.0
2715;Imports for re-exports;1 Foodstuffs and animal fodder;Africa;2016;1246;1179;1314;5.0;1;5.0;310;276;343;11.0;0;9.0
2716;Imports for re-exports;1 Foodstuffs and animal fodder;Africa;2017;1088;1004;1173;8.0;1;1.0;375;326;425;13.0;0;5.0
2717;Imports for re-exports;1 Foodstuffs and animal fodder;America;2007;1520;1363;1677;10.0;1;;4188;3579;4796;15.0;4;
2718;Imports for re-exports;1 Foodstuffs and animal fodder;America;2008;1902;1712;2093;10.0;1;5.0;4596;3960;5232;14.0;6;9.0
2719;Imports for re-exports;1 Foodstuffs and animal fodder;America;2009;1827;1646;2008;10.0;2;9.0;4589;3972;5206;13.0;6;9.0
