ID;OutputAndImportPrices;ProductsAccordingToPRODCOMList;Periods;PriceIndexNumbersExcludingExcise_1;MonthOnMonthDevelopment_2;YearOnYearDevelopment_3
3628;Total sales;0893 Salt and pure sodium chlorid...;2015 February;;;
3629;Total sales;0893 Salt and pure sodium chlorid...;2015 March;;;
3630;Total sales;0893 Salt and pure sodium chlorid...;2015 April;;;
3631;Total sales;0893 Salt and pure sodium chlorid...;2015 May;;;
3632;Total sales;0893 Salt and pure sodium chlorid...;2015 June;;;
3633;Total sales;0893 Salt and pure sodium chlorid...;2015 July;;;
3634;Total sales;0893 Salt and pure sodium chlorid...;2015 August;;;
3635;Total sales;0893 Salt and pure sodium chlorid...;2015 September;;;
3636;Total sales;0893 Salt and pure sodium chlorid...;2015 October;;;
3637;Total sales;0893 Salt and pure sodium chlorid...;2015 November;;;
3638;Total sales;0893 Salt and pure sodium chlorid...;2015 December;;;
3639;Total sales;0893 Salt and pure sodium chlorid...;2015;;;
3640;Total sales;0893 Salt and pure sodium chlorid...;2016 January;;;
3641;Total sales;0893 Salt and pure sodium chlorid...;2016 February;;;
3642;Total sales;0893 Salt and pure sodium chlorid...;2016 March;;;
3643;Total sales;0893 Salt and pure sodium chlorid...;2016 April;;;
3644;Total sales;0893 Salt and pure sodium chlorid...;2016 May;;;
3645;Total sales;0893 Salt and pure sodium chlorid...;2016 June;;;
3646;Total sales;0893 Salt and pure sodium chlorid...;2016 July;;;
3647;Total sales;0893 Salt and pure sodium chlorid...;2016 August;;;
3648;Total sales;0893 Salt and pure sodium chlorid...;2016 September;;;
3649;Total sales;0893 Salt and pure sodium chlorid...;2016 October;;;
3650;Total sales;0893 Salt and pure sodium chlorid...;2016 November;;;
3651;Total sales;0893 Salt and pure sodium chlorid...;2016 December;;;
3652;Total sales;0893 Salt and pure sodium chlorid...;2016;;;
3653;Total sales;0893 Salt and pure sodium chlorid...;2017 January;;;
3654;Total sales;0893 Salt and pure sodium chlorid...;2017 February;;;
3655;Total sales;0893 Salt and pure sodium chlorid...;2017 March;;;
3656;Total sales;0893 Salt and pure sodium chlorid...;2017 April;;;
3657;Total sales;0893 Salt and pure sodium chlorid...;2017 May;;;
3658;Total sales;0893 Salt and pure sodium chlorid...;2017 June;;;
3659;Total sales;0893 Salt and pure sodium chlorid...;2017 July;;;
3660;Total sales;0893 Salt and pure sodium chlorid...;2017 August;;;
3661;Total sales;0893 Salt and pure sodium chlorid...;2017 September;;;
3662;Total sales;0893 Salt and pure sodium chlorid...;2017 October;;;
3663;Total sales;0893 Salt and pure sodium chlorid...;2017 November;;;
3664;Total sales;0893 Salt and pure sodium chlorid...;2017 December;;;
3665;Total sales;0893 Salt and pure sodium chlorid...;2017;;;
3666;Total sales;0893 Salt and pure sodium chlorid...;2018 January;;;
3667;Total sales;0893 Salt and pure sodium chlorid...;2018 February;;;
3668;Total sales;0893 Salt and pure sodium chlorid...;2018 March;;;
3669;Total sales;0893 Salt and pure sodium chlorid...;2018 April;;;
3670;Total sales;0893 Salt and pure sodium chlorid...;2018 May;;;
3671;Total sales;0893 Salt and pure sodium chlorid...;2018 June;;;
3672;Total sales;0893 Salt and pure sodium chlorid...;2018 July;;;
3673;Total sales;0893 Salt and pure sodium chlorid...;2018 August;;;
3674;Total sales;0893 Salt and pure sodium chlorid...;2018 September;;;
3675;Total sales;0893 Salt and pure sodium chlorid...;2018 October;;;
3676;Total sales;0893 Salt and pure sodium chlorid...;2018 November;;;
3677;Total sales;0893 Salt and pure sodium chlorid...;2018 December;;;
3678;Total sales;0893 Salt and pure sodium chlorid...;2018;;;
3679;Total sales;0893 Salt and pure sodium chlorid...;2019 January;;;
3680;Total sales;0893 Salt and pure sodium chlorid...;2019 February;;;
3681;Total sales;0893 Salt and pure sodium chlorid...;2019 March;;;
3682;Total sales;0893 Salt and pure sodium chlorid...;2019 April;;;
3683;Total sales;0893 Salt and pure sodium chlorid...;2019 May;;;
3684;Total sales;0893 Salt and pure sodium chlorid...;2019 June;;;
3685;Total sales;0893 Salt and pure sodium chlorid...;2019 July;;;
3686;Total sales;0893 Salt and pure sodium chlorid...;2019 August;;;
3687;Total sales;0893 Salt and pure sodium chlorid...;2019 September;;;
3688;Total sales;0893 Salt and pure sodium chlorid...;2019 October;;;
3689;Total sales;0893 Salt and pure sodium chlorid...;2019 November;;;
3690;Total sales;0893 Salt and pure sodium chlorid...;2019 December;;;
3691;Total sales;0893 Salt and pure sodium chlorid...;2019;105.9;;
3692;Total sales;0893 Salt and pure sodium chlorid...;2020 January;;;
3693;Total sales;0893 Salt and pure sodium chlorid...;2020 February;;;
3694;Total sales;0893 Salt and pure sodium chlorid...;2020 March;;;
3695;Total sales;0893 Salt and pure sodium chlorid...;2020 April;;;
3696;Total sales;0893 Salt and pure sodium chlorid...;2020 May;;;
3697;Total sales;0893 Salt and pure sodium chlorid...;2020 June;;;
3698;Total sales;0893 Salt and pure sodium chlorid...;2020 July;;;
3699;Total sales;0893 Salt and pure sodium chlorid...;2020 August;;;
3700;Total sales;0893 Salt and pure sodium chlorid...;2020 September;;;
3701;Total sales;0893 Salt and pure sodium chlorid...;2020 October;;;
3702;Total sales;0893 Salt and pure sodium chlorid...;2020 November;;;
3703;Total sales;0893 Salt and pure sodium chlorid...;2020 December;;;
3704;Total sales;0893 Salt and pure sodium chlorid...;2020;98.9;;-6.6
3705;Total sales;0893 Salt and pure sodium chlorid...;2021 January;;;
3706;Total sales;0893 Salt and pure sodium chlorid...;2021 February;;;
3707;Total sales;0893 Salt and pure sodium chlorid...;2021 March;;;
3708;Total sales;0893 Salt and pure sodium chlorid...;2021 April;;;
3709;Total sales;0893 Salt and pure sodium chlorid...;2021 May;;;
3710;Total sales;0893 Salt and pure sodium chlorid...;2021 June;;;
3711;Total sales;0893 Salt and pure sodium chlorid...;2021 July;;;
3712;Total sales;0893 Salt and pure sodium chlorid...;2021 August;;;
3713;Total sales;0893 Salt and pure sodium chlorid...;2021 September;;;
3714;Total sales;0893 Salt and pure sodium chlorid...;2021 October;;;
3715;Total sales;0893 Salt and pure sodium chlorid...;2021 November;;;
3716;Total sales;0893 Salt and pure sodium chlorid...;2021 December;;;
3717;Total sales;0893 Salt and pure sodium chlorid...;2021;121.2;;22.6
3718;Total sales;0893 Salt and pure sodium chlorid...;2022 January;;;
3719;Total sales;0893 Salt and pure sodium chlorid...;2022 February;;;
3720;Total sales;0893 Salt and pure sodium chlorid...;2022 March;;;
3721;Total sales;0893 Salt and pure sodium chlorid...;2022 April;;;
3722;Total sales;0893 Salt and pure sodium chlorid...;2022 May;;;
3723;Total sales;0893 Salt and pure sodium chlorid...;2022 June;;;
3724;Total sales;0893 Salt and pure sodium chlorid...;2022 July;;;
3725;Total sales;0893 Salt and pure sodium chlorid...;2022 August;;;
3726;Total sales;0893 Salt and pure sodium chlorid...;2022 September;;;
3727;Total sales;0893 Salt and pure sodium chlorid...;2022 October;;;
3728;Total sales;0893 Salt and pure sodium chlorid...;2022 November;;;
3729;Total sales;0893 Salt and pure sodium chlorid...;2022 December;;;
3730;Total sales;0893 Salt and pure sodium chlorid...;2022;218.2;;80.0
3731;Total sales;0893 Salt and pure sodium chlorid...;2023 January;;;
3732;Total sales;0893 Salt and pure sodium chlorid...;2023 February;;;
3733;Total sales;0893 Salt and pure sodium chlorid...;2023 March;;;
3734;Total sales;0893 Salt and pure sodium chlorid...;2023 April;;;
3735;Total sales;0893 Salt and pure sodium chlorid...;2023 May;;;
3736;Total sales;0893 Salt and pure sodium chlorid...;2023 June;;;
3737;Total sales;0893 Salt and pure sodium chlorid...;2023 July;;;
3738;Total sales;0893 Salt and pure sodium chlorid...;2023 August;;;
3739;Total sales;0893 Salt and pure sodium chlorid...;2023 September;;;
3740;Total sales;0893 Salt and pure sodium chlorid...;2023 October;;;
3741;Total sales;0893 Salt and pure sodium chlorid...;2023 November;;;
3742;Total sales;0893 Salt and pure sodium chlorid...;2023 December;;;
3743;Total sales;0893 Salt and pure sodium chlorid...;2023;;;
3744;Total sales;0899 Other mining and quarrying p...;2012 January;;;
3745;Total sales;0899 Other mining and quarrying p...;2012 February;;;
3746;Total sales;0899 Other mining and quarrying p...;2012 March;;;
3747;Total sales;0899 Other mining and quarrying p...;2012 April;;;
3748;Total sales;0899 Other mining and quarrying p...;2012 May;;;
3749;Total sales;0899 Other mining and quarrying p...;2012 June;;;
3750;Total sales;0899 Other mining and quarrying p...;2012 July;;;
3751;Total sales;0899 Other mining and quarrying p...;2012 August;;;
3752;Total sales;0899 Other mining and quarrying p...;2012 September;;;
3753;Total sales;0899 Other mining and quarrying p...;2012 October;;;
3754;Total sales;0899 Other mining and quarrying p...;2012 November;;;
3755;Total sales;0899 Other mining and quarrying p...;2012 December;;;
3756;Total sales;0899 Other mining and quarrying p...;2012;;;
3757;Total sales;0899 Other mining and quarrying p...;2013 January;;;
3758;Total sales;0899 Other mining and quarrying p...;2013 February;;;
3759;Total sales;0899 Other mining and quarrying p...;2013 March;;;
3760;Total sales;0899 Other mining and quarrying p...;2013 April;;;
3761;Total sales;0899 Other mining and quarrying p...;2013 May;;;
3762;Total sales;0899 Other mining and quarrying p...;2013 June;;;
3763;Total sales;0899 Other mining and quarrying p...;2013 July;;;
3764;Total sales;0899 Other mining and quarrying p...;2013 August;;;
3765;Total sales;0899 Other mining and quarrying p...;2013 September;;;
3766;Total sales;0899 Other mining and quarrying p...;2013 October;;;
3767;Total sales;0899 Other mining and quarrying p...;2013 November;;;
3768;Total sales;0899 Other mining and quarrying p...;2013 December;;;
3769;Total sales;0899 Other mining and quarrying p...;2013;;;
3770;Total sales;0899 Other mining and quarrying p...;2014 January;;;
3771;Total sales;0899 Other mining and quarrying p...;2014 February;;;
3772;Total sales;0899 Other mining and quarrying p...;2014 March;;;
3773;Total sales;0899 Other mining and quarrying p...;2014 April;;;
3774;Total sales;0899 Other mining and quarrying p...;2014 May;;;
3775;Total sales;0899 Other mining and quarrying p...;2014 June;;;
3776;Total sales;0899 Other mining and quarrying p...;2014 July;;;
3777;Total sales;0899 Other mining and quarrying p...;2014 August;;;
3778;Total sales;0899 Other mining and quarrying p...;2014 September;;;
3779;Total sales;0899 Other mining and quarrying p...;2014 October;;;
3780;Total sales;0899 Other mining and quarrying p...;2014 November;;;
3781;Total sales;0899 Other mining and quarrying p...;2014 December;;;
3782;Total sales;0899 Other mining and quarrying p...;2014;;;
3783;Total sales;0899 Other mining and quarrying p...;2015 January;;;
3784;Total sales;0899 Other mining and quarrying p...;2015 February;;;
3785;Total sales;0899 Other mining and quarrying p...;2015 March;;;
3786;Total sales;0899 Other mining and quarrying p...;2015 April;;;
3787;Total sales;0899 Other mining and quarrying p...;2015 May;;;
3788;Total sales;0899 Other mining and quarrying p...;2015 June;;;
3789;Total sales;0899 Other mining and quarrying p...;2015 July;;;
3790;Total sales;0899 Other mining and quarrying p...;2015 August;;;
3791;Total sales;0899 Other mining and quarrying p...;2015 September;;;
3792;Total sales;0899 Other mining and quarrying p...;2015 October;;;
3793;Total sales;0899 Other mining and quarrying p...;2015 November;;;
3794;Total sales;0899 Other mining and quarrying p...;2015 December;;;
3795;Total sales;0899 Other mining and quarrying p...;2015;;;
3796;Total sales;0899 Other mining and quarrying p...;2016 January;;;
3797;Total sales;0899 Other mining and quarrying p...;2016 February;;;
3798;Total sales;0899 Other mining and quarrying p...;2016 March;;;
3799;Total sales;0899 Other mining and quarrying p...;2016 April;;;
3800;Total sales;0899 Other mining and quarrying p...;2016 May;;;
3801;Total sales;0899 Other mining and quarrying p...;2016 June;;;
3802;Total sales;0899 Other mining and quarrying p...;2016 July;;;
3803;Total sales;0899 Other mining and quarrying p...;2016 August;;;
3804;Total sales;0899 Other mining and quarrying p...;2016 September;;;
3805;Total sales;0899 Other mining and quarrying p...;2016 October;;;
3806;Total sales;0899 Other mining and quarrying p...;2016 November;;;
3807;Total sales;0899 Other mining and quarrying p...;2016 December;;;
3808;Total sales;0899 Other mining and quarrying p...;2016;;;
3809;Total sales;0899 Other mining and quarrying p...;2017 January;;;
3810;Total sales;0899 Other mining and quarrying p...;2017 February;;;
3811;Total sales;0899 Other mining and quarrying p...;2017 March;;;
3812;Total sales;0899 Other mining and quarrying p...;2017 April;;;
3813;Total sales;0899 Other mining and quarrying p...;2017 May;;;
3814;Total sales;0899 Other mining and quarrying p...;2017 June;;;
3815;Total sales;0899 Other mining and quarrying p...;2017 July;;;
3816;Total sales;0899 Other mining and quarrying p...;2017 August;;;
3817;Total sales;0899 Other mining and quarrying p...;2017 September;;;
3818;Total sales;0899 Other mining and quarrying p...;2017 October;;;
3819;Total sales;0899 Other mining and quarrying p...;2017 November;;;
3820;Total sales;0899 Other mining and quarrying p...;2017 December;;;
3821;Total sales;0899 Other mining and quarrying p...;2017;;;
3822;Total sales;0899 Other mining and quarrying p...;2018 January;;;
3823;Total sales;0899 Other mining and quarrying p...;2018 February;;;
3824;Total sales;0899 Other mining and quarrying p...;2018 March;;;
3825;Total sales;0899 Other mining and quarrying p...;2018 April;;;
3826;Total sales;0899 Other mining and quarrying p...;2018 May;;;
3827;Total sales;0899 Other mining and quarrying p...;2018 June;;;
3828;Total sales;0899 Other mining and quarrying p...;2018 July;;;
3829;Total sales;0899 Other mining and quarrying p...;2018 August;;;
3830;Total sales;0899 Other mining and quarrying p...;2018 September;;;
3831;Total sales;0899 Other mining and quarrying p...;2018 October;;;
3832;Total sales;0899 Other mining and quarrying p...;2018 November;;;
3833;Total sales;0899 Other mining and quarrying p...;2018 December;;;
3834;Total sales;0899 Other mining and quarrying p...;2018;;;
3835;Total sales;0899 Other mining and quarrying p...;2019 January;;;
3836;Total sales;0899 Other mining and quarrying p...;2019 February;;;
3837;Total sales;0899 Other mining and quarrying p...;2019 March;;;
3838;Total sales;0899 Other mining and quarrying p...;2019 April;;;
3839;Total sales;0899 Other mining and quarrying p...;2019 May;;;
3840;Total sales;0899 Other mining and quarrying p...;2019 June;;;
3841;Total sales;0899 Other mining and quarrying p...;2019 July;;;
3842;Total sales;0899 Other mining and quarrying p...;2019 August;;;
3843;Total sales;0899 Other mining and quarrying p...;2019 September;;;
3844;Total sales;0899 Other mining and quarrying p...;2019 October;;;
3845;Total sales;0899 Other mining and quarrying p...;2019 November;;;
3846;Total sales;0899 Other mining and quarrying p...;2019 December;;;
3847;Total sales;0899 Other mining and quarrying p...;2019;;;
3848;Total sales;0899 Other mining and quarrying p...;2020 January;;;
3849;Total sales;0899 Other mining and quarrying p...;2020 February;;;
3850;Total sales;0899 Other mining and quarrying p...;2020 March;;;
3851;Total sales;0899 Other mining and quarrying p...;2020 April;;;
3852;Total sales;0899 Other mining and quarrying p...;2020 May;;;
3853;Total sales;0899 Other mining and quarrying p...;2020 June;;;
3854;Total sales;0899 Other mining and quarrying p...;2020 July;;;
3855;Total sales;0899 Other mining and quarrying p...;2020 August;;;
3856;Total sales;0899 Other mining and quarrying p...;2020 September;;;
3857;Total sales;0899 Other mining and quarrying p...;2020 October;;;
3858;Total sales;0899 Other mining and quarrying p...;2020 November;;;
3859;Total sales;0899 Other mining and quarrying p...;2020 December;;;
3860;Total sales;0899 Other mining and quarrying p...;2020;;;
3861;Total sales;0899 Other mining and quarrying p...;2021 January;;;
3862;Total sales;0899 Other mining and quarrying p...;2021 February;;;
3863;Total sales;0899 Other mining and quarrying p...;2021 March;;;
