ID;TypeOfCapitalGood;SectorsBranchesSIC2008;Periods;CapitalStockClosingBalanceSheet_1;VolumeIndices2010100_2;CapitalStockOpeningBalanceSheet_3;Revaluation_4;InvestInFixedAssetsProdAndImport_5;Depreciation_6;TradeAndOtherChanges_7;StatisticalDiscrepancy_8;CapitalStockClosingBalanceSheet_9
1889;Dwellings;N Renting and other business support;2014;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1890;Dwellings;N Renting and other business support;2015;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1891;Dwellings;N Renting and other business support;2016;0.0;100.0;0.0;;;;;;0.0
1892;Dwellings;O-Q Government and care;1995;1530.0;77.9;1449.0;37.0;68.0;24.0;0.0;0.0;1530.0
1893;Dwellings;O-Q Government and care;1996;1594.0;78.5;1530.0;50.0;39.0;25.0;0.0;0.0;1594.0
1894;Dwellings;O-Q Government and care;1997;1612.0;77.6;1594.0;31.0;14.0;26.0;0.0;0.0;1612.0
1895;Dwellings;O-Q Government and care;1998;1662.0;77.8;1612.0;40.0;37.0;27.0;0.0;0.0;1662.0
1896;Dwellings;O-Q Government and care;1999;1734.0;77.9;1662.0;63.0;38.0;29.0;0.0;0.0;1734.0
1897;Dwellings;O-Q Government and care;2000;1825.0;77.5;1734.0;93.0;29.0;31.0;0.0;0.0;1825.0
1898;Dwellings;O-Q Government and care;2001;1970.0;79.1;1825.0;112.0;66.0;34.0;0.0;0.0;1970.0
1899;Dwellings;O-Q Government and care;2002;2129.0;80.6;1970.0;117.0;79.0;36.0;0.0;0.0;2129.0
1900;Dwellings;O-Q Government and care;2003;2242.0;81.2;2129.0;97.0;55.0;39.0;0.0;0.0;2242.0
1901;Dwellings;O-Q Government and care;2004;2326.0;81.9;2242.0;64.0;61.0;41.0;0.0;0.0;2326.0
1902;Dwellings;O-Q Government and care;2005;2409.0;82.9;2326.0;54.0;72.0;43.0;0.0;0.0;2409.0
1903;Dwellings;O-Q Government and care;2006;2563.0;85.2;2409.0;86.0;113.0;45.0;0.0;0.0;2563.0
1904;Dwellings;O-Q Government and care;2007;2763.0;90.6;2563.0;36.0;212.0;48.0;0.0;0.0;2763.0
1905;Dwellings;O-Q Government and care;2008;2968.0;94.7;2763.0;76.0;180.0;51.0;0.0;0.0;2968.0
1906;Dwellings;O-Q Government and care;2009;3194.0;97.7;2968.0;128.0;153.0;55.0;0.0;0.0;3194.0
1907;Dwellings;O-Q Government and care;2010;3313.0;100.0;3194.0;42.0;135.0;58.0;0.0;0.0;3313.0
1908;Dwellings;O-Q Government and care;2011;3326.0;102.6;3313.0;-70.0;141.0;58.0;0.0;0.0;3326.0
1909;Dwellings;O-Q Government and care;2012;3374.0;105.1;3326.0;-34.0;142.0;59.0;0.0;0.0;3374.0
1910;Dwellings;O-Q Government and care;2013;3381.0;107.3;3374.0;-63.0;130.0;60.0;0.0;0.0;3381.0
1911;Dwellings;O-Q Government and care;2014;3317.0;109.0;3381.0;-115.0;110.0;59.0;0.0;0.0;3317.0
1912;Dwellings;O-Q Government and care;2015;3219.0;110.2;3317.0;-132.0;91.0;58.0;0.0;0.0;3219.0
1913;Dwellings;O-Q Government and care;2016;3219.0;111.4;3219.0;;;;;;3219.0
1914;Dwellings;O Public administration and services;1995;1530.0;77.9;1449.0;37.0;68.0;24.0;0.0;0.0;1530.0
1915;Dwellings;O Public administration and services;1996;1594.0;78.5;1530.0;50.0;39.0;25.0;0.0;0.0;1594.0
1916;Dwellings;O Public administration and services;1997;1612.0;77.6;1594.0;31.0;14.0;26.0;0.0;0.0;1612.0
1917;Dwellings;O Public administration and services;1998;1662.0;77.8;1612.0;40.0;37.0;27.0;0.0;0.0;1662.0
1918;Dwellings;O Public administration and services;1999;1734.0;77.9;1662.0;63.0;38.0;29.0;0.0;0.0;1734.0
1919;Dwellings;O Public administration and services;2000;1825.0;77.5;1734.0;93.0;29.0;31.0;0.0;0.0;1825.0
1920;Dwellings;O Public administration and services;2001;1970.0;79.1;1825.0;112.0;66.0;34.0;0.0;0.0;1970.0
1921;Dwellings;O Public administration and services;2002;2129.0;80.6;1970.0;117.0;79.0;36.0;0.0;0.0;2129.0
1922;Dwellings;O Public administration and services;2003;2242.0;81.2;2129.0;97.0;55.0;39.0;0.0;0.0;2242.0
1923;Dwellings;O Public administration and services;2004;2326.0;81.9;2242.0;64.0;61.0;41.0;0.0;0.0;2326.0
1924;Dwellings;O Public administration and services;2005;2409.0;82.9;2326.0;54.0;72.0;43.0;0.0;0.0;2409.0
1925;Dwellings;O Public administration and services;2006;2563.0;85.2;2409.0;86.0;113.0;45.0;0.0;0.0;2563.0
1926;Dwellings;O Public administration and services;2007;2763.0;90.6;2563.0;36.0;212.0;48.0;0.0;0.0;2763.0
1927;Dwellings;O Public administration and services;2008;2968.0;94.7;2763.0;76.0;180.0;51.0;0.0;0.0;2968.0
1928;Dwellings;O Public administration and services;2009;3194.0;97.7;2968.0;128.0;153.0;55.0;0.0;0.0;3194.0
1929;Dwellings;O Public administration and services;2010;3313.0;100.0;3194.0;42.0;135.0;58.0;0.0;0.0;3313.0
1930;Dwellings;O Public administration and services;2011;3326.0;102.6;3313.0;-70.0;141.0;58.0;0.0;0.0;3326.0
1931;Dwellings;O Public administration and services;2012;3374.0;105.1;3326.0;-34.0;142.0;59.0;0.0;0.0;3374.0
1932;Dwellings;O Public administration and services;2013;3381.0;107.3;3374.0;-63.0;130.0;60.0;0.0;0.0;3381.0
1933;Dwellings;O Public administration and services;2014;3317.0;109.0;3381.0;-115.0;110.0;59.0;0.0;0.0;3317.0
1934;Dwellings;O Public administration and services;2015;3219.0;110.2;3317.0;-132.0;91.0;58.0;0.0;0.0;3219.0
1935;Dwellings;O Public administration and services;2016;3219.0;111.4;3219.0;;;;;;3219.0
1936;Dwellings;P Education;1995;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1937;Dwellings;P Education;1996;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1938;Dwellings;P Education;1997;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1939;Dwellings;P Education;1998;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1940;Dwellings;P Education;1999;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1941;Dwellings;P Education;2000;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1942;Dwellings;P Education;2001;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1943;Dwellings;P Education;2002;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1944;Dwellings;P Education;2003;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1945;Dwellings;P Education;2004;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1946;Dwellings;P Education;2005;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1947;Dwellings;P Education;2006;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1948;Dwellings;P Education;2007;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1949;Dwellings;P Education;2008;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1950;Dwellings;P Education;2009;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1951;Dwellings;P Education;2010;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1952;Dwellings;P Education;2011;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1953;Dwellings;P Education;2012;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1954;Dwellings;P Education;2013;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1955;Dwellings;P Education;2014;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1956;Dwellings;P Education;2015;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1957;Dwellings;P Education;2016;0.0;100.0;0.0;;;;;;0.0
1958;Dwellings;86 Human health activities;1995;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1959;Dwellings;86 Human health activities;1996;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1960;Dwellings;86 Human health activities;1997;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1961;Dwellings;86 Human health activities;1998;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1962;Dwellings;86 Human health activities;1999;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1963;Dwellings;86 Human health activities;2000;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1964;Dwellings;86 Human health activities;2001;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1965;Dwellings;86 Human health activities;2002;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1966;Dwellings;86 Human health activities;2003;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1967;Dwellings;86 Human health activities;2004;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1968;Dwellings;86 Human health activities;2005;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1969;Dwellings;86 Human health activities;2006;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1970;Dwellings;86 Human health activities;2007;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1971;Dwellings;86 Human health activities;2008;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1972;Dwellings;86 Human health activities;2009;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1973;Dwellings;86 Human health activities;2010;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1974;Dwellings;86 Human health activities;2011;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1975;Dwellings;86 Human health activities;2012;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1976;Dwellings;86 Human health activities;2013;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1977;Dwellings;86 Human health activities;2014;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1978;Dwellings;86 Human health activities;2015;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1979;Dwellings;86 Human health activities;2016;0.0;100.0;0.0;;;;;;0.0
1980;Dwellings;87-88 Care and social work;1995;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1981;Dwellings;87-88 Care and social work;1996;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1982;Dwellings;87-88 Care and social work;1997;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1983;Dwellings;87-88 Care and social work;1998;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1984;Dwellings;87-88 Care and social work;1999;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1985;Dwellings;87-88 Care and social work;2000;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1986;Dwellings;87-88 Care and social work;2001;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1987;Dwellings;87-88 Care and social work;2002;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1988;Dwellings;87-88 Care and social work;2003;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1989;Dwellings;87-88 Care and social work;2004;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1990;Dwellings;87-88 Care and social work;2005;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1991;Dwellings;87-88 Care and social work;2006;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1992;Dwellings;87-88 Care and social work;2007;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1993;Dwellings;87-88 Care and social work;2008;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1994;Dwellings;87-88 Care and social work;2009;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1995;Dwellings;87-88 Care and social work;2010;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1996;Dwellings;87-88 Care and social work;2011;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1997;Dwellings;87-88 Care and social work;2012;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1998;Dwellings;87-88 Care and social work;2013;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1999;Dwellings;87-88 Care and social work;2014;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2000;Dwellings;87-88 Care and social work;2015;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2001;Dwellings;87-88 Care and social work;2016;0.0;100.0;0.0;;;;;;0.0
2002;Dwellings;R-U Culture, recreation, other services;1995;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2003;Dwellings;R-U Culture, recreation, other services;1996;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2004;Dwellings;R-U Culture, recreation, other services;1997;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2005;Dwellings;R-U Culture, recreation, other services;1998;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2006;Dwellings;R-U Culture, recreation, other services;1999;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2007;Dwellings;R-U Culture, recreation, other services;2000;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2008;Dwellings;R-U Culture, recreation, other services;2001;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2009;Dwellings;R-U Culture, recreation, other services;2002;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2010;Dwellings;R-U Culture, recreation, other services;2003;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2011;Dwellings;R-U Culture, recreation, other services;2004;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2012;Dwellings;R-U Culture, recreation, other services;2005;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2013;Dwellings;R-U Culture, recreation, other services;2006;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2014;Dwellings;R-U Culture, recreation, other services;2007;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2015;Dwellings;R-U Culture, recreation, other services;2008;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2016;Dwellings;R-U Culture, recreation, other services;2009;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2017;Dwellings;R-U Culture, recreation, other services;2010;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018;Dwellings;R-U Culture, recreation, other services;2011;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019;Dwellings;R-U Culture, recreation, other services;2012;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2020;Dwellings;R-U Culture, recreation, other services;2013;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021;Dwellings;R-U Culture, recreation, other services;2014;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2022;Dwellings;R-U Culture, recreation, other services;2015;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2023;Dwellings;R-U Culture, recreation, other services;2016;0.0;100.0;0.0;;;;;;0.0
2024;Dwellings;R Culture, sports and recreation;1995;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025;Dwellings;R Culture, sports and recreation;1996;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2026;Dwellings;R Culture, sports and recreation;1997;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2027;Dwellings;R Culture, sports and recreation;1998;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2028;Dwellings;R Culture, sports and recreation;1999;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2029;Dwellings;R Culture, sports and recreation;2000;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030;Dwellings;R Culture, sports and recreation;2001;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2031;Dwellings;R Culture, sports and recreation;2002;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2032;Dwellings;R Culture, sports and recreation;2003;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2033;Dwellings;R Culture, sports and recreation;2004;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2034;Dwellings;R Culture, sports and recreation;2005;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2035;Dwellings;R Culture, sports and recreation;2006;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2036;Dwellings;R Culture, sports and recreation;2007;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2037;Dwellings;R Culture, sports and recreation;2008;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2038;Dwellings;R Culture, sports and recreation;2009;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2039;Dwellings;R Culture, sports and recreation;2010;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2040;Dwellings;R Culture, sports and recreation;2011;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2041;Dwellings;R Culture, sports and recreation;2012;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2042;Dwellings;R Culture, sports and recreation;2013;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2043;Dwellings;R Culture, sports and recreation;2014;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2044;Dwellings;R Culture, sports and recreation;2015;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2045;Dwellings;R Culture, sports and recreation;2016;0.0;100.0;0.0;;;;;;0.0
2046;Dwellings;S Other service activities;1995;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2047;Dwellings;S Other service activities;1996;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2048;Dwellings;S Other service activities;1997;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2049;Dwellings;S Other service activities;1998;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2050;Dwellings;S Other service activities;1999;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2051;Dwellings;S Other service activities;2000;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2052;Dwellings;S Other service activities;2001;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2053;Dwellings;S Other service activities;2002;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2054;Dwellings;S Other service activities;2003;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2055;Dwellings;S Other service activities;2004;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2056;Dwellings;S Other service activities;2005;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2057;Dwellings;S Other service activities;2006;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2058;Dwellings;S Other service activities;2007;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2059;Dwellings;S Other service activities;2008;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2060;Dwellings;S Other service activities;2009;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2061;Dwellings;S Other service activities;2010;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2062;Dwellings;S Other service activities;2011;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2063;Dwellings;S Other service activities;2012;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2064;Dwellings;S Other service activities;2013;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2065;Dwellings;S Other service activities;2014;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2066;Dwellings;S Other service activities;2015;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2067;Dwellings;S Other service activities;2016;0.0;100.0;0.0;;;;;;0.0
2068;Dwellings;Non-financial corporations;1995;95222.0;97.5;92301.0;2388.0;2835.0;1884.0;-418.0;0.0;95222.0
2069;Dwellings;Non-financial corporations;1996;98938.0;97.9;95222.0;3259.0;3131.0;1987.0;-687.0;0.0;98938.0
2070;Dwellings;Non-financial corporations;1997;101053.0;97.8;98938.0;2273.0;2787.0;2069.0;-876.0;0.0;101053.0
2071;Dwellings;Non-financial corporations;1998;103527.0;97.4;101053.0;2836.0;2772.0;2155.0;-979.0;0.0;103527.0
2072;Dwellings;Non-financial corporations;1999;107489.0;97.1;103527.0;4282.0;2633.0;2277.0;-677.0;0.0;107489.0
2073;Dwellings;Non-financial corporations;2000;112991.0;96.4;107489.0;6219.0;2694.0;2446.0;-966.0;0.0;112991.0
2074;Dwellings;Non-financial corporations;2001;120883.0;97.2;112991.0;7028.0;4041.0;2625.0;-538.0;-14.0;120883.0
2075;Dwellings;Non-financial corporations;2002;128627.0;97.6;120883.0;7237.0;4113.0;2826.0;-769.0;-12.0;128627.0
2076;Dwellings;Non-financial corporations;2003;134139.0;97.3;128627.0;5984.0;3069.0;2975.0;-551.0;-14.0;134139.0
2077;Dwellings;Non-financial corporations;2004;138015.0;97.1;134139.0;4104.0;3503.0;3086.0;-629.0;-16.0;138015.0
2078;Dwellings;Non-financial corporations;2005;141361.0;97.1;138015.0;3382.0;4058.0;3187.0;-890.0;-17.0;141361.0
2079;Dwellings;Non-financial corporations;2006;146488.0;97.2;141361.0;5042.0;4296.0;3320.0;-857.0;-34.0;146488.0
2080;Dwellings;Non-financial corporations;2007;149254.0;97.3;146488.0;2610.0;4456.0;3408.0;-857.0;-36.0;149254.0
2081;Dwellings;Non-financial corporations;2008;154590.0;98.0;149254.0;4186.0;5061.0;3524.0;-388.0;2.0;154590.0
2082;Dwellings;Non-financial corporations;2009;161749.0;99.1;154590.0;5276.0;5869.0;3652.0;-336.0;1.0;161749.0
2083;Dwellings;Non-financial corporations;2010;164778.0;100.0;161749.0;1608.0;5604.0;3719.0;-463.0;0.0;164778.0
2084;Dwellings;Non-financial corporations;2011;162077.0;101.1;164778.0;-4526.0;6543.0;3587.0;-1131.0;0.0;162077.0
2085;Dwellings;Non-financial corporations;2012;160343.0;102.0;162077.0;-3094.0;5855.0;3467.0;-1028.0;0.0;160343.0
2086;Dwellings;Non-financial corporations;2013;158445.0;102.4;160343.0;-2500.0;5371.0;3433.0;-1337.0;0.0;158445.0
2087;Dwellings;Non-financial corporations;2014;153343.0;102.0;158445.0;-4548.0;4450.0;3359.0;-1644.0;0.0;153343.0
2088;Dwellings;Non-financial corporations;2015;147639.0;101.5;153343.0;-4880.0;3891.0;3274.0;-1442.0;0.0;147639.0
2089;Dwellings;Non-financial corporations;2016;148736.0;102.2;147639.0;-10.0;6187.0;3341.0;-1788.0;50.0;148736.0
2090;Dwellings;Financial corporations;1995;16084.0;109.3;15857.0;409.0;403.0;265.0;-321.0;0.0;16084.0
2091;Dwellings;Financial corporations;1996;17001.0;111.7;16084.0;524.0;1063.0;278.0;-392.0;0.0;17001.0
2092;Dwellings;Financial corporations;1997;17459.0;112.1;17001.0;358.0;610.0;288.0;-222.0;0.0;17459.0
2093;Dwellings;Financial corporations;1998;18349.0;114.6;17459.0;454.0;964.0;302.0;-225.0;0.0;18349.0
2094;Dwellings;Financial corporations;1999;19051.0;114.2;18349.0;701.0;828.0;322.0;-506.0;0.0;19051.0
2095;Dwellings;Financial corporations;2000;21006.0;119.0;19051.0;1061.0;1809.0;346.0;-569.0;0.0;21006.0
2096;Dwellings;Financial corporations;2001;22596.0;120.5;21006.0;1291.0;1430.0;376.0;-755.0;0.0;22596.0
2097;Dwellings;Financial corporations;2002;24197.0;121.8;22596.0;1344.0;1456.0;402.0;-797.0;0.0;24197.0
2098;Dwellings;Financial corporations;2003;24821.0;119.6;24197.0;1088.0;272.0;419.0;-316.0;0.0;24821.0
2099;Dwellings;Financial corporations;2004;24693.0;115.7;24821.0;701.0;575.0;430.0;-973.0;0.0;24693.0
2100;Dwellings;Financial corporations;2005;24079.0;110.2;24693.0;579.0;485.0;430.0;-1247.0;0.0;24079.0
2101;Dwellings;Financial corporations;2006;24341.0;107.6;24079.0;858.0;529.0;430.0;-695.0;0.0;24341.0
2102;Dwellings;Financial corporations;2007;23556.0;102.4;24341.0;411.0;226.0;430.0;-992.0;0.0;23556.0
2103;Dwellings;Financial corporations;2008;23755.0;100.4;23556.0;678.0;313.0;429.0;-363.0;0.0;23755.0
2104;Dwellings;Financial corporations;2009;24197.0;98.6;23755.0;881.0;335.0;443.0;-331.0;0.0;24197.0
2105;Dwellings;Financial corporations;2010;24822.0;100.0;24197.0;271.0;980.0;455.0;-172.0;0.0;24822.0
2106;Dwellings;Financial corporations;2011;23672.0;97.5;24822.0;-554.0;228.0;451.0;-373.0;0.0;23672.0
2107;Dwellings;Financial corporations;2012;23114.0;96.6;23672.0;-333.0;478.0;442.0;-261.0;0.0;23114.0
2108;Dwellings;Financial corporations;2013;22746.0;96.7;23114.0;-382.0;473.0;437.0;-22.0;0.0;22746.0
2109;Dwellings;Financial corporations;2014;21354.0;93.4;22746.0;-635.0;126.0;429.0;-455.0;0.0;21354.0
2110;Dwellings;Financial corporations;2015;20062.0;90.4;21354.0;-628.0;153.0;404.0;-412.0;0.0;20062.0
2111;Dwellings;Financial corporations;2016;20403.0;90.8;20062.0;246.0;444.0;396.0;60.0;-13.0;20403.0
2112;Dwellings;General government;1995;1530.0;77.9;1449.0;37.0;68.0;24.0;0.0;0.0;1530.0
2113;Dwellings;General government;1996;1594.0;78.5;1530.0;50.0;39.0;25.0;0.0;0.0;1594.0
2114;Dwellings;General government;1997;1612.0;77.6;1594.0;31.0;14.0;26.0;0.0;0.0;1612.0
2115;Dwellings;General government;1998;1662.0;77.8;1612.0;40.0;37.0;27.0;0.0;0.0;1662.0
2116;Dwellings;General government;1999;1734.0;77.9;1662.0;63.0;38.0;29.0;0.0;0.0;1734.0
2117;Dwellings;General government;2000;1825.0;77.5;1734.0;93.0;29.0;31.0;0.0;0.0;1825.0
2118;Dwellings;General government;2001;1970.0;79.1;1825.0;112.0;66.0;34.0;0.0;0.0;1970.0
2119;Dwellings;General government;2002;2129.0;80.6;1970.0;117.0;79.0;36.0;0.0;0.0;2129.0
2120;Dwellings;General government;2003;2242.0;81.2;2129.0;97.0;55.0;39.0;0.0;0.0;2242.0
2121;Dwellings;General government;2004;2326.0;81.9;2242.0;64.0;61.0;41.0;0.0;0.0;2326.0
2122;Dwellings;General government;2005;2409.0;82.9;2326.0;54.0;72.0;43.0;0.0;0.0;2409.0
2123;Dwellings;General government;2006;2563.0;85.2;2409.0;86.0;113.0;45.0;0.0;0.0;2563.0
2124;Dwellings;General government;2007;2763.0;90.6;2563.0;36.0;212.0;48.0;0.0;0.0;2763.0
2125;Dwellings;General government;2008;2968.0;94.7;2763.0;76.0;180.0;51.0;0.0;0.0;2968.0
2126;Dwellings;General government;2009;3194.0;97.7;2968.0;128.0;153.0;55.0;0.0;0.0;3194.0
2127;Dwellings;General government;2010;3313.0;100.0;3194.0;42.0;135.0;58.0;0.0;0.0;3313.0
