ID;SectorBranchesSIC93;Periods;JobsPersonsEmployed_1;LabourVolumePersonsEmployed_2;EmployeesOnTheCompanyPayroll_3;LabourVolumeEmployeesOnThePayroll_4;TotalBusinessReturns_5;BusinessTurnoverNet_6;OtherBusinessReturns_7;TotalBusinessCosts_8;PurchaseValueOfTurnover_9;PersonnelCosts_10;TotalOtherBusinessCosts_11;EnergyCosts_12;HousingCosts_13;EquipmentAndInventoryCosts_14;TransportCosts_15;SalesCosts_16;CommunicationCosts_17;ServicesProvidedByThirdParties_18;BusinessCostsNotElsewhereClassified_19;DepreciationFixedAssets_20;ProfitLoss_21;ProfitLossBeforeTax_22
513;73 Research and development;2006;32.7;27.6;29.0;24.8;3476.0;3054.0;422.0;3287.0;750.0;1643.0;761.0;36.0;148.0;61.0;22.0;58.0;29.0;59.0;348.0;134.0;189.0;108.0
514;73 Research and development;2007;36.0;30.3;31.0;26.9;4010.0;3501.0;508.0;3849.0;822.0;1896.0;976.0;38.0;155.0;90.0;28.0;71.0;33.0;206.0;355.0;155.0;161.0;145.0
515;73 Research and development;2008;37.1;31.2;33.9;28.9;4496.0;3634.0;862.0;4318.0;1052.0;2004.0;1091.0;49.0;202.0;83.0;27.0;82.0;40.0;230.0;379.0;171.0;178.0;242.0
516;74 Other business activities;2006;797.8;588.8;790.0;573.5;72254.0;71549.0;705.0;62245.0;19953.0;28961.0;11667.0;262.0;2159.0;515.0;1605.0;1206.0;666.0;1400.0;3853.0;1664.0;10009.0;10122.0
517;74 Other business activities;2007;857.9;651.7;906.0;640.9;81563.0;80949.0;614.0;69598.0;22062.0;32961.0;12921.0;294.0;2310.0;582.0;1829.0;1350.0;748.0;1575.0;4234.0;1655.0;11965.0;12232.0
518;74 Other business activities;2008;913.3;681.7;940.8;670.7;88603.0;87909.0;694.0;76000.0;23007.0;36911.0;14107.0;326.0;2560.0;600.0;2023.0;1445.0;779.0;1769.0;4605.0;1975.0;12602.0;12376.0
519;7411b Accounting, market/economic re...;2006;268.0;210.4;198.5;161.0;24190.0;23981.0;209.0;19169.0;3299.0;10370.0;4851.0;91.0;928.0;191.0;631.0;454.0;305.0;542.0;1710.0;649.0;5021.0;5081.0
520;7411b Accounting, market/economic re...;2007;288.1;237.6;212.0;175.2;27515.0;27282.0;233.0;21469.0;3756.0;11592.0;5474.0;107.0;992.0;224.0;714.0;543.0;343.0;619.0;1932.0;648.0;6046.0;6224.0
521;7411b Accounting, market/economic re...;2008;309.7;247.4;225.6;181.3;29882.0;29584.0;298.0;23347.0;3926.0;12709.0;5980.0;115.0;1104.0;229.0;762.0;596.0;361.0;706.0;2109.0;732.0;6534.0;6491.0
522;7411 Lawyer's offices;2006;44.3;35.8;38.2;31.0;4884.0;4821.0;63.0;3716.0;253.0;2324.0;991.0;20.0;242.0;46.0;51.0;73.0;60.0;114.0;386.0;149.0;1168.0;1195.0
523;7411 Lawyer's offices;2007;48.8;39.6;41.0;33.1;5136.0;5083.0;53.0;4036.0;299.0;2591.0;1016.0;23.0;246.0;50.0;60.0;87.0;65.0;120.0;364.0;130.0;1101.0;1208.0
524;7411 Lawyer's offices;2008;49.3;39.8;41.6;33.6;5367.0;5307.0;61.0;4232.0;300.0;2694.0;1086.0;26.0;272.0;47.0;57.0;92.0;69.0;139.0;385.0;151.0;1135.0;1184.0
525;7412 Accounting;2006;104.6;84.8;81.0;67.8;8337.0;8288.0;49.0;6633.0;498.0;4040.0;1797.0;42.0;420.0;75.0;228.0;130.0;120.0;211.0;572.0;298.0;1704.0;1663.0
526;7412 Accounting;2007;111.6;91.7;83.3;69.7;9057.0;8988.0;68.0;7122.0;544.0;4339.0;1967.0;46.0;430.0;86.0;238.0;144.0;121.0;244.0;659.0;271.0;1935.0;1875.0
527;7412 Accounting;2008;113.0;91.6;84.0;69.4;9725.0;9635.0;90.0;7573.0;512.0;4661.0;2103.0;52.0;460.0;81.0;263.0;170.0;128.0;279.0;670.0;297.0;2152.0;2057.0
528;7413 Market research/public polling act.;2006;22.3;13.0;15.5;9.8;1391.0;1379.0;11.0;1186.0;387.0;493.0;276.0;5.0;44.0;10.0;32.0;38.0;19.0;26.0;104.0;30.0;205.0;200.0
529;7413 Market research/public polling act.;2007;18.0;12.8;13.0;9.4;1658.0;1648.0;10.0;1304.0;479.0;503.0;296.0;5.0;51.0;12.0;33.0;43.0;21.0;35.0;94.0;26.0;354.0;348.0
530;7413 Market research/public polling act.;2008;22.3;14.6;18.1;11.3;1768.0;1762.0;6.0;1487.0;529.0;612.0;313.0;6.0;58.0;12.0;35.0;46.0;22.0;37.0;99.0;34.0;281.0;272.0
531;7413a Market and economic research and..;2006;119.1;89.8;79.3;62.2;10970.0;10872.0;97.0;8820.0;2549.0;4006.0;2063.0;30.0;266.0;69.0;352.0;250.0;125.0;217.0;752.0;202.0;2150.0;2222.0
532;7413a Market and economic research and..;2007;127.7;106.3;87.7;72.4;13322.0;13210.0;112.0;10311.0;2914.0;4662.0;2490.0;38.0;316.0;88.0;415.0;312.0;156.0;255.0;909.0;246.0;3011.0;3140.0
533;7413a Market and economic research and..;2008;147.4;116.0;99.9;78.3;14789.0;14642.0;148.0;11542.0;3113.0;5354.0;2791.0;37.0;372.0;102.0;442.0;334.0;164.0;287.0;1053.0;284.0;3247.0;3249.0
534;7414 Economic research;2006;96.8;76.8;63.8;52.4;9579.0;9493.0;86.0;7634.0;2162.0;3513.0;1786.0;25.0;223.0;59.0;320.0;212.0;106.0;191.0;649.0;173.0;1945.0;2023.0
535;7414 Economic research;2007;109.7;93.5;74.7;63.0;11664.0;11562.0;102.0;9007.0;2434.0;4158.0;2194.0;33.0;265.0;76.0;382.0;269.0;135.0;220.0;815.0;220.0;2657.0;2792.0
536;7414 Economic research;2008;125.1;101.4;81.8;67.0;13022.0;12880.0;141.0;10055.0;2584.0;4742.0;2478.0;32.0;314.0;90.0;408.0;289.0;142.0;251.0;954.0;250.0;2967.0;2978.0
537;742 Architectural and engineering act..;2006;120.8;103.0;91.7;81.8;12183.0;12021.0;163.0;10683.0;3450.0;4982.0;1983.0;45.0;372.0;86.0;256.0;182.0;94.0;254.0;695.0;267.0;1501.0;1542.0
538;742 Architectural and engineering act..;2007;126.1;111.3;95.7;85.1;13180.0;13066.0;114.0;11445.0;3656.0;5410.0;2108.0;47.0;388.0;90.0;283.0;192.0;109.0;292.0;707.0;271.0;1735.0;1758.0
539;742 Architectural and engineering act..;2008;137.1;120.8;103.7;91.7;14519.0;14425.0;94.0;12552.0;3721.0;6131.0;2392.0;53.0;441.0;105.0;334.0;216.0;114.0;319.0;811.0;307.0;1967.0;1926.0
540;743 Testing and analysis;2006;12.2;11.0;10.3;9.3;1159.0;1144.0;15.0;1047.0;191.0;543.0;263.0;10.0;37.0;25.0;32.0;23.0;19.0;43.0;73.0;49.0;112.0;108.0
541;743 Testing and analysis;2007;13.6;12.1;11.3;10.2;1304.0;1289.0;15.0;1185.0;223.0;626.0;283.0;10.0;41.0;20.0;37.0;26.0;21.0;38.0;91.0;54.0;119.0;175.0
542;743 Testing and analysis;2008;14.5;13.1;12.3;11.1;1437.0;1418.0;19.0;1315.0;250.0;705.0;297.0;11.0;44.0;21.0;42.0;24.0;21.0;45.0;90.0;63.0;123.0;129.0
543;744 Advertising etc.;2006;40.9;35.0;27.1;22.4;6807.0;6782.0;25.0;5963.0;3983.0;1141.0;719.0;20.0;153.0;42.0;98.0;96.0;41.0;86.0;183.0;119.0;845.0;842.0
544;744 Advertising etc.;2007;45.5;39.0;29.6;24.7;6976.0;6945.0;31.0;6063.0;3942.0;1244.0;764.0;23.0;164.0;49.0;102.0;94.0;43.0;91.0;199.0;112.0;913.0;912.0
545;744 Advertising etc.;2008;47.5;40.8;30.8;25.6;7300.0;7268.0;33.0;6360.0;4149.0;1316.0;782.0;24.0;171.0;49.0;106.0;94.0;43.0;92.0;203.0;114.0;940.0;933.0
546;745 Labour recruitment/provision, pers..;2006;54.8;45.5;228.7;163.0;15834.0;15741.0;93.0;14617.0;6033.0;6698.0;1776.0;26.0;286.0;60.0;270.0;227.0;80.0;233.0;595.0;112.0;1217.0;1223.0
547;745 Labour recruitment/provision, pers..;2007;61.6;52.3;308.6;199.1;19607.0;19549.0;58.0;18015.0;7281.0;8475.0;2130.0;35.0;328.0;69.0;363.0;256.0;96.0;269.0;715.0;130.0;1593.0;1612.0
548;745 Labour recruitment/provision, pers..;2008;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
549;7450a Employment agencies and firms;2006;38.6;32.7;198.6;139.2;14053.0;13983.0;70.0;12991.0;5781.0;5711.0;1414.0;20.0;203.0;49.0;244.0;188.0;63.0;157.0;490.0;85.0;1062.0;1054.0
550;7450a Employment agencies and firms;2007;44.4;38.0;278.7;176.1;17527.0;17482.0;45.0;16145.0;6967.0;7401.0;1680.0;27.0;233.0;61.0;322.0;210.0;73.0;175.0;579.0;97.0;1383.0;1394.0
551;7450a Employment agencies and firms;2008;47.5;40.9;282.7;189.0;19244.0;19183.0;61.0;18118.0;7191.0;8825.0;1835.0;27.0;277.0;68.0;349.0;231.0;81.0;231.0;571.0;268.0;1126.0;1024.0
552;74503 Employment agency;2006;14.6;11.4;15.8;12.4;1482.0;1461.0;22.0;1331.0;244.0;726.0;337.0;6.0;77.0;11.0;25.0;37.0;16.0;74.0;91.0;25.0;151.0;164.0
553;74503 Employment agency;2007;15.5;12.9;16.6;13.5;1819.0;1809.0;10.0;1608.0;299.0;854.0;423.0;7.0;88.0;8.0;40.0;44.0;22.0;92.0;122.0;32.0;211.0;218.0
554;74503 Employment agency;2008;16.1;13.3;16.9;14.0;1888.0;1870.0;17.0;1684.0;363.0;871.0;418.0;7.0;87.0;10.0;40.0;46.0;22.0;82.0;124.0;32.0;204.0;212.0
555;74504 Employment pools;2006;1.6;1.4;14.3;11.4;298.0;297.0;1.0;294.0;8.0;261.0;25.0;0.0;6.0;0.0;1.0;1.0;1.0;2.0;14.0;2.0;4.0;5.0
556;74504 Employment pools;2007;1.7;1.4;13.3;9.5;261.0;258.0;3.0;262.0;14.0;220.0;28.0;1.0;7.0;1.0;1.0;2.0;1.0;2.0;13.0;2.0;-1.0;-1.0
557;74504 Employment pools;2008;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
558;746 Investigation and security act..;2006;37.9;28.4;34.9;26.2;1561.0;1558.0;3.0;1461.0;106.0;1100.0;218.0;3.0;28.0;6.0;49.0;13.0;15.0;24.0;79.0;37.0;101.0;100.0
559;746 Investigation and security act..;2007;41.1;31.7;37.8;29.0;1669.0;1668.0;1.0;1561.0;111.0;1187.0;227.0;4.0;32.0;10.0;55.0;14.0;15.0;27.0;70.0;36.0;109.0;109.0
560;746 Investigation and security act..;2008;40.3;33.2;37.2;30.5;1789.0;1788.0;1.0;1681.0;129.0;1272.0;246.0;4.0;33.0;12.0;55.0;14.0;13.0;27.0;89.0;34.0;108.0;105.0
561;747 Cleaning of buildings/transport eq..;2006;180.8;93.9;158.1;79.5;3994.0;3959.0;35.0;3544.0;555.0;2335.0;557.0;12.0;68.0;29.0;156.0;41.0;31.0;59.0;162.0;97.0;450.0;452.0
562;747 Cleaning of buildings/transport eq..;2007;188.8;99.6;163.0;83.1;4254.0;4222.0;33.0;3715.0;606.0;2476.0;547.0;10.0;70.0;32.0;149.0;42.0;32.0;62.0;149.0;86.0;539.0;534.0
563;747 Cleaning of buildings/transport eq..;2008;196.6;99.0;164.6;80.1;4723.0;4696.0;27.0;4177.0;757.0;2683.0;635.0;13.0;75.0;35.0;177.0;48.0;35.0;62.0;191.0;102.0;546.0;536.0
564;74701 Cleaning of buildings;2006;172.9;87.5;152.1;74.7;3444.0;3412.0;32.0;3067.0;431.0;2107.0;457.0;7.0;53.0;22.0;129.0;33.0;27.0;51.0;134.0;73.0;378.0;377.0
565;74701 Cleaning of buildings;2007;180.0;93.0;156.4;78.0;3679.0;3649.0;31.0;3230.0;467.0;2250.0;448.0;8.0;56.0;24.0;125.0;34.0;27.0;53.0;121.0;65.0;449.0;437.0
566;74701 Cleaning of buildings;2008;186.7;91.2;156.9;74.1;3903.0;3883.0;20.0;3467.0;559.0;2355.0;483.0;8.0;55.0;23.0;133.0;37.0;30.0;51.0;146.0;71.0;436.0;427.0
567;74702 Cleaning of transport equipment..;2006;7.9;6.3;6.0;4.8;550.0;546.0;3.0;478.0;124.0;228.0;101.0;4.0;15.0;8.0;27.0;8.0;4.0;7.0;28.0;25.0;72.0;75.0
568;74702 Cleaning of transport equipment..;2007;8.7;6.6;6.6;5.1;575.0;573.0;2.0;485.0;139.0;226.0;99.0;2.0;14.0;8.0;24.0;9.0;4.0;9.0;28.0;21.0;90.0;96.0
569;74702 Cleaning of transport equipment..;2008;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
570;748 Miscellaneous business act. n.e.c.;2006;84.0;63.0;55.0;41.6;6823.0;6660.0;163.0;6055.0;2343.0;2052.0;1324.0;55.0;295.0;75.0;114.0;171.0;82.0;161.0;372.0;336.0;768.0;780.0
571;748 Miscellaneous business act. n.e.c.;2007;94.7;69.4;61.1;44.1;7318.0;7186.0;131.0;6408.0;2501.0;2171.0;1416.0;60.0;301.0;89.0;127.0;185.0;91.0;180.0;383.0;319.0;910.0;906.0
572;748 Miscellaneous business act. n.e.c.;2008;104.0;73.2;67.1;47.3;7822.0;7676.0;146.0;6766.0;2522.0;2400.0;1522.0;74.0;328.0;73.0;158.0;177.0;89.0;205.0;418.0;322.0;1056.0;1019.0
573;7481 Photography,developping,photo/film;2006;4.1;3.4;2.4;1.8;398.0;391.0;7.0;384.0;193.0;91.0;74.0;4.0;23.0;6.0;10.0;6.0;4.0;4.0;17.0;25.0;14.0;9.0
574;7481 Photography,developping,photo/film;2007;4.5;3.7;2.6;1.9;428.0;423.0;5.0;362.0;180.0;89.0;72.0;4.0;22.0;6.0;10.0;6.0;4.0;4.0;16.0;22.0;66.0;68.0
575;7481 Photography,developping,photo/film;2008;4.5;3.8;2.5;1.9;454.0;450.0;4.0;381.0;182.0;95.0;79.0;5.0;25.0;5.0;10.0;5.0;4.0;6.0;19.0;26.0;73.0;72.0
576;7484a Other business activities n.e.c.;2006;72.9;54.2;46.4;34.9;5871.0;5751.0;120.0;5152.0;2143.0;1692.0;1096.0;32.0;221.0;56.0;98.0;145.0;70.0;139.0;335.0;221.0;719.0;760.0
577;7484a Other business activities n.e.c.;2007;83.5;60.3;52.5;37.4;6344.0;6245.0;99.0;5534.0;2315.0;1813.0;1201.0;38.0;236.0;72.0;109.0;159.0;81.0;159.0;346.0;205.0;810.0;825.0
578;7484a Other business activities n.e.c.;2008;92.5;64.1;58.4;40.6;6827.0;6708.0;119.0;5871.0;2338.0;2029.0;1305.0;53.0;265.0;59.0;139.0;159.0;80.0;160.0;391.0;199.0;956.0;942.0
579;74873 Auctions for agricultural prod..;2006;7.0;5.5;6.3;5.0;554.0;518.0;36.0;519.0;7.0;269.0;153.0;19.0;50.0;12.0;7.0;20.0;8.0;18.0;20.0;91.0;34.0;10.0
580;74873 Auctions for agricultural prod..;2007;6.7;5.3;6.0;4.8;546.0;519.0;27.0;512.0;6.0;270.0;143.0;17.0;43.0;10.0;8.0;20.0;6.0;17.0;20.0;93.0;34.0;14.0
581;74873 Auctions for agricultural prod..;2008;7.0;5.4;6.1;4.8;542.0;519.0;23.0;515.0;3.0;276.0;138.0;16.0;38.0;9.0;9.0;14.0;5.0;40.0;7.0;98.0;27.0;5.0
582;90 Sewage and refuse disposal;2006;24.9;22.2;20.6;19.4;4969.0;4877.0;92.0;4456.0;1925.0;1110.0;1003.0;;;;;;;;;417.0;513.0;416.0
583;90 Sewage and refuse disposal;2007;26.9;23.9;22.0;20.6;5419.0;5346.0;72.0;4870.0;2131.0;1237.0;1064.0;;;;;;;;;439.0;548.0;457.0
584;90 Sewage and refuse disposal;2008;28.3;25.5;23.0;21.5;6116.0;5965.0;151.0;5500.0;2381.0;1364.0;1229.0;;;;;;;;;525.0;616.0;480.0
585;921a Total audio-visual services;2006;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
586;921a Total audio-visual services;2007;27.1;22.4;19.2;15.5;3618.0;3536.0;82.0;3166.0;1581.0;943.0;512.0;20.0;107.0;40.0;34.0;61.0;24.0;64.0;162.0;129.0;452.0;409.0
587;921a Total audio-visual services;2008;30.5;23.8;20.8;16.2;4021.0;3903.0;118.0;3587.0;1649.0;996.0;645.0;23.0;115.0;40.0;44.0;89.0;33.0;71.0;230.0;297.0;435.0;418.0
588;921 Motion picture and video activities;2006;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
589;921 Motion picture and video activities;2007;13.3;10.5;7.8;5.5;1297.0;1286.0;11.0;1084.0;545.0;239.0;238.0;9.0;41.0;16.0;19.0;31.0;12.0;23.0;87.0;61.0;213.0;210.0
590;921 Motion picture and video activities;2008;16.5;11.7;9.2;6.0;1350.0;1326.0;23.0;1186.0;523.0;275.0;312.0;11.0;53.0;16.0;26.0;36.0;20.0;28.0;122.0;76.0;164.0;163.0
591;921b Motion picture prod.,distribution..;2006;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
592;921b Motion picture prod.,distribution..;2007;10.0;8.9;4.6;3.9;1090.0;1081.0;10.0;904.0;474.0;194.0;191.0;4.0;27.0;12.0;19.0;26.0;11.0;19.0;74.0;45.0;186.0;186.0
593;921b Motion picture prod.,distribution..;2008;12.7;9.9;5.6;4.3;1123.0;1105.0;18.0;981.0;444.0;225.0;255.0;5.0;36.0;12.0;25.0;30.0;19.0;23.0;105.0;57.0;142.0;144.0
594;9213 Motion picture projection;2006;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
595;9213 Motion picture projection;2007;3.3;1.6;3.2;1.6;206.0;205.0;1.0;179.0;71.0;45.0;47.0;5.0;14.0;4.0;1.0;5.0;1.0;4.0;13.0;16.0;27.0;24.0
596;9213 Motion picture projection;2008;3.8;1.8;3.6;1.7;227.0;221.0;5.0;205.0;79.0;51.0;57.0;6.0;17.0;4.0;1.0;6.0;1.0;5.0;17.0;20.0;21.0;19.0
597;922 Radio and television activities;2006;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
598;922 Radio and television activities;2007;13.8;11.9;11.4;10.0;2321.0;2250.0;71.0;2082.0;1036.0;704.0;274.0;11.0;66.0;24.0;15.0;31.0;13.0;41.0;74.0;68.0;239.0;199.0
599;922 Radio and television activities;2008;14.0;12.1;11.6;10.2;2672.0;2577.0;95.0;2401.0;1126.0;721.0;333.0;12.0;62.0;24.0;18.0;53.0;13.0;42.0;108.0;220.0;271.0;255.0
600;92201 Radio, television broadcasting ..;2006;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
601;92201 Radio, television broadcasting ..;2007;8.0;6.7;6.8;5.9;1461.0;1426.0;35.0;1320.0;692.0;433.0;163.0;6.0;40.0;13.0;7.0;20.0;8.0;22.0;47.0;33.0;141.0;123.0
602;92201 Radio, television broadcasting ..;2008;7.6;6.5;6.9;6.0;1739.0;1694.0;45.0;1572.0;722.0;455.0;212.0;6.0;34.0;13.0;8.0;44.0;9.0;26.0;73.0;0.0;167.0;149.0
603;"921c Radio,television; prod.,supporting.";2006;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
604;"921c Radio,television; prod.,supporting.";2007;5.8;5.2;4.6;4.1;860.0;824.0;36.0;762.0;344.0;271.0;112.0;5.0;26.0;11.0;8.0;11.0;4.0;18.0;27.0;35.0;98.0;76.0
605;"921c Radio,television; prod.,supporting.";2008;6.3;5.5;4.7;4.1;933.0;883.0;50.0;829.0;405.0;266.0;120.0;6.0;29.0;11.0;10.0;10.0;4.0;16.0;35.0;0.0;104.0;107.0
606;9301a Washing, hairdressing, funeral ..;2006;84.0;58.9;59.8;38.8;3461.0;3427.0;34.0;2922.0;806.0;1099.0;750.0;92.0;243.0;46.0;65.0;92.0;30.0;65.0;117.0;266.0;539.0;577.0
607;9301a Washing, hairdressing, funeral ..;2007;87.4;62.3;61.7;40.0;3642.0;3618.0;24.0;2966.0;735.0;1137.0;816.0;92.0;269.0;52.0;70.0;105.0;31.0;72.0;124.0;278.0;675.0;720.0
608;9301a Washing, hairdressing, funeral ..;2008;94.3;65.0;67.6;42.2;3939.0;3902.0;37.0;3313.0;794.0;1311.0;902.0;102.0;289.0;54.0;76.0;130.0;33.0;77.0;141.0;307.0;626.0;414.0
609;9301 Washing/drycleaning, clothing / ..;2006;12.0;9.7;9.3;7.5;769.0;767.0;1.0;654.0;108.0;286.0;158.0;36.0;30.0;12.0;26.0;15.0;6.0;12.0;22.0;102.0;115.0;104.0
610;9301 Washing/drycleaning, clothing / ..;2007;12.4;10.0;10.0;7.9;812.0;810.0;2.0;676.0;109.0;301.0;158.0;32.0;32.0;15.0;31.0;8.0;6.0;14.0;19.0;107.0;136.0;127.0
611;9301 Washing/drycleaning, clothing / ..;2008;12.7;10.1;10.0;7.8;838.0;835.0;3.0;702.0;103.0;327.0;166.0;34.0;34.0;15.0;33.0;9.0;5.0;13.0;22.0;107.0;136.0;130.0
612;9302 Hairdressing,other beauty-treatment;2006;46.8;35.2;28.8;19.5;1414.0;1394.0;21.0;1062.0;276.0;449.0;274.0;23.0;110.0;14.0;15.0;39.0;10.0;20.0;42.0;63.0;353.0;359.0
613;9302 Hairdressing,other beauty-treatment;2007;50.3;37.9;31.0;21.1;1518.0;1502.0;16.0;1075.0;230.0;479.0;295.0;24.0;124.0;13.0;15.0;41.0;11.0;21.0;45.0;71.0;443.0;444.0
614;9302 Hairdressing,other beauty-treatment;2008;52.4;39.2;32.6;21.9;1626.0;1604.0;22.0;1173.0;237.0;534.0;323.0;26.0;136.0;15.0;17.0;45.0;12.0;23.0;50.0;79.0;453.0;458.0
615;9303 Funeral and related activities;2006;7.5;4.9;6.8;4.4;727.0;717.0;10.0;712.0;364.0;184.0;120.0;10.0;29.0;5.0;16.0;16.0;8.0;18.0;18.0;44.0;15.0;62.0
616;9303 Funeral and related activities;2007;6.6;4.5;5.9;3.9;698.0;695.0;3.0;689.0;344.0;166.0;149.0;11.0;29.0;4.0;15.0;30.0;8.0;19.0;32.0;30.0;9.0;81.0
617;9303 Funeral and related activities;2008;7.6;4.8;7.0;4.3;826.0;821.0;5.0;853.0;393.0;231.0;185.0;13.0;30.0;8.0;19.0;47.0;9.0;28.0;31.0;44.0;-27.0;-213.0
618;9304 Fitness centres,saunas,solariums ..;2006;17.6;9.1;14.9;7.3;551.0;549.0;2.0;494.0;59.0;181.0;198.0;23.0;74.0;15.0;7.0;23.0;5.0;15.0;36.0;56.0;56.0;52.0
619;9304 Fitness centres,saunas,solariums ..;2007;18.1;9.9;14.8;7.1;614.0;610.0;3.0;526.0;52.0;191.0;215.0;25.0;84.0;19.0;8.0;26.0;6.0;18.0;28.0;69.0;87.0;68.0
620;9304 Fitness centres,saunas,solariums ..;2008;21.6;10.8;18.0;8.2;649.0;642.0;7.0;585.0;61.0;219.0;229.0;29.0;90.0;17.0;6.0;29.0;7.0;13.0;39.0;77.0;64.0;39.0
