ID;OriginDestination;ResidualsProducts;HazardousNonHazardous;Periods;TotalWaste_1;ChemicalWaste_2;MetallicWaste_3;NonMetallicWaste_4;DiscardedMaterials_5;AnimalAndVegetableWaste_6;MixedWaste_7;Sludge_8;MineralWaste_9
3819;24 Manufacture of basic metals;3;1;2008;195.0;142.0;0.0;0.0;0.0;0.0;0.0;0.0;53.0
3820;24 Manufacture of basic metals;3;1;2009;;;;;;;;;
3821;24 Manufacture of basic metals;3;1;2010;;;;;;;;;
3822;24 Manufacture of basic metals;3;2;1990;;;;;;;;;
3823;24 Manufacture of basic metals;3;2;1991;;;;;;;;;
3824;24 Manufacture of basic metals;3;2;1992;;;;;;;;;
3825;24 Manufacture of basic metals;3;2;1993;;;;;;;;;
3826;24 Manufacture of basic metals;3;2;1994;;;;;;;;;
3827;24 Manufacture of basic metals;3;2;1995;;;;;;;;;
3828;24 Manufacture of basic metals;3;2;1996;;;;;;;;;
3829;24 Manufacture of basic metals;3;2;1997;;;;;;;;;
3830;24 Manufacture of basic metals;3;2;1998;;;;;;;;;
3831;24 Manufacture of basic metals;3;2;1999;;;;;;;;;
3832;24 Manufacture of basic metals;3;2;2000;;;;;;;;;
3833;24 Manufacture of basic metals;3;2;2001;;;;;;;;;
3834;24 Manufacture of basic metals;3;2;2002;2341.0;12.0;226.0;13.0;0.0;0.0;25.0;0.0;2064.0
3835;24 Manufacture of basic metals;3;2;2003;2268.0;2.0;211.0;14.0;0.0;0.0;25.0;0.0;2015.0
3836;24 Manufacture of basic metals;3;2;2004;2602.0;21.0;76.0;5.0;5.0;0.0;17.0;0.0;2477.0
3837;24 Manufacture of basic metals;3;2;2005;2684.0;34.0;97.0;5.0;5.0;0.0;17.0;0.0;2527.0
3838;24 Manufacture of basic metals;3;2;2006;2389.0;37.0;120.0;4.0;0.0;0.0;15.0;0.0;2212.0
3839;24 Manufacture of basic metals;3;2;2007;2342.0;37.0;90.0;4.0;0.0;0.0;15.0;0.0;2195.0
3840;24 Manufacture of basic metals;3;2;2008;2459.0;39.0;97.0;14.0;0.0;0.0;35.0;0.0;2274.0
3841;24 Manufacture of basic metals;3;2;2009;;;;;;;;;
3842;24 Manufacture of basic metals;3;2;2010;;;;;;;;;
3843;24 Manufacture of basic metals;1;3;1990;;;;;;;;;
3844;24 Manufacture of basic metals;1;3;1991;;;;;;;;;
3845;24 Manufacture of basic metals;1;3;1992;;;;;;;;;
3846;24 Manufacture of basic metals;1;3;1993;;;;;;;;;
3847;24 Manufacture of basic metals;1;3;1994;;;;;;;;;
3848;24 Manufacture of basic metals;1;3;1995;;;;;;;;;
3849;24 Manufacture of basic metals;1;3;1996;;;;;;;;;
3850;24 Manufacture of basic metals;1;3;1997;;;;;;;;;
3851;24 Manufacture of basic metals;1;3;1998;;;;;;;;;
3852;24 Manufacture of basic metals;1;3;1999;;;;;;;;;
3853;24 Manufacture of basic metals;1;3;2000;;;;;;;;;
3854;24 Manufacture of basic metals;1;3;2001;;;;;;;;;
3855;24 Manufacture of basic metals;1;3;2002;2125.0;28.0;85.0;11.0;0.0;0.0;25.0;0.0;1977.0
3856;24 Manufacture of basic metals;1;3;2003;2143.0;154.0;37.0;12.0;0.0;0.0;25.0;0.0;1915.0
3857;24 Manufacture of basic metals;1;3;2004;2401.0;95.0;8.0;4.0;5.0;0.0;17.0;0.0;2272.0
3858;24 Manufacture of basic metals;1;3;2005;2614.0;137.0;13.0;4.0;5.0;0.0;17.0;0.0;2437.0
3859;24 Manufacture of basic metals;1;3;2006;2021.0;142.0;14.0;3.0;0.0;0.0;15.0;0.0;1847.0
3860;24 Manufacture of basic metals;1;3;2007;2093.0;142.0;16.0;3.0;0.0;0.0;15.0;0.0;1917.0
3861;24 Manufacture of basic metals;1;3;2008;2335.0;181.0;14.0;9.0;0.0;0.0;35.0;0.0;2097.0
3862;24 Manufacture of basic metals;1;3;2009;;;;;;;;;
3863;24 Manufacture of basic metals;1;3;2010;;;;;;;;;
3864;24 Manufacture of basic metals;1;1;1990;;;;;;;;;
3865;24 Manufacture of basic metals;1;1;1991;;;;;;;;;
3866;24 Manufacture of basic metals;1;1;1992;;;;;;;;;
3867;24 Manufacture of basic metals;1;1;1993;;;;;;;;;
3868;24 Manufacture of basic metals;1;1;1994;;;;;;;;;
3869;24 Manufacture of basic metals;1;1;1995;;;;;;;;;
3870;24 Manufacture of basic metals;1;1;1996;;;;;;;;;
3871;24 Manufacture of basic metals;1;1;1997;;;;;;;;;
3872;24 Manufacture of basic metals;1;1;1998;;;;;;;;;
3873;24 Manufacture of basic metals;1;1;1999;;;;;;;;;
3874;24 Manufacture of basic metals;1;1;2000;;;;;;;;;
3875;24 Manufacture of basic metals;1;1;2001;;;;;;;;;
3876;24 Manufacture of basic metals;1;1;2002;95.0;16.0;0.0;0.0;0.0;0.0;0.0;0.0;79.0
3877;24 Manufacture of basic metals;1;1;2003;223.0;152.0;0.0;0.0;0.0;0.0;0.0;0.0;71.0
3878;24 Manufacture of basic metals;1;1;2004;129.0;73.0;0.0;0.0;0.0;0.0;0.0;0.0;55.0
3879;24 Manufacture of basic metals;1;1;2005;155.0;103.0;0.0;0.0;0.0;0.0;0.0;0.0;52.0
3880;24 Manufacture of basic metals;1;1;2006;169.0;104.0;0.0;0.0;0.0;0.0;0.0;0.0;65.0
3881;24 Manufacture of basic metals;1;1;2007;133.0;105.0;0.0;0.0;0.0;0.0;0.0;0.0;28.0
3882;24 Manufacture of basic metals;1;1;2008;195.0;142.0;0.0;0.0;0.0;0.0;0.0;0.0;53.0
3883;24 Manufacture of basic metals;1;1;2009;;;;;;;;;
3884;24 Manufacture of basic metals;1;1;2010;;;;;;;;;
3885;24 Manufacture of basic metals;1;2;1990;;;;;;;;;
3886;24 Manufacture of basic metals;1;2;1991;;;;;;;;;
3887;24 Manufacture of basic metals;1;2;1992;;;;;;;;;
3888;24 Manufacture of basic metals;1;2;1993;;;;;;;;;
3889;24 Manufacture of basic metals;1;2;1994;;;;;;;;;
3890;24 Manufacture of basic metals;1;2;1995;;;;;;;;;
3891;24 Manufacture of basic metals;1;2;1996;;;;;;;;;
3892;24 Manufacture of basic metals;1;2;1997;;;;;;;;;
3893;24 Manufacture of basic metals;1;2;1998;;;;;;;;;
3894;24 Manufacture of basic metals;1;2;1999;;;;;;;;;
3895;24 Manufacture of basic metals;1;2;2000;;;;;;;;;
3896;24 Manufacture of basic metals;1;2;2001;;;;;;;;;
3897;24 Manufacture of basic metals;1;2;2002;2031.0;12.0;85.0;11.0;0.0;0.0;25.0;0.0;1897.0
3898;24 Manufacture of basic metals;1;2;2003;1920.0;2.0;37.0;12.0;0.0;0.0;25.0;0.0;1844.0
3899;24 Manufacture of basic metals;1;2;2004;2272.0;21.0;8.0;4.0;5.0;0.0;17.0;0.0;2217.0
3900;24 Manufacture of basic metals;1;2;2005;2459.0;34.0;13.0;4.0;5.0;0.0;17.0;0.0;2386.0
3901;24 Manufacture of basic metals;1;2;2006;1851.0;37.0;14.0;3.0;0.0;0.0;15.0;0.0;1782.0
3902;24 Manufacture of basic metals;1;2;2007;1960.0;37.0;16.0;3.0;0.0;0.0;15.0;0.0;1888.0
3903;24 Manufacture of basic metals;1;2;2008;2140.0;39.0;14.0;9.0;0.0;0.0;35.0;0.0;2043.0
3904;24 Manufacture of basic metals;1;2;2009;;;;;;;;;
3905;24 Manufacture of basic metals;1;2;2010;;;;;;;;;
3906;24 Manufacture of basic metals;2;3;1990;;;;;;;;;
3907;24 Manufacture of basic metals;2;3;1991;;;;;;;;;
3908;24 Manufacture of basic metals;2;3;1992;;;;;;;;;
3909;24 Manufacture of basic metals;2;3;1993;;;;;;;;;
3910;24 Manufacture of basic metals;2;3;1994;;;;;;;;;
3911;24 Manufacture of basic metals;2;3;1995;;;;;;;;;
3912;24 Manufacture of basic metals;2;3;1996;;;;;;;;;
3913;24 Manufacture of basic metals;2;3;1997;;;;;;;;;
3914;24 Manufacture of basic metals;2;3;1998;;;;;;;;;
3915;24 Manufacture of basic metals;2;3;1999;;;;;;;;;
3916;24 Manufacture of basic metals;2;3;2000;;;;;;;;;
3917;24 Manufacture of basic metals;2;3;2001;;;;;;;;;
3918;24 Manufacture of basic metals;2;3;2002;312.0;1.0;141.0;3.0;0.0;0.0;0.0;0.0;167.0
3919;24 Manufacture of basic metals;2;3;2003;349.0;2.0;174.0;2.0;0.0;0.0;0.0;0.0;171.0
3920;24 Manufacture of basic metals;2;3;2004;370.0;40.0;68.0;1.0;0.0;0.0;0.0;0.0;261.0
3921;24 Manufacture of basic metals;2;3;2005;229.0;4.0;84.0;1.0;0.0;0.0;0.0;0.0;141.0
3922;24 Manufacture of basic metals;2;3;2006;538.0;0.0;106.0;1.0;0.0;0.0;0.0;0.0;430.0
3923;24 Manufacture of basic metals;2;3;2007;382.0;0.0;74.0;1.0;0.0;0.0;0.0;0.0;307.0
3924;24 Manufacture of basic metals;2;3;2008;319.0;0.0;83.0;6.0;0.0;0.0;0.0;0.0;231.0
3925;24 Manufacture of basic metals;2;3;2009;;;;;;;;;
3926;24 Manufacture of basic metals;2;3;2010;;;;;;;;;
3927;24 Manufacture of basic metals;2;1;1990;;;;;;;;;
3928;24 Manufacture of basic metals;2;1;1991;;;;;;;;;
3929;24 Manufacture of basic metals;2;1;1992;;;;;;;;;
3930;24 Manufacture of basic metals;2;1;1993;;;;;;;;;
3931;24 Manufacture of basic metals;2;1;1994;;;;;;;;;
3932;24 Manufacture of basic metals;2;1;1995;;;;;;;;;
3933;24 Manufacture of basic metals;2;1;1996;;;;;;;;;
3934;24 Manufacture of basic metals;2;1;1997;;;;;;;;;
3935;24 Manufacture of basic metals;2;1;1998;;;;;;;;;
3936;24 Manufacture of basic metals;2;1;1999;;;;;;;;;
3937;24 Manufacture of basic metals;2;1;2000;;;;;;;;;
3938;24 Manufacture of basic metals;2;1;2001;;;;;;;;;
3939;24 Manufacture of basic metals;2;1;2002;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3940;24 Manufacture of basic metals;2;1;2003;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3941;24 Manufacture of basic metals;2;1;2004;40.0;40.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3942;24 Manufacture of basic metals;2;1;2005;4.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3943;24 Manufacture of basic metals;2;1;2006;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3944;24 Manufacture of basic metals;2;1;2007;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3945;24 Manufacture of basic metals;2;1;2008;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3946;24 Manufacture of basic metals;2;1;2009;;;;;;;;;
3947;24 Manufacture of basic metals;2;1;2010;;;;;;;;;
3948;24 Manufacture of basic metals;2;2;1990;;;;;;;;;
3949;24 Manufacture of basic metals;2;2;1991;;;;;;;;;
3950;24 Manufacture of basic metals;2;2;1992;;;;;;;;;
3951;24 Manufacture of basic metals;2;2;1993;;;;;;;;;
3952;24 Manufacture of basic metals;2;2;1994;;;;;;;;;
3953;24 Manufacture of basic metals;2;2;1995;;;;;;;;;
3954;24 Manufacture of basic metals;2;2;1996;;;;;;;;;
3955;24 Manufacture of basic metals;2;2;1997;;;;;;;;;
3956;24 Manufacture of basic metals;2;2;1998;;;;;;;;;
3957;24 Manufacture of basic metals;2;2;1999;;;;;;;;;
3958;24 Manufacture of basic metals;2;2;2000;;;;;;;;;
3959;24 Manufacture of basic metals;2;2;2001;;;;;;;;;
3960;24 Manufacture of basic metals;2;2;2002;311.0;0.0;141.0;3.0;0.0;0.0;0.0;0.0;167.0
3961;24 Manufacture of basic metals;2;2;2003;347.0;0.0;174.0;2.0;0.0;0.0;0.0;0.0;171.0
3962;24 Manufacture of basic metals;2;2;2004;330.0;0.0;68.0;1.0;0.0;0.0;0.0;0.0;261.0
3963;24 Manufacture of basic metals;2;2;2005;226.0;0.0;84.0;1.0;0.0;0.0;0.0;0.0;141.0
3964;24 Manufacture of basic metals;2;2;2006;538.0;0.0;106.0;1.0;0.0;0.0;0.0;0.0;430.0
3965;24 Manufacture of basic metals;2;2;2007;382.0;0.0;74.0;1.0;0.0;0.0;0.0;0.0;307.0
3966;24 Manufacture of basic metals;2;2;2008;319.0;0.0;83.0;6.0;0.0;0.0;0.0;0.0;231.0
3967;24 Manufacture of basic metals;2;2;2009;;;;;;;;;
3968;24 Manufacture of basic metals;2;2;2010;;;;;;;;;
3969;25 Manufacture of metal products;3;3;1990;;;;;;;;;
3970;25 Manufacture of metal products;3;3;1991;;;;;;;;;
3971;25 Manufacture of metal products;3;3;1992;;;;;;;;;
3972;25 Manufacture of metal products;3;3;1993;;;;;;;;;
3973;25 Manufacture of metal products;3;3;1994;;;;;;;;;
3974;25 Manufacture of metal products;3;3;1995;;;;;;;;;
3975;25 Manufacture of metal products;3;3;1996;;;;;;;;;
3976;25 Manufacture of metal products;3;3;1997;;;;;;;;;
3977;25 Manufacture of metal products;3;3;1998;;;;;;;;;
3978;25 Manufacture of metal products;3;3;1999;;;;;;;;;
3979;25 Manufacture of metal products;3;3;2000;;;;;;;;;
3980;25 Manufacture of metal products;3;3;2001;;;;;;;;;
3981;25 Manufacture of metal products;3;3;2002;416.0;27.0;266.0;40.0;0.0;0.0;64.0;0.0;19.0
3982;25 Manufacture of metal products;3;3;2003;401.0;26.0;257.0;39.0;0.0;0.0;62.0;0.0;17.0
3983;25 Manufacture of metal products;3;3;2004;428.0;27.0;283.0;33.0;0.0;1.0;71.0;0.0;13.0
3984;25 Manufacture of metal products;3;3;2005;441.0;22.0;284.0;33.0;1.0;1.0;72.0;0.0;29.0
3985;25 Manufacture of metal products;3;3;2006;465.0;24.0;309.0;40.0;3.0;1.0;67.0;0.0;22.0
3986;25 Manufacture of metal products;3;3;2007;457.0;23.0;303.0;40.0;3.0;1.0;66.0;0.0;21.0
3987;25 Manufacture of metal products;3;3;2008;432.0;70.0;260.0;28.0;0.0;8.0;42.0;0.0;24.0
3988;25 Manufacture of metal products;3;3;2009;374.0;66.0;221.0;24.0;0.0;7.0;35.0;0.0;20.0
3989;25 Manufacture of metal products;3;3;2010;404.0;59.0;239.0;30.0;0.0;8.0;48.0;0.0;20.0
3990;25 Manufacture of metal products;3;1;1990;;;;;;;;;
3991;25 Manufacture of metal products;3;1;1991;;;;;;;;;
3992;25 Manufacture of metal products;3;1;1992;;;;;;;;;
3993;25 Manufacture of metal products;3;1;1993;;;;;;;;;
3994;25 Manufacture of metal products;3;1;1994;;;;;;;;;
3995;25 Manufacture of metal products;3;1;1995;;;;;;;;;
3996;25 Manufacture of metal products;3;1;1996;;;;;;;;;
3997;25 Manufacture of metal products;3;1;1997;;;;;;;;;
3998;25 Manufacture of metal products;3;1;1998;;;;;;;;;
3999;25 Manufacture of metal products;3;1;1999;;;;;;;;;
4000;25 Manufacture of metal products;3;1;2000;;;;;;;;;
4001;25 Manufacture of metal products;3;1;2001;;;;;;;;;
4002;25 Manufacture of metal products;3;1;2002;37.0;26.0;0.0;0.0;0.0;0.0;0.0;0.0;11.0
4003;25 Manufacture of metal products;3;1;2003;34.0;25.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0
4004;25 Manufacture of metal products;3;1;2004;31.0;26.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0
4005;25 Manufacture of metal products;3;1;2005;44.0;21.0;0.0;0.0;0.0;0.0;0.0;0.0;23.0
4006;25 Manufacture of metal products;3;1;2006;21.0;21.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4007;25 Manufacture of metal products;3;1;2007;21.0;20.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
4008;25 Manufacture of metal products;3;1;2008;58.0;57.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4009;25 Manufacture of metal products;3;1;2009;;;;;;;;;
4010;25 Manufacture of metal products;3;1;2010;;;;;;;;;
4011;25 Manufacture of metal products;3;2;1990;;;;;;;;;
4012;25 Manufacture of metal products;3;2;1991;;;;;;;;;
4013;25 Manufacture of metal products;3;2;1992;;;;;;;;;
4014;25 Manufacture of metal products;3;2;1993;;;;;;;;;
4015;25 Manufacture of metal products;3;2;1994;;;;;;;;;
4016;25 Manufacture of metal products;3;2;1995;;;;;;;;;
4017;25 Manufacture of metal products;3;2;1996;;;;;;;;;
4018;25 Manufacture of metal products;3;2;1997;;;;;;;;;
4019;25 Manufacture of metal products;3;2;1998;;;;;;;;;
4020;25 Manufacture of metal products;3;2;1999;;;;;;;;;
4021;25 Manufacture of metal products;3;2;2000;;;;;;;;;
4022;25 Manufacture of metal products;3;2;2001;;;;;;;;;
4023;25 Manufacture of metal products;3;2;2002;379.0;1.0;266.0;40.0;0.0;0.0;64.0;0.0;8.0
4024;25 Manufacture of metal products;3;2;2003;367.0;1.0;257.0;39.0;0.0;0.0;62.0;0.0;8.0
4025;25 Manufacture of metal products;3;2;2004;397.0;2.0;283.0;33.0;0.0;1.0;71.0;0.0;8.0
4026;25 Manufacture of metal products;3;2;2005;396.0;1.0;283.0;33.0;0.0;1.0;71.0;0.0;7.0
4027;25 Manufacture of metal products;3;2;2006;444.0;3.0;309.0;40.0;2.0;1.0;67.0;0.0;21.0
4028;25 Manufacture of metal products;3;2;2007;436.0;3.0;303.0;40.0;2.0;1.0;66.0;0.0;20.0
4029;25 Manufacture of metal products;3;2;2008;374.0;13.0;260.0;28.0;0.0;8.0;42.0;0.0;23.0
4030;25 Manufacture of metal products;3;2;2009;;;;;;;;;
4031;25 Manufacture of metal products;3;2;2010;;;;;;;;;
4032;25 Manufacture of metal products;1;3;1990;;;;;;;;;
4033;25 Manufacture of metal products;1;3;1991;;;;;;;;;
4034;25 Manufacture of metal products;1;3;1992;;;;;;;;;
4035;25 Manufacture of metal products;1;3;1993;;;;;;;;;
4036;25 Manufacture of metal products;1;3;1994;;;;;;;;;
4037;25 Manufacture of metal products;1;3;1995;;;;;;;;;
4038;25 Manufacture of metal products;1;3;1996;;;;;;;;;
4039;25 Manufacture of metal products;1;3;1997;;;;;;;;;
4040;25 Manufacture of metal products;1;3;1998;;;;;;;;;
4041;25 Manufacture of metal products;1;3;1999;;;;;;;;;
4042;25 Manufacture of metal products;1;3;2000;;;;;;;;;
4043;25 Manufacture of metal products;1;3;2001;;;;;;;;;
4044;25 Manufacture of metal products;1;3;2002;186.0;25.0;48.0;29.0;0.0;0.0;64.0;0.0;19.0
4045;25 Manufacture of metal products;1;3;2003;149.0;24.0;14.0;32.0;0.0;0.0;62.0;0.0;17.0
4046;25 Manufacture of metal products;1;3;2004;149.0;26.0;15.0;24.0;0.0;1.0;71.0;0.0;12.0
4047;25 Manufacture of metal products;1;3;2005;165.0;22.0;17.0;24.0;1.0;1.0;72.0;0.0;29.0
4048;25 Manufacture of metal products;1;3;2006;181.0;24.0;37.0;28.0;3.0;1.0;67.0;0.0;21.0
4049;25 Manufacture of metal products;1;3;2007;187.0;23.0;43.0;30.0;3.0;1.0;66.0;0.0;21.0
4050;25 Manufacture of metal products;1;3;2008;201.0;70.0;36.0;22.0;0.0;8.0;42.0;0.0;24.0
4051;25 Manufacture of metal products;1;3;2009;;;;;;;;;
4052;25 Manufacture of metal products;1;3;2010;;;;;;;;;
4053;25 Manufacture of metal products;1;1;1990;;;;;;;;;
4054;25 Manufacture of metal products;1;1;1991;;;;;;;;;
4055;25 Manufacture of metal products;1;1;1992;;;;;;;;;
4056;25 Manufacture of metal products;1;1;1993;;;;;;;;;
4057;25 Manufacture of metal products;1;1;1994;;;;;;;;;
4058;25 Manufacture of metal products;1;1;1995;;;;;;;;;
4059;25 Manufacture of metal products;1;1;1996;;;;;;;;;
4060;25 Manufacture of metal products;1;1;1997;;;;;;;;;
4061;25 Manufacture of metal products;1;1;1998;;;;;;;;;
4062;25 Manufacture of metal products;1;1;1999;;;;;;;;;
4063;25 Manufacture of metal products;1;1;2000;;;;;;;;;
4064;25 Manufacture of metal products;1;1;2001;;;;;;;;;
4065;25 Manufacture of metal products;1;1;2002;35.0;24.0;0.0;0.0;0.0;0.0;0.0;0.0;11.0
4066;25 Manufacture of metal products;1;1;2003;32.0;23.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0
4067;25 Manufacture of metal products;1;1;2004;30.0;25.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0
4068;25 Manufacture of metal products;1;1;2005;44.0;21.0;0.0;0.0;0.0;0.0;0.0;0.0;23.0
4069;25 Manufacture of metal products;1;1;2006;21.0;21.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4070;25 Manufacture of metal products;1;1;2007;21.0;20.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
4071;25 Manufacture of metal products;1;1;2008;58.0;57.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4072;25 Manufacture of metal products;1;1;2009;;;;;;;;;
4073;25 Manufacture of metal products;1;1;2010;;;;;;;;;
4074;25 Manufacture of metal products;1;2;1990;;;;;;;;;
4075;25 Manufacture of metal products;1;2;1991;;;;;;;;;
4076;25 Manufacture of metal products;1;2;1992;;;;;;;;;
4077;25 Manufacture of metal products;1;2;1993;;;;;;;;;
4078;25 Manufacture of metal products;1;2;1994;;;;;;;;;
4079;25 Manufacture of metal products;1;2;1995;;;;;;;;;
4080;25 Manufacture of metal products;1;2;1996;;;;;;;;;
4081;25 Manufacture of metal products;1;2;1997;;;;;;;;;
4082;25 Manufacture of metal products;1;2;1998;;;;;;;;;
4083;25 Manufacture of metal products;1;2;1999;;;;;;;;;
4084;25 Manufacture of metal products;1;2;2000;;;;;;;;;
4085;25 Manufacture of metal products;1;2;2001;;;;;;;;;
4086;25 Manufacture of metal products;1;2;2002;151.0;1.0;48.0;29.0;0.0;0.0;64.0;0.0;8.0
4087;25 Manufacture of metal products;1;2;2003;117.0;1.0;14.0;32.0;0.0;0.0;62.0;0.0;8.0
4088;25 Manufacture of metal products;1;2;2004;120.0;2.0;15.0;24.0;0.0;1.0;71.0;0.0;7.0
4089;25 Manufacture of metal products;1;2;2005;121.0;1.0;17.0;24.0;0.0;1.0;71.0;0.0;6.0
4090;25 Manufacture of metal products;1;2;2006;160.0;3.0;37.0;28.0;2.0;1.0;67.0;0.0;21.0
4091;25 Manufacture of metal products;1;2;2007;166.0;3.0;43.0;30.0;2.0;1.0;66.0;0.0;20.0
4092;25 Manufacture of metal products;1;2;2008;143.0;13.0;36.0;22.0;0.0;8.0;42.0;0.0;23.0
4093;25 Manufacture of metal products;1;2;2009;;;;;;;;;
4094;25 Manufacture of metal products;1;2;2010;;;;;;;;;
4095;25 Manufacture of metal products;2;3;1990;;;;;;;;;
4096;25 Manufacture of metal products;2;3;1991;;;;;;;;;
4097;25 Manufacture of metal products;2;3;1992;;;;;;;;;
4098;25 Manufacture of metal products;2;3;1993;;;;;;;;;
4099;25 Manufacture of metal products;2;3;1994;;;;;;;;;
4100;25 Manufacture of metal products;2;3;1995;;;;;;;;;
4101;25 Manufacture of metal products;2;3;1996;;;;;;;;;
4102;25 Manufacture of metal products;2;3;1997;;;;;;;;;
4103;25 Manufacture of metal products;2;3;1998;;;;;;;;;
4104;25 Manufacture of metal products;2;3;1999;;;;;;;;;
4105;25 Manufacture of metal products;2;3;2000;;;;;;;;;
4106;25 Manufacture of metal products;2;3;2001;;;;;;;;;
4107;25 Manufacture of metal products;2;3;2002;231.0;2.0;217.0;11.0;0.0;0.0;0.0;0.0;0.0
4108;25 Manufacture of metal products;2;3;2003;252.0;2.0;243.0;7.0;0.0;0.0;0.0;0.0;0.0
4109;25 Manufacture of metal products;2;3;2004;279.0;1.0;268.0;9.0;0.0;0.0;0.0;0.0;0.0
4110;25 Manufacture of metal products;2;3;2005;275.0;0.0;266.0;8.0;0.0;0.0;0.0;0.0;0.0
4111;25 Manufacture of metal products;2;3;2006;284.0;0.0;272.0;12.0;0.0;0.0;0.0;0.0;0.0
4112;25 Manufacture of metal products;2;3;2007;270.0;0.0;260.0;10.0;0.0;0.0;0.0;0.0;0.0
4113;25 Manufacture of metal products;2;3;2008;230.0;0.0;224.0;6.0;0.0;0.0;0.0;0.0;0.0
4114;25 Manufacture of metal products;2;3;2009;;;;;;;;;
4115;25 Manufacture of metal products;2;3;2010;;;;;;;;;
4116;25 Manufacture of metal products;2;1;1990;;;;;;;;;
4117;25 Manufacture of metal products;2;1;1991;;;;;;;;;
4118;25 Manufacture of metal products;2;1;1992;;;;;;;;;
4119;25 Manufacture of metal products;2;1;1993;;;;;;;;;
4120;25 Manufacture of metal products;2;1;1994;;;;;;;;;
4121;25 Manufacture of metal products;2;1;1995;;;;;;;;;
4122;25 Manufacture of metal products;2;1;1996;;;;;;;;;
4123;25 Manufacture of metal products;2;1;1997;;;;;;;;;
4124;25 Manufacture of metal products;2;1;1998;;;;;;;;;
4125;25 Manufacture of metal products;2;1;1999;;;;;;;;;
4126;25 Manufacture of metal products;2;1;2000;;;;;;;;;
4127;25 Manufacture of metal products;2;1;2001;;;;;;;;;
4128;25 Manufacture of metal products;2;1;2002;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4129;25 Manufacture of metal products;2;1;2003;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4130;25 Manufacture of metal products;2;1;2004;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4131;25 Manufacture of metal products;2;1;2005;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4132;25 Manufacture of metal products;2;1;2006;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4133;25 Manufacture of metal products;2;1;2007;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4134;25 Manufacture of metal products;2;1;2008;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4135;25 Manufacture of metal products;2;1;2009;;;;;;;;;
4136;25 Manufacture of metal products;2;1;2010;;;;;;;;;
4137;25 Manufacture of metal products;2;2;1990;;;;;;;;;
4138;25 Manufacture of metal products;2;2;1991;;;;;;;;;
4139;25 Manufacture of metal products;2;2;1992;;;;;;;;;
4140;25 Manufacture of metal products;2;2;1993;;;;;;;;;
4141;25 Manufacture of metal products;2;2;1994;;;;;;;;;
4142;25 Manufacture of metal products;2;2;1995;;;;;;;;;
4143;25 Manufacture of metal products;2;2;1996;;;;;;;;;
4144;25 Manufacture of metal products;2;2;1997;;;;;;;;;
4145;25 Manufacture of metal products;2;2;1998;;;;;;;;;
4146;25 Manufacture of metal products;2;2;1999;;;;;;;;;
4147;25 Manufacture of metal products;2;2;2000;;;;;;;;;
4148;25 Manufacture of metal products;2;2;2001;;;;;;;;;
4149;25 Manufacture of metal products;2;2;2002;229.0;0.0;217.0;11.0;0.0;0.0;0.0;0.0;0.0
4150;25 Manufacture of metal products;2;2;2003;250.0;0.0;243.0;7.0;0.0;0.0;0.0;0.0;0.0
4151;25 Manufacture of metal products;2;2;2004;278.0;0.0;268.0;9.0;0.0;0.0;0.0;0.0;0.0
4152;25 Manufacture of metal products;2;2;2005;275.0;0.0;266.0;8.0;0.0;0.0;0.0;0.0;0.0
4153;25 Manufacture of metal products;2;2;2006;284.0;0.0;272.0;12.0;0.0;0.0;0.0;0.0;0.0
4154;25 Manufacture of metal products;2;2;2007;270.0;0.0;260.0;10.0;0.0;0.0;0.0;0.0;0.0
4155;25 Manufacture of metal products;2;2;2008;230.0;0.0;224.0;6.0;0.0;0.0;0.0;0.0;0.0
4156;25 Manufacture of metal products;2;2;2009;;;;;;;;;
4157;25 Manufacture of metal products;2;2;2010;;;;;;;;;
4158;26-27 Electrical and electron. Industry;3;3;1990;;;;;;;;;
