ID;CPIWithUnderlyingInflation;Periods;PriceIndex_1;YearOnYearChange_2
583;Underlying series III;2010 August;104.86;0.9
584;Underlying series III;2010 September;105.72;0.8
585;Underlying series III;2010 October;106.05;0.9
586;Underlying series III;2010 November;105.83;0.9
587;Underlying series III;2010 December;105.27;1.1
588;Underlying series III;2011 January before recalculation;104.9;1.2
589;Underlying series III;2011 February before recalculation;105.94;1.2
590;Underlying series III;2011 March before recalculation;107.5;1.2
591;Underlying series III;2011 April before recalculation;107.86;1.2
592;Underlying series III;2011 May before recalculation;107.97;1.4
593;Underlying series III;2011 June before recalculation;107.31;1.5
594;Underlying series III;2011 July before recalculation;106.47;1.7
595;Underlying series III;2011 August before recalculation;106.62;1.7
596;Underlying series III;2011 September before recalculation;107.62;1.8
597;Underlying series III;2011 October before recalculation;107.74;1.6
598;Underlying series III;2011 November before recalculation;107.57;1.6
599;Underlying series III;2011 December before recalculation;106.96;1.6
600;Underlying series III;2011 January after recalculation;104.71;
601;Underlying series III;2011 February after recalculation;105.87;
602;Underlying series III;2011 March after recalculation;107.34;
603;Underlying series III;2011 April after recalculation;107.77;
604;Underlying series III;2011 May after recalculation;107.77;
605;Underlying series III;2011 June after recalculation;107.09;
606;Underlying series III;2011 July after recalculation;106.97;
607;Underlying series III;2011 August after recalculation;107.16;
608;Underlying series III;2011 September after recalculation;107.59;
609;Underlying series III;2011 October after recalculation;107.81;
610;Underlying series III;2011 November after recalculation;107.36;
611;Underlying series III;2011 December after recalculation;107.01;
612;Underlying series III;2012 January;106.33;1.5
613;Underlying series III;2012 February;107.41;1.5
614;Underlying series III;2012 March;108.92;1.5
615;Underlying series III;2012 April;109.37;1.5
616;Underlying series III;2012 May;109.28;1.4
617;Underlying series III;2012 June;108.72;1.5
618;Underlying series III;2012 July;108.75;1.7
619;Underlying series III;2012 August;108.64;1.4
620;Underlying series III;2012 September;109.06;1.4
621;Underlying series III;2012 October;109.09;1.2
622;Underlying series III;2012 November;108.66;1.2
