ID;Waterusers;Periods;TotalUseOfTapWater_1;UseOfDrinkingWater_2;UseOfIndustrialWater_3;UseOfIndustrialWaterForCooling_4;OtherUseOfIndustrialWater_5;TotalUseOfGroundwater_6;UseOfGroundwaterForCooling_7;OtherUseOfGroundwater_8;TotalUseOfSurfaceWater_9;TotalUseOfFreshSurfaceWater_10;UseOfFreshSurfaceWaterForCooling_11;OtherUseOfFreshSurfaceWater_12;TotalUseOfSaltSurfaceWater_13;UseOfSaltSurfaceWaterForCooling_14;OtherUseOfSaltSurfaceWater_15
1023;R Culture, sports and recreation;2018;17.4;17.4;0.0;;;;;;;;;;;;
1024;R Culture, sports and recreation;2019;16.8;16.8;0.0;;;;;;;;;;;;
1025;R Culture, sports and recreation;2020;16.5;16.5;0.0;;;;;;;;;;;;
1026;R Culture, sports and recreation;2021;16.0;16.0;0.0;;;;;;;;;;;;
1027;R Culture, sports and recreation;2022;;;;;;;;;;;;;;;
1028;R Culture, sports and recreation;2023;;;;;;;;;;;;;;;
1029;S Other service activities;2003;8.0;8.0;0.0;;;;;;;;;;;;
1030;S Other service activities;2004;7.9;7.9;0.0;;;;;;;;;;;;
1031;S Other service activities;2005;8.0;8.0;0.0;;;;;;;;;;;;
1032;S Other service activities;2006;8.1;8.1;0.0;;;;;;;;;;;;
1033;S Other service activities;2007;8.4;8.4;0.0;;;;;;;;;;;;
1034;S Other service activities;2008;8.9;8.9;0.0;;;;;;;;;;;;
1035;S Other service activities;2009;9.1;9.1;0.0;;;;;;;;;;;;
1036;S Other service activities;2010;9.3;9.3;0.0;;;;;;;;;;;;
1037;S Other service activities;2011;9.2;9.2;0.0;;;;;;;;;;;;
1038;S Other service activities;2012;9.2;9.2;0.0;;;;;;;;;;;;
1039;S Other service activities;2013;9.0;9.0;0.0;;;;;;;;;;;;
1040;S Other service activities;2014;9.0;9.0;0.0;;;;;;;;;;;;
1041;S Other service activities;2015;8.9;8.9;0.0;;;;;;;;;;;;
1042;S Other service activities;2016;9.2;9.2;0.0;;;;;;;;;;;;
1043;S Other service activities;2017;8.3;8.3;0.0;;;;;;;;;;;;
1044;S Other service activities;2018;9.3;9.3;0.0;;;;;;;;;;;;
1045;S Other service activities;2019;8.9;8.9;0.0;;;;;;;;;;;;
1046;S Other service activities;2020;9.2;9.2;0.0;;;;;;;;;;;;
1047;S Other service activities;2021;9.2;9.2;0.0;;;;;;;;;;;;
1048;S Other service activities;2022;;;;;;;;;;;;;;;
1049;S Other service activities;2023;;;;;;;;;;;;;;;
1050;T Activities of households;2003;0.5;0.5;0.0;;;;;;;;;;;;
1051;T Activities of households;2004;0.6;0.6;0.0;;;;;;;;;;;;
1052;T Activities of households;2005;0.6;0.6;0.0;;;;;;;;;;;;
1053;T Activities of households;2006;0.7;0.7;0.0;;;;;;;;;;;;
1054;T Activities of households;2007;0.8;0.8;0.0;;;;;;;;;;;;
1055;T Activities of households;2008;1.0;1.0;0.0;;;;;;;;;;;;
1056;T Activities of households;2009;0.9;0.9;0.0;;;;;;;;;;;;
1057;T Activities of households;2010;0.8;0.8;0.0;;;;;;;;;;;;
1058;T Activities of households;2011;0.7;0.7;0.0;;;;;;;;;;;;
1059;T Activities of households;2012;0.7;0.7;0.0;;;;;;;;;;;;
1060;T Activities of households;2013;0.7;0.7;0.0;;;;;;;;;;;;
1061;T Activities of households;2014;0.7;0.7;0.0;;;;;;;;;;;;
1062;T Activities of households;2015;0.4;0.4;0.0;;;;;;;;;;;;
1063;T Activities of households;2016;0.7;0.7;0.0;;;;;;;;;;;;
1064;T Activities of households;2017;0.6;0.6;0.0;;;;;;;;;;;;
1065;T Activities of households;2018;0.8;0.8;0.0;;;;;;;;;;;;
1066;T Activities of households;2019;0.8;0.8;0.0;;;;;;;;;;;;
1067;T Activities of households;2020;0.9;0.9;0.0;;;;;;;;;;;;
1068;T Activities of households;2021;0.9;0.9;0.0;;;;;;;;;;;;
1069;T Activities of households;2022;;;;;;;;;;;;;;;
1070;T Activities of households;2023;;;;;;;;;;;;;;;
1071;U Extraterritorial organisations;2003;0.0;0.0;0.0;;;;;;;;;;;;
1072;U Extraterritorial organisations;2004;0.0;0.0;0.0;;;;;;;;;;;;
1073;U Extraterritorial organisations;2005;0.0;0.0;0.0;;;;;;;;;;;;
1074;U Extraterritorial organisations;2006;0.0;0.0;0.0;;;;;;;;;;;;
1075;U Extraterritorial organisations;2007;0.0;0.0;0.0;;;;;;;;;;;;
1076;U Extraterritorial organisations;2008;0.0;0.0;0.0;;;;;;;;;;;;
1077;U Extraterritorial organisations;2009;0.0;0.0;0.0;;;;;;;;;;;;
1078;U Extraterritorial organisations;2010;0.0;0.0;0.0;;;;;;;;;;;;
1079;U Extraterritorial organisations;2011;0.0;0.0;0.0;;;;;;;;;;;;
1080;U Extraterritorial organisations;2012;0.0;0.0;0.0;;;;;;;;;;;;
1081;U Extraterritorial organisations;2013;0.0;0.0;0.0;;;;;;;;;;;;
1082;U Extraterritorial organisations;2014;0.0;0.0;0.0;;;;;;;;;;;;
1083;U Extraterritorial organisations;2015;0.0;0.0;0.0;;;;;;;;;;;;
1084;U Extraterritorial organisations;2016;0.0;0.0;0.0;;;;;;;;;;;;
1085;U Extraterritorial organisations;2017;0.0;0.0;0.0;;;;;;;;;;;;
1086;U Extraterritorial organisations;2018;0.0;0.0;0.0;;;;;;;;;;;;
1087;U Extraterritorial organisations;2019;0.0;0.0;0.0;;;;;;;;;;;;
1088;U Extraterritorial organisations;2020;0.0;0.0;0.0;;;;;;;;;;;;
1089;U Extraterritorial organisations;2021;0.0;0.0;0.0;;;;;;;;;;;;
1090;U Extraterritorial organisations;2022;;;;;;;;;;;;;;;
1091;U Extraterritorial organisations;2023;;;;;;;;;;;;;;;
