ID;SalesAndConsumption;SBI93;Periods;WeightFactor_1;IndexNumbers_2;MonthOnMonthDevelopment_3;YearOnYearDevelopment_4;WeightFactor_5;IndexNumbers_6;MonthOnMonthDevelopment_7;YearOnYearDevelopment_8
2404;Total sales;27 Manufacture of basic metals;2004;5635;108.0;;11.5;5637;108.0;;11.5
2405;Total sales;27 Manufacture of basic metals;2005 January;5635;121.0;5.1;25.6;5637;121.0;5.1;25.5
2406;Total sales;27 Manufacture of basic metals;2005 February;5635;122.0;0.4;25.1;5637;122.0;0.4;25.1
2407;Total sales;27 Manufacture of basic metals;2005 March;5635;123.0;0.9;22.8;5637;123.0;0.9;22.7
2408;Total sales;27 Manufacture of basic metals;2005 April;5635;122.0;-0.2;18.3;5637;122.0;-0.2;18.3
2409;Total sales;27 Manufacture of basic metals;2005 May;5635;122.0;-0.3;14.8;5637;122.0;-0.2;14.7
2410;Total sales;27 Manufacture of basic metals;2005 June;5635;123.0;0.6;15.0;5637;123.0;0.6;15.0
2411;Total sales;27 Manufacture of basic metals;2005 July;5635;119.0;-2.8;8.3;5637;119.0;-2.8;8.3
2412;Total sales;27 Manufacture of basic metals;2005 August;5635;118.0;-1.0;6.7;5637;118.0;-1.0;6.7
2413;Total sales;27 Manufacture of basic metals;2005 September;5635;119.0;0.5;5.0;5637;119.0;0.5;5.0
2414;Total sales;27 Manufacture of basic metals;2005 October;5635;119.0;0.2;1.8;5637;119.0;0.2;1.8
2415;Total sales;27 Manufacture of basic metals;2005 November;5635;119.0;0.3;3.4;5637;119.0;0.3;3.4
2416;Total sales;27 Manufacture of basic metals;2005 December;5635;120.0;0.4;3.8;5637;120.0;0.4;3.8
2417;Total sales;27 Manufacture of basic metals;2005;5635;121.0;;12.0;5637;121.0;;12.0
2418;Total sales;27 Manufacture of basic metals;2006 January;5635;123.0;3.1;1.9;5637;123.0;3.1;1.9
2419;Total sales;27 Manufacture of basic metals;2006 February;5635;125.0;1.1;2.6;5637;125.0;1.1;2.6
2420;Total sales;27 Manufacture of basic metals;2006 March;5635;125.0;0.1;1.8;5637;125.0;0.1;1.8
2421;Total sales;27 Manufacture of basic metals;2006 April;5635;130.0;4.5;6.6;5637;130.0;4.5;6.6
2422;Total sales;27 Manufacture of basic metals;2006 May;5635;131.0;0.5;7.4;5637;131.0;0.5;7.4
2423;Total sales;27 Manufacture of basic metals;2006 June;5635;132.0;0.5;7.4;5637;132.0;0.5;7.4
2424;Total sales;27 Manufacture of basic metals;2006 July;5635;137.0;3.6;14.5;5637;137.0;3.6;14.5
2425;Total sales;27 Manufacture of basic metals;2006 August;5635;138.0;1.2;17.0;5637;138.0;1.2;17.0
2426;Total sales;27 Manufacture of basic metals;2006 September;5635;138.0;-0.2;16.3;5637;138.0;-0.2;16.3
2427;Total sales;27 Manufacture of basic metals;2006 October;5635;140.0;1.7;18.1;5637;140.0;1.7;18.1
2428;Total sales;27 Manufacture of basic metals;2006 November;5635;140.0;-0.1;17.6;5637;140.0;-0.1;17.6
2429;Total sales;27 Manufacture of basic metals;2006 December;5635;139.0;-0.9;16.1;5637;139.0;-0.9;16.1
2430;Total sales;27 Manufacture of basic metals;2006;5635;133.0;;10.5;5637;133.0;;10.5
2431;Total sales;27 Manufacture of basic metals;2007 January;5635;139.0;0.0;12.6;5637;139.0;0.0;12.6
2432;Total sales;27 Manufacture of basic metals;2007 February;5635;138.0;-0.8;10.6;5637;138.0;-0.8;10.6
2433;Total sales;27 Manufacture of basic metals;2007 March;5635;137.0;-0.7;9.7;5637;137.0;-0.7;9.7
2434;Total sales;27 Manufacture of basic metals;2007 April;5635;138.0;0.8;5.7;5637;138.0;0.8;5.7
2435;Total sales;27 Manufacture of basic metals;2007 May;5635;139.0;1.0;6.3;5637;139.0;1.0;6.3
2436;Total sales;27 Manufacture of basic metals;2007 June;5635;139.0;-0.3;5.4;5637;139.0;-0.3;5.4
2437;Total sales;27 Manufacture of basic metals;2007 July;5635;138.0;-1.0;0.7;5637;138.0;-1.0;0.7
2438;Total sales;27 Manufacture of basic metals;2007 August;5635;137.0;-0.1;-0.5;5637;137.0;-0.1;-0.5
2439;Total sales;27 Manufacture of basic metals;2007 September;5635;136.0;-0.7;-1.1;5637;136.0;-0.7;-1.1
2440;Total sales;27 Manufacture of basic metals;2007 October;5635;136.0;-0.2;-2.9;5637;136.0;-0.2;-2.9
2441;Total sales;27 Manufacture of basic metals;2007 November;5635;134.0;-1.7;-4.5;5637;134.0;-1.7;-4.5
2442;Total sales;27 Manufacture of basic metals;2007 December;5635;133.0;-0.8;-4.4;5637;133.0;-0.8;-4.4
2443;Total sales;27 Manufacture of basic metals;2007;5635;137.0;;2.9;5637;137.0;;2.9
2444;Total sales;27 Manufacture of basic metals;2008 January;5635;132.0;-0.5;-5.0;5637;132.0;-0.5;-5.0
2445;Total sales;27 Manufacture of basic metals;2008 February;5635;132.0;-0.2;-4.4;5637;132.0;-0.2;-4.4
2446;Total sales;27 Manufacture of basic metals;2008 March;5635;132.0;0.0;-3.7;5637;132.0;0.0;-3.7
2447;Total sales;27 Manufacture of basic metals;2008 April;5635;137.0;3.7;-1.0;5637;137.0;3.7;-1.0
2448;Total sales;27 Manufacture of basic metals;2008 May;5635;140.0;2.5;0.5;5637;140.0;2.5;0.5
2449;Total sales;27 Manufacture of basic metals;2008 June;5635;141.0;1.0;1.8;5637;141.0;1.0;1.8
2450;Total sales;27 Manufacture of basic metals;2008 July;5635;146.0;3.4;6.3;5637;146.0;3.4;6.3
2451;Total sales;27 Manufacture of basic metals;2008 August;5635;149.0;1.9;8.4;5637;149.0;1.9;8.4
2452;Total sales;27 Manufacture of basic metals;2008 September;5635;149.0;-0.1;9.1;5637;149.0;-0.1;9.1
2453;Total sales;27 Manufacture of basic metals;2008 October;5635;146.0;-1.6;7.6;5637;146.0;-1.6;7.6
2454;Total sales;27 Manufacture of basic metals;2008 November;5635;142.0;-2.9;6.2;5637;142.0;-2.9;6.2
2455;Total sales;27 Manufacture of basic metals;2008 December;5635;136.0;-4.3;2.5;5637;136.0;-4.3;2.5
2456;Total sales;27 Manufacture of basic metals;2008;5635;140.0;;2.3;5637;140.0;;2.3
2457;Total sales;28 Manufacture of fabricated metal produ;2000 January;11164;99.0;;;11164;99.0;;
2458;Total sales;28 Manufacture of fabricated metal produ;2000 February;11164;99.0;0.2;;11164;99.0;0.2;
2459;Total sales;28 Manufacture of fabricated metal produ;2000 March;11164;99.0;0.1;;11164;99.0;0.1;
2460;Total sales;28 Manufacture of fabricated metal produ;2000 April;11164;100.0;0.5;;11164;100.0;0.5;
2461;Total sales;28 Manufacture of fabricated metal produ;2000 May;11164;100.0;0.1;;11164;100.0;0.1;
2462;Total sales;28 Manufacture of fabricated metal produ;2000 June;11164;100.0;-0.1;;11164;100.0;-0.1;
2463;Total sales;28 Manufacture of fabricated metal produ;2000 July;11164;100.0;0.8;;11164;100.0;0.8;
2464;Total sales;28 Manufacture of fabricated metal produ;2000 August;11164;101.0;0.1;;11164;101.0;0.1;
2465;Total sales;28 Manufacture of fabricated metal produ;2000 September;11164;101.0;0.0;;11164;101.0;0.0;
2466;Total sales;28 Manufacture of fabricated metal produ;2000 October;11164;101.0;0.5;;11164;101.0;0.5;
2467;Total sales;28 Manufacture of fabricated metal produ;2000 November;11164;101.0;-0.2;;11164;101.0;-0.2;
2468;Total sales;28 Manufacture of fabricated metal produ;2000 December;11164;101.0;-0.2;;11164;101.0;-0.2;
2469;Total sales;28 Manufacture of fabricated metal produ;2000;11164;100.0;;;11164;100.0;;
2470;Total sales;28 Manufacture of fabricated metal produ;2001 January;11164;102.0;1.1;2.9;11164;102.0;1.1;2.9
2471;Total sales;28 Manufacture of fabricated metal produ;2001 February;11164;102.0;0.1;2.8;11164;102.0;0.1;2.8
2472;Total sales;28 Manufacture of fabricated metal produ;2001 March;11164;102.0;0.1;2.8;11164;102.0;0.1;2.8
2473;Total sales;28 Manufacture of fabricated metal produ;2001 April;11164;102.0;-0.3;2.0;11164;102.0;-0.3;2.0
2474;Total sales;28 Manufacture of fabricated metal produ;2001 May;11164;102.0;0.0;1.8;11164;102.0;0.0;1.8
2475;Total sales;28 Manufacture of fabricated metal produ;2001 June;11164;102.0;-0.1;1.8;11164;102.0;-0.1;1.8
2476;Total sales;28 Manufacture of fabricated metal produ;2001 July;11164;102.0;0.2;1.2;11164;102.0;0.2;1.2
2477;Total sales;28 Manufacture of fabricated metal produ;2001 August;11164;102.0;0.1;1.3;11164;102.0;0.1;1.3
2478;Total sales;28 Manufacture of fabricated metal produ;2001 September;11164;102.0;0.1;1.3;11164;102.0;0.1;1.3
2479;Total sales;28 Manufacture of fabricated metal produ;2001 October;11164;102.0;-0.1;0.8;11164;102.0;-0.1;0.8
2480;Total sales;28 Manufacture of fabricated metal produ;2001 November;11164;102.0;-0.2;0.8;11164;102.0;-0.2;0.8
2481;Total sales;28 Manufacture of fabricated metal produ;2001 December;11164;102.0;-0.1;1.0;11164;102.0;-0.1;1.0
2482;Total sales;28 Manufacture of fabricated metal produ;2001;11164;102.0;;1.7;11164;102.0;;1.7
2483;Total sales;28 Manufacture of fabricated metal produ;2002 January;11164;102.0;0.7;0.6;11164;102.0;0.7;0.6
2484;Total sales;28 Manufacture of fabricated metal produ;2002 February;11164;103.0;0.2;0.7;11164;103.0;0.2;0.7
2485;Total sales;28 Manufacture of fabricated metal produ;2002 March;11164;103.0;0.0;0.7;11164;103.0;0.0;0.7
2486;Total sales;28 Manufacture of fabricated metal produ;2002 April;11164;103.0;0.3;1.2;11164;103.0;0.3;1.2
2487;Total sales;28 Manufacture of fabricated metal produ;2002 May;11164;103.0;0.0;1.2;11164;103.0;0.0;1.2
2488;Total sales;28 Manufacture of fabricated metal produ;2002 June;11164;103.0;0.0;1.4;11164;103.0;0.0;1.4
2489;Total sales;28 Manufacture of fabricated metal produ;2002 July;11164;103.0;0.2;1.3;11164;103.0;0.2;1.3
2490;Total sales;28 Manufacture of fabricated metal produ;2002 August;11164;103.0;0.0;1.3;11164;103.0;0.0;1.3
2491;Total sales;28 Manufacture of fabricated metal produ;2002 September;11164;103.0;-0.1;1.2;11164;103.0;-0.1;1.2
2492;Total sales;28 Manufacture of fabricated metal produ;2002 October;11164;103.0;0.1;1.3;11164;103.0;0.1;1.3
2493;Total sales;28 Manufacture of fabricated metal produ;2002 November;11164;103.0;0.0;1.5;11164;103.0;0.0;1.5
2494;Total sales;28 Manufacture of fabricated metal produ;2002 December;11164;103.0;0.1;1.6;11164;103.0;0.1;1.6
2495;Total sales;28 Manufacture of fabricated metal produ;2002;11164;103.0;;1.2;11164;103.0;;1.2
2496;Total sales;28 Manufacture of fabricated metal produ;2003 January;11164;104.0;0.7;1.6;11164;104.0;0.7;1.6
2497;Total sales;28 Manufacture of fabricated metal produ;2003 February;11164;104.0;0.1;1.4;11164;104.0;0.1;1.4
2498;Total sales;28 Manufacture of fabricated metal produ;2003 March;11164;104.0;0.0;1.4;11164;104.0;0.0;1.4
2499;Total sales;28 Manufacture of fabricated metal produ;2003 April;11164;104.0;0.0;1.1;11164;104.0;0.0;1.1
2500;Total sales;28 Manufacture of fabricated metal produ;2003 May;11164;104.0;-0.1;1.0;11164;104.0;-0.1;1.0
2501;Total sales;28 Manufacture of fabricated metal produ;2003 June;11164;104.0;-0.1;0.9;11164;104.0;-0.1;0.9
2502;Total sales;28 Manufacture of fabricated metal produ;2003 July;11164;104.0;0.1;0.8;11164;104.0;0.1;0.8
2503;Total sales;28 Manufacture of fabricated metal produ;2003 August;11164;104.0;-0.1;0.6;11164;104.0;-0.1;0.6
2504;Total sales;28 Manufacture of fabricated metal produ;2003 September;11164;104.0;0.0;0.7;11164;104.0;0.0;0.7
2505;Total sales;28 Manufacture of fabricated metal produ;2003 October;11164;104.0;-0.1;0.5;11164;104.0;-0.1;0.5
2506;Total sales;28 Manufacture of fabricated metal produ;2003 November;11164;104.0;0.0;0.6;11164;104.0;0.0;0.6
2507;Total sales;28 Manufacture of fabricated metal produ;2003 December;11164;104.0;-0.2;0.3;11164;104.0;-0.2;0.3
2508;Total sales;28 Manufacture of fabricated metal produ;2003;11164;104.0;;0.9;11164;104.0;;0.9
2509;Total sales;28 Manufacture of fabricated metal produ;2004 January;11164;104.0;0.5;0.2;11164;104.0;0.5;0.2
2510;Total sales;28 Manufacture of fabricated metal produ;2004 February;11164;105.0;0.4;0.5;11164;105.0;0.4;0.5
2511;Total sales;28 Manufacture of fabricated metal produ;2004 March;11164;105.0;0.7;1.2;11164;105.0;0.7;1.2
2512;Total sales;28 Manufacture of fabricated metal produ;2004 April;11164;108.0;2.1;3.4;11164;108.0;2.1;3.4
2513;Total sales;28 Manufacture of fabricated metal produ;2004 May;11164;108.0;0.3;3.7;11164;108.0;0.3;3.7
2514;Total sales;28 Manufacture of fabricated metal produ;2004 June;11164;108.0;0.0;3.8;11164;108.0;0.0;3.8
2515;Total sales;28 Manufacture of fabricated metal produ;2004 July;11164;109.0;1.4;5.1;11164;109.0;1.4;5.1
2516;Total sales;28 Manufacture of fabricated metal produ;2004 August;11164;109.0;0.1;5.4;11164;109.0;0.1;5.4
2517;Total sales;28 Manufacture of fabricated metal produ;2004 September;11164;110.0;0.3;5.7;11164;110.0;0.3;5.7
2518;Total sales;28 Manufacture of fabricated metal produ;2004 October;11164;110.0;0.4;6.1;11164;110.0;0.4;6.1
2519;Total sales;28 Manufacture of fabricated metal produ;2004 November;11164;110.0;-0.3;5.8;11164;110.0;-0.3;5.8
2520;Total sales;28 Manufacture of fabricated metal produ;2004 December;11164;109.0;-0.3;5.6;11164;109.0;-0.3;5.6
2521;Total sales;28 Manufacture of fabricated metal produ;2004;11164;108.0;;3.9;11164;108.0;;3.9
2522;Total sales;28 Manufacture of fabricated metal produ;2005 January;11164;111.0;1.5;6.7;11164;111.0;1.5;6.7
2523;Total sales;28 Manufacture of fabricated metal produ;2005 February;11164;111.0;0.0;6.2;11164;111.0;0.0;6.2
2524;Total sales;28 Manufacture of fabricated metal produ;2005 March;11164;111.0;0.0;5.4;11164;111.0;0.0;5.4
2525;Total sales;28 Manufacture of fabricated metal produ;2005 April;11164;111.0;0.4;3.6;11164;111.0;0.4;3.6
2526;Total sales;28 Manufacture of fabricated metal produ;2005 May;11164;111.0;-0.1;3.3;11164;111.0;-0.1;3.3
2527;Total sales;28 Manufacture of fabricated metal produ;2005 June;11164;111.0;-0.1;3.2;11164;111.0;-0.1;3.2
2528;Total sales;28 Manufacture of fabricated metal produ;2005 July;11164;111.0;-0.2;1.6;11164;111.0;-0.2;1.6
2529;Total sales;28 Manufacture of fabricated metal produ;2005 August;11164;111.0;0.3;1.8;11164;111.0;0.3;1.8
2530;Total sales;28 Manufacture of fabricated metal produ;2005 September;11164;112.0;0.4;1.9;11164;112.0;0.4;1.9
2531;Total sales;28 Manufacture of fabricated metal produ;2005 October;11164;113.0;0.9;2.4;11164;113.0;0.9;2.4
2532;Total sales;28 Manufacture of fabricated metal produ;2005 November;11164;113.0;-0.1;2.6;11164;113.0;-0.1;2.6
2533;Total sales;28 Manufacture of fabricated metal produ;2005 December;11164;112.0;-0.1;2.8;11164;112.0;-0.1;2.8
2534;Total sales;28 Manufacture of fabricated metal produ;2005;11164;112.0;;3.4;11164;112.0;;3.4
2535;Total sales;28 Manufacture of fabricated metal produ;2006 January;11164;114.0;1.1;2.4;11164;114.0;1.1;2.4
2536;Total sales;28 Manufacture of fabricated metal produ;2006 February;11164;114.0;0.1;2.5;11164;114.0;0.1;2.5
2537;Total sales;28 Manufacture of fabricated metal produ;2006 March;11164;114.0;0.3;2.8;11164;114.0;0.3;2.8
2538;Total sales;28 Manufacture of fabricated metal produ;2006 April;11164;115.0;1.0;3.5;11164;115.0;1.0;3.5
2539;Total sales;28 Manufacture of fabricated metal produ;2006 May;11164;115.0;0.1;3.7;11164;115.0;0.1;3.7
2540;Total sales;28 Manufacture of fabricated metal produ;2006 June;11164;116.0;0.1;3.9;11164;116.0;0.1;3.9
2541;Total sales;28 Manufacture of fabricated metal produ;2006 July;11164;117.0;1.5;5.7;11164;117.0;1.5;5.7
2542;Total sales;28 Manufacture of fabricated metal produ;2006 August;11164;118.0;0.3;5.7;11164;118.0;0.3;5.7
2543;Total sales;28 Manufacture of fabricated metal produ;2006 September;11164;118.0;0.1;5.3;11164;118.0;0.1;5.3
2544;Total sales;28 Manufacture of fabricated metal produ;2006 October;11164;119.0;0.9;5.4;11164;119.0;0.9;5.4
2545;Total sales;28 Manufacture of fabricated metal produ;2006 November;11164;119.0;-0.1;5.5;11164;119.0;-0.1;5.5
2546;Total sales;28 Manufacture of fabricated metal produ;2006 December;11164;118.0;-0.2;5.3;11164;118.0;-0.2;5.3
2547;Total sales;28 Manufacture of fabricated metal produ;2006;11164;116.0;;4.3;11164;116.0;;4.3
2548;Total sales;28 Manufacture of fabricated metal produ;2007 January;11164;120.0;1.6;5.9;11164;120.0;1.6;5.9
2549;Total sales;28 Manufacture of fabricated metal produ;2007 February;11164;121.0;0.1;5.9;11164;121.0;0.1;5.9
2550;Total sales;28 Manufacture of fabricated metal produ;2007 March;11164;121.0;0.4;6.0;11164;121.0;0.4;6.0
2551;Total sales;28 Manufacture of fabricated metal produ;2007 April;11164;122.0;1.2;6.2;11164;122.0;1.2;6.2
2552;Total sales;28 Manufacture of fabricated metal produ;2007 May;11164;123.0;0.3;6.4;11164;123.0;0.3;6.4
2553;Total sales;28 Manufacture of fabricated metal produ;2007 June;11164;123.0;0.0;6.2;11164;123.0;0.0;6.2
2554;Total sales;28 Manufacture of fabricated metal produ;2007 July;11164;123.0;0.2;4.9;11164;123.0;0.2;4.9
2555;Total sales;28 Manufacture of fabricated metal produ;2007 August;11164;123.0;-0.1;4.4;11164;123.0;-0.1;4.4
2556;Total sales;28 Manufacture of fabricated metal produ;2007 September;11164;123.0;-0.3;4.1;11164;123.0;-0.3;4.1
2557;Total sales;28 Manufacture of fabricated metal produ;2007 October;11164;123.0;0.3;3.5;11164;123.0;0.3;3.5
2558;Total sales;28 Manufacture of fabricated metal produ;2007 November;11164;123.0;-0.1;3.5;11164;123.0;-0.1;3.5
2559;Total sales;28 Manufacture of fabricated metal produ;2007 December;11164;123.0;-0.1;3.6;11164;123.0;-0.1;3.6
2560;Total sales;28 Manufacture of fabricated metal produ;2007;11164;122.0;;5.0;11164;122.0;;5.0
2561;Total sales;28 Manufacture of fabricated metal produ;2008 January;11164;125.0;1.5;3.4;11164;125.0;1.5;3.4
2562;Total sales;28 Manufacture of fabricated metal produ;2008 February;11164;125.0;0.2;3.5;11164;125.0;0.2;3.5
2563;Total sales;28 Manufacture of fabricated metal produ;2008 March;11164;125.0;0.2;3.4;11164;125.0;0.2;3.4
2564;Total sales;28 Manufacture of fabricated metal produ;2008 April;11164;127.0;1.5;3.7;11164;127.0;1.5;3.7
2565;Total sales;28 Manufacture of fabricated metal produ;2008 May;11164;128.0;0.5;3.9;11164;128.0;0.5;3.9
2566;Total sales;28 Manufacture of fabricated metal produ;2008 June;11164;128.0;0.6;4.5;11164;128.0;0.6;4.5
2567;Total sales;28 Manufacture of fabricated metal produ;2008 July;11164;131.0;2.1;6.4;11164;131.0;2.1;6.4
2568;Total sales;28 Manufacture of fabricated metal produ;2008 August;11164;131.0;0.2;6.8;11164;131.0;0.2;6.8
2569;Total sales;28 Manufacture of fabricated metal produ;2008 September;11164;130.0;-0.8;6.2;11164;130.0;-0.8;6.2
2570;Total sales;28 Manufacture of fabricated metal produ;2008 October;11164;129.0;-0.6;5.2;11164;129.0;-0.6;5.2
2571;Total sales;28 Manufacture of fabricated metal produ;2008 November;11164;129.0;-0.6;4.8;11164;129.0;-0.6;4.8
2572;Total sales;28 Manufacture of fabricated metal produ;2008 December;11164;128.0;-0.3;4.5;11164;128.0;-0.3;4.5
2573;Total sales;28 Manufacture of fabricated metal produ;2008;11164;128.0;;4.7;11164;128.0;;4.7
2574;Total sales;DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2000 January;10711;99.0;;;10711;99.0;;
2575;Total sales;DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2000 February;10711;99.0;0.1;;10711;99.0;0.1;
2576;Total sales;DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2000 March;10711;99.0;0.1;;10711;99.0;0.1;
2577;Total sales;DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2000 April;10711;100.0;0.2;;10711;100.0;0.2;
2578;Total sales;DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2000 May;10711;100.0;0.1;;10711;100.0;0.1;
2579;Total sales;DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2000 June;10711;100.0;-0.1;;10711;100.0;-0.1;
2580;Total sales;DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2000 July;10711;100.0;0.5;;10711;100.0;0.5;
2581;Total sales;DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2000 August;10711;100.0;0.1;;10711;100.0;0.1;
2582;Total sales;DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2000 September;10711;100.0;0.1;;10711;100.0;0.1;
2583;Total sales;DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2000 October;10711;101.0;0.4;;10711;101.0;0.4;
2584;Total sales;DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2000 November;10711;101.0;0.0;;10711;101.0;0.0;
2585;Total sales;DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2000 December;10711;101.0;-0.1;;10711;101.0;-0.1;
2586;Total sales;DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2000;10711;100.0;;;10711;100.0;;
2587;Total sales;DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2001 January;10711;102.0;1.2;2.5;10711;102.0;1.2;2.5
2588;Total sales;DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2001 February;10711;102.0;0.0;2.5;10711;102.0;0.0;2.5
2589;Total sales;DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2001 March;10711;102.0;0.0;2.5;10711;102.0;0.0;2.5
2590;Total sales;DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2001 April;10711;102.0;0.2;2.5;10711;102.0;0.2;2.5
2591;Total sales;DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2001 May;10711;102.0;0.1;2.5;10711;102.0;0.1;2.5
2592;Total sales;DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2001 June;10711;102.0;0.1;2.6;10711;102.0;0.1;2.6
2593;Total sales;DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2001 July;10711;102.0;0.2;2.3;10711;102.0;0.2;2.3
2594;Total sales;DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2001 August;10711;102.0;-0.1;2.2;10711;102.0;-0.1;2.2
2595;Total sales;DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2001 September;10711;102.0;0.0;2.0;10711;102.0;0.0;2.0
2596;Total sales;DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2001 October;10711;102.0;0.1;1.7;10711;102.0;0.1;1.7
2597;Total sales;DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2001 November;10711;103.0;0.1;1.8;10711;103.0;0.1;1.8
2598;Total sales;DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2001 December;10711;102.0;0.0;1.8;10711;102.0;0.0;1.8
2599;Total sales;DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2001;10711;102.0;;2.2;10711;102.0;;2.2
2600;Total sales;DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2002 January;10711;103.0;0.8;1.4;10711;103.0;0.8;1.4
2601;Total sales;DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2002 February;10711;103.0;0.1;1.5;10711;103.0;0.1;1.5
2602;Total sales;DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2002 March;10711;103.0;0.0;1.5;10711;103.0;0.0;1.5
2603;Total sales;DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2002 April;10711;104.0;0.2;1.4;10711;104.0;0.2;1.4
2604;Total sales;DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2002 May;10711;104.0;-0.1;1.3;10711;104.0;-0.1;1.3
2605;Total sales;DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2002 June;10711;103.0;-0.1;1.1;10711;103.0;-0.1;1.1
2606;Total sales;DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2002 July;10711;104.0;0.1;1.1;10711;104.0;0.1;1.1
2607;Total sales;DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2002 August;10711;104.0;0.1;1.3;10711;104.0;0.1;1.3
2608;Total sales;DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2002 September;10711;104.0;0.0;1.3;10711;104.0;0.0;1.3
2609;Total sales;DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2002 October;10711;104.0;0.2;1.4;10711;104.0;0.2;1.4
2610;Total sales;DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2002 November;10711;104.0;-0.1;1.2;10711;104.0;-0.1;1.2
2611;Total sales;DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2002 December;10711;104.0;0.1;1.4;10711;104.0;0.1;1.4
2612;Total sales;DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2002;10711;104.0;;1.3;10711;104.0;;1.3
2613;Total sales;DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2003 January;10711;105.0;0.6;1.2;10711;105.0;0.6;1.2
2614;Total sales;DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2003 February;10711;105.0;0.0;1.1;10711;105.0;0.0;1.1
2615;Total sales;DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2003 March;10711;105.0;0.0;1.1;10711;105.0;0.0;1.1
2616;Total sales;DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2003 April;10711;105.0;0.1;1.0;10711;105.0;0.1;1.0
2617;Total sales;DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2003 May;10711;105.0;-0.1;1.0;10711;105.0;-0.1;1.0
2618;Total sales;DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2003 June;10711;105.0;0.0;1.0;10711;105.0;0.0;1.0
