ID;EducationLevel;FieldsOfEducation;CaribbeanNetherlands;Periods;MBOstudents_1
3745;MBO level 3;Domain Economy and administration.;St Eustatius;2010/'11;
3746;MBO level 3;Domain Economy and administration.;St Eustatius;2011/'12;
3747;MBO level 3;Domain Economy and administration.;St Eustatius;2012/'13;
3748;MBO level 3;Domain Economy and administration.;St Eustatius;2013/'14;
3749;MBO level 3;Domain Economy and administration.;St Eustatius;2014/'15;
3750;MBO level 3;Domain Economy and administration.;St Eustatius;2015/'16;
3751;MBO level 3;Domain Economy and administration.;St Eustatius;2016/'17;
3752;MBO level 3;Domain Economy and administration.;St Eustatius;2017/'18;
3753;MBO level 3;Domain Economy and administration.;St Eustatius;2018/'19;
3754;MBO level 3;Domain Economy and administration.;St Eustatius;2019/'20;
3755;MBO level 3;Domain Economy and administration.;St Eustatius;2020/'21;
3756;MBO level 3;Domain Economy and administration.;St Eustatius;2021/'22;
3757;MBO level 3;Domain Economy and administration.;St Eustatius;2022/'23;
3758;MBO level 3;Domain Economy and administration.;St Eustatius;2023/'24;
3759;MBO level 3;Domain Economy and administration.;St Eustatius;2024/'25;
3760;MBO level 3;Domain Economy and administration.;Saba;2009/'10;
3761;MBO level 3;Domain Economy and administration.;Saba;2010/'11;
3762;MBO level 3;Domain Economy and administration.;Saba;2011/'12;
3763;MBO level 3;Domain Economy and administration.;Saba;2012/'13;
3764;MBO level 3;Domain Economy and administration.;Saba;2013/'14;
3765;MBO level 3;Domain Economy and administration.;Saba;2014/'15;
3766;MBO level 3;Domain Economy and administration.;Saba;2015/'16;
3767;MBO level 3;Domain Economy and administration.;Saba;2016/'17;
3768;MBO level 3;Domain Economy and administration.;Saba;2017/'18;
3769;MBO level 3;Domain Economy and administration.;Saba;2018/'19;
3770;MBO level 3;Domain Economy and administration.;Saba;2019/'20;
3771;MBO level 3;Domain Economy and administration.;Saba;2020/'21;
3772;MBO level 3;Domain Economy and administration.;Saba;2021/'22;
3773;MBO level 3;Domain Economy and administration.;Saba;2022/'23;
3774;MBO level 3;Domain Economy and administration.;Saba;2023/'24;
3775;MBO level 3;Domain Economy and administration.;Saba;2024/'25;
3776;MBO level 3;Domain Security and sports;Caribbean Netherlands;2009/'10;0.0
3777;MBO level 3;Domain Security and sports;Caribbean Netherlands;2010/'11;0.0
3778;MBO level 3;Domain Security and sports;Caribbean Netherlands;2011/'12;0.0
3779;MBO level 3;Domain Security and sports;Caribbean Netherlands;2012/'13;
3780;MBO level 3;Domain Security and sports;Caribbean Netherlands;2013/'14;28.0
3781;MBO level 3;Domain Security and sports;Caribbean Netherlands;2014/'15;0.0
3782;MBO level 3;Domain Security and sports;Caribbean Netherlands;2015/'16;0.0
3783;MBO level 3;Domain Security and sports;Caribbean Netherlands;2016/'17;13.0
3784;MBO level 3;Domain Security and sports;Caribbean Netherlands;2017/'18;6.0
3785;MBO level 3;Domain Security and sports;Caribbean Netherlands;2018/'19;8.0
3786;MBO level 3;Domain Security and sports;Caribbean Netherlands;2019/'20;10.0
3787;MBO level 3;Domain Security and sports;Caribbean Netherlands;2020/'21;20.0
3788;MBO level 3;Domain Security and sports;Caribbean Netherlands;2021/'22;19.0
3789;MBO level 3;Domain Security and sports;Caribbean Netherlands;2022/'23;32.0
3790;MBO level 3;Domain Security and sports;Caribbean Netherlands;2023/'24;33.0
3791;MBO level 3;Domain Security and sports;Caribbean Netherlands;2024/'25;44.0
3792;MBO level 3;Domain Security and sports;Bonaire;2009/'10;0.0
3793;MBO level 3;Domain Security and sports;Bonaire;2010/'11;0.0
3794;MBO level 3;Domain Security and sports;Bonaire;2011/'12;0.0
3795;MBO level 3;Domain Security and sports;Bonaire;2012/'13;
3796;MBO level 3;Domain Security and sports;Bonaire;2013/'14;28.0
3797;MBO level 3;Domain Security and sports;Bonaire;2014/'15;0.0
3798;MBO level 3;Domain Security and sports;Bonaire;2015/'16;0.0
3799;MBO level 3;Domain Security and sports;Bonaire;2016/'17;13.0
3800;MBO level 3;Domain Security and sports;Bonaire;2017/'18;6.0
3801;MBO level 3;Domain Security and sports;Bonaire;2018/'19;8.0
3802;MBO level 3;Domain Security and sports;Bonaire;2019/'20;10.0
3803;MBO level 3;Domain Security and sports;Bonaire;2020/'21;20.0
3804;MBO level 3;Domain Security and sports;Bonaire;2021/'22;19.0
3805;MBO level 3;Domain Security and sports;Bonaire;2022/'23;32.0
3806;MBO level 3;Domain Security and sports;Bonaire;2023/'24;33.0
3807;MBO level 3;Domain Security and sports;Bonaire;2024/'25;44.0
3808;MBO level 3;Domain Security and sports;St Eustatius;2009/'10;
3809;MBO level 3;Domain Security and sports;St Eustatius;2010/'11;
3810;MBO level 3;Domain Security and sports;St Eustatius;2011/'12;
3811;MBO level 3;Domain Security and sports;St Eustatius;2012/'13;
3812;MBO level 3;Domain Security and sports;St Eustatius;2013/'14;
3813;MBO level 3;Domain Security and sports;St Eustatius;2014/'15;
3814;MBO level 3;Domain Security and sports;St Eustatius;2015/'16;
3815;MBO level 3;Domain Security and sports;St Eustatius;2016/'17;
3816;MBO level 3;Domain Security and sports;St Eustatius;2017/'18;
3817;MBO level 3;Domain Security and sports;St Eustatius;2018/'19;
3818;MBO level 3;Domain Security and sports;St Eustatius;2019/'20;
3819;MBO level 3;Domain Security and sports;St Eustatius;2020/'21;
3820;MBO level 3;Domain Security and sports;St Eustatius;2021/'22;
3821;MBO level 3;Domain Security and sports;St Eustatius;2022/'23;
3822;MBO level 3;Domain Security and sports;St Eustatius;2023/'24;
3823;MBO level 3;Domain Security and sports;St Eustatius;2024/'25;
3824;MBO level 3;Domain Security and sports;Saba;2009/'10;
3825;MBO level 3;Domain Security and sports;Saba;2010/'11;
3826;MBO level 3;Domain Security and sports;Saba;2011/'12;
3827;MBO level 3;Domain Security and sports;Saba;2012/'13;
3828;MBO level 3;Domain Security and sports;Saba;2013/'14;
3829;MBO level 3;Domain Security and sports;Saba;2014/'15;
3830;MBO level 3;Domain Security and sports;Saba;2015/'16;
3831;MBO level 3;Domain Security and sports;Saba;2016/'17;
3832;MBO level 3;Domain Security and sports;Saba;2017/'18;
3833;MBO level 3;Domain Security and sports;Saba;2018/'19;
3834;MBO level 3;Domain Security and sports;Saba;2019/'20;
3835;MBO level 3;Domain Security and sports;Saba;2020/'21;
3836;MBO level 3;Domain Security and sports;Saba;2021/'22;
3837;MBO level 3;Domain Security and sports;Saba;2022/'23;
3838;MBO level 3;Domain Security and sports;Saba;2023/'24;
3839;MBO level 3;Domain Security and sports;Saba;2024/'25;
3840;MBO level 3;Domain Hospitality and bakery;Caribbean Netherlands;2009/'10;0.0
3841;MBO level 3;Domain Hospitality and bakery;Caribbean Netherlands;2010/'11;0.0
3842;MBO level 3;Domain Hospitality and bakery;Caribbean Netherlands;2011/'12;11.0
3843;MBO level 3;Domain Hospitality and bakery;Caribbean Netherlands;2012/'13;
3844;MBO level 3;Domain Hospitality and bakery;Caribbean Netherlands;2013/'14;22.0
3845;MBO level 3;Domain Hospitality and bakery;Caribbean Netherlands;2014/'15;1.0
3846;MBO level 3;Domain Hospitality and bakery;Caribbean Netherlands;2015/'16;0.0
3847;MBO level 3;Domain Hospitality and bakery;Caribbean Netherlands;2016/'17;0.0
3848;MBO level 3;Domain Hospitality and bakery;Caribbean Netherlands;2017/'18;0.0
3849;MBO level 3;Domain Hospitality and bakery;Caribbean Netherlands;2018/'19;0.0
3850;MBO level 3;Domain Hospitality and bakery;Caribbean Netherlands;2019/'20;0.0
3851;MBO level 3;Domain Hospitality and bakery;Caribbean Netherlands;2020/'21;0.0
3852;MBO level 3;Domain Hospitality and bakery;Caribbean Netherlands;2021/'22;0.0
3853;MBO level 3;Domain Hospitality and bakery;Caribbean Netherlands;2022/'23;0.0
3854;MBO level 3;Domain Hospitality and bakery;Caribbean Netherlands;2023/'24;12.0
3855;MBO level 3;Domain Hospitality and bakery;Caribbean Netherlands;2024/'25;17.0
3856;MBO level 3;Domain Hospitality and bakery;Bonaire;2009/'10;0.0
3857;MBO level 3;Domain Hospitality and bakery;Bonaire;2010/'11;0.0
3858;MBO level 3;Domain Hospitality and bakery;Bonaire;2011/'12;11.0
3859;MBO level 3;Domain Hospitality and bakery;Bonaire;2012/'13;
3860;MBO level 3;Domain Hospitality and bakery;Bonaire;2013/'14;22.0
3861;MBO level 3;Domain Hospitality and bakery;Bonaire;2014/'15;1.0
3862;MBO level 3;Domain Hospitality and bakery;Bonaire;2015/'16;0.0
3863;MBO level 3;Domain Hospitality and bakery;Bonaire;2016/'17;0.0
3864;MBO level 3;Domain Hospitality and bakery;Bonaire;2017/'18;0.0
3865;MBO level 3;Domain Hospitality and bakery;Bonaire;2018/'19;0.0
3866;MBO level 3;Domain Hospitality and bakery;Bonaire;2019/'20;0.0
3867;MBO level 3;Domain Hospitality and bakery;Bonaire;2020/'21;0.0
3868;MBO level 3;Domain Hospitality and bakery;Bonaire;2021/'22;0.0
3869;MBO level 3;Domain Hospitality and bakery;Bonaire;2022/'23;0.0
3870;MBO level 3;Domain Hospitality and bakery;Bonaire;2023/'24;12.0
3871;MBO level 3;Domain Hospitality and bakery;Bonaire;2024/'25;17.0
3872;MBO level 3;Domain Hospitality and bakery;St Eustatius;2009/'10;
3873;MBO level 3;Domain Hospitality and bakery;St Eustatius;2010/'11;
3874;MBO level 3;Domain Hospitality and bakery;St Eustatius;2011/'12;
3875;MBO level 3;Domain Hospitality and bakery;St Eustatius;2012/'13;
3876;MBO level 3;Domain Hospitality and bakery;St Eustatius;2013/'14;
3877;MBO level 3;Domain Hospitality and bakery;St Eustatius;2014/'15;
3878;MBO level 3;Domain Hospitality and bakery;St Eustatius;2015/'16;
3879;MBO level 3;Domain Hospitality and bakery;St Eustatius;2016/'17;
3880;MBO level 3;Domain Hospitality and bakery;St Eustatius;2017/'18;
3881;MBO level 3;Domain Hospitality and bakery;St Eustatius;2018/'19;
3882;MBO level 3;Domain Hospitality and bakery;St Eustatius;2019/'20;
3883;MBO level 3;Domain Hospitality and bakery;St Eustatius;2020/'21;
3884;MBO level 3;Domain Hospitality and bakery;St Eustatius;2021/'22;
3885;MBO level 3;Domain Hospitality and bakery;St Eustatius;2022/'23;
3886;MBO level 3;Domain Hospitality and bakery;St Eustatius;2023/'24;
3887;MBO level 3;Domain Hospitality and bakery;St Eustatius;2024/'25;
3888;MBO level 3;Domain Hospitality and bakery;Saba;2009/'10;
3889;MBO level 3;Domain Hospitality and bakery;Saba;2010/'11;
3890;MBO level 3;Domain Hospitality and bakery;Saba;2011/'12;
3891;MBO level 3;Domain Hospitality and bakery;Saba;2012/'13;
3892;MBO level 3;Domain Hospitality and bakery;Saba;2013/'14;
3893;MBO level 3;Domain Hospitality and bakery;Saba;2014/'15;
3894;MBO level 3;Domain Hospitality and bakery;Saba;2015/'16;
3895;MBO level 3;Domain Hospitality and bakery;Saba;2016/'17;
3896;MBO level 3;Domain Hospitality and bakery;Saba;2017/'18;
3897;MBO level 3;Domain Hospitality and bakery;Saba;2018/'19;
3898;MBO level 3;Domain Hospitality and bakery;Saba;2019/'20;
3899;MBO level 3;Domain Hospitality and bakery;Saba;2020/'21;
3900;MBO level 3;Domain Hospitality and bakery;Saba;2021/'22;
3901;MBO level 3;Domain Hospitality and bakery;Saba;2022/'23;
3902;MBO level 3;Domain Hospitality and bakery;Saba;2023/'24;
3903;MBO level 3;Domain Hospitality and bakery;Saba;2024/'25;
3904;MBO level 3;Domain Tourism and recreation;Caribbean Netherlands;2009/'10;0.0
3905;MBO level 3;Domain Tourism and recreation;Caribbean Netherlands;2010/'11;0.0
3906;MBO level 3;Domain Tourism and recreation;Caribbean Netherlands;2011/'12;0.0
3907;MBO level 3;Domain Tourism and recreation;Caribbean Netherlands;2012/'13;
3908;MBO level 3;Domain Tourism and recreation;Caribbean Netherlands;2013/'14;0.0
3909;MBO level 3;Domain Tourism and recreation;Caribbean Netherlands;2014/'15;13.0
3910;MBO level 3;Domain Tourism and recreation;Caribbean Netherlands;2015/'16;18.0
3911;MBO level 3;Domain Tourism and recreation;Caribbean Netherlands;2016/'17;24.0
3912;MBO level 3;Domain Tourism and recreation;Caribbean Netherlands;2017/'18;28.0
3913;MBO level 3;Domain Tourism and recreation;Caribbean Netherlands;2018/'19;27.0
3914;MBO level 3;Domain Tourism and recreation;Caribbean Netherlands;2019/'20;25.0
3915;MBO level 3;Domain Tourism and recreation;Caribbean Netherlands;2020/'21;12.0
3916;MBO level 3;Domain Tourism and recreation;Caribbean Netherlands;2021/'22;14.0
3917;MBO level 3;Domain Tourism and recreation;Caribbean Netherlands;2022/'23;21.0
3918;MBO level 3;Domain Tourism and recreation;Caribbean Netherlands;2023/'24;24.0
3919;MBO level 3;Domain Tourism and recreation;Caribbean Netherlands;2024/'25;19.0
3920;MBO level 3;Domain Tourism and recreation;Bonaire;2009/'10;0.0
3921;MBO level 3;Domain Tourism and recreation;Bonaire;2010/'11;0.0
3922;MBO level 3;Domain Tourism and recreation;Bonaire;2011/'12;0.0
3923;MBO level 3;Domain Tourism and recreation;Bonaire;2012/'13;
3924;MBO level 3;Domain Tourism and recreation;Bonaire;2013/'14;0.0
3925;MBO level 3;Domain Tourism and recreation;Bonaire;2014/'15;13.0
3926;MBO level 3;Domain Tourism and recreation;Bonaire;2015/'16;18.0
3927;MBO level 3;Domain Tourism and recreation;Bonaire;2016/'17;24.0
3928;MBO level 3;Domain Tourism and recreation;Bonaire;2017/'18;28.0
3929;MBO level 3;Domain Tourism and recreation;Bonaire;2018/'19;27.0
3930;MBO level 3;Domain Tourism and recreation;Bonaire;2019/'20;25.0
3931;MBO level 3;Domain Tourism and recreation;Bonaire;2020/'21;12.0
3932;MBO level 3;Domain Tourism and recreation;Bonaire;2021/'22;14.0
3933;MBO level 3;Domain Tourism and recreation;Bonaire;2022/'23;21.0
3934;MBO level 3;Domain Tourism and recreation;Bonaire;2023/'24;24.0
3935;MBO level 3;Domain Tourism and recreation;Bonaire;2024/'25;19.0
3936;MBO level 3;Domain Tourism and recreation;St Eustatius;2009/'10;
3937;MBO level 3;Domain Tourism and recreation;St Eustatius;2010/'11;
3938;MBO level 3;Domain Tourism and recreation;St Eustatius;2011/'12;
3939;MBO level 3;Domain Tourism and recreation;St Eustatius;2012/'13;
3940;MBO level 3;Domain Tourism and recreation;St Eustatius;2013/'14;
3941;MBO level 3;Domain Tourism and recreation;St Eustatius;2014/'15;
3942;MBO level 3;Domain Tourism and recreation;St Eustatius;2015/'16;
3943;MBO level 3;Domain Tourism and recreation;St Eustatius;2016/'17;
3944;MBO level 3;Domain Tourism and recreation;St Eustatius;2017/'18;
3945;MBO level 3;Domain Tourism and recreation;St Eustatius;2018/'19;
3946;MBO level 3;Domain Tourism and recreation;St Eustatius;2019/'20;
3947;MBO level 3;Domain Tourism and recreation;St Eustatius;2020/'21;
3948;MBO level 3;Domain Tourism and recreation;St Eustatius;2021/'22;
3949;MBO level 3;Domain Tourism and recreation;St Eustatius;2022/'23;
3950;MBO level 3;Domain Tourism and recreation;St Eustatius;2023/'24;
3951;MBO level 3;Domain Tourism and recreation;St Eustatius;2024/'25;
3952;MBO level 3;Domain Tourism and recreation;Saba;2009/'10;
3953;MBO level 3;Domain Tourism and recreation;Saba;2010/'11;
3954;MBO level 3;Domain Tourism and recreation;Saba;2011/'12;
3955;MBO level 3;Domain Tourism and recreation;Saba;2012/'13;
3956;MBO level 3;Domain Tourism and recreation;Saba;2013/'14;
3957;MBO level 3;Domain Tourism and recreation;Saba;2014/'15;
3958;MBO level 3;Domain Tourism and recreation;Saba;2015/'16;
3959;MBO level 3;Domain Tourism and recreation;Saba;2016/'17;
3960;MBO level 3;Domain Tourism and recreation;Saba;2017/'18;
3961;MBO level 3;Domain Tourism and recreation;Saba;2018/'19;
3962;MBO level 3;Domain Tourism and recreation;Saba;2019/'20;
3963;MBO level 3;Domain Tourism and recreation;Saba;2020/'21;
3964;MBO level 3;Domain Tourism and recreation;Saba;2021/'22;
3965;MBO level 3;Domain Tourism and recreation;Saba;2022/'23;
3966;MBO level 3;Domain Tourism and recreation;Saba;2023/'24;
3967;MBO level 3;Domain Tourism and recreation;Saba;2024/'25;
3968;MBO level 3;Domain Health and welfare;Caribbean Netherlands;2009/'10;0.0
3969;MBO level 3;Domain Health and welfare;Caribbean Netherlands;2010/'11;31.0
3970;MBO level 3;Domain Health and welfare;Caribbean Netherlands;2011/'12;37.0
3971;MBO level 3;Domain Health and welfare;Caribbean Netherlands;2012/'13;
3972;MBO level 3;Domain Health and welfare;Caribbean Netherlands;2013/'14;61.0
3973;MBO level 3;Domain Health and welfare;Caribbean Netherlands;2014/'15;54.0
3974;MBO level 3;Domain Health and welfare;Caribbean Netherlands;2015/'16;9.0
3975;MBO level 3;Domain Health and welfare;Caribbean Netherlands;2016/'17;38.0
3976;MBO level 3;Domain Health and welfare;Caribbean Netherlands;2017/'18;20.0
3977;MBO level 3;Domain Health and welfare;Caribbean Netherlands;2018/'19;38.0
3978;MBO level 3;Domain Health and welfare;Caribbean Netherlands;2019/'20;41.0
3979;MBO level 3;Domain Health and welfare;Caribbean Netherlands;2020/'21;86.0
3980;MBO level 3;Domain Health and welfare;Caribbean Netherlands;2021/'22;97.0
3981;MBO level 3;Domain Health and welfare;Caribbean Netherlands;2022/'23;90.0
3982;MBO level 3;Domain Health and welfare;Caribbean Netherlands;2023/'24;76.0
3983;MBO level 3;Domain Health and welfare;Caribbean Netherlands;2024/'25;99.0
3984;MBO level 3;Domain Health and welfare;Bonaire;2009/'10;0.0
3985;MBO level 3;Domain Health and welfare;Bonaire;2010/'11;31.0
3986;MBO level 3;Domain Health and welfare;Bonaire;2011/'12;37.0
3987;MBO level 3;Domain Health and welfare;Bonaire;2012/'13;
3988;MBO level 3;Domain Health and welfare;Bonaire;2013/'14;61.0
3989;MBO level 3;Domain Health and welfare;Bonaire;2014/'15;54.0
3990;MBO level 3;Domain Health and welfare;Bonaire;2015/'16;9.0
3991;MBO level 3;Domain Health and welfare;Bonaire;2016/'17;38.0
3992;MBO level 3;Domain Health and welfare;Bonaire;2017/'18;20.0
3993;MBO level 3;Domain Health and welfare;Bonaire;2018/'19;38.0
3994;MBO level 3;Domain Health and welfare;Bonaire;2019/'20;41.0
3995;MBO level 3;Domain Health and welfare;Bonaire;2020/'21;86.0
3996;MBO level 3;Domain Health and welfare;Bonaire;2021/'22;97.0
3997;MBO level 3;Domain Health and welfare;Bonaire;2022/'23;90.0
3998;MBO level 3;Domain Health and welfare;Bonaire;2023/'24;76.0
3999;MBO level 3;Domain Health and welfare;Bonaire;2024/'25;99.0
4000;MBO level 3;Domain Health and welfare;St Eustatius;2009/'10;
4001;MBO level 3;Domain Health and welfare;St Eustatius;2010/'11;
4002;MBO level 3;Domain Health and welfare;St Eustatius;2011/'12;
4003;MBO level 3;Domain Health and welfare;St Eustatius;2012/'13;
4004;MBO level 3;Domain Health and welfare;St Eustatius;2013/'14;
4005;MBO level 3;Domain Health and welfare;St Eustatius;2014/'15;
4006;MBO level 3;Domain Health and welfare;St Eustatius;2015/'16;
4007;MBO level 3;Domain Health and welfare;St Eustatius;2016/'17;
4008;MBO level 3;Domain Health and welfare;St Eustatius;2017/'18;
4009;MBO level 3;Domain Health and welfare;St Eustatius;2018/'19;
4010;MBO level 3;Domain Health and welfare;St Eustatius;2019/'20;
4011;MBO level 3;Domain Health and welfare;St Eustatius;2020/'21;
4012;MBO level 3;Domain Health and welfare;St Eustatius;2021/'22;
4013;MBO level 3;Domain Health and welfare;St Eustatius;2022/'23;
4014;MBO level 3;Domain Health and welfare;St Eustatius;2023/'24;
4015;MBO level 3;Domain Health and welfare;St Eustatius;2024/'25;
4016;MBO level 3;Domain Health and welfare;Saba;2009/'10;
4017;MBO level 3;Domain Health and welfare;Saba;2010/'11;
4018;MBO level 3;Domain Health and welfare;Saba;2011/'12;
4019;MBO level 3;Domain Health and welfare;Saba;2012/'13;
4020;MBO level 3;Domain Health and welfare;Saba;2013/'14;
4021;MBO level 3;Domain Health and welfare;Saba;2014/'15;
4022;MBO level 3;Domain Health and welfare;Saba;2015/'16;
4023;MBO level 3;Domain Health and welfare;Saba;2016/'17;
4024;MBO level 3;Domain Health and welfare;Saba;2017/'18;
4025;MBO level 3;Domain Health and welfare;Saba;2018/'19;
4026;MBO level 3;Domain Health and welfare;Saba;2019/'20;
4027;MBO level 3;Domain Health and welfare;Saba;2020/'21;
4028;MBO level 3;Domain Health and welfare;Saba;2021/'22;
4029;MBO level 3;Domain Health and welfare;Saba;2022/'23;
4030;MBO level 3;Domain Health and welfare;Saba;2023/'24;
4031;MBO level 3;Domain Health and welfare;Saba;2024/'25;
4032;MBO level 3;Domain not classified;Caribbean Netherlands;2009/'10;0.0
4033;MBO level 3;Domain not classified;Caribbean Netherlands;2010/'11;0.0
4034;MBO level 3;Domain not classified;Caribbean Netherlands;2011/'12;0.0
4035;MBO level 3;Domain not classified;Caribbean Netherlands;2012/'13;
4036;MBO level 3;Domain not classified;Caribbean Netherlands;2013/'14;0.0
4037;MBO level 3;Domain not classified;Caribbean Netherlands;2014/'15;0.0
4038;MBO level 3;Domain not classified;Caribbean Netherlands;2015/'16;0.0
4039;MBO level 3;Domain not classified;Caribbean Netherlands;2016/'17;0.0
4040;MBO level 3;Domain not classified;Caribbean Netherlands;2017/'18;0.0
4041;MBO level 3;Domain not classified;Caribbean Netherlands;2018/'19;0.0
4042;MBO level 3;Domain not classified;Caribbean Netherlands;2019/'20;0.0
4043;MBO level 3;Domain not classified;Caribbean Netherlands;2020/'21;0.0
4044;MBO level 3;Domain not classified;Caribbean Netherlands;2021/'22;0.0
4045;MBO level 3;Domain not classified;Caribbean Netherlands;2022/'23;0.0
4046;MBO level 3;Domain not classified;Caribbean Netherlands;2023/'24;0.0
4047;MBO level 3;Domain not classified;Caribbean Netherlands;2024/'25;0.0
4048;MBO level 3;Domain not classified;Bonaire;2009/'10;0.0
4049;MBO level 3;Domain not classified;Bonaire;2010/'11;0.0
4050;MBO level 3;Domain not classified;Bonaire;2011/'12;0.0
4051;MBO level 3;Domain not classified;Bonaire;2012/'13;
4052;MBO level 3;Domain not classified;Bonaire;2013/'14;0.0
4053;MBO level 3;Domain not classified;Bonaire;2014/'15;0.0
4054;MBO level 3;Domain not classified;Bonaire;2015/'16;0.0
4055;MBO level 3;Domain not classified;Bonaire;2016/'17;0.0
4056;MBO level 3;Domain not classified;Bonaire;2017/'18;0.0
4057;MBO level 3;Domain not classified;Bonaire;2018/'19;0.0
4058;MBO level 3;Domain not classified;Bonaire;2019/'20;0.0
4059;MBO level 3;Domain not classified;Bonaire;2020/'21;0.0
4060;MBO level 3;Domain not classified;Bonaire;2021/'22;0.0
4061;MBO level 3;Domain not classified;Bonaire;2022/'23;0.0
4062;MBO level 3;Domain not classified;Bonaire;2023/'24;0.0
4063;MBO level 3;Domain not classified;Bonaire;2024/'25;0.0
4064;MBO level 3;Domain not classified;St Eustatius;2009/'10;
4065;MBO level 3;Domain not classified;St Eustatius;2010/'11;
4066;MBO level 3;Domain not classified;St Eustatius;2011/'12;
4067;MBO level 3;Domain not classified;St Eustatius;2012/'13;
4068;MBO level 3;Domain not classified;St Eustatius;2013/'14;
4069;MBO level 3;Domain not classified;St Eustatius;2014/'15;
4070;MBO level 3;Domain not classified;St Eustatius;2015/'16;
4071;MBO level 3;Domain not classified;St Eustatius;2016/'17;
4072;MBO level 3;Domain not classified;St Eustatius;2017/'18;
4073;MBO level 3;Domain not classified;St Eustatius;2018/'19;
4074;MBO level 3;Domain not classified;St Eustatius;2019/'20;
4075;MBO level 3;Domain not classified;St Eustatius;2020/'21;
4076;MBO level 3;Domain not classified;St Eustatius;2021/'22;
4077;MBO level 3;Domain not classified;St Eustatius;2022/'23;
4078;MBO level 3;Domain not classified;St Eustatius;2023/'24;
4079;MBO level 3;Domain not classified;St Eustatius;2024/'25;
4080;MBO level 3;Domain not classified;Saba;2009/'10;
4081;MBO level 3;Domain not classified;Saba;2010/'11;
4082;MBO level 3;Domain not classified;Saba;2011/'12;
4083;MBO level 3;Domain not classified;Saba;2012/'13;
4084;MBO level 3;Domain not classified;Saba;2013/'14;
4085;MBO level 3;Domain not classified;Saba;2014/'15;
4086;MBO level 3;Domain not classified;Saba;2015/'16;
4087;MBO level 3;Domain not classified;Saba;2016/'17;
4088;MBO level 3;Domain not classified;Saba;2017/'18;
4089;MBO level 3;Domain not classified;Saba;2018/'19;
4090;MBO level 3;Domain not classified;Saba;2019/'20;
4091;MBO level 3;Domain not classified;Saba;2020/'21;
4092;MBO level 3;Domain not classified;Saba;2021/'22;
4093;MBO level 3;Domain not classified;Saba;2022/'23;
4094;MBO level 3;Domain not classified;Saba;2023/'24;
4095;MBO level 3;Domain not classified;Saba;2024/'25;
4096;MBO level 4;Total fields of education;Caribbean Netherlands;2009/'10;0.0
4097;MBO level 4;Total fields of education;Caribbean Netherlands;2010/'11;24.0
4098;MBO level 4;Total fields of education;Caribbean Netherlands;2011/'12;20.0
4099;MBO level 4;Total fields of education;Caribbean Netherlands;2012/'13;
4100;MBO level 4;Total fields of education;Caribbean Netherlands;2013/'14;80.0
4101;MBO level 4;Total fields of education;Caribbean Netherlands;2014/'15;175.0
4102;MBO level 4;Total fields of education;Caribbean Netherlands;2015/'16;242.0
4103;MBO level 4;Total fields of education;Caribbean Netherlands;2016/'17;91.0
4104;MBO level 4;Total fields of education;Caribbean Netherlands;2017/'18;98.0
4105;MBO level 4;Total fields of education;Caribbean Netherlands;2018/'19;84.0
4106;MBO level 4;Total fields of education;Caribbean Netherlands;2019/'20;74.0
4107;MBO level 4;Total fields of education;Caribbean Netherlands;2020/'21;126.0
4108;MBO level 4;Total fields of education;Caribbean Netherlands;2021/'22;172.0
4109;MBO level 4;Total fields of education;Caribbean Netherlands;2022/'23;166.0
4110;MBO level 4;Total fields of education;Caribbean Netherlands;2023/'24;200.0
4111;MBO level 4;Total fields of education;Caribbean Netherlands;2024/'25;208.0
4112;MBO level 4;Total fields of education;Bonaire;2009/'10;0.0
4113;MBO level 4;Total fields of education;Bonaire;2010/'11;24.0
4114;MBO level 4;Total fields of education;Bonaire;2011/'12;20.0
4115;MBO level 4;Total fields of education;Bonaire;2012/'13;
4116;MBO level 4;Total fields of education;Bonaire;2013/'14;80.0
4117;MBO level 4;Total fields of education;Bonaire;2014/'15;175.0
4118;MBO level 4;Total fields of education;Bonaire;2015/'16;242.0
4119;MBO level 4;Total fields of education;Bonaire;2016/'17;91.0
4120;MBO level 4;Total fields of education;Bonaire;2017/'18;98.0
4121;MBO level 4;Total fields of education;Bonaire;2018/'19;84.0
4122;MBO level 4;Total fields of education;Bonaire;2019/'20;74.0
4123;MBO level 4;Total fields of education;Bonaire;2020/'21;126.0
4124;MBO level 4;Total fields of education;Bonaire;2021/'22;172.0
4125;MBO level 4;Total fields of education;Bonaire;2022/'23;166.0
4126;MBO level 4;Total fields of education;Bonaire;2023/'24;200.0
4127;MBO level 4;Total fields of education;Bonaire;2024/'25;208.0
4128;MBO level 4;Total fields of education;St Eustatius;2009/'10;
4129;MBO level 4;Total fields of education;St Eustatius;2010/'11;
4130;MBO level 4;Total fields of education;St Eustatius;2011/'12;
4131;MBO level 4;Total fields of education;St Eustatius;2012/'13;
4132;MBO level 4;Total fields of education;St Eustatius;2013/'14;
4133;MBO level 4;Total fields of education;St Eustatius;2014/'15;
4134;MBO level 4;Total fields of education;St Eustatius;2015/'16;
4135;MBO level 4;Total fields of education;St Eustatius;2016/'17;
4136;MBO level 4;Total fields of education;St Eustatius;2017/'18;
4137;MBO level 4;Total fields of education;St Eustatius;2018/'19;
4138;MBO level 4;Total fields of education;St Eustatius;2019/'20;
4139;MBO level 4;Total fields of education;St Eustatius;2020/'21;
