ID;OutputPrices;SIC2008;Periods;IndexNumbers_1;YearOnYearDevelopment_2;MonthOnMonthDevelopment_3;WeightFactor_4
9244;Total output prices;106 Grain milling and starch products;1989 February;;;;0
9245;Total output prices;106 Grain milling and starch products;1989 March ;;;;0
9246;Total output prices;106 Grain milling and starch products;1989 April;;;;0
9247;Total output prices;106 Grain milling and starch products;1989 May;;;;0
9248;Total output prices;106 Grain milling and starch products;1989 June;;;;0
9249;Total output prices;106 Grain milling and starch products;1989 July;;;;0
9250;Total output prices;106 Grain milling and starch products;1989 August;;;;0
9251;Total output prices;106 Grain milling and starch products;1989 September;;;;0
9252;Total output prices;106 Grain milling and starch products;1989 October;;;;0
9253;Total output prices;106 Grain milling and starch products;1989 November;;;;0
9254;Total output prices;106 Grain milling and starch products;1989 December;;;;0
9255;Total output prices;106 Grain milling and starch products;1989;;;;0
9256;Total output prices;106 Grain milling and starch products;1990 January;;;;0
9257;Total output prices;106 Grain milling and starch products;1990 February;;;;0
9258;Total output prices;106 Grain milling and starch products;1990 March ;;;;0
9259;Total output prices;106 Grain milling and starch products;1990 April;;;;0
9260;Total output prices;106 Grain milling and starch products;1990 May;;;;0
9261;Total output prices;106 Grain milling and starch products;1990 June;;;;0
9262;Total output prices;106 Grain milling and starch products;1990 July;;;;0
9263;Total output prices;106 Grain milling and starch products;1990 August;;;;0
9264;Total output prices;106 Grain milling and starch products;1990 September;;;;0
9265;Total output prices;106 Grain milling and starch products;1990 October;;;;0
9266;Total output prices;106 Grain milling and starch products;1990 November;;;;0
9267;Total output prices;106 Grain milling and starch products;1990 December;;;;0
9268;Total output prices;106 Grain milling and starch products;1990;;;;0
9269;Total output prices;106 Grain milling and starch products;1991 January;;;;0
9270;Total output prices;106 Grain milling and starch products;1991 February;;;;0
9271;Total output prices;106 Grain milling and starch products;1991 March ;;;;0
9272;Total output prices;106 Grain milling and starch products;1991 April;;;;0
9273;Total output prices;106 Grain milling and starch products;1991 May;;;;0
9274;Total output prices;106 Grain milling and starch products;1991 June;;;;0
9275;Total output prices;106 Grain milling and starch products;1991 July;;;;0
9276;Total output prices;106 Grain milling and starch products;1991 August;;;;0
9277;Total output prices;106 Grain milling and starch products;1991 September;;;;0
9278;Total output prices;106 Grain milling and starch products;1991 October;;;;0
9279;Total output prices;106 Grain milling and starch products;1991 November;;;;0
9280;Total output prices;106 Grain milling and starch products;1991 December;;;;0
9281;Total output prices;106 Grain milling and starch products;1991;;;;0
9282;Total output prices;106 Grain milling and starch products;1992 January;;;;0
9283;Total output prices;106 Grain milling and starch products;1992 February;;;;0
9284;Total output prices;106 Grain milling and starch products;1992 March ;;;;0
9285;Total output prices;106 Grain milling and starch products;1992 April;;;;0
9286;Total output prices;106 Grain milling and starch products;1992 May;;;;0
9287;Total output prices;106 Grain milling and starch products;1992 June;;;;0
9288;Total output prices;106 Grain milling and starch products;1992 July;;;;0
9289;Total output prices;106 Grain milling and starch products;1992 August;;;;0
9290;Total output prices;106 Grain milling and starch products;1992 September;;;;0
9291;Total output prices;106 Grain milling and starch products;1992 October;;;;0
9292;Total output prices;106 Grain milling and starch products;1992 November;;;;0
9293;Total output prices;106 Grain milling and starch products;1992 December;;;;0
9294;Total output prices;106 Grain milling and starch products;1992;;;;0
9295;Total output prices;106 Grain milling and starch products;1993 January;;;;0
9296;Total output prices;106 Grain milling and starch products;1993 February;;;;0
9297;Total output prices;106 Grain milling and starch products;1993 March ;;;;0
9298;Total output prices;106 Grain milling and starch products;1993 April;;;;0
9299;Total output prices;106 Grain milling and starch products;1993 May;;;;0
9300;Total output prices;106 Grain milling and starch products;1993 June;;;;0
9301;Total output prices;106 Grain milling and starch products;1993 July;;;;0
9302;Total output prices;106 Grain milling and starch products;1993 August;;;;0
9303;Total output prices;106 Grain milling and starch products;1993 September;;;;0
9304;Total output prices;106 Grain milling and starch products;1993 October;;;;0
9305;Total output prices;106 Grain milling and starch products;1993 November;;;;0
9306;Total output prices;106 Grain milling and starch products;1993 December;;;;0
9307;Total output prices;106 Grain milling and starch products;1993;;;;0
9308;Total output prices;106 Grain milling and starch products;1994 January;;;;0
9309;Total output prices;106 Grain milling and starch products;1994 February;;;;0
9310;Total output prices;106 Grain milling and starch products;1994 March ;;;;0
9311;Total output prices;106 Grain milling and starch products;1994 April;;;;0
9312;Total output prices;106 Grain milling and starch products;1994 May;;;;0
9313;Total output prices;106 Grain milling and starch products;1994 June;;;;0
9314;Total output prices;106 Grain milling and starch products;1994 July;;;;0
9315;Total output prices;106 Grain milling and starch products;1994 August;;;;0
9316;Total output prices;106 Grain milling and starch products;1994 September;;;;0
9317;Total output prices;106 Grain milling and starch products;1994 October;;;;0
9318;Total output prices;106 Grain milling and starch products;1994 November;;;;0
9319;Total output prices;106 Grain milling and starch products;1994 December;;;;0
9320;Total output prices;106 Grain milling and starch products;1994;;;;0
9321;Total output prices;106 Grain milling and starch products;1995 January;;;;0
9322;Total output prices;106 Grain milling and starch products;1995 February;;;;0
9323;Total output prices;106 Grain milling and starch products;1995 March ;;;;0
9324;Total output prices;106 Grain milling and starch products;1995 April;;;;0
9325;Total output prices;106 Grain milling and starch products;1995 May;;;;0
9326;Total output prices;106 Grain milling and starch products;1995 June;;;;0
9327;Total output prices;106 Grain milling and starch products;1995 July;;;;0
9328;Total output prices;106 Grain milling and starch products;1995 August;;;;0
9329;Total output prices;106 Grain milling and starch products;1995 September;;;;0
9330;Total output prices;106 Grain milling and starch products;1995 October;;;;0
9331;Total output prices;106 Grain milling and starch products;1995 November;;;;0
9332;Total output prices;106 Grain milling and starch products;1995 December;;;;0
9333;Total output prices;106 Grain milling and starch products;1995;;;;0
9334;Total output prices;106 Grain milling and starch products;1996 January;;;;0
9335;Total output prices;106 Grain milling and starch products;1996 February;;;;0
9336;Total output prices;106 Grain milling and starch products;1996 March ;;;;0
9337;Total output prices;106 Grain milling and starch products;1996 April;;;;0
9338;Total output prices;106 Grain milling and starch products;1996 May;;;;0
9339;Total output prices;106 Grain milling and starch products;1996 June;;;;0
9340;Total output prices;106 Grain milling and starch products;1996 July;;;;0
9341;Total output prices;106 Grain milling and starch products;1996 August;;;;0
9342;Total output prices;106 Grain milling and starch products;1996 September;;;;0
9343;Total output prices;106 Grain milling and starch products;1996 October;;;;0
9344;Total output prices;106 Grain milling and starch products;1996 November;;;;0
9345;Total output prices;106 Grain milling and starch products;1996 December;;;;0
9346;Total output prices;106 Grain milling and starch products;1996;;;;0
9347;Total output prices;106 Grain milling and starch products;1997 January;;;;0
9348;Total output prices;106 Grain milling and starch products;1997 February;;;;0
9349;Total output prices;106 Grain milling and starch products;1997 March ;;;;0
9350;Total output prices;106 Grain milling and starch products;1997 April;;;;0
9351;Total output prices;106 Grain milling and starch products;1997 May;;;;0
9352;Total output prices;106 Grain milling and starch products;1997 June;;;;0
9353;Total output prices;106 Grain milling and starch products;1997 July;;;;0
9354;Total output prices;106 Grain milling and starch products;1997 August;;;;0
9355;Total output prices;106 Grain milling and starch products;1997 September;;;;0
9356;Total output prices;106 Grain milling and starch products;1997 October;;;;0
9357;Total output prices;106 Grain milling and starch products;1997 November;;;;0
9358;Total output prices;106 Grain milling and starch products;1997 December;;;;0
9359;Total output prices;106 Grain milling and starch products;1997;;;;0
9360;Total output prices;106 Grain milling and starch products;1998 January;;;;0
9361;Total output prices;106 Grain milling and starch products;1998 February;;;;0
9362;Total output prices;106 Grain milling and starch products;1998 March ;;;;0
9363;Total output prices;106 Grain milling and starch products;1998 April;;;;0
9364;Total output prices;106 Grain milling and starch products;1998 May;;;;0
9365;Total output prices;106 Grain milling and starch products;1998 June;;;;0
9366;Total output prices;106 Grain milling and starch products;1998 July;;;;0
9367;Total output prices;106 Grain milling and starch products;1998 August;;;;0
9368;Total output prices;106 Grain milling and starch products;1998 September;;;;0
9369;Total output prices;106 Grain milling and starch products;1998 October;;;;0
9370;Total output prices;106 Grain milling and starch products;1998 November;;;;0
9371;Total output prices;106 Grain milling and starch products;1998 December;;;;0
9372;Total output prices;106 Grain milling and starch products;1998;;;;0
9373;Total output prices;106 Grain milling and starch products;1999 January;;;;0
9374;Total output prices;106 Grain milling and starch products;1999 February;;;;0
9375;Total output prices;106 Grain milling and starch products;1999 March ;;;;0
9376;Total output prices;106 Grain milling and starch products;1999 April;;;;0
9377;Total output prices;106 Grain milling and starch products;1999 May;;;;0
9378;Total output prices;106 Grain milling and starch products;1999 June;;;;0
9379;Total output prices;106 Grain milling and starch products;1999 July;;;;0
9380;Total output prices;106 Grain milling and starch products;1999 August;;;;0
9381;Total output prices;106 Grain milling and starch products;1999 September;;;;0
9382;Total output prices;106 Grain milling and starch products;1999 October;;;;0
9383;Total output prices;106 Grain milling and starch products;1999 November;;;;0
9384;Total output prices;106 Grain milling and starch products;1999 December;;;;0
9385;Total output prices;106 Grain milling and starch products;1999;;;;0
9386;Total output prices;106 Grain milling and starch products;2000 January;;;;0
9387;Total output prices;106 Grain milling and starch products;2000 February;;;;0
9388;Total output prices;106 Grain milling and starch products;2000 March;;;;0
9389;Total output prices;106 Grain milling and starch products;2000 April;;;;0
9390;Total output prices;106 Grain milling and starch products;2000 May;;;;0
9391;Total output prices;106 Grain milling and starch products;2000 June;;;;0
9392;Total output prices;106 Grain milling and starch products;2000 July;;;;0
9393;Total output prices;106 Grain milling and starch products;2000 August;;;;0
9394;Total output prices;106 Grain milling and starch products;2000 September;;;;0
9395;Total output prices;106 Grain milling and starch products;2000 October;;;;0
9396;Total output prices;106 Grain milling and starch products;2000 November;;;;0
9397;Total output prices;106 Grain milling and starch products;2000 December;;;;0
9398;Total output prices;106 Grain milling and starch products;2000;;;;0
9399;Total output prices;106 Grain milling and starch products;2001 January;;;;0
9400;Total output prices;106 Grain milling and starch products;2001 February;;;;0
9401;Total output prices;106 Grain milling and starch products;2001 March;;;;0
9402;Total output prices;106 Grain milling and starch products;2001 April;;;;0
9403;Total output prices;106 Grain milling and starch products;2001 May;;;;0
9404;Total output prices;106 Grain milling and starch products;2001 June;;;;0
9405;Total output prices;106 Grain milling and starch products;2001 July;;;;0
9406;Total output prices;106 Grain milling and starch products;2001 August;;;;0
9407;Total output prices;106 Grain milling and starch products;2001 September;;;;0
9408;Total output prices;106 Grain milling and starch products;2001 October;;;;0
9409;Total output prices;106 Grain milling and starch products;2001 November;;;;0
9410;Total output prices;106 Grain milling and starch products;2001 December;;;;0
9411;Total output prices;106 Grain milling and starch products;2001;;;;0
9412;Total output prices;106 Grain milling and starch products;2002 January;;;;0
9413;Total output prices;106 Grain milling and starch products;2002 February;;;;0
9414;Total output prices;106 Grain milling and starch products;2002 March;;;;0
9415;Total output prices;106 Grain milling and starch products;2002 April;;;;0
9416;Total output prices;106 Grain milling and starch products;2002 May;;;;0
9417;Total output prices;106 Grain milling and starch products;2002 June;;;;0
9418;Total output prices;106 Grain milling and starch products;2002 July;;;;0
9419;Total output prices;106 Grain milling and starch products;2002 August;;;;0
9420;Total output prices;106 Grain milling and starch products;2002 September;;;;0
9421;Total output prices;106 Grain milling and starch products;2002 October;;;;0
9422;Total output prices;106 Grain milling and starch products;2002 November;;;;0
9423;Total output prices;106 Grain milling and starch products;2002 December;;;;0
9424;Total output prices;106 Grain milling and starch products;2002;;;;0
9425;Total output prices;106 Grain milling and starch products;2003 January;;;;0
9426;Total output prices;106 Grain milling and starch products;2003 February;;;;0
9427;Total output prices;106 Grain milling and starch products;2003 March;;;;0
9428;Total output prices;106 Grain milling and starch products;2003 April;;;;0
9429;Total output prices;106 Grain milling and starch products;2003 May;;;;0
9430;Total output prices;106 Grain milling and starch products;2003 June;;;;0
9431;Total output prices;106 Grain milling and starch products;2003 July;;;;0
9432;Total output prices;106 Grain milling and starch products;2003 August;;;;0
9433;Total output prices;106 Grain milling and starch products;2003 September;;;;0
9434;Total output prices;106 Grain milling and starch products;2003 October;;;;0
9435;Total output prices;106 Grain milling and starch products;2003 November;;;;0
9436;Total output prices;106 Grain milling and starch products;2003 December;;;;0
9437;Total output prices;106 Grain milling and starch products;2003;;;;0
9438;Total output prices;106 Grain milling and starch products;2004 January;;;;0
9439;Total output prices;106 Grain milling and starch products;2004 February;;;;0
9440;Total output prices;106 Grain milling and starch products;2004 March;;;;0
9441;Total output prices;106 Grain milling and starch products;2004 April;;;;0
9442;Total output prices;106 Grain milling and starch products;2004 May;;;;0
9443;Total output prices;106 Grain milling and starch products;2004 June;;;;0
9444;Total output prices;106 Grain milling and starch products;2004 July;;;;0
9445;Total output prices;106 Grain milling and starch products;2004 August;;;;0
9446;Total output prices;106 Grain milling and starch products;2004 September;;;;0
9447;Total output prices;106 Grain milling and starch products;2004 October;;;;0
9448;Total output prices;106 Grain milling and starch products;2004 November;;;;0
9449;Total output prices;106 Grain milling and starch products;2004 December;;;;0
9450;Total output prices;106 Grain milling and starch products;2004;;;;0
9451;Total output prices;106 Grain milling and starch products;2005 January;89.2;;;1399
9452;Total output prices;106 Grain milling and starch products;2005 February;88.9;;-0.4;1399
9453;Total output prices;106 Grain milling and starch products;2005 March;88.2;;-0.8;1399
9454;Total output prices;106 Grain milling and starch products;2005 April;88.2;;0.0;1399
9455;Total output prices;106 Grain milling and starch products;2005 May;88.2;;0.1;1399
9456;Total output prices;106 Grain milling and starch products;2005 June;88.3;;0.1;1399
9457;Total output prices;106 Grain milling and starch products;2005 July;87.7;;-0.7;1399
9458;Total output prices;106 Grain milling and starch products;2005 August;87.9;;0.2;1399
9459;Total output prices;106 Grain milling and starch products;2005 September;87.9;;-0.1;1399
9460;Total output prices;106 Grain milling and starch products;2005 October;87.1;;-0.8;1399
9461;Total output prices;106 Grain milling and starch products;2005 November;87.4;;0.4;1399
9462;Total output prices;106 Grain milling and starch products;2005 December;87.1;;-0.4;1399
9463;Total output prices;106 Grain milling and starch products;2005;88.0;;;1399
9464;Total output prices;106 Grain milling and starch products;2006 January;88.4;-0.9;1.5;1399
9465;Total output prices;106 Grain milling and starch products;2006 February;89.0;0.2;0.7;1399
9466;Total output prices;106 Grain milling and starch products;2006 March;88.7;0.6;-0.4;1399
9467;Total output prices;106 Grain milling and starch products;2006 April;89.3;1.3;0.7;1399
9468;Total output prices;106 Grain milling and starch products;2006 May;89.3;1.2;0.0;1399
9469;Total output prices;106 Grain milling and starch products;2006 June;89.8;1.7;0.6;1399
9470;Total output prices;106 Grain milling and starch products;2006 July;90.4;3.1;0.7;1399
9471;Total output prices;106 Grain milling and starch products;2006 August;91.0;3.5;0.6;1399
9472;Total output prices;106 Grain milling and starch products;2006 September;90.8;3.3;-0.3;1399
9473;Total output prices;106 Grain milling and starch products;2006 October;94.3;8.3;3.9;1399
9474;Total output prices;106 Grain milling and starch products;2006 November;95.7;9.5;1.5;1399
9475;Total output prices;106 Grain milling and starch products;2006 December;96.0;10.3;0.3;1399
9476;Total output prices;106 Grain milling and starch products;2006;91.1;3.5;;1399
9477;Total output prices;106 Grain milling and starch products;2007 January;97.4;10.2;1.4;1399
9478;Total output prices;106 Grain milling and starch products;2007 February;97.5;9.5;0.0;1399
9479;Total output prices;106 Grain milling and starch products;2007 March;100.6;13.4;3.2;1399
9480;Total output prices;106 Grain milling and starch products;2007 April;102.1;14.3;1.4;1399
9481;Total output prices;106 Grain milling and starch products;2007 May;103.1;15.5;1.1;1399
9482;Total output prices;106 Grain milling and starch products;2007 June;104.0;15.8;0.8;1399
9483;Total output prices;106 Grain milling and starch products;2007 July;106.4;17.6;2.3;1399
9484;Total output prices;106 Grain milling and starch products;2007 August;108.6;19.3;2.1;1399
9485;Total output prices;106 Grain milling and starch products;2007 September;111.4;22.7;2.6;1399
9486;Total output prices;106 Grain milling and starch products;2007 October;113.9;20.8;2.3;1399
9487;Total output prices;106 Grain milling and starch products;2007 November;117.1;22.3;2.8;1399
9488;Total output prices;106 Grain milling and starch products;2007 December;117.3;22.2;0.2;1399
9489;Total output prices;106 Grain milling and starch products;2007;106.6;17.1;;1399
9490;Total output prices;106 Grain milling and starch products;2008 January;122.8;26.1;4.7;1399
9491;Total output prices;106 Grain milling and starch products;2008 February;124.0;27.2;1.0;1399
9492;Total output prices;106 Grain milling and starch products;2008 March;126.0;25.2;1.6;1399
9493;Total output prices;106 Grain milling and starch products;2008 April;125.5;23.0;-0.4;1399
9494;Total output prices;106 Grain milling and starch products;2008 May;124.9;21.1;-0.5;1399
9495;Total output prices;106 Grain milling and starch products;2008 June;125.6;20.7;0.5;1399
9496;Total output prices;106 Grain milling and starch products;2008 July;125.0;17.5;-0.5;1399
9497;Total output prices;106 Grain milling and starch products;2008 August;125.5;15.6;0.4;1399
9498;Total output prices;106 Grain milling and starch products;2008 September;125.0;12.3;-0.4;1399
9499;Total output prices;106 Grain milling and starch products;2008 October;120.5;5.7;-3.6;1399
9500;Total output prices;106 Grain milling and starch products;2008 November;117.6;0.4;-2.4;1399
9501;Total output prices;106 Grain milling and starch products;2008 December;116.3;-0.9;-1.1;1399
9502;Total output prices;106 Grain milling and starch products;2008;123.2;15.6;;1399
9503;Total output prices;106 Grain milling and starch products;2009 January;114.8;-6.5;-1.3;1399
9504;Total output prices;106 Grain milling and starch products;2009 February;113.2;-8.7;-1.4;1399
9505;Total output prices;106 Grain milling and starch products;2009 March;113.5;-9.9;0.3;1399
9506;Total output prices;106 Grain milling and starch products;2009 April;110.5;-12.0;-2.7;1399
9507;Total output prices;106 Grain milling and starch products;2009 May;111.1;-11.0;0.6;1399
9508;Total output prices;106 Grain milling and starch products;2009 June;110.9;-11.6;-0.2;1399
9509;Total output prices;106 Grain milling and starch products;2009 July;108.4;-13.3;-2.3;1399
9510;Total output prices;106 Grain milling and starch products;2009 August;107.9;-14.0;-0.4;1399
9511;Total output prices;106 Grain milling and starch products;2009 September;106.1;-15.2;-1.7;1399
9512;Total output prices;106 Grain milling and starch products;2009 October;100.4;-16.7;-5.4;1399
9513;Total output prices;106 Grain milling and starch products;2009 November;99.8;-15.2;-0.6;1399
9514;Total output prices;106 Grain milling and starch products;2009 December;99.2;-14.7;-0.5;1399
9515;Total output prices;106 Grain milling and starch products;2009;108.0;-12.4;;1399
9516;Total output prices;106 Grain milling and starch products;2010 January;97.5;-15.1;-1.7;1399
9517;Total output prices;106 Grain milling and starch products;2010 February;97.4;-14.0;-0.1;1399
9518;Total output prices;106 Grain milling and starch products;2010 March;97.3;-14.3;-0.2;1399
9519;Total output prices;106 Grain milling and starch products;2010 April;96.7;-12.4;-0.5;1399
9520;Total output prices;106 Grain milling and starch products;2010 May;96.7;-13.0;0.0;1399
9521;Total output prices;106 Grain milling and starch products;2010 June;96.8;-12.7;0.1;1399
9522;Total output prices;106 Grain milling and starch products;2010 July;97.3;-10.2;0.5;1399
9523;Total output prices;106 Grain milling and starch products;2010 August;97.9;-9.3;0.6;1399
9524;Total output prices;106 Grain milling and starch products;2010 September;100.5;-5.2;2.7;1399
9525;Total output prices;106 Grain milling and starch products;2010 October;105.4;5.0;4.8;1399
9526;Total output prices;106 Grain milling and starch products;2010 November;107.5;7.7;2.0;1399
9527;Total output prices;106 Grain milling and starch products;2010 December;108.9;9.8;1.3;1399
9528;Total output prices;106 Grain milling and starch products;2010;100.0;-7.4;;1399
9529;Total output prices;106 Grain milling and starch products;2011 January;118.6;21.7;8.9;1399
9530;Total output prices;106 Grain milling and starch products;2011 February;120.4;23.6;1.5;1399
9531;Total output prices;106 Grain milling and starch products;2011 March;121.4;24.8;0.8;1399
9532;Total output prices;106 Grain milling and starch products;2011 April;123.9;28.0;2.1;1399
9533;Total output prices;106 Grain milling and starch products;2011 May;124.3;28.5;0.4;1399
9534;Total output prices;106 Grain milling and starch products;2011 June;124.6;28.7;0.3;1399
9535;Total output prices;106 Grain milling and starch products;2011 July;123.7;27.2;-0.7;1399
9536;Total output prices;106 Grain milling and starch products;2011 August;122.8;25.4;-0.8;1399
9537;Total output prices;106 Grain milling and starch products;2011 September;122.4;21.8;-0.3;1399
9538;Total output prices;106 Grain milling and starch products;2011 October;121.6;15.4;-0.6;1399
9539;Total output prices;106 Grain milling and starch products;2011 November;120.6;12.2;-0.8;1399
9540;Total output prices;106 Grain milling and starch products;2011 December;119.5;9.7;-0.9;1399
9541;Total output prices;106 Grain milling and starch products;2011;122.0;22.0;;1399
9542;Total output prices;106 Grain milling and starch products;2012 January;120.5;1.6;0.8;1399
9543;Total output prices;106 Grain milling and starch products;2012 February;119.3;-0.9;-1.0;1399
9544;Total output prices;106 Grain milling and starch products;2012 March;119.4;-1.6;0.1;1399
9545;Total output prices;106 Grain milling and starch products;2012 April;118.8;-4.1;-0.5;1399
9546;Total output prices;106 Grain milling and starch products;2012 May;118.6;-4.6;-0.1;1399
9547;Total output prices;106 Grain milling and starch products;2012 June;118.8;-4.7;0.1;1399
9548;Total output prices;106 Grain milling and starch products;2012 July;117.8;-4.8;-0.8;1399
9549;Total output prices;106 Grain milling and starch products;2012 August;117.7;-4.2;-0.1;1399
9550;Total output prices;106 Grain milling and starch products;2012 September;117.9;-3.6;0.2;1399
9551;Total output prices;106 Grain milling and starch products;2012 October;120.3;-1.1;2.0;1399
9552;Total output prices;106 Grain milling and starch products;2012 November;121.0;0.3;0.6;1399
9553;Total output prices;106 Grain milling and starch products;2012 December;120.9;1.2;-0.1;1399
9554;Total output prices;106 Grain milling and starch products;2012;119.3;-2.2;;1399
9555;Total output prices;106 Grain milling and starch products;2013 January;122.6;1.7;1.4;1399
9556;Total output prices;106 Grain milling and starch products;2013 February;122.8;2.9;0.2;1399
9557;Total output prices;106 Grain milling and starch products;2013 March;122.7;2.7;-0.1;1399
9558;Total output prices;106 Grain milling and starch products;2013 April;122.0;2.7;-0.6;1399
9559;Total output prices;106 Grain milling and starch products;2013 May;122.1;3.0;0.2;1399
9560;Total output prices;106 Grain milling and starch products;2013 June;121.9;2.7;-0.2;1399
9561;Total output prices;106 Grain milling and starch products;2013 July;121.0;2.7;-0.8;1399
9562;Total output prices;106 Grain milling and starch products;2013 August;120.5;2.4;-0.4;1399
9563;Total output prices;106 Grain milling and starch products;2013 September;119.1;1.0;-1.1;1399
9564;Total output prices;106 Grain milling and starch products;2013 October;118.4;-1.6;-0.7;1399
9565;Total output prices;106 Grain milling and starch products;2013 November;117.9;-2.6;-0.4;1399
9566;Total output prices;106 Grain milling and starch products;2013 December;118.2;-2.3;0.3;1399
9567;Total output prices;106 Grain milling and starch products;2013;120.8;1.3;;1399
9568;Total output prices;106 Grain milling and starch products;2014 January;117.4;-4.2;-0.7;1399
9569;Total output prices;106 Grain milling and starch products;2014 February;118.8;-3.2;1.2;1399
9570;Total output prices;106 Grain milling and starch products;2014 March;118.3;-3.6;-0.5;1399
9571;Total output prices;106 Grain milling and starch products;2014 April;118.0;-3.2;-0.2;1399
9572;Total output prices;106 Grain milling and starch products;2014 May;118.4;-3.1;0.3;1399
9573;Total output prices;106 Grain milling and starch products;2014 June;117.2;-3.9;-1.0;1399
9574;Total output prices;106 Grain milling and starch products;2014 July;118.3;-2.2;0.9;1399
9575;Total output prices;106 Grain milling and starch products;2014 August;117.5;-2.5;-0.7;1399
9576;Total output prices;106 Grain milling and starch products;2014 September;117.9;-1.1;0.3;1399
9577;Total output prices;106 Grain milling and starch products;2014 October;117.5;-0.7;-0.3;1399
9578;Total output prices;106 Grain milling and starch products;2014 November;115.6;-1.9;-1.7;1399
9579;Total output prices;106 Grain milling and starch products;2014 December;115.4;-2.4;-0.2;1399
9580;Total output prices;106 Grain milling and starch products;2014;117.5;-2.7;;1399
9581;Total output prices;106 Grain milling and starch products;2015 January;113.6;-3.2;-1.5;1399
9582;Total output prices;106 Grain milling and starch products;2015 February;113.3;-4.7;-0.3;1399
9583;Total output prices;106 Grain milling and starch products;2015 March;112.9;-4.5;-0.3;1399
9584;Total output prices;106 Grain milling and starch products;2015 April;111.7;-5.3;-1.1;1399
9585;Total output prices;106 Grain milling and starch products;2015 May;111.7;-5.7;0.0;1399
9586;Total output prices;106 Grain milling and starch products;2015 June;111.7;-4.7;0.0;1399
9587;Total output prices;106 Grain milling and starch products;2015 July;113.1;-4.4;1.3;1399
9588;Total output prices;106 Grain milling and starch products;2015 August;112.9;-3.9;-0.2;1399
9589;Total output prices;106 Grain milling and starch products;2015 September;112.8;-4.3;-0.1;1399
9590;Total output prices;106 Grain milling and starch products;2015 October;113.2;-3.7;0.3;1399
9591;Total output prices;106 Grain milling and starch products;2015 November;114.0;-1.4;0.7;1399
9592;Total output prices;106 Grain milling and starch products;2015 December;114.5;-0.8;0.4;1399
9593;Total output prices;106 Grain milling and starch products;2015;113.0;-3.9;;1399
9594;Total output prices;106 Grain milling and starch products;2016 January;114.6;0.9;0.1;1399
9595;Total output prices;106 Grain milling and starch products;2016 February;114.8;1.4;0.2;1399
9596;Total output prices;106 Grain milling and starch products;2016 March;114.4;1.3;-0.4;1399
9597;Total output prices;106 Grain milling and starch products;2016 April;112.5;0.7;-1.7;1399
9598;Total output prices;106 Grain milling and starch products;2016 May;112.6;0.8;0.1;1399
9599;Total output prices;106 Grain milling and starch products;2016 June;111.9;0.2;-0.6;1399
9600;Total output prices;106 Grain milling and starch products;2016 July;112.7;-0.4;0.7;1399
9601;Total output prices;106 Grain milling and starch products;2016 August;112.6;-0.3;-0.1;1399
9602;Total output prices;106 Grain milling and starch products;2016 September;113.0;0.2;0.4;1399
9603;Total output prices;106 Grain milling and starch products;2016 October;113.5;0.3;0.5;1399
9604;Total output prices;106 Grain milling and starch products;2016 November;113.6;-0.3;0.1;1399
9605;Total output prices;106 Grain milling and starch products;2016 December;113.4;-1.0;-0.2;1399
9606;Total output prices;106 Grain milling and starch products;2016;113.3;0.3;;1399
9607;Total output prices;106 Grain milling and starch products;2017 January;114.3;-0.3;0.8;1399
9608;Total output prices;106 Grain milling and starch products;2017 February;114.7;-0.1;0.3;1399
9609;Total output prices;106 Grain milling and starch products;2017 March;115.1;0.6;0.4;1399
9610;Total output prices;106 Grain milling and starch products;2017 April;115.5;2.7;0.4;1399
9611;Total output prices;106 Grain milling and starch products;2017 May;115.4;2.5;-0.1;1399
9612;Total output prices;106 Grain milling and starch products;2017 June;115.9;3.5;0.4;1399
9613;Total output prices;106 Grain milling and starch products;2017 July;115.7;2.6;-0.2;1399
9614;Total output prices;106 Grain milling and starch products;2017 August;115.5;2.6;-0.1;1399
9615;Total output prices;106 Grain milling and starch products;2017 September;115.9;2.6;0.3;1399
9616;Total output prices;106 Grain milling and starch products;2017 October;115.0;1.3;-0.8;1399
9617;Total output prices;106 Grain milling and starch products;2017 November;115.7;1.9;0.6;1399
9618;Total output prices;106 Grain milling and starch products;2017 December;115.2;1.5;-0.5;1399
9619;Total output prices;106 Grain milling and starch products;2017;115.3;1.8;;1399
9620;Total output prices;1061 Manufacture of grain mill products;1981 January;;;;0
9621;Total output prices;1061 Manufacture of grain mill products;1981 February;;;;0
9622;Total output prices;1061 Manufacture of grain mill products;1981 March ;;;;0
9623;Total output prices;1061 Manufacture of grain mill products;1981 April;;;;0
9624;Total output prices;1061 Manufacture of grain mill products;1981 May;;;;0
9625;Total output prices;1061 Manufacture of grain mill products;1981 June;;;;0
9626;Total output prices;1061 Manufacture of grain mill products;1981 July;;;;0
9627;Total output prices;1061 Manufacture of grain mill products;1981 August;;;;0
9628;Total output prices;1061 Manufacture of grain mill products;1981 September;;;;0
9629;Total output prices;1061 Manufacture of grain mill products;1981 October;;;;0
9630;Total output prices;1061 Manufacture of grain mill products;1981 November;;;;0
9631;Total output prices;1061 Manufacture of grain mill products;1981 December;;;;0
9632;Total output prices;1061 Manufacture of grain mill products;1981;;;;0
9633;Total output prices;1061 Manufacture of grain mill products;1982 January;;;;0
9634;Total output prices;1061 Manufacture of grain mill products;1982 February;;;;0
9635;Total output prices;1061 Manufacture of grain mill products;1982 March ;;;;0
