ID;ProvincialLevies;Regions;Periods;ProvincialLeviesInMillionOfEuros_1
514;Total provincial levies;Limburg (PV);2013;99.4
515;Total provincial levies;Limburg (PV);2014;98.2
516;Total provincial levies;Limburg (PV);2015;101.1
517;Total provincial levies;Limburg (PV);2016;102.1
518;Total provincial levies;Limburg (PV);2017;107.5
519;Total provincial levies;Limburg (PV);2018;107.5
520;Total provincial levies;Limburg (PV);2019;109.4
521;Total provincial levies;Limburg (PV);2020;110.9
522;Total provincial levies;Limburg (PV);2021;112.0
523;Total provincial levies;Limburg (PV);2022;112.5
524;Total provincial levies;Limburg (PV);2023;117.7
525;Total provincial levies;Limburg (PV);2024;123.1
526;Total provincial levies;Limburg (PV);2025;130.9
527;Surcharge motor vehicle tax;The Netherlands;1995;146.4
528;Surcharge motor vehicle tax;The Netherlands;1996;203.9
529;Surcharge motor vehicle tax;The Netherlands;1997;512.7
530;Surcharge motor vehicle tax;The Netherlands;1998;577.8
531;Surcharge motor vehicle tax;The Netherlands;1999;601.6
532;Surcharge motor vehicle tax;The Netherlands;2000;657.7
533;Surcharge motor vehicle tax;The Netherlands;2001;715.1
534;Surcharge motor vehicle tax;The Netherlands;2002;773.2
535;Surcharge motor vehicle tax;The Netherlands;2003;845.5
536;Surcharge motor vehicle tax;The Netherlands;2004;945.9
537;Surcharge motor vehicle tax;The Netherlands;2005;1026.5
538;Surcharge motor vehicle tax;The Netherlands;2006;1094.0
539;Surcharge motor vehicle tax;The Netherlands;2007;1173.7
540;Surcharge motor vehicle tax;The Netherlands;2008;1289.6
541;Surcharge motor vehicle tax;The Netherlands;2009;1376.2
542;Surcharge motor vehicle tax;The Netherlands;2010;1414.7
543;Surcharge motor vehicle tax;The Netherlands;2011;1441.0
544;Surcharge motor vehicle tax;The Netherlands;2012;1456.0
545;Surcharge motor vehicle tax;The Netherlands;2013;1450.7
546;Surcharge motor vehicle tax;The Netherlands;2014;1518.8
547;Surcharge motor vehicle tax;The Netherlands;2015;1536.3
548;Surcharge motor vehicle tax;The Netherlands;2016;1532.1
549;Surcharge motor vehicle tax;The Netherlands;2017;1566.1
550;Surcharge motor vehicle tax;The Netherlands;2018;1603.7
551;Surcharge motor vehicle tax;The Netherlands;2019;1643.5
552;Surcharge motor vehicle tax;The Netherlands;2020;1659.5
553;Surcharge motor vehicle tax;The Netherlands;2021;1701.3
554;Surcharge motor vehicle tax;The Netherlands;2022;1735.4
555;Surcharge motor vehicle tax;The Netherlands;2023;1802.5
556;Surcharge motor vehicle tax;The Netherlands;2024;1877.5
557;Surcharge motor vehicle tax;The Netherlands;2025;1997.1
558;Surcharge motor vehicle tax;Noord-Nederland (LD);1995;14.7
559;Surcharge motor vehicle tax;Noord-Nederland (LD);1996;13.9
560;Surcharge motor vehicle tax;Noord-Nederland (LD);1997;50.3
561;Surcharge motor vehicle tax;Noord-Nederland (LD);1998;55.4
562;Surcharge motor vehicle tax;Noord-Nederland (LD);1999;57.2
563;Surcharge motor vehicle tax;Noord-Nederland (LD);2000;63.2
564;Surcharge motor vehicle tax;Noord-Nederland (LD);2001;69.6
565;Surcharge motor vehicle tax;Noord-Nederland (LD);2002;76.4
566;Surcharge motor vehicle tax;Noord-Nederland (LD);2003;87.0
567;Surcharge motor vehicle tax;Noord-Nederland (LD);2004;93.3
568;Surcharge motor vehicle tax;Noord-Nederland (LD);2005;105.5
569;Surcharge motor vehicle tax;Noord-Nederland (LD);2006;114.9
570;Surcharge motor vehicle tax;Noord-Nederland (LD);2007;122.4
571;Surcharge motor vehicle tax;Noord-Nederland (LD);2008;135.0
572;Surcharge motor vehicle tax;Noord-Nederland (LD);2009;142.7
573;Surcharge motor vehicle tax;Noord-Nederland (LD);2010;144.9
574;Surcharge motor vehicle tax;Noord-Nederland (LD);2011;152.0
575;Surcharge motor vehicle tax;Noord-Nederland (LD);2012;158.8
576;Surcharge motor vehicle tax;Noord-Nederland (LD);2013;159.2
577;Surcharge motor vehicle tax;Noord-Nederland (LD);2014;167.2
578;Surcharge motor vehicle tax;Noord-Nederland (LD);2015;173.8
579;Surcharge motor vehicle tax;Noord-Nederland (LD);2016;158.7
580;Surcharge motor vehicle tax;Noord-Nederland (LD);2017;161.4
581;Surcharge motor vehicle tax;Noord-Nederland (LD);2018;166.0
582;Surcharge motor vehicle tax;Noord-Nederland (LD);2019;169.3
583;Surcharge motor vehicle tax;Noord-Nederland (LD);2020;186.7
584;Surcharge motor vehicle tax;Noord-Nederland (LD);2021;190.3
585;Surcharge motor vehicle tax;Noord-Nederland (LD);2022;194.5
586;Surcharge motor vehicle tax;Noord-Nederland (LD);2023;199.0
587;Surcharge motor vehicle tax;Noord-Nederland (LD);2024;200.9
588;Surcharge motor vehicle tax;Noord-Nederland (LD);2025;206.4
589;Surcharge motor vehicle tax;Oost-Nederland (LD);1995;26.7
590;Surcharge motor vehicle tax;Oost-Nederland (LD);1996;27.2
591;Surcharge motor vehicle tax;Oost-Nederland (LD);1997;102.8
592;Surcharge motor vehicle tax;Oost-Nederland (LD);1998;120.6
593;Surcharge motor vehicle tax;Oost-Nederland (LD);1999;127.9
594;Surcharge motor vehicle tax;Oost-Nederland (LD);2000;142.3
595;Surcharge motor vehicle tax;Oost-Nederland (LD);2001;159.9
596;Surcharge motor vehicle tax;Oost-Nederland (LD);2002;174.0
597;Surcharge motor vehicle tax;Oost-Nederland (LD);2003;191.3
598;Surcharge motor vehicle tax;Oost-Nederland (LD);2004;203.9
599;Surcharge motor vehicle tax;Oost-Nederland (LD);2005;235.1
600;Surcharge motor vehicle tax;Oost-Nederland (LD);2006;259.8
601;Surcharge motor vehicle tax;Oost-Nederland (LD);2007;274.7
602;Surcharge motor vehicle tax;Oost-Nederland (LD);2008;293.3
603;Surcharge motor vehicle tax;Oost-Nederland (LD);2009;306.1
604;Surcharge motor vehicle tax;Oost-Nederland (LD);2010;316.8
605;Surcharge motor vehicle tax;Oost-Nederland (LD);2011;323.8
606;Surcharge motor vehicle tax;Oost-Nederland (LD);2012;326.3
607;Surcharge motor vehicle tax;Oost-Nederland (LD);2013;328.5
608;Surcharge motor vehicle tax;Oost-Nederland (LD);2014;347.1
609;Surcharge motor vehicle tax;Oost-Nederland (LD);2015;352.8
610;Surcharge motor vehicle tax;Oost-Nederland (LD);2016;355.1
611;Surcharge motor vehicle tax;Oost-Nederland (LD);2017;369.6
612;Surcharge motor vehicle tax;Oost-Nederland (LD);2018;389.5
613;Surcharge motor vehicle tax;Oost-Nederland (LD);2019;401.7
614;Surcharge motor vehicle tax;Oost-Nederland (LD);2020;389.4
615;Surcharge motor vehicle tax;Oost-Nederland (LD);2021;397.6
616;Surcharge motor vehicle tax;Oost-Nederland (LD);2022;399.2
617;Surcharge motor vehicle tax;Oost-Nederland (LD);2023;409.0
618;Surcharge motor vehicle tax;Oost-Nederland (LD);2024;415.7
619;Surcharge motor vehicle tax;Oost-Nederland (LD);2025;443.8
620;Surcharge motor vehicle tax;West-Nederland (LD);1995;71.4
621;Surcharge motor vehicle tax;West-Nederland (LD);1996;127.4
622;Surcharge motor vehicle tax;West-Nederland (LD);1997;237.4
623;Surcharge motor vehicle tax;West-Nederland (LD);1998;265.2
624;Surcharge motor vehicle tax;West-Nederland (LD);1999;273.1
625;Surcharge motor vehicle tax;West-Nederland (LD);2000;295.2
626;Surcharge motor vehicle tax;West-Nederland (LD);2001;316.3
627;Surcharge motor vehicle tax;West-Nederland (LD);2002;333.8
628;Surcharge motor vehicle tax;West-Nederland (LD);2003;355.0
629;Surcharge motor vehicle tax;West-Nederland (LD);2004;416.4
630;Surcharge motor vehicle tax;West-Nederland (LD);2005;443.0
631;Surcharge motor vehicle tax;West-Nederland (LD);2006;461.6
632;Surcharge motor vehicle tax;West-Nederland (LD);2007;502.2
633;Surcharge motor vehicle tax;West-Nederland (LD);2008;573.9
634;Surcharge motor vehicle tax;West-Nederland (LD);2009;625.8
635;Surcharge motor vehicle tax;West-Nederland (LD);2010;641.6
636;Surcharge motor vehicle tax;West-Nederland (LD);2011;651.3
637;Surcharge motor vehicle tax;West-Nederland (LD);2012;658.2
638;Surcharge motor vehicle tax;West-Nederland (LD);2013;632.2
639;Surcharge motor vehicle tax;West-Nederland (LD);2014;663.3
640;Surcharge motor vehicle tax;West-Nederland (LD);2015;663.5
641;Surcharge motor vehicle tax;West-Nederland (LD);2016;665.2
642;Surcharge motor vehicle tax;West-Nederland (LD);2017;676.1
643;Surcharge motor vehicle tax;West-Nederland (LD);2018;693.6
644;Surcharge motor vehicle tax;West-Nederland (LD);2019;708.6
645;Surcharge motor vehicle tax;West-Nederland (LD);2020;718.1
646;Surcharge motor vehicle tax;West-Nederland (LD);2021;736.5
647;Surcharge motor vehicle tax;West-Nederland (LD);2022;757.3
648;Surcharge motor vehicle tax;West-Nederland (LD);2023;796.6
649;Surcharge motor vehicle tax;West-Nederland (LD);2024;852.5
650;Surcharge motor vehicle tax;West-Nederland (LD);2025;915.0
651;Surcharge motor vehicle tax;Zuid-Nederland (LD);1995;33.6
652;Surcharge motor vehicle tax;Zuid-Nederland (LD);1996;35.1
653;Surcharge motor vehicle tax;Zuid-Nederland (LD);1997;122.0
654;Surcharge motor vehicle tax;Zuid-Nederland (LD);1998;136.8
655;Surcharge motor vehicle tax;Zuid-Nederland (LD);1999;143.3
656;Surcharge motor vehicle tax;Zuid-Nederland (LD);2000;157.0
657;Surcharge motor vehicle tax;Zuid-Nederland (LD);2001;169.3
658;Surcharge motor vehicle tax;Zuid-Nederland (LD);2002;189.0
659;Surcharge motor vehicle tax;Zuid-Nederland (LD);2003;212.2
660;Surcharge motor vehicle tax;Zuid-Nederland (LD);2004;232.3
661;Surcharge motor vehicle tax;Zuid-Nederland (LD);2005;242.9
662;Surcharge motor vehicle tax;Zuid-Nederland (LD);2006;257.7
663;Surcharge motor vehicle tax;Zuid-Nederland (LD);2007;274.4
664;Surcharge motor vehicle tax;Zuid-Nederland (LD);2008;287.4
665;Surcharge motor vehicle tax;Zuid-Nederland (LD);2009;301.6
666;Surcharge motor vehicle tax;Zuid-Nederland (LD);2010;311.4
667;Surcharge motor vehicle tax;Zuid-Nederland (LD);2011;313.7
668;Surcharge motor vehicle tax;Zuid-Nederland (LD);2012;312.7
669;Surcharge motor vehicle tax;Zuid-Nederland (LD);2013;330.7
670;Surcharge motor vehicle tax;Zuid-Nederland (LD);2014;341.2
671;Surcharge motor vehicle tax;Zuid-Nederland (LD);2015;346.2
672;Surcharge motor vehicle tax;Zuid-Nederland (LD);2016;353.1
673;Surcharge motor vehicle tax;Zuid-Nederland (LD);2017;358.9
674;Surcharge motor vehicle tax;Zuid-Nederland (LD);2018;354.7
675;Surcharge motor vehicle tax;Zuid-Nederland (LD);2019;363.9
676;Surcharge motor vehicle tax;Zuid-Nederland (LD);2020;365.4
677;Surcharge motor vehicle tax;Zuid-Nederland (LD);2021;376.8
678;Surcharge motor vehicle tax;Zuid-Nederland (LD);2022;384.4
679;Surcharge motor vehicle tax;Zuid-Nederland (LD);2023;397.8
680;Surcharge motor vehicle tax;Zuid-Nederland (LD);2024;408.3
681;Surcharge motor vehicle tax;Zuid-Nederland (LD);2025;431.9
682;Surcharge motor vehicle tax;Groningen (PV);1995;4.4
683;Surcharge motor vehicle tax;Groningen (PV);1996;4.6
684;Surcharge motor vehicle tax;Groningen (PV);1997;16.8
685;Surcharge motor vehicle tax;Groningen (PV);1998;18.2
686;Surcharge motor vehicle tax;Groningen (PV);1999;18.7
687;Surcharge motor vehicle tax;Groningen (PV);2000;21.4
688;Surcharge motor vehicle tax;Groningen (PV);2001;23.9
689;Surcharge motor vehicle tax;Groningen (PV);2002;26.6
690;Surcharge motor vehicle tax;Groningen (PV);2003;29.3
691;Surcharge motor vehicle tax;Groningen (PV);2004;31.6
692;Surcharge motor vehicle tax;Groningen (PV);2005;35.9
693;Surcharge motor vehicle tax;Groningen (PV);2006;38.0
694;Surcharge motor vehicle tax;Groningen (PV);2007;40.3
695;Surcharge motor vehicle tax;Groningen (PV);2008;41.9
696;Surcharge motor vehicle tax;Groningen (PV);2009;44.3
697;Surcharge motor vehicle tax;Groningen (PV);2010;45.1
698;Surcharge motor vehicle tax;Groningen (PV);2011;47.3
699;Surcharge motor vehicle tax;Groningen (PV);2012;49.3
700;Surcharge motor vehicle tax;Groningen (PV);2013;49.4
701;Surcharge motor vehicle tax;Groningen (PV);2014;51.2
702;Surcharge motor vehicle tax;Groningen (PV);2015;52.5
703;Surcharge motor vehicle tax;Groningen (PV);2016;53.1
704;Surcharge motor vehicle tax;Groningen (PV);2017;54.2
705;Surcharge motor vehicle tax;Groningen (PV);2018;56.2
706;Surcharge motor vehicle tax;Groningen (PV);2019;56.2
707;Surcharge motor vehicle tax;Groningen (PV);2020;57.8
708;Surcharge motor vehicle tax;Groningen (PV);2021;59.6
709;Surcharge motor vehicle tax;Groningen (PV);2022;62.7
710;Surcharge motor vehicle tax;Groningen (PV);2023;64.4
711;Surcharge motor vehicle tax;Groningen (PV);2024;64.3
712;Surcharge motor vehicle tax;Groningen (PV);2025;67.5
713;Surcharge motor vehicle tax;Fryslân (PV);1995;5.7
714;Surcharge motor vehicle tax;Fryslân (PV);1996;3.8
715;Surcharge motor vehicle tax;Fryslân (PV);1997;17.2
716;Surcharge motor vehicle tax;Fryslân (PV);1998;18.2
717;Surcharge motor vehicle tax;Fryslân (PV);1999;19.4
718;Surcharge motor vehicle tax;Fryslân (PV);2000;20.9
719;Surcharge motor vehicle tax;Fryslân (PV);2001;22.8
720;Surcharge motor vehicle tax;Fryslân (PV);2002;24.7
721;Surcharge motor vehicle tax;Fryslân (PV);2003;30.1
722;Surcharge motor vehicle tax;Fryslân (PV);2004;32.1
723;Surcharge motor vehicle tax;Fryslân (PV);2005;37.0
724;Surcharge motor vehicle tax;Fryslân (PV);2006;41.1
725;Surcharge motor vehicle tax;Fryslân (PV);2007;44.1
726;Surcharge motor vehicle tax;Fryslân (PV);2008;50.4
727;Surcharge motor vehicle tax;Fryslân (PV);2009;54.0
728;Surcharge motor vehicle tax;Fryslân (PV);2010;54.1
729;Surcharge motor vehicle tax;Fryslân (PV);2011;57.1
730;Surcharge motor vehicle tax;Fryslân (PV);2012;61.0
731;Surcharge motor vehicle tax;Fryslân (PV);2013;60.4
732;Surcharge motor vehicle tax;Fryslân (PV);2014;64.2
733;Surcharge motor vehicle tax;Fryslân (PV);2015;68.2
734;Surcharge motor vehicle tax;Fryslân (PV);2016;50.3
735;Surcharge motor vehicle tax;Fryslân (PV);2017;51.6
736;Surcharge motor vehicle tax;Fryslân (PV);2018;53.9
737;Surcharge motor vehicle tax;Fryslân (PV);2019;55.9
738;Surcharge motor vehicle tax;Fryslân (PV);2020;69.9
739;Surcharge motor vehicle tax;Fryslân (PV);2021;71.1
740;Surcharge motor vehicle tax;Fryslân (PV);2022;71.0
741;Surcharge motor vehicle tax;Fryslân (PV);2023;72.6
742;Surcharge motor vehicle tax;Fryslân (PV);2024;74.6
743;Surcharge motor vehicle tax;Fryslân (PV);2025;76.9
744;Surcharge motor vehicle tax;Drenthe (PV);1995;4.6
745;Surcharge motor vehicle tax;Drenthe (PV);1996;5.5
746;Surcharge motor vehicle tax;Drenthe (PV);1997;16.3
747;Surcharge motor vehicle tax;Drenthe (PV);1998;19.0
748;Surcharge motor vehicle tax;Drenthe (PV);1999;19.1
749;Surcharge motor vehicle tax;Drenthe (PV);2000;20.9
750;Surcharge motor vehicle tax;Drenthe (PV);2001;22.9
751;Surcharge motor vehicle tax;Drenthe (PV);2002;25.1
752;Surcharge motor vehicle tax;Drenthe (PV);2003;27.6
753;Surcharge motor vehicle tax;Drenthe (PV);2004;29.6
754;Surcharge motor vehicle tax;Drenthe (PV);2005;32.6
755;Surcharge motor vehicle tax;Drenthe (PV);2006;35.8
756;Surcharge motor vehicle tax;Drenthe (PV);2007;38.0
757;Surcharge motor vehicle tax;Drenthe (PV);2008;42.7
758;Surcharge motor vehicle tax;Drenthe (PV);2009;44.4
759;Surcharge motor vehicle tax;Drenthe (PV);2010;45.7
760;Surcharge motor vehicle tax;Drenthe (PV);2011;47.6
761;Surcharge motor vehicle tax;Drenthe (PV);2012;48.5
762;Surcharge motor vehicle tax;Drenthe (PV);2013;49.4
763;Surcharge motor vehicle tax;Drenthe (PV);2014;51.8
764;Surcharge motor vehicle tax;Drenthe (PV);2015;53.2
765;Surcharge motor vehicle tax;Drenthe (PV);2016;55.3
766;Surcharge motor vehicle tax;Drenthe (PV);2017;55.6
767;Surcharge motor vehicle tax;Drenthe (PV);2018;55.9
768;Surcharge motor vehicle tax;Drenthe (PV);2019;57.2
769;Surcharge motor vehicle tax;Drenthe (PV);2020;59.1
770;Surcharge motor vehicle tax;Drenthe (PV);2021;59.6
771;Surcharge motor vehicle tax;Drenthe (PV);2022;60.8
772;Surcharge motor vehicle tax;Drenthe (PV);2023;62.0
773;Surcharge motor vehicle tax;Drenthe (PV);2024;62.0
774;Surcharge motor vehicle tax;Drenthe (PV);2025;62.0
775;Surcharge motor vehicle tax;Overijssel (PV);1995;9.3
776;Surcharge motor vehicle tax;Overijssel (PV);1996;9.4
777;Surcharge motor vehicle tax;Overijssel (PV);1997;33.6
778;Surcharge motor vehicle tax;Overijssel (PV);1998;39.8
779;Surcharge motor vehicle tax;Overijssel (PV);1999;42.8
780;Surcharge motor vehicle tax;Overijssel (PV);2000;47.4
781;Surcharge motor vehicle tax;Overijssel (PV);2001;54.3
782;Surcharge motor vehicle tax;Overijssel (PV);2002;57.8
783;Surcharge motor vehicle tax;Overijssel (PV);2003;62.2
784;Surcharge motor vehicle tax;Overijssel (PV);2004;67.0
785;Surcharge motor vehicle tax;Overijssel (PV);2005;70.9
786;Surcharge motor vehicle tax;Overijssel (PV);2006;77.0
787;Surcharge motor vehicle tax;Overijssel (PV);2007;80.7
788;Surcharge motor vehicle tax;Overijssel (PV);2008;82.3
789;Surcharge motor vehicle tax;Overijssel (PV);2009;86.6
790;Surcharge motor vehicle tax;Overijssel (PV);2010;93.0
791;Surcharge motor vehicle tax;Overijssel (PV);2011;96.0
792;Surcharge motor vehicle tax;Overijssel (PV);2012;98.4
793;Surcharge motor vehicle tax;Overijssel (PV);2013;99.2
794;Surcharge motor vehicle tax;Overijssel (PV);2014;101.6
