ID;RegioS;Kiesgerechtigden_1;Opkomst_2;TotaalStemmen_3;GeldigeStemmen_4;CDA_5;CU_6;DN_7;D66_8;GL_9;LN_10;LPF_11;NMP_12;PvdA_13;PvdT_14;RVP_15;SGP_16;SP_17;VSP_18;VIPOU_19;VVD_20;CDA_21;CU_22;DN_23;D66_24;GL_25;LN_26;LPF_27;NMP_28;PvdA_29;PvdT_30;RVP_31;SGP_32;SP_33;VSP_34;VIPOU_35;VVD_36;LandsdeelCode_37;ProvincieCode_38;KamerkieskringCode_39;CoropCode_40;GemeenteCode_41
202;Hoogezand-Sappemeer;25359;73.2;18574;18553;3118;729;66;856;1599;312;2752;10.0;5257;19.0;;45;1147;36.0;72;2535;16.8;3.9;0.4;4.6;8.6;1.7;14.8;0.1;28.3;0.1;;0.2;6.2;0.2;0.4;13.7;1;20;01;03;0018
203;Hoorn;49398;79.7;39380;39323;8146;374;13;2566;3237;978;6965;15.0;6691;;;31;2984;69.0;331;6923;20.7;1.0;0.0;6.5;8.2;2.5;17.7;0.0;17.0;;;0.1;7.6;0.2;0.8;17.6;3;27;11;18;0405
204;Horst aan de Maas;21189;79.0;16730;16717;7709;49;13;693;793;242;2395;6.0;1431;13.0;;17;1121;16.0;63;2156;46.1;0.3;0.1;4.1;4.7;1.4;14.3;0.0;8.6;0.1;;0.1;6.7;0.1;0.4;12.9;4;31;19;37;1507
205;Houten;26814;86.0;23054;23042;6383;911;6;1479;1960;385;3284;;2717;7.0;;507;1161;19.0;58;4165;27.7;4.0;0.0;6.4;8.5;1.7;14.3;;11.8;0.0;;2.2;5.0;0.1;0.3;18.1;3;26;08;17;0321
206;Huizen;30804;84.4;26008;25987;7247;1276;20;1569;1594;417;3917;11.0;2894;13.0;;528;1288;;146;5067;27.9;4.9;0.1;6.0;6.1;1.6;15.1;0.0;11.1;0.1;;2.0;5.0;;0.6;19.5;3;27;10;24;0406
207;Hulst;13892;76.0;10564;10557;3566;47;1;485;562;159;2149;2.0;1537;3.0;;13;385;;54;1594;33.8;0.4;0.0;4.6;5.3;1.5;20.4;0.0;14.6;0.0;;0.1;3.6;;0.5;15.1;3;29;16;31;0677
208;Hummelo en Keppel;3553;86.7;3081;3080;1113;8;0;160;135;37;345;0.0;500;2.0;;9;149;1.0;3;618;36.1;0.3;0.0;5.2;4.4;1.2;11.2;0.0;16.2;0.1;;0.3;4.8;0.0;0.1;20.1;2;25;07;14;0256
209;Hunsel;4543;79.6;3617;3614;1691;2;0;132;171;74;638;1.0;300;4.0;;2;144;2.0;30;423;46.8;0.1;0.0;3.7;4.7;2.0;17.7;0.0;8.3;0.1;;0.1;4.0;0.1;0.8;11.7;4;31;19;38;0925
210;IJsselstein;23568;80.6;19003;18991;5106;310;8;1095;1174;407;3142;;2499;16.0;;259;965;12.0;62;3936;26.9;1.6;0.0;5.8;6.2;2.1;16.5;;13.2;0.1;;1.4;5.1;0.1;0.3;20.7;3;26;08;17;0353
211;Jacobswoude;8054;87.1;7014;7008;2668;90;1;366;333;143;1241;3.0;515;3.0;;57;281;2.0;22;1283;38.1;1.3;0.0;5.2;4.8;2.0;17.7;0.0;7.3;0.0;;0.8;4.0;0.0;0.3;18.3;3;28;15;28;0645
212;Kampen;35256;85.0;29971;29954;11043;3678;12;723;1375;346;3079;7.0;3466;12.0;;2684;1260;26.0;48;2195;36.9;12.3;0.0;2.4;4.6;1.2;10.3;0.0;11.6;0.0;;9.0;4.2;0.1;0.2;7.3;2;23;04;10;0166
213;Kapelle;8579;84.7;7269;7265;2654;330;2;244;301;84;901;1.0;743;1.0;;736;209;;14;1045;36.5;4.5;0.0;3.4;4.1;1.2;12.4;0.0;10.2;0.0;;10.1;2.9;;0.2;14.4;3;29;16;32;0678
214;Katwijk;30383;82.7;25115;25093;10372;1953;51;541;669;339;3858;7.0;1557;15.0;;2763;680;23.0;72;2193;41.3;7.8;0.2;2.2;2.7;1.4;15.4;0.0;6.2;0.1;;11.0;2.7;0.1;0.3;8.7;3;28;15;25;0537
215;Kerkrade;36528;66.2;24164;24129;7878;66;18;631;1678;415;5677;5.0;4016;24.0;;10;1460;42.0;121;2088;32.6;0.3;0.1;2.6;7.0;1.7;23.5;0.0;16.6;0.1;;0.0;6.1;0.2;0.5;8.7;4;31;19;39;0928
216;Kessel;3192;84.1;2683;2668;1226;3;1;88;88;42;465;1.0;244;4.0;;1;84;5.0;14;402;46.0;0.1;0.0;3.3;3.3;1.6;17.4;0.0;9.1;0.1;;0.0;3.1;0.2;0.5;15.1;4;31;19;37;0929
217;Kesteren;15654;85.7;13418;13412;3153;523;2;319;352;147;1738;;2287;13.0;;3148;321;7.0;26;1376;23.5;3.9;0.0;2.4;2.6;1.1;13.0;;17.1;0.1;;23.5;2.4;0.1;0.2;10.3;2;25;06;16;0258
218;Kollumerland c.a.;9912;80.9;8019;7991;3838;488;4;189;310;102;1046;0.0;930;2.0;;88;355;;20;619;48.0;6.1;0.1;2.4;3.9;1.3;13.1;0.0;11.6;0.0;;1.1;4.4;;0.3;7.7;1;21;02;04;0079
219;Korendijk;8117;86.1;6991;6986;1750;173;1;197;163;99;1443;2.0;775;4.0;;1112;249;1.0;21;996;25.1;2.5;0.0;2.8;2.3;1.4;20.7;0.0;11.1;0.1;;15.9;3.6;0.0;0.3;14.3;3;28;14;29;0588
220;Krimpen aan den IJssel;21872;85.4;18683;18671;4091;934;10;696;701;303;3970;0.0;2586;7.0;;2204;666;10.0;45;2448;21.9;5.0;0.1;3.7;3.8;1.6;21.3;0.0;13.9;0.0;;11.8;3.6;0.1;0.2;13.1;3;28;15;29;0542
221;Laarbeek;16310;81.3;13261;13247;5298;28;1;485;741;204;2310;3.0;1472;19.0;;5;801;10.0;41;1829;40.0;0.2;0.0;3.7;5.6;1.5;17.4;0.0;11.1;0.1;;0.0;6.0;0.1;0.3;13.8;4;30;18;36;1659
222;Landerd;10929;83.3;9105;9101;4027;18;6;371;407;127;1295;2.0;838;3.0;;3;749;1.0;29;1225;44.2;0.2;0.1;4.1;4.5;1.4;14.2;0.0;9.2;0.0;;0.0;8.2;0.0;0.3;13.5;4;30;18;35;1685
223;Landgraaf;30629;69.6;21307;21277;7335;99;13;783;1473;331;4461;8.0;2902;22.0;;21;1728;27.0;66;2008;34.5;0.5;0.1;3.7;6.9;1.6;21.0;0.0;13.6;0.1;;0.1;8.1;0.1;0.3;9.4;4;31;19;39;0882
224;Landsmeer;7902;86.3;6820;6812;1071;44;0;455;459;158;1569;1.0;1193;;;10;439;4.0;31;1378;15.7;0.6;0.0;6.7;6.7;2.3;23.0;0.0;17.5;;;0.1;6.4;0.1;0.5;20.2;3;27;11;23;0415
225;Langedijk;18263;85.6;15633;15618;4370;340;3;937;1071;748;2237;4.0;1822;;;32;796;6.0;72;3180;28.0;2.2;0.0;6.0;6.9;4.8;14.3;0.0;11.7;;;0.2;5.1;0.0;0.5;20.4;3;27;11;19;0416
226;Laren;8672;85.6;7423;7416;1875;22;0;464;309;74;1258;12.0;727;2.0;;8;330;;43;2292;25.3;0.3;0.0;6.3;4.2;1.0;17.0;0.2;9.8;0.0;;0.1;4.4;;0.6;30.9;3;27;10;24;0417
227;Leek;14194;82.0;11638;11632;3150;929;1;500;789;144;1379;4.0;2388;4.0;;78;555;12.0;28;1671;27.1;8.0;0.0;4.3;6.8;1.2;11.9;0.0;20.5;0.0;;0.7;4.8;0.1;0.2;14.4;1;20;01;03;0022
228;Leerdam;15170;81.3;12331;12321;3334;696;11;445;443;178;2317;2.0;1949;13.0;;827;483;18.0;19;1586;27.1;5.6;0.1;3.6;3.6;1.4;18.8;0.0;15.8;0.1;;6.7;3.9;0.1;0.2;12.9;3;28;14;30;0545
229;Leersum;5522;87.8;4850;4843;1280;98;1;200;312;60;841;;578;2.0;;224;182;4.0;13;1048;26.4;2.0;0.0;4.1;6.4;1.2;17.4;;11.9;0.0;;4.6;3.8;0.1;0.3;21.6;3;26;08;17;0326
230;Leeuwarden;70555;77.7;54836;54771;12063;1496;38;3383;5774;848;6907;10.0;12423;38.0;;105;4749;;146;6791;22.0;2.7;0.1;6.2;10.5;1.5;12.6;0.0;22.7;0.1;;0.2;8.7;;0.3;12.4;1;21;02;04;0080
231;Leeuwarderadeel;7775;87.1;6770;6751;2185;140;1;306;410;116;686;0.0;1560;5.0;;7;394;;19;922;32.4;2.1;0.0;4.5;6.1;1.7;10.2;0.0;23.1;0.1;;0.1;5.8;;0.3;13.7;1;21;02;04;0081
232;Leiden;88195;80.7;71155;71006;11754;975;159;6548;8806;720;12047;9.0;13094;45.0;;211;5301;68.0;151;11118;16.6;1.4;0.2;9.2;12.4;1.0;17.0;0.0;18.4;0.1;;0.3;7.5;0.1;0.2;15.7;3;28;15;25;0546
233;Leiderdorp;19637;84.5;16603;16579;4362;235;27;1231;1177;272;2777;4.0;2185;11.0;;142;772;8.0;57;3319;26.3;1.4;0.2;7.4;7.1;1.6;16.8;0.0;13.2;0.1;;0.9;4.7;0.0;0.3;20.0;3;28;15;25;0547
234;Leidschendam-Voorburg;56301;83.9;47209;47136;12941;555;45;2964;2902;677;9499;9.0;5245;27.0;;156;2486;91.0;195;9344;27.5;1.2;0.1;6.3;6.2;1.4;20.2;0.0;11.1;0.1;;0.3;5.3;0.2;0.4;19.8;3;28;15;26;1916
235;Lelystad;48875;73.9;36115;36069;6547;984;53;1902;2920;840;7941;22.0;6120;;;175;2237;57.0;214;6057;18.2;2.7;0.1;5.3;8.1;2.3;22.0;0.1;17.0;;;0.5;6.2;0.2;0.6;16.8;2;24;05;40;0995
236;Lemsterland;9712;80.7;7840;7827;2525;207;3;318;314;131;1409;1.0;1316;8.0;;40;438;;18;1099;32.3;2.6;0.0;4.1;4.0;1.7;18.0;0.0;16.8;0.1;;0.5;5.6;;0.2;14.0;1;21;02;05;0082
237;Leusden;21281;87.4;18597;18579;5706;813;3;1184;1303;256;2233;;2112;7.0;;266;792;5.0;50;3849;30.7;4.4;0.0;6.4;7.0;1.4;12.0;;11.4;0.0;;1.4;4.3;0.0;0.3;20.7;3;26;08;17;0327
238;Lichtenvoorde;14225;83.6;11888;11882;5953;25;9;453;561;169;1432;1.0;1165;9.0;;14;485;5.0;30;1571;50.1;0.2;0.1;3.8;4.7;1.4;12.1;0.0;9.8;0.1;;0.1;4.1;0.0;0.3;13.2;2;25;07;14;0260
239;Liemeer;4803;82.1;3944;3943;1597;98;3;139;150;84;758;1.0;244;3.0;;52;124;1.0;12;677;40.5;2.5;0.1;3.5;3.8;2.1;19.2;0.0;6.2;0.1;;1.3;3.1;0.0;0.3;17.2;3;28;15;28;1673
240;De Lier;8102;87.1;7059;7050;3434;143;4;183;135;110;1498;2.0;306;4.0;;17;133;6.0;9;1066;48.7;2.0;0.1;2.6;1.9;1.6;21.2;0.0;4.3;0.1;;0.2;1.9;0.1;0.1;15.1;3;28;14;27;0552
241;Liesveld;6966;89.2;6214;6198;2019;604;3;141;146;75;819;0.0;682;5.0;;756;151;1.0;6;790;32.6;9.7;0.0;2.3;2.4;1.2;13.2;0.0;11.0;0.1;;12.2;2.4;0.0;0.1;12.7;3;28;14;30;0694
242;Lingewaal;7925;85.2;6750;6747;2148;313;1;231;223;103;1177;;1076;3.0;;292;232;4.0;10;934;31.8;4.6;0.0;3.4;3.3;1.5;17.4;;15.9;0.0;;4.3;3.4;0.1;0.1;13.8;2;25;06;16;0733
243;Lisse;16444;85.9;14120;14104;5070;276;1;719;543;251;2609;0.0;1199;7.0;;615;502;4.0;47;2261;35.9;2.0;0.0;5.1;3.8;1.8;18.5;0.0;8.5;0.0;;4.4;3.6;0.0;0.3;16.0;3;28;15;25;0553
244;Lith;4984;83.3;4151;4143;1648;7;1;149;168;43;763;0.0;375;3.0;;0;429;3.0;6;548;39.8;0.2;0.0;3.6;4.1;1.0;18.4;0.0;9.1;0.1;;0.0;10.4;0.1;0.1;13.2;4;30;18;35;0808
245;Littenseradiel;7879;85.5;6738;6734;2651;106;0;283;485;101;611;0.0;1137;6.0;;9;368;;19;958;39.4;1.6;0.0;4.2;7.2;1.5;9.1;0.0;16.9;0.1;;0.1;5.5;;0.3;14.2;1;21;02;04;0140
246;Lochem;14999;84.7;12702;12691;3671;75;10;777;909;139;1291;5.0;2380;5.0;;22;562;7.0;43;2795;28.9;0.6;0.1;6.1;7.2;1.1;10.2;0.0;18.8;0.0;;0.2;4.4;0.1;0.3;22.0;2;25;07;14;0262
247;Loenen;6311;88.3;5571;5569;1533;104;0;347;302;75;886;;650;3.0;;106;267;4.0;17;1275;27.5;1.9;0.0;6.2;5.4;1.3;15.9;;11.7;0.1;;1.9;4.8;0.1;0.3;22.9;3;26;08;17;0329
248;Loon op Zand;17594;77.1;13560;13551;4852;46;4;604;798;154;2501;6.0;1450;17.0;;75;670;21.0;67;2286;35.8;0.3;0.0;4.5;5.9;1.1;18.5;0.0;10.7;0.1;;0.6;4.9;0.2;0.5;16.9;4;30;17;34;0809
249;Lopik;9807;85.5;8388;8386;3353;558;2;203;257;158;1406;;615;4.0;;543;247;2.0;16;1022;40.0;6.7;0.0;2.4;3.1;1.9;16.8;;7.3;0.0;;6.5;2.9;0.0;0.2;12.2;3;26;08;17;0331
250;Loppersum;8249;83.6;6896;6896;2382;476;4;245;534;96;656;1.0;1320;0.0;;86;349;1.0;17;729;34.5;6.9;0.1;3.6;7.7;1.4;9.5;0.0;19.1;0.0;;1.2;5.1;0.0;0.2;10.6;1;20;01;02;0024
251;Losser;17115;80.6;13792;13786;6394;72;2;522;603;250;1798;6.0;1924;6.0;;7;616;12.0;48;1526;46.4;0.5;0.0;3.8;4.4;1.8;13.0;0.0;14.0;0.0;;0.1;4.5;0.1;0.3;11.1;2;23;04;12;0168
252;Maarn;4426;92.5;4093;4093;1186;69;2;230;246;57;580;;435;2.0;;123;152;2.0;14;995;29.0;1.7;0.0;5.6;6.0;1.4;14.2;;10.6;0.0;;3.0;3.7;0.0;0.3;24.3;3;26;08;17;0332
253;Maarssen;29819;81.6;24339;24305;5879;430;14;1409;1761;497;4484;;3484;14.0;;123;1330;35.0;80;4765;24.2;1.8;0.1;5.8;7.2;2.0;18.4;;14.3;0.1;;0.5;5.5;0.1;0.3;19.6;3;26;08;17;0333
254;Maasbracht;10667;75.4;8047;8043;3323;44;2;273;391;129;1664;0.0;815;5.0;;9;320;3.0;35;1030;41.3;0.5;0.0;3.4;4.9;1.6;20.7;0.0;10.1;0.1;;0.1;4.0;0.0;0.4;12.8;4;31;19;38;0933
255;Maasbree;9548;79.5;7590;7582;3447;10;0;307;356;143;1228;0.0;628;6.0;;14;223;4.0;43;1173;45.5;0.1;0.0;4.0;4.7;1.9;16.2;0.0;8.3;0.1;;0.2;2.9;0.1;0.6;15.5;4;31;19;37;0934
256;Maasdonk;8447;81.4;6874;6849;2885;5;0;228;238;106;1239;0.0;585;6.0;;3;631;1.0;24;898;42.1;0.1;0.0;3.3;3.5;1.5;18.1;0.0;8.5;0.1;;0.0;9.2;0.0;0.4;13.1;4;30;18;35;1671
257;Maasdriel;17796;83.0;14772;14765;5041;112;2;538;631;214;3402;;1491;5.0;;294;584;8.0;41;2402;34.1;0.8;0.0;3.6;4.3;1.4;23.0;;10.1;0.0;;2.0;4.0;0.1;0.3;16.3;2;25;06;16;0263
258;Maasland;5006;92.2;4615;4613;2230;120;0;157;134;59;817;0.0;256;1.0;;31;131;0.0;12;665;48.3;2.6;0.0;3.4;2.9;1.3;17.7;0.0;5.5;0.0;;0.7;2.8;0.0;0.3;14.4;3;28;14;27;0555
259;Maassluis;24531;81.2;19915;19894;5410;521;36;888;710;345;5065;5.0;2724;13.0;;142;859;13.0;184;2979;27.2;2.6;0.2;4.5;3.6;1.7;25.5;0.0;13.7;0.1;;0.7;4.3;0.1;0.9;15.0;3;28;14;29;0556
260;Maastricht;94988;70.6;67099;67015;18176;318;52;3827;7055;802;12825;18.0;10956;28.0;;52;4163;106.0;518;8119;27.1;0.5;0.1;5.7;10.5;1.2;19.1;0.0;16.3;0.0;;0.1;6.2;0.2;0.8;12.1;4;31;19;39;0935
261;Margraten;10270;82.8;8499;8492;4031;24;2;357;493;89;1369;0.0;805;3.0;;4;312;3.0;23;977;47.5;0.3;0.0;4.2;5.8;1.0;16.1;0.0;9.5;0.0;;0.0;3.7;0.0;0.3;11.5;4;31;19;39;0936
262;De Marne;8444;82.2;6937;6930;1904;603;3;227;432;105;826;2.0;1480;2.0;;32;422;7.0;20;865;27.5;8.7;0.0;3.3;6.2;1.5;11.9;0.0;21.4;0.0;;0.5;6.1;0.1;0.3;12.5;1;20;01;03;1663
263;Marum;7411;79.4;5886;5882;1765;272;1;215;246;101;965;4.0;1087;2.0;;31;250;5.0;15;923;30.0;4.6;0.0;3.7;4.2;1.7;16.4;0.1;18.5;0.0;;0.5;4.3;0.1;0.3;15.7;1;20;01;03;0025
264;Medemblik;5794;79.0;4579;4573;1186;82;20;192;235;126;1141;1.0;493;;;9;274;9.0;40;765;25.9;1.8;0.4;4.2;5.1;2.8;25.0;0.0;10.8;;;0.2;6.0;0.2;0.9;16.7;3;27;11;18;0420
265;Meerlo-Wanssum;5804;79.9;4638;4631;2175;3;0;194;239;80;728;0.0;442;4.0;;7;217;8.0;24;510;47.0;0.1;0.0;4.2;5.2;1.7;15.7;0.0;9.5;0.1;;0.2;4.7;0.2;0.5;11.0;4;31;19;37;0993
266;Meerssen;15675;78.5;12301;12290;5143;31;2;527;774;156;2231;3.0;1239;8.0;;2;503;10.0;42;1619;41.8;0.3;0.0;4.3;6.3;1.3;18.2;0.0;10.1;0.1;;0.0;4.1;0.1;0.3;13.2;4;31;19;39;0938
267;Meijel;4413;76.1;3359;3359;1516;1;0;79;125;67;580;0.0;304;3.0;;3;125;5.0;8;543;45.1;0.0;0.0;2.4;3.7;2.0;17.3;0.0;9.1;0.1;;0.1;3.7;0.1;0.2;16.2;4;31;19;37;0941
268;Menaldumadeel;10557;85.3;9005;8998;3047;167;0;397;597;168;1024;1.0;1873;4.0;;13;439;;24;1244;33.9;1.9;0.0;4.4;6.6;1.9;11.4;0.0;20.8;0.0;;0.1;4.9;;0.3;13.8;1;21;02;04;0083
269;Menterwolde;9736;75.9;7389;7381;1125;199;3;269;463;159;1141;1.0;2422;5.0;;28;551;8.0;18;989;15.2;2.7;0.0;3.6;6.3;2.2;15.5;0.0;32.8;0.1;;0.4;7.5;0.1;0.2;13.4;1;20;01;01;1987
270;Meppel;23049;80.9;18641;18624;4749;866;1;958;1083;239;2339;1.0;4144;6.0;;69;1002;19.0;43;3105;25.5;4.6;0.0;5.1;5.8;1.3;12.6;0.0;22.3;0.0;;0.4;5.4;0.1;0.2;16.7;1;22;03;09;0119
271;Middelburg;34347;80.4;27610;27589;7346;1547;48;1282;2136;375;3482;6.0;3988;12.0;;2079;1784;;103;3401;26.6;5.6;0.2;4.6;7.7;1.4;12.6;0.0;14.5;0.0;;7.5;6.5;;0.4;12.3;3;29;16;32;0687
272;Middelharnis;13065;82.2;10733;10721;2659;821;3;309;291;148;1809;3.0;1389;5.0;;1663;322;9.0;19;1271;24.8;7.7;0.0;2.9;2.7;1.4;16.9;0.0;13.0;0.0;;15.5;3.0;0.1;0.2;11.9;3;28;14;29;0559
273;Midden-Drenthe;24755;83.6;20691;20660;6042;541;3;892;1131;290;2380;7.0;5067;16.0;;67;898;12.0;49;3265;29.2;2.6;0.0;4.3;5.5;1.4;11.5;0.0;24.5;0.1;;0.3;4.3;0.1;0.2;15.8;1;22;03;07;1731
274;Mierlo;7746;83.0;6433;6422;2393;36;0;332;405;85;1144;3.0;667;13.0;;3;337;14.0;34;956;37.3;0.6;0.0;5.2;6.3;1.3;17.8;0.0;10.4;0.2;;0.0;5.2;0.2;0.5;14.9;4;30;18;36;0814
275;Mill en Sint Hubert;8513;82.3;7009;7000;3093;24;0;209;316;101;1224;0.0;786;8.0;;6;400;5.0;21;807;44.2;0.3;0.0;3.0;4.5;1.4;17.5;0.0;11.2;0.1;;0.1;5.7;0.1;0.3;11.5;4;30;18;35;0815
276;Millingen aan de Rijn;4442;77.7;3452;3444;877;6;2;164;241;45;532;;828;2.0;;0;227;3.0;12;505;25.5;0.2;0.1;4.8;7.0;1.3;15.4;;24.0;0.1;;0.0;6.6;0.1;0.3;14.7;2;25;06;15;0265
277;Moerdijk;27990;76.7;21457;21436;7256;418;26;864;1018;426;3935;3.0;2520;20.0;;140;1162;19.0;88;3541;33.8;1.9;0.1;4.0;4.7;2.0;18.4;0.0;11.8;0.1;;0.7;5.4;0.1;0.4;16.5;4;30;17;33;1709
278;Monster;15031;83.7;12587;12576;4676;372;6;396;372;206;3062;2.0;808;5.0;;405;316;5.0;41;1904;37.2;3.0;0.0;3.1;3.0;1.6;24.3;0.0;6.4;0.0;;3.2;2.5;0.0;0.3;15.1;3;28;14;27;0562
279;Montfoort;9771;87.4;8539;8527;2970;348;1;372;419;185;1506;;693;7.0;;413;287;8.0;26;1292;34.8;4.1;0.0;4.4;4.9;2.2;17.7;;8.1;0.1;;4.8;3.4;0.1;0.3;15.2;3;26;08;17;0335
280;Mook en Middelaar;6037;84.2;5081;5081;1536;12;4;317;468;49;749;0.0;707;2.0;;2;315;2.0;11;907;30.2;0.2;0.1;6.2;9.2;1.0;14.7;0.0;13.9;0.0;;0.0;6.2;0.0;0.2;17.9;4;31;19;37;0944
281;Moordrecht;5728;83.5;4781;4765;1175;130;2;178;214;70;1039;0.0;779;1.0;;199;178;6.0;9;785;24.7;2.7;0.0;3.7;4.5;1.5;21.8;0.0;16.3;0.0;;4.2;3.7;0.1;0.2;16.5;3;28;15;28;0563
282;Muiden;4989;87.9;4383;4381;966;35;1;391;229;62;669;0.0;696;5.0;;8;263;;24;1032;22.0;0.8;0.0;8.9;5.2;1.4;15.3;0.0;15.9;0.1;;0.2;6.0;;0.5;23.6;3;27;10;24;0424
283;Naaldwijk;21335;86.3;18412;18391;7735;298;5;480;486;342;4340;3.0;1162;15.0;;165;424;14.0;31;2891;42.1;1.6;0.0;2.6;2.6;1.9;23.6;0.0;6.3;0.1;;0.9;2.3;0.1;0.2;15.7;3;28;14;27;0565
284;Naarden;12454;86.6;10791;10785;2447;111;0;799;635;107;1540;2.0;1287;10.0;;72;453;;49;3273;22.7;1.0;0.0;7.4;5.9;1.0;14.3;0.0;11.9;0.1;;0.7;4.2;;0.5;30.3;3;27;10;24;0425
285;Nederlek;11277;86.5;9754;9734;2154;268;4;378;317;219;2059;1.0;1649;3.0;;610;412;4.0;38;1618;22.1;2.8;0.0;3.9;3.3;2.2;21.2;0.0;16.9;0.0;;6.3;4.2;0.0;0.4;16.6;3;28;15;29;0643
286;Nederweert;12276;77.3;9488;9480;4082;16;2;307;349;133;1832;1.0;938;6.0;;7;344;5.0;29;1429;43.1;0.2;0.0;3.2;3.7;1.4;19.3;0.0;9.9;0.1;;0.1;3.6;0.1;0.3;15.1;4;31;19;38;0946
287;Neede;8624;85.0;7331;7326;2433;148;0;341;357;94;929;0.0;1609;4.0;;6;294;1.0;15;1095;33.2;2.0;0.0;4.7;4.9;1.3;12.7;0.0;22.0;0.1;;0.1;4.0;0.0;0.2;14.9;2;25;07;14;0266
288;Neerijnen;8466;84.2;7126;7103;1942;162;2;215;218;90;1150;;1200;3.0;;778;196;1.0;22;1124;27.3;2.3;0.0;3.0;3.1;1.3;16.2;;16.9;0.0;;11.0;2.8;0.0;0.3;15.8;2;25;06;16;0304
289;Niedorp;8538;81.6;6970;6963;1619;22;4;377;417;231;1249;2.0;1130;;;5;405;6.0;30;1466;23.3;0.3;0.1;5.4;6.0;3.3;17.9;0.0;16.2;;;0.1;5.8;0.1;0.4;21.1;3;27;11;18;0412
290;Nieuw-Lekkerland;6459;88.1;5689;5686;1195;683;3;108;130;74;725;0.0;789;1.0;;1306;198;6.0;15;453;21.0;12.0;0.1;1.9;2.3;1.3;12.8;0.0;13.9;0.0;;23.0;3.5;0.1;0.3;8.0;3;28;14;30;0571
291;Nieuwegein;47223;80.1;37831;37797;9288;638;17;2189;2919;958;7144;;5498;28.0;;187;2266;55.0;282;6328;24.6;1.7;0.0;5.8;7.7;2.5;18.9;;14.5;0.1;;0.5;6.0;0.1;0.7;16.7;3;26;08;17;0356
292;Nieuwerkerk aan den IJssel;16177;84.5;13674;13666;3495;676;2;692;538;217;2925;2.0;1380;5.0;;445;512;11.0;46;2720;25.6;4.9;0.0;5.1;3.9;1.6;21.4;0.0;10.1;0.0;;3.3;3.7;0.1;0.3;19.9;3;28;15;29;0567
293;Nieuwkoop;8257;83.3;6879;6875;2264;185;1;419;345;118;1245;5.0;648;3.0;;111;279;2.0;14;1236;32.9;2.7;0.0;6.1;5.0;1.7;18.1;0.1;9.4;0.0;;1.6;4.1;0.0;0.2;18.0;3;28;15;28;0569
294;Nijefurd;8335;85.7;7142;7129;3012;176;3;234;456;116;920;0.0;919;1.0;;19;359;;26;888;42.2;2.5;0.0;3.3;6.4;1.6;12.9;0.0;12.9;0.0;;0.3;5.0;;0.4;12.5;1;21;02;05;0104
295;Nijkerk;27521;84.2;23169;23153;8546;1646;8;814;964;348;3219;2.0;2095;8.0;;1529;636;19.0;50;3269;36.9;7.1;0.0;3.5;4.2;1.5;13.9;0.0;9.0;0.0;;6.6;2.7;0.1;0.2;14.1;2;25;07;13;0267
296;Nijmegen;119267;77.1;91941;91796;17876;623;86;6151;15025;849;12524;;17374;57.0;;73;10451;127.0;582;9998;19.5;0.7;0.1;6.7;16.4;0.9;13.6;;18.9;0.1;;0.1;11.4;0.1;0.6;10.9;2;25;06;15;0268
297;Noord-Beveland;5538;82.1;4545;4539;1542;78;1;131;187;75;741;2.0;567;3.0;;213;238;;17;744;34.0;1.7;0.0;2.9;4.1;1.7;16.3;0.0;12.5;0.1;;4.7;5.2;;0.4;16.4;3;29;16;32;1695
298;Noordenveld;24165;82.3;19884;19864;3965;532;5;1270;1476;248;2579;7.0;4597;9.0;;59;968;16.0;84;4049;20.0;2.7;0.0;6.4;7.4;1.2;13.0;0.0;23.1;0.0;;0.3;4.9;0.1;0.4;20.4;1;22;03;07;1699
299;Noorder-Koggenland;7875;84.0;6618;6615;1568;140;0;333;373;162;1211;2.0;936;;;67;390;3.0;50;1380;23.7;2.1;0.0;5.0;5.6;2.4;18.3;0.0;14.1;;;1.0;5.9;0.0;0.8;20.9;3;27;11;18;0529
300;Noordoostpolder;31940;83.9;26785;26764;10701;1717;10;959;1224;393;3324;5.0;3257;;;588;978;19.0;77;3512;40.0;6.4;0.0;3.6;4.6;1.5;12.4;0.0;12.2;;;2.2;3.7;0.1;0.3;13.1;2;24;05;40;0171
301;Noordwijk;18546;82.9;15372;15347;4537;245;0;764;842;209;3401;3.0;1509;7.0;;53;694;13.0;71;2999;29.6;1.6;0.0;5.0;5.5;1.4;22.2;0.0;9.8;0.0;;0.3;4.5;0.1;0.5;19.5;3;28;15;25;0575
302;Noordwijkerhout;11227;84.8;9524;9515;3357;42;2;397;503;153;2019;3.0;755;5.0;;10;380;10.0;47;1832;35.3;0.4;0.0;4.2;5.3;1.6;21.2;0.0;7.9;0.1;;0.1;4.0;0.1;0.5;19.3;3;28;15;25;0576
303;Nuenen c.a.;17650;86.9;15338;15318;5194;78;2;1033;983;195;2344;4.0;1585;23.0;;8;782;8.0;66;3013;33.9;0.5;0.0;6.7;6.4;1.3;15.3;0.0;10.3;0.2;;0.1;5.1;0.1;0.4;19.7;4;30;18;36;0820
304;Nunspeet;19233;88.9;17089;17081;5750;1865;1;311;429;150;2011;3.0;965;8.0;;3450;392;15.0;32;1699;33.7;10.9;0.0;1.8;2.5;0.9;11.8;0.0;5.6;0.0;;20.2;2.3;0.1;0.2;9.9;2;25;07;13;0302
