ID;TypeOfMonument;Regions2019;Periods;ListedMonumentsAndHistoricBuildings_1
2099;Listed monuments total;Zaanstreek (CR);1974;163
2100;Listed monuments total;Zaanstreek (CR);1975;169
2101;Listed monuments total;Zaanstreek (CR);1976;204
2102;Listed monuments total;Zaanstreek (CR);1977;205
2103;Listed monuments total;Zaanstreek (CR);1978;211
2104;Listed monuments total;Zaanstreek (CR);1979;211
2105;Listed monuments total;Zaanstreek (CR);1980;212
2106;Listed monuments total;Zaanstreek (CR);1981;213
2107;Listed monuments total;Zaanstreek (CR);1982;214
2108;Listed monuments total;Zaanstreek (CR);1983;214
2109;Listed monuments total;Zaanstreek (CR);1984;214
2110;Listed monuments total;Zaanstreek (CR);1985;216
2111;Listed monuments total;Zaanstreek (CR);1986;216
2112;Listed monuments total;Zaanstreek (CR);1987;216
2113;Listed monuments total;Zaanstreek (CR);1988;217
2114;Listed monuments total;Zaanstreek (CR);1989;217
2115;Listed monuments total;Zaanstreek (CR);1990;217
2116;Listed monuments total;Zaanstreek (CR);1991;217
2117;Listed monuments total;Zaanstreek (CR);1992;218
2118;Listed monuments total;Zaanstreek (CR);1993;218
2119;Listed monuments total;Zaanstreek (CR);1994;218
2120;Listed monuments total;Zaanstreek (CR);1995;218
2121;Listed monuments total;Zaanstreek (CR);1996;218
2122;Listed monuments total;Zaanstreek (CR);1997;218
2123;Listed monuments total;Zaanstreek (CR);1998;219
2124;Listed monuments total;Zaanstreek (CR);1999;220
2125;Listed monuments total;Zaanstreek (CR);2000;221
2126;Listed monuments total;Zaanstreek (CR);2001;273
2127;Listed monuments total;Zaanstreek (CR);2002;282
2128;Listed monuments total;Zaanstreek (CR);2003;282
2129;Listed monuments total;Zaanstreek (CR);2004;285
2130;Listed monuments total;Zaanstreek (CR);2005;286
2131;Listed monuments total;Zaanstreek (CR);2006;309
2132;Listed monuments total;Zaanstreek (CR);2007;309
2133;Listed monuments total;Zaanstreek (CR);2008;309
2134;Listed monuments total;Zaanstreek (CR);2009;309
2135;Listed monuments total;Zaanstreek (CR);2010;310
2136;Listed monuments total;Zaanstreek (CR);2011;310
2137;Listed monuments total;Zaanstreek (CR);2012;310
2138;Listed monuments total;Zaanstreek (CR);2013;310
2139;Listed monuments total;Zaanstreek (CR);2014;310
2140;Listed monuments total;Zaanstreek (CR);2015;309
2141;Listed monuments total;Zaanstreek (CR);2016;309
2142;Listed monuments total;Zaanstreek (CR);2017;309
2143;Listed monuments total;Zaanstreek (CR);2018;309
2144;Listed monuments total;Zaanstreek (CR);2019;309
2145;Listed monuments total;Groot-Amsterdam (CR);1965;0
2146;Listed monuments total;Groot-Amsterdam (CR);1966;0
2147;Listed monuments total;Groot-Amsterdam (CR);1967;270
2148;Listed monuments total;Groot-Amsterdam (CR);1968;404
2149;Listed monuments total;Groot-Amsterdam (CR);1969;405
2150;Listed monuments total;Groot-Amsterdam (CR);1970;6765
2151;Listed monuments total;Groot-Amsterdam (CR);1971;6778
2152;Listed monuments total;Groot-Amsterdam (CR);1972;6784
2153;Listed monuments total;Groot-Amsterdam (CR);1973;6809
2154;Listed monuments total;Groot-Amsterdam (CR);1974;6910
2155;Listed monuments total;Groot-Amsterdam (CR);1975;6997
2156;Listed monuments total;Groot-Amsterdam (CR);1976;7068
2157;Listed monuments total;Groot-Amsterdam (CR);1977;7121
2158;Listed monuments total;Groot-Amsterdam (CR);1978;7137
2159;Listed monuments total;Groot-Amsterdam (CR);1979;7155
2160;Listed monuments total;Groot-Amsterdam (CR);1980;7177
2161;Listed monuments total;Groot-Amsterdam (CR);1981;7188
2162;Listed monuments total;Groot-Amsterdam (CR);1982;7210
2163;Listed monuments total;Groot-Amsterdam (CR);1983;7212
2164;Listed monuments total;Groot-Amsterdam (CR);1984;7239
2165;Listed monuments total;Groot-Amsterdam (CR);1985;7258
2166;Listed monuments total;Groot-Amsterdam (CR);1986;7260
2167;Listed monuments total;Groot-Amsterdam (CR);1987;7260
2168;Listed monuments total;Groot-Amsterdam (CR);1988;7275
2169;Listed monuments total;Groot-Amsterdam (CR);1989;7278
2170;Listed monuments total;Groot-Amsterdam (CR);1990;7280
2171;Listed monuments total;Groot-Amsterdam (CR);1991;7304
2172;Listed monuments total;Groot-Amsterdam (CR);1992;7318
2173;Listed monuments total;Groot-Amsterdam (CR);1993;7326
2174;Listed monuments total;Groot-Amsterdam (CR);1994;7326
2175;Listed monuments total;Groot-Amsterdam (CR);1995;7356
2176;Listed monuments total;Groot-Amsterdam (CR);1996;7514
2177;Listed monuments total;Groot-Amsterdam (CR);1997;7533
2178;Listed monuments total;Groot-Amsterdam (CR);1998;7658
2179;Listed monuments total;Groot-Amsterdam (CR);1999;7702
2180;Listed monuments total;Groot-Amsterdam (CR);2000;7718
2181;Listed monuments total;Groot-Amsterdam (CR);2001;7869
2182;Listed monuments total;Groot-Amsterdam (CR);2002;8017
2183;Listed monuments total;Groot-Amsterdam (CR);2003;8071
2184;Listed monuments total;Groot-Amsterdam (CR);2004;8214
2185;Listed monuments total;Groot-Amsterdam (CR);2005;8243
2186;Listed monuments total;Groot-Amsterdam (CR);2006;8250
2187;Listed monuments total;Groot-Amsterdam (CR);2007;8262
2188;Listed monuments total;Groot-Amsterdam (CR);2008;8286
2189;Listed monuments total;Groot-Amsterdam (CR);2009;8304
2190;Listed monuments total;Groot-Amsterdam (CR);2010;8331
2191;Listed monuments total;Groot-Amsterdam (CR);2011;8337
2192;Listed monuments total;Groot-Amsterdam (CR);2012;8340
2193;Listed monuments total;Groot-Amsterdam (CR);2013;8340
2194;Listed monuments total;Groot-Amsterdam (CR);2014;8344
2195;Listed monuments total;Groot-Amsterdam (CR);2015;8349
2196;Listed monuments total;Groot-Amsterdam (CR);2016;8359
2197;Listed monuments total;Groot-Amsterdam (CR);2017;8359
2198;Listed monuments total;Groot-Amsterdam (CR);2018;8359
2199;Listed monuments total;Groot-Amsterdam (CR);2019;8358
2200;Listed monuments total;Het Gooi en Vechtstreek (CR);1965;0
2201;Listed monuments total;Het Gooi en Vechtstreek (CR);1966;45
2202;Listed monuments total;Het Gooi en Vechtstreek (CR);1967;45
2203;Listed monuments total;Het Gooi en Vechtstreek (CR);1968;58
2204;Listed monuments total;Het Gooi en Vechtstreek (CR);1969;157
2205;Listed monuments total;Het Gooi en Vechtstreek (CR);1970;185
2206;Listed monuments total;Het Gooi en Vechtstreek (CR);1971;216
2207;Listed monuments total;Het Gooi en Vechtstreek (CR);1972;227
2208;Listed monuments total;Het Gooi en Vechtstreek (CR);1973;294
2209;Listed monuments total;Het Gooi en Vechtstreek (CR);1974;465
2210;Listed monuments total;Het Gooi en Vechtstreek (CR);1975;476
2211;Listed monuments total;Het Gooi en Vechtstreek (CR);1976;490
2212;Listed monuments total;Het Gooi en Vechtstreek (CR);1977;514
2213;Listed monuments total;Het Gooi en Vechtstreek (CR);1978;534
2214;Listed monuments total;Het Gooi en Vechtstreek (CR);1979;535
2215;Listed monuments total;Het Gooi en Vechtstreek (CR);1980;552
2216;Listed monuments total;Het Gooi en Vechtstreek (CR);1981;570
2217;Listed monuments total;Het Gooi en Vechtstreek (CR);1982;572
2218;Listed monuments total;Het Gooi en Vechtstreek (CR);1983;576
2219;Listed monuments total;Het Gooi en Vechtstreek (CR);1984;578
2220;Listed monuments total;Het Gooi en Vechtstreek (CR);1985;583
2221;Listed monuments total;Het Gooi en Vechtstreek (CR);1986;588
2222;Listed monuments total;Het Gooi en Vechtstreek (CR);1987;590
2223;Listed monuments total;Het Gooi en Vechtstreek (CR);1988;591
2224;Listed monuments total;Het Gooi en Vechtstreek (CR);1989;592
2225;Listed monuments total;Het Gooi en Vechtstreek (CR);1990;594
2226;Listed monuments total;Het Gooi en Vechtstreek (CR);1991;640
2227;Listed monuments total;Het Gooi en Vechtstreek (CR);1992;651
2228;Listed monuments total;Het Gooi en Vechtstreek (CR);1993;669
2229;Listed monuments total;Het Gooi en Vechtstreek (CR);1994;701
2230;Listed monuments total;Het Gooi en Vechtstreek (CR);1995;701
2231;Listed monuments total;Het Gooi en Vechtstreek (CR);1996;701
2232;Listed monuments total;Het Gooi en Vechtstreek (CR);1997;705
2233;Listed monuments total;Het Gooi en Vechtstreek (CR);1998;770
2234;Listed monuments total;Het Gooi en Vechtstreek (CR);1999;794
2235;Listed monuments total;Het Gooi en Vechtstreek (CR);2000;841
2236;Listed monuments total;Het Gooi en Vechtstreek (CR);2001;899
2237;Listed monuments total;Het Gooi en Vechtstreek (CR);2002;1091
2238;Listed monuments total;Het Gooi en Vechtstreek (CR);2003;1101
2239;Listed monuments total;Het Gooi en Vechtstreek (CR);2004;1103
2240;Listed monuments total;Het Gooi en Vechtstreek (CR);2005;1123
2241;Listed monuments total;Het Gooi en Vechtstreek (CR);2006;1138
2242;Listed monuments total;Het Gooi en Vechtstreek (CR);2007;1143
2243;Listed monuments total;Het Gooi en Vechtstreek (CR);2008;1143
2244;Listed monuments total;Het Gooi en Vechtstreek (CR);2009;1143
2245;Listed monuments total;Het Gooi en Vechtstreek (CR);2010;1143
2246;Listed monuments total;Het Gooi en Vechtstreek (CR);2011;1143
2247;Listed monuments total;Het Gooi en Vechtstreek (CR);2012;1143
2248;Listed monuments total;Het Gooi en Vechtstreek (CR);2013;1188
2249;Listed monuments total;Het Gooi en Vechtstreek (CR);2014;1216
2250;Listed monuments total;Het Gooi en Vechtstreek (CR);2015;1218
2251;Listed monuments total;Het Gooi en Vechtstreek (CR);2016;1221
2252;Listed monuments total;Het Gooi en Vechtstreek (CR);2017;1221
2253;Listed monuments total;Het Gooi en Vechtstreek (CR);2018;1221
2254;Listed monuments total;Het Gooi en Vechtstreek (CR);2019;1221
2255;Listed monuments total;Agglomeratie Leiden en Bollenstreek (CR);1965;0
2256;Listed monuments total;Agglomeratie Leiden en Bollenstreek (CR);1966;0
2257;Listed monuments total;Agglomeratie Leiden en Bollenstreek (CR);1967;29
2258;Listed monuments total;Agglomeratie Leiden en Bollenstreek (CR);1968;1089
2259;Listed monuments total;Agglomeratie Leiden en Bollenstreek (CR);1969;1092
2260;Listed monuments total;Agglomeratie Leiden en Bollenstreek (CR);1970;1118
2261;Listed monuments total;Agglomeratie Leiden en Bollenstreek (CR);1971;1176
2262;Listed monuments total;Agglomeratie Leiden en Bollenstreek (CR);1972;1214
2263;Listed monuments total;Agglomeratie Leiden en Bollenstreek (CR);1973;1261
2264;Listed monuments total;Agglomeratie Leiden en Bollenstreek (CR);1974;1296
2265;Listed monuments total;Agglomeratie Leiden en Bollenstreek (CR);1975;1309
2266;Listed monuments total;Agglomeratie Leiden en Bollenstreek (CR);1976;1341
2267;Listed monuments total;Agglomeratie Leiden en Bollenstreek (CR);1977;1365
2268;Listed monuments total;Agglomeratie Leiden en Bollenstreek (CR);1978;1387
2269;Listed monuments total;Agglomeratie Leiden en Bollenstreek (CR);1979;1388
2270;Listed monuments total;Agglomeratie Leiden en Bollenstreek (CR);1980;1402
2271;Listed monuments total;Agglomeratie Leiden en Bollenstreek (CR);1981;1404
2272;Listed monuments total;Agglomeratie Leiden en Bollenstreek (CR);1982;1416
2273;Listed monuments total;Agglomeratie Leiden en Bollenstreek (CR);1983;1422
2274;Listed monuments total;Agglomeratie Leiden en Bollenstreek (CR);1984;1422
2275;Listed monuments total;Agglomeratie Leiden en Bollenstreek (CR);1985;1423
2276;Listed monuments total;Agglomeratie Leiden en Bollenstreek (CR);1986;1423
2277;Listed monuments total;Agglomeratie Leiden en Bollenstreek (CR);1987;1423
2278;Listed monuments total;Agglomeratie Leiden en Bollenstreek (CR);1988;1423
2279;Listed monuments total;Agglomeratie Leiden en Bollenstreek (CR);1989;1448
2280;Listed monuments total;Agglomeratie Leiden en Bollenstreek (CR);1990;1449
2281;Listed monuments total;Agglomeratie Leiden en Bollenstreek (CR);1991;1451
2282;Listed monuments total;Agglomeratie Leiden en Bollenstreek (CR);1992;1469
2283;Listed monuments total;Agglomeratie Leiden en Bollenstreek (CR);1993;1469
2284;Listed monuments total;Agglomeratie Leiden en Bollenstreek (CR);1994;1469
2285;Listed monuments total;Agglomeratie Leiden en Bollenstreek (CR);1995;1469
2286;Listed monuments total;Agglomeratie Leiden en Bollenstreek (CR);1996;1469
2287;Listed monuments total;Agglomeratie Leiden en Bollenstreek (CR);1997;1473
2288;Listed monuments total;Agglomeratie Leiden en Bollenstreek (CR);1998;1509
2289;Listed monuments total;Agglomeratie Leiden en Bollenstreek (CR);1999;1560
2290;Listed monuments total;Agglomeratie Leiden en Bollenstreek (CR);2000;1697
2291;Listed monuments total;Agglomeratie Leiden en Bollenstreek (CR);2001;1726
2292;Listed monuments total;Agglomeratie Leiden en Bollenstreek (CR);2002;1740
2293;Listed monuments total;Agglomeratie Leiden en Bollenstreek (CR);2003;1767
2294;Listed monuments total;Agglomeratie Leiden en Bollenstreek (CR);2004;1787
2295;Listed monuments total;Agglomeratie Leiden en Bollenstreek (CR);2005;1803
2296;Listed monuments total;Agglomeratie Leiden en Bollenstreek (CR);2006;1806
2297;Listed monuments total;Agglomeratie Leiden en Bollenstreek (CR);2007;1806
2298;Listed monuments total;Agglomeratie Leiden en Bollenstreek (CR);2008;1806
2299;Listed monuments total;Agglomeratie Leiden en Bollenstreek (CR);2009;1806
2300;Listed monuments total;Agglomeratie Leiden en Bollenstreek (CR);2010;1817
2301;Listed monuments total;Agglomeratie Leiden en Bollenstreek (CR);2011;1817
2302;Listed monuments total;Agglomeratie Leiden en Bollenstreek (CR);2012;1817
2303;Listed monuments total;Agglomeratie Leiden en Bollenstreek (CR);2013;1817
2304;Listed monuments total;Agglomeratie Leiden en Bollenstreek (CR);2014;1817
2305;Listed monuments total;Agglomeratie Leiden en Bollenstreek (CR);2015;1817
2306;Listed monuments total;Agglomeratie Leiden en Bollenstreek (CR);2016;1818
2307;Listed monuments total;Agglomeratie Leiden en Bollenstreek (CR);2017;1818
2308;Listed monuments total;Agglomeratie Leiden en Bollenstreek (CR);2018;1819
2309;Listed monuments total;Agglomeratie Leiden en Bollenstreek (CR);2019;1819
2310;Listed monuments total;Agglomeratie 's-Gravenhage (CR);1965;0
2311;Listed monuments total;Agglomeratie 's-Gravenhage (CR);1966;0
2312;Listed monuments total;Agglomeratie 's-Gravenhage (CR);1967;600
2313;Listed monuments total;Agglomeratie 's-Gravenhage (CR);1968;632
2314;Listed monuments total;Agglomeratie 's-Gravenhage (CR);1969;657
2315;Listed monuments total;Agglomeratie 's-Gravenhage (CR);1970;662
2316;Listed monuments total;Agglomeratie 's-Gravenhage (CR);1971;671
2317;Listed monuments total;Agglomeratie 's-Gravenhage (CR);1972;675
2318;Listed monuments total;Agglomeratie 's-Gravenhage (CR);1973;722
2319;Listed monuments total;Agglomeratie 's-Gravenhage (CR);1974;793
2320;Listed monuments total;Agglomeratie 's-Gravenhage (CR);1975;802
2321;Listed monuments total;Agglomeratie 's-Gravenhage (CR);1976;833
2322;Listed monuments total;Agglomeratie 's-Gravenhage (CR);1977;842
2323;Listed monuments total;Agglomeratie 's-Gravenhage (CR);1978;852
2324;Listed monuments total;Agglomeratie 's-Gravenhage (CR);1979;853
2325;Listed monuments total;Agglomeratie 's-Gravenhage (CR);1980;858
2326;Listed monuments total;Agglomeratie 's-Gravenhage (CR);1981;873
2327;Listed monuments total;Agglomeratie 's-Gravenhage (CR);1982;874
2328;Listed monuments total;Agglomeratie 's-Gravenhage (CR);1983;879
2329;Listed monuments total;Agglomeratie 's-Gravenhage (CR);1984;882
2330;Listed monuments total;Agglomeratie 's-Gravenhage (CR);1985;895
2331;Listed monuments total;Agglomeratie 's-Gravenhage (CR);1986;899
2332;Listed monuments total;Agglomeratie 's-Gravenhage (CR);1987;900
2333;Listed monuments total;Agglomeratie 's-Gravenhage (CR);1988;900
2334;Listed monuments total;Agglomeratie 's-Gravenhage (CR);1989;907
2335;Listed monuments total;Agglomeratie 's-Gravenhage (CR);1990;907
2336;Listed monuments total;Agglomeratie 's-Gravenhage (CR);1991;914
2337;Listed monuments total;Agglomeratie 's-Gravenhage (CR);1992;915
2338;Listed monuments total;Agglomeratie 's-Gravenhage (CR);1993;1124
2339;Listed monuments total;Agglomeratie 's-Gravenhage (CR);1994;1256
2340;Listed monuments total;Agglomeratie 's-Gravenhage (CR);1995;1275
2341;Listed monuments total;Agglomeratie 's-Gravenhage (CR);1996;1276
2342;Listed monuments total;Agglomeratie 's-Gravenhage (CR);1997;1288
2343;Listed monuments total;Agglomeratie 's-Gravenhage (CR);1998;1315
2344;Listed monuments total;Agglomeratie 's-Gravenhage (CR);1999;1326
2345;Listed monuments total;Agglomeratie 's-Gravenhage (CR);2000;1327
2346;Listed monuments total;Agglomeratie 's-Gravenhage (CR);2001;1383
2347;Listed monuments total;Agglomeratie 's-Gravenhage (CR);2002;1523
2348;Listed monuments total;Agglomeratie 's-Gravenhage (CR);2003;1584
2349;Listed monuments total;Agglomeratie 's-Gravenhage (CR);2004;1619
2350;Listed monuments total;Agglomeratie 's-Gravenhage (CR);2005;1640
2351;Listed monuments total;Agglomeratie 's-Gravenhage (CR);2006;1669
2352;Listed monuments total;Agglomeratie 's-Gravenhage (CR);2007;1673
2353;Listed monuments total;Agglomeratie 's-Gravenhage (CR);2008;1703
2354;Listed monuments total;Agglomeratie 's-Gravenhage (CR);2009;1705
2355;Listed monuments total;Agglomeratie 's-Gravenhage (CR);2010;1737
2356;Listed monuments total;Agglomeratie 's-Gravenhage (CR);2011;1741
2357;Listed monuments total;Agglomeratie 's-Gravenhage (CR);2012;1741
2358;Listed monuments total;Agglomeratie 's-Gravenhage (CR);2013;1741
2359;Listed monuments total;Agglomeratie 's-Gravenhage (CR);2014;1745
2360;Listed monuments total;Agglomeratie 's-Gravenhage (CR);2015;1747
2361;Listed monuments total;Agglomeratie 's-Gravenhage (CR);2016;1747
2362;Listed monuments total;Agglomeratie 's-Gravenhage (CR);2017;1748
2363;Listed monuments total;Agglomeratie 's-Gravenhage (CR);2018;1748
2364;Listed monuments total;Agglomeratie 's-Gravenhage (CR);2019;1750
2365;Listed monuments total;Delft en Westland (CR);1965;0
2366;Listed monuments total;Delft en Westland (CR);1966;38
2367;Listed monuments total;Delft en Westland (CR);1967;613
2368;Listed monuments total;Delft en Westland (CR);1968;616
2369;Listed monuments total;Delft en Westland (CR);1969;639
