ID;InstitutionalSectors;AssetsAndLiabilities;FinancialInstruments;StocksAndFlows;Periods;FinancialTransactionsAndBalanceSheet_1
370;General government;Assets;AF Total financial instruments;Other changes;2018 4th quarter;2709
371;General government;Assets;AF Total financial instruments;Other changes;2018;576
372;General government;Assets;AF Total financial instruments;Other changes;2019 1st quarter;3534
373;General government;Assets;AF Total financial instruments;Other changes;2019 2nd quarter;4872
374;General government;Assets;AF Total financial instruments;Other changes;2019 3rd quarter;5367
375;General government;Assets;AF Total financial instruments;Other changes;2019 4th quarter;-2838
376;General government;Assets;AF Total financial instruments;Other changes;2019;10935
377;General government;Assets;AF Total financial instruments;Other changes;2020 1st quarter;-1669
378;General government;Assets;AF Total financial instruments;Other changes;2020 2nd quarter;3281
379;General government;Assets;AF Total financial instruments;Other changes;2020 3rd quarter;973
380;General government;Assets;AF Total financial instruments;Other changes;2020 4th quarter;-451
381;General government;Assets;AF Total financial instruments;Other changes;2020;2134
382;General government;Assets;AF Total financial instruments;Other changes;2021 1st quarter;-3682
383;General government;Assets;AF Total financial instruments;Other changes;2021 2nd quarter;358
384;General government;Assets;AF Total financial instruments;Other changes;2021 3rd quarter;1814
385;General government;Assets;AF Total financial instruments;Other changes;2021 4th quarter;3183
386;General government;Assets;AF Total financial instruments;Other changes;2021;1673
387;General government;Assets;AF Total financial instruments;Other changes;2022 1st quarter;-9953
388;General government;Assets;AF Total financial instruments;Other changes;2022 2nd quarter;-13292
389;General government;Assets;AF Total financial instruments;Other changes;2022 3rd quarter;-8937
390;General government;Assets;AF Total financial instruments;Other changes;2022 4th quarter;1699
391;General government;Assets;AF Total financial instruments;Other changes;2022;-30483
392;General government;Assets;AF Total financial instruments;Other changes;2023 1st quarter;5132
393;General government;Assets;AF Total financial instruments;Other changes;2023 2nd quarter;-435
394;General government;Assets;AF Total financial instruments;Other changes;2023 3rd quarter;-3872
395;General government;Assets;AF Total financial instruments;Other changes;2023 4th quarter;12462
396;General government;Assets;AF Total financial instruments;Other changes;2023;13287
397;General government;Assets;AF Total financial instruments;Other changes;2024 1st quarter;987
398;General government;Assets;AF Total financial instruments;Other changes;2024 2nd quarter;1585
399;General government;Assets;AF Total financial instruments;Other changes;2024 3rd quarter;8781
400;General government;Assets;AF Total financial instruments;Other changes;2024 4th quarter;3479
401;General government;Assets;AF Total financial instruments;Other changes;2024;14832
402;General government;Assets;AF Total financial instruments;Closing balance sheet;1995;138642
403;General government;Assets;AF Total financial instruments;Closing balance sheet;1996;142063
404;General government;Assets;AF Total financial instruments;Closing balance sheet;1997;142825
405;General government;Assets;AF Total financial instruments;Closing balance sheet;1998;149393
406;General government;Assets;AF Total financial instruments;Closing balance sheet;1999 1st quarter;149511
407;General government;Assets;AF Total financial instruments;Closing balance sheet;1999 2nd quarter;150647
408;General government;Assets;AF Total financial instruments;Closing balance sheet;1999 3rd quarter;152626
409;General government;Assets;AF Total financial instruments;Closing balance sheet;1999 4th quarter;166115
410;General government;Assets;AF Total financial instruments;Closing balance sheet;1999;166115
411;General government;Assets;AF Total financial instruments;Closing balance sheet;2000 1st quarter;175832
412;General government;Assets;AF Total financial instruments;Closing balance sheet;2000 2nd quarter;165432
413;General government;Assets;AF Total financial instruments;Closing balance sheet;2000 3rd quarter;160297
414;General government;Assets;AF Total financial instruments;Closing balance sheet;2000 4th quarter;153421
415;General government;Assets;AF Total financial instruments;Closing balance sheet;2000;153421
416;General government;Assets;AF Total financial instruments;Closing balance sheet;2001 1st quarter;153469
417;General government;Assets;AF Total financial instruments;Closing balance sheet;2001 2nd quarter;156065
418;General government;Assets;AF Total financial instruments;Closing balance sheet;2001 3rd quarter;145741
419;General government;Assets;AF Total financial instruments;Closing balance sheet;2001 4th quarter;145145
420;General government;Assets;AF Total financial instruments;Closing balance sheet;2001;145145
421;General government;Assets;AF Total financial instruments;Closing balance sheet;2002 1st quarter;149423
422;General government;Assets;AF Total financial instruments;Closing balance sheet;2002 2nd quarter;146815
423;General government;Assets;AF Total financial instruments;Closing balance sheet;2002 3rd quarter;139622
424;General government;Assets;AF Total financial instruments;Closing balance sheet;2002 4th quarter;135780
425;General government;Assets;AF Total financial instruments;Closing balance sheet;2002;135780
426;General government;Assets;AF Total financial instruments;Closing balance sheet;2003 1st quarter;138502
427;General government;Assets;AF Total financial instruments;Closing balance sheet;2003 2nd quarter;137516
428;General government;Assets;AF Total financial instruments;Closing balance sheet;2003 3rd quarter;139855
429;General government;Assets;AF Total financial instruments;Closing balance sheet;2003 4th quarter;136813
430;General government;Assets;AF Total financial instruments;Closing balance sheet;2003;136813
431;General government;Assets;AF Total financial instruments;Closing balance sheet;2004 1st quarter;141300
432;General government;Assets;AF Total financial instruments;Closing balance sheet;2004 2nd quarter;146492
433;General government;Assets;AF Total financial instruments;Closing balance sheet;2004 3rd quarter;144859
434;General government;Assets;AF Total financial instruments;Closing balance sheet;2004 4th quarter;137405
435;General government;Assets;AF Total financial instruments;Closing balance sheet;2004;137405
436;General government;Assets;AF Total financial instruments;Closing balance sheet;2005 1st quarter;142051
437;General government;Assets;AF Total financial instruments;Closing balance sheet;2005 2nd quarter;156703
438;General government;Assets;AF Total financial instruments;Closing balance sheet;2005 3rd quarter;152690
439;General government;Assets;AF Total financial instruments;Closing balance sheet;2005 4th quarter;152576
440;General government;Assets;AF Total financial instruments;Closing balance sheet;2005;152576
441;General government;Assets;AF Total financial instruments;Closing balance sheet;2006 1st quarter;148708
442;General government;Assets;AF Total financial instruments;Closing balance sheet;2006 2nd quarter;150382
443;General government;Assets;AF Total financial instruments;Closing balance sheet;2006 3rd quarter;143380
444;General government;Assets;AF Total financial instruments;Closing balance sheet;2006 4th quarter;141130
