ID;RegioS;SamenstellingVanHetHuishouden;AantalHuishoudensMet52WekenInkomen_1;PercentageHuishMetEenLaagInkomen_2
1893;Noordwijk;Paar met kinderen;3.0;4.6
1894;Noordwijk;Eenoudergezin;0.5;17.8
1895;Noordwijkerhout;Totaal particulier huishouden;5.6;6.4
1896;Noordwijkerhout;Eenpersoonshuishouden;1.6;10.6
1897;Noordwijkerhout;Paar zonder kinderen;1.6;3.5
1898;Noordwijkerhout;Paar met kinderen;2.0;3.6
1899;Noordwijkerhout;Eenoudergezin;0.3;15.2
1900;Oegstgeest;Totaal particulier huishouden;8.2;5.4
1901;Oegstgeest;Eenpersoonshuishouden;2.5;7.8
1902;Oegstgeest;Paar zonder kinderen;2.5;3.0
1903;Oegstgeest;Paar met kinderen;2.6;3.5
1904;Oegstgeest;Eenoudergezin;0.4;18.6
1905;Oostflakkee;Totaal particulier huishouden;3.9;7.0
1906;Oostflakkee;Eenpersoonshuishouden;0.9;12.6
1907;Oostflakkee;Paar zonder kinderen;1.3;2.6
1908;Oostflakkee;Paar met kinderen;1.4;5.0
1909;Oostflakkee;Eenoudergezin;0.1;26.5
1910;Oud-Beijerland;Totaal particulier huishouden;8.8;4.4
1911;Oud-Beijerland;Eenpersoonshuishouden;2.1;8.6
1912;Oud-Beijerland;Paar zonder kinderen;2.8;1.4
1913;Oud-Beijerland;Paar met kinderen;3.3;2.9
1914;Oud-Beijerland;Eenoudergezin;0.3;17.3
1915;Binnenmaas;Totaal particulier huishouden;7.6;4.9
1916;Binnenmaas;Eenpersoonshuishouden;1.6;9.1
1917;Binnenmaas;Paar zonder kinderen;2.9;2.8
1918;Binnenmaas;Paar met kinderen;2.6;3.6
1919;Binnenmaas;Eenoudergezin;0.3;15.3
1920;Korendijk;Totaal particulier huishouden;4.1;4.7
1921;Korendijk;Eenpersoonshuishouden;0.9;7.4
1922;Korendijk;Paar zonder kinderen;1.5;2.2
1923;Korendijk;Paar met kinderen;1.5;4.5
1924;Korendijk;Eenoudergezin;0.1;19.3
1925;Oudewater;Totaal particulier huishouden;3.6;4.6
1926;Oudewater;Eenpersoonshuishouden;1.0;9.0
1927;Oudewater;Paar zonder kinderen;1.1;1.7
1928;Oudewater;Paar met kinderen;1.3;3.1
1929;Oudewater;Eenoudergezin;0.2;5.7
1930;Papendrecht;Totaal particulier huishouden;12.2;6.4
1931;Papendrecht;Eenpersoonshuishouden;3.2;11.6
1932;Papendrecht;Paar zonder kinderen;4.1;2.6
1933;Papendrecht;Paar met kinderen;4.0;3.9
1934;Papendrecht;Eenoudergezin;0.5;26.1
1935;Reeuwijk;Totaal particulier huishouden;4.7;4.9
1936;Reeuwijk;Eenpersoonshuishouden;1.0;7.0
1937;Reeuwijk;Paar zonder kinderen;1.6;3.6
1938;Reeuwijk;Paar met kinderen;1.8;4.6
1939;Reeuwijk;Eenoudergezin;0.2;9.8
1940;Ridderkerk;Totaal particulier huishouden;19.1;6.0
1941;Ridderkerk;Eenpersoonshuishouden;5.3;10.1
1942;Ridderkerk;Paar zonder kinderen;6.7;2.4
1943;Ridderkerk;Paar met kinderen;5.6;3.8
1944;Ridderkerk;Eenoudergezin;0.8;23.6
1945;Rotterdam;Totaal particulier huishouden;266.8;17.1
1946;Rotterdam;Eenpersoonshuishouden;116.4;19.8
1947;Rotterdam;Paar zonder kinderen;65.2;7.0
1948;Rotterdam;Paar met kinderen;48.4;14.5
1949;Rotterdam;Eenoudergezin;22.8;39.9
1950;Rozenburg;Totaal particulier huishouden;5.5;6.8
1951;Rozenburg;Eenpersoonshuishouden;1.6;12.9
1952;Rozenburg;Paar zonder kinderen;2.0;2.0
1953;Rozenburg;Paar met kinderen;1.6;3.2
1954;Rozenburg;Eenoudergezin;0.2;28.0
1955;Rijnsburg;Totaal particulier huishouden;5.3;5.7
1956;Rijnsburg;Eenpersoonshuishouden;1.2;7.1
1957;Rijnsburg;Paar zonder kinderen;1.5;3.7
1958;Rijnsburg;Paar met kinderen;2.3;4.5
1959;Rijnsburg;Eenoudergezin;0.2;27.4
1960;Rijswijk (ZH.);Totaal particulier huishouden;22.7;7.9
1961;Rijswijk (ZH.);Eenpersoonshuishouden;9.1;9.7
1962;Rijswijk (ZH.);Paar zonder kinderen;7.1;2.7
1963;Rijswijk (ZH.);Paar met kinderen;4.5;5.3
1964;Rijswijk (ZH.);Eenoudergezin;1.3;31.3
1965;Sassenheim;Totaal particulier huishouden;5.9;4.3
1966;Sassenheim;Eenpersoonshuishouden;1.7;4.5
1967;Sassenheim;Paar zonder kinderen;1.9;1.6
1968;Sassenheim;Paar met kinderen;1.9;3.6
1969;Sassenheim;Eenoudergezin;0.3;24.1
1970;Schiedam;Totaal particulier huishouden;32.8;11.8
1971;Schiedam;Eenpersoonshuishouden;12.0;14.1
1972;Schiedam;Paar zonder kinderen;9.5;5.0
1973;Schiedam;Paar met kinderen;7.8;9.6
1974;Schiedam;Eenoudergezin;2.0;39.1
1975;Schipluiden;Totaal particulier huishouden;4.0;4.3
1976;Schipluiden;Eenpersoonshuishouden;0.8;8.8
1977;Schipluiden;Paar zonder kinderen;1.2;2.0
1978;Schipluiden;Paar met kinderen;1.7;2.9
1979;Schipluiden;Eenoudergezin;0.1;9.4
1980;Schoonhoven;Totaal particulier huishouden;4.8;4.8
1981;Schoonhoven;Eenpersoonshuishouden;1.3;5.6
1982;Schoonhoven;Paar zonder kinderen;1.5;2.8
1983;Schoonhoven;Paar met kinderen;1.6;4.1
1984;Schoonhoven;Eenoudergezin;0.2;20.7
1985;Sliedrecht;Totaal particulier huishouden;9.3;6.1
1986;Sliedrecht;Eenpersoonshuishouden;2.8;10.4
1987;Sliedrecht;Paar zonder kinderen;2.9;2.7
1988;Sliedrecht;Paar met kinderen;3.0;3.5
1989;Sliedrecht;Eenoudergezin;0.3;23.9
1990;Cromstrijen;Totaal particulier huishouden;5.1;5.4
1991;Cromstrijen;Eenpersoonshuishouden;1.1;8.6
1992;Cromstrijen;Paar zonder kinderen;1.9;2.7
1993;Cromstrijen;Paar met kinderen;1.8;5.0
1994;Cromstrijen;Eenoudergezin;0.2;19.9
1995;Spijkenisse;Totaal particulier huishouden;30.4;7.7
1996;Spijkenisse;Eenpersoonshuishouden;8.2;12.7
1997;Spijkenisse;Paar zonder kinderen;9.6;2.1
1998;Spijkenisse;Paar met kinderen;9.6;3.8
1999;Spijkenisse;Eenoudergezin;1.9;34.8
2000;Albrandswaard;Totaal particulier huishouden;7.1;4.7
2001;Albrandswaard;Eenpersoonshuishouden;1.6;9.6
2002;Albrandswaard;Paar zonder kinderen;2.4;0.5
2003;Albrandswaard;Paar met kinderen;2.6;3.4
2004;Albrandswaard;Eenoudergezin;0.2;29.9
2005;Westvoorne;Totaal particulier huishouden;5.7;5.5
2006;Westvoorne;Eenpersoonshuishouden;1.4;8.1
2007;Westvoorne;Paar zonder kinderen;2.1;3.3
2008;Westvoorne;Paar met kinderen;1.8;4.1
2009;Westvoorne;Eenoudergezin;0.2;23.7
2010;Strijen;Totaal particulier huishouden;3.6;3.3
2011;Strijen;Eenpersoonshuishouden;0.8;6.9
2012;Strijen;Paar zonder kinderen;1.2;1.9
2013;Strijen;Paar met kinderen;1.3;2.3
2014;Strijen;Eenoudergezin;0.1;10.3
2015;Valkenburg (ZH.);Totaal particulier huishouden;1.3;3.1
2016;Valkenburg (ZH.);Eenpersoonshuishouden;0.3;3.7
2017;Valkenburg (ZH.);Paar zonder kinderen;0.4;4.1
2018;Valkenburg (ZH.);Paar met kinderen;0.6;2.3
2019;Valkenburg (ZH.);Eenoudergezin;;
2020;Vianen;Totaal particulier huishouden;7.5;5.2
2021;Vianen;Eenpersoonshuishouden;1.7;7.7
2022;Vianen;Paar zonder kinderen;2.5;2.5
2023;Vianen;Paar met kinderen;2.6;3.4
2024;Vianen;Eenoudergezin;0.4;27.6
2025;Vlaardingen;Totaal particulier huishouden;32.7;9.5
2026;Vlaardingen;Eenpersoonshuishouden;11.8;12.2
2027;Vlaardingen;Paar zonder kinderen;10.1;4.0
2028;Vlaardingen;Paar met kinderen;8.0;6.7
2029;Vlaardingen;Eenoudergezin;1.8;34.3
2030;Vlist;Totaal particulier huishouden;3.6;6.6
2031;Vlist;Eenpersoonshuishouden;0.8;6.6
2032;Vlist;Paar zonder kinderen;1.2;3.3
2033;Vlist;Paar met kinderen;1.3;6.6
2034;Vlist;Eenoudergezin;0.1;34.3
2035;Voorhout;Totaal particulier huishouden;5.0;4.7
2036;Voorhout;Eenpersoonshuishouden;0.9;10.7
2037;Voorhout;Paar zonder kinderen;1.5;4.0
2038;Voorhout;Paar met kinderen;2.3;1.6
2039;Voorhout;Eenoudergezin;0.1;15.7
2040;Voorschoten;Totaal particulier huishouden;9.1;5.2
2041;Voorschoten;Eenpersoonshuishouden;2.8;8.5
2042;Voorschoten;Paar zonder kinderen;3.0;2.9
2043;Voorschoten;Paar met kinderen;2.7;2.0
2044;Voorschoten;Eenoudergezin;0.4;19.3
2045;Waddinxveen;Totaal particulier huishouden;10.3;5.3
2046;Waddinxveen;Eenpersoonshuishouden;2.5;8.7
2047;Waddinxveen;Paar zonder kinderen;3.4;2.5
2048;Waddinxveen;Paar met kinderen;3.6;2.8
2049;Waddinxveen;Eenoudergezin;0.4;29.6
2050;Warmond;Totaal particulier huishouden;1.9;3.9
2051;Warmond;Eenpersoonshuishouden;0.6;4.9
2052;Warmond;Paar zonder kinderen;0.6;2.3
2053;Warmond;Paar met kinderen;0.6;2.5
2054;Warmond;Eenoudergezin;0.1;15.3
2055;Wassenaar;Totaal particulier huishouden;10.4;7.2
2056;Wassenaar;Eenpersoonshuishouden;3.5;7.6
2057;Wassenaar;Paar zonder kinderen;3.2;4.4
2058;Wassenaar;Paar met kinderen;2.8;6.6
2059;Wassenaar;Eenoudergezin;0.5;22.7
2060;Wateringen;Totaal particulier huishouden;6.3;4.8
2061;Wateringen;Eenpersoonshuishouden;1.5;6.6
2062;Wateringen;Paar zonder kinderen;2.1;1.9
2063;Wateringen;Paar met kinderen;2.2;4.3
2064;Wateringen;Eenoudergezin;0.2;23.1
2065;Woerden;Totaal particulier huishouden;18.1;5.3
2066;Woerden;Eenpersoonshuishouden;4.7;7.4
2067;Woerden;Paar zonder kinderen;5.7;3.0
2068;Woerden;Paar met kinderen;6.4;3.8
2069;Woerden;Eenoudergezin;0.7;21.0
2070;Zoetermeer;Totaal particulier huishouden;45.0;7.3
2071;Zoetermeer;Eenpersoonshuishouden;12.9;11.2
2072;Zoetermeer;Paar zonder kinderen;13.0;2.7
2073;Zoetermeer;Paar met kinderen;14.5;4.2
2074;Zoetermeer;Eenoudergezin;3.0;24.9
2075;Zoeterwoude;Totaal particulier huishouden;3.0;5.0
2076;Zoeterwoude;Eenpersoonshuishouden;0.6;7.1
2077;Zoeterwoude;Paar zonder kinderen;1.0;2.5
2078;Zoeterwoude;Paar met kinderen;1.2;4.6
2079;Zoeterwoude;Eenoudergezin;0.1;17.1
2080;Zwijndrecht;Totaal particulier huishouden;18.7;7.0
2081;Zwijndrecht;Eenpersoonshuishouden;5.5;10.7
2082;Zwijndrecht;Paar zonder kinderen;6.0;2.8
2083;Zwijndrecht;Paar met kinderen;5.6;5.1
2084;Zwijndrecht;Eenoudergezin;0.9;22.1
2085;Nederlek;Totaal particulier huishouden;5.8;4.0
2086;Nederlek;Eenpersoonshuishouden;1.4;6.6
2087;Nederlek;Paar zonder kinderen;2.0;2.3
2088;Nederlek;Paar met kinderen;2.0;2.5
2089;Nederlek;Eenoudergezin;0.2;21.3
2090;Ouderkerk;Totaal particulier huishouden;2.9;6.4
2091;Ouderkerk;Eenpersoonshuishouden;0.6;9.4
2092;Ouderkerk;Paar zonder kinderen;0.9;5.1
2093;Ouderkerk;Paar met kinderen;1.1;4.3
2094;Ouderkerk;Eenoudergezin;0.1;21.1
2095;Jacobswoude;Totaal particulier huishouden;4.0;5.7
2096;Jacobswoude;Eenpersoonshuishouden;0.8;9.7
2097;Jacobswoude;Paar zonder kinderen;1.3;3.9
2098;Jacobswoude;Paar met kinderen;1.5;4.6
2099;Jacobswoude;Eenoudergezin;0.1;21.0
2100;GaasterlÔn-Sleat;Totaal particulier huishouden;4.0;7.8
2101;GaasterlÔn-Sleat;Eenpersoonshuishouden;1.1;11.8
2102;GaasterlÔn-Sleat;Paar zonder kinderen;1.4;4.8
2103;GaasterlÔn-Sleat;Paar met kinderen;1.3;7.5
2104;GaasterlÔn-Sleat;Eenoudergezin;0.1;13.8
2105;Borsele;Totaal particulier huishouden;8.6;6.8
2106;Borsele;Eenpersoonshuishouden;2.1;10.2
2107;Borsele;Paar zonder kinderen;2.9;3.7
2108;Borsele;Paar met kinderen;3.0;5.2
2109;Borsele;Eenoudergezin;0.4;24.9
2110;Goes;Totaal particulier huishouden;15.3;8.0
2111;Goes;Eenpersoonshuishouden;5.2;13.6
2112;Goes;Paar zonder kinderen;5.0;2.9
2113;Goes;Paar met kinderen;4.1;4.4
2114;Goes;Eenoudergezin;0.6;31.2
2115;West Maas en Waal;Totaal particulier huishouden;6.9;6.4
2116;West Maas en Waal;Eenpersoonshuishouden;1.5;9.3
2117;West Maas en Waal;Paar zonder kinderen;2.3;4.6
2118;West Maas en Waal;Paar met kinderen;2.6;4.2
2119;West Maas en Waal;Eenoudergezin;0.2;33.2
2120;Hulst;Totaal particulier huishouden;11.0;7.6
2121;Hulst;Eenpersoonshuishouden;3.0;12.4
2122;Hulst;Paar zonder kinderen;4.0;5.7
2123;Hulst;Paar met kinderen;3.3;3.9
2124;Hulst;Eenoudergezin;0.3;23.5
2125;Kapelle;Totaal particulier huishouden;4.4;4.3
2126;Kapelle;Eenpersoonshuishouden;0.9;6.1
2127;Kapelle;Paar zonder kinderen;1.6;2.0
2128;Kapelle;Paar met kinderen;1.6;3.4
2129;Kapelle;Eenoudergezin;0.1;25.9
2130;Wymbritseradiel;Totaal particulier huishouden;6.0;8.7
2131;Wymbritseradiel;Eenpersoonshuishouden;1.4;13.2
2132;Wymbritseradiel;Paar zonder kinderen;2.0;5.5
2133;Wymbritseradiel;Paar met kinderen;2.2;8.3
2134;Wymbritseradiel;Eenoudergezin;0.2;21.3
2135;Middelburg (Z.);Totaal particulier huishouden;19.4;9.4
2136;Middelburg (Z.);Eenpersoonshuishouden;6.6;15.1
2137;Middelburg (Z.);Paar zonder kinderen;6.3;3.2
2138;Middelburg (Z.);Paar met kinderen;5.2;5.8
2139;Middelburg (Z.);Eenoudergezin;0.8;33.0
2140;Giessenlanden;Totaal particulier huishouden;5.3;5.6
2141;Giessenlanden;Eenpersoonshuishouden;1.1;9.0
2142;Giessenlanden;Paar zonder kinderen;1.8;4.5
2143;Giessenlanden;Paar met kinderen;2.0;3.7
2144;Giessenlanden;Eenoudergezin;0.2;18.6
2145;Graafstroom;Totaal particulier huishouden;3.2;4.7
2146;Graafstroom;Eenpersoonshuishouden;0.6;4.4
2147;Graafstroom;Paar zonder kinderen;0.9;3.7
2148;Graafstroom;Paar met kinderen;1.4;4.7
2149;Graafstroom;Eenoudergezin;0.1;9.7
2150;Liesveld;Totaal particulier huishouden;3.4;4.0
2151;Liesveld;Eenpersoonshuishouden;0.7;6.9
2152;Liesveld;Paar zonder kinderen;1.0;1.7
2153;Liesveld;Paar met kinderen;1.4;3.4
2154;Liesveld;Eenoudergezin;0.1;17.5
2155;Reimerswaal;Totaal particulier huishouden;7.6;6.6
2156;Reimerswaal;Eenpersoonshuishouden;2.0;8.5
2157;Reimerswaal;Paar zonder kinderen;2.4;3.4
2158;Reimerswaal;Paar met kinderen;2.8;6.9
2159;Reimerswaal;Eenoudergezin;0.2;21.1
2160;Zederik;Totaal particulier huishouden;4.8;5.4
2161;Zederik;Eenpersoonshuishouden;1.0;9.1
2162;Zederik;Paar zonder kinderen;1.5;4.3
2163;Zederik;Paar met kinderen;1.9;3.6
2164;Zederik;Eenoudergezin;0.2;14.5
2165;Wûnseradiel;Totaal particulier huishouden;4.6;9.9
2166;Wûnseradiel;Eenpersoonshuishouden;1.2;13.7
2167;Wûnseradiel;Paar zonder kinderen;1.5;6.5
2168;Wûnseradiel;Paar met kinderen;1.6;8.0
2169;Wûnseradiel;Eenoudergezin;0.1;37.7
2170;Terneuzen;Totaal particulier huishouden;23.0;8.1
2171;Terneuzen;Eenpersoonshuishouden;6.7;12.9
2172;Terneuzen;Paar zonder kinderen;8.1;3.4
2173;Terneuzen;Paar met kinderen;6.2;4.9
2174;Terneuzen;Eenoudergezin;1.0;32.9
2175;Tholen;Totaal particulier huishouden;8.9;7.0
2176;Tholen;Eenpersoonshuishouden;2.3;10.1
2177;Tholen;Paar zonder kinderen;2.9;3.9
2178;Tholen;Paar met kinderen;3.2;5.8
2179;Tholen;Eenoudergezin;0.3;26.2
2180;Veere;Totaal particulier huishouden;8.6;7.2
2181;Veere;Eenpersoonshuishouden;2.2;12.5
2182;Veere;Paar zonder kinderen;3.0;5.1
2183;Veere;Paar met kinderen;2.9;4.4
2184;Veere;Eenoudergezin;0.3;20.8
2185;Vlissingen;Totaal particulier huishouden;19.5;11.1
2186;Vlissingen;Eenpersoonshuishouden;6.8;16.8
2187;Vlissingen;Paar zonder kinderen;6.6;3.7
2188;Vlissingen;Paar met kinderen;4.6;6.3
2189;Vlissingen;Eenoudergezin;1.0;44.9
2190;Lingewaal;Totaal particulier huishouden;3.8;6.0
2191;Lingewaal;Eenpersoonshuishouden;0.7;11.4
2192;Lingewaal;Paar zonder kinderen;1.2;3.5
2193;Lingewaal;Paar met kinderen;1.6;4.5
2194;Lingewaal;Eenoudergezin;0.2;14.2
2195;De Ronde Venen;Totaal particulier huishouden;13.2;6.1
2196;De Ronde Venen;Eenpersoonshuishouden;3.3;9.2
2197;De Ronde Venen;Paar zonder kinderen;4.1;3.5
2198;De Ronde Venen;Paar met kinderen;4.8;4.8
2199;De Ronde Venen;Eenoudergezin;0.6;19.9
2200;Tytsjerksteradiel;Totaal particulier huishouden;12.3;6.7
2201;Tytsjerksteradiel;Eenpersoonshuishouden;3.0;10.1
2202;Tytsjerksteradiel;Paar zonder kinderen;4.4;3.7
2203;Tytsjerksteradiel;Paar met kinderen;4.2;5.7
2204;Tytsjerksteradiel;Eenoudergezin;0.4;25.6
2205;Aalburg;Totaal particulier huishouden;4.0;6.6
2206;Aalburg;Eenpersoonshuishouden;0.8;12.6
2207;Aalburg;Paar zonder kinderen;1.1;3.7
2208;Aalburg;Paar met kinderen;1.9;5.5
2209;Aalburg;Eenoudergezin;0.1;10.4
2210;Asten;Totaal particulier huishouden;5.9;6.2
2211;Asten;Eenpersoonshuishouden;1.3;6.6
2212;Asten;Paar zonder kinderen;1.9;5.8
2213;Asten;Paar met kinderen;2.3;5.7
2214;Asten;Eenoudergezin;0.2;17.3
2215;Baarle-Nassau;Totaal particulier huishouden;2.6;9.6
2216;Baarle-Nassau;Eenpersoonshuishouden;0.7;16.5
2217;Baarle-Nassau;Paar zonder kinderen;0.9;6.4
2218;Baarle-Nassau;Paar met kinderen;0.8;7.7
2219;Baarle-Nassau;Eenoudergezin;0.1;13.0
2220;Bergen op Zoom;Totaal particulier huishouden;26.9;8.8
2221;Bergen op Zoom;Eenpersoonshuishouden;8.1;13.1
2222;Bergen op Zoom;Paar zonder kinderen;8.7;4.6
2223;Bergen op Zoom;Paar met kinderen;7.9;6.2
2224;Bergen op Zoom;Eenoudergezin;1.2;28.4
2225;Best;Totaal particulier huishouden;10.9;5.6
2226;Best;Eenpersoonshuishouden;2.4;8.7
2227;Best;Paar zonder kinderen;3.7;3.0
2228;Best;Paar met kinderen;3.9;3.7
2229;Best;Eenoudergezin;0.4;25.1
2230;Boekel;Totaal particulier huishouden;3.2;5.7
2231;Boekel;Eenpersoonshuishouden;0.6;6.1
2232;Boekel;Paar zonder kinderen;0.9;1.8
2233;Boekel;Paar met kinderen;1.5;6.9
2234;Boekel;Eenoudergezin;0.1;23.4
2235;Boxmeer;Totaal particulier huishouden;11.0;6.7
2236;Boxmeer;Eenpersoonshuishouden;2.6;11.1
2237;Boxmeer;Paar zonder kinderen;3.5;3.7
2238;Boxmeer;Paar met kinderen;4.1;4.8
2239;Boxmeer;Eenoudergezin;0.4;29.3
2240;Boxtel;Totaal particulier huishouden;11.4;8.4
2241;Boxtel;Eenpersoonshuishouden;3.0;15.6
2242;Boxtel;Paar zonder kinderen;3.6;2.8
2243;Boxtel;Paar met kinderen;3.7;5.3
2244;Boxtel;Eenoudergezin;0.5;27.4
2245;Breda;Totaal particulier huishouden;68.6;9.3
2246;Breda;Eenpersoonshuishouden;23.4;13.3
2247;Breda;Paar zonder kinderen;22.0;3.9
2248;Breda;Paar met kinderen;17.4;6.4
2249;Breda;Eenoudergezin;3.3;34.4
2250;Deurne;Totaal particulier huishouden;11.8;6.5
2251;Deurne;Eenpersoonshuishouden;2.6;9.5
2252;Deurne;Paar zonder kinderen;3.7;3.8
2253;Deurne;Paar met kinderen;4.5;5.4
2254;Deurne;Eenoudergezin;0.5;24.2
2255;Pekela;Totaal particulier huishouden;5.5;10.5
2256;Pekela;Eenpersoonshuishouden;1.4;13.8
2257;Pekela;Paar zonder kinderen;2.0;6.3
2258;Pekela;Paar met kinderen;1.7;8.4
2259;Pekela;Eenoudergezin;0.2;44.1
2260;Dongen;Totaal particulier huishouden;9.6;5.7
2261;Dongen;Eenpersoonshuishouden;2.3;6.5
2262;Dongen;Paar zonder kinderen;3.2;3.5
2263;Dongen;Paar met kinderen;3.4;3.7
2264;Dongen;Eenoudergezin;0.4;35.4
2265;Eersel;Totaal particulier huishouden;6.6;6.0
2266;Eersel;Eenpersoonshuishouden;1.4;10.2
2267;Eersel;Paar zonder kinderen;2.2;2.5
2268;Eersel;Paar met kinderen;2.5;5.0
2269;Eersel;Eenoudergezin;0.2;24.1
2270;Eindhoven;Totaal particulier huishouden;89.1;10.8
2271;Eindhoven;Eenpersoonshuishouden;34.3;14.8
2272;Eindhoven;Paar zonder kinderen;27.7;4.8
2273;Eindhoven;Paar met kinderen;19.5;7.5
2274;Eindhoven;Eenoudergezin;4.2;35.1
2275;Etten-Leur;Totaal particulier huishouden;15.3;7.5
2276;Etten-Leur;Eenpersoonshuishouden;3.8;14.1
2277;Etten-Leur;Paar zonder kinderen;5.2;2.4
2278;Etten-Leur;Paar met kinderen;5.1;4.9
2279;Etten-Leur;Eenoudergezin;0.7;30.3
2280;Geertruidenberg;Totaal particulier huishouden;8.4;5.2
2281;Geertruidenberg;Eenpersoonshuishouden;2.0;9.1
2282;Geertruidenberg;Paar zonder kinderen;2.8;2.8
2283;Geertruidenberg;Paar met kinderen;3.0;3.4
2284;Geertruidenberg;Eenoudergezin;0.3;20.0
2285;Geldrop;Totaal particulier huishouden;11.6;7.4
2286;Geldrop;Eenpersoonshuishouden;3.4;12.3
2287;Geldrop;Paar zonder kinderen;3.8;3.8
2288;Geldrop;Paar met kinderen;3.5;4.1
2289;Geldrop;Eenoudergezin;0.5;23.0
2290;Gilze en Rijen;Totaal particulier huishouden;9.5;6.0
2291;Gilze en Rijen;Eenpersoonshuishouden;2.1;7.6
2292;Gilze en Rijen;Paar zonder kinderen;3.2;5.1
2293;Gilze en Rijen;Paar met kinderen;3.5;4.1
2294;Gilze en Rijen;Eenoudergezin;0.4;24.9
2295;Goirle;Totaal particulier huishouden;8.5;6.7
2296;Goirle;Eenpersoonshuishouden;1.9;12.5
2297;Goirle;Paar zonder kinderen;3.0;4.4
2298;Goirle;Paar met kinderen;3.1;3.1
2299;Goirle;Eenoudergezin;0.3;27.6
2300;Grave;Totaal particulier huishouden;4.8;7.0
2301;Grave;Eenpersoonshuishouden;1.1;13.4
2302;Grave;Paar zonder kinderen;1.6;4.5
2303;Grave;Paar met kinderen;1.7;2.4
2304;Grave;Eenoudergezin;0.2;38.5
2305;Haaren;Totaal particulier huishouden;4.9;5.9
2306;Haaren;Eenpersoonshuishouden;1.0;7.9
2307;Haaren;Paar zonder kinderen;1.6;2.5
2308;Haaren;Paar met kinderen;1.9;6.7
2309;Haaren;Eenoudergezin;0.2;18.6
2310;Helmond;Totaal particulier huishouden;34.6;11.0
2311;Helmond;Eenpersoonshuishouden;9.8;14.8
2312;Helmond;Paar zonder kinderen;11.4;7.2
2313;Helmond;Paar met kinderen;10.2;6.9
2314;Helmond;Eenoudergezin;1.7;41.3
2315;'s-Hertogenbosch;Totaal particulier huishouden;55.4;10.0
2316;'s-Hertogenbosch;Eenpersoonshuishouden;18.9;14.5
2317;'s-Hertogenbosch;Paar zonder kinderen;16.5;5.0
2318;'s-Hertogenbosch;Paar met kinderen;14.9;6.1
2319;'s-Hertogenbosch;Eenoudergezin;2.6;34.7
2320;Heusden;Totaal particulier huishouden;16.0;6.1
2321;Heusden;Eenpersoonshuishouden;3.3;8.9
2322;Heusden;Paar zonder kinderen;5.3;4.4
2323;Heusden;Paar met kinderen;6.1;4.1
2324;Heusden;Eenoudergezin;0.7;27.1
2325;Hilvarenbeek;Totaal particulier huishouden;5.4;4.5
2326;Hilvarenbeek;Eenpersoonshuishouden;1.1;6.3
2327;Hilvarenbeek;Paar zonder kinderen;1.8;3.3
2328;Hilvarenbeek;Paar met kinderen;2.2;4.1
2329;Hilvarenbeek;Eenoudergezin;0.1;12.7
2330;Lith;Totaal particulier huishouden;2.3;6.9
2331;Lith;Eenpersoonshuishouden;0.4;11.0
2332;Lith;Paar zonder kinderen;0.6;4.5
2333;Lith;Paar met kinderen;1.1;6.4
2334;Lith;Eenoudergezin;;
2335;Loon op Zand;Totaal particulier huishouden;8.7;5.5
2336;Loon op Zand;Eenpersoonshuishouden;1.9;9.1
2337;Loon op Zand;Paar zonder kinderen;2.9;3.8
2338;Loon op Zand;Paar met kinderen;3.2;3.6
2339;Loon op Zand;Eenoudergezin;0.4;18.7
2340;Mierlo;Totaal particulier huishouden;3.9;7.9
2341;Mierlo;Eenpersoonshuishouden;0.9;17.3
2342;Mierlo;Paar zonder kinderen;1.2;5.8
2343;Mierlo;Paar met kinderen;1.5;4.3
2344;Mierlo;Eenoudergezin;0.1;5.5
2345;Mill en Sint Hubert;Totaal particulier huishouden;4.1;6.2
2346;Mill en Sint Hubert;Eenpersoonshuishouden;0.8;11.1
2347;Mill en Sint Hubert;Paar zonder kinderen;1.3;2.7
2348;Mill en Sint Hubert;Paar met kinderen;1.6;5.3
2349;Mill en Sint Hubert;Eenoudergezin;0.2;19.0
2350;Nuenen, Gerwen en Nederwetten;Totaal particulier huishouden;8.9;6.3
2351;Nuenen, Gerwen en Nederwetten;Eenpersoonshuishouden;1.8;12.3
2352;Nuenen, Gerwen en Nederwetten;Paar zonder kinderen;3.3;3.1
2353;Nuenen, Gerwen en Nederwetten;Paar met kinderen;3.2;3.5
2354;Nuenen, Gerwen en Nederwetten;Eenoudergezin;0.4;25.7
2355;Oirschot;Totaal particulier huishouden;6.4;5.6
2356;Oirschot;Eenpersoonshuishouden;1.4;10.2
2357;Oirschot;Paar zonder kinderen;2.0;3.3
2358;Oirschot;Paar met kinderen;2.5;4.4
2359;Oirschot;Eenoudergezin;0.2;12.0
2360;Oisterwijk;Totaal particulier huishouden;9.9;7.3
2361;Oisterwijk;Eenpersoonshuishouden;2.6;11.8
2362;Oisterwijk;Paar zonder kinderen;3.2;4.9
2363;Oisterwijk;Paar met kinderen;3.5;5.0
2364;Oisterwijk;Eenoudergezin;0.4;22.1
2365;Oosterhout;Totaal particulier huishouden;21.4;6.7
2366;Oosterhout;Eenpersoonshuishouden;5.6;11.8
2367;Oosterhout;Paar zonder kinderen;7.4;4.3
2368;Oosterhout;Paar met kinderen;6.8;4.0
2369;Oosterhout;Eenoudergezin;0.8;19.2
2370;Oss;Totaal particulier huishouden;29.9;8.5
2371;Oss;Eenpersoonshuishouden;7.9;12.1
