ID;AgeMotherOn31December;Periods;TotalLiveBornChildren_1;FirstChild_2;SecondChild_3;ThirdChild_4;FourthOrFollowingChildren_5;TotalMaritalLiveBornChildren_6;FirstChild_7;SecondChild_8;ThirdChild_9;FourthOrFollowingChildren_10;TotalNonMaritalLiveBornChildren_11;FirstChild_12;SecondChild_13;ThirdChild_14;FourthOrFollowingChildren_15;TotalLiveBornChildren_16;FirstChild_17;SecondChild_18;ThirdChild_19;FourthOrFollowingChildren_20
98;15 years or younger;1983;44.0;44.0;0.0;0.0;0.0;5.0;5.0;0.0;0.0;0.0;39.0;39.0;0.0;0.0;0.0;0.37;0.37;0.0;0.0;0.0
99;15 years or younger;1984;37.0;37.0;0.0;0.0;0.0;3.0;3.0;0.0;0.0;0.0;34.0;34.0;0.0;0.0;0.0;0.3;0.3;0.0;0.0;0.0
100;15 years or younger;1985;41.0;40.0;1.0;0.0;0.0;8.0;7.0;1.0;0.0;0.0;33.0;33.0;0.0;0.0;0.0;0.34;0.34;0.01;0.0;0.0
101;15 years or younger;1986;49.0;49.0;0.0;0.0;0.0;8.0;8.0;0.0;0.0;0.0;41.0;41.0;0.0;0.0;0.0;0.43;0.43;0.0;0.0;0.0
102;15 years or younger;1987;44.0;44.0;0.0;0.0;0.0;5.0;5.0;0.0;0.0;0.0;39.0;39.0;0.0;0.0;0.0;0.41;0.41;0.0;0.0;0.0
103;15 years or younger;1988;37.0;36.0;1.0;0.0;0.0;3.0;3.0;0.0;0.0;0.0;34.0;33.0;1.0;0.0;0.0;0.38;0.37;0.01;0.0;0.0
104;15 years or younger;1989;38.0;38.0;0.0;0.0;0.0;6.0;6.0;0.0;0.0;0.0;32.0;32.0;0.0;0.0;0.0;0.4;0.4;0.0;0.0;0.0
105;15 years or younger;1990;37.0;37.0;0.0;0.0;0.0;4.0;4.0;0.0;0.0;0.0;33.0;33.0;0.0;0.0;0.0;0.41;0.41;0.0;0.0;0.0
106;15 years or younger;1991;43.0;40.0;2.0;0.0;1.0;4.0;4.0;0.0;0.0;0.0;39.0;36.0;2.0;0.0;1.0;0.49;0.45;0.02;0.0;0.01
107;15 years or younger;1992;45.0;44.0;1.0;0.0;0.0;4.0;4.0;0.0;0.0;0.0;41.0;40.0;1.0;0.0;0.0;0.51;0.5;0.01;0.0;0.0
108;15 years or younger;1993;41.0;41.0;0.0;0.0;0.0;3.0;3.0;0.0;0.0;0.0;38.0;38.0;0.0;0.0;0.0;0.46;0.46;0.0;0.0;0.0
109;15 years or younger;1994;35.0;33.0;2.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;34.0;32.0;2.0;0.0;0.0;0.39;0.37;0.02;0.0;0.0
110;15 years or younger;1995;31.0;31.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;30.0;30.0;0.0;0.0;0.0;0.34;0.34;0.0;0.0;0.0
111;15 years or younger;1996;35.0;35.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;35.0;35.0;0.0;0.0;0.0;0.39;0.39;0.0;0.0;0.0
112;15 years or younger;1997;39.0;39.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;39.0;39.0;0.0;0.0;0.0;0.45;0.45;0.0;0.0;0.0
113;15 years or younger;1998;37.0;36.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;37.0;36.0;1.0;0.0;0.0;0.43;0.41;0.01;0.0;0.0
114;15 years or younger;1999;36.0;36.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;36.0;36.0;0.0;0.0;0.0;0.4;0.4;0.0;0.0;0.0
115;15 years or younger;2000;49.0;47.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;49.0;47.0;2.0;0.0;0.0;0.53;0.51;0.02;0.0;0.0
116;15 years or younger;2001;49.0;49.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;49.0;49.0;0.0;0.0;0.0;0.52;0.52;0.0;0.0;0.0
117;15 years or younger;2002;46.0;45.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;46.0;45.0;1.0;0.0;0.0;0.48;0.47;0.01;0.0;0.0
118;15 years or younger;2003;40.0;40.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;40.0;40.0;0.0;0.0;0.0;0.42;0.42;0.0;0.0;0.0
119;15 years or younger;2004;28.0;28.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;28.0;28.0;0.0;0.0;0.0;0.29;0.29;0.0;0.0;0.0
120;15 years or younger;2005;35.0;34.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;35.0;34.0;1.0;0.0;0.0;0.35;0.34;0.01;0.0;0.0
121;15 years or younger;2006;28.0;28.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;28.0;28.0;0.0;0.0;0.0;0.28;0.28;0.0;0.0;0.0
122;15 years or younger;2007;31.0;31.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;31.0;31.0;0.0;0.0;0.0;0.32;0.32;0.0;0.0;0.0
123;15 years or younger;2008;34.0;34.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;34.0;34.0;0.0;0.0;0.0;0.35;0.35;0.0;0.0;0.0
124;15 years or younger;2009;40.0;40.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;40.0;40.0;0.0;0.0;0.0;0.41;0.41;0.0;0.0;0.0
125;15 years or younger;2010;24.0;24.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;24.0;24.0;0.0;0.0;0.0;0.25;0.25;0.0;0.0;0.0
126;15 years or younger;2011;30.0;30.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;30.0;30.0;0.0;0.0;0.0;0.32;0.32;0.0;0.0;0.0
127;15 years or younger;2012;33.0;33.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33.0;33.0;0.0;0.0;0.0;0.34;0.34;0.0;0.0;0.0
128;15 years or younger;2013;27.0;27.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;27.0;27.0;0.0;0.0;0.0;0.27;0.27;0.0;0.0;0.0
129;15 years or younger;2014;19.0;19.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.0;19.0;0.0;0.0;0.0;0.19;0.19;0.0;0.0;0.0
130;16 years;1950;83.0;82.0;1.0;0.0;0.0;41.0;40.0;1.0;0.0;0.0;42.0;42.0;0.0;0.0;0.0;1.06;1.05;0.01;0.0;0.0
131;16 years;1951;87.0;86.0;1.0;0.0;0.0;39.0;38.0;1.0;0.0;0.0;48.0;48.0;0.0;0.0;0.0;1.12;1.11;0.01;0.0;0.0
132;16 years;1952;81.0;80.0;1.0;0.0;0.0;42.0;41.0;1.0;0.0;0.0;39.0;39.0;0.0;0.0;0.0;1.03;1.02;0.01;0.0;0.0
133;16 years;1953;89.0;88.0;1.0;0.0;0.0;42.0;41.0;1.0;0.0;0.0;47.0;47.0;0.0;0.0;0.0;1.14;1.13;0.01;0.0;0.0
134;16 years;1954;90.0;90.0;0.0;0.0;0.0;45.0;45.0;0.0;0.0;0.0;45.0;45.0;0.0;0.0;0.0;1.11;1.11;0.0;0.0;0.0
135;16 years;1955;108.0;107.0;1.0;0.0;0.0;55.0;54.0;1.0;0.0;0.0;53.0;53.0;0.0;0.0;0.0;1.3;1.29;0.01;0.0;0.0
