ID;TypeOfEducation;IdeologicalBasisOfTheSchool;Schoolsize;Periods;SchoolsInstitutions_1;EnrolledPupilsStudents_2
2734;Total (special) primary education;Special schools;2 001 to 5 001 pupils/students;1994/95;0;0
2735;Total (special) primary education;Special schools;2 001 to 5 001 pupils/students;1995/96;0;0
2736;Total (special) primary education;Special schools;2 001 to 5 001 pupils/students;1996/97;0;0
2737;Total (special) primary education;Special schools;2 001 to 5 001 pupils/students;1997/98;0;0
2738;Total (special) primary education;Special schools;2 001 to 5 001 pupils/students;1998/99;0;0
2739;Total (special) primary education;Special schools;2 001 to 5 001 pupils/students;1999/00;0;0
2740;Total (special) primary education;Special schools;2 001 to 5 001 pupils/students;2000/01;0;0
2741;Total (special) primary education;Special schools;2 001 to 5 001 pupils/students;2001/02;0;0
2742;Total (special) primary education;Special schools;2 001 to 5 001 pupils/students;2002/03;0;0
2743;Total (special) primary education;Special schools;2 001 to 5 001 pupils/students;2003/04;0;0
2744;Total (special) primary education;Special schools;2 001 to 5 001 pupils/students;2004/05;0;0
2745;Total (special) primary education;Special schools;2 001 to 5 001 pupils/students;2005/06;0;0
2746;Total (special) primary education;Special schools;2 001 to 5 001 pupils/students;2006/07;0;0
2747;Total (special) primary education;Special schools;2 001 to 5 001 pupils/students;2007/08;0;0
2748;Total (special) primary education;Special schools;2 001 to 5 001 pupils/students;2008/09;0;0
2749;Total (special) primary education;Special schools;2 001 to 5 001 pupils/students;2009/10;0;0
2750;Total (special) primary education;Special schools;2 001 to 5 001 pupils/students;2010/11;0;0
2751;Total (special) primary education;Special schools;2 001 to 5 001 pupils/students;2011/12;0;0
2752;Total (special) primary education;Special schools;2 001 to 5 001 pupils/students;2012/13;0;0
2753;Total (special) primary education;Special schools;2 001 to 5 001 pupils/students;2013/14;0;0
2754;Total (special) primary education;Special schools;2 001 to 5 001 pupils/students;2014/15;0;0
2755;Total (special) primary education;Special schools;2 001 to 5 001 pupils/students;2015/16;0;0
2756;Total (special) primary education;Special schools;2 001 to 5 001 pupils/students;2016/17;0;0
2757;Total (special) primary education;Special schools;2 001 to 5 001 pupils/students;2017/18;0;0
2758;Total (special) primary education;Special schools;2 001 to 5 001 pupils/students;2018/19;0;0
2759;Total (special) primary education;Special schools;2 001 to 5 001 pupils/students;2019/20;0;0
2760;Total (special) primary education;Special schools;2 001 to 5 001 pupils/students;2020/21;0;0
2761;Total (special) primary education;Special schools;2 001 to 5 001 pupils/students;2021/22;0;0
2762;Total (special) primary education;Special schools;2 001 to 5 001 pupils/students;2022/23;0;0
2763;Total (special) primary education;Special schools;2 001 to 5 001 pupils/students;2023/24;0;0
2764;Total (special) primary education;Special schools;2 001 to 5 001 pupils/students;2024/25;0;0
2765;Total (special) primary education;Special schools;5 001 to 10 001 pupils/students;1990/91;0;0
2766;Total (special) primary education;Special schools;5 001 to 10 001 pupils/students;1991/92;0;0
2767;Total (special) primary education;Special schools;5 001 to 10 001 pupils/students;1992/93;0;0
2768;Total (special) primary education;Special schools;5 001 to 10 001 pupils/students;1993/94;0;0
2769;Total (special) primary education;Special schools;5 001 to 10 001 pupils/students;1994/95;0;0
2770;Total (special) primary education;Special schools;5 001 to 10 001 pupils/students;1995/96;0;0
2771;Total (special) primary education;Special schools;5 001 to 10 001 pupils/students;1996/97;0;0
2772;Total (special) primary education;Special schools;5 001 to 10 001 pupils/students;1997/98;0;0
2773;Total (special) primary education;Special schools;5 001 to 10 001 pupils/students;1998/99;0;0
2774;Total (special) primary education;Special schools;5 001 to 10 001 pupils/students;1999/00;0;0
2775;Total (special) primary education;Special schools;5 001 to 10 001 pupils/students;2000/01;0;0
2776;Total (special) primary education;Special schools;5 001 to 10 001 pupils/students;2001/02;0;0
2777;Total (special) primary education;Special schools;5 001 to 10 001 pupils/students;2002/03;0;0
2778;Total (special) primary education;Special schools;5 001 to 10 001 pupils/students;2003/04;0;0
2779;Total (special) primary education;Special schools;5 001 to 10 001 pupils/students;2004/05;0;0
2780;Total (special) primary education;Special schools;5 001 to 10 001 pupils/students;2005/06;0;0
2781;Total (special) primary education;Special schools;5 001 to 10 001 pupils/students;2006/07;0;0
2782;Total (special) primary education;Special schools;5 001 to 10 001 pupils/students;2007/08;0;0
2783;Total (special) primary education;Special schools;5 001 to 10 001 pupils/students;2008/09;0;0
2784;Total (special) primary education;Special schools;5 001 to 10 001 pupils/students;2009/10;0;0
2785;Total (special) primary education;Special schools;5 001 to 10 001 pupils/students;2010/11;0;0
2786;Total (special) primary education;Special schools;5 001 to 10 001 pupils/students;2011/12;0;0
2787;Total (special) primary education;Special schools;5 001 to 10 001 pupils/students;2012/13;0;0
2788;Total (special) primary education;Special schools;5 001 to 10 001 pupils/students;2013/14;0;0
2789;Total (special) primary education;Special schools;5 001 to 10 001 pupils/students;2014/15;0;0
2790;Total (special) primary education;Special schools;5 001 to 10 001 pupils/students;2015/16;0;0
2791;Total (special) primary education;Special schools;5 001 to 10 001 pupils/students;2016/17;0;0
2792;Total (special) primary education;Special schools;5 001 to 10 001 pupils/students;2017/18;0;0
2793;Total (special) primary education;Special schools;5 001 to 10 001 pupils/students;2018/19;0;0
2794;Total (special) primary education;Special schools;5 001 to 10 001 pupils/students;2019/20;0;0
2795;Total (special) primary education;Special schools;5 001 to 10 001 pupils/students;2020/21;0;0
2796;Total (special) primary education;Special schools;5 001 to 10 001 pupils/students;2021/22;0;0
2797;Total (special) primary education;Special schools;5 001 to 10 001 pupils/students;2022/23;0;0
2798;Total (special) primary education;Special schools;5 001 to 10 001 pupils/students;2023/24;0;0
2799;Total (special) primary education;Special schools;5 001 to 10 001 pupils/students;2024/25;0;0
2800;Total (special) primary education;Special schools;More than 10 000 pupils/students;1990/91;0;0
2801;Total (special) primary education;Special schools;More than 10 000 pupils/students;1991/92;0;0
2802;Total (special) primary education;Special schools;More than 10 000 pupils/students;1992/93;0;0
2803;Total (special) primary education;Special schools;More than 10 000 pupils/students;1993/94;0;0
2804;Total (special) primary education;Special schools;More than 10 000 pupils/students;1994/95;0;0
2805;Total (special) primary education;Special schools;More than 10 000 pupils/students;1995/96;0;0
2806;Total (special) primary education;Special schools;More than 10 000 pupils/students;1996/97;0;0
2807;Total (special) primary education;Special schools;More than 10 000 pupils/students;1997/98;0;0
2808;Total (special) primary education;Special schools;More than 10 000 pupils/students;1998/99;0;0
2809;Total (special) primary education;Special schools;More than 10 000 pupils/students;1999/00;0;0
2810;Total (special) primary education;Special schools;More than 10 000 pupils/students;2000/01;0;0
2811;Total (special) primary education;Special schools;More than 10 000 pupils/students;2001/02;0;0
2812;Total (special) primary education;Special schools;More than 10 000 pupils/students;2002/03;0;0
2813;Total (special) primary education;Special schools;More than 10 000 pupils/students;2003/04;0;0
2814;Total (special) primary education;Special schools;More than 10 000 pupils/students;2004/05;0;0
2815;Total (special) primary education;Special schools;More than 10 000 pupils/students;2005/06;0;0
2816;Total (special) primary education;Special schools;More than 10 000 pupils/students;2006/07;0;0
2817;Total (special) primary education;Special schools;More than 10 000 pupils/students;2007/08;0;0
2818;Total (special) primary education;Special schools;More than 10 000 pupils/students;2008/09;0;0
2819;Total (special) primary education;Special schools;More than 10 000 pupils/students;2009/10;0;0
2820;Total (special) primary education;Special schools;More than 10 000 pupils/students;2010/11;0;0
2821;Total (special) primary education;Special schools;More than 10 000 pupils/students;2011/12;0;0
2822;Total (special) primary education;Special schools;More than 10 000 pupils/students;2012/13;0;0
2823;Total (special) primary education;Special schools;More than 10 000 pupils/students;2013/14;0;0
2824;Total (special) primary education;Special schools;More than 10 000 pupils/students;2014/15;0;0
2825;Total (special) primary education;Special schools;More than 10 000 pupils/students;2015/16;0;0
2826;Total (special) primary education;Special schools;More than 10 000 pupils/students;2016/17;0;0
2827;Total (special) primary education;Special schools;More than 10 000 pupils/students;2017/18;0;0
2828;Total (special) primary education;Special schools;More than 10 000 pupils/students;2018/19;0;0
2829;Total (special) primary education;Special schools;More than 10 000 pupils/students;2019/20;0;0
2830;Total (special) primary education;Special schools;More than 10 000 pupils/students;2020/21;0;0
2831;Total (special) primary education;Special schools;More than 10 000 pupils/students;2021/22;0;0
2832;Total (special) primary education;Special schools;More than 10 000 pupils/students;2022/23;0;0
2833;Total (special) primary education;Special schools;More than 10 000 pupils/students;2023/24;0;0
2834;Total (special) primary education;Special schools;More than 10 000 pupils/students;2024/25;0;0
2835;Total (special) primary education;Protestant Schools;Total;1990/91;2674;432864
2836;Total (special) primary education;Protestant Schools;Total;1991/92;2663;421786
2837;Total (special) primary education;Protestant Schools;Total;1992/93;2641;421580
2838;Total (special) primary education;Protestant Schools;Total;1993/94;2581;421080
2839;Total (special) primary education;Protestant Schools;Total;1994/95;2495;424020
2840;Total (special) primary education;Protestant Schools;Total;1995/96;2355;427670
2841;Total (special) primary education;Protestant Schools;Total;1996/97;2312;431683
2842;Total (special) primary education;Protestant Schools;Total;1997/98;2262;431051
2843;Total (special) primary education;Protestant Schools;Total;1998/99;2141;417050
