ID;Sex;Age;Nationality;Periods;TotalAsylumRequests_1;FirstAsylumRequestsPersons_2;SubsequentAsylumRequests_3;FamilyReunificationPersons_4
4833;Total male and female ;Total;Ivorian;2018 September;5;5;0;0
4834;Total male and female ;Total;Ivorian;2018 3rd Quarter;10;10;0;0
4835;Total male and female ;Total;Ivorian;2018 October;10;5;0;0
4836;Total male and female ;Total;Ivorian;2018 November;5;5;0;0
4837;Total male and female ;Total;Ivorian;2018 December;0;0;0;0
4838;Total male and female ;Total;Ivorian;2018 4th Quarter;15;15;5;0
4839;Total male and female ;Total;Ivorian;2018;65;50;15;5
4840;Total male and female ;Total;Ivorian;2019 January;10;5;5;0
4841;Total male and female ;Total;Ivorian;2019 February;5;0;0;0
4842;Total male and female ;Total;Ivorian;2019 March;0;0;0;0
4843;Total male and female ;Total;Ivorian;2019 1st Quarter;10;10;5;0
4844;Total male and female ;Total;Ivorian;2019 April;5;5;0;0
4845;Total male and female ;Total;Ivorian;2019 May;0;0;0;0
4846;Total male and female ;Total;Ivorian;2019 June;5;5;0;0
4847;Total male and female ;Total;Ivorian;2019 2nd Quarter;10;10;0;0
4848;Total male and female ;Total;Ivorian;2019 July;5;5;0;0
4849;Total male and female ;Total;Ivorian;2019 August;5;5;0;0
4850;Total male and female ;Total;Ivorian;2019 September;10;10;0;0
4851;Total male and female ;Total;Ivorian;2019 3rd Quarter;25;20;5;0
4852;Total male and female ;Total;Ivorian;2019 October;5;5;0;0
4853;Total male and female ;Total;Ivorian;2019 November;5;5;0;0
4854;Total male and female ;Total;Ivorian;2019 December;5;5;0;0
4855;Total male and female ;Total;Ivorian;2019 4th Quarter;10;10;0;0
4856;Total male and female ;Total;Ivorian;2019;55;50;10;0
4857;Total male and female ;Total;Ivorian;2020 January;5;5;0;0
4858;Total male and female ;Total;Ivorian;2020 February;5;5;0;0
4859;Total male and female ;Total;Ivorian;2020 March;0;0;0;0
4860;Total male and female ;Total;Ivorian;2020 1st Quarter;10;10;0;0
4861;Total male and female ;Total;Ivorian;2020 April;0;0;0;0
4862;Total male and female ;Total;Ivorian;2020 May;0;0;0;0
4863;Total male and female ;Total;Ivorian;2020 June;5;5;0;0
4864;Total male and female ;Total;Ivorian;2020 2nd Quarter;5;5;5;0
4865;Total male and female ;Total;Ivorian;2020 July;0;0;0;0
4866;Total male and female ;Total;Ivorian;2020 August;5;5;0;0
4867;Total male and female ;Total;Ivorian;2020 September;0;0;0;0
4868;Total male and female ;Total;Ivorian;2020 3rd Quarter;5;5;0;0
4869;Total male and female ;Total;Ivorian;2020 October;5;5;0;0
4870;Total male and female ;Total;Ivorian;2020 November;0;0;0;0
4871;Total male and female ;Total;Ivorian;2020 December;0;0;0;0
4872;Total male and female ;Total;Ivorian;2020 4th Quarter;5;5;0;0
4873;Total male and female ;Total;Ivorian;2020;30;30;5;0
4874;Total male and female ;Total;Ivorian;2021 January;0;0;0;0
4875;Total male and female ;Total;Ivorian;2021 February;0;0;0;0
4876;Total male and female ;Total;Ivorian;2021 March;0;0;0;0
4877;Total male and female ;Total;Ivorian;2021 1st Quarter;0;0;0;0
4878;Total male and female ;Total;Ivorian;2021 April;0;0;0;0
4879;Total male and female ;Total;Ivorian;2021 May;5;5;0;0
4880;Total male and female ;Total;Ivorian;2021 June;0;0;0;0
4881;Total male and female ;Total;Ivorian;2021 2nd Quarter;5;5;0;0
4882;Total male and female ;Total;Ivorian;2021 July;0;0;0;0
4883;Total male and female ;Total;Ivorian;2021 August;0;0;0;0
4884;Total male and female ;Total;Ivorian;2021 September;5;5;0;0
4885;Total male and female ;Total;Ivorian;2021 3rd Quarter;5;5;0;0
4886;Total male and female ;Total;Ivorian;2021 October;0;0;0;0
4887;Total male and female ;Total;Ivorian;2021 November;0;0;0;0
4888;Total male and female ;Total;Ivorian;2021 December;0;0;0;0
4889;Total male and female ;Total;Ivorian;2021 4th Quarter;0;0;0;0
4890;Total male and female ;Total;Ivorian;2021;15;10;5;0
4891;Total male and female ;Total;Ivorian;2022 January;0;0;0;0
4892;Total male and female ;Total;Ivorian;2022 February;0;0;0;5
4893;Total male and female ;Total;Ivorian;2022 March;5;5;0;0
4894;Total male and female ;Total;Ivorian;2022 1st Quarter;5;5;0;5
4895;Total male and female ;Total;Ivorian;2022 April;5;0;5;0
4896;Total male and female ;Total;Ivorian;2022 May;0;0;0;0
4897;Total male and female ;Total;Ivorian;2022 June;0;0;0;0
4898;Total male and female ;Total;Ivorian;2022 2nd Quarter;5;0;5;0
4899;Total male and female ;Total;Ivorian;2022 July;0;0;0;0
4900;Total male and female ;Total;Ivorian;2022 August;0;0;0;0
4901;Total male and female ;Total;Ivorian;2022 September;0;0;0;0
4902;Total male and female ;Total;Ivorian;2022 3th Quarter;0;0;0;0
4903;Total male and female ;Total;Ivorian;2022 October;0;0;0;0
4904;Total male and female ;Total;Ivorian;2022 November ;0;0;0;0
4905;Total male and female ;Total;Ivorian;2022 December;0;0;0;0
4906;Total male and female ;Total;Ivorian;2022 4th Quarter;5;5;0;0
4907;Total male and female ;Total;Ivorian;2022;15;10;5;5
4908;Total male and female ;Total;Ivorian;2023 January;0;0;0;0
4909;Total male and female ;Total;Ivorian;2023 February;0;0;0;0
4910;Total male and female ;Total;Ivorian;2023 March;5;5;0;0
4911;Total male and female ;Total;Ivorian;2023 1st Quarter;5;5;0;0
4912;Total male and female ;Total;Ivorian;2023 April;0;0;0;0
4913;Total male and female ;Total;Ivorian;2023 May;0;0;0;0
4914;Total male and female ;Total;Ivorian;2023 June;5;5;0;0
4915;Total male and female ;Total;Ivorian;2023 2nd Quarter;5;5;0;0
4916;Total male and female ;Total;Ivorian;2023 July;0;0;0;0
4917;Total male and female ;Total;Ivorian;2023 August;0;0;0;0
4918;Total male and female ;Total;Ivorian;2023 September;5;5;0;0
4919;Total male and female ;Total;Ivorian;2023 3rd Quarter;5;5;0;0
4920;Total male and female ;Total;Ivorian;2023 October;5;5;0;0
4921;Total male and female ;Total;Ivorian;2023 November;5;5;0;0
4922;Total male and female ;Total;Ivorian;2023 December;5;5;0;0
4923;Total male and female ;Total;Ivorian;2023 4th Quarter;15;15;0;0
4924;Total male and female ;Total;Ivorian;2023;35;30;5;5
4925;Total male and female ;Total;Ivorian;2024 January;5;0;0;0
4926;Total male and female ;Total;Ivorian;2024 February;5;5;0;0
4927;Total male and female ;Total;Ivorian;2024 March;5;5;0;5
4928;Total male and female ;Total;Ivorian;2024 1st Quarter;15;10;0;5
4929;Total male and female ;Total;Ivorian;2024 April;0;0;0;0
4930;Total male and female ;Total;Ivorian;2024 May;5;5;0;0
4931;Total male and female ;Total;Ivorian;2024 June;0;0;0;0
4932;Total male and female ;Total;Ivorian;2024 2nd Quarter;5;5;0;5
4933;Total male and female ;Total;Ivorian;2024 July;5;5;0;0
4934;Total male and female ;Total;Ivorian;2024 August;5;5;0;0
4935;Total male and female ;Total;Ivorian;2024 September;5;5;0;0
4936;Total male and female ;Total;Ivorian;2024 3rd Quarter;15;10;0;0
4937;Total male and female ;Total;Ivorian;2024 October;5;5;0;0
4938;Total male and female ;Total;Ivorian;2024 November;0;0;0;0
4939;Total male and female ;Total;Ivorian;2024 December;5;5;0;0
4940;Total male and female ;Total;Ivorian;2024 4th Quarter;10;10;0;0
4941;Total male and female ;Total;Ivorian;2024;40;40;5;5
4942;Total male and female ;Total;Ivorian;2025 January;0;0;0;0
4943;Total male and female ;Total;Ivorian;2025 February;5;5;0;0
4944;Total male and female ;Total;Yemeni;2013 January;5;5;0;5
4945;Total male and female ;Total;Yemeni;2013 February;0;0;0;0
4946;Total male and female ;Total;Yemeni;2013 March;0;0;0;0
4947;Total male and female ;Total;Yemeni;2013 1st Quarter;5;5;0;5
4948;Total male and female ;Total;Yemeni;2013 April;0;0;0;0
4949;Total male and female ;Total;Yemeni;2013 May;10;10;0;0
4950;Total male and female ;Total;Yemeni;2013 June;0;0;0;0
4951;Total male and female ;Total;Yemeni;2013 2nd Quarter;10;10;0;0
4952;Total male and female ;Total;Yemeni;2013 July;0;0;0;0
4953;Total male and female ;Total;Yemeni;2013 August;0;0;0;0
4954;Total male and female ;Total;Yemeni;2013 September;10;10;0;0
4955;Total male and female ;Total;Yemeni;2013 3rd Quarter;10;10;0;0
4956;Total male and female ;Total;Yemeni;2013 October;0;0;0;0
4957;Total male and female ;Total;Yemeni;2013 November;5;5;0;0
4958;Total male and female ;Total;Yemeni;2013 December;0;0;0;0
4959;Total male and female ;Total;Yemeni;2013 4th Quarter;10;10;0;0
4960;Total male and female ;Total;Yemeni;2013;35;35;5;5
4961;Total male and female ;Total;Yemeni;2014 January;5;5;0;0
4962;Total male and female ;Total;Yemeni;2014 February;0;0;0;0
4963;Total male and female ;Total;Yemeni;2014 March;0;0;0;0
4964;Total male and female ;Total;Yemeni;2014 1st Quarter;10;10;0;0
4965;Total male and female ;Total;Yemeni;2014 April;5;5;0;0
4966;Total male and female ;Total;Yemeni;2014 May;0;0;0;5
4967;Total male and female ;Total;Yemeni;2014 June;0;0;0;5
4968;Total male and female ;Total;Yemeni;2014 2nd Quarter;10;10;0;10
4969;Total male and female ;Total;Yemeni;2014 July;5;5;0;0
4970;Total male and female ;Total;Yemeni;2014 August;0;0;0;0
4971;Total male and female ;Total;Yemeni;2014 September;10;5;0;0
4972;Total male and female ;Total;Yemeni;2014 3rd Quarter;15;10;5;0
4973;Total male and female ;Total;Yemeni;2014 October;0;0;0;5
4974;Total male and female ;Total;Yemeni;2014 November;5;5;0;0
4975;Total male and female ;Total;Yemeni;2014 December;0;0;0;0
4976;Total male and female ;Total;Yemeni;2014 4th Quarter;5;5;0;5
4977;Total male and female ;Total;Yemeni;2014;40;30;5;15
4978;Total male and female ;Total;Yemeni;2015 January;5;5;0;0
4979;Total male and female ;Total;Yemeni;2015 February;0;0;0;0
4980;Total male and female ;Total;Yemeni;2015 March;5;5;0;0
4981;Total male and female ;Total;Yemeni;2015 1st Quarter;5;5;0;0
4982;Total male and female ;Total;Yemeni;2015 April;5;0;5;0
4983;Total male and female ;Total;Yemeni;2015 May;5;5;0;0
4984;Total male and female ;Total;Yemeni;2015 June;5;5;0;0
4985;Total male and female ;Total;Yemeni;2015 2nd Quarter;15;10;5;0
4986;Total male and female ;Total;Yemeni;2015 July;5;0;5;0
4987;Total male and female ;Total;Yemeni;2015 August;5;5;0;0
4988;Total male and female ;Total;Yemeni;2015 September;5;5;0;0
4989;Total male and female ;Total;Yemeni;2015 3rd Quarter;15;10;5;0
4990;Total male and female ;Total;Yemeni;2015 October;10;10;0;0
4991;Total male and female ;Total;Yemeni;2015 November;10;10;5;0
4992;Total male and female ;Total;Yemeni;2015 December;5;5;0;0
4993;Total male and female ;Total;Yemeni;2015 4th Quarter;30;25;5;0
4994;Total male and female ;Total;Yemeni;2015;65;50;15;5
4995;Total male and female ;Total;Yemeni;2016 January;0;0;0;0
4996;Total male and female ;Total;Yemeni;2016 February;0;0;0;0
4997;Total male and female ;Total;Yemeni;2016 March;0;0;0;10
4998;Total male and female ;Total;Yemeni;2016 1st Quarter;5;0;5;10
4999;Total male and female ;Total;Yemeni;2016 April;0;0;0;0
5000;Total male and female ;Total;Yemeni;2016 May;10;10;0;5
5001;Total male and female ;Total;Yemeni;2016 June;0;0;0;0
5002;Total male and female ;Total;Yemeni;2016 2nd Quarter;10;10;0;5
5003;Total male and female ;Total;Yemeni;2016 July;0;0;0;0
5004;Total male and female ;Total;Yemeni;2016 August;5;5;0;0
5005;Total male and female ;Total;Yemeni;2016 September;5;5;0;0
5006;Total male and female ;Total;Yemeni;2016 3rd Quarter;15;15;0;0
5007;Total male and female ;Total;Yemeni;2016 October;0;0;0;0
5008;Total male and female ;Total;Yemeni;2016 November;10;10;0;0
5009;Total male and female ;Total;Yemeni;2016 December;10;10;5;0
5010;Total male and female ;Total;Yemeni;2016 4th Quarter;25;20;5;0
5011;Total male and female ;Total;Yemeni;2016;55;45;10;20
5012;Total male and female ;Total;Yemeni;2017 January;10;10;0;0
5013;Total male and female ;Total;Yemeni;2017 February;10;10;0;0
5014;Total male and female ;Total;Yemeni;2017 March;20;15;5;0
5015;Total male and female ;Total;Yemeni;2017 1st Quarter;40;35;5;0
5016;Total male and female ;Total;Yemeni;2017 April;15;15;0;0
5017;Total male and female ;Total;Yemeni;2017 May;10;10;0;0
5018;Total male and female ;Total;Yemeni;2017 June;10;10;0;5
5019;Total male and female ;Total;Yemeni;2017 2nd Quarter;40;40;0;5
5020;Total male and female ;Total;Yemeni;2017 July;15;15;0;0
5021;Total male and female ;Total;Yemeni;2017 August;20;20;0;10
5022;Total male and female ;Total;Yemeni;2017 September;15;15;0;5
5023;Total male and female ;Total;Yemeni;2017 3rd Quarter;55;50;0;15
5024;Total male and female ;Total;Yemeni;2017 October;20;20;0;5
5025;Total male and female ;Total;Yemeni;2017 November;10;10;0;10
5026;Total male and female ;Total;Yemeni;2017 December;15;15;0;10
5027;Total male and female ;Total;Yemeni;2017 4th Quarter;45;45;0;25
5028;Total male and female ;Total;Yemeni;2017;180;170;5;45
5029;Total male and female ;Total;Yemeni;2018 January;15;15;0;5
5030;Total male and female ;Total;Yemeni;2018 February;20;20;0;10
5031;Total male and female ;Total;Yemeni;2018 March;15;15;0;10
5032;Total male and female ;Total;Yemeni;2018 1st Quarter;50;50;0;25
5033;Total male and female ;Total;Yemeni;2018 April;15;15;0;10
5034;Total male and female ;Total;Yemeni;2018 May;20;20;0;20
5035;Total male and female ;Total;Yemeni;2018 June;30;30;0;15
5036;Total male and female ;Total;Yemeni;2018 2nd Quarter;65;65;0;45
5037;Total male and female ;Total;Yemeni;2018 July;75;75;0;20
5038;Total male and female ;Total;Yemeni;2018 August;45;45;0;15
5039;Total male and female ;Total;Yemeni;2018 September;40;40;0;5
5040;Total male and female ;Total;Yemeni;2018 3rd Quarter;160;160;0;45
5041;Total male and female ;Total;Yemeni;2018 October;95;95;0;5
5042;Total male and female ;Total;Yemeni;2018 November;70;70;0;5
5043;Total male and female ;Total;Yemeni;2018 December;85;85;0;5
5044;Total male and female ;Total;Yemeni;2018 4th Quarter;250;250;0;15
5045;Total male and female ;Total;Yemeni;2018;530;530;0;130
5046;Total male and female ;Total;Yemeni;2019 January;60;60;0;0
5047;Total male and female ;Total;Yemeni;2019 February;45;45;0;5
5048;Total male and female ;Total;Yemeni;2019 March;60;60;0;10
5049;Total male and female ;Total;Yemeni;2019 1st Quarter;170;170;0;15
5050;Total male and female ;Total;Yemeni;2019 April;60;60;0;5
5051;Total male and female ;Total;Yemeni;2019 May;35;35;0;15
5052;Total male and female ;Total;Yemeni;2019 June;30;30;0;20
5053;Total male and female ;Total;Yemeni;2019 2nd Quarter;125;125;0;40
5054;Total male and female ;Total;Yemeni;2019 July;50;50;0;20
5055;Total male and female ;Total;Yemeni;2019 August;45;40;5;25
5056;Total male and female ;Total;Yemeni;2019 September;55;55;0;40
5057;Total male and female ;Total;Yemeni;2019 3rd Quarter;150;145;5;85
5058;Total male and female ;Total;Yemeni;2019 October;65;65;0;20
5059;Total male and female ;Total;Yemeni;2019 November;55;55;0;20
5060;Total male and female ;Total;Yemeni;2019 December;90;90;0;15
5061;Total male and female ;Total;Yemeni;2019 4th Quarter;205;205;0;55
5062;Total male and female ;Total;Yemeni;2019;650;645;5;200
5063;Total male and female ;Total;Yemeni;2020 January;50;50;0;35
5064;Total male and female ;Total;Yemeni;2020 February;30;30;0;35
5065;Total male and female ;Total;Yemeni;2020 March;65;55;10;5
5066;Total male and female ;Total;Yemeni;2020 1st Quarter;150;135;10;75
5067;Total male and female ;Total;Yemeni;2020 April;20;20;0;20
5068;Total male and female ;Total;Yemeni;2020 May;20;20;0;0
5069;Total male and female ;Total;Yemeni;2020 June;30;30;0;0
5070;Total male and female ;Total;Yemeni;2020 2nd Quarter;65;65;0;20
5071;Total male and female ;Total;Yemeni;2020 July;50;45;5;0
5072;Total male and female ;Total;Yemeni;2020 August;40;40;5;5
5073;Total male and female ;Total;Yemeni;2020 September;40;40;0;45
5074;Total male and female ;Total;Yemeni;2020 3rd Quarter;135;125;10;55
5075;Total male and female ;Total;Yemeni;2020 October;25;25;0;100
5076;Total male and female ;Total;Yemeni;2020 November;25;20;5;125
5077;Total male and female ;Total;Yemeni;2020 December;35;35;0;50
5078;Total male and female ;Total;Yemeni;2020 4th Quarter;90;80;5;275
5079;Total male and female ;Total;Yemeni;2020;440;410;30;425
5080;Total male and female ;Total;Yemeni;2021 January;25;25;0;65
5081;Total male and female ;Total;Yemeni;2021 February;15;15;0;70
5082;Total male and female ;Total;Yemeni;2021 March;35;35;0;65
5083;Total male and female ;Total;Yemeni;2021 1st Quarter;75;75;5;200
5084;Total male and female ;Total;Yemeni;2021 April;40;35;0;70
5085;Total male and female ;Total;Yemeni;2021 May;30;30;0;50
5086;Total male and female ;Total;Yemeni;2021 June;40;40;0;65
5087;Total male and female ;Total;Yemeni;2021 2nd Quarter;105;105;0;185
5088;Total male and female ;Total;Yemeni;2021 July;50;50;5;40
5089;Total male and female ;Total;Yemeni;2021 August;85;85;0;25
5090;Total male and female ;Total;Yemeni;2021 September;185;185;0;50
5091;Total male and female ;Total;Yemeni;2021 3rd Quarter;325;320;5;115
5092;Total male and female ;Total;Yemeni;2021 October;435;430;5;55
5093;Total male and female ;Total;Yemeni;2021 November;190;190;0;30
5094;Total male and female ;Total;Yemeni;2021 December;70;70;0;65
5095;Total male and female ;Total;Yemeni;2021 4th Quarter;695;690;5;150
5096;Total male and female ;Total;Yemeni;2021;1205;1190;15;650
5097;Total male and female ;Total;Yemeni;2022 January;90;90;0;40
5098;Total male and female ;Total;Yemeni;2022 February;120;120;0;30
5099;Total male and female ;Total;Yemeni;2022 March;315;315;0;35
