ID;Sex;Age;Periods;TotalInflowUnemploymentBenefits_1;InflowTradeAndIndustry_2;OtherInflow_3;TotalOutflowUnemploymentBenefits_4;OutflowDueToResumptionOfWork_5;OtherOutflow_6
2065;Women;15 to 25 years;1999 December;1380;1300;80;1370;730;640
2066;Women;15 to 25 years;1999 Annual figure;19310;18130;1190;21070;12320;8750
2067;Women;15 to 25 years;2000 January;1590;1460;120;1300;740;550
2068;Women;15 to 25 years;2000 February;1580;1400;180;1520;890;640
2069;Women;15 to 25 years;2000 March;1750;1600;150;1690;1060;630
2070;Women;15 to 25 years;2000 April;1150;1060;90;1520;910;610
2071;Women;15 to 25 years;2000 May;1080;1000;80;1430;790;640
2072;Women;15 to 25 years;2000 June;1140;1030;110;1470;770;690
2073;Women;15 to 25 years;2000 July;1100;1010;100;1180;570;610
2074;Women;15 to 25 years;2000 August;1160;1080;80;1120;580;540
2075;Women;15 to 25 years;2000 September;1030;940;90;1210;690;520
2076;Women;15 to 25 years;2000 October;1180;1060;120;1220;660;560
2077;Women;15 to 25 years;2000 November;1470;1340;130;1250;690;560
2078;Women;15 to 25 years;2000 December;870;810;60;1010;550;470
2079;Women;15 to 25 years;2000 Annual figure;15100;13780;1310;15910;8900;7010
2080;Women;15 to 25 years;2001 January;1130;1050;80;930;500;430
2081;Women;15 to 25 years;2001 February;1240;1160;80;1100;660;440
2082;Women;15 to 25 years;2001 March;1510;1390;120;1470;840;640
2083;Women;15 to 25 years;2001 April;1170;1080;90;1180;680;500
2084;Women;15 to 25 years;2001 May;1180;1090;100;1280;760;520
2085;Women;15 to 25 years;2001 June;940;860;80;1090;560;530
2086;Women;15 to 25 years;2001 July;950;870;90;1090;510;580
2087;Women;15 to 25 years;2001 August;1020;920;100;940;460;480
2088;Women;15 to 25 years;2001 September;980;890;90;1050;580;470
2089;Women;15 to 25 years;2001 October;1200;1110;80;1000;540;460
2090;Women;15 to 25 years;2001 November;1560;1440;110;1300;740;560
2091;Women;15 to 25 years;2001 December;970;890;80;890;440;450
2092;Women;15 to 25 years;2001 Annual figure;13830;12740;1100;13310;7280;6030
2093;Women;15 to 25 years;2002 January;1700;1580;120;1230;650;580
2094;Women;15 to 25 years;2002 February;1350;1250;100;1140;670;470
2095;Women;15 to 25 years;2002 March;1530;1450;80;1280;720;550
2096;Women;15 to 25 years;2002 April;1480;1400;80;1290;820;470
2097;Women;15 to 25 years;2002 May;1620;1500;120;1440;830;610
2098;Women;15 to 25 years;2002 June;1410;1320;100;1270;720;560
2099;Women;15 to 25 years;2002 July;1240;1160;90;1220;650;570
2100;Women;15 to 25 years;2002 August;1380;1260;110;1260;630;630
2101;Women;15 to 25 years;2002 September;1280;1190;90;1130;630;500
2102;Women;15 to 25 years;2002 October;1920;1780;150;1650;950;700
2103;Women;15 to 25 years;2002 November;1750;1590;170;1080;610;470
2104;Women;15 to 25 years;2002 December;1430;1270;170;1120;620;500
2105;Women;15 to 25 years;2002 Annual figure;18110;16740;1370;15100;8500;6600
2106;Women;15 to 25 years;2003 January;2160;1940;230;1340;730;610
2107;Women;15 to 25 years;2003 February;2150;1890;270;1320;760;550
2108;Women;15 to 25 years;2003 March;2200;1960;240;1520;830;690
2109;Women;15 to 25 years;2003 April;2130;1920;220;1610;930;670
2110;Women;15 to 25 years;2003 May;2420;2150;270;1940;1060;880
2111;Women;15 to 25 years;2003 June;1880;1670;210;1540;850;690
2112;Women;15 to 25 years;2003 July;2380;2130;250;2060;1030;1030
2113;Women;15 to 25 years;2003 August;1670;1480;180;1360;680;690
2114;Women;15 to 25 years;2003 September;2060;1870;190;1670;880;800
2115;Women;15 to 25 years;2003 October;2660;2440;230;2110;1190;920
2116;Women;15 to 25 years;2003 November;2300;2030;270;1640;930;710
2117;Women;15 to 25 years;2003 December;1960;1750;210;1590;880;710
2118;Women;15 to 25 years;2003 Annual figure;25960;23220;2750;19700;10740;8960
2119;Women;15 to 25 years;2004 January;2050;1900;160;1720;870;860
2120;Women;15 to 25 years;2004 February;2240;2130;120;1840;980;850
2121;Women;15 to 25 years;2004 March;2410;2270;150;1970;980;980
2122;Women;15 to 25 years;2004 April;2660;2520;140;2310;1350;970
2123;Women;15 to 25 years;2004 May;1890;1770;130;1880;1040;840
2124;Women;15 to 25 years;2004 June;2030;1910;130;1790;980;810
2125;Women;15 to 25 years;2004 July;2220;2080;140;2630;1220;1410
2126;Women;15 to 25 years;2004 August;1530;1430;100;1760;760;1000
2127;Women;15 to 25 years;2004 September;1930;1790;140;1980;940;1050
2128;Women;15 to 25 years;2004 October;2760;2610;150;2580;1300;1280
2129;Women;15 to 25 years;2004 November;2380;2200;180;1970;1030;930
2130;Women;15 to 25 years;2004 December;2460;2290;170;2280;1120;1160
2131;Women;15 to 25 years;2004 Annual figure;26550;24870;1690;24700;12560;12140
2132;Women;15 to 25 years;2005 January;2290;2160;130;1820;860;960
2133;Women;15 to 25 years;2005 February;2550;2410;140;2030;1020;1010
2134;Women;15 to 25 years;2005 March;2710;2560;150;2590;1300;1290
2135;Women;15 to 25 years;2005 April;2520;2380;140;2410;1230;1180
2136;Women;15 to 25 years;2005 May;1720;1620;100;2210;1120;1090
2137;Women;15 to 25 years;2005 June;2260;2120;140;2480;1280;1200
2138;Women;15 to 25 years;2005 July;1620;1530;100;2010;950;1070
2139;Women;15 to 25 years;2005 August;1490;1370;120;1700;780;920
2140;Women;15 to 25 years;2005 September;2190;2050;140;2240;1160;1090
2141;Women;15 to 25 years;2005 October;1960;1840;120;2070;1100;970
2142;Women;15 to 25 years;2005 November;1890;1740;150;1980;1070;910
2143;Women;15 to 25 years;2005 December;1940;1800;140;1910;1020;890
2144;Women;15 to 25 years;2005 Annual figure;25140;23580;1560;25440;12870;12570
2145;Women;15 to 25 years;2006 January;1400;1310;100;1840;870;960
2146;Women;15 to 25 years;2006 February;1750;1660;90;1600;850;750
2147;Women;15 to 25 years;2006 March;2190;2000;200;2050;1080;970
2148;Women;15 to 25 years;2006 April;1580;1420;160;1700;960;740
2149;Women;15 to 25 years;2006 May;1440;1320;110;1630;900;740
2150;Women;15 to 25 years;2006 June;1460;1360;110;1790;910;890
2151;Women;15 to 25 years;2006 July;1040;950;90;1470;690;780
2152;Women;15 to 25 years;2006 August;1220;1110;100;1470;730;740
2153;Women;15 to 25 years;2006 September;1210;1110;100;1390;740;650
2154;Women;15 to 25 years;2006 October;1420;1290;120;1350;780;570
2155;Women;15 to 25 years;2006 November;1560;1420;140;1570;900;660
2156;Women;15 to 25 years;2006 December;920;820;100;980;550;440
2157;Women;15 to 25 years;2006 Annual figure;17180;15760;1420;18850;9960;8890
2158;Women;15 to 25 years;2007 January;1140;1050;90;1030;500;540
2159;Women;15 to 25 years;2007 February;1310;1190;120;1270;610;660
2160;Women;15 to 25 years;2007 March;1520;1390;120;1680;790;890
2161;Women;15 to 25 years;2007 April;1050;950;100;1280;570;710
2162;Women;15 to 25 years;2007 May;1070;990;80;1310;570;740
2163;Women;15 to 25 years;2007 June;860;790;70;1050;450;600
2164;Women;15 to 25 years;2007 July;850;790;60;1000;430;570
2165;Women;15 to 25 years;2007 August;910;840;70;980;420;560
2166;Women;15 to 25 years;2007 September;850;790;60;920;450;470
2167;Women;15 to 25 years;2007 October;960;890;70;910;430;480
2168;Women;15 to 25 years;2007 November;1190;1110;80;1060;500;560
2169;Women;15 to 25 years;2007 December;710;670;40;710;330;380
2170;Women;15 to 25 years;2007 Annual figure;12420;11450;970;13210;6060;7150
2171;Women;15 to 25 years;2008 January;1130;1060;70;930;380;550
2172;Women;15 to 25 years;2008 February;910;840;70;890;450;440
2173;Women;15 to 25 years;2008 March;900;840;50;910;420;490
2174;Women;15 to 25 years;2008 April;990;910;80;880;410;470
2175;Women;15 to 25 years;2008 May;880;820;70;890;430;470
2176;Women;15 to 25 years;2008 June;730;690;40;850;440;410
2177;Women;15 to 25 years;2008 July;870;820;50;930;380;560
2178;Women;15 to 25 years;2008 August;760;720;40;640;300;330
2179;Women;15 to 25 years;2008 September;820;790;40;820;420;400
2180;Women;15 to 25 years;2008 October;1130;1080;60;940;490;440
2181;Women;15 to 25 years;2008 November;990;930;60;770;390;380
2182;Women;15 to 25 years;2008 December;1010;940;60;760;350;400
2183;Women;15 to 25 years;2008 Annual figure;11120;10440;680;10200;4860;5340
2184;Women;15 to 25 years;2009 January;1280;1220;60;890;380;510
2185;Women;15 to 25 years;2009 February;1390;1340;50;980;400;580
2186;Women;15 to 25 years;2009 March;1570;1500;70;1100;440;660
2187;Women;15 to 25 years;2009 April;1890;1820;70;1500;560;940
2188;Women;15 to 25 years;2009 May;1490;1440;60;1220;430;790
2189;Women;15 to 25 years;2009 June;1610;1550;50;1360;560;800
2190;Women;15 to 25 years;2009 July;1890;1840;50;1710;590;1120
2191;Women;15 to 25 years;2009 August;1540;1490;60;1330;440;900
2192;Women;15 to 25 years;2009 September;1890;1830;70;1670;640;1030
2193;Women;15 to 25 years;2009 October;2270;2180;80;1820;790;1030
2194;Women;15 to 25 years;2009 November;1880;1810;70;1490;590;900
2195;Women;15 to 25 years;2009 December;1860;1770;90;1680;520;1160
2196;Women;15 to 25 years;2009 Annual figure;20560;19790;760;16760;6330;10430
2197;Women;15 to 25 years;2010 January;1960;1880;80;1760;530;1240
2198;Women;25 to 35 years;1998 January;6610;6220;380;6080;3220;2860
2199;Women;25 to 35 years;1998 February;5830;5380;450;5590;3490;2100
2200;Women;25 to 35 years;1998 March;4920;4540;380;5580;3370;2210
2201;Women;25 to 35 years;1998 April;5300;4700;600;7150;4320;2820
2202;Women;25 to 35 years;1998 May;4400;3910;480;5430;2980;2450
2203;Women;25 to 35 years;1998 June;4170;3710;460;5200;2710;2490
2204;Women;25 to 35 years;1998 July;5060;4530;530;5950;2920;3040
2205;Women;25 to 35 years;1998 August;3850;3500;350;4380;2220;2160
2206;Women;25 to 35 years;1998 September;4170;3770;400;5130;3070;2060
2207;Women;25 to 35 years;1998 October;4940;4440;500;6170;3410;2760
2208;Women;25 to 35 years;1998 November;4320;3920;400;4820;2430;2380
2209;Women;25 to 35 years;1998 December;4900;4480;420;4510;2200;2310
2210;Women;25 to 35 years;1998 Annual figure;58460;53110;5350;65990;36330;29660
2211;Women;25 to 35 years;1999 January;4550;4130;420;4890;2310;2580
2212;Women;25 to 35 years;1999 February;4210;3820;390;4760;2650;2110
2213;Women;25 to 35 years;1999 March;5010;4500;510;5880;3400;2470
2214;Women;25 to 35 years;1999 April;3330;2940;390;4510;2650;1860
2215;Women;25 to 35 years;1999 May;3030;2700;330;4280;2200;2080
2216;Women;25 to 35 years;1999 June;3490;3110;380;4600;2350;2250
2217;Women;25 to 35 years;1999 July;3670;3290;380;3630;1710;1930
2218;Women;25 to 35 years;1999 August;2950;2620;330;3180;1600;1590
2219;Women;25 to 35 years;1999 September;3870;3440;430;4860;2820;2040
2220;Women;25 to 35 years;1999 October;3390;2980;410;3900;2160;1740
2221;Women;25 to 35 years;1999 November;3660;3300;360;3800;1960;1850
2222;Women;25 to 35 years;1999 December;3210;2840;370;3920;1940;1980
2223;Women;25 to 35 years;1999 Annual figure;44370;39660;4700;52210;27750;24460
2224;Women;25 to 35 years;2000 January;4080;3620;460;3580;1780;1800
2225;Women;25 to 35 years;2000 February;3610;3180;430;3780;2090;1700
2226;Women;25 to 35 years;2000 March;3960;3460;500;4320;2370;1950
2227;Women;25 to 35 years;2000 April;2800;2410;390;3850;2150;1700
2228;Women;25 to 35 years;2000 May;2750;2440;310;3770;2000;1770
2229;Women;25 to 35 years;2000 June;2920;2450;470;3860;1850;2010
2230;Women;25 to 35 years;2000 July;3330;2830;500;3340;1390;1940
2231;Women;25 to 35 years;2000 August;3120;2750;380;3350;1700;1650
2232;Women;25 to 35 years;2000 September;2640;2300;330;3490;1910;1580
2233;Women;25 to 35 years;2000 October;2950;2550;390;3480;1850;1630
2234;Women;25 to 35 years;2000 November;3870;3330;540;3650;1850;1800
2235;Women;25 to 35 years;2000 December;2160;1900;260;2820;1270;1550
2236;Women;25 to 35 years;2000 Annual figure;38190;33210;4970;43280;22200;21080
2237;Women;25 to 35 years;2001 January;3060;2670;380;3030;1490;1540
2238;Women;25 to 35 years;2001 February;2980;2640;340;3100;1620;1480
2239;Women;25 to 35 years;2001 March;3710;3200;510;4170;2130;2040
2240;Women;25 to 35 years;2001 April;2730;2300;430;3320;1780;1540
2241;Women;25 to 35 years;2001 May;3000;2560;440;3500;1820;1680
2242;Women;25 to 35 years;2001 June;2580;2210;370;2840;1360;1480
2243;Women;25 to 35 years;2001 July;2610;2120;490;2880;1330;1550
2244;Women;25 to 35 years;2001 August;2540;2210;330;2660;1240;1410
2245;Women;25 to 35 years;2001 September;2600;2230;360;3030;1610;1430
2246;Women;25 to 35 years;2001 October;2890;2510;380;3140;1650;1490
2247;Women;25 to 35 years;2001 November;3530;3080;450;3450;1700;1750
2248;Women;25 to 35 years;2001 December;1990;1720;270;2540;1160;1380
2249;Women;25 to 35 years;2001 Annual figure;34230;29460;4770;37660;18880;18780
2250;Women;25 to 35 years;2002 January;4270;3790;490;3350;1590;1760
2251;Women;25 to 35 years;2002 February;3250;2880;370;3010;1610;1400
2252;Women;25 to 35 years;2002 March;3460;3030;430;3230;1700;1540
2253;Women;25 to 35 years;2002 April;3410;3030;380;3330;1810;1520
2254;Women;25 to 35 years;2002 May;3830;3360;470;3770;2070;1700
2255;Women;25 to 35 years;2002 June;3440;3020;420;3270;1760;1510
2256;Women;25 to 35 years;2002 July;3270;2890;380;3070;1580;1490
2257;Women;25 to 35 years;2002 August;3730;3300;430;3420;1690;1720
2258;Women;25 to 35 years;2002 September;3390;3020;380;3300;1840;1470
2259;Women;25 to 35 years;2002 October;4470;3950;520;4400;2220;2180
2260;Women;25 to 35 years;2002 November;4090;3590;500;3230;1600;1630
2261;Women;25 to 35 years;2002 December;2870;2500;380;2850;1400;1450
2262;Women;25 to 35 years;2002 Annual figure;43490;38370;5130;40230;20870;19360
2263;Women;25 to 35 years;2003 January;4950;4310;640;3590;1720;1870
2264;Women;25 to 35 years;2003 February;4600;3970;640;3520;1880;1640
2265;Women;25 to 35 years;2003 March;4560;3970;580;3640;2010;1630
2266;Women;25 to 35 years;2003 April;4480;3860;620;3660;2010;1650
2267;Women;25 to 35 years;2003 May;5020;4380;640;4460;2390;2080
2268;Women;25 to 35 years;2003 June;4230;3680;550;3430;1750;1680
2269;Women;25 to 35 years;2003 July;5290;4560;730;4410;2170;2250
2270;Women;25 to 35 years;2003 August;3870;3400;470;3260;1610;1650
2271;Women;25 to 35 years;2003 September;4470;3880;590;4060;2240;1820
2272;Women;25 to 35 years;2003 October;5400;4770;630;4720;2510;2210
2273;Women;25 to 35 years;2003 November;4490;3790;710;3840;1930;1910
2274;Women;25 to 35 years;2003 December;3930;3240;700;3560;1780;1780
2275;Women;25 to 35 years;2003 Annual figure;55280;47790;7490;46150;23990;22150
2276;Women;25 to 35 years;2004 January;4840;4130;710;4020;1920;2090
2277;Women;25 to 35 years;2004 February;4940;4300;650;4380;2320;2060
2278;Women;25 to 35 years;2004 March;4730;4090;640;4340;2340;2000
2279;Women;25 to 35 years;2004 April;5270;4660;610;4880;2800;2080
2280;Women;25 to 35 years;2004 May;3750;3210;530;3760;2080;1680
2281;Women;25 to 35 years;2004 June;4270;3650;630;3640;1930;1720
2282;Women;25 to 35 years;2004 July;4970;4300;670;5710;2500;3210
2283;Women;25 to 35 years;2004 August;3690;3200;490;4040;1790;2250
2284;Women;25 to 35 years;2004 September;4160;3580;580;4770;2200;2570
2285;Women;25 to 35 years;2004 October;5390;4700;690;6000;2820;3180
2286;Women;25 to 35 years;2004 November;4660;4060;600;4670;2160;2510
2287;Women;25 to 35 years;2004 December;4900;4250;650;4930;2260;2670
2288;Women;25 to 35 years;2004 Annual figure;55560;48120;7440;55140;27130;28010
2289;Women;25 to 35 years;2005 January;4850;4310;550;4460;1940;2520
2290;Women;25 to 35 years;2005 February;5350;4760;600;4870;2260;2610
2291;Women;25 to 35 years;2005 March;5510;4870;640;5870;2730;3140
2292;Women;25 to 35 years;2005 April;5130;4500;630;5190;2480;2710
2293;Women;25 to 35 years;2005 May;3910;3360;550;5020;2270;2740
2294;Women;25 to 35 years;2005 June;5330;4610;720;5510;2500;3000
2295;Women;25 to 35 years;2005 July;3880;3380;500;4750;2120;2630
2296;Women;25 to 35 years;2005 August;3570;3120;450;4230;1870;2360
2297;Women;25 to 35 years;2005 September;4670;4150;520;5620;2650;2980
2298;Women;25 to 35 years;2005 October;4080;3560;510;4870;2360;2510
2299;Women;25 to 35 years;2005 November;4060;3530;530;4660;2200;2470
2300;Women;25 to 35 years;2005 December;4180;3640;540;4580;2060;2520
2301;Women;25 to 35 years;2005 Annual figure;54540;47790;6750;59640;27450;32190
2302;Women;25 to 35 years;2006 January;3370;2980;380;4790;1990;2790
2303;Women;25 to 35 years;2006 February;4210;3720;500;4520;2130;2400
2304;Women;25 to 35 years;2006 March;4840;4220;630;5340;2480;2860
2305;Women;25 to 35 years;2006 April;3460;2980;480;4350;2200;2150
2306;Women;25 to 35 years;2006 May;3680;3190;480;4390;2140;2250
2307;Women;25 to 35 years;2006 June;3800;3350;460;4650;2160;2490
2308;Women;25 to 35 years;2006 July;2920;2570;360;3990;1720;2270
2309;Women;25 to 35 years;2006 August;3320;2910;420;4260;1900;2360
2310;Women;25 to 35 years;2006 September;2950;2590;370;3780;1910;1870
2311;Women;25 to 35 years;2006 October;3180;2800;390;3830;2030;1800
2312;Women;25 to 35 years;2006 November;3920;3430;490;4370;2220;2150
2313;Women;25 to 35 years;2006 December;2420;2150;280;3000;1460;1540
2314;Women;25 to 35 years;2006 Annual figure;42080;36860;5220;51270;24330;26930
2315;Women;25 to 35 years;2007 January;3070;2730;340;3230;1460;1770
2316;Women;25 to 35 years;2007 February;3340;2950;390;3400;1740;1660
2317;Women;25 to 35 years;2007 March;3830;3380;450;4210;2140;2070
2318;Women;25 to 35 years;2007 April;2630;2350;280;3370;1740;1620
2319;Women;25 to 35 years;2007 May;2820;2500;330;3490;1790;1690
2320;Women;25 to 35 years;2007 June;2350;2090;260;2820;1420;1400
2321;Women;25 to 35 years;2007 July;2300;2030;270;2720;1330;1390
2322;Women;25 to 35 years;2007 August;2590;2310;270;2830;1340;1490
2323;Women;25 to 35 years;2007 September;2320;2090;230;2860;1590;1260
2324;Women;25 to 35 years;2007 October;2700;2450;250;2730;1500;1240
2325;Women;25 to 35 years;2007 November;3390;3080;310;3250;1590;1670
2326;Women;25 to 35 years;2007 December;2250;2040;210;2230;1070;1160
2327;Women;25 to 35 years;2007 Annual figure;33580;30000;3580;37130;18710;18420
2328;Women;25 to 35 years;2008 January;3210;2930;290;2790;1310;1470
2329;Women;25 to 35 years;2008 February;2600;2330;260;2560;1310;1240
2330;Women;25 to 35 years;2008 March;2320;2080;240;2410;1340;1080
2331;Women;25 to 35 years;2008 April;2540;2320;210;2720;1450;1270
2332;Women;25 to 35 years;2008 May;2490;2250;240;2650;1340;1310
2333;Women;25 to 35 years;2008 June;2130;1880;250;2310;1250;1060
2334;Women;25 to 35 years;2008 July;2600;2360;230;2680;1250;1430
2335;Women;25 to 35 years;2008 August;2190;1980;200;2040;1030;1010
2336;Women;25 to 35 years;2008 September;2410;2160;250;2470;1350;1120
2337;Women;25 to 35 years;2008 October;3160;2850;310;2860;1650;1210
2338;Women;25 to 35 years;2008 November;2660;2430;230;2370;1270;1090
2339;Women;25 to 35 years;2008 December;2810;2590;220;2200;1060;1140
2340;Women;25 to 35 years;2008 Annual figure;31100;28170;2930;30050;15620;14430
2341;Women;25 to 35 years;2009 January;3510;3220;290;2530;1250;1290
2342;Women;25 to 35 years;2009 February;3590;3280;320;2720;1320;1400
2343;Women;25 to 35 years;2009 March;3720;3460;260;2770;1350;1420
2344;Women;25 to 35 years;2009 April;4600;4300;300;3340;1630;1710
2345;Women;25 to 35 years;2009 May;3840;3620;230;2890;1420;1470
2346;Women;25 to 35 years;2009 June;4440;4210;230;3090;1540;1550
2347;Women;25 to 35 years;2009 July;5050;4780;270;3690;1620;2080
2348;Women;25 to 35 years;2009 August;4010;3800;210;3270;1500;1770
2349;Women;25 to 35 years;2009 September;4710;4420;290;4000;2050;1960
2350;Women;25 to 35 years;2009 October;5480;5090;390;4450;2380;2080
2351;Women;25 to 35 years;2009 November;4490;4200;280;3820;1830;1990
2352;Women;25 to 35 years;2009 December;4720;4430;300;4070;1630;2440
2353;Women;25 to 35 years;2009 Annual figure;52170;48810;3360;40660;19520;21140
2354;Women;25 to 35 years;2010 January;5220;4890;330;4510;1980;2530
2355;Women;35 to 45 years;1998 January;4340;3970;370;3970;2010;1960
2356;Women;35 to 45 years;1998 February;3470;3090;380;3540;2280;1250
2357;Women;35 to 45 years;1998 March;2870;2540;330;3510;2190;1320
2358;Women;35 to 45 years;1998 April;3250;2760;490;4470;2870;1600
2359;Women;35 to 45 years;1998 May;2640;2240;400;3400;2010;1390
2360;Women;35 to 45 years;1998 June;2750;2360;380;3160;1890;1270
2361;Women;35 to 45 years;1998 July;3510;3070;440;3420;1850;1560
2362;Women;35 to 45 years;1998 August;2780;2500;290;2530;1440;1090
2363;Women;35 to 45 years;1998 September;2600;2280;330;3480;2280;1200
2364;Women;35 to 45 years;1998 October;3250;2800;440;4380;2730;1650
2365;Women;35 to 45 years;1998 November;2950;2630;320;3240;1800;1450
2366;Women;35 to 45 years;1998 December;3250;2900;350;3090;1520;1570
2367;Women;35 to 45 years;1998 Annual figure;37650;33130;4520;42190;24880;17310
2368;Women;35 to 45 years;1999 January;3170;2830;340;3380;1830;1550
2369;Women;35 to 45 years;1999 February;2710;2390;320;3120;1820;1300
2370;Women;35 to 45 years;1999 March;3170;2710;460;4140;2520;1620
2371;Women;35 to 45 years;1999 April;2160;1850;310;3190;1950;1240
2372;Women;35 to 45 years;1999 May;2050;1750;300;2920;1570;1350
2373;Women;35 to 45 years;1999 June;2290;1970;320;3210;1760;1450
2374;Women;35 to 45 years;1999 July;2460;2130;320;2520;1260;1260
2375;Women;35 to 45 years;1999 August;2060;1830;230;2240;1200;1030
2376;Women;35 to 45 years;1999 September;2620;2290;330;3700;2260;1440
2377;Women;35 to 45 years;1999 October;2290;1980;300;2980;1770;1210
2378;Women;35 to 45 years;1999 November;2530;2210;330;2880;1610;1270
2379;Women;35 to 45 years;1999 December;2150;1840;310;2760;1310;1450
2380;Women;35 to 45 years;1999 Annual figure;29650;25780;3870;37050;20870;16180
2381;Women;35 to 45 years;2000 January;2840;2520;330;2710;1460;1250
2382;Women;35 to 45 years;2000 February;2450;2140;310;2790;1630;1150
2383;Women;35 to 45 years;2000 March;2660;2290;370;3220;1890;1330
2384;Women;35 to 45 years;2000 April;2040;1690;350;2800;1600;1190
2385;Women;35 to 45 years;2000 May;2040;1710;330;2720;1560;1160
2386;Women;35 to 45 years;2000 June;2160;1740;420;2780;1420;1360
2387;Women;35 to 45 years;2000 July;2370;1970;390;2420;1040;1370
2388;Women;35 to 45 years;2000 August;2200;1870;330;2400;1270;1130
2389;Women;35 to 45 years;2000 September;1890;1580;310;2670;1610;1070
2390;Women;35 to 45 years;2000 October;2180;1790;390;2720;1520;1200
2391;Women;35 to 45 years;2000 November;2740;2240;500;2890;1590;1300
2392;Women;35 to 45 years;2000 December;1690;1380;310;2020;1000;1020
2393;Women;35 to 45 years;2000 Annual figure;27260;22930;4330;32140;17600;14540
2394;Women;35 to 45 years;2001 January;2170;1860;310;2330;1190;1140
2395;Women;35 to 45 years;2001 February;2190;1880;310;2310;1260;1050
2396;Women;35 to 45 years;2001 March;2770;2260;510;3280;1670;1620
2397;Women;35 to 45 years;2001 April;2070;1670;410;2620;1520;1100
2398;Women;35 to 45 years;2001 May;2210;1800;410;2690;1440;1250
2399;Women;35 to 45 years;2001 June;1950;1610;340;2120;1040;1080
2400;Women;35 to 45 years;2001 July;2170;1690;480;2150;1000;1150
2401;Women;35 to 45 years;2001 August;1890;1620;280;1980;1000;980
2402;Women;35 to 45 years;2001 September;1960;1610;350;2630;1490;1140
2403;Women;35 to 45 years;2001 October;2310;1890;420;2550;1420;1130
2404;Women;35 to 45 years;2001 November;2790;2290;490;2890;1490;1400
2405;Women;35 to 45 years;2001 December;1670;1380;290;2140;910;1230
2406;Women;35 to 45 years;2001 Annual figure;26140;21550;4600;29690;15420;14270
2407;Women;35 to 45 years;2002 January;3270;2840;430;2720;1330;1390
2408;Women;35 to 45 years;2002 February;2500;2140;350;2440;1250;1190
2409;Women;35 to 45 years;2002 March;2500;2090;410;2610;1410;1200
2410;Women;35 to 45 years;2002 April;2630;2240;390;2620;1480;1150
2411;Women;35 to 45 years;2002 May;2980;2530;450;2920;1600;1320
2412;Women;35 to 45 years;2002 June;2680;2300;380;2550;1340;1210
2413;Women;35 to 45 years;2002 July;2500;2110;390;2410;1230;1180
2414;Women;35 to 45 years;2002 August;2870;2450;420;2470;1260;1210
2415;Women;35 to 45 years;2002 September;2750;2350;400;2860;1690;1170
2416;Women;35 to 45 years;2002 October;3410;2880;520;3500;1930;1570
2417;Women;35 to 45 years;2002 November;3160;2670;490;2590;1310;1280
2418;Women;35 to 45 years;2002 December;2280;1900;370;2220;1070;1150
2419;Women;35 to 45 years;2002 Annual figure;33510;28510;5000;31910;16880;15030
2420;Women;35 to 45 years;2003 January;3890;3280;610;2880;1410;1470
2421;Women;35 to 45 years;2003 February;3500;2960;540;2820;1460;1360
2422;Women;35 to 45 years;2003 March;3350;2790;550;2890;1510;1380
2423;Women;35 to 45 years;2003 April;3390;2810;580;2830;1510;1320
2424;Women;35 to 45 years;2003 May;3800;3180;620;3370;1750;1620
2425;Women;35 to 45 years;2003 June;3170;2690;480;2670;1340;1330
2426;Women;35 to 45 years;2003 July;4140;3430;710;3000;1380;1610
2427;Women;35 to 45 years;2003 August;3030;2550;480;2390;1130;1260
2428;Women;35 to 45 years;2003 September;3460;2970;490;3400;1870;1530
2429;Women;35 to 45 years;2003 October;4180;3540;650;3750;2020;1740
2430;Women;35 to 45 years;2003 November;3500;2840;660;3040;1540;1500
2431;Women;35 to 45 years;2003 December;3010;2350;660;2640;1310;1330
2432;Women;35 to 45 years;2003 Annual figure;42430;35390;7040;35660;18230;17440
2433;Women;35 to 45 years;2004 January;3700;3040;660;3080;1500;1580
2434;Women;35 to 45 years;2004 February;3840;3170;680;3200;1700;1500
2435;Women;35 to 45 years;2004 March;3720;3080;640;3250;1710;1550
2436;Women;35 to 45 years;2004 April;4030;3440;590;3870;2140;1730
2437;Women;35 to 45 years;2004 May;3100;2550;550;2890;1570;1320
2438;Women;35 to 45 years;2004 June;3480;2890;600;2710;1420;1290
2439;Women;35 to 45 years;2004 July;4170;3500;670;4200;1860;2350
2440;Women;35 to 45 years;2004 August;2860;2350;510;2990;1310;1680
2441;Women;35 to 45 years;2004 September;3550;2910;630;3630;1970;1670
2442;Women;35 to 45 years;2004 October;4530;3820;710;4380;2380;2010
2443;Women;35 to 45 years;2004 November;3890;3200;690;3580;1930;1640
2444;Women;35 to 45 years;2004 December;4060;3340;730;3470;1780;1690
2445;Women;35 to 45 years;2004 Annual figure;44930;37280;7660;41250;21250;20000
2446;Women;35 to 45 years;2005 January;4240;3560;680;3070;1600;1460
2447;Women;35 to 45 years;2005 February;4400;3750;660;3550;1910;1650
2448;Women;35 to 45 years;2005 March;4410;3730;680;4310;2290;2030
2449;Women;35 to 45 years;2005 April;4140;3470;670;4040;2180;1860
2450;Women;35 to 45 years;2005 May;3240;2700;550;4100;1930;2170
2451;Women;35 to 45 years;2005 June;4370;3630;740;4330;2260;2060
2452;Women;35 to 45 years;2005 July;3320;2790;540;3610;1740;1870
2453;Women;35 to 45 years;2005 August;3120;2600;520;3260;1500;1760
