ID;Perioden;IndividueleBinnenlandseProductie_1;TotaalVerzekeringenInEuroS_2;Hypotheek_3;PensioenUitgesteld_4;LijfrenteUitgesteld_5;DirectIngaandeRente_6;LevenslangBijOverlijden_7;Spaarverzekering_8;Risicoverzekering_9;OverigeIndividueleVerzekeringen_10;TotaalVerzekeringInBeleggingseenheden_11;Hypotheek_12;PensioenUitgesteld_13;LijfrenteUitgesteld_14;DirectIngaandeRente_15;LevenslangBijOverlijden_16;Spaarverzekering_17;Risicoverzekering_18;OverigeIndividueleVerzekeringen_19;IndividueleBinnenlandseProductie_20;TotaalVerzekeringenInEuroS_21;Hypotheek_22;PensioenUitgesteld_23;LijfrenteUitgesteld_24;DirectIngaandeRente_25;LevenslangBijOverlijden_26;Spaarverzekering_27;Risicoverzekering_28;OverigeIndividueleVerzekeringen_29;TotaalVerzekeringInBeleggingseenheden_30;Hypotheek_31;PensioenUitgesteld_32;LijfrenteUitgesteld_33;DirectIngaandeRente_34;LevenslangBijOverlijden_35;Spaarverzekering_36;Risicoverzekering_37;OverigeIndividueleVerzekeringen_38;IndividueleBinnenlandseProductie_39;TotaalVerzekeringenInEuroS_40;Hypotheek_41;PensioenUitgesteld_42;LijfrenteUitgesteld_43;DirectIngaandeRente_44;LevenslangBijOverlijden_45;Spaarverzekering_46;Risicoverzekering_47;OverigeIndividueleVerzekeringen_48;TotaalVerzekeringInBeleggingseenheden_49;Hypotheek_50;PensioenUitgesteld_51;LijfrenteUitgesteld_52;DirectIngaandeRente_53;LevenslangBijOverlijden_54;Spaarverzekering_55;Risicoverzekering_56;OverigeIndividueleVerzekeringen_57;IndividueleBinnenlandseProductie_58;TotaalVerzekeringenInEuroS_59;Hypotheek_60;PensioenUitgesteld_61;LijfrenteUitgesteld_62;DirectIngaandeRente_63;LevenslangBijOverlijden_64;Spaarverzekering_65;Risicoverzekering_66;OverigeIndividueleVerzekeringen_67;TotaalVerzekeringInBeleggingseenheden_68;Hypotheek_69;PensioenUitgesteld_70;LijfrenteUitgesteld_71;DirectIngaandeRente_72;LevenslangBijOverlijden_73;Spaarverzekering_74;Risicoverzekering_75;OverigeIndividueleVerzekeringen_76;IndividueleBinnenlandseProductie_77;TotaalVerzekeringenInEuroS_78;Hypotheek_79;PensioenUitgesteld_80;LijfrenteUitgesteld_81;DirectIngaandeRente_82;LevenslangBijOverlijden_83;Spaarverzekering_84;Risicoverzekering_85;OverigeIndividueleVerzekeringen_86;TotaalVerzekeringInBeleggingseenheden_87;Hypotheek_88;PensioenUitgesteld_89;LijfrenteUitgesteld_90;DirectIngaandeRente_91;LevenslangBijOverlijden_92;Spaarverzekering_93;Risicoverzekering_94;OverigeIndividueleVerzekeringen_95;IndividueleBinnenlandseProductie_96;TotaalVerzekeringenInEuroS_97;Hypotheek_98;PensioenUitgesteld_99;LijfrenteUitgesteld_100;DirectIngaandeRente_101;LevenslangBijOverlijden_102;Spaarverzekering_103;Risicoverzekering_104;OverigeIndividueleVerzekeringen_105;TotaalVerzekeringInBeleggingseenheden_106;Hypotheek_107;PensioenUitgesteld_108;LijfrenteUitgesteld_109;DirectIngaandeRente_110;LevenslangBijOverlijden_111;Spaarverzekering_112;Risicoverzekering_113;OverigeIndividueleVerzekeringen_114;IndividueleBinnenlandseProductie_115;TotaalVerzekeringenInEuroS_116;Hypotheek_117;PensioenUitgesteld_118;LijfrenteUitgesteld_119;DirectIngaandeRente_120;LevenslangBijOverlijden_121;Spaarverzekering_122;Risicoverzekering_123;OverigeIndividueleVerzekeringen_124;TotaalVerzekeringInBeleggingseenheden_125;Hypotheek_126;PensioenUitgesteld_127;LijfrenteUitgesteld_128;DirectIngaandeRente_129;LevenslangBijOverlijden_130;Spaarverzekering_131;Risicoverzekering_132;OverigeIndividueleVerzekeringen_133;TotaleSpaarkasproductie_134;Hypotheek_135;PensioenUitgesteld_136;LijfrenteUitgesteld_137;Ongeclausuleerd_138;TotaleSpaarkasproductie_139;Hypotheek_140;PensioenUitgesteld_141;LijfrenteUitgesteld_142;Ongeclausuleerd_143;TotaleSpaarkasproductie_144;Hypotheek_145;PensioenUitgesteld_146;LijfrenteUitgesteld_147;Ongeclausuleerd_148;TotaleSpaarkasproductie_149;Hypotheek_150;PensioenUitgesteld_151;LijfrenteUitgesteld_152;Ongeclausuleerd_153;TotaleSpaarkasproductie_154;Hypotheek_155;PensioenUitgesteld_156;LijfrenteUitgesteld_157;Ongeclausuleerd_158;TotaleSpaarkasproductie_159;Hypotheek_160;PensioenUitgesteld_161;LijfrenteUitgesteld_162;Ongeclausuleerd_163
79;1999 februari;127.9;64.9;9.8;1.8;11.2;0.0;24.0;5.9;11.0;1.2;63.0;14.5;2.2;12.7;0.0;0.3;29.7;2.3;1.2;4032.3;1775.1;565.1;308.9;186.1;0.0;97.9;126.5;448.0;42.5;2257.2;1003.5;231.3;432.3;0.0;8.0;499.2;55.1;27.9;105.7;32.7;10.6;5.8;5.9;0.0;2.2;4.7;2.8;0.7;73.0;21.7;5.9;18.2;0.0;0.1;24.3;1.2;1.5;60.5;10.3;2.8;2.5;2.5;0.0;0.0;1.5;0.2;0.6;50.2;15.0;3.2;12.5;0.0;0.1;15.2;1.5;2.8;22.9;15.2;0.0;0.2;6.0;4.3;0.6;0.9;3.0;0.1;7.7;0.1;0.1;6.3;0.4;0.0;0.6;0.1;0.1;720.6;564.0;0.4;16.6;132.6;283.8;1.3;27.1;95.9;6.3;156.6;2.4;4.5;64.8;64.4;0.0;8.9;1.8;9.7;404.5;302.0;0.7;11.4;89.6;177.3;0.9;14.9;5.9;1.1;102.6;2.1;3.2;58.3;25.8;0.0;8.3;0.7;4.1;12.4;0.2;0.0;2.4;9.7;159.5;3.0;0.2;47.3;109.0;7.4;0.1;0.0;1.8;5.4;4.1;0.2;0.0;1.4;2.5;1.3;0.1;0.0;0.3;0.8;0.5;0.0;0.0;0.2;0.3
80;1999 maart;130.7;61.5;9.4;2.0;5.2;0.0;22.8;7.8;11.2;3.2;69.2;19.4;3.5;15.2;0.0;1.0;27.6;1.4;0.9;4745.3;1891.9;555.0;402.0;150.9;0.0;93.4;166.4;473.6;50.6;2853.4;1371.7;285.9;506.7;0.0;10.8;587.2;62.4;28.6;120.7;35.8;10.0;7.8;4.9;0.0;2.2;6.6;2.9;1.2;84.9;31.4;5.0;21.0;0.0;0.6;24.8;1.0;1.0;72.1;9.6;2.2;2.4;2.7;0.0;0.0;1.7;0.3;0.2;62.5;16.3;3.5;14.7;0.0;0.1;25.2;1.3;1.5;31.0;16.6;0.0;0.2;7.4;3.8;0.6;1.0;3.5;0.1;14.4;0.1;0.1;12.7;0.4;0.0;0.9;0.1;0.1;667.0;483.2;1.6;17.0;98.7;243.6;1.3;20.8;94.5;5.6;183.8;3.0;6.3;90.8;65.8;0.0;10.3;2.0;5.6;376.9;248.8;1.0;9.0;66.8;149.1;0.9;12.4;7.7;2.0;128.1;2.4;5.3;83.7;23.6;0.0;9.7;1.0;2.4;16.1;0.2;0.0;4.0;11.8;216.7;3.3;0.1;80.9;132.5;10.0;0.1;0.0;3.4;6.5;5.3;0.1;0.1;2.3;2.8;1.5;0.1;0.0;0.5;0.9;0.7;0.0;0.0;0.4;0.3
81;1999 april;135.6;69.0;9.3;2.5;4.2;0.0;29.2;6.4;15.4;2.0;66.7;17.7;3.2;15.5;0.0;0.3;27.6;1.2;1.2;4820.6;2113.3;553.7;417.3;154.5;0.0;104.4;144.0;695.6;43.7;2707.3;1254.4;275.2;494.4;0.0;3.0;613.8;32.2;34.2;119.1;36.4;10.2;8.0;4.9;0.0;2.7;5.2;4.4;1.0;82.7;28.6;5.8;21.5;0.0;0.1;24.4;1.0;1.3;64.2;9.1;2.8;2.2;2.3;0.0;0.0;1.3;0.3;0.2;55.1;15.7;4.8;13.4;0.0;0.0;17.7;1.4;2.0;24.7;11.7;0.0;0.2;4.8;2.6;0.7;0.9;2.5;0.1;13.0;0.1;0.1;11.2;0.3;0.0;1.1;0.1;0.1;442.3;320.8;1.0;11.0;66.6;151.7;1.3;13.9;72.1;3.4;121.5;1.7;6.2;67.4;28.1;0.0;9.7;1.5;6.9;268.8;162.5;0.4;6.3;42.8;97.5;0.8;8.8;5.1;0.7;106.4;1.7;5.9;64.3;21.8;0.0;8.7;0.6;3.4;14.8;0.1;0.0;3.5;11.2;195.9;2.0;0.1;67.2;126.6;8.9;0.1;0.0;2.5;6.3;5.2;0.1;0.0;2.9;2.2;1.4;0.1;0.0;0.5;0.8;0.7;0.0;0.0;0.5;0.2
82;1999 mei;120.2;56.7;8.0;2.0;3.2;0.0;25.8;6.1;10.7;0.8;63.5;18.9;2.9;12.6;0.0;0.3;26.6;1.1;1.1;4465.3;1712.7;465.2;363.6;112.4;0.0;113.4;141.1;485.2;31.8;2752.6;1339.9;264.3;432.9;0.0;1.2;632.6;53.7;28.0;108.2;30.1;8.3;7.1;3.8;0.0;2.4;5.0;2.8;0.6;78.1;30.0;4.9;18.6;0.0;0.0;22.6;0.8;1.1;63.5;7.7;2.6;1.9;1.5;0.0;0.0;1.2;0.3;0.1;55.8;18.0;3.4;9.7;0.0;0.0;21.8;0.5;2.3;17.5;9.3;0.0;0.1;2.8;2.2;0.5;0.7;2.9;0.1;8.2;0.1;0.2;6.9;0.2;0.0;0.7;0.1;0.0;413.1;296.5;0.5;13.7;46.9;140.9;1.2;10.7;80.0;2.7;116.6;2.3;4.4;53.5;35.2;0.0;12.2;1.6;7.4;238.0;154.1;0.6;6.9;32.3;98.5;0.8;7.7;5.8;1.5;83.9;2.1;3.6;51.1;12.5;0.0;10.2;0.8;3.6;13.6;0.3;0.0;3.7;9.6;186.0;4.7;0.1;67.4;113.8;8.4;0.2;0.0;2.7;5.4;5.0;0.1;0.1;2.5;2.3;1.4;0.2;0.0;0.5;0.8;0.6;0.0;0.0;0.4;0.2
83;1999 juni;137.3;60.3;10.7;2.1;3.5;0.0;24.7;5.4;12.6;1.3;77.0;23.8;3.2;18.4;0.0;0.3;28.5;1.5;1.2;5403.0;1992.9;624.4;342.4;130.9;0.0;106.0;116.5;605.5;67.2;3410.2;1698.2;293.2;629.2;0.0;1.0;688.6;61.7;38.3;142.4;34.7;12.6;6.6;4.5;0.0;2.4;4.2;3.4;1.0;107.6;39.9;6.1;31.9;0.0;0.0;27.3;1.0;1.3;92.0;11.3;4.1;3.3;2.2;0.0;0.3;0.9;0.4;0.2;80.7;22.6;7.6;19.3;0.0;0.0;26.8;1.7;2.8;28.4;12.9;0.0;0.1;4.6;2.7;1.3;0.7;3.4;0.1;15.6;0.1;0.2;14.0;0.4;0.0;0.8;0.1;0.0;577.4;390.0;1.0;13.2;79.8;179.7;3.2;22.8;87.2;3.0;187.4;1.6;5.8;96.6;60.2;0.0;8.6;2.0;12.7;329.7;195.4;1.0;6.0;45.4;122.2;1.1;11.5;6.3;1.9;134.2;1.7;5.1;94.2;19.7;0.0;8.9;0.9;3.8;12.1;0.3;0.0;3.3;8.5;164.9;4.3;0.1;62.1;98.4;7.4;0.2;0.0;2.1;5.0;4.5;0.2;0.1;2.3;2.0;1.2;0.2;0.0;0.4;0.6;0.6;0.0;0.0;0.4;0.2
84;1999 juli;132.9;59.5;8.5;2.2;3.6;0.0;24.6;5.4;14.3;0.9;73.3;20.5;4.3;15.4;0.0;0.3;30.4;1.2;1.2;5196.6;2044.1;517.9;330.7;169.5;0.0;87.1;109.1;781.8;47.9;3152.5;1505.0;313.5;529.6;0.0;1.0;718.9;55.7;28.9;127.8;34.7;9.3;7.0;5.2;0.0;2.6;4.4;4.1;2.1;93.1;32.6;6.7;23.8;0.0;0.0;27.5;1.1;1.4;89.3;10.9;3.3;2.5;2.5;0.0;0.0;1.3;0.5;0.7;78.5;24.6;6.9;17.1;0.0;0.0;26.3;1.2;2.4;24.5;12.0;0.0;0.2;4.1;3.1;0.8;0.8;3.0;0.1;12.5;0.1;0.2;10.7;0.2;0.0;0.9;0.3;0.1;656.2;470.7;0.9;16.4;100.8;226.9;1.9;16.1;104.5;3.2;185.5;3.2;5.1;90.7;61.6;0.0;14.9;0.4;9.6;381.9;246.7;0.7;9.5;62.2;154.1;1.6;9.3;6.6;2.7;135.2;2.5;4.9;89.6;21.8;0.0;12.5;0.3;3.6;11.9;0.3;0.0;2.9;8.8;147.8;3.7;0.1;52.2;91.8;7.0;0.2;0.0;2.1;4.7;5.6;0.2;0.1;3.0;2.2;1.1;0.1;0.0;0.4;0.6;0.8;0.0;0.0;0.5;0.2
85;1999 augustus;108.3;49.8;9.3;1.7;4.0;0.0;18.2;6.0;9.8;0.9;58.5;17.4;3.2;11.6;0.0;0.2;23.8;1.3;1.0;4603.1;1771.4;620.6;275.7;126.2;0.0;66.9;128.4;503.7;50.0;2831.7;1285.2;253.8;463.3;0.0;1.0;758.5;37.8;32.0;111.0;31.2;10.8;6.4;4.4;0.0;1.7;4.4;2.8;0.7;79.9;29.2;5.9;16.7;0.0;0.0;26.1;0.9;1.0;83.9;9.0;3.7;2.0;1.5;0.0;0.3;1.0;0.3;0.3;74.9;22.9;3.3;9.7;0.0;0.0;36.1;1.0;2.0;12.8;7.9;0.0;0.1;1.9;2.3;0.3;0.4;2.7;0.1;5.0;0.2;0.1;3.6;0.2;0.0;0.8;0.1;0.1;471.7;355.2;1.0;11.6;60.8;175.5;0.8;15.2;83.3;7.0;116.5;2.5;4.4;44.2;39.4;0.0;15.5;1.2;9.3;258.5;180.8;0.4;5.6;35.3;123.5;0.6;7.4;5.3;2.8;77.7;2.4;3.9;41.2;13.0;0.0;12.3;1.0;3.9;11.0;0.3;0.0;2.4;8.3;157.6;3.7;0.1;45.9;107.9;7.6;0.2;0.0;1.7;5.7;3.8;0.2;0.0;1.6;1.9;1.2;0.2;0.0;0.3;0.7;0.5;0.0;0.0;0.2;0.2
86;1999 september;111.4;52.4;8.7;2.1;3.0;0.0;18.7;8.4;9.9;1.6;59.0;19.6;4.0;11.0;0.0;0.3;21.7;1.0;1.3;4628.1;1673.9;526.3;340.5;98.2;0.0;78.8;96.5;453.1;80.5;2954.2;1443.1;329.9;443.0;0.0;0.8;660.3;47.7;29.4;110.1;30.2;9.7;6.2;3.4;0.0;1.8;4.1;2.8;2.3;80.0;34.6;5.8;15.5;0.0;0.0;21.9;1.0;1.2;74.9;9.5;3.9;2.4;1.3;0.0;0.0;0.8;0.6;0.4;65.4;22.4;4.3;7.4;0.0;0.0;28.0;1.3;2.0;11.5;8.0;0.0;0.2;1.6;2.3;0.5;0.3;3.1;0.1;3.6;0.1;0.1;2.6;0.1;0.0;0.4;0.1;0.0;435.5;355.1;0.3;13.9;60.6;173.8;0.9;21.1;75.3;9.1;80.5;2.9;3.3;33.3;30.7;0.0;8.6;1.5;0.3;245.5;183.3;0.3;7.7;36.6;119.7;0.5;10.0;6.6;1.8;62.2;3.0;2.4;32.9;11.0;0.0;8.4;0.9;3.6;8.8;0.3;0.0;1.6;6.9;119.1;3.7;0.0;34.4;81.0;5.4;0.2;0.0;1.3;3.9;2.5;0.2;0.0;0.7;1.5;1.0;0.1;0.0;0.3;0.6;0.3;0.0;0.0;0.1;0.1
87;1999 oktober;104.6;50.3;7.9;1.7;2.0;0.0;25.8;2.6;9.4;0.8;54.4;17.7;4.5;9.1;0.0;0.3;20.3;1.2;1.3;4046.9;1489.8;500.5;262.9;82.2;0.0;88.2;67.4;453.1;35.6;2557.1;1286.2;310.5;340.1;0.0;0.8;549.3;43.3;27.0;95.4;24.8;9.6;4.9;2.6;0.0;2.0;2.6;2.4;0.6;70.7;30.7;7.1;12.5;0.0;0.0;18.1;1.0;1.1;73.1;10.3;4.8;2.8;0.9;0.0;0.0;1.4;0.3;0.2;62.7;21.5;4.6;7.5;0.0;0.0;25.7;1.2;2.1;9.7;6.2;0.0;0.2;1.4;2.0;0.3;0.3;2.0;0.1;3.5;0.1;0.2;2.7;0.1;0.0;0.3;0.1;0.0;386.7;302.2;0.5;16.2;54.5;154.2;0.8;13.8;55.4;6.9;84.5;3.0;2.6;33.0;34.9;0.0;6.6;0.7;3.5;211.6;154.1;0.2;9.9;32.2;100.5;0.5;6.0;3.8;1.1;57.4;2.9;2.6;33.7;10.8;0.0;5.4;0.4;1.5;8.7;0.3;0.0;1.3;7.1;100.0;3.9;0.1;23.7;72.2;4.8;0.2;0.0;1.0;3.6;2.7;0.2;0.1;0.9;1.5;1.0;0.2;0.0;0.2;0.6;0.3;0.0;0.0;0.2;0.1
88;1999 november;116.7;56.8;7.7;2.0;2.1;0.0;30.7;3.8;9.7;0.8;59.9;17.4;4.6;9.1;0.0;0.2;25.7;1.7;1.3;4164.9;1579.3;504.3;318.3;79.3;0.0;96.0;82.2;460.5;38.8;2585.6;1265.8;326.0;322.7;0.0;0.7;595.3;49.8;25.3;102.8;28.2;9.2;5.7;2.8;0.0;2.6;4.5;2.8;0.6;74.6;30.1;7.5;12.8;0.0;0.0;21.8;1.2;1.2;70.6;9.7;3.9;2.1;1.1;0.0;0.0;1.9;0.4;0.3;60.9;21.6;6.1;7.2;0.0;0.0;22.5;1.2;2.3;13.9;8.6;0.0;0.1;3.0;2.4;0.6;0.4;2.0;0.1;5.3;0.2;0.2;4.2;0.1;0.0;0.5;0.1;0.0;497.1;400.2;0.0;19.1;100.9;202.4;1.3;14.7;57.3;4.4;96.9;5.7;4.7;46.1;27.9;0.0;5.6;1.5;5.5;264.9;197.5;0.3;13.1;63.7;107.2;1.0;7.1;3.9;1.3;67.3;3.6;3.9;39.8;9.9;0.0;6.2;1.0;2.9;7.7;0.2;0.0;0.8;6.6;90.8;3.4;0.3;16.4;70.7;4.2;0.2;0.0;0.4;3.6;3.0;0.2;0.1;1.1;1.5;0.7;0.1;0.0;0.1;0.5;0.4;0.0;0.0;0.2;0.2
89;1999 december;120.8;57.5;8.9;2.0;1.6;0.0;30.9;4.0;9.6;0.5;63.2;17.3;3.6;11.5;0.0;0.3;27.7;1.7;1.2;4261.7;1569.8;595.1;284.2;70.7;0.0;109.1;74.0;417.0;19.4;2691.9;1259.9;297.3;405.4;0.0;0.7;633.1;67.6;28.0;104.4;29.0;11.8;4.7;2.7;0.0;2.9;3.8;2.8;0.4;75.4;30.3;6.1;15.2;0.0;0.0;21.7;1.0;1.1;95.8;16.7;5.9;4.5;3.0;0.0;0.1;2.5;0.4;0.1;79.1;24.4;9.1;19.6;0.0;0.0;22.9;0.9;2.3;23.9;11.5;0.0;0.1;5.4;3.0;0.6;0.8;1.5;0.1;12.3;0.1;0.2;10.2;0.2;0.0;1.4;0.1;0.1;592.4;418.7;1.3;16.7;121.2;203.4;7.1;15.4;49.1;4.4;173.7;3.3;5.1;91.2;47.0;0.0;11.4;1.6;14.1;348.0;221.8;0.4;8.6;78.2;120.3;1.1;8.5;2.9;1.8;126.2;2.7;4.3;83.7;16.0;0.0;12.0;0.9;6.7;9.5;0.2;0.0;1.3;8.0;123.1;3.3;0.1;25.4;94.3;4.8;0.1;0.0;0.2;4.4;5.7;0.2;0.1;2.9;2.5;0.8;0.1;0.0;0.0;0.6;0.9;0.0;0.0;0.5;0.3
90;1999;1544.5;769.2;108.6;24.3;115.2;0.0;300.5;69.2;134.7;16.6;775.4;219.2;41.3;159.2;0.0;4.5;320.1;16.8;13.9;55184.6;21930.6;6599.9;3989.7;1930.0;0.0;1173.3;1381.4;6294.0;561.9;33254.2;15632.3;3440.8;5559.1;0.0;33.8;7607.9;622.9;357.6;1368.6;390.1;122.1;75.9;58.6;0.0;29.3;54.6;37.2;12.3;978.7;361.0;72.2;230.3;0.0;0.9;287.0;12.1;14.4;910.4;128.0;42.7;31.9;26.2;0.0;0.7;18.0;4.3;3.6;782.4;238.1;60.1;149.7;0.0;0.2;294.1;14.1;26.3;259.8;148.0;0.0;2.0;58.9;37.3;7.5;8.6;32.7;1.2;112.1;1.3;1.8;94.1;2.9;0.0;9.8;1.3;0.7;6769.9;5123.6;9.3;192.2;1138.1;2528.7;23.0;220.2;953.5;58.5;1646.4;33.8;57.8;781.9;538.4;0.0;125.8;16.3;92.3;3860.2;2668.4;6.9;106.3;749.0;1588.4;11.0;121.9;65.7;19.3;1191.7;29.1;49.4;746.0;199.7;0.0;115.5;8.8;43.3;142.5;3.2;0.0;30.2;108.8;1831.8;46.8;1.5;571.0;1212.5;84.2;2.1;0.0;21.3;60.3;52.0;2.2;0.8;23.4;25.3;14.5;1.8;0.0;4.0;8.6;6.9;0.0;0.0;3.9;2.5
91;2000 januari;112.8;58.9;6.8;2.0;1.8;0.0;32.4;4.1;10.5;1.4;53.9;15.5;3.4;10.2;0.0;0.2;22.6;1.3;0.9;4025.6;1568.9;473.4;322.2;71.4;0.0;83.0;74.8;500.2;43.9;2456.7;1191.8;331.7;378.2;0.0;0.6;490.4;44.5;19.5;94.4;23.7;7.7;5.0;2.1;0.0;2.3;2.9;2.5;1.2;70.7;25.5;7.4;14.3;0.0;0.0;22.0;0.6;0.8;86.6;15.6;4.0;3.1;3.2;0.0;0.0;3.9;0.1;1.2;71.1;22.5;4.5;13.6;0.0;0.0;27.6;0.7;2.2;46.9;27.1;0.0;0.2;14.1;6.6;0.7;1.2;4.2;0.1;19.8;0.1;0.2;17.6;0.3;0.0;1.4;0.1;0.1;1102.0;882.4;0.5;17.4;266.8;416.7;2.2;15.6;156.7;6.4;219.6;5.0;7.9;114.1;59.9;0.0;23.0;1.1;8.6;655.7;486.9;0.5;11.3;193.1;255.4;1.0;14.5;8.3;2.7;168.9;2.3;6.0;116.3;26.0;0.0;13.5;0.5;4.1;5.7;0.2;0.0;0.4;5.1;65.8;2.6;0.3;4.9;58.0;3.0;0.1;0.0;0.2;2.7;2.5;0.1;0.3;1.1;0.9;0.8;0.1;0.0;0.0;0.6;0.4;0.0;0.0;0.2;0.1
92;2000 februari;106.3;58.3;6.4;1.7;1.5;0.0;33.5;4.1;10.1;1.1;48.0;14.1;3.6;10.1;0.0;0.2;17.6;1.7;0.6;3734.7;1449.0;471.1;287.4;54.4;0.0;82.9;78.3;437.6;37.3;2285.7;1070.8;356.6;359.0;0.0;0.6;461.0;26.8;10.8;87.4;23.4;7.9;5.0;2.0;0.0;2.5;3.1;2.3;0.5;64.0;22.5;8.7;13.1;0.0;0.0;18.5;0.5;0.7;86.9;12.3;4.4;3.1;1.6;0.0;0.0;2.6;0.1;0.3;74.6;22.8;7.6;16.2;0.0;0.0;24.9;0.9;2.1;29.0;16.6;0.0;0.2;6.1;5.6;0.4;1.1;3.0;0.2;12.4;0.1;0.3;10.8;0.3;0.0;0.8;0.1;0.1;837.2;659.6;1.4;16.4;139.6;376.0;0.8;13.8;100.9;10.6;177.7;4.5;6.6;99.8;32.3;0.0;26.4;0.9;7.1;502.4;363.2;0.6;8.9;106.1;225.9;0.7;11.2;5.6;4.1;139.2;3.2;5.6;96.6;22.3;0.0;8.3;0.5;2.6;6.9;0.2;0.0;1.1;5.7;88.1;2.0;0.3;21.3;64.5;4.3;0.1;0.0;0.9;3.4;3.6;0.1;0.1;1.9;1.4;0.6;0.1;0.0;0.1;0.4;0.5;0.0;0.0;0.3;0.1
93;2000 maart;104.2;52.0;6.4;1.9;1.7;0.0;26.7;3.8;10.5;1.0;52.2;12.2;5.0;13.6;0.0;0.5;19.1;1.0;0.9;3908.6;1567.7;413.6;355.2;88.7;0.0;88.7;69.2;515.9;36.4;2340.9;878.6;402.0;519.4;0.0;2.5;465.2;49.6;23.5;94.1;27.2;7.6;8.3;2.3;0.0;2.5;3.1;2.9;0.5;66.9;20.6;10.3;15.6;0.0;0.1;19.1;0.5;0.9;96.4;10.7;4.2;2.6;2.0;0.0;0.0;1.6;0.0;0.2;85.7;17.8;6.9;24.5;0.0;0.0;32.9;0.3;3.3;38.9;18.0;0.0;0.3;8.1;4.4;0.6;1.1;3.3;0.2;20.9;0.1;0.3;18.9;0.2;0.0;1.2;0.1;0.0;761.6;552.3;0.4;17.9;130.3;280.6;1.4;14.7;94.7;12.3;209.3;4.9;6.8;126.1;37.8;0.0;26.4;2.5;5.0;465.9;304.3;0.4;10.3;88.3;181.7;1.0;11.8;6.2;4.6;161.7;4.4;7.9;118.9;15.7;0.0;12.4;0.8;1.5;9.8;0.2;0.0;2.6;7.1;128.0;2.2;0.4;52.7;72.8;5.6;0.1;0.0;2.0;3.5;4.4;0.1;0.0;2.9;1.4;1.0;0.1;0.0;0.3;0.5;0.7;0.0;0.0;0.5;0.2
94;2000 april;105.2;52.7;5.3;1.7;1.4;0.0;30.2;3.2;9.8;1.0;52.5;12.6;3.6;14.2;0.0;0.3;19.7;1.5;0.6;3513.5;1353.8;343.6;312.5;69.2;0.0;99.3;50.3;441.5;37.3;2159.7;997.2;331.4;348.4;0.0;2.4;399.4;66.6;14.4;84.2;20.8;5.4;5.2;2.0;0.0;2.7;2.6;2.5;0.5;63.4;20.1;8.3;14.8;0.0;0.1;18.3;1.0;0.7;88.9;8.4;2.7;3.1;1.7;0.0;0.0;0.7;0.0;0.1;80.5;18.7;7.0;24.7;0.0;0.0;26.3;1.0;2.9;32.2;14.1;0.0;0.2;5.5;3.6;0.7;1.6;2.5;0.1;18.1;0.1;0.2;16.3;0.2;0.0;1.1;0.0;0.0;601.2;435.8;0.2;11.7;104.6;220.1;1.1;11.9;81.7;4.5;165.4;3.9;6.7;103.2;30.0;0.0;16.2;1.4;4.1;372.1;239.0;0.1;5.6;68.1;147.5;0.8;10.0;5.4;1.5;133.2;2.8;5.2;96.3;15.6;0.0;11.1;0.5;1.6;10.5;0.2;0.0;3.0;7.3;129.8;2.3;0.0;59.7;67.7;5.7;0.1;0.0;2.1;3.4;3.6;0.1;0.0;2.7;0.8;1.0;0.1;0.0;0.4;0.5;0.6;0.0;0.0;0.4;0.1
95;2000 mei;103.5;50.2;5.2;1.5;1.4;0.0;27.6;3.0;10.2;1.3;53.3;12.7;3.9;14.2;0.0;0.3;20.2;1.4;0.6;3614.9;1424.6;352.0;309.5;57.2;0.0;84.6;84.0;495.0;42.2;2190.3;969.5;349.3;365.8;0.0;2.4;405.3;85.4;12.7;88.2;22.3;5.8;5.8;2.1;0.0;2.3;2.9;2.5;0.9;65.8;20.8;8.4;15.4;0.0;0.1;19.5;1.0;0.6;79.1;9.8;2.7;3.3;1.7;0.0;0.0;1.0;0.2;0.9;69.3;19.6;4.3;19.1;0.0;0.0;23.5;0.3;2.5;26.9;12.2;0.0;0.2;3.8;3.3;0.5;1.2;3.2;0.1;14.7;0.1;0.2;13.2;0.2;0.0;0.9;0.0;0.0;619.1;442.5;0.2;15.9;86.3;225.0;1.0;17.4;91.3;5.4;176.6;2.0;6.3;101.0;37.1;0.0;23.0;1.1;5.9;357.5;223.3;0.1;7.9;52.2;140.6;1.0;12.6;7.2;1.8;134.2;1.9;5.6;100.4;14.0;0.0;9.3;0.4;2.7;9.3;0.2;0.0;2.9;6.1;117.3;2.8;0.4;54.1;59.9;5.0;0.1;0.0;1.9;3.0;3.4;0.1;0.0;2.7;0.6;0.9;0.1;0.0;0.3;0.5;0.5;0.0;0.0;0.4;0.1
