ID;LorriesAndRoadTractors;YearsOfConstruction;Periods;TotalKilometresInTheNetherlands_1;KilometresByDutchVehicles_2;KilometresByForeignVehicles_3;TotalKilometresByDutchVehicles_4;KilometresInTheNetherlands_5;KilometresAbroad_6;TotalAverageAnnualKilometres_7;AverageAnnualKilometresInNetherlands_8;AverageAnnualKilometresAbroad_9;DutchGoodsVehiclesInUse_10
805;Road tractor;2003;2007;447.3;379.5;67.9;729.7;379.5;350.3;106517.0;55389.0;51128.0;6851.0
806;Road tractor;2003;2008;386.1;333.6;52.5;595.8;333.6;262.1;93398.0;52303.0;41095.0;6379.0
807;Road tractor;2003;2009;333.8;293.4;40.4;488.6;293.4;195.2;81445.0;48905.0;32540.0;5999.0
808;Road tractor;2003;2010;266.9;240.5;26.5;364.2;240.5;123.7;72203.0;47672.0;24532.0;5044.0
809;Road tractor;2003;2011;205.1;187.7;17.4;273.3;187.7;85.6;66996.0;46013.0;20983.0;4080.0
810;Road tractor;2003;2012;149.7;138.7;11.0;190.3;138.7;51.6;57059.0;41585.0;15473.0;3336.0
811;Road tractor;2003;2013;99.7;92.0;7.7;129.4;92.0;37.4;49759.0;35379.0;14380.0;2600.0
812;Road tractor;2003;2014;66.5;60.9;5.6;86.8;60.9;26.0;42529.0;29813.0;12716.0;2042.0
813;Road tractor;2003;2015;51.2;46.7;4.5;64.7;46.7;18.1;38991.0;28112.0;10878.0;1660.0
814;Road tractor;2003;2016;34.8;31.3;3.5;43.2;31.3;11.9;31697.0;22980.0;8717.0;1362.0
815;Road tractor;2003;2017;24.0;21.4;2.6;29.8;21.4;8.4;25536.0;18335.0;7201.0;1166.0
816;Road tractor;2004;2001;;;;;;;;;;
817;Road tractor;2004;2002;;;;;;;;;;
818;Road tractor;2004;2003;;;;;;;;;;
819;Road tractor;2004;2004;317.6;257.5;60.1;643.7;257.5;386.2;75456.0;30183.0;45274.0;8531.0
820;Road tractor;2004;2005;528.4;423.6;104.8;1058.9;423.6;635.3;127347.0;50939.0;76408.0;8315.0
821;Road tractor;2004;2006;541.8;440.3;101.5;1000.7;440.3;560.4;123145.0;54184.0;68961.0;8126.0
822;Road tractor;2004;2007;538.9;445.4;93.5;928.0;445.4;482.5;115404.0;55394.0;60010.0;8041.0
823;Road tractor;2004;2008;506.2;429.9;76.3;811.1;429.9;381.2;104030.0;55136.0;48894.0;7797.0
824;Road tractor;2004;2009;450.6;386.9;63.8;694.6;386.9;307.8;92055.0;51269.0;40786.0;7546.0
825;Road tractor;2004;2010;398.8;348.0;50.8;585.6;348.0;237.6;85190.0;50628.0;34563.0;6874.0
826;Road tractor;2004;2011;333.5;296.7;36.8;478.1;296.7;181.4;80374.0;49885.0;30490.0;5948.0
827;Road tractor;2004;2012;256.8;232.3;24.5;347.1;232.3;114.8;68620.0;45928.0;22692.0;5058.0
828;Road tractor;2004;2013;175.7;159.2;16.5;239.4;159.2;80.2;60309.0;40106.0;20204.0;3969.0
829;Road tractor;2004;2014;117.9;108.0;10.0;154.0;108.0;46.1;52300.0;36663.0;15638.0;2945.0
830;Road tractor;2004;2015;82.7;75.4;7.2;104.6;75.4;29.2;46128.0;33259.0;12870.0;2268.0
831;Road tractor;2004;2016;57.7;51.9;5.8;71.6;51.9;19.7;39559.0;28680.0;10879.0;1810.0
832;Road tractor;2004;2017;37.5;33.4;4.1;46.5;33.4;13.1;30598.0;21969.0;8629.0;1519.0
833;Road tractor;2005;2001;;;;;;;;;;
834;Road tractor;2005;2002;;;;;;;;;;
835;Road tractor;2005;2003;;;;;;;;;;
836;Road tractor;2005;2004;;;;;;;;;;
837;Road tractor;2005;2005;298.9;239.6;59.3;599.1;239.6;359.4;69627.0;27851.0;41776.0;8604.0
838;Road tractor;2005;2006;513.2;403.6;109.6;1008.9;403.6;605.4;122680.0;49072.0;73608.0;8224.0
839;Road tractor;2005;2007;523.6;420.0;103.6;954.6;420.0;534.6;117244.0;51587.0;65657.0;8142.0
840;Road tractor;2005;2008;520.3;433.5;86.8;867.0;433.5;433.5;108687.0;54343.0;54343.0;7977.0
841;Road tractor;2005;2009;488.0;414.4;73.6;769.7;414.4;355.3;97983.0;52752.0;45231.0;7855.0
842;Road tractor;2005;2010;464.5;399.4;65.2;704.2;399.4;304.8;93356.0;52946.0;40409.0;7543.0
843;Road tractor;2005;2011;411.9;363.1;48.8;603.7;363.1;240.6;88189.0;53040.0;35149.0;6846.0
844;Road tractor;2005;2012;347.2;312.8;34.4;473.9;312.8;161.1;78430.0;51771.0;26659.0;6042.0
845;Road tractor;2005;2013;253.3;229.1;24.1;346.1;229.1;117.0;69787.0;46199.0;23588.0;4960.0
846;Road tractor;2005;2014;182.0;164.8;17.2;244.2;164.8;79.3;62299.0;42052.0;20247.0;3919.0
847;Road tractor;2005;2015;131.0;119.5;11.5;165.7;119.5;46.2;54183.0;39066.0;15117.0;3059.0
848;Road tractor;2005;2016;94.2;84.8;9.4;117.0;84.8;32.2;47828.0;34675.0;13153.0;2446.0
849;Road tractor;2005;2017;65.1;57.9;7.1;80.7;57.9;22.8;38520.0;27657.0;10863.0;2095.0
850;Road tractor;2006;2001;;;;;;;;;;
851;Road tractor;2006;2002;;;;;;;;;;
852;Road tractor;2006;2003;;;;;;;;;;
853;Road tractor;2006;2004;;;;;;;;;;
854;Road tractor;2006;2005;;;;;;;;;;
855;Road tractor;2006;2006;370.2;291.1;79.1;727.8;291.1;436.7;55975.0;22390.0;33585.0;13003.0
856;Road tractor;2006;2007;738.0;571.8;166.2;1429.5;571.8;857.7;117859.0;47143.0;70715.0;12129.0
857;Road tractor;2006;2008;776.7;633.7;143.0;1348.3;633.7;714.6;113400.0;53298.0;60102.0;11890.0
858;Road tractor;2006;2009;767.4;646.4;121.0;1230.4;646.4;584.1;104195.0;54734.0;49461.0;11809.0
859;Road tractor;2006;2010;787.0;673.9;113.1;1203.0;673.9;529.2;102491.0;57410.0;45081.0;11738.0
860;Road tractor;2006;2011;737.9;639.6;98.3;1124.0;639.6;484.4;99361.0;56538.0;42822.0;11312.0
861;Road tractor;2006;2012;662.1;584.1;78.0;949.6;584.1;365.5;90322.0;55559.0;34762.0;10513.0
862;Road tractor;2006;2013;527.1;465.5;61.6;764.3;465.5;298.9;83233.0;50689.0;32544.0;9183.0
863;Road tractor;2006;2014;407.3;362.4;44.9;569.8;362.4;207.4;74466.0;47361.0;27106.0;7652.0
864;Road tractor;2006;2015;309.5;275.6;33.9;412.0;275.6;136.4;65735.0;43977.0;21758.0;6267.0
865;Road tractor;2006;2016;231.9;208.7;23.2;287.9;208.7;79.2;57577.0;41743.0;15834.0;5000.0
866;Road tractor;2006;2017;159.8;142.4;17.5;198.3;142.4;55.9;48954.0;35149.0;13805.0;4050.0
867;Road tractor;2007;2001;;;;;;;;;;
868;Road tractor;2007;2002;;;;;;;;;;
869;Road tractor;2007;2003;;;;;;;;;;
870;Road tractor;2007;2004;;;;;;;;;;
871;Road tractor;2007;2005;;;;;;;;;;
872;Road tractor;2007;2006;;;;;;;;;;
873;Road tractor;2007;2007;281.6;218.2;63.4;545.5;218.2;327.3;50056.0;20022.0;30034.0;10898.0
874;Road tractor;2007;2008;545.4;438.2;107.2;973.7;438.2;535.5;103841.0;46729.0;57113.0;9377.0
875;Road tractor;2007;2009;567.5;473.3;94.3;928.1;473.3;454.8;99573.0;50774.0;48798.0;9321.0
876;Road tractor;2007;2010;597.1;501.1;96.1;950.4;501.1;449.3;100456.0;52962.0;47494.0;9461.0
877;Road tractor;2007;2011;598.3;510.3;88.0;943.9;510.3;433.6;99471.0;53777.0;45694.0;9489.0
878;Road tractor;2007;2012;576.6;498.4;78.1;864.5;498.4;366.0;92043.0;53070.0;38973.0;9392.0
879;Road tractor;2007;2013;516.8;456.8;60.0;747.7;456.8;290.8;86564.0;52891.0;33673.0;8637.0
880;Road tractor;2007;2014;442.1;391.7;50.4;624.8;391.7;233.0;81444.0;51065.0;30379.0;7671.0
881;Road tractor;2007;2015;352.0;307.4;44.6;487.1;307.4;179.8;72893.0;45995.0;26897.0;6683.0
882;Road tractor;2007;2016;289.2;261.1;28.1;357.2;261.1;96.1;63162.0;46172.0;16991.0;5656.0
883;Road tractor;2007;2017;204.0;181.7;22.3;253.0;181.7;71.3;54749.0;39310.0;15439.0;4621.0
884;Road tractor;2008;2001;;;;;;;;;;
885;Road tractor;2008;2002;;;;;;;;;;
886;Road tractor;2008;2003;;;;;;;;;;
887;Road tractor;2008;2004;;;;;;;;;;
888;Road tractor;2008;2005;;;;;;;;;;
889;Road tractor;2008;2006;;;;;;;;;;
890;Road tractor;2008;2007;;;;;;;;;;
891;Road tractor;2008;2008;375.2;301.4;73.7;669.8;301.4;368.4;55961.0;25182.0;30778.0;11970.0
892;Road tractor;2008;2009;684.5;568.0;116.5;1130.4;568.0;562.4;102126.0;51314.0;50812.0;11069.0
893;Road tractor;2008;2010;772.4;663.6;108.8;1172.5;663.6;508.9;106474.0;60262.0;46211.0;11012.0
894;Road tractor;2008;2011;733.1;628.2;104.8;1144.8;628.2;516.6;104839.0;57529.0;47310.0;10920.0
895;Road tractor;2008;2012;719.0;624.2;94.7;1068.0;624.2;443.7;99476.0;58144.0;41332.0;10736.0
896;Road tractor;2008;2013;637.2;547.1;90.1;984.0;547.1;436.9;94311.0;52437.0;41874.0;10434.0
897;Road tractor;2008;2014;579.7;504.8;74.9;851.2;504.8;346.5;88048.0;52212.0;35835.0;9668.0
898;Road tractor;2008;2015;512.6;450.5;62.1;700.6;450.5;250.1;79536.0;51142.0;28394.0;8808.0
899;Road tractor;2008;2016;426.0;378.6;47.4;540.8;378.6;162.2;70207.0;49145.0;21062.0;7703.0
900;Road tractor;2008;2017;322.5;286.0;36.5;402.8;286.0;116.8;61943.0;43979.0;17963.0;6503.0
901;Road tractor;2009;2001;;;;;;;;;;
902;Road tractor;2009;2002;;;;;;;;;;
903;Road tractor;2009;2003;;;;;;;;;;
904;Road tractor;2009;2004;;;;;;;;;;
905;Road tractor;2009;2005;;;;;;;;;;
906;Road tractor;2009;2006;;;;;;;;;;
907;Road tractor;2009;2007;;;;;;;;;;
908;Road tractor;2009;2008;;;;;;;;;;
909;Road tractor;2009;2009;244.8;203.6;41.2;402.6;203.6;199.0;64625.0;32675.0;31949.0;6230.0
910;Road tractor;2009;2010;420.2;366.1;54.1;619.1;366.1;252.9;105623.0;62469.0;43154.0;5861.0
911;Road tractor;2009;2011;418.7;368.9;49.8;614.2;368.9;245.3;105481.0;63351.0;42130.0;5823.0
912;Road tractor;2009;2012;387.4;336.7;50.7;574.1;336.7;237.4;100410.0;58892.0;41518.0;5718.0
913;Road tractor;2009;2013;370.4;324.5;45.9;547.2;324.5;222.7;96082.0;56976.0;39105.0;5695.0
914;Road tractor;2009;2014;341.0;296.9;44.1;500.8;296.9;203.8;92017.0;54566.0;37451.0;5442.0
915;Road tractor;2009;2015;321.8;283.6;38.3;437.6;283.6;154.0;86096.0;55790.0;30306.0;5083.0
916;Road tractor;2009;2016;278.2;244.1;34.1;360.6;244.1;116.5;76772.0;51974.0;24797.0;4697.0
917;Road tractor;2009;2017;225.8;203.5;22.3;274.6;203.5;71.1;67147.0;49756.0;17391.0;4090.0
918;Road tractor;2010;2001;;;;;;;;;;
919;Road tractor;2010;2002;;;;;;;;;;
920;Road tractor;2010;2003;;;;;;;;;;
921;Road tractor;2010;2004;;;;;;;;;;
922;Road tractor;2010;2005;;;;;;;;;;
923;Road tractor;2010;2006;;;;;;;;;;
924;Road tractor;2010;2007;;;;;;;;;;
925;Road tractor;2010;2008;;;;;;;;;;
926;Road tractor;2010;2009;;;;;;;;;;
927;Road tractor;2010;2010;217.8;193.0;24.9;309.2;193.0;116.3;54324.0;33900.0;20424.0;5692.0
928;Road tractor;2010;2011;383.6;335.3;48.3;573.2;335.3;237.9;110293.0;64515.0;45778.0;5197.0
929;Road tractor;2010;2012;372.5;323.7;48.8;552.1;323.7;228.3;107093.0;62797.0;44296.0;5155.0
930;Road tractor;2010;2013;356.4;311.0;45.5;531.5;311.0;220.6;103635.0;60627.0;43009.0;5129.0
931;Road tractor;2010;2014;342.4;297.5;44.9;505.1;297.5;207.6;98582.0;58065.0;40517.0;5124.0
932;Road tractor;2010;2015;330.8;290.1;40.7;453.9;290.1;163.9;91851.0;58693.0;33158.0;4942.0
933;Road tractor;2010;2016;306.1;270.6;35.5;392.1;270.6;121.6;84072.0;58009.0;26062.0;4664.0
934;Road tractor;2010;2017;257.6;228.1;29.6;322.6;228.1;94.5;75109.0;53102.0;22007.0;4295.0
935;Road tractor;2011;2001;;;;;;;;;;
936;Road tractor;2011;2002;;;;;;;;;;
937;Road tractor;2011;2003;;;;;;;;;;
938;Road tractor;2011;2004;;;;;;;;;;
939;Road tractor;2011;2005;;;;;;;;;;
940;Road tractor;2011;2006;;;;;;;;;;
941;Road tractor;2011;2007;;;;;;;;;;
942;Road tractor;2011;2008;;;;;;;;;;
943;Road tractor;2011;2009;;;;;;;;;;
944;Road tractor;2011;2010;;;;;;;;;;
945;Road tractor;2011;2011;293.8;252.8;41.0;454.9;252.8;202.1;52684.0;29275.0;23409.0;8634.0
946;Road tractor;2011;2012;526.2;451.2;75.0;802.5;451.2;351.4;110556.0;62151.0;48404.0;7259.0
947;Road tractor;2011;2013;517.4;445.2;72.1;795.1;445.2;349.8;109436.0;61284.0;48152.0;7265.0
948;Road tractor;2011;2014;514.6;446.7;68.0;760.9;446.7;314.3;105172.0;61736.0;43436.0;7235.0
949;Road tractor;2011;2015;506.0;437.2;68.8;714.4;437.2;277.2;96369.0;58978.0;37391.0;7413.0
950;Road tractor;2011;2016;480.7;414.0;66.6;641.9;414.0;227.9;90974.0;58678.0;32296.0;7056.0
951;Road tractor;2011;2017;424.5;370.3;54.3;543.7;370.3;173.4;82282.0;56034.0;26248.0;6608.0
952;Road tractor;2012;2001;;;;;;;;;;
953;Road tractor;2012;2002;;;;;;;;;;
954;Road tractor;2012;2003;;;;;;;;;;
955;Road tractor;2012;2004;;;;;;;;;;
956;Road tractor;2012;2005;;;;;;;;;;
957;Road tractor;2012;2006;;;;;;;;;;
958;Road tractor;2012;2007;;;;;;;;;;
959;Road tractor;2012;2008;;;;;;;;;;
960;Road tractor;2012;2009;;;;;;;;;;
961;Road tractor;2012;2010;;;;;;;;;;
962;Road tractor;2012;2011;;;;;;;;;;
963;Road tractor;2012;2012;266.8;223.8;43.0;425.1;223.8;201.3;51756.0;27246.0;24509.0;8214.0
964;Road tractor;2012;2013;512.7;431.3;81.4;826.3;431.3;394.9;112722.0;58841.0;53881.0;7330.0
965;Road tractor;2012;2014;526.8;446.5;80.3;817.7;446.5;371.2;112552.0;61453.0;51099.0;7265.0
966;Road tractor;2012;2015;544.0;464.5;79.5;784.6;464.5;320.1;106153.0;62843.0;43311.0;7391.0
967;Road tractor;2012;2016;545.9;467.4;78.6;736.0;467.4;268.6;98633.0;62632.0;36001.0;7462.0
968;Road tractor;2012;2017;505.6;434.9;70.7;660.9;434.9;226.0;93413.0;61466.0;31947.0;7075.0
969;Road tractor;2013;2001;;;;;;;;;;
970;Road tractor;2013;2002;;;;;;;;;;
971;Road tractor;2013;2003;;;;;;;;;;
972;Road tractor;2013;2004;;;;;;;;;;
973;Road tractor;2013;2005;;;;;;;;;;
974;Road tractor;2013;2006;;;;;;;;;;
975;Road tractor;2013;2007;;;;;;;;;;
976;Road tractor;2013;2008;;;;;;;;;;
977;Road tractor;2013;2009;;;;;;;;;;
978;Road tractor;2013;2010;;;;;;;;;;
979;Road tractor;2013;2011;;;;;;;;;;
980;Road tractor;2013;2012;;;;;;;;;;
981;Road tractor;2013;2013;218.3;180.2;38.1;364.8;180.2;184.6;39073.0;19302.0;19771.0;9336.0
982;Road tractor;2013;2014;588.5;498.5;90.0;914.6;498.5;416.1;112982.0;61575.0;51407.0;8095.0
983;Road tractor;2013;2015;623.9;527.5;96.4;915.7;527.5;388.3;112511.0;64806.0;47705.0;8139.0
984;Road tractor;2013;2016;621.8;522.5;99.3;862.1;522.5;339.7;106635.0;64621.0;42014.0;8085.0
985;Road tractor;2013;2017;579.8;484.5;95.3;789.2;484.5;304.6;97440.0;59828.0;37612.0;8099.0
986;Road tractor;2014;2001;;;;;;;;;;
987;Road tractor;2014;2002;;;;;;;;;;
988;Road tractor;2014;2003;;;;;;;;;;
989;Road tractor;2014;2004;;;;;;;;;;
990;Road tractor;2014;2005;;;;;;;;;;
991;Road tractor;2014;2006;;;;;;;;;;
992;Road tractor;2014;2007;;;;;;;;;;
993;Road tractor;2014;2008;;;;;;;;;;
994;Road tractor;2014;2009;;;;;;;;;;
995;Road tractor;2014;2010;;;;;;;;;;
996;Road tractor;2014;2011;;;;;;;;;;
997;Road tractor;2014;2012;;;;;;;;;;
998;Road tractor;2014;2013;;;;;;;;;;
999;Road tractor;2014;2014;208.4;177.6;30.8;319.9;177.6;142.4;43462.0;24121.0;19340.0;7361.0
1000;Road tractor;2014;2015;502.1;436.5;65.6;700.7;436.5;264.1;109342.0;68120.0;41222.0;6408.0
1001;Road tractor;2014;2016;532.7;465.4;67.3;695.6;465.4;230.2;109116.0;72998.0;36117.0;6375.0
1002;Road tractor;2014;2017;502.4;423.3;79.1;676.2;423.3;252.9;101500.0;63539.0;37961.0;6662.0
1003;Road tractor;2015;2001;;;;;;;;;;
1004;Road tractor;2015;2002;;;;;;;;;;
1005;Road tractor;2015;2003;;;;;;;;;;
1006;Road tractor;2015;2004;;;;;;;;;;
1007;Road tractor;2015;2005;;;;;;;;;;
1008;Road tractor;2015;2006;;;;;;;;;;
1009;Road tractor;2015;2007;;;;;;;;;;
1010;Road tractor;2015;2008;;;;;;;;;;
1011;Road tractor;2015;2009;;;;;;;;;;
1012;Road tractor;2015;2010;;;;;;;;;;
1013;Road tractor;2015;2011;;;;;;;;;;
1014;Road tractor;2015;2012;;;;;;;;;;
1015;Road tractor;2015;2013;;;;;;;;;;
1016;Road tractor;2015;2014;;;;;;;;;;
1017;Road tractor;2015;2015;360.6;306.2;54.4;525.3;306.2;219.0;53816.0;31374.0;22441.0;9761.0
1018;Road tractor;2015;2016;676.3;569.0;107.3;935.9;569.0;366.9;110367.0;67103.0;43264.0;8480.0
1019;Road tractor;2015;2017;668.7;556.8;111.8;914.3;556.8;357.5;105654.0;64343.0;41311.0;8654.0
1020;Road tractor;2016;2001;;;;;;;;;;
1021;Road tractor;2016;2002;;;;;;;;;;
1022;Road tractor;2016;2003;;;;;;;;;;
1023;Road tractor;2016;2004;;;;;;;;;;
1024;Road tractor;2016;2005;;;;;;;;;;
1025;Road tractor;2016;2006;;;;;;;;;;
1026;Road tractor;2016;2007;;;;;;;;;;
1027;Road tractor;2016;2008;;;;;;;;;;
1028;Road tractor;2016;2009;;;;;;;;;;
1029;Road tractor;2016;2010;;;;;;;;;;
1030;Road tractor;2016;2011;;;;;;;;;;
1031;Road tractor;2016;2012;;;;;;;;;;
1032;Road tractor;2016;2013;;;;;;;;;;
1033;Road tractor;2016;2014;;;;;;;;;;
1034;Road tractor;2016;2015;;;;;;;;;;
1035;Road tractor;2016;2016;419.2;350.4;68.9;585.9;350.4;235.5;55757.0;33342.0;22414.0;10508.0
1036;Road tractor;2016;2017;737.7;610.8;126.9;1016.3;610.8;405.5;109860.0;66026.0;43834.0;9251.0
1037;Road tractor;2017;2001;;;;;;;;;;
1038;Road tractor;2017;2002;;;;;;;;;;
1039;Road tractor;2017;2003;;;;;;;;;;
1040;Road tractor;2017;2004;;;;;;;;;;
1041;Road tractor;2017;2005;;;;;;;;;;
1042;Road tractor;2017;2006;;;;;;;;;;
1043;Road tractor;2017;2007;;;;;;;;;;
1044;Road tractor;2017;2008;;;;;;;;;;
1045;Road tractor;2017;2009;;;;;;;;;;
1046;Road tractor;2017;2010;;;;;;;;;;
1047;Road tractor;2017;2011;;;;;;;;;;
1048;Road tractor;2017;2012;;;;;;;;;;
1049;Road tractor;2017;2013;;;;;;;;;;
1050;Road tractor;2017;2014;;;;;;;;;;
1051;Road tractor;2017;2015;;;;;;;;;;
1052;Road tractor;2017;2016;;;;;;;;;;
1053;Road tractor;2017;2017;346.0;286.7;59.3;476.3;286.7;189.6;48950.0;29468.0;19482.0;9730.0
1054;Lorry (road tractor not included);Total goods vehicles;2001;3176.3;3047.8;128.5;3905.4;3047.8;857.6;40948.0;31956.0;8992.0;95375.0
1055;Lorry (road tractor not included);Total goods vehicles;2002;3028.3;2902.6;125.7;3733.8;2902.6;831.1;39766.0;30914.0;8852.0;93892.0
1056;Lorry (road tractor not included);Total goods vehicles;2003;2914.0;2796.2;117.8;3602.6;2796.2;806.5;39711.0;30821.0;8890.0;90722.0
1057;Lorry (road tractor not included);Total goods vehicles;2004;2859.6;2736.7;122.9;3525.9;2736.7;789.2;39753.0;30855.0;8898.0;88695.0
1058;Lorry (road tractor not included);Total goods vehicles;2005;2807.2;2679.5;127.7;3453.7;2679.5;774.2;40152.0;31151.0;9001.0;86016.0
1059;Lorry (road tractor not included);Total goods vehicles;2006;2758.6;2621.8;136.8;3377.1;2621.8;755.3;39392.0;30581.0;8811.0;85731.0
1060;Lorry (road tractor not included);Total goods vehicles;2007;2767.9;2626.2;141.8;3357.7;2626.2;731.5;39450.0;30855.0;8595.0;85113.0
1061;Lorry (road tractor not included);Total goods vehicles;2008;2735.6;2601.4;134.2;3272.1;2601.4;670.7;38348.0;30487.0;7860.0;85326.0
1062;Lorry (road tractor not included);Total goods vehicles;2009;2669.8;2537.7;132.1;3175.2;2537.7;637.5;37527.0;29993.0;7534.0;84611.0
1063;Lorry (road tractor not included);Total goods vehicles;2010;2564.2;2431.9;132.3;3050.7;2431.9;618.8;36941.0;29448.0;7492.0;82584.0
1064;Lorry (road tractor not included);Total goods vehicles;2011;2489.8;2360.0;129.8;2999.6;2360.0;639.5;37356.0;29391.0;7964.0;80298.0
1065;Lorry (road tractor not included);Total goods vehicles;2012;2397.1;2269.5;127.6;2867.0;2269.5;597.5;36907.0;29215.0;7692.0;77683.0
1066;Lorry (road tractor not included);Total goods vehicles;2013;2208.6;2072.4;136.3;2733.3;2072.4;660.9;36360.0;27568.0;8792.0;75173.0
1067;Lorry (road tractor not included);Total goods vehicles;2014;2142.6;2002.7;139.9;2649.4;2002.7;646.7;36532.0;27615.0;8917.0;72522.0
1068;Lorry (road tractor not included);Total goods vehicles;2015;2175.6;2037.0;138.6;2595.0;2037.0;558.0;36541.0;28684.0;7857.0;71016.0
1069;Lorry (road tractor not included);Total goods vehicles;2016;2221.7;2072.1;149.6;2583.7;2072.1;511.6;36449.0;29232.0;7217.0;70885.0
1070;Lorry (road tractor not included);Total goods vehicles;2017;2226.3;2087.6;138.6;2530.8;2087.6;443.2;35600.0;29366.0;6234.0;71090.0
1071;Lorry (road tractor not included);Year of construction 1900 to 1979;2001;20.0;19.6;0.4;22.1;19.6;2.5;4566.0;4053.0;513.0;4837.0
1072;Lorry (road tractor not included);Year of construction 1900 to 1979;2002;18.7;18.3;0.4;20.7;18.3;2.4;4562.0;4042.0;520.0;4533.0
1073;Lorry (road tractor not included);Year of construction 1900 to 1979;2003;15.1;14.8;0.3;16.8;14.8;1.9;3980.0;3521.0;460.0;4211.0
1074;Lorry (road tractor not included);Year of construction 1900 to 1979;2004;13.4;13.1;0.3;14.8;13.1;1.7;3668.0;3249.0;418.0;4034.0
1075;Lorry (road tractor not included);Year of construction 1900 to 1979;2005;10.9;10.7;0.2;12.0;10.7;1.3;3190.0;2843.0;348.0;3760.0
1076;Lorry (road tractor not included);Year of construction 1900 to 1979;2006;9.8;9.6;0.2;10.7;9.6;1.1;2945.0;2637.0;308.0;3625.0
1077;Lorry (road tractor not included);Year of construction 1900 to 1979;2007;9.6;9.4;0.2;10.5;9.4;1.1;2987.0;2673.0;315.0;3506.0
1078;Lorry (road tractor not included);Year of construction 1900 to 1979;2008;10.7;10.4;0.2;11.6;10.4;1.1;3390.0;3061.0;329.0;3409.0
1079;Lorry (road tractor not included);Year of construction 1900 to 1979;2009;9.6;9.4;0.2;10.4;9.4;1.0;3164.0;2847.0;318.0;3302.0
1080;Lorry (road tractor not included);Year of construction 1900 to 1979;2010;6.8;6.6;0.1;7.2;6.6;0.6;2206.0;2026.0;180.0;3278.0
1081;Lorry (road tractor not included);Year of construction 1900 to 1979;2011;5.9;5.8;0.1;6.5;5.8;0.7;2027.0;1806.0;222.0;3199.0
1082;Lorry (road tractor not included);Year of construction 1900 to 1979;2012;5.2;5.1;0.1;5.8;5.1;0.7;1842.0;1620.0;222.0;3133.0
1083;Lorry (road tractor not included);Year of construction 1900 to 1979;2013;7.1;6.9;0.2;7.7;6.9;0.8;2501.0;2233.0;268.0;3098.0
1084;Lorry (road tractor not included);Year of construction 1900 to 1979;2014;7.0;6.8;0.2;7.8;6.8;1.0;2535.0;2215.0;320.0;3076.0
1085;Lorry (road tractor not included);Year of construction 1900 to 1979;2015;6.7;6.5;0.2;7.3;6.5;0.8;2412.0;2152.0;260.0;3021.0
1086;Lorry (road tractor not included);Year of construction 1900 to 1979;2016;6.3;6.1;0.2;6.9;6.1;0.8;2323.0;2037.0;286.0;2974.0
1087;Lorry (road tractor not included);Year of construction 1900 to 1979;2017;6.0;5.9;0.2;6.4;5.9;0.5;2174.0;1999.0;175.0;2941.0
1088;Lorry (road tractor not included);Year of construction 1980 to 1985;2001;56.4;55.1;1.2;63.4;55.1;8.3;9886.0;8589.0;1296.0;6416.0
1089;Lorry (road tractor not included);Year of construction 1980 to 1985;2002;38.4;37.5;0.8;43.1;37.5;5.5;8186.0;7135.0;1051.0;5261.0
1090;Lorry (road tractor not included);Year of construction 1980 to 1985;2003;27.2;26.6;0.6;30.4;26.6;3.8;7144.0;6250.0;894.0;4258.0
1091;Lorry (road tractor not included);Year of construction 1980 to 1985;2004;21.5;21.0;0.5;24.0;21.0;3.0;6398.0;5594.0;804.0;3758.0
1092;Lorry (road tractor not included);Year of construction 1980 to 1985;2005;16.8;16.4;0.4;18.7;16.4;2.3;6102.0;5351.0;751.0;3072.0
1093;Lorry (road tractor not included);Year of construction 1980 to 1985;2006;13.7;13.3;0.3;15.2;13.3;1.8;5534.0;4865.0;669.0;2739.0
1094;Lorry (road tractor not included);Year of construction 1980 to 1985;2007;13.2;12.9;0.3;14.4;12.9;1.5;5948.0;5314.0;634.0;2425.0
1095;Lorry (road tractor not included);Year of construction 1980 to 1985;2008;10.8;10.5;0.2;11.7;10.5;1.2;5262.0;4727.0;535.0;2226.0
1096;Lorry (road tractor not included);Year of construction 1980 to 1985;2009;8.4;8.2;0.2;9.2;8.2;1.0;4769.0;4270.0;499.0;1931.0
1097;Lorry (road tractor not included);Year of construction 1980 to 1985;2010;7.0;6.8;0.1;7.5;6.8;0.6;4301.0;3927.0;373.0;1737.0
1098;Lorry (road tractor not included);Year of construction 1980 to 1985;2011;6.1;5.9;0.2;6.8;5.9;0.8;4188.0;3688.0;500.0;1612.0
1099;Lorry (road tractor not included);Year of construction 1980 to 1985;2012;4.6;4.5;0.1;5.1;4.5;0.7;3553.0;3093.0;459.0;1441.0
1100;Lorry (road tractor not included);Year of construction 1980 to 1985;2013;4.6;4.4;0.1;5.1;4.4;0.7;3784.0;3300.0;483.0;1347.0
1101;Lorry (road tractor not included);Year of construction 1980 to 1985;2014;3.9;3.8;0.2;4.5;3.8;0.7;3430.0;2868.0;562.0;1320.0
1102;Lorry (road tractor not included);Year of construction 1980 to 1985;2015;3.8;3.7;0.1;4.3;3.7;0.6;3643.0;3138.0;505.0;1177.0
1103;Lorry (road tractor not included);Year of construction 1980 to 1985;2016;3.8;3.6;0.2;4.2;3.6;0.5;3790.0;3295.0;495.0;1107.0
