ID;BeroepsEnEigenVervoer;Vervoerstromen;Perioden;VervoerdLadinggewicht_1;Ladingtonkilometers_2;VoertuigkilometersTotaal_3;VoertuigkilometersBeladen_4;RittenBeladen_5
198;Beroepsvervoer;Totaal;2006;495676;81886;6997.0;5032.0;31993.0
199;Beroepsvervoer;Totaal;2007;524446;74252;6407.0;4557.0;34586.0
200;Beroepsvervoer;Totaal;2008;530989;76201;6938.0;4947.0;34544.0
201;Beroepsvervoer;Totaal;2009;485601;69767;6483.0;4578.0;29502.0
202;Beroepsvervoer;Totaal;2010;508001;67643;6395.0;4714.0;33343.0
203;Beroepsvervoer;Totaal;2011;500985;65761;6404.0;4741.0;33977.0
204;Beroepsvervoer;Totaal;2012;480511;60426;5949.0;4417.0;32481.0
205;Beroepsvervoer;Totaal;2013;481647;61684;5994.0;4409.0;33752.0
206;Beroepsvervoer;Totaal;2014;488280;62049;6144.0;4546.0;35986.0
207;Beroepsvervoer;Totaal;2015;494521;59014;5999.0;4476.0;37814.0
208;Beroepsvervoer;Totaal;2016;519654;58489;5993.0;4459.0;39650.0
209;Beroepsvervoer;Totaal;2017;535520;59226;5913.0;4415.0;39260.0
210;Beroepsvervoer;Totaal;2018;549105;60153;6010.0;4477.0;39705.0
211;Beroepsvervoer;Totaal;2019;550297;59903;5949.0;4410.0;39930.0
212;Beroepsvervoer;Totaal;2020;549667;58754;5983.0;4385.0;41188.0
213;Beroepsvervoer;Totaal;2021;564456;60503;6270.0;4590.0;43125.0
214;Beroepsvervoer;Totaal;2022;561205;56618;5819.0;4300.0;44141.0
215;Beroepsvervoer;Totaal;2023;519177;54322;5639.0;4211.0;41588.0
216;Beroepsvervoer;Binnenlands en bilateraal vervoer;1997;424647;69589;;3595.0;
217;Beroepsvervoer;Binnenlands en bilateraal vervoer;1998;436486;71180;;3689.0;
218;Beroepsvervoer;Binnenlands en bilateraal vervoer;1999;479179;74885;;3939.0;
219;Beroepsvervoer;Binnenlands en bilateraal vervoer;2000;452341;69653;;3864.0;
220;Beroepsvervoer;Binnenlands en bilateraal vervoer;2001;464502;69011;;3935.0;
221;Beroepsvervoer;Binnenlands en bilateraal vervoer;2002;444093;67654;;4034.0;
222;Beroepsvervoer;Binnenlands en bilateraal vervoer;2003;445488;66615;;4095.0;
223;Beroepsvervoer;Binnenlands en bilateraal vervoer;2004;466410;72384;6031.0;4396.0;28123.0
224;Beroepsvervoer;Binnenlands en bilateraal vervoer;2005;454786;71014;5956.0;4329.0;28464.0
225;Beroepsvervoer;Binnenlands en bilateraal vervoer;2006;469727;71157;6099.0;4395.0;30433.0
226;Beroepsvervoer;Binnenlands en bilateraal vervoer;2007;499982;65614;5612.0;4010.0;32950.0
227;Beroepsvervoer;Binnenlands en bilateraal vervoer;2008;504383;67047;6086.0;4374.0;32804.0
228;Beroepsvervoer;Binnenlands en bilateraal vervoer;2009;461810;60971;5654.0;4027.0;27965.0
229;Beroepsvervoer;Binnenlands en bilateraal vervoer;2010;478575;57442;5557.0;4072.0;31474.0
230;Beroepsvervoer;Binnenlands en bilateraal vervoer;2011;472566;57038;5649.0;4164.0;32169.0
231;Beroepsvervoer;Binnenlands en bilateraal vervoer;2012;454690;52906;5278.0;3904.0;30827.0
232;Beroepsvervoer;Binnenlands en bilateraal vervoer;2013;450984;53451;5227.0;3866.0;31758.0
233;Beroepsvervoer;Binnenlands en bilateraal vervoer;2014;460212;54195;5406.0;4026.0;34139.0
234;Beroepsvervoer;Binnenlands en bilateraal vervoer;2015;465639;52155;5356.0;4014.0;35853.0
235;Beroepsvervoer;Binnenlands en bilateraal vervoer;2016;494164;52905;5465.0;4078.0;37924.0
236;Beroepsvervoer;Binnenlands en bilateraal vervoer;2017;508888;53136;5356.0;4008.0;37453.0
237;Beroepsvervoer;Binnenlands en bilateraal vervoer;2018;524250;54613;5451.0;4090.0;37976.0
238;Beroepsvervoer;Binnenlands en bilateraal vervoer;2019;523441;54323;5423.0;4036.0;38240.0
239;Beroepsvervoer;Binnenlands en bilateraal vervoer;2020;524856;53413;5486.0;4036.0;39599.0
240;Beroepsvervoer;Binnenlands en bilateraal vervoer;2021;540329;55222;5755.0;4227.0;41551.0
241;Beroepsvervoer;Binnenlands en bilateraal vervoer;2022;539228;51950;5367.0;3977.0;42639.0
242;Beroepsvervoer;Binnenlands en bilateraal vervoer;2023;497136;49871;5199.0;3896.0;40101.0
243;Beroepsvervoer;Binnenlands vervoer;1997;318852;23733;;1392.0;
244;Beroepsvervoer;Binnenlands vervoer;1998;329542;24747;;1465.0;
245;Beroepsvervoer;Binnenlands vervoer;1999;365057;27483;;1630.0;
246;Beroepsvervoer;Binnenlands vervoer;2000;346350;26072;;1659.0;
247;Beroepsvervoer;Binnenlands vervoer;2001;357145;25851;;1706.0;
248;Beroepsvervoer;Binnenlands vervoer;2002;335123;25089;;1766.0;
