ID;SectorBranchesSIC2008;Periods;Indices_1;YearOnYearChange_2;Indices_3;PeriodOnPeriodChange_4
2816;79 Travel agencies, tour operators etc;2017 2nd quarter;136.6;20.4;;
2817;79 Travel agencies, tour operators etc;2017 3rd quarter;183.8;13.2;;
2818;79 Travel agencies, tour operators etc;2017 4th quarter;113.8;5.9;;
2819;79 Travel agencies, tour operators etc;2017;136.1;14.4;;
2820;79 Travel agencies, tour operators etc;2018 1st quarter;114.9;4.2;;
2821;79 Travel agencies, tour operators etc;2018 2nd quarter;148.2;8.5;;
2822;79 Travel agencies, tour operators etc;2018 3rd quarter;202.9;10.4;;
2823;79 Travel agencies, tour operators etc;2018 4th quarter;129.0;13.4;;
2824;79 Travel agencies, tour operators etc;2018;148.8;9.3;;
2825;79 Travel agencies, tour operators etc;2019 1st quarter;122.0;6.2;;
2826;79 Travel agencies, tour operators etc;2019 2nd quarter;158.6;7.0;;
2827;79 Travel agencies, tour operators etc;2019 3rd quarter;214.2;5.5;;
2828;79 Travel agencies, tour operators etc;2019 4th quarter;136.6;5.9;;
2829;79 Travel agencies, tour operators etc;2019;157.9;6.1;;
2830;79 Travel agencies, tour operators etc;2020 1st quarter;94.0;-23.0;;
2831;79 Travel agencies, tour operators etc;2020 2nd quarter;17.7;-88.9;;
2832;79 Travel agencies, tour operators etc;2020 3rd quarter;88.3;-58.8;;
2833;79 Travel agencies, tour operators etc;2020 4th quarter;34.4;-74.8;;
2834;79 Travel agencies, tour operators etc;2020;58.6;-62.9;;
2835;79 Travel agencies, tour operators etc;2021 1st quarter;30.9;-67.1;37.8;
2836;79 Travel agencies, tour operators etc;2021 2nd quarter;64.5;265.2;64.1;69.7
2837;79 Travel agencies, tour operators etc;2021 3rd quarter;172.5;95.4;130.5;103.6
2838;79 Travel agencies, tour operators etc;2021 4th quarter;114.8;233.5;133.0;1.9
2839;79 Travel agencies, tour operators etc;2021;95.7;63.3;91.3;
2840;79 Travel agencies, tour operators etc;2022 1st quarter;97.4;214.8;133.9;0.7
2841;79 Travel agencies, tour operators etc;2022 2nd quarter;151.3;134.5;156.5;16.9
2842;79 Travel agencies, tour operators etc;2022 3rd quarter;258.8;50.0;181.2;15.8
2843;79 Travel agencies, tour operators etc;2022 4th quarter;156.2;36.0;179.2;-1.1
2844;79 Travel agencies, tour operators etc;2022;165.9;73.4;162.7;78.1
2845;79 Travel agencies, tour operators etc;2023 1st quarter;141.8;45.6;194.5;8.6
2846;79 Travel agencies, tour operators etc;2023 2nd quarter;201.7;33.3;205.0;5.4
2847;79 Travel agencies, tour operators etc;2023 3rd quarter;292.6;13.1;205.8;0.4
2848;79 Travel agencies, tour operators etc;2023 4th quarter;181.3;16.1;210.5;2.2
2849;79 Travel agencies, tour operators etc;2023;204.4;23.2;203.9;25.4
2850;7912 Tour operators;2005 1st quarter;72.3;;;
2851;7912 Tour operators;2005 2nd quarter;80.3;;;
2852;7912 Tour operators;2005 3rd quarter;125.0;;;
2853;7912 Tour operators;2005 4th quarter;69.3;;;
2854;7912 Tour operators;2005;86.7;;;
2855;7912 Tour operators;2006 1st quarter;82.5;14.1;;
2856;7912 Tour operators;2006 2nd quarter;94.0;17.0;;
2857;7912 Tour operators;2006 3rd quarter;152.4;22.0;;
2858;7912 Tour operators;2006 4th quarter;85.9;23.9;;
2859;7912 Tour operators;2006;103.7;19.6;;
2860;7912 Tour operators;2007 1st quarter;93.9;13.8;;
2861;7912 Tour operators;2007 2nd quarter;98.6;4.9;;
2862;7912 Tour operators;2007 3rd quarter;161.3;5.8;;
2863;7912 Tour operators;2007 4th quarter;90.5;5.3;;
2864;7912 Tour operators;2007;111.1;7.1;;
2865;7912 Tour operators;2008 1st quarter;111.1;18.4;;
2866;7912 Tour operators;2008 2nd quarter;103.2;4.7;;
2867;7912 Tour operators;2008 3rd quarter;156.6;-2.9;;
2868;7912 Tour operators;2008 4th quarter;85.2;-5.9;;
2869;7912 Tour operators;2008;114.0;2.7;;
2870;7912 Tour operators;2009 1st quarter;97.7;-12.0;;
2871;7912 Tour operators;2009 2nd quarter;101.2;-1.9;;
2872;7912 Tour operators;2009 3rd quarter;162.0;3.4;;
2873;7912 Tour operators;2009 4th quarter;84.8;-0.5;;
2874;7912 Tour operators;2009;111.4;-2.3;;
2875;7912 Tour operators;2010 1st quarter;99.3;1.6;;
2876;7912 Tour operators;2010 2nd quarter;104.0;2.8;;
2877;7912 Tour operators;2010 3rd quarter;179.1;10.6;;
2878;7912 Tour operators;2010 4th quarter;88.1;4.0;;
2879;7912 Tour operators;2010;117.6;5.6;;
2880;7912 Tour operators;2011 1st quarter;96.7;-2.5;;
2881;7912 Tour operators;2011 2nd quarter;113.9;9.5;;
2882;7912 Tour operators;2011 3rd quarter;172.8;-3.5;;
2883;7912 Tour operators;2011 4th quarter;85.5;-2.9;;
2884;7912 Tour operators;2011;117.3;-0.3;;
2885;7912 Tour operators;2012 1st quarter;95.7;-1.0;;
2886;7912 Tour operators;2012 2nd quarter;114.9;0.8;;
2887;7912 Tour operators;2012 3rd quarter;185.8;7.5;;
2888;7912 Tour operators;2012 4th quarter;91.8;7.3;;
2889;7912 Tour operators;2012;122.1;4.1;;
2890;7912 Tour operators;2013 1st quarter;91.9;-4.0;;
2891;7912 Tour operators;2013 2nd quarter;120.0;4.4;;
2892;7912 Tour operators;2013 3rd quarter;141.5;-23.8;;
2893;7912 Tour operators;2013 4th quarter;69.6;-24.3;;
2894;7912 Tour operators;2013;105.7;-13.4;;
2895;7912 Tour operators;2014 1st quarter;69.7;-24.1;;
2896;7912 Tour operators;2014 2nd quarter;98.3;-18.0;;
2897;7912 Tour operators;2014 3rd quarter;145.5;2.8;;
2898;7912 Tour operators;2014 4th quarter;75.6;8.7;;
2899;7912 Tour operators;2014;97.3;-8.0;;
2900;7912 Tour operators;2015 1st quarter;70.0;0.5;;
2901;7912 Tour operators;2015 2nd quarter;104.7;6.5;;
2902;7912 Tour operators;2015 3rd quarter;146.2;0.5;;
2903;7912 Tour operators;2015 4th quarter;79.0;4.5;;
2904;7912 Tour operators;2015;100.0;2.8;;
2905;7912 Tour operators;2016 1st quarter;71.9;2.7;;
2906;7912 Tour operators;2016 2nd quarter;98.1;-6.3;;
2907;7912 Tour operators;2016 3rd quarter;143.7;-1.7;;
2908;7912 Tour operators;2016 4th quarter;82.0;3.7;;
2909;7912 Tour operators;2016;98.9;-1.1;;
2910;7912 Tour operators;2017 1st quarter;77.2;7.3;;
2911;7912 Tour operators;2017 2nd quarter;104.2;6.2;;
2912;7912 Tour operators;2017 3rd quarter;160.7;11.8;;
2913;7912 Tour operators;2017 4th quarter;76.2;-7.0;;
2914;7912 Tour operators;2017;104.6;5.7;;
2915;7912 Tour operators;2018 1st quarter;74.0;-4.1;;
2916;7912 Tour operators;2018 2nd quarter;116.8;12.0;;
2917;7912 Tour operators;2018 3rd quarter;169.7;5.6;;
2918;7912 Tour operators;2018 4th quarter;82.1;7.7;;
2919;7912 Tour operators;2018;110.7;5.8;;
2920;7912 Tour operators;2019 1st quarter;76.4;3.2;;
2921;7912 Tour operators;2019 2nd quarter;112.5;-3.7;;
2922;7912 Tour operators;2019 3rd quarter;167.9;-1.1;;
2923;7912 Tour operators;2019 4th quarter;82.2;0.1;;
2924;7912 Tour operators;2019;109.7;-0.8;;
2925;7912 Tour operators;2020 1st quarter;60.1;-21.3;;
2926;7912 Tour operators;2020 2nd quarter;1.1;-99.1;;
2927;7912 Tour operators;2020 3rd quarter;27.0;-83.9;;
2928;7912 Tour operators;2020 4th quarter;7.6;-90.7;;
2929;7912 Tour operators;2020;24.0;-78.2;;
2930;7912 Tour operators;2021 1st quarter;3.5;-94.2;5.0;
2931;7912 Tour operators;2021 2nd quarter;14.4;1259.7;14.0;182.4
2932;7912 Tour operators;2021 3rd quarter;83.4;208.5;54.5;289.4
2933;7912 Tour operators;2021 4th quarter;55.2;625.9;74.2;36.1
2934;7912 Tour operators;2021;39.1;63.3;36.9;
2935;7912 Tour operators;2022 1st quarter;52.7;1423.3;75.5;1.7
2936;7912 Tour operators;2022 2nd quarter;101.6;605.6;101.8;34.9
2937;7912 Tour operators;2022 3rd quarter;165.9;98.9;107.2;5.3
2938;7912 Tour operators;2022 4th quarter;83.1;50.5;110.0;2.5
2939;7912 Tour operators;2022;100.8;157.8;98.6;167.1
2940;7912 Tour operators;2023 1st quarter;79.7;51.1;113.9;3.5
2941;7912 Tour operators;2023 2nd quarter;118.0;16.2;118.2;3.8
2942;7912 Tour operators;2023 3rd quarter;185.5;11.8;121.6;2.9
2943;7912 Tour operators;2023 4th quarter;98.4;18.5;128.2;5.4
2944;7912 Tour operators;2023;120.4;19.4;120.4;22.1
2945;80 Security and investigation;2005 1st quarter;69.4;;;
2946;80 Security and investigation;2005 2nd quarter;73.5;;;
2947;80 Security and investigation;2005 3rd quarter;73.6;;;
2948;80 Security and investigation;2005 4th quarter;80.2;;;
2949;80 Security and investigation;2005;74.2;;;
2950;80 Security and investigation;2006 1st quarter;77.0;10.9;;
2951;80 Security and investigation;2006 2nd quarter;79.6;8.4;;
2952;80 Security and investigation;2006 3rd quarter;79.5;8.0;;
2953;80 Security and investigation;2006 4th quarter;86.1;7.4;;
2954;80 Security and investigation;2006;80.6;8.6;;
2955;80 Security and investigation;2007 1st quarter;80.6;4.7;;
2956;80 Security and investigation;2007 2nd quarter;81.6;2.5;;
2957;80 Security and investigation;2007 3rd quarter;84.0;5.6;;
2958;80 Security and investigation;2007 4th quarter;89.1;3.5;;
2959;80 Security and investigation;2007;83.8;4.1;;
2960;80 Security and investigation;2008 1st quarter;89.8;11.5;;
2961;80 Security and investigation;2008 2nd quarter;91.8;12.4;;
2962;80 Security and investigation;2008 3rd quarter;92.7;10.4;;
2963;80 Security and investigation;2008 4th quarter;97.4;9.3;;
2964;80 Security and investigation;2008;92.9;10.8;;
2965;80 Security and investigation;2009 1st quarter;94.6;5.3;;
2966;80 Security and investigation;2009 2nd quarter;94.6;3.1;;
2967;80 Security and investigation;2009 3rd quarter;93.0;0.4;;
2968;80 Security and investigation;2009 4th quarter;97.9;0.6;;
2969;80 Security and investigation;2009;95.0;2.3;;
2970;80 Security and investigation;2010 1st quarter;90.3;-4.6;;
2971;80 Security and investigation;2010 2nd quarter;93.4;-1.3;;
2972;80 Security and investigation;2010 3rd quarter;92.7;-0.3;;
2973;80 Security and investigation;2010 4th quarter;96.6;-1.3;;
2974;80 Security and investigation;2010;93.2;-1.9;;
2975;80 Security and investigation;2011 1st quarter;93.8;3.9;;
2976;80 Security and investigation;2011 2nd quarter;94.5;1.2;;
2977;80 Security and investigation;2011 3rd quarter;94.3;1.6;;
2978;80 Security and investigation;2011 4th quarter;99.6;3.1;;
2979;80 Security and investigation;2011;95.6;2.5;;
2980;80 Security and investigation;2012 1st quarter;95.4;1.7;;
2981;80 Security and investigation;2012 2nd quarter;95.6;1.1;;
2982;80 Security and investigation;2012 3rd quarter;97.1;3.1;;
2983;80 Security and investigation;2012 4th quarter;102.2;2.6;;
2984;80 Security and investigation;2012;97.6;2.1;;
2985;80 Security and investigation;2013 1st quarter;96.9;1.6;97.8;
2986;80 Security and investigation;2013 2nd quarter;94.1;-1.5;95.6;-2.3
2987;80 Security and investigation;2013 3rd quarter;95.6;-1.5;96.8;1.2
2988;80 Security and investigation;2013 4th quarter;98.4;-3.7;94.7;-2.1
2989;80 Security and investigation;2013;96.3;-1.4;96.2;
2990;80 Security and investigation;2014 1st quarter;95.8;-1.1;96.9;2.3
2991;80 Security and investigation;2014 2nd quarter;94.4;0.2;95.9;-1.0
2992;80 Security and investigation;2014 3rd quarter;94.8;-0.8;95.9;-0.1
2993;80 Security and investigation;2014 4th quarter;101.5;3.1;97.7;1.9
2994;80 Security and investigation;2014;96.6;0.4;96.6;0.4
2995;80 Security and investigation;2015 1st quarter;95.8;-0.1;96.9;-0.8
2996;80 Security and investigation;2015 2nd quarter;97.4;3.2;99.0;2.1
2997;80 Security and investigation;2015 3rd quarter;99.0;4.4;99.9;0.9
2998;80 Security and investigation;2015 4th quarter;107.9;6.3;104.0;4.1
2999;80 Security and investigation;2015;100.0;3.5;100.0;3.5
3000;80 Security and investigation;2016 1st quarter;98.0;2.4;99.4;-4.5
3001;80 Security and investigation;2016 2nd quarter;97.1;-0.3;98.7;-0.7
3002;80 Security and investigation;2016 3rd quarter;98.0;-1.1;98.8;0.1
3003;80 Security and investigation;2016 4th quarter;103.7;-3.9;99.8;1.0
3004;80 Security and investigation;2016;99.2;-0.8;99.2;-0.8
3005;80 Security and investigation;2017 1st quarter;99.3;1.3;100.7;0.9
3006;80 Security and investigation;2017 2nd quarter;100.9;4.0;102.6;1.8
3007;80 Security and investigation;2017 3rd quarter;103.7;5.9;104.5;1.9
3008;80 Security and investigation;2017 4th quarter;109.6;5.7;105.7;1.1
3009;80 Security and investigation;2017;103.4;4.2;103.4;4.2
3010;80 Security and investigation;2018 1st quarter;105.7;6.5;107.1;1.3
3011;80 Security and investigation;2018 2nd quarter;109.3;8.3;110.9;3.5
3012;80 Security and investigation;2018 3rd quarter;110.1;6.1;110.9;0.1
3013;80 Security and investigation;2018 4th quarter;118.6;8.2;114.8;3.5
3014;80 Security and investigation;2018;110.9;7.3;110.9;7.3
3015;80 Security and investigation;2019 1st quarter;111.7;5.6;113.0;-1.6
3016;80 Security and investigation;2019 2nd quarter;113.5;3.9;115.1;1.8
3017;80 Security and investigation;2019 3rd quarter;116.8;6.1;117.7;2.3
3018;80 Security and investigation;2019 4th quarter;124.5;5.0;120.7;2.6
3019;80 Security and investigation;2019;116.6;5.1;116.6;5.1
3020;80 Security and investigation;2020 1st quarter;121.7;9.0;122.9;1.8
3021;80 Security and investigation;2020 2nd quarter;108.9;-4.1;110.4;-10.2
3022;80 Security and investigation;2020 3rd quarter;114.9;-1.6;115.9;5.0
3023;80 Security and investigation;2020 4th quarter;124.0;-0.4;120.3;3.8
3024;80 Security and investigation;2020;117.4;0.6;117.4;0.6
3025;80 Security and investigation;2021 1st quarter;119.7;-1.7;121.9;1.3
3026;80 Security and investigation;2021 2nd quarter;129.8;19.2;130.8;7.4
3027;80 Security and investigation;2021 3rd quarter;132.9;15.7;133.8;2.3
3028;80 Security and investigation;2021 4th quarter;146.0;17.8;141.8;6.0
3029;80 Security and investigation;2021;132.1;12.6;132.1;12.5
3030;80 Security and investigation;2022 1st quarter;138.9;16.1;142.1;0.2
3031;80 Security and investigation;2022 2nd quarter;153.1;17.9;153.9;8.3
3032;80 Security and investigation;2022 3rd quarter;164.9;24.1;165.8;7.8
3033;80 Security and investigation;2022 4th quarter;184.1;26.1;178.7;7.8
3034;80 Security and investigation;2022;160.3;21.3;160.1;21.3
3035;80 Security and investigation;2023 1st quarter;185.0;33.1;188.8;5.7
3036;80 Security and investigation;2023 2nd quarter;197.6;29.1;197.8;4.7
3037;80 Security and investigation;2023 3rd quarter;203.9;23.6;204.9;3.6
3038;80 Security and investigation;2023 4th quarter;216.1;17.4;211.0;3.0
3039;80 Security and investigation;2023;200.6;25.2;200.6;25.3
3040;81 Cleaning activities, gardening etc.;2005 1st quarter;62.7;;;
3041;81 Cleaning activities, gardening etc.;2005 2nd quarter;76.6;;;
3042;81 Cleaning activities, gardening etc.;2005 3rd quarter;73.8;;;
3043;81 Cleaning activities, gardening etc.;2005 4th quarter;87.7;;;
3044;81 Cleaning activities, gardening etc.;2005;75.2;;;
3045;81 Cleaning activities, gardening etc.;2006 1st quarter;65.1;3.8;;
3046;81 Cleaning activities, gardening etc.;2006 2nd quarter;81.3;6.1;;
3047;81 Cleaning activities, gardening etc.;2006 3rd quarter;80.4;8.9;;
3048;81 Cleaning activities, gardening etc.;2006 4th quarter;94.3;7.6;;
3049;81 Cleaning activities, gardening etc.;2006;80.3;6.7;;
3050;81 Cleaning activities, gardening etc.;2007 1st quarter;70.3;8.0;;
3051;81 Cleaning activities, gardening etc.;2007 2nd quarter;85.7;5.4;;
3052;81 Cleaning activities, gardening etc.;2007 3rd quarter;83.2;3.5;;
3053;81 Cleaning activities, gardening etc.;2007 4th quarter;98.1;4.0;;
3054;81 Cleaning activities, gardening etc.;2007;84.3;5.1;;
3055;81 Cleaning activities, gardening etc.;2008 1st quarter;75.2;7.0;;
3056;81 Cleaning activities, gardening etc.;2008 2nd quarter;91.5;6.8;;
3057;81 Cleaning activities, gardening etc.;2008 3rd quarter;89.4;7.5;;
3058;81 Cleaning activities, gardening etc.;2008 4th quarter;104.6;6.6;;
3059;81 Cleaning activities, gardening etc.;2008;90.2;7.0;;
3060;81 Cleaning activities, gardening etc.;2009 1st quarter;78.1;3.8;;
3061;81 Cleaning activities, gardening etc.;2009 2nd quarter;92.3;0.9;;
3062;81 Cleaning activities, gardening etc.;2009 3rd quarter;91.2;2.0;;
3063;81 Cleaning activities, gardening etc.;2009 4th quarter;103.3;-1.2;;
3064;81 Cleaning activities, gardening etc.;2009;91.2;1.2;;
3065;81 Cleaning activities, gardening etc.;2010 1st quarter;75.1;-3.8;;
3066;81 Cleaning activities, gardening etc.;2010 2nd quarter;92.6;0.3;;
3067;81 Cleaning activities, gardening etc.;2010 3rd quarter;93.2;2.2;;
3068;81 Cleaning activities, gardening etc.;2010 4th quarter;104.6;1.2;;
3069;81 Cleaning activities, gardening etc.;2010;91.4;0.2;;
3070;81 Cleaning activities, gardening etc.;2011 1st quarter;80.0;6.5;;
3071;81 Cleaning activities, gardening etc.;2011 2nd quarter;95.5;3.2;;
3072;81 Cleaning activities, gardening etc.;2011 3rd quarter;91.6;-1.7;;
3073;81 Cleaning activities, gardening etc.;2011 4th quarter;107.1;2.4;;
3074;81 Cleaning activities, gardening etc.;2011;93.6;2.4;;
3075;81 Cleaning activities, gardening etc.;2012 1st quarter;77.8;-2.7;;
3076;81 Cleaning activities, gardening etc.;2012 2nd quarter;96.8;1.3;;
3077;81 Cleaning activities, gardening etc.;2012 3rd quarter;97.1;6.0;;
3078;81 Cleaning activities, gardening etc.;2012 4th quarter;105.2;-1.8;;
3079;81 Cleaning activities, gardening etc.;2012;94.3;0.7;;
3080;81 Cleaning activities, gardening etc.;2013 1st quarter;77.2;-0.9;90.9;
3081;81 Cleaning activities, gardening etc.;2013 2nd quarter;96.7;-0.1;94.8;4.2
3082;81 Cleaning activities, gardening etc.;2013 3rd quarter;94.3;-2.9;94.6;-0.2
3083;81 Cleaning activities, gardening etc.;2013 4th quarter;106.4;1.1;93.7;-0.9
3084;81 Cleaning activities, gardening etc.;2013;93.7;-0.6;93.5;
3085;81 Cleaning activities, gardening etc.;2014 1st quarter;79.8;3.4;94.5;0.9
3086;81 Cleaning activities, gardening etc.;2014 2nd quarter;95.4;-1.4;93.3;-1.2
3087;81 Cleaning activities, gardening etc.;2014 3rd quarter;94.4;0.0;94.8;1.6
3088;81 Cleaning activities, gardening etc.;2014 4th quarter;110.7;4.0;97.8;3.1
3089;81 Cleaning activities, gardening etc.;2014;95.0;1.5;95.1;1.7
3090;81 Cleaning activities, gardening etc.;2015 1st quarter;84.0;5.3;98.8;1.0
3091;81 Cleaning activities, gardening etc.;2015 2nd quarter;103.3;8.3;100.7;1.9
3092;81 Cleaning activities, gardening etc.;2015 3rd quarter;98.5;4.4;99.2;-1.5
3093;81 Cleaning activities, gardening etc.;2015 4th quarter;114.2;3.2;101.3;2.1
3094;81 Cleaning activities, gardening etc.;2015;100.0;5.2;100.0;5.1
3095;81 Cleaning activities, gardening etc.;2016 1st quarter;87.7;4.4;102.3;1.0
3096;81 Cleaning activities, gardening etc.;2016 2nd quarter;105.1;1.8;102.5;0.2
3097;81 Cleaning activities, gardening etc.;2016 3rd quarter;103.2;4.7;104.3;1.7
3098;81 Cleaning activities, gardening etc.;2016 4th quarter;119.4;4.5;106.0;1.7
3099;81 Cleaning activities, gardening etc.;2016;103.8;3.8;103.8;3.8
3100;81 Cleaning activities, gardening etc.;2017 1st quarter;93.4;6.5;108.5;2.4
3101;81 Cleaning activities, gardening etc.;2017 2nd quarter;114.0;8.4;110.9;2.2
3102;81 Cleaning activities, gardening etc.;2017 3rd quarter;110.2;6.8;111.5;0.6
3103;81 Cleaning activities, gardening etc.;2017 4th quarter;127.7;7.0;113.9;2.2
3104;81 Cleaning activities, gardening etc.;2017;111.3;7.2;111.2;7.2
3105;81 Cleaning activities, gardening etc.;2018 1st quarter;101.4;8.5;117.5;3.2
3106;81 Cleaning activities, gardening etc.;2018 2nd quarter;124.4;9.2;120.8;2.7
3107;81 Cleaning activities, gardening etc.;2018 3rd quarter;120.1;9.0;121.8;0.8
3108;81 Cleaning activities, gardening etc.;2018 4th quarter;141.3;10.6;126.2;3.6
3109;81 Cleaning activities, gardening etc.;2018;121.8;9.4;121.6;9.3
3110;81 Cleaning activities, gardening etc.;2019 1st quarter;108.0;6.6;125.5;-0.6
3111;81 Cleaning activities, gardening etc.;2019 2nd quarter;133.5;7.3;129.5;3.2
3112;81 Cleaning activities, gardening etc.;2019 3rd quarter;129.7;8.0;131.6;1.6
3113;81 Cleaning activities, gardening etc.;2019 4th quarter;147.2;4.1;131.6;0.0
3114;81 Cleaning activities, gardening etc.;2019;129.6;6.4;129.6;6.6
3115;81 Cleaning activities, gardening etc.;2020 1st quarter;119.3;10.4;138.7;5.3
3116;81 Cleaning activities, gardening etc.;2020 2nd quarter;128.5;-3.7;124.2;-10.4
3117;81 Cleaning activities, gardening etc.;2020 3rd quarter;130.0;0.3;132.1;6.3
3118;81 Cleaning activities, gardening etc.;2020 4th quarter;151.5;2.9;134.9;2.2
3119;81 Cleaning activities, gardening etc.;2020;132.3;2.1;132.5;2.2
3120;81 Cleaning activities, gardening etc.;2021 1st quarter;118.5;-0.7;138.7;2.8
3121;81 Cleaning activities, gardening etc.;2021 2nd quarter;143.4;11.6;139.8;0.7
3122;81 Cleaning activities, gardening etc.;2021 3rd quarter;141.0;8.4;143.2;2.4
3123;81 Cleaning activities, gardening etc.;2021 4th quarter;166.2;9.7;148.5;3.7
3124;81 Cleaning activities, gardening etc.;2021;142.3;7.5;142.5;7.6
3125;81 Cleaning activities, gardening etc.;2022 1st quarter;134.8;13.8;155.1;4.4
3126;81 Cleaning activities, gardening etc.;2022 2nd quarter;164.6;14.8;159.8;3.1
3127;81 Cleaning activities, gardening etc.;2022 3rd quarter;158.7;12.6;162.1;1.4
3128;81 Cleaning activities, gardening etc.;2022 4th quarter;187.2;12.6;168.2;3.8
3129;81 Cleaning activities, gardening etc.;2022;161.3;13.4;161.3;13.2
3130;81 Cleaning activities, gardening etc.;2023 1st quarter;153.7;14.0;175.8;4.5
3131;81 Cleaning activities, gardening etc.;2023 2nd quarter;179.3;8.9;173.6;-1.2
3132;81 Cleaning activities, gardening etc.;2023 3rd quarter;173.4;9.2;177.3;2.1
3133;81 Cleaning activities, gardening etc.;2023 4th quarter;199.8;6.7;179.9;1.5
3134;81 Cleaning activities, gardening etc.;2023;176.5;9.4;176.6;9.5
3135;812 Cleaning activities;2005 1st quarter;71.4;;;
3136;812 Cleaning activities;2005 2nd quarter;76.2;;;
3137;812 Cleaning activities;2005 3rd quarter;77.2;;;
3138;812 Cleaning activities;2005 4th quarter;88.7;;;
3139;812 Cleaning activities;2005;78.4;;;
3140;812 Cleaning activities;2006 1st quarter;73.4;2.9;;
3141;812 Cleaning activities;2006 2nd quarter;80.6;5.8;;
3142;812 Cleaning activities;2006 3rd quarter;84.8;9.8;;
3143;812 Cleaning activities;2006 4th quarter;95.7;8.0;;
3144;812 Cleaning activities;2006;83.6;6.7;;
3145;812 Cleaning activities;2007 1st quarter;79.7;8.5;;
3146;812 Cleaning activities;2007 2nd quarter;84.5;4.8;;
3147;812 Cleaning activities;2007 3rd quarter;86.6;2.2;;
3148;812 Cleaning activities;2007 4th quarter;98.4;2.8;;
3149;812 Cleaning activities;2007;87.3;4.4;;
3150;812 Cleaning activities;2008 1st quarter;85.3;7.0;;
3151;812 Cleaning activities;2008 2nd quarter;90.2;6.8;;
3152;812 Cleaning activities;2008 3rd quarter;93.4;7.8;;
3153;812 Cleaning activities;2008 4th quarter;104.8;6.5;;
3154;812 Cleaning activities;2008;93.4;7.0;;
3155;812 Cleaning activities;2009 1st quarter;89.1;4.5;;
3156;812 Cleaning activities;2009 2nd quarter;90.6;0.4;;
3157;812 Cleaning activities;2009 3rd quarter;95.3;2.1;;
3158;812 Cleaning activities;2009 4th quarter;102.1;-2.6;;
3159;812 Cleaning activities;2009;94.3;0.9;;
3160;812 Cleaning activities;2010 1st quarter;86.6;-2.8;;
3161;812 Cleaning activities;2010 2nd quarter;90.7;0.1;;
3162;812 Cleaning activities;2010 3rd quarter;96.5;1.2;;
3163;812 Cleaning activities;2010 4th quarter;104.2;2.1;;
3164;812 Cleaning activities;2010;94.5;0.2;;
3165;812 Cleaning activities;2011 1st quarter;87.3;0.8;;
3166;812 Cleaning activities;2011 2nd quarter;91.1;0.5;;
3167;812 Cleaning activities;2011 3rd quarter;94.0;-2.6;;
3168;812 Cleaning activities;2011 4th quarter;102.4;-1.8;;
3169;812 Cleaning activities;2011;93.7;-0.8;;
3170;812 Cleaning activities;2012 1st quarter;86.1;-1.3;;
3171;812 Cleaning activities;2012 2nd quarter;92.8;1.8;;
3172;812 Cleaning activities;2012 3rd quarter;97.9;4.1;;
3173;812 Cleaning activities;2012 4th quarter;103.3;0.9;;
3174;812 Cleaning activities;2012;95.0;1.4;;
3175;812 Cleaning activities;2013 1st quarter;87.1;1.1;94.8;
3176;812 Cleaning activities;2013 2nd quarter;95.2;2.6;97.3;2.6
3177;812 Cleaning activities;2013 3rd quarter;97.8;-0.1;96.7;-0.6
3178;812 Cleaning activities;2013 4th quarter;103.1;-0.2;94.6;-2.2
3179;812 Cleaning activities;2013;95.8;0.8;95.8;
3180;812 Cleaning activities;2014 1st quarter;86.7;-0.5;94.3;-0.3
3181;812 Cleaning activities;2014 2nd quarter;92.8;-2.5;94.6;0.4
3182;812 Cleaning activities;2014 3rd quarter;96.8;-1.0;95.8;1.2
3183;812 Cleaning activities;2014 4th quarter;106.7;3.5;98.5;2.8
3184;812 Cleaning activities;2014;95.7;-0.1;95.8;0.0
3185;812 Cleaning activities;2015 1st quarter;91.0;5.0;98.4;-0.1
3186;812 Cleaning activities;2015 2nd quarter;97.8;5.4;99.4;1.0
3187;812 Cleaning activities;2015 3rd quarter;102.0;5.4;101.1;1.8
3188;812 Cleaning activities;2015 4th quarter;109.2;2.3;101.4;0.2
3189;812 Cleaning activities;2015;100.0;4.4;100.1;4.5
3190;812 Cleaning activities;2016 1st quarter;95.2;4.7;102.5;1.1
3191;812 Cleaning activities;2016 2nd quarter;101.2;3.5;102.4;-0.1
3192;812 Cleaning activities;2016 3rd quarter;103.8;1.7;103.1;0.7
3193;812 Cleaning activities;2016 4th quarter;111.2;1.8;103.8;0.7
3194;812 Cleaning activities;2016;102.8;2.8;102.9;2.8
3195;812 Cleaning activities;2017 1st quarter;100.2;5.3;107.4;3.5
3196;812 Cleaning activities;2017 2nd quarter;108.0;6.7;108.7;1.2
3197;812 Cleaning activities;2017 3rd quarter;109.5;5.4;108.8;0.1
3198;812 Cleaning activities;2017 4th quarter;118.5;6.6;111.4;2.4
3199;812 Cleaning activities;2017;109.0;6.0;109.1;6.0
3200;812 Cleaning activities;2018 1st quarter;106.9;6.7;114.1;2.4
3201;812 Cleaning activities;2018 2nd quarter;115.8;7.2;116.1;1.7
3202;812 Cleaning activities;2018 3rd quarter;116.4;6.4;115.9;-0.1
3203;812 Cleaning activities;2018 4th quarter;127.8;7.9;120.8;4.2
3204;812 Cleaning activities;2018;116.7;7.0;116.7;7.0
3205;812 Cleaning activities;2019 1st quarter;111.0;3.8;118.3;-2.1
3206;812 Cleaning activities;2019 2nd quarter;123.5;6.7;123.5;4.4
