ID;HousingCharacteristics;Regions;Periods;AverageConsumptionOfNaturalGas_1;AverageSupplyOfElectricity_2;AverageNetSupplyOfElectricity_3;DistrictHeating_4
403;Total dwellings;Altena;2010;;;;
404;Total dwellings;Altena;2011;;;;
405;Total dwellings;Altena;2012;;;;
406;Total dwellings;Altena;2013;;;;
407;Total dwellings;Altena;2014;;;;
408;Total dwellings;Altena;2015;;;;
409;Total dwellings;Altena;2016;;;;
410;Total dwellings;Altena;2017;;;;
411;Total dwellings;Altena;2018;;;;
412;Total dwellings;Altena;2019;1410.0;3240.0;;
413;Total dwellings;Altena;2020;1340.0;3260.0;;
414;Total dwellings;Altena;2021;1500.0;3320.0;2910.0;
415;Total dwellings;Altena;2022;1150.0;3140.0;2560.0;
416;Total dwellings;Ameland;2010;2450.0;3400.0;;
417;Total dwellings;Ameland;2011;1950.0;3550.0;;
418;Total dwellings;Ameland;2012;2150.0;3550.0;;
419;Total dwellings;Ameland;2013;2250.0;3650.0;;
420;Total dwellings;Ameland;2014;1650.0;3250.0;;
421;Total dwellings;Ameland;2015;1750.0;3200.0;;
422;Total dwellings;Ameland;2016;1840.0;3060.0;;
423;Total dwellings;Ameland;2017;1720.0;2980.0;;
424;Total dwellings;Ameland;2018;1770.0;2970.0;;
425;Total dwellings;Ameland;2019;1610.0;2940.0;;
426;Total dwellings;Ameland;2020;1570.0;3100.0;;
427;Total dwellings;Ameland;2021;1760.0;3180.0;2830.0;
428;Total dwellings;Ameland;2022;1380.0;2990.0;2460.0;
429;Total dwellings;Amersfoort;2010;1650.0;3200.0;;
430;Total dwellings;Amersfoort;2011;1300.0;3200.0;;
431;Total dwellings;Amersfoort;2012;1350.0;3100.0;;5.6
432;Total dwellings;Amersfoort;2013;1450.0;3050.0;;5.0
433;Total dwellings;Amersfoort;2014;1050.0;2900.0;;
434;Total dwellings;Amersfoort;2015;1140.0;2910.0;;5.0
435;Total dwellings;Amersfoort;2016;1170.0;2850.0;;5.2
436;Total dwellings;Amersfoort;2017;1130.0;2810.0;;5.1
437;Total dwellings;Amersfoort;2018;1130.0;2740.0;;
438;Total dwellings;Amersfoort;2019;1050.0;2640.0;;5.0
439;Total dwellings;Amersfoort;2020;1010.0;2650.0;;5.2
440;Total dwellings;Amersfoort;2021;1120.0;2710.0;2390.0;4.3
441;Total dwellings;Amersfoort;2022;870.0;2530.0;2110.0;4.7
442;Total dwellings;Amstelveen;2010;1800.0;3100.0;;
443;Total dwellings;Amstelveen;2011;1400.0;3150.0;;
444;Total dwellings;Amstelveen;2012;1500.0;3100.0;;
445;Total dwellings;Amstelveen;2013;1550.0;3100.0;;
446;Total dwellings;Amstelveen;2014;1150.0;3000.0;;
447;Total dwellings;Amstelveen;2015;1150.0;2930.0;;6.8
448;Total dwellings;Amstelveen;2016;1210.0;2890.0;;6.7
449;Total dwellings;Amstelveen;2017;1180.0;2910.0;;7.1
450;Total dwellings;Amstelveen;2018;1210.0;2780.0;;
451;Total dwellings;Amstelveen;2019;1140.0;2720.0;;3.7
452;Total dwellings;Amstelveen;2020;1070.0;2740.0;;5.8
453;Total dwellings;Amstelveen;2021;1200.0;2790.0;2610.0;5.2
454;Total dwellings;Amstelveen;2022;950.0;2630.0;2400.0;5.6
455;Total dwellings;Amsterdam;2010;1300.0;2350.0;;5.0
456;Total dwellings;Amsterdam;2011;1000.0;2350.0;;6.0
457;Total dwellings;Amsterdam;2012;1050.0;2350.0;;7.4
458;Total dwellings;Amsterdam;2013;1150.0;2300.0;;7.1
459;Total dwellings;Amsterdam;2014;850.0;2250.0;;7.0
460;Total dwellings;Amsterdam;2015;870.0;2230.0;;9.7
461;Total dwellings;Amsterdam;2016;900.0;2210.0;;10.1
462;Total dwellings;Amsterdam;2017;850.0;2160.0;;10.8
463;Total dwellings;Amsterdam;2018;870.0;2090.0;;
464;Total dwellings;Amsterdam;2019;800.0;2050.0;;14.0
465;Total dwellings;Amsterdam;2020;770.0;2090.0;;14.7
466;Total dwellings;Amsterdam;2021;880.0;2130.0;2090.0;14.7
467;Total dwellings;Amsterdam;2022;690.0;2010.0;1950.0;15.3
468;Total dwellings;Andijk;2010;2150.0;3750.0;;
469;Total dwellings;Andijk;2011;;;;
470;Total dwellings;Andijk;2012;;;;
471;Total dwellings;Andijk;2013;;;;
472;Total dwellings;Andijk;2014;;;;
473;Total dwellings;Andijk;2015;;;;
474;Total dwellings;Andijk;2016;;;;
475;Total dwellings;Andijk;2017;;;;
476;Total dwellings;Andijk;2018;;;;
477;Total dwellings;Andijk;2019;;;;
478;Total dwellings;Andijk;2020;;;;
479;Total dwellings;Andijk;2021;;;;
480;Total dwellings;Andijk;2022;;;;
481;Total dwellings;Anna Paulowna;2010;2100.0;3800.0;;
482;Total dwellings;Anna Paulowna;2011;1650.0;3800.0;;
483;Total dwellings;Anna Paulowna;2012;;;;
484;Total dwellings;Anna Paulowna;2013;;;;
485;Total dwellings;Anna Paulowna;2014;;;;
486;Total dwellings;Anna Paulowna;2015;;;;
487;Total dwellings;Anna Paulowna;2016;;;;
488;Total dwellings;Anna Paulowna;2017;;;;
489;Total dwellings;Anna Paulowna;2018;;;;
490;Total dwellings;Anna Paulowna;2019;;;;
491;Total dwellings;Anna Paulowna;2020;;;;
492;Total dwellings;Anna Paulowna;2021;;;;
493;Total dwellings;Anna Paulowna;2022;;;;
494;Total dwellings;Apeldoorn;2010;2000.0;3350.0;;
495;Total dwellings;Apeldoorn;2011;1550.0;3350.0;;
496;Total dwellings;Apeldoorn;2012;1650.0;3250.0;;
497;Total dwellings;Apeldoorn;2013;1750.0;3200.0;;
498;Total dwellings;Apeldoorn;2014;1250.0;3150.0;;
499;Total dwellings;Apeldoorn;2015;1380.0;3100.0;;
500;Total dwellings;Apeldoorn;2016;1440.0;2960.0;;
501;Total dwellings;Apeldoorn;2017;1380.0;2890.0;;
502;Total dwellings;Apeldoorn;2018;1390.0;2790.0;;
503;Total dwellings;Apeldoorn;2019;1290.0;2790.0;;3.3
504;Total dwellings;Apeldoorn;2020;1210.0;2830.0;;3.3
505;Total dwellings;Apeldoorn;2021;1360.0;2870.0;2530.0;3.3
506;Total dwellings;Apeldoorn;2022;1080.0;2700.0;2250.0;3.4
507;Total dwellings;Appingedam;2010;2050.0;3000.0;;
508;Total dwellings;Appingedam;2011;1600.0;2950.0;;
509;Total dwellings;Appingedam;2012;1750.0;2950.0;;
510;Total dwellings;Appingedam;2013;1800.0;2850.0;;
511;Total dwellings;Appingedam;2014;1350.0;2700.0;;
512;Total dwellings;Appingedam;2015;1450.0;2660.0;;
513;Total dwellings;Appingedam;2016;1500.0;2550.0;;
514;Total dwellings;Appingedam;2017;1400.0;2460.0;;
515;Total dwellings;Appingedam;2018;1430.0;2440.0;;
516;Total dwellings;Appingedam;2019;1330.0;2390.0;;
517;Total dwellings;Appingedam;2020;1260.0;2480.0;;
518;Total dwellings;Appingedam;2021;;;;
519;Total dwellings;Appingedam;2022;;;;
520;Total dwellings;Arnhem;2010;1600.0;2850.0;;
521;Total dwellings;Arnhem;2011;1250.0;2850.0;;
522;Total dwellings;Arnhem;2012;1300.0;2850.0;;5.9
523;Total dwellings;Arnhem;2013;1400.0;2800.0;;5.7
524;Total dwellings;Arnhem;2014;1050.0;2700.0;;6.0
525;Total dwellings;Arnhem;2015;1110.0;2670.0;;7.3
526;Total dwellings;Arnhem;2016;1150.0;2600.0;;7.3
527;Total dwellings;Arnhem;2017;1110.0;2540.0;;7.4
528;Total dwellings;Arnhem;2018;1110.0;2440.0;;
529;Total dwellings;Arnhem;2019;1010.0;2420.0;;9.8
530;Total dwellings;Arnhem;2020;960.0;2470.0;;9.7
531;Total dwellings;Arnhem;2021;1080.0;2510.0;2310.0;10.2
532;Total dwellings;Arnhem;2022;850.0;2380.0;2120.0;10.6
533;Total dwellings;Assen;2010;1950.0;3150.0;;
534;Total dwellings;Assen;2011;1550.0;3150.0;;
535;Total dwellings;Assen;2012;1650.0;3100.0;;
536;Total dwellings;Assen;2013;1700.0;3050.0;;
537;Total dwellings;Assen;2014;1300.0;2900.0;;
538;Total dwellings;Assen;2015;1380.0;2800.0;;
539;Total dwellings;Assen;2016;1420.0;2730.0;;
540;Total dwellings;Assen;2017;1350.0;2660.0;;
541;Total dwellings;Assen;2018;1340.0;2570.0;;
542;Total dwellings;Assen;2019;1230.0;2490.0;;
543;Total dwellings;Assen;2020;1170.0;2490.0;;
544;Total dwellings;Assen;2021;1290.0;2520.0;2070.0;
545;Total dwellings;Assen;2022;1010.0;2380.0;1830.0;
546;Total dwellings;Asten;2010;2250.0;4050.0;;
547;Total dwellings;Asten;2011;1800.0;4100.0;;
548;Total dwellings;Asten;2012;1850.0;4050.0;;
549;Total dwellings;Asten;2013;1950.0;3950.0;;
550;Total dwellings;Asten;2014;1450.0;3800.0;;
551;Total dwellings;Asten;2015;1570.0;3740.0;;
552;Total dwellings;Asten;2016;1620.0;3660.0;;
553;Total dwellings;Asten;2017;1580.0;3560.0;;
554;Total dwellings;Asten;2018;1600.0;3550.0;;
555;Total dwellings;Asten;2019;1490.0;3440.0;;
556;Total dwellings;Asten;2020;1400.0;3400.0;;
557;Total dwellings;Asten;2021;1540.0;3430.0;2880.0;
558;Total dwellings;Asten;2022;1210.0;3210.0;2430.0;
559;Total dwellings;Baarle-Nassau;2010;2600.0;4000.0;;
560;Total dwellings;Baarle-Nassau;2011;1950.0;4000.0;;
561;Total dwellings;Baarle-Nassau;2012;2050.0;3850.0;;
562;Total dwellings;Baarle-Nassau;2013;2200.0;3850.0;;
563;Total dwellings;Baarle-Nassau;2014;1600.0;3800.0;;
564;Total dwellings;Baarle-Nassau;2015;1800.0;3590.0;;
565;Total dwellings;Baarle-Nassau;2016;1750.0;3490.0;;
566;Total dwellings;Baarle-Nassau;2017;1710.0;3530.0;;
567;Total dwellings;Baarle-Nassau;2018;1760.0;3530.0;;
568;Total dwellings;Baarle-Nassau;2019;1620.0;3430.0;;
569;Total dwellings;Baarle-Nassau;2020;1530.0;3440.0;;
570;Total dwellings;Baarle-Nassau;2021;1690.0;3500.0;3120.0;
571;Total dwellings;Baarle-Nassau;2022;1330.0;3300.0;2710.0;
572;Total dwellings;Baarn;2010;2400.0;3450.0;;
573;Total dwellings;Baarn;2011;1800.0;3350.0;;
574;Total dwellings;Baarn;2012;1900.0;3300.0;;
575;Total dwellings;Baarn;2013;2050.0;3250.0;;
576;Total dwellings;Baarn;2014;1450.0;3050.0;;
577;Total dwellings;Baarn;2015;1630.0;3090.0;;
578;Total dwellings;Baarn;2016;1660.0;3000.0;;
579;Total dwellings;Baarn;2017;1640.0;2980.0;;
580;Total dwellings;Baarn;2018;1570.0;2860.0;;
581;Total dwellings;Baarn;2019;1450.0;2770.0;;
582;Total dwellings;Baarn;2020;1370.0;2850.0;;
583;Total dwellings;Baarn;2021;1560.0;2900.0;2670.0;
584;Total dwellings;Baarn;2022;1210.0;2730.0;2410.0;
585;Total dwellings;Barendrecht;2010;1600.0;3650.0;;
586;Total dwellings;Barendrecht;2011;1250.0;3650.0;;
587;Total dwellings;Barendrecht;2012;1350.0;3600.0;;
588;Total dwellings;Barendrecht;2013;1400.0;3600.0;;
589;Total dwellings;Barendrecht;2014;1050.0;3450.0;;
590;Total dwellings;Barendrecht;2015;1140.0;3420.0;;4.2
591;Total dwellings;Barendrecht;2016;1210.0;3360.0;;4.2
592;Total dwellings;Barendrecht;2017;1180.0;3310.0;;4.2
593;Total dwellings;Barendrecht;2018;1130.0;3230.0;;
594;Total dwellings;Barendrecht;2019;1060.0;3110.0;;3.9
595;Total dwellings;Barendrecht;2020;1020.0;3120.0;;4.1
596;Total dwellings;Barendrecht;2021;1170.0;3170.0;2840.0;4.1
597;Total dwellings;Barendrecht;2022;900.0;2940.0;2470.0;3.9
598;Total dwellings;Barneveld;2010;2300.0;3850.0;;
599;Total dwellings;Barneveld;2011;1800.0;3850.0;;
600;Total dwellings;Barneveld;2012;1950.0;3850.0;;
601;Total dwellings;Barneveld;2013;2050.0;3750.0;;
602;Total dwellings;Barneveld;2014;1500.0;3600.0;;
603;Total dwellings;Barneveld;2015;1570.0;3510.0;;
604;Total dwellings;Barneveld;2016;1660.0;3420.0;;
605;Total dwellings;Barneveld;2017;1580.0;3330.0;;
606;Total dwellings;Barneveld;2018;1540.0;3180.0;;
607;Total dwellings;Barneveld;2019;1410.0;3160.0;;
608;Total dwellings;Barneveld;2020;1290.0;3160.0;;
609;Total dwellings;Barneveld;2021;1450.0;3240.0;2840.0;
610;Total dwellings;Barneveld;2022;1160.0;3070.0;2470.0;
611;Total dwellings;Bedum;2010;2300.0;3300.0;;
612;Total dwellings;Bedum;2011;1850.0;3250.0;;
613;Total dwellings;Bedum;2012;1950.0;3200.0;;
614;Total dwellings;Bedum;2013;2050.0;3150.0;;
615;Total dwellings;Bedum;2014;1550.0;3000.0;;
616;Total dwellings;Bedum;2015;1600.0;2880.0;;
617;Total dwellings;Bedum;2016;1670.0;2720.0;;
618;Total dwellings;Bedum;2017;1540.0;2580.0;;
619;Total dwellings;Bedum;2018;1580.0;2550.0;;
620;Total dwellings;Bedum;2019;;;;
621;Total dwellings;Bedum;2020;;;;
622;Total dwellings;Bedum;2021;;;;
623;Total dwellings;Bedum;2022;;;;
624;Total dwellings;Beek (L.);2010;2400.0;3750.0;;
625;Total dwellings;Beek (L.);2011;1750.0;3600.0;;
626;Total dwellings;Beek (L.);2012;1900.0;3600.0;;
627;Total dwellings;Beek (L.);2013;2000.0;3500.0;;
628;Total dwellings;Beek (L.);2014;1450.0;3350.0;;
629;Total dwellings;Beek (L.);2015;1570.0;3300.0;;
630;Total dwellings;Beek (L.);2016;1700.0;3230.0;;
631;Total dwellings;Beek (L.);2017;1600.0;3140.0;;
632;Total dwellings;Beek (L.);2018;1600.0;3070.0;;
633;Total dwellings;Beek (L.);2019;1480.0;2970.0;;
634;Total dwellings;Beek (L.);2020;1370.0;2970.0;;
635;Total dwellings;Beek (L.);2021;1560.0;3040.0;2440.0;
636;Total dwellings;Beek (L.);2022;1220.0;2890.0;2120.0;
637;Total dwellings;Beekdaelen;2010;;;;
638;Total dwellings;Beekdaelen;2011;;;;
639;Total dwellings;Beekdaelen;2012;;;;
640;Total dwellings;Beekdaelen;2013;;;;
641;Total dwellings;Beekdaelen;2014;;;;
642;Total dwellings;Beekdaelen;2015;;;;
643;Total dwellings;Beekdaelen;2016;;;;
644;Total dwellings;Beekdaelen;2017;;;;
645;Total dwellings;Beekdaelen;2018;;;;
646;Total dwellings;Beekdaelen;2019;1590.0;3200.0;;
647;Total dwellings;Beekdaelen;2020;1480.0;3200.0;;
648;Total dwellings;Beekdaelen;2021;1680.0;3270.0;2610.0;
649;Total dwellings;Beekdaelen;2022;1310.0;3120.0;2290.0;
650;Total dwellings;Beemster;2010;2400.0;3800.0;;
651;Total dwellings;Beemster;2011;1950.0;3800.0;;
652;Total dwellings;Beemster;2012;2000.0;3700.0;;
653;Total dwellings;Beemster;2013;2150.0;3600.0;;
654;Total dwellings;Beemster;2014;1600.0;3450.0;;
655;Total dwellings;Beemster;2015;1610.0;3240.0;;
656;Total dwellings;Beemster;2016;1670.0;3190.0;;
657;Total dwellings;Beemster;2017;1640.0;3270.0;;
658;Total dwellings;Beemster;2018;1690.0;3270.0;;
659;Total dwellings;Beemster;2019;1530.0;3280.0;;
660;Total dwellings;Beemster;2020;1460.0;3360.0;;
661;Total dwellings;Beemster;2021;1660.0;3450.0;2980.0;
662;Total dwellings;Beemster;2022;;;;
663;Total dwellings;Beesel;2010;2100.0;3850.0;;
664;Total dwellings;Beesel;2011;1600.0;3750.0;;
665;Total dwellings;Beesel;2012;1700.0;3700.0;;
666;Total dwellings;Beesel;2013;1850.0;3650.0;;
667;Total dwellings;Beesel;2014;1350.0;3500.0;;
668;Total dwellings;Beesel;2015;1460.0;3430.0;;3.2
669;Total dwellings;Beesel;2016;1550.0;3410.0;;3.2
670;Total dwellings;Beesel;2017;1460.0;3390.0;;3.2
671;Total dwellings;Beesel;2018;1460.0;3250.0;;
672;Total dwellings;Beesel;2019;1370.0;3140.0;;
673;Total dwellings;Beesel;2020;1290.0;3130.0;;
674;Total dwellings;Beesel;2021;1440.0;3160.0;2530.0;
675;Total dwellings;Beesel;2022;1130.0;3000.0;2230.0;
676;Total dwellings;Bellingwedde;2010;2700.0;3650.0;;
677;Total dwellings;Bellingwedde;2011;2150.0;3650.0;;
678;Total dwellings;Bellingwedde;2012;2300.0;3600.0;;
679;Total dwellings;Bellingwedde;2013;2400.0;3550.0;;
680;Total dwellings;Bellingwedde;2014;1800.0;3400.0;;
681;Total dwellings;Bellingwedde;2015;1890.0;3280.0;;
682;Total dwellings;Bellingwedde;2016;2020.0;3220.0;;
683;Total dwellings;Bellingwedde;2017;1900.0;3170.0;;
684;Total dwellings;Bellingwedde;2018;;;;
685;Total dwellings;Bellingwedde;2019;;;;
686;Total dwellings;Bellingwedde;2020;;;;
687;Total dwellings;Bellingwedde;2021;;;;
688;Total dwellings;Bellingwedde;2022;;;;
689;Total dwellings;Berg en Dal;2010;;;;
690;Total dwellings;Berg en Dal;2011;;;;
691;Total dwellings;Berg en Dal;2012;;;;
692;Total dwellings;Berg en Dal;2013;;;;
693;Total dwellings;Berg en Dal;2014;;;;
694;Total dwellings;Berg en Dal;2015;;;;
695;Total dwellings;Berg en Dal;2016;1580.0;3170.0;;
696;Total dwellings;Berg en Dal;2017;1520.0;3090.0;;
697;Total dwellings;Berg en Dal;2018;1510.0;2990.0;;
698;Total dwellings;Berg en Dal;2019;1410.0;2990.0;;
699;Total dwellings;Berg en Dal;2020;1340.0;3020.0;;
700;Total dwellings;Berg en Dal;2021;1480.0;3050.0;2650.0;
701;Total dwellings;Berg en Dal;2022;1180.0;2870.0;2340.0;
702;Total dwellings;Bergambacht;2010;2100.0;3650.0;;
703;Total dwellings;Bergambacht;2011;1650.0;3600.0;;
704;Total dwellings;Bergambacht;2012;1700.0;3450.0;;
705;Total dwellings;Bergambacht;2013;1850.0;3500.0;;
706;Total dwellings;Bergambacht;2014;1350.0;3250.0;;
707;Total dwellings;Bergambacht;2015;;;;
708;Total dwellings;Bergambacht;2016;;;;
709;Total dwellings;Bergambacht;2017;;;;
710;Total dwellings;Bergambacht;2018;;;;
711;Total dwellings;Bergambacht;2019;;;;
712;Total dwellings;Bergambacht;2020;;;;
713;Total dwellings;Bergambacht;2021;;;;
714;Total dwellings;Bergambacht;2022;;;;
715;Total dwellings;Bergeijk;2010;2450.0;4100.0;;
716;Total dwellings;Bergeijk;2011;1950.0;4150.0;;
717;Total dwellings;Bergeijk;2012;2100.0;4050.0;;
718;Total dwellings;Bergeijk;2013;2150.0;4000.0;;
719;Total dwellings;Bergeijk;2014;1600.0;3850.0;;
720;Total dwellings;Bergeijk;2015;1670.0;3760.0;;
721;Total dwellings;Bergeijk;2016;1780.0;3700.0;;
722;Total dwellings;Bergeijk;2017;1710.0;3690.0;;
723;Total dwellings;Bergeijk;2018;1710.0;3630.0;;
724;Total dwellings;Bergeijk;2019;1590.0;3500.0;;
725;Total dwellings;Bergeijk;2020;1480.0;3490.0;;
726;Total dwellings;Bergeijk;2021;1660.0;3530.0;2890.0;
727;Total dwellings;Bergeijk;2022;1310.0;3340.0;2490.0;
728;Total dwellings;Bergen (L.);2010;2400.0;4150.0;;
729;Total dwellings;Bergen (L.);2011;1800.0;4000.0;;
730;Total dwellings;Bergen (L.);2012;1900.0;3950.0;;
731;Total dwellings;Bergen (L.);2013;2000.0;3900.0;;
732;Total dwellings;Bergen (L.);2014;1500.0;3700.0;;
733;Total dwellings;Bergen (L.);2015;1600.0;3630.0;;
734;Total dwellings;Bergen (L.);2016;1660.0;3570.0;;
735;Total dwellings;Bergen (L.);2017;1600.0;3520.0;;
736;Total dwellings;Bergen (L.);2018;1620.0;3540.0;;
737;Total dwellings;Bergen (L.);2019;1520.0;3440.0;;
738;Total dwellings;Bergen (L.);2020;1450.0;3460.0;;
739;Total dwellings;Bergen (L.);2021;1630.0;3440.0;2850.0;
740;Total dwellings;Bergen (L.);2022;1280.0;3260.0;2470.0;
741;Total dwellings;Bergen (NH.);2010;2400.0;3450.0;;
742;Total dwellings;Bergen (NH.);2011;1900.0;3450.0;;
743;Total dwellings;Bergen (NH.);2012;2000.0;3400.0;;
744;Total dwellings;Bergen (NH.);2013;2100.0;3300.0;;
745;Total dwellings;Bergen (NH.);2014;1600.0;3200.0;;
746;Total dwellings;Bergen (NH.);2015;1690.0;3150.0;;
747;Total dwellings;Bergen (NH.);2016;1770.0;3070.0;;
748;Total dwellings;Bergen (NH.);2017;1670.0;2990.0;;
749;Total dwellings;Bergen (NH.);2018;1680.0;2890.0;;
750;Total dwellings;Bergen (NH.);2019;1540.0;2840.0;;
751;Total dwellings;Bergen (NH.);2020;1430.0;2820.0;;
752;Total dwellings;Bergen (NH.);2021;1630.0;2900.0;2480.0;
753;Total dwellings;Bergen (NH.);2022;1270.0;2710.0;2180.0;
754;Total dwellings;Bergen op Zoom;2010;1800.0;3300.0;;
755;Total dwellings;Bergen op Zoom;2011;1350.0;3300.0;;
756;Total dwellings;Bergen op Zoom;2012;1500.0;3350.0;;
757;Total dwellings;Bergen op Zoom;2013;1600.0;3300.0;;
758;Total dwellings;Bergen op Zoom;2014;1150.0;3150.0;;
759;Total dwellings;Bergen op Zoom;2015;1250.0;3090.0;;
760;Total dwellings;Bergen op Zoom;2016;1280.0;3010.0;;
761;Total dwellings;Bergen op Zoom;2017;1220.0;2970.0;;
762;Total dwellings;Bergen op Zoom;2018;1240.0;2930.0;;
763;Total dwellings;Bergen op Zoom;2019;1140.0;2820.0;;3.8
764;Total dwellings;Bergen op Zoom;2020;1090.0;2860.0;;3.3
765;Total dwellings;Bergen op Zoom;2021;1210.0;2870.0;2530.0;3.3
766;Total dwellings;Bergen op Zoom;2022;940.0;2710.0;2270.0;3.3
767;Total dwellings;Berkelland;2010;2300.0;3650.0;;
768;Total dwellings;Berkelland;2011;1800.0;3650.0;;
769;Total dwellings;Berkelland;2012;1850.0;3600.0;;
770;Total dwellings;Berkelland;2013;2000.0;3450.0;;
771;Total dwellings;Berkelland;2014;1450.0;3350.0;;
772;Total dwellings;Berkelland;2015;1590.0;3240.0;;
773;Total dwellings;Berkelland;2016;1660.0;3130.0;;
774;Total dwellings;Berkelland;2017;1610.0;3030.0;;
775;Total dwellings;Berkelland;2018;1610.0;2910.0;;
776;Total dwellings;Berkelland;2019;1480.0;2990.0;;
777;Total dwellings;Berkelland;2020;1390.0;3060.0;;
778;Total dwellings;Berkelland;2021;1580.0;3110.0;2620.0;
779;Total dwellings;Berkelland;2022;1250.0;2970.0;2300.0;
780;Total dwellings;Bernheze;2010;2300.0;4150.0;;
781;Total dwellings;Bernheze;2011;1750.0;4100.0;;
782;Total dwellings;Bernheze;2012;1900.0;4100.0;;
783;Total dwellings;Bernheze;2013;2000.0;4050.0;;
784;Total dwellings;Bernheze;2014;1500.0;3900.0;;
785;Total dwellings;Bernheze;2015;1640.0;3800.0;;
786;Total dwellings;Bernheze;2016;1690.0;3740.0;;
787;Total dwellings;Bernheze;2017;1610.0;3690.0;;
788;Total dwellings;Bernheze;2018;1640.0;3650.0;;
789;Total dwellings;Bernheze;2019;1510.0;3530.0;;
790;Total dwellings;Bernheze;2020;1400.0;3490.0;;
791;Total dwellings;Bernheze;2021;1590.0;3560.0;2970.0;
792;Total dwellings;Bernheze;2022;1250.0;3340.0;2520.0;
793;Total dwellings;Bernisse;2010;2050.0;3900.0;;
794;Total dwellings;Bernisse;2011;1600.0;3900.0;;
795;Total dwellings;Bernisse;2012;1650.0;3750.0;;
796;Total dwellings;Bernisse;2013;1800.0;3750.0;;
797;Total dwellings;Bernisse;2014;1350.0;3600.0;;
798;Total dwellings;Bernisse;2015;;;;
799;Total dwellings;Bernisse;2016;;;;
800;Total dwellings;Bernisse;2017;;;;
801;Total dwellings;Bernisse;2018;;;;
802;Total dwellings;Bernisse;2019;;;;
803;Total dwellings;Bernisse;2020;;;;
804;Total dwellings;Bernisse;2021;;;;
805;Total dwellings;Bernisse;2022;;;;
806;Total dwellings;Best;2010;2050.0;4000.0;;
807;Total dwellings;Best;2011;1550.0;3900.0;;
808;Total dwellings;Best;2012;1650.0;3850.0;;
809;Total dwellings;Best;2013;1800.0;3800.0;;
810;Total dwellings;Best;2014;1300.0;3650.0;;
811;Total dwellings;Best;2015;1480.0;3550.0;;
812;Total dwellings;Best;2016;1460.0;3480.0;;
813;Total dwellings;Best;2017;1430.0;3450.0;;
814;Total dwellings;Best;2018;1440.0;3330.0;;
815;Total dwellings;Best;2019;1350.0;3200.0;;
816;Total dwellings;Best;2020;1250.0;3170.0;;
817;Total dwellings;Best;2021;1370.0;3200.0;2610.0;
818;Total dwellings;Best;2022;1070.0;2990.0;2220.0;
819;Total dwellings;Beuningen;2010;2050.0;3950.0;;
820;Total dwellings;Beuningen;2011;1600.0;3900.0;;
821;Total dwellings;Beuningen;2012;1650.0;3800.0;;
822;Total dwellings;Beuningen;2013;1800.0;3700.0;;
823;Total dwellings;Beuningen;2014;1300.0;3550.0;;
824;Total dwellings;Beuningen;2015;1430.0;3450.0;;
825;Total dwellings;Beuningen;2016;1490.0;3350.0;;
826;Total dwellings;Beuningen;2017;1450.0;3250.0;;
827;Total dwellings;Beuningen;2018;1430.0;3120.0;;
828;Total dwellings;Beuningen;2019;1340.0;3150.0;;
829;Total dwellings;Beuningen;2020;1250.0;3190.0;;
830;Total dwellings;Beuningen;2021;1430.0;3200.0;2720.0;
831;Total dwellings;Beuningen;2022;1110.0;3030.0;2380.0;
832;Total dwellings;Beverwijk;2010;1750.0;3050.0;;
833;Total dwellings;Beverwijk;2011;1350.0;3050.0;;
834;Total dwellings;Beverwijk;2012;1400.0;3000.0;;
835;Total dwellings;Beverwijk;2013;1550.0;2950.0;;
836;Total dwellings;Beverwijk;2014;1100.0;2800.0;;
837;Total dwellings;Beverwijk;2015;1190.0;2770.0;;
838;Total dwellings;Beverwijk;2016;1230.0;2720.0;;
839;Total dwellings;Beverwijk;2017;1180.0;2690.0;;
840;Total dwellings;Beverwijk;2018;1200.0;2590.0;;
841;Total dwellings;Beverwijk;2019;1110.0;2570.0;;
842;Total dwellings;Beverwijk;2020;1060.0;2570.0;;
843;Total dwellings;Beverwijk;2021;1200.0;2620.0;2370.0;
844;Total dwellings;Beverwijk;2022;940.0;2450.0;2130.0;
