ID;TypeOfBuilding;BuildingPhase;Periods;BuildingCosts_1
8563;Shops;Building projects started;2015 November;23.0
8564;Shops;Building projects started;2015 December;19.0
8565;Shops;Building projects started;2015 4th quarter;61.0
8566;Shops;Building projects started;2015;257.0
8567;Shops;Building projects started;2016 January;13.0
8568;Shops;Building projects started;2016 February;44.0
8569;Shops;Building projects started;2016 March;17.0
8570;Shops;Building projects started;2016 1st quarter;74.0
8571;Shops;Building projects started;2016 April;18.0
8572;Shops;Building projects started;2016 May;25.0
8573;Shops;Building projects started;2016 June;21.0
8574;Shops;Building projects started;2016 2nd quarter;64.0
8575;Shops;Building projects started;2016 July;16.0
8576;Shops;Building projects started;2016 August;23.0
8577;Shops;Building projects started;2016 September;23.0
8578;Shops;Building projects started;2016 3rd quarter;62.0
8579;Shops;Building projects started;2016 October;12.0
8580;Shops;Building projects started;2016 November;19.0
8581;Shops;Building projects started;2016 December;23.0
8582;Shops;Building projects started;2016 4th quarter;53.0
8583;Shops;Building projects started;2016;254.0
8584;Shops;Building projects started;2017 January;31.0
8585;Shops;Building projects started;2017 February;15.0
8586;Shops;Building projects started;2017 March;17.0
8587;Shops;Building projects started;2017 1st quarter;63.0
8588;Shops;Building projects started;2017 April;14.0
8589;Shops;Building projects started;2017 May;32.0
8590;Shops;Building projects started;2017 June;21.0
8591;Shops;Building projects started;2017 2nd quarter;67.0
8592;Shops;Building projects started;2017 July;14.0
8593;Shops;Building projects started;2017 August;18.0
8594;Shops;Building projects started;2017 September;27.0
8595;Shops;Building projects started;2017 3rd quarter;59.0
8596;Shops;Building projects started;2017 October;16.0
8597;Shops;Building projects started;2017 November;26.0
8598;Shops;Building projects started;2017 December;12.0
8599;Shops;Building projects started;2017 4th quarter;54.0
8600;Shops;Building projects started;2017;243.0
8601;Shops;Building projects started;2018 January;26.0
8602;Shops;Building projects started;2018 February;28.0
8603;Shops;Building projects started;2018 March;13.0
8604;Shops;Building projects started;2018 1st quarter;67.0
8605;Shops;Building projects started;2018 April;12.0
8606;Shops;Building projects started;2018 May;11.0
8607;Shops;Building projects started;2018 June;15.0
8608;Shops;Building projects started;2018 2nd quarter;38.0
8609;Shops;Building projects started;2018 July;14.0
8610;Shops;Building projects started;2018 August;16.0
8611;Shops;Building projects started;2018 September;19.0
8612;Shops;Building projects started;2018 3rd quarter;50.0
8613;Shops;Building projects started;2018 October;41.0
8614;Shops;Building projects started;2018 November;22.0
8615;Shops;Building projects started;2018 December;38.0
8616;Shops;Building projects started;2018 4th quarter;101.0
8617;Shops;Building projects started;2018;256.0
8618;Shops;Building projects started;2019 January;22.0
8619;Shops;Building projects started;2019 February;10.0
8620;Shops;Building projects started;2019 March;9.0
8621;Shops;Building projects started;2019 1st quarter;40.0
8622;Shops;Building projects started;2019 April;29.0
8623;Shops;Building projects started;2019 May;20.0
8624;Shops;Building projects started;2019 June;50.0
8625;Shops;Building projects started;2019 2nd quarter;99.0
8626;Shops;Building projects started;2019 July;21.0
8627;Shops;Building projects started;2019 August;17.0
8628;Shops;Building projects started;2019 September;15.0
8629;Shops;Building projects started;2019 3rd quarter;53.0
8630;Shops;Building projects started;2019 October;21.0
8631;Shops;Building projects started;2019 November;9.0
8632;Shops;Building projects started;2019 December;18.0
8633;Shops;Building projects started;2019 4th quarter;48.0
8634;Shops;Building projects started;2019;240.0
8635;Shops;Building projects started;2020 January;14.0
8636;Shops;Building projects started;2020 February;16.0
8637;Shops;Building projects started;2020 March;11.0
8638;Shops;Building projects started;2020 1st quarter;42.0
8639;Shops;Building projects started;2020 April;13.0
8640;Shops;Building projects started;2020 May;20.0
8641;Shops;Building projects started;2020 June;14.0
8642;Shops;Building projects started;2020 2nd quarter;47.0
8643;Shops;Building projects started;2020 July;22.0
8644;Shops;Building projects started;2020 August;32.0
8645;Shops;Building projects started;2020 September;16.0
8646;Shops;Building projects started;2020 3rd quarter;70.0
8647;Shops;Building projects started;2020 October;7.0
8648;Shops;Building projects started;2020 November;44.0
8649;Shops;Building projects started;2020 December;33.0
8650;Shops;Building projects started;2020 4th quarter;84.0
8651;Shops;Building projects started;2020;242.0
8652;Shops;Building projects started;2021 January;23.0
8653;Shops;Building projects started;2021 February;38.0
8654;Shops;Building projects started;2021 March;30.0
8655;Shops;Building projects started;2021 1st quarter;91.0
8656;Shops;Building projects started;2021 April;15.0
8657;Shops;Building projects started;2021 May;15.0
8658;Shops;Building projects started;2021 June;22.0
8659;Shops;Building projects started;2021 2nd quarter;51.0
8660;Shops;Building projects started;2021 July;25.0
8661;Shops;Building projects started;2021 August;31.0
8662;Shops;Building projects started;2021 September;40.0
8663;Shops;Building projects started;2021 3rd quarter;96.0
8664;Shops;Building projects started;2021 October;16.0
8665;Shops;Building projects started;2021 November;29.0
8666;Shops;Building projects started;2021 December;15.0
8667;Shops;Building projects started;2021 4th quarter;61.0
8668;Shops;Building projects started;2021;299.0
8669;Shops;Building projects started;2022 January;17.0
8670;Shops;Building projects started;2022 February;13.0
8671;Shops;Building projects started;2022 March;15.0
8672;Shops;Building projects started;2022 1st quarter;46.0
8673;Shops;Building projects started;2022 April;29.0
8674;Shops;Building projects started;2022 May;21.0
8675;Shops;Building projects started;2022 June;11.0
8676;Shops;Building projects started;2022 2nd quarter;60.0
8677;Shops;Building projects started;2022 July;8.0
8678;Shops;Building projects started;2022 August;13.0
8679;Shops;Building projects started;2022 September;29.0
8680;Shops;Building projects started;2022 3rd quarter;50.0
8681;Shops;Building projects started;2022 October;23.0
8682;Shops;Building projects started;2022 November;6.0
8683;Shops;Building projects started;2022 December;31.0
8684;Shops;Building projects started;2022 4th quarter;60.0
8685;Shops;Building projects started;2022;216.0
8686;Shops;Building projects started;2023 January;28.0
8687;Shops;Building projects started;2023 February;6.0
8688;Shops;Building projects started;2023 March;11.0
8689;Shops;Building projects started;2023 1st quarter;45.0
8690;Shops;Building projects started;2023 April;7.0
8691;Shops;Building projects started;2023 May;12.0
8692;Shops;Building projects started;2023 June;7.0
8693;Shops;Building projects started;2023 2nd quarter;26.0
8694;Shops;Building projects started;2023 July;10.0
8695;Shops;Building projects started;2023 August;15.0
8696;Shops;Building projects started;2023 September;8.0
8697;Shops;Building projects started;2023 3rd quarter;32.0
8698;Shops;Building projects started;2023 October;28.0
8699;Shops;Building projects started;2023 November;17.0
8700;Shops;Building projects started;2023 December;20.0
8701;Shops;Building projects started;2023 4th quarter;64.0
8702;Shops;Building projects started;2023;168.0
8703;Shops;Building projects started;2024 January;9.0
8704;Shops;Building projects started;2024 February;13.0
8705;Shops;Building projects started;2024 March;21.0
8706;Shops;Building projects started;2024 1st quarter;43.0
8707;Shops;Building projects started;2024 April;10.0
8708;Shops;Building projects started;2024 May;13.0
8709;Shops;Building projects started;2024 June;9.0
8710;Shops;Building projects started;2024 2nd quarter;32.0
8711;Shops;Building projects started;2024 July;19.0
8712;Shops;Building projects started;2024 August;10.0
8713;Shops;Building projects started;2024 September;18.0
8714;Shops;Building projects started;2024 3rd quarter;47.0
8715;Shops;Building projects started;2024 October;16.0
8716;Shops;Building projects started;2024 November;38.0
8717;Shops;Building projects started;2024 December;9.0
8718;Shops;Building projects started;2024 4th quarter;62.0
8719;Shops;Building projects started;2024;185.0
8720;Shops;Building projects started;2025 January;9.0
8721;Shops;Building projects not yet started;2015 January;80.0
8722;Shops;Building projects not yet started;2015 February;69.0
8723;Shops;Building projects not yet started;2015 March;62.0
8724;Shops;Building projects not yet started;2015 1st quarter;62.0
8725;Shops;Building projects not yet started;2015 April;63.0
8726;Shops;Building projects not yet started;2015 May;38.0
8727;Shops;Building projects not yet started;2015 June;33.0
8728;Shops;Building projects not yet started;2015 2nd quarter;33.0
8729;Shops;Building projects not yet started;2015 July;39.0
8730;Shops;Building projects not yet started;2015 August;43.0
8731;Shops;Building projects not yet started;2015 September;48.0
8732;Shops;Building projects not yet started;2015 3rd quarter;48.0
8733;Shops;Building projects not yet started;2015 October;51.0
8734;Shops;Building projects not yet started;2015 November;36.0
8735;Shops;Building projects not yet started;2015 December;68.0
8736;Shops;Building projects not yet started;2015 4th quarter;68.0
8737;Shops;Building projects not yet started;2015;68.0
8738;Shops;Building projects not yet started;2016 January;70.0
8739;Shops;Building projects not yet started;2016 February;49.0
8740;Shops;Building projects not yet started;2016 March;52.0
8741;Shops;Building projects not yet started;2016 1st quarter;52.0
8742;Shops;Building projects not yet started;2016 April;54.0
8743;Shops;Building projects not yet started;2016 May;48.0
8744;Shops;Building projects not yet started;2016 June;56.0
8745;Shops;Building projects not yet started;2016 2nd quarter;56.0
8746;Shops;Building projects not yet started;2016 July;55.0
8747;Shops;Building projects not yet started;2016 August;50.0
8748;Shops;Building projects not yet started;2016 September;49.0
8749;Shops;Building projects not yet started;2016 3rd quarter;49.0
8750;Shops;Building projects not yet started;2016 October;50.0
8751;Shops;Building projects not yet started;2016 November;63.0
8752;Shops;Building projects not yet started;2016 December;57.0
8753;Shops;Building projects not yet started;2016 4th quarter;57.0
8754;Shops;Building projects not yet started;2016;57.0
8755;Shops;Building projects not yet started;2017 January;37.0
8756;Shops;Building projects not yet started;2017 February;36.0
8757;Shops;Building projects not yet started;2017 March;58.0
8758;Shops;Building projects not yet started;2017 1st quarter;58.0
8759;Shops;Building projects not yet started;2017 April;58.0
8760;Shops;Building projects not yet started;2017 May;56.0
8761;Shops;Building projects not yet started;2017 June;50.0
8762;Shops;Building projects not yet started;2017 2nd quarter;50.0
8763;Shops;Building projects not yet started;2017 July;51.0
8764;Shops;Building projects not yet started;2017 August;52.0
8765;Shops;Building projects not yet started;2017 September;50.0
8766;Shops;Building projects not yet started;2017 3rd quarter;50.0
8767;Shops;Building projects not yet started;2017 October;62.0
8768;Shops;Building projects not yet started;2017 November;51.0
8769;Shops;Building projects not yet started;2017 December;58.0
8770;Shops;Building projects not yet started;2017 4th quarter;58.0
8771;Shops;Building projects not yet started;2017;58.0
8772;Shops;Building projects not yet started;2018 January;46.0
8773;Shops;Building projects not yet started;2018 February;30.0
8774;Shops;Building projects not yet started;2018 March;34.0
8775;Shops;Building projects not yet started;2018 1st quarter;34.0
8776;Shops;Building projects not yet started;2018 April;33.0
8777;Shops;Building projects not yet started;2018 May;36.0
8778;Shops;Building projects not yet started;2018 June;61.0
8779;Shops;Building projects not yet started;2018 2nd quarter;61.0
8780;Shops;Building projects not yet started;2018 July;71.0
8781;Shops;Building projects not yet started;2018 August;72.0
8782;Shops;Building projects not yet started;2018 September;79.0
8783;Shops;Building projects not yet started;2018 3rd quarter;79.0
8784;Shops;Building projects not yet started;2018 October;74.0
8785;Shops;Building projects not yet started;2018 November;64.0
8786;Shops;Building projects not yet started;2018 December;36.0
8787;Shops;Building projects not yet started;2018 4th quarter;36.0
8788;Shops;Building projects not yet started;2018;36.0
8789;Shops;Building projects not yet started;2019 January;29.0
8790;Shops;Building projects not yet started;2019 February;46.0
8791;Shops;Building projects not yet started;2019 March;60.0
8792;Shops;Building projects not yet started;2019 1st quarter;60.0
8793;Shops;Building projects not yet started;2019 April;88.0
8794;Shops;Building projects not yet started;2019 May;79.0
8795;Shops;Building projects not yet started;2019 June;43.0
8796;Shops;Building projects not yet started;2019 2nd quarter;43.0
8797;Shops;Building projects not yet started;2019 July;48.0
8798;Shops;Building projects not yet started;2019 August;43.0
8799;Shops;Building projects not yet started;2019 September;37.0
8800;Shops;Building projects not yet started;2019 3rd quarter;37.0
8801;Shops;Building projects not yet started;2019 October;34.0
8802;Shops;Building projects not yet started;2019 November;36.0
8803;Shops;Building projects not yet started;2019 December;36.0
8804;Shops;Building projects not yet started;2019 4th quarter;36.0
8805;Shops;Building projects not yet started;2019;36.0
8806;Shops;Building projects not yet started;2020 January;32.0
8807;Shops;Building projects not yet started;2020 February;35.0
8808;Shops;Building projects not yet started;2020 March;39.0
8809;Shops;Building projects not yet started;2020 1st quarter;39.0
8810;Shops;Building projects not yet started;2020 April;43.0
8811;Shops;Building projects not yet started;2020 May;47.0
8812;Shops;Building projects not yet started;2020 June;59.0
8813;Shops;Building projects not yet started;2020 2nd quarter;59.0
8814;Shops;Building projects not yet started;2020 July;75.0
8815;Shops;Building projects not yet started;2020 August;52.0
8816;Shops;Building projects not yet started;2020 September;61.0
8817;Shops;Building projects not yet started;2020 3rd quarter;61.0
8818;Shops;Building projects not yet started;2020 October;98.0
8819;Shops;Building projects not yet started;2020 November;99.0
8820;Shops;Building projects not yet started;2020 December;87.0
8821;Shops;Building projects not yet started;2020 4th quarter;87.0
8822;Shops;Building projects not yet started;2020;87.0
8823;Shops;Building projects not yet started;2021 January;74.0
8824;Shops;Building projects not yet started;2021 February;52.0
8825;Shops;Building projects not yet started;2021 March;44.0
8826;Shops;Building projects not yet started;2021 1st quarter;44.0
8827;Shops;Building projects not yet started;2021 April;53.0
8828;Shops;Building projects not yet started;2021 May;52.0
8829;Shops;Building projects not yet started;2021 June;62.0
8830;Shops;Building projects not yet started;2021 2nd quarter;62.0
8831;Shops;Building projects not yet started;2021 July;81.0
8832;Shops;Building projects not yet started;2021 August;68.0
8833;Shops;Building projects not yet started;2021 September;49.0
8834;Shops;Building projects not yet started;2021 3rd quarter;49.0
8835;Shops;Building projects not yet started;2021 October;51.0
8836;Shops;Building projects not yet started;2021 November;41.0
8837;Shops;Building projects not yet started;2021 December;34.0
8838;Shops;Building projects not yet started;2021 4th quarter;34.0
8839;Shops;Building projects not yet started;2021;34.0
8840;Shops;Building projects not yet started;2022 January;45.0
8841;Shops;Building projects not yet started;2022 February;49.0
8842;Shops;Building projects not yet started;2022 March;57.0
8843;Shops;Building projects not yet started;2022 1st quarter;57.0
8844;Shops;Building projects not yet started;2022 April;39.0
8845;Shops;Building projects not yet started;2022 May;21.0
8846;Shops;Building projects not yet started;2022 June;31.0
8847;Shops;Building projects not yet started;2022 2nd quarter;31.0
8848;Shops;Building projects not yet started;2022 July;61.0
8849;Shops;Building projects not yet started;2022 August;57.0
8850;Shops;Building projects not yet started;2022 September;54.0
8851;Shops;Building projects not yet started;2022 3rd quarter;54.0
8852;Shops;Building projects not yet started;2022 October;56.0
8853;Shops;Building projects not yet started;2022 November;62.0
8854;Shops;Building projects not yet started;2022 December;37.0
8855;Shops;Building projects not yet started;2022 4th quarter;37.0
8856;Shops;Building projects not yet started;2022;37.0
8857;Shops;Building projects not yet started;2023 January;20.0
8858;Shops;Building projects not yet started;2023 February;20.0
8859;Shops;Building projects not yet started;2023 March;22.0
8860;Shops;Building projects not yet started;2023 1st quarter;22.0
8861;Shops;Building projects not yet started;2023 April;27.0
8862;Shops;Building projects not yet started;2023 May;21.0
8863;Shops;Building projects not yet started;2023 June;28.0
8864;Shops;Building projects not yet started;2023 2nd quarter;28.0
8865;Shops;Building projects not yet started;2023 July;26.0
8866;Shops;Building projects not yet started;2023 August;38.0
8867;Shops;Building projects not yet started;2023 September;52.0
8868;Shops;Building projects not yet started;2023 3rd quarter;52.0
8869;Shops;Building projects not yet started;2023 October;40.0
8870;Shops;Building projects not yet started;2023 November;37.0
8871;Shops;Building projects not yet started;2023 December;37.0
8872;Shops;Building projects not yet started;2023 4th quarter;37.0
8873;Shops;Building projects not yet started;2023;37.0
8874;Shops;Building projects not yet started;2024 January;37.0
8875;Shops;Building projects not yet started;2024 February;39.0
8876;Shops;Building projects not yet started;2024 March;26.0
8877;Shops;Building projects not yet started;2024 1st quarter;26.0
8878;Shops;Building projects not yet started;2024 April;35.0
8879;Shops;Building projects not yet started;2024 May;32.0
8880;Shops;Building projects not yet started;2024 June;35.0
8881;Shops;Building projects not yet started;2024 2nd quarter;35.0
8882;Shops;Building projects not yet started;2024 July;56.0
8883;Shops;Building projects not yet started;2024 August;60.0
8884;Shops;Building projects not yet started;2024 September;55.0
8885;Shops;Building projects not yet started;2024 3rd quarter;55.0
8886;Shops;Building projects not yet started;2024 October;52.0
8887;Shops;Building projects not yet started;2024 November;21.0
8888;Shops;Building projects not yet started;2024 December;25.0
8889;Shops;Building projects not yet started;2024 4th quarter;25.0
8890;Shops;Building projects not yet started;2024;25.0
8891;Shops;Building projects not yet started;2025 January;26.0
8892;Shops;Building projects under construction;2015 January;298.0
8893;Shops;Building projects under construction;2015 February;293.0
8894;Shops;Building projects under construction;2015 March;286.0
8895;Shops;Building projects under construction;2015 1st quarter;286.0
8896;Shops;Building projects under construction;2015 April;295.0
8897;Shops;Building projects under construction;2015 May;313.0
8898;Shops;Building projects under construction;2015 June;316.0
8899;Shops;Building projects under construction;2015 2nd quarter;316.0
8900;Shops;Building projects under construction;2015 July;307.0
8901;Shops;Building projects under construction;2015 August;312.0
8902;Shops;Building projects under construction;2015 September;311.0
8903;Shops;Building projects under construction;2015 3rd quarter;311.0
8904;Shops;Building projects under construction;2015 October;303.0
8905;Shops;Building projects under construction;2015 November;304.0
8906;Shops;Building projects under construction;2015 December;305.0
8907;Shops;Building projects under construction;2015 4th quarter;305.0
8908;Shops;Building projects under construction;2015;305.0
8909;Shops;Building projects under construction;2016 January;297.0
8910;Shops;Building projects under construction;2016 February;309.0
8911;Shops;Building projects under construction;2016 March;316.0
8912;Shops;Building projects under construction;2016 1st quarter;316.0
8913;Shops;Building projects under construction;2016 April;314.0
8914;Shops;Building projects under construction;2016 May;319.0
8915;Shops;Building projects under construction;2016 June;314.0
8916;Shops;Building projects under construction;2016 2nd quarter;314.0
8917;Shops;Building projects under construction;2016 July;321.0
8918;Shops;Building projects under construction;2016 August;338.0
8919;Shops;Building projects under construction;2016 September;345.0
8920;Shops;Building projects under construction;2016 3rd quarter;345.0
8921;Shops;Building projects under construction;2016 October;340.0
8922;Shops;Building projects under construction;2016 November;334.0
8923;Shops;Building projects under construction;2016 December;349.0
8924;Shops;Building projects under construction;2016 4th quarter;349.0
8925;Shops;Building projects under construction;2016;349.0
8926;Shops;Building projects under construction;2017 January;365.0
8927;Shops;Building projects under construction;2017 February;353.0
8928;Shops;Building projects under construction;2017 March;346.0
8929;Shops;Building projects under construction;2017 1st quarter;346.0
8930;Shops;Building projects under construction;2017 April;347.0
8931;Shops;Building projects under construction;2017 May;338.0
8932;Shops;Building projects under construction;2017 June;340.0
8933;Shops;Building projects under construction;2017 2nd quarter;340.0
8934;Shops;Building projects under construction;2017 July;329.0
8935;Shops;Building projects under construction;2017 August;338.0
8936;Shops;Building projects under construction;2017 September;330.0
8937;Shops;Building projects under construction;2017 3rd quarter;330.0
8938;Shops;Building projects under construction;2017 October;325.0
8939;Shops;Building projects under construction;2017 November;319.0
8940;Shops;Building projects under construction;2017 December;315.0
8941;Shops;Building projects under construction;2017 4th quarter;315.0
8942;Shops;Building projects under construction;2017;315.0
8943;Shops;Building projects under construction;2018 January;294.0
8944;Shops;Building projects under construction;2018 February;314.0
8945;Shops;Building projects under construction;2018 March;310.0
8946;Shops;Building projects under construction;2018 1st quarter;310.0
8947;Shops;Building projects under construction;2018 April;287.0
8948;Shops;Building projects under construction;2018 May;276.0
8949;Shops;Building projects under construction;2018 June;257.0
8950;Shops;Building projects under construction;2018 2nd quarter;257.0
8951;Shops;Building projects under construction;2018 July;242.0
8952;Shops;Building projects under construction;2018 August;243.0
8953;Shops;Building projects under construction;2018 September;248.0
8954;Shops;Building projects under construction;2018 3rd quarter;248.0
8955;Shops;Building projects under construction;2018 October;271.0
8956;Shops;Building projects under construction;2018 November;280.0
8957;Shops;Building projects under construction;2018 December;306.0
8958;Shops;Building projects under construction;2018 4th quarter;306.0
8959;Shops;Building projects under construction;2018;306.0
8960;Shops;Building projects under construction;2019 January;298.0
8961;Shops;Building projects under construction;2019 February;296.0
8962;Shops;Building projects under construction;2019 March;260.0
8963;Shops;Building projects under construction;2019 1st quarter;260.0
8964;Shops;Building projects under construction;2019 April;276.0
8965;Shops;Building projects under construction;2019 May;273.0
8966;Shops;Building projects under construction;2019 June;295.0
8967;Shops;Building projects under construction;2019 2nd quarter;295.0
8968;Shops;Building projects under construction;2019 July;303.0
8969;Shops;Building projects under construction;2019 August;310.0
8970;Shops;Building projects under construction;2019 September;301.0
8971;Shops;Building projects under construction;2019 3rd quarter;301.0
8972;Shops;Building projects under construction;2019 October;295.0
8973;Shops;Building projects under construction;2019 November;275.0
8974;Shops;Building projects under construction;2019 December;281.0
8975;Shops;Building projects under construction;2019 4th quarter;281.0
8976;Shops;Building projects under construction;2019;281.0
8977;Shops;Building projects under construction;2020 January;286.0
8978;Shops;Building projects under construction;2020 February;288.0
8979;Shops;Building projects under construction;2020 March;277.0
8980;Shops;Building projects under construction;2020 1st quarter;277.0
8981;Shops;Building projects under construction;2020 April;268.0
8982;Shops;Building projects under construction;2020 May;268.0
8983;Shops;Building projects under construction;2020 June;253.0
8984;Shops;Building projects under construction;2020 2nd quarter;253.0
8985;Shops;Building projects under construction;2020 July;262.0
8986;Shops;Building projects under construction;2020 August;287.0
8987;Shops;Building projects under construction;2020 September;273.0
8988;Shops;Building projects under construction;2020 3rd quarter;273.0
8989;Shops;Building projects under construction;2020 October;250.0
8990;Shops;Building projects under construction;2020 November;268.0
8991;Shops;Building projects under construction;2020 December;290.0
8992;Shops;Building projects under construction;2020 4th quarter;290.0
8993;Shops;Building projects under construction;2020;290.0
8994;Shops;Building projects under construction;2021 January;286.0
8995;Shops;Building projects under construction;2021 February;312.0
8996;Shops;Building projects under construction;2021 March;320.0
8997;Shops;Building projects under construction;2021 1st quarter;320.0
8998;Shops;Building projects under construction;2021 April;327.0
8999;Shops;Building projects under construction;2021 May;320.0
9000;Shops;Building projects under construction;2021 June;319.0
9001;Shops;Building projects under construction;2021 2nd quarter;319.0
9002;Shops;Building projects under construction;2021 July;326.0
9003;Shops;Building projects under construction;2021 August;348.0
9004;Shops;Building projects under construction;2021 September;371.0
9005;Shops;Building projects under construction;2021 3rd quarter;371.0
9006;Shops;Building projects under construction;2021 October;346.0
9007;Shops;Building projects under construction;2021 November;348.0
9008;Shops;Building projects under construction;2021 December;345.0
9009;Shops;Building projects under construction;2021 4th quarter;345.0
9010;Shops;Building projects under construction;2021;345.0
9011;Shops;Building projects under construction;2022 January;351.0
9012;Shops;Building projects under construction;2022 February;346.0
9013;Shops;Building projects under construction;2022 March;331.0
9014;Shops;Building projects under construction;2022 1st quarter;331.0
9015;Shops;Building projects under construction;2022 April;351.0
9016;Shops;Building projects under construction;2022 May;336.0
9017;Shops;Building projects under construction;2022 June;314.0
9018;Shops;Building projects under construction;2022 2nd quarter;314.0
9019;Shops;Building projects under construction;2022 July;312.0
9020;Shops;Building projects under construction;2022 August;316.0
9021;Shops;Building projects under construction;2022 September;314.0
9022;Shops;Building projects under construction;2022 3rd quarter;314.0
9023;Shops;Building projects under construction;2022 October;317.0
9024;Shops;Building projects under construction;2022 November;294.0
9025;Shops;Building projects under construction;2022 December;311.0
9026;Shops;Building projects under construction;2022 4th quarter;311.0
9027;Shops;Building projects under construction;2022;311.0
9028;Shops;Building projects under construction;2023 January;325.0
9029;Shops;Building projects under construction;2023 February;316.0
9030;Shops;Building projects under construction;2023 March;314.0
9031;Shops;Building projects under construction;2023 1st quarter;314.0
9032;Shops;Building projects under construction;2023 April;305.0
9033;Shops;Building projects under construction;2023 May;306.0
9034;Shops;Building projects under construction;2023 June;297.0
9035;Shops;Building projects under construction;2023 2nd quarter;297.0
9036;Shops;Building projects under construction;2023 July;292.0
9037;Shops;Building projects under construction;2023 August;285.0
9038;Shops;Building projects under construction;2023 September;279.0
9039;Shops;Building projects under construction;2023 3rd quarter;279.0
9040;Shops;Building projects under construction;2023 October;298.0
9041;Shops;Building projects under construction;2023 November;276.0
9042;Shops;Building projects under construction;2023 December;279.0
9043;Shops;Building projects under construction;2023 4th quarter;279.0
9044;Shops;Building projects under construction;2023;279.0
9045;Shops;Building projects under construction;2024 January;267.0
9046;Shops;Building projects under construction;2024 February;267.0
9047;Shops;Building projects under construction;2024 March;259.0
9048;Shops;Building projects under construction;2024 1st quarter;259.0
9049;Shops;Building projects under construction;2024 April;250.0
9050;Shops;Building projects under construction;2024 May;248.0
9051;Shops;Building projects under construction;2024 June;235.0
9052;Shops;Building projects under construction;2024 2nd quarter;235.0
9053;Shops;Building projects under construction;2024 July;240.0
9054;Shops;Building projects under construction;2024 August;209.0
9055;Shops;Building projects under construction;2024 September;193.0
9056;Shops;Building projects under construction;2024 3rd quarter;193.0
9057;Shops;Building projects under construction;2024 October;200.0
9058;Shops;Building projects under construction;2024 November;221.0
9059;Shops;Building projects under construction;2024 December;214.0
9060;Shops;Building projects under construction;2024 4th quarter;214.0
9061;Shops;Building projects under construction;2024;214.0
9062;Shops;Building projects under construction;2025 January;214.0
9063;Shops;Production of building projects;2015 January;22.0
9064;Shops;Production of building projects;2015 February;22.0
9065;Shops;Production of building projects;2015 March;24.0
9066;Shops;Production of building projects;2015 1st quarter;68.0
9067;Shops;Production of building projects;2015 April;21.0
9068;Shops;Production of building projects;2015 May;19.0
9069;Shops;Production of building projects;2015 June;25.0
9070;Shops;Production of building projects;2015 2nd quarter;66.0
9071;Shops;Production of building projects;2015 July;19.0
9072;Shops;Production of building projects;2015 August;11.0
9073;Shops;Production of building projects;2015 September;25.0
9074;Shops;Production of building projects;2015 3rd quarter;54.0
9075;Shops;Production of building projects;2015 October;22.0
9076;Shops;Production of building projects;2015 November;22.0
9077;Shops;Production of building projects;2015 December;16.0
9078;Shops;Production of building projects;2015 4th quarter;61.0
9079;Shops;Production of building projects;2015;250.0
9080;Shops;Production of building projects;2016 January;19.0
9081;Shops;Production of building projects;2016 February;21.0
9082;Shops;Production of building projects;2016 March;20.0
9083;Shops;Production of building projects;2016 1st quarter;60.0
9084;Shops;Production of building projects;2016 April;21.0
9085;Shops;Production of building projects;2016 May;19.0
9086;Shops;Production of building projects;2016 June;24.0
9087;Shops;Production of building projects;2016 2nd quarter;64.0
9088;Shops;Production of building projects;2016 July;20.0
9089;Shops;Production of building projects;2016 August;10.0
9090;Shops;Production of building projects;2016 September;28.0
9091;Shops;Production of building projects;2016 3rd quarter;59.0
9092;Shops;Production of building projects;2016 October;23.0
9093;Shops;Production of building projects;2016 November;25.0
9094;Shops;Production of building projects;2016 December;18.0
9095;Shops;Production of building projects;2016 4th quarter;65.0
9096;Shops;Production of building projects;2016;247.0
9097;Shops;Production of building projects;2017 January;17.0
9098;Shops;Production of building projects;2017 February;23.0
9099;Shops;Production of building projects;2017 March;28.0
9100;Shops;Production of building projects;2017 1st quarter;68.0
9101;Shops;Production of building projects;2017 April;21.0
9102;Shops;Production of building projects;2017 May;26.0
9103;Shops;Production of building projects;2017 June;26.0
9104;Shops;Production of building projects;2017 2nd quarter;73.0
9105;Shops;Production of building projects;2017 July;22.0
9106;Shops;Production of building projects;2017 August;13.0
9107;Shops;Production of building projects;2017 September;26.0
9108;Shops;Production of building projects;2017 3rd quarter;61.0
9109;Shops;Production of building projects;2017 October;27.0
9110;Shops;Production of building projects;2017 November;25.0
9111;Shops;Production of building projects;2017 December;18.0
9112;Shops;Production of building projects;2017 4th quarter;70.0
9113;Shops;Production of building projects;2017;272.0
9114;Shops;Production of building projects;2018 January;22.0
9115;Shops;Production of building projects;2018 February;19.0
9116;Shops;Production of building projects;2018 March;21.0
9117;Shops;Production of building projects;2018 1st quarter;61.0
9118;Shops;Production of building projects;2018 April;22.0
9119;Shops;Production of building projects;2018 May;21.0
9120;Shops;Production of building projects;2018 June;21.0
9121;Shops;Production of building projects;2018 2nd quarter;65.0
9122;Shops;Production of building projects;2018 July;19.0
9123;Shops;Production of building projects;2018 August;10.0
9124;Shops;Production of building projects;2018 September;19.0
9125;Shops;Production of building projects;2018 3rd quarter;48.0
9126;Shops;Production of building projects;2018 October;23.0
9127;Shops;Production of building projects;2018 November;22.0
9128;Shops;Production of building projects;2018 December;16.0
9129;Shops;Production of building projects;2018 4th quarter;60.0
9130;Shops;Production of building projects;2018;235.0
