ID;TransportModes;CommodityFlows;CommodityGroups;Continents;Periods;Estimate_1;LowerBound95ConfidenceInterval_2;UpperBound95ConfidenceInterval_3;ConfidenceInterval_4;ShareInCommodityFlow_5;GrowthIndication_6;Estimate_7;LowerBound95ConfidenceInterval_8;UpperBound95ConfidenceInterval_9;ConfidenceInterval_10;ShareInCommodityFlow_11;GrowthIndication_12
1679;Total;Imports;9 Machinery, transport equipment, man...;Oceania;2014;44;0;155;;0;9.0;4;0;14;;0;9.0
1680;Total;Imports;9 Machinery, transport equipment, man...;Oceania;2015;30;0;135;;0;9.0;2;0;6;;0;9.0
1681;Total;Imports;9 Machinery, transport equipment, man...;Oceania;2016;37;0;161;333.0;0;9.0;2;0;9;270.0;0;9.0
1682;Total;Imports;9 Machinery, transport equipment, man...;Oceania;2017;46;0;180;290.0;0;9.0;3;0;9;233.0;0;9.0
1683;Total;Imports;9 Machinery, transport equipment, man...;Unspecified countries and areas;2007;1;0;55;;0;;1;0;22;;0;
1684;Total;Imports;9 Machinery, transport equipment, man...;Unspecified countries and areas;2008;0;0;95;;0;9.0;0;0;21;;0;9.0
1685;Total;Imports;9 Machinery, transport equipment, man...;Unspecified countries and areas;2009;1;0;93;;0;9.0;0;0;19;;0;9.0
1686;Total;Imports;9 Machinery, transport equipment, man...;Unspecified countries and areas;2010;6;0;96;;0;9.0;0;0;17;;0;9.0
1687;Total;Imports;9 Machinery, transport equipment, man...;Unspecified countries and areas;2011;5;0;75;;0;9.0;0;0;23;;0;9.0
1688;Total;Imports;9 Machinery, transport equipment, man...;Unspecified countries and areas;2012;1;0;74;;0;9.0;0;0;25;;0;9.0
1689;Total;Imports;9 Machinery, transport equipment, man...;Unspecified countries and areas;2013;15;0;99;;0;9.0;0;0;23;;0;9.0
1690;Total;Imports;9 Machinery, transport equipment, man...;Unspecified countries and areas;2014;1;0;232;;0;9.0;0;0;23;;0;9.0
1691;Total;Imports;9 Machinery, transport equipment, man...;Unspecified countries and areas;2015;4;0;106;;0;9.0;0;0;17;;0;9.0
1692;Total;Imports;9 Machinery, transport equipment, man...;Unspecified countries and areas;2016;0;0;108;26264.0;0;9.0;0;0;16;84954.0;0;9.0
1693;Total;Imports;9 Machinery, transport equipment, man...;Unspecified countries and areas;2017;2;0;97;5520.0;0;9.0;0;0;14;14171.0;0;9.0
1694;Total;Inbound transit trade;Total;Total all continents;2007;149747;120510;178984;20.0;100;;207482;187996;226968;9.0;100;
1695;Total;Inbound transit trade;Total;Total all continents;2008;175607;140691;210523;20.0;100;9.0;215407;195472;235342;9.0;100;9.0
1696;Total;Inbound transit trade;Total;Total all continents;2009;154267;118355;190178;23.0;100;9.0;174375;155241;193508;11.0;100;1.0
1697;Total;Inbound transit trade;Total;Total all continents;2010;182208;143397;221019;21.0;100;9.0;193581;173155;214006;11.0;100;9.0
1698;Total;Inbound transit trade;Total;Total all continents;2011;165104;133390;196818;19.0;100;9.0;183392;165703;201080;10.0;100;9.0
1699;Total;Inbound transit trade;Total;Total all continents;2012;199661;159859;239462;20.0;100;9.0;183540;165372;201707;10.0;100;9.0
1700;Total;Inbound transit trade;Total;Total all continents;2013;191518;151973;231063;21.0;100;9.0;173196;155114;191277;10.0;100;9.0
1701;Total;Inbound transit trade;Total;Total all continents;2014;190066;151868;228264;20.0;100;9.0;197362;178315;216408;10.0;100;5.0
1702;Total;Inbound transit trade;Total;Total all continents;2015;240000;184271;295729;23.0;100;5.0;193681;173855;213507;10.0;100;9.0
1703;Total;Inbound transit trade;Total;Total all continents;2016;211086;161303;260870;24.0;100;9.0;184669;165017;204320;11.0;100;9.0
1704;Total;Inbound transit trade;Total;Total all continents;2017;240868;185876;295860;23.0;100;9.0;185434;166156;204713;10.0;100;9.0
1705;Total;Inbound transit trade;Total;Africa;2007;10422;4555;16289;56.0;7;;24467;18165;30770;26.0;12;
1706;Total;Inbound transit trade;Total;Africa;2008;11865;5754;17977;52.0;7;9.0;29240;23828;34651;19.0;14;9.0
1707;Total;Inbound transit trade;Total;Africa;2009;7148;3614;10682;49.0;5;1.0;22141;17839;26443;19.0;13;1.0
1708;Total;Inbound transit trade;Total;Africa;2010;9130;4663;13596;49.0;5;9.0;17972;13704;22241;24.0;9;1.0
1709;Total;Inbound transit trade;Total;Africa;2011;10441;4887;15994;53.0;6;9.0;22632;18096;27168;20.0;12;5.0
1710;Total;Inbound transit trade;Total;Africa;2012;10400;3656;17143;65.0;5;9.0;23431;17835;29027;24.0;13;9.0
1711;Total;Inbound transit trade;Total;Africa;2013;8014;3138;12890;61.0;4;9.0;19659;14474;24844;26.0;11;9.0
1712;Total;Inbound transit trade;Total;Africa;2014;11560;4837;18283;58.0;6;9.0;29064;23469;34658;19.0;15;5.0
1713;Total;Inbound transit trade;Total;Africa;2015;10831;5868;15793;46.0;5;9.0;28872;22817;34927;21.0;15;9.0
1714;Total;Inbound transit trade;Total;Africa;2016;7648;4382;10913;43.0;4;1.0;25339;21048;29631;17.0;14;9.0
1715;Total;Inbound transit trade;Total;Africa;2017;9464;5469;13458;42.0;4;9.0;25266;20928;29604;17.0;14;9.0
1716;Total;Inbound transit trade;Total;America;2007;31578;21630;41526;32.0;21;;55368;50894;59842;8.0;27;
1717;Total;Inbound transit trade;Total;America;2008;35206;22934;47478;35.0;20;9.0;64453;59509;69398;8.0;30;5.0
1718;Total;Inbound transit trade;Total;America;2009;28814;15088;42540;48.0;19;9.0;39260;35166;43354;10.0;23;1.0
1719;Total;Inbound transit trade;Total;America;2010;34515;21350;47680;38.0;19;9.0;57340;52789;61891;8.0;30;5.0
1720;Total;Inbound transit trade;Total;America;2011;34073;24703;43443;27.0;21;9.0;59588;54941;64234;8.0;32;9.0
1721;Total;Inbound transit trade;Total;America;2012;36733;25253;48213;31.0;18;9.0;49487;45030;53945;9.0;27;1.0
1722;Total;Inbound transit trade;Total;America;2013;39221;26017;52424;34.0;20;9.0;57028;52121;61935;9.0;33;5.0
1723;Total;Inbound transit trade;Total;America;2014;36394;24621;48166;32.0;19;9.0;58671;53757;63585;8.0;30;9.0
1724;Total;Inbound transit trade;Total;America;2015;35766;21406;50126;40.0;15;9.0;54838;49540;60136;10.0;28;9.0
1725;Total;Inbound transit trade;Total;America;2016;33077;18781;47373;43.0;16;9.0;51239;46111;56368;10.0;28;9.0
1726;Total;Inbound transit trade;Total;America;2017;46630;23198;70062;50.0;19;9.0;47884;43390;52379;9.0;26;9.0
1727;Total;Inbound transit trade;Total;Asia;2007;27433;13041;41824;52.0;18;;21578;15077;28079;30.0;10;
1728;Total;Inbound transit trade;Total;Asia;2008;35523;17262;53784;51.0;20;9.0;21049;15085;27013;28.0;10;9.0
1729;Total;Inbound transit trade;Total;Asia;2009;38149;16009;60289;58.0;25;9.0;22332;16787;27876;25.0;13;9.0
1730;Total;Inbound transit trade;Total;Asia;2010;40724;17703;63745;57.0;22;9.0;19652;13748;25556;30.0;10;9.0
1731;Total;Inbound transit trade;Total;Asia;2011;32212;15282;49142;53.0;20;9.0;16147;10752;21543;33.0;9;9.0
1732;Total;Inbound transit trade;Total;Asia;2012;42027;19688;64367;53.0;21;9.0;18517;13440;23595;27.0;10;9.0
1733;Total;Inbound transit trade;Total;Asia;2013;43074;19564;66585;55.0;22;9.0;16698;12000;21396;28.0;10;9.0
1734;Total;Inbound transit trade;Total;Asia;2014;40728;18987;62469;53.0;21;9.0;18354;13483;23225;27.0;9;9.0
1735;Total;Inbound transit trade;Total;Asia;2015;65546;28519;102572;56.0;27;9.0;19955;14732;25178;26.0;10;9.0
1736;Total;Inbound transit trade;Total;Asia;2016;59145;26626;91664;55.0;28;9.0;23276;17556;28996;25.0;13;9.0
1737;Total;Inbound transit trade;Total;Asia;2017;65802;29059;102544;56.0;27;9.0;23219;17391;29048;25.0;13;9.0
1738;Total;Inbound transit trade;Total;Europe;2007;78864;56194;101534;29.0;53;;96492;79916;113069;17.0;47;
1739;Total;Inbound transit trade;Total;Europe;2008;90918;64520;117316;29.0;52;9.0;90914;73428;108399;19.0;42;9.0
1740;Total;Inbound transit trade;Total;Europe;2009;78945;54486;103404;31.0;51;9.0;84298;67001;101596;21.0;48;9.0
1741;Total;Inbound transit trade;Total;Europe;2010;95512;67546;123478;29.0;52;9.0;91434;72942;109926;20.0;47;9.0
1742;Total;Inbound transit trade;Total;Europe;2011;82981;58594;107368;29.0;50;9.0;74082;58608;89557;21.0;40;1.0
1743;Total;Inbound transit trade;Total;Europe;2012;106062;76028;136096;28.0;53;9.0;79475;63660;95290;20.0;43;9.0
1744;Total;Inbound transit trade;Total;Europe;2013;97374;68942;125807;29.0;51;9.0;68459;52618;84299;23.0;40;9.0
1745;Total;Inbound transit trade;Total;Europe;2014;99633;71314;127952;28.0;52;9.0;83517;66771;100262;20.0;42;9.0
1746;Total;Inbound transit trade;Total;Europe;2015;126468;87697;165240;31.0;53;9.0;83249;66000;100497;21.0;43;9.0
1747;Total;Inbound transit trade;Total;Europe;2016;109970;75254;144686;32.0;52;9.0;77142;59759;94526;23.0;42;9.0
1748;Total;Inbound transit trade;Total;Europe;2017;117465;84178;150753;28.0;49;9.0;83520;66410;100629;20.0;45;9.0
1749;Total;Inbound transit trade;Total;Oceania;2007;1398;786;2010;44.0;1;;8217;6544;9890;20.0;4;
1750;Total;Inbound transit trade;Total;Oceania;2008;2074;1141;3007;45.0;1;9.0;9243;7715;10770;17.0;4;9.0
1751;Total;Inbound transit trade;Total;Oceania;2009;1181;626;1735;47.0;1;1.0;5464;4565;6363;16.0;3;1.0
1752;Total;Inbound transit trade;Total;Oceania;2010;2318;1341;3295;42.0;1;5.0;7181;5979;8382;17.0;4;5.0
1753;Total;Inbound transit trade;Total;Oceania;2011;3045;1766;4324;42.0;2;9.0;7037;5799;8275;18.0;4;9.0
1754;Total;Inbound transit trade;Total;Oceania;2012;1817;990;2644;45.0;1;1.0;7537;6172;8902;18.0;4;9.0
1755;Total;Inbound transit trade;Total;Oceania;2013;1444;717;2171;50.0;1;9.0;6104;4762;7447;22.0;4;1.0
1756;Total;Inbound transit trade;Total;Oceania;2014;1581;820;2342;48.0;1;9.0;7519;5753;9285;23.0;4;9.0
1757;Total;Inbound transit trade;Total;Oceania;2015;1271;628;1914;51.0;1;9.0;6541;5001;8082;24.0;3;9.0
1758;Total;Inbound transit trade;Total;Oceania;2016;1191;553;1829;54.0;1;9.0;7548;5600;9497;26.0;4;9.0
1759;Total;Inbound transit trade;Total;Oceania;2017;1465;652;2278;55.0;1;9.0;5463;3903;7023;29.0;3;1.0
1760;Total;Inbound transit trade;Total;Unspecified countries and areas;2007;52;0;120;;0;;1359;1040;1679;24.0;1;
1761;Total;Inbound transit trade;Total;Unspecified countries and areas;2008;21;0;118;;0;9.0;508;387;630;24.0;0;1.0
1762;Total;Inbound transit trade;Total;Unspecified countries and areas;2009;29;0;128;;0;9.0;880;621;1139;29.0;1;5.0
1763;Total;Inbound transit trade;Total;Unspecified countries and areas;2010;8;0;117;;0;9.0;2;0;161;;0;1.0
1764;Total;Inbound transit trade;Total;Unspecified countries and areas;2011;2352;313;4391;87.0;1;9.0;3905;3131;4679;20.0;2;9.0
1765;Total;Inbound transit trade;Total;Unspecified countries and areas;2012;2621;361;4882;86.0;1;9.0;5092;4042;6143;21.0;3;5.0
1766;Total;Inbound transit trade;Total;Unspecified countries and areas;2013;2391;393;4390;84.0;1;9.0;5248;4162;6334;21.0;3;9.0
1767;Total;Inbound transit trade;Total;Unspecified countries and areas;2014;170;0;451;;0;1.0;237;0;474;100.0;0;1.0
1768;Total;Inbound transit trade;Total;Unspecified countries and areas;2015;118;0;600;;0;9.0;226;0;1311;;0;9.0
1769;Total;Inbound transit trade;Total;Unspecified countries and areas;2016;55;0;559;917.0;0;9.0;124;0;1789;1347.0;0;9.0
1770;Total;Inbound transit trade;Total;Unspecified countries and areas;2017;42;0;669;1500.0;0;9.0;82;0;1951;2271.0;0;9.0
1771;Total;Inbound transit trade;0 Agricultural products and live animals;Total all continents;2007;3477;1933;5020;44.0;2;;3335;861;5809;74.0;2;
1772;Total;Inbound transit trade;0 Agricultural products and live animals;Total all continents;2008;2691;1238;4143;54.0;2;9.0;291;0;2486;;0;1.0
1773;Total;Inbound transit trade;0 Agricultural products and live animals;Total all continents;2009;3381;1903;4859;44.0;2;9.0;1304;0;3348;;1;9.0
1774;Total;Inbound transit trade;0 Agricultural products and live animals;Total all continents;2010;3302;1762;4843;47.0;2;9.0;2709;295;5122;89.0;1;9.0
1775;Total;Inbound transit trade;0 Agricultural products and live animals;Total all continents;2011;6832;4636;9028;32.0;4;5.0;5065;2669;7460;47.0;3;9.0
1776;Total;Inbound transit trade;0 Agricultural products and live animals;Total all continents;2012;5086;3180;6993;37.0;3;1.0;4731;2400;7062;49.0;3;9.0
1777;Total;Inbound transit trade;0 Agricultural products and live animals;Total all continents;2013;5920;3754;8086;37.0;3;9.0;6367;3812;8922;40.0;4;9.0
1778;Total;Inbound transit trade;0 Agricultural products and live animals;Total all continents;2014;4400;2560;6240;42.0;2;9.0;3618;1147;6090;68.0;2;1.0
1779;Total;Inbound transit trade;0 Agricultural products and live animals;Total all continents;2015;8199;5732;10666;30.0;3;5.0;4740;2250;7230;53.0;2;9.0
1780;Total;Inbound transit trade;0 Agricultural products and live animals;Total all continents;2016;6203;4001;8405;35.0;3;1.0;3841;1439;6243;63.0;2;9.0
1781;Total;Inbound transit trade;0 Agricultural products and live animals;Total all continents;2017;7715;5045;10384;35.0;3;9.0;8078;5230;10927;35.0;4;5.0
1782;Total;Inbound transit trade;0 Agricultural products and live animals;Africa;2007;367;32;703;91.0;0;;232;0;493;;0;
1783;Total;Inbound transit trade;0 Agricultural products and live animals;Africa;2008;288;0;591;;0;9.0;20;0;208;;0;1.0
1784;Total;Inbound transit trade;0 Agricultural products and live animals;Africa;2009;370;1;739;100.0;0;9.0;102;0;324;;0;9.0
1785;Total;Inbound transit trade;0 Agricultural products and live animals;Africa;2010;328;0;696;;0;9.0;153;0;429;;0;9.0
1786;Total;Inbound transit trade;0 Agricultural products and live animals;Africa;2011;520;2;1037;100.0;0;9.0;368;102;635;72.0;0;9.0
1787;Total;Inbound transit trade;0 Agricultural products and live animals;Africa;2012;344;0;731;;0;9.0;224;0;463;;0;9.0
1788;Total;Inbound transit trade;0 Agricultural products and live animals;Africa;2013;402;0;866;;0;9.0;416;103;728;75.0;0;9.0
1789;Total;Inbound transit trade;0 Agricultural products and live animals;Africa;2014;279;0;640;;0;9.0;149;0;386;;0;1.0
1790;Total;Inbound transit trade;0 Agricultural products and live animals;Africa;2015;573;0;1176;;0;9.0;268;0;536;100.0;0;9.0
1791;Total;Inbound transit trade;0 Agricultural products and live animals;Africa;2016;440;0;931;112.0;0;9.0;217;0;470;116.0;0;9.0
1792;Total;Inbound transit trade;0 Agricultural products and live animals;Africa;2017;487;0;1050;116.0;0;9.0;553;216;891;61.0;0;9.0
1793;Total;Inbound transit trade;0 Agricultural products and live animals;America;2007;1027;429;1625;58.0;1;;1093;452;1734;59.0;1;
1794;Total;Inbound transit trade;0 Agricultural products and live animals;America;2008;740;259;1220;65.0;0;9.0;59;0;423;;0;1.0
1795;Total;Inbound transit trade;0 Agricultural products and live animals;America;2009;897;348;1447;61.0;1;9.0;287;0;644;;0;9.0
1796;Total;Inbound transit trade;0 Agricultural products and live animals;America;2010;840;307;1373;63.0;0;9.0;575;83;1067;86.0;0;9.0
1797;Total;Inbound transit trade;0 Agricultural products and live animals;America;2011;1654;763;2546;54.0;1;9.0;1337;834;1840;38.0;1;9.0
1798;Total;Inbound transit trade;0 Agricultural products and live animals;America;2012;1237;554;1920;55.0;1;9.0;1314;858;1771;35.0;1;9.0
1799;Total;Inbound transit trade;0 Agricultural products and live animals;America;2013;1413;637;2189;55.0;1;9.0;1522;1016;2027;33.0;1;9.0
1800;Total;Inbound transit trade;0 Agricultural products and live animals;America;2014;1117;487;1747;56.0;1;9.0;926;476;1375;49.0;0;1.0
1801;Total;Inbound transit trade;0 Agricultural products and live animals;America;2015;2063;1003;3123;51.0;1;9.0;1242;832;1651;33.0;1;9.0
1802;Total;Inbound transit trade;0 Agricultural products and live animals;America;2016;1690;808;2573;52.0;1;9.0;1004;555;1453;45.0;1;9.0
1803;Total;Inbound transit trade;0 Agricultural products and live animals;America;2017;1923;935;2910;51.0;1;9.0;1681;1126;2235;33.0;1;5.0
1804;Total;Inbound transit trade;0 Agricultural products and live animals;Asia;2007;585;129;1041;78.0;0;;451;72;830;84.0;0;
1805;Total;Inbound transit trade;0 Agricultural products and live animals;Asia;2008;426;76;777;82.0;0;9.0;33;0;253;;0;1.0
1806;Total;Inbound transit trade;0 Agricultural products and live animals;Asia;2009;547;115;979;79.0;0;9.0;160;0;337;;0;9.0
1807;Total;Inbound transit trade;0 Agricultural products and live animals;Asia;2010;530;102;958;81.0;0;9.0;298;50;546;83.0;0;9.0
1808;Total;Inbound transit trade;0 Agricultural products and live animals;Asia;2011;1133;348;1918;69.0;1;9.0;727;449;1005;38.0;0;9.0
1809;Total;Inbound transit trade;0 Agricultural products and live animals;Asia;2012;799;241;1357;70.0;0;9.0;705;453;957;36.0;0;9.0
1810;Total;Inbound transit trade;0 Agricultural products and live animals;Asia;2013;974;340;1609;65.0;1;9.0;925;667;1183;28.0;1;9.0
1811;Total;Inbound transit trade;0 Agricultural products and live animals;Asia;2014;746;233;1260;69.0;0;9.0;682;409;954;40.0;0;1.0
1812;Total;Inbound transit trade;0 Agricultural products and live animals;Asia;2015;1503;561;2445;63.0;1;9.0;872;586;1157;33.0;0;9.0
1813;Total;Inbound transit trade;0 Agricultural products and live animals;Asia;2016;1123;362;1885;68.0;1;9.0;753;443;1063;41.0;0;9.0
1814;Total;Inbound transit trade;0 Agricultural products and live animals;Asia;2017;1372;467;2276;66.0;1;9.0;1252;892;1611;29.0;1;5.0
1815;Total;Inbound transit trade;0 Agricultural products and live animals;Europe;2007;1459;155;2763;89.0;1;;1522;0;3866;;1;
1816;Total;Inbound transit trade;0 Agricultural products and live animals;Europe;2008;1203;0;2492;;1;9.0;172;0;2317;;0;9.0
1817;Total;Inbound transit trade;0 Agricultural products and live animals;Europe;2009;1505;259;2751;83.0;1;9.0;717;0;2709;;0;9.0
1818;Total;Inbound transit trade;0 Agricultural products and live animals;Europe;2010;1571;241;2900;85.0;1;9.0;1645;0;3977;;1;9.0
1819;Total;Inbound transit trade;0 Agricultural products and live animals;Europe;2011;3103;1392;4814;55.0;2;9.0;2195;0;4502;;1;9.0
1820;Total;Inbound transit trade;0 Agricultural products and live animals;Europe;2012;2478;856;4100;65.0;1;9.0;2152;0;4409;;1;9.0
1821;Total;Inbound transit trade;0 Agricultural products and live animals;Europe;2013;2826;1003;4650;65.0;1;9.0;3200;730;5669;77.0;2;9.0
1822;Total;Inbound transit trade;0 Agricultural products and live animals;Europe;2014;2071;482;3660;77.0;1;9.0;1584;0;3986;;1;9.0
1823;Total;Inbound transit trade;0 Agricultural products and live animals;Europe;2015;3800;1892;5709;50.0;2;9.0;2038;0;4460;;1;9.0
1824;Total;Inbound transit trade;0 Agricultural products and live animals;Europe;2016;2780;988;4573;64.0;1;9.0;1623;0;3947;143.0;1;9.0
1825;Total;Inbound transit trade;0 Agricultural products and live animals;Europe;2017;3707;1483;5931;60.0;2;9.0;4187;1453;6921;65.0;2;9.0
1826;Total;Inbound transit trade;0 Agricultural products and live animals;Oceania;2007;39;0;101;;0;;38;0;97;;0;
1827;Total;Inbound transit trade;0 Agricultural products and live animals;Oceania;2008;33;0;88;;0;9.0;7;0;47;;0;1.0
1828;Total;Inbound transit trade;0 Agricultural products and live animals;Oceania;2009;62;0;147;;0;9.0;37;0;94;;0;9.0
1829;Total;Inbound transit trade;0 Agricultural products and live animals;Oceania;2010;33;0;91;;0;9.0;37;0;118;;0;9.0
1830;Total;Inbound transit trade;0 Agricultural products and live animals;Oceania;2011;421;0;887;;0;9.0;437;316;557;28.0;0;9.0
1831;Total;Inbound transit trade;0 Agricultural products and live animals;Oceania;2012;228;0;502;;0;9.0;335;224;447;33.0;0;1.0
1832;Total;Inbound transit trade;0 Agricultural products and live animals;Oceania;2013;303;0;685;;0;9.0;304;203;405;33.0;0;9.0
1833;Total;Inbound transit trade;0 Agricultural products and live animals;Oceania;2014;186;0;451;;0;9.0;278;172;383;38.0;0;9.0
1834;Total;Inbound transit trade;0 Agricultural products and live animals;Oceania;2015;260;0;525;;0;9.0;321;220;421;31.0;0;9.0
1835;Total;Inbound transit trade;0 Agricultural products and live animals;Oceania;2016;170;0;357;110.0;0;9.0;244;151;338;38.0;0;9.0
1836;Total;Inbound transit trade;0 Agricultural products and live animals;Oceania;2017;226;0;491;117.0;0;9.0;406;108;704;73.0;0;9.0
1837;Total;Inbound transit trade;0 Agricultural products and live animals;Unspecified countries and areas;2007;0;0;2;;0;;0;0;1;;0;
1838;Total;Inbound transit trade;0 Agricultural products and live animals;Unspecified countries and areas;2008;0;0;4;;0;9.0;0;0;7;;0;9.0
1839;Total;Inbound transit trade;0 Agricultural products and live animals;Unspecified countries and areas;2009;0;0;1;;0;9.0;0;0;3;;0;9.0
1840;Total;Inbound transit trade;0 Agricultural products and live animals;Unspecified countries and areas;2010;0;0;2;;0;9.0;0;0;3;;0;9.0
1841;Total;Inbound transit trade;0 Agricultural products and live animals;Unspecified countries and areas;2011;0;0;3;;0;9.0;0;0;2;;0;9.0
1842;Total;Inbound transit trade;0 Agricultural products and live animals;Unspecified countries and areas;2012;0;0;2;;0;9.0;0;0;2;;0;9.0
1843;Total;Inbound transit trade;0 Agricultural products and live animals;Unspecified countries and areas;2013;1;0;3;;0;9.0;0;0;3;;0;9.0
1844;Total;Inbound transit trade;0 Agricultural products and live animals;Unspecified countries and areas;2014;0;0;2;;0;9.0;0;0;1;;0;9.0
1845;Total;Inbound transit trade;0 Agricultural products and live animals;Unspecified countries and areas;2015;0;0;3;;0;9.0;0;0;1;;0;9.0
1846;Total;Inbound transit trade;0 Agricultural products and live animals;Unspecified countries and areas;2016;0;0;2;31832.0;0;9.0;0;0;2;10019.0;0;9.0
1847;Total;Inbound transit trade;0 Agricultural products and live animals;Unspecified countries and areas;2017;0;0;2;5320.0;0;9.0;0;0;3;15327.0;0;9.0
1848;Total;Inbound transit trade;1 Foodstuffs and animal fodder;Total all continents;2007;9757;6034;13480;38.0;7;;11576;6791;16361;41.0;6;
1849;Total;Inbound transit trade;1 Foodstuffs and animal fodder;Total all continents;2008;9684;5731;13636;41.0;6;9.0;9649;5264;14034;45.0;4;9.0
1850;Total;Inbound transit trade;1 Foodstuffs and animal fodder;Total all continents;2009;6160;3168;9151;49.0;4;1.0;7667;3716;11618;52.0;4;9.0
1851;Total;Inbound transit trade;1 Foodstuffs and animal fodder;Total all continents;2010;9652;5797;13507;40.0;5;9.0;6456;2168;10743;66.0;3;9.0
1852;Total;Inbound transit trade;1 Foodstuffs and animal fodder;Total all continents;2011;10547;6306;14788;40.0;6;9.0;7466;3106;11827;58.0;4;9.0
1853;Total;Inbound transit trade;1 Foodstuffs and animal fodder;Total all continents;2012;12230;7382;17079;40.0;6;9.0;4958;893;9023;82.0;3;9.0
1854;Total;Inbound transit trade;1 Foodstuffs and animal fodder;Total all continents;2013;10775;6134;15416;43.0;6;9.0;6138;1890;10386;69.0;4;9.0
1855;Total;Inbound transit trade;1 Foodstuffs and animal fodder;Total all continents;2014;13824;8658;18989;37.0;7;9.0;8710;4385;13036;50.0;4;9.0
1856;Total;Inbound transit trade;1 Foodstuffs and animal fodder;Total all continents;2015;14620;9235;20005;37.0;6;9.0;8847;4660;13034;47.0;5;9.0
