ID;WayOfEnding;TypeOfPerson;Regions;Periods;EndedDebtRestructuringPlans_1;AverageDuration_2
8824;Ended by clean slate;Natural persons without business;East of the Netherlands (LD);2015;2121.0;37.0
8825;Ended by clean slate;Natural persons without business;East of the Netherlands (LD);2016 1st quarter;505.0;37.0
8826;Ended by clean slate;Natural persons without business;East of the Netherlands (LD);2016 2nd quarter;383.0;35.0
8827;Ended by clean slate;Natural persons without business;East of the Netherlands (LD);2016 3rd quarter;382.0;37.0
8828;Ended by clean slate;Natural persons without business;East of the Netherlands (LD);2016 4th quarter;453.0;36.0
8829;Ended by clean slate;Natural persons without business;East of the Netherlands (LD);2016;1723.0;36.0
8830;Ended by clean slate;Natural persons without business;East of the Netherlands (LD);2017 1st quarter;378.0;35.0
8831;Ended by clean slate;Natural persons without business;East of the Netherlands (LD);2017 2nd quarter;364.0;35.0
8832;Ended by clean slate;Natural persons without business;East of the Netherlands (LD);2017 3rd quarter;426.0;36.0
8833;Ended by clean slate;Natural persons without business;East of the Netherlands (LD);2017 4th quarter;431.0;36.0
8834;Ended by clean slate;Natural persons without business;East of the Netherlands (LD);2017;1599.0;35.0
8835;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);1999 1st quarter;1.0;0.0
8836;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);1999 2nd quarter;6.0;0.0
8837;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);1999 3rd quarter;9.0;0.0
8838;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);1999 4th quarter;11.0;0.0
8839;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);1999;27.0;0.0
8840;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);2000 1st quarter;9.0;5.0
8841;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);2000 2nd quarter;13.0;9.0
8842;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);2000 3rd quarter;15.0;12.0
8843;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);2000 4th quarter;22.0;12.0
8844;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);2000;59.0;10.0
8845;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);2001 1st quarter;32.0;10.0
8846;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);2001 2nd quarter;31.0;16.0
8847;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);2001 3rd quarter;36.0;17.0
8848;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);2001 4th quarter;55.0;22.0
8849;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);2001;154.0;17.0
8850;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);2002 1st quarter;146.0;30.0
8851;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);2002 2nd quarter;225.0;33.0
8852;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);2002 3rd quarter;308.0;35.0
8853;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);2002 4th quarter;384.0;35.0
8854;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);2002;1063.0;34.0
8855;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);2003 1st quarter;431.0;35.0
8856;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);2003 2nd quarter;573.0;35.0
8857;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);2003 3rd quarter;571.0;35.0
8858;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);2003 4th quarter;559.0;35.0
8859;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);2003;2134.0;35.0
8860;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);2004 1st quarter;367.0;35.0
8861;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);2004 2nd quarter;486.0;34.0
8862;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);2004 3rd quarter;482.0;36.0
8863;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);2004 4th quarter;467.0;36.0
8864;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);2004;1802.0;35.0
8865;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);2005 1st quarter;526.0;38.0
8866;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);2005 2nd quarter;544.0;36.0
8867;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);2005 3rd quarter;521.0;36.0
8868;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);2005 4th quarter;474.0;36.0
8869;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);2005;2065.0;36.0
8870;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);2006 1st quarter;455.0;36.0
8871;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);2006 2nd quarter;578.0;37.0
8872;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);2006 3rd quarter;562.0;36.0
8873;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);2006 4th quarter;651.0;36.0
8874;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);2006;2246.0;36.0
8875;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);2007 1st quarter;640.0;37.0
8876;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);2007 2nd quarter;920.0;39.0
8877;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);2007 3rd quarter;786.0;38.0
8878;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);2007 4th quarter;788.0;38.0
8879;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);2007;3134.0;38.0
8880;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);2008 1st quarter;972.0;38.0
8881;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);2008 2nd quarter;935.0;38.0
8882;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);2008 3rd quarter;831.0;38.0
8883;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);2008 4th quarter;978.0;39.0
8884;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);2008;3716.0;38.0
8885;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);2009 1st quarter;943.0;40.0
8886;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);2009 2nd quarter;978.0;41.0
8887;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);2009 3rd quarter;919.0;41.0
8888;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);2009 4th quarter;1046.0;41.0
8889;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);2009;3886.0;41.0
8890;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);2010 1st quarter;956.0;41.0
8891;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);2010 2nd quarter;936.0;40.0
8892;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);2010 3rd quarter;1003.0;41.0
8893;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);2010 4th quarter;1261.0;41.0
8894;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);2010;4156.0;41.0
8895;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);2011 1st quarter;875.0;41.0
8896;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);2011 2nd quarter;734.0;41.0
8897;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);2011 3rd quarter;698.0;41.0
8898;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);2011 4th quarter;637.0;42.0
8899;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);2011;2944.0;41.0
8900;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);2012 1st quarter;620.0;40.0
8901;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);2012 2nd quarter;593.0;41.0
8902;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);2012 3rd quarter;572.0;39.0
8903;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);2012 4th quarter;660.0;40.0
8904;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);2012;2445.0;40.0
8905;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);2013 1st quarter;626.0;39.0
8906;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);2013 2nd quarter;643.0;41.0
8907;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);2013 3rd quarter;671.0;40.0
8908;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);2013 4th quarter;766.0;40.0
8909;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);2013;2706.0;40.0
8910;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);2014 1st quarter;772.0;39.0
8911;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);2014 2nd quarter;978.0;39.0
8912;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);2014 3rd quarter;1022.0;39.0
8913;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);2014 4th quarter;945.0;38.0
8914;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);2014;3717.0;39.0
8915;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);2015 1st quarter;992.0;39.0
8916;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);2015 2nd quarter;895.0;39.0
8917;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);2015 3rd quarter;1039.0;38.0
8918;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);2015 4th quarter;971.0;38.0
8919;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);2015;3897.0;39.0
8920;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);2016 1st quarter;973.0;38.0
8921;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);2016 2nd quarter;855.0;36.0
8922;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);2016 3rd quarter;873.0;37.0
8923;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);2016 4th quarter;918.0;37.0
8924;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);2016;3619.0;37.0
8925;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);2017 1st quarter;723.0;37.0
8926;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);2017 2nd quarter;860.0;38.0
8927;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);2017 3rd quarter;746.0;38.0
8928;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);2017 4th quarter;863.0;38.0
8929;Ended by clean slate;Natural persons without business;West of the Netherlands (LD);2017;3192.0;38.0
8930;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);1999 1st quarter;4.0;0.0
8931;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);1999 2nd quarter;8.0;0.0
8932;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);1999 3rd quarter;9.0;0.0
8933;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);1999 4th quarter;17.0;1.0
8934;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);1999;38.0;0.0
8935;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);2000 1st quarter;15.0;3.0
8936;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);2000 2nd quarter;11.0;6.0
8937;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);2000 3rd quarter;32.0;8.0
8938;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);2000 4th quarter;11.0;11.0
8939;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);2000;69.0;7.0
8940;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);2001 1st quarter;22.0;12.0
8941;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);2001 2nd quarter;36.0;12.0
8942;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);2001 3rd quarter;26.0;14.0
8943;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);2001 4th quarter;42.0;17.0
8944;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);2001;126.0;14.0
8945;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);2002 1st quarter;63.0;30.0
8946;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);2002 2nd quarter;138.0;32.0
8947;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);2002 3rd quarter;120.0;34.0
8948;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);2002 4th quarter;199.0;35.0
8949;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);2002;520.0;33.0
8950;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);2003 1st quarter;260.0;35.0
8951;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);2003 2nd quarter;220.0;35.0
8952;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);2003 3rd quarter;283.0;35.0
8953;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);2003 4th quarter;310.0;35.0
8954;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);2003;1073.0;35.0
8955;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);2004 1st quarter;186.0;36.0
8956;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);2004 2nd quarter;253.0;35.0
8957;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);2004 3rd quarter;183.0;35.0
8958;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);2004 4th quarter;201.0;35.0
8959;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);2004;823.0;35.0
8960;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);2005 1st quarter;174.0;36.0
8961;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);2005 2nd quarter;221.0;38.0
8962;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);2005 3rd quarter;260.0;39.0
8963;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);2005 4th quarter;310.0;41.0
8964;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);2005;965.0;39.0
8965;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);2006 1st quarter;317.0;38.0
8966;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);2006 2nd quarter;321.0;39.0
8967;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);2006 3rd quarter;251.0;40.0
8968;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);2006 4th quarter;342.0;38.0
8969;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);2006;1231.0;39.0
8970;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);2007 1st quarter;350.0;38.0
8971;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);2007 2nd quarter;376.0;39.0
8972;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);2007 3rd quarter;338.0;39.0
8973;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);2007 4th quarter;447.0;38.0
8974;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);2007;1511.0;39.0
8975;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);2008 1st quarter;346.0;38.0
8976;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);2008 2nd quarter;355.0;38.0
8977;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);2008 3rd quarter;338.0;39.0
8978;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);2008 4th quarter;464.0;39.0
8979;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);2008;1503.0;39.0
8980;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);2009 1st quarter;412.0;40.0
8981;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);2009 2nd quarter;485.0;39.0
8982;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);2009 3rd quarter;465.0;40.0
8983;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);2009 4th quarter;399.0;40.0
8984;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);2009;1761.0;40.0
8985;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);2010 1st quarter;538.0;40.0
8986;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);2010 2nd quarter;469.0;39.0
8987;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);2010 3rd quarter;456.0;40.0
8988;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);2010 4th quarter;409.0;40.0
8989;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);2010;1872.0;40.0
8990;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);2011 1st quarter;558.0;42.0
8991;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);2011 2nd quarter;370.0;40.0
8992;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);2011 3rd quarter;385.0;41.0
8993;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);2011 4th quarter;366.0;40.0
8994;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);2011;1679.0;41.0
8995;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);2012 1st quarter;385.0;40.0
8996;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);2012 2nd quarter;303.0;41.0
8997;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);2012 3rd quarter;325.0;41.0
8998;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);2012 4th quarter;334.0;41.0
8999;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);2012;1347.0;41.0
9000;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);2013 1st quarter;366.0;42.0
9001;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);2013 2nd quarter;348.0;40.0
9002;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);2013 3rd quarter;390.0;38.0
9003;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);2013 4th quarter;385.0;37.0
9004;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);2013;1489.0;39.0
9005;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);2014 1st quarter;426.0;38.0
9006;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);2014 2nd quarter;458.0;38.0
9007;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);2014 3rd quarter;372.0;38.0
9008;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);2014 4th quarter;481.0;38.0
9009;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);2014;1737.0;38.0
9010;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);2015 1st quarter;431.0;38.0
9011;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);2015 2nd quarter;404.0;38.0
9012;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);2015 3rd quarter;386.0;39.0
9013;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);2015 4th quarter;478.0;39.0
9014;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);2015;1699.0;39.0
9015;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);2016 1st quarter;505.0;40.0
9016;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);2016 2nd quarter;409.0;38.0
9017;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);2016 3rd quarter;367.0;40.0
9018;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);2016 4th quarter;477.0;38.0
9019;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);2016;1758.0;39.0
9020;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);2017 1st quarter;507.0;40.0
9021;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);2017 2nd quarter;410.0;39.0
9022;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);2017 3rd quarter;407.0;40.0
9023;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);2017 4th quarter;336.0;38.0
9024;Ended by clean slate;Natural persons without business;South of the Netherlands (LD);2017;1660.0;40.0
9025;Ended by clean slate;Natural persons without business;Groningen (PV);1999 1st quarter;;
9026;Ended by clean slate;Natural persons without business;Groningen (PV);1999 2nd quarter;;
9027;Ended by clean slate;Natural persons without business;Groningen (PV);1999 3rd quarter;;
9028;Ended by clean slate;Natural persons without business;Groningen (PV);1999 4th quarter;;
9029;Ended by clean slate;Natural persons without business;Groningen (PV);1999;;
9030;Ended by clean slate;Natural persons without business;Groningen (PV);2000 1st quarter;;
9031;Ended by clean slate;Natural persons without business;Groningen (PV);2000 2nd quarter;;
9032;Ended by clean slate;Natural persons without business;Groningen (PV);2000 3rd quarter;;
9033;Ended by clean slate;Natural persons without business;Groningen (PV);2000 4th quarter;;
9034;Ended by clean slate;Natural persons without business;Groningen (PV);2000;;
9035;Ended by clean slate;Natural persons without business;Groningen (PV);2001 1st quarter;2.0;19.0
9036;Ended by clean slate;Natural persons without business;Groningen (PV);2001 2nd quarter;;
9037;Ended by clean slate;Natural persons without business;Groningen (PV);2001 3rd quarter;;
9038;Ended by clean slate;Natural persons without business;Groningen (PV);2001 4th quarter;5.0;23.0
9039;Ended by clean slate;Natural persons without business;Groningen (PV);2001;7.0;22.0
9040;Ended by clean slate;Natural persons without business;Groningen (PV);2002 1st quarter;21.0;33.0
9041;Ended by clean slate;Natural persons without business;Groningen (PV);2002 2nd quarter;25.0;35.0
9042;Ended by clean slate;Natural persons without business;Groningen (PV);2002 3rd quarter;37.0;33.0
9043;Ended by clean slate;Natural persons without business;Groningen (PV);2002 4th quarter;70.0;35.0
9044;Ended by clean slate;Natural persons without business;Groningen (PV);2002;153.0;34.0
9045;Ended by clean slate;Natural persons without business;Groningen (PV);2003 1st quarter;54.0;35.0
9046;Ended by clean slate;Natural persons without business;Groningen (PV);2003 2nd quarter;59.0;38.0
9047;Ended by clean slate;Natural persons without business;Groningen (PV);2003 3rd quarter;79.0;37.0
9048;Ended by clean slate;Natural persons without business;Groningen (PV);2003 4th quarter;73.0;35.0
9049;Ended by clean slate;Natural persons without business;Groningen (PV);2003;265.0;36.0
9050;Ended by clean slate;Natural persons without business;Groningen (PV);2004 1st quarter;68.0;37.0
9051;Ended by clean slate;Natural persons without business;Groningen (PV);2004 2nd quarter;51.0;36.0
9052;Ended by clean slate;Natural persons without business;Groningen (PV);2004 3rd quarter;33.0;35.0
9053;Ended by clean slate;Natural persons without business;Groningen (PV);2004 4th quarter;50.0;35.0
9054;Ended by clean slate;Natural persons without business;Groningen (PV);2004;202.0;36.0
9055;Ended by clean slate;Natural persons without business;Groningen (PV);2005 1st quarter;77.0;36.0
9056;Ended by clean slate;Natural persons without business;Groningen (PV);2005 2nd quarter;47.0;34.0
9057;Ended by clean slate;Natural persons without business;Groningen (PV);2005 3rd quarter;40.0;35.0
9058;Ended by clean slate;Natural persons without business;Groningen (PV);2005 4th quarter;56.0;37.0
9059;Ended by clean slate;Natural persons without business;Groningen (PV);2005;220.0;35.0
9060;Ended by clean slate;Natural persons without business;Groningen (PV);2006 1st quarter;61.0;37.0
9061;Ended by clean slate;Natural persons without business;Groningen (PV);2006 2nd quarter;82.0;37.0
9062;Ended by clean slate;Natural persons without business;Groningen (PV);2006 3rd quarter;89.0;37.0
9063;Ended by clean slate;Natural persons without business;Groningen (PV);2006 4th quarter;73.0;36.0
9064;Ended by clean slate;Natural persons without business;Groningen (PV);2006;305.0;37.0
9065;Ended by clean slate;Natural persons without business;Groningen (PV);2007 1st quarter;89.0;37.0
9066;Ended by clean slate;Natural persons without business;Groningen (PV);2007 2nd quarter;96.0;37.0
9067;Ended by clean slate;Natural persons without business;Groningen (PV);2007 3rd quarter;107.0;37.0
9068;Ended by clean slate;Natural persons without business;Groningen (PV);2007 4th quarter;127.0;36.0
9069;Ended by clean slate;Natural persons without business;Groningen (PV);2007;419.0;37.0
9070;Ended by clean slate;Natural persons without business;Groningen (PV);2008 1st quarter;141.0;37.0
9071;Ended by clean slate;Natural persons without business;Groningen (PV);2008 2nd quarter;129.0;37.0
9072;Ended by clean slate;Natural persons without business;Groningen (PV);2008 3rd quarter;83.0;36.0
9073;Ended by clean slate;Natural persons without business;Groningen (PV);2008 4th quarter;138.0;36.0
9074;Ended by clean slate;Natural persons without business;Groningen (PV);2008;491.0;36.0
9075;Ended by clean slate;Natural persons without business;Groningen (PV);2009 1st quarter;90.0;37.0
9076;Ended by clean slate;Natural persons without business;Groningen (PV);2009 2nd quarter;90.0;38.0
9077;Ended by clean slate;Natural persons without business;Groningen (PV);2009 3rd quarter;101.0;36.0
9078;Ended by clean slate;Natural persons without business;Groningen (PV);2009 4th quarter;96.0;37.0
9079;Ended by clean slate;Natural persons without business;Groningen (PV);2009;377.0;37.0
9080;Ended by clean slate;Natural persons without business;Groningen (PV);2010 1st quarter;125.0;38.0
9081;Ended by clean slate;Natural persons without business;Groningen (PV);2010 2nd quarter;120.0;37.0
9082;Ended by clean slate;Natural persons without business;Groningen (PV);2010 3rd quarter;129.0;37.0
9083;Ended by clean slate;Natural persons without business;Groningen (PV);2010 4th quarter;139.0;35.0
9084;Ended by clean slate;Natural persons without business;Groningen (PV);2010;513.0;37.0
9085;Ended by clean slate;Natural persons without business;Groningen (PV);2011 1st quarter;73.0;36.0
9086;Ended by clean slate;Natural persons without business;Groningen (PV);2011 2nd quarter;95.0;32.0
9087;Ended by clean slate;Natural persons without business;Groningen (PV);2011 3rd quarter;76.0;35.0
9088;Ended by clean slate;Natural persons without business;Groningen (PV);2011 4th quarter;89.0;33.0
9089;Ended by clean slate;Natural persons without business;Groningen (PV);2011;333.0;34.0
9090;Ended by clean slate;Natural persons without business;Groningen (PV);2012 1st quarter;73.0;34.0
9091;Ended by clean slate;Natural persons without business;Groningen (PV);2012 2nd quarter;85.0;34.0
9092;Ended by clean slate;Natural persons without business;Groningen (PV);2012 3rd quarter;70.0;35.0
9093;Ended by clean slate;Natural persons without business;Groningen (PV);2012 4th quarter;109.0;34.0
9094;Ended by clean slate;Natural persons without business;Groningen (PV);2012;337.0;34.0
9095;Ended by clean slate;Natural persons without business;Groningen (PV);2013 1st quarter;92.0;33.0
9096;Ended by clean slate;Natural persons without business;Groningen (PV);2013 2nd quarter;117.0;34.0
9097;Ended by clean slate;Natural persons without business;Groningen (PV);2013 3rd quarter;114.0;34.0
9098;Ended by clean slate;Natural persons without business;Groningen (PV);2013 4th quarter;135.0;36.0
9099;Ended by clean slate;Natural persons without business;Groningen (PV);2013;458.0;34.0
9100;Ended by clean slate;Natural persons without business;Groningen (PV);2014 1st quarter;99.0;35.0
9101;Ended by clean slate;Natural persons without business;Groningen (PV);2014 2nd quarter;102.0;36.0
9102;Ended by clean slate;Natural persons without business;Groningen (PV);2014 3rd quarter;128.0;37.0
9103;Ended by clean slate;Natural persons without business;Groningen (PV);2014 4th quarter;128.0;36.0
9104;Ended by clean slate;Natural persons without business;Groningen (PV);2014;457.0;36.0
9105;Ended by clean slate;Natural persons without business;Groningen (PV);2015 1st quarter;123.0;35.0
9106;Ended by clean slate;Natural persons without business;Groningen (PV);2015 2nd quarter;143.0;35.0
9107;Ended by clean slate;Natural persons without business;Groningen (PV);2015 3rd quarter;158.0;35.0
9108;Ended by clean slate;Natural persons without business;Groningen (PV);2015 4th quarter;147.0;35.0
9109;Ended by clean slate;Natural persons without business;Groningen (PV);2015;571.0;35.0
9110;Ended by clean slate;Natural persons without business;Groningen (PV);2016 1st quarter;127.0;36.0
9111;Ended by clean slate;Natural persons without business;Groningen (PV);2016 2nd quarter;140.0;34.0
9112;Ended by clean slate;Natural persons without business;Groningen (PV);2016 3rd quarter;124.0;36.0
9113;Ended by clean slate;Natural persons without business;Groningen (PV);2016 4th quarter;148.0;35.0
9114;Ended by clean slate;Natural persons without business;Groningen (PV);2016;539.0;35.0
9115;Ended by clean slate;Natural persons without business;Groningen (PV);2017 1st quarter;155.0;34.0
9116;Ended by clean slate;Natural persons without business;Groningen (PV);2017 2nd quarter;186.0;36.0
9117;Ended by clean slate;Natural persons without business;Groningen (PV);2017 3rd quarter;133.0;33.0
9118;Ended by clean slate;Natural persons without business;Groningen (PV);2017 4th quarter;173.0;34.0
9119;Ended by clean slate;Natural persons without business;Groningen (PV);2017;647.0;34.0
9120;Ended by clean slate;Natural persons without business;Friesland (PV);1999 1st quarter;;
9121;Ended by clean slate;Natural persons without business;Friesland (PV);1999 2nd quarter;;
