ID;OriginDestination;Periods;NetEnergyConsumption_1;TapWaterUse_2;SolidWasteProduction_3;HeavyMetalsToWater_4;NutrientsToWater_5;ClimateChangeGreenhouseGases_6;Acidification_7;OzoneLayerDepletion_8;FineDust_9;RevenuesEnvironmentalFeesAndTaxes_10;EnvironmentalExpenditure_11;EnvironmentalInvestment_12;LabourInputOfEmployedPersons_13;GrossValueAddedAtBasicPrices_14;LabourInputOfEmployedPersons_15;OutputAtBasicPrices_16;GrossValueAddedAtBasicPrices_17;GrossFixedCapitalFormation_18
698;Other origin;2009;;;;8.0;2189.0;4496.0;0.0;16.2;0.0;;;;;;;1190.0;;-2349.0
699;Other origin;2010;;;;2.0;1477.0;4172.0;0.0;15.1;0.0;;;;;;;1173.0;;-2607.0
700;Other origin;2011;;;;;;3902.0;0.0;14.1;0.0;;;;;;;1177.0;;-2665.0
701;Other origin;2012;;;;;;3663.0;0.0;13.2;0.0;;;;;;;1174.0;;-2486.0
702;Total from abroad;1995;;;5719.0;538.0;70763.0;0.0;8.4;0.0;4.4;;;;;;;;;
703;Total from abroad;1996;;;6136.0;325.0;44573.0;0.0;8.3;0.0;4.5;;;;;;;;;
704;Total from abroad;1997;;;6088.0;369.0;46181.0;0.0;8.5;0.0;4.8;;;;;;;;;
705;Total from abroad;1998;;;6193.0;542.0;63796.0;0.0;8.6;0.0;4.9;;;;;;;;;
706;Total from abroad;1999;;;8054.0;571.0;63738.0;0.0;9.4;0.0;5.0;;;;;;;;;
707;Total from abroad;2000;;;6577.0;356.0;53433.0;0.0;9.4;0.0;5.4;;;;;;;;;
708;Total from abroad;2001;;;8185.0;498.0;51887.0;0.0;9.4;0.0;5.2;;;;;;;;;
709;Total from abroad;2002;;;9997.0;484.0;65556.0;0.0;9.4;0.0;5.0;;;;;;;;;
710;Total from abroad;2003;;;10985.0;472.0;43527.0;0.0;9.5;0.0;4.9;;;;;;;;;
711;Total from abroad;2004;;;10014.0;352.0;43954.0;0.0;9.5;0.0;4.5;;;;;;;;;
712;Total from abroad;2005;;;10743.0;298.0;35836.0;0.0;9.6;0.0;4.8;;;;;;;;;
713;Total from abroad;2006;;;11243.0;329.0;37535.0;0.0;9.9;0.0;5.1;;;;;;;;;
714;Total from abroad;2007;;;11566.0;324.0;40708.0;0.0;9.6;0.0;5.3;;;;;;;;;
715;Total from abroad;2008;;;12749.0;235.0;39408.0;0.0;9.0;0.0;4.8;;;;;;;;;
716;Total from abroad;2009;;;13614.0;256.0;32134.0;0.0;8.8;0.0;4.6;;;;;;;;;
717;Total from abroad;2010;;;13784.0;280.0;36634.0;0.0;8.5;0.0;4.3;;;;;;;;;
718;Total from abroad;2011;;;;;;0.0;8.4;0.0;3.7;;;;;;;;;
719;Total from abroad;2012;;;;;;0.0;8.4;0.0;3.7;;;;;;;;;
720;Total destination;1995;;;59702.0;776.0;119089.0;247114.0;43.1;765.5;67.1;;;;;;;;;
721;Total destination;1996;;;61231.0;542.0;85431.0;255848.0;40.1;520.6;61.8;;;;;;;;;
722;Total destination;1997;;;64471.0;580.0;88057.0;251436.0;39.5;397.1;59.6;;;;;;;;;
723;Total destination;1998;;;66732.0;749.0;118729.0;253301.0;38.6;274.5;58.9;;;;;;;;;
724;Total destination;1999;;;70365.0;777.0;110558.0;243621.0;39.9;276.3;59.5;;;;;;;;;
725;Total destination;2000;;;70590.0;548.0;98890.0;243218.0;40.1;260.1;59.6;;;;;;;;;
726;Total destination;2001;;;71938.0;690.0;96148.0;244760.0;39.3;246.3;57.0;;;;;;;;;
727;Total destination;2002;;;73845.0;674.0;108586.0;243258.0;37.9;219.4;56.0;;;;;;;;;
728;Total destination;2003;;;74092.0;640.0;80127.0;243802.0;37.6;184.4;53.2;;;;;;;;;
729;Total destination;2004;;;73125.0;522.0;84171.0;246128.0;37.5;178.2;51.9;;;;;;;;;
730;Total destination;2005;;;72354.0;453.0;74409.0;242036.0;37.4;172.9;51.6;;;;;;;;;
731;Total destination;2006;;;73602.0;470.0;75577.0;236610.0;35.9;169.2;49.5;;;;;;;;;
732;Total destination;2007;;;75127.0;482.0;85900.0;237311.0;35.1;160.5;48.5;;;;;;;;;
733;Total destination;2008;;;77552.0;377.0;78003.0;238236.0;33.1;153.8;46.5;;;;;;;;;
734;Total destination;2009;;;73538.0;393.0;67643.0;233290.0;31.4;143.8;44.3;;;;;;;;;
735;Total destination;2010;;;72808.0;417.0;74097.0;244144.0;29.8;136.6;42.5;;;;;;;;;
736;Total destination;2011;;;;;;230614.0;28.7;131.3;40.2;;;;;;;;;
737;Total destination;2012;;;;;;230302.0;28.4;124.5;38.6;;;;;;;;;
738;Total absorption;1995;;;54761.0;113.0;22154.0;;;;;;;;;;;;;
739;Total absorption;1996;;;55996.0;99.0;21765.0;;;;;;;;;;;;;
740;Total absorption;1997;;;58703.0;94.0;22051.0;;;;;;;;;;;;;
741;Total absorption;1998;;;61025.0;94.0;22249.0;;;;;;;;;;;;;
742;Total absorption;1999;;;64270.0;101.0;21808.0;;;;;;;;;;;;;
743;Total absorption;2000;;;63836.0;93.0;21773.0;;;;;;;;;;;;;
744;Total absorption;2001;;;64044.0;98.0;22418.0;;;;;;;;;;;;;
745;Total absorption;2002;;;62676.0;89.0;22821.0;;;;;;;;;;;;;
746;Total absorption;2003;;;62250.0;89.0;22472.0;;;;;;;;;;;;;
747;Total absorption;2004;;;58786.0;90.0;22752.0;;;;;;;;;;;;;
748;Total absorption;2005;;;59925.0;92.0;22908.0;;;;;;;;;;;;;
749;Total absorption;2006;;;60104.0;84.0;22925.0;;;;;;;;;;;;;
750;Total absorption;2007;;;61983.0;88.0;23750.0;;;;;;;;;;;;;
751;Total absorption;2008;;;63622.0;86.0;23882.0;;;;;;;;;;;;;
752;Total absorption;2009;;;62989.0;84.0;23266.0;;;;;;;;;;;;;
753;Total absorption;2010;;;60906.0;81.0;22667.0;;;;;;;;;;;;;
754;Total absorption;2011;;;;;;;;;;;;;;;;;;
755;Total absorption;2012;;;;;;;;;;;;;;;;;;
756;Total abroad;1995;;;4941.0;842.0;86925.0;0.0;25.7;0.0;10.3;;;;;;;;;
757;Total abroad;1996;;;5235.0;357.0;48356.0;0.0;22.7;0.0;10.1;;;;;;;;;
758;Total abroad;1997;;;5768.0;254.0;43620.0;0.0;22.7;0.0;10.5;;;;;;;;;
759;Total abroad;1998;;;5707.0;294.0;54000.0;0.0;24.2;0.0;11.0;;;;;;;;;
760;Total abroad;1999;;;6095.0;277.0;51316.0;0.0;24.1;0.0;12.5;;;;;;;;;
761;Total abroad;2000;;;6754.0;258.0;51360.0;0.0;23.5;0.0;12.9;;;;;;;;;
762;Total abroad;2001;;;7894.0;434.0;49170.0;0.0;22.9;0.0;11.8;;;;;;;;;
763;Total abroad;2002;;;11169.0;441.0;68274.0;0.0;22.0;0.0;10.9;;;;;;;;;
764;Total abroad;2003;;;11841.0;161.0;31231.0;0.0;22.3;0.0;11.0;;;;;;;;;
765;Total abroad;2004;;;14338.0;221.0;42033.0;0.0;21.9;0.0;10.6;;;;;;;;;
766;Total abroad;2005;;;12428.0;174.0;32855.0;0.0;22.2;0.0;11.1;;;;;;;;;
767;Total abroad;2006;;;13498.0;283.0;35285.0;0.0;20.6;0.0;9.3;;;;;;;;;
768;Total abroad;2007;;;13144.0;219.0;39373.0;0.0;20.8;0.0;9.4;;;;;;;;;
769;Total abroad;2008;;;13930.0;216.0;38800.0;0.0;20.7;0.0;8.9;;;;;;;;;
770;Total abroad;2009;;;10550.0;157.0;39089.0;0.0;20.2;0.0;8.7;;;;;;;;;
771;Total abroad;2010;;;11902.0;208.0;36824.0;0.0;19.3;0.0;7.9;;;;;;;;;
772;Total abroad;2011;;;;;;0.0;18.8;0.0;6.6;;;;;;;;;
773;Total abroad;2012;;;;;;0.0;18.9;0.0;6.5;;;;;;;;;
774;Contribution environmental problem;1995;;;;-179.0;10010.0;;17.3;766.0;57.0;;;;;;;;;
775;Contribution environmental problem;1996;;;;85.0;15311.0;;17.4;521.0;52.0;;;;;;;;;
776;Contribution environmental problem;1997;;;;233.0;22386.0;;16.8;397.0;49.0;;;;;;;;;
777;Contribution environmental problem;1998;;;;361.0;42480.0;;14.5;275.0;48.0;;;;;;;;;
778;Contribution environmental problem;1999;;;;398.0;37434.0;;15.8;276.0;47.0;;;;;;;;;
779;Contribution environmental problem;2000;;;;198.0;25757.0;;16.6;260.0;47.0;;;;;;;;;
780;Contribution environmental problem;2001;;;;158.0;24560.0;;16.4;246.0;45.0;;;;;;;;;
781;Contribution environmental problem;2002;;;;145.0;17490.0;;15.8;219.0;45.0;;;;;;;;;
782;Contribution environmental problem;2003;;;;389.0;26425.0;;15.3;184.0;42.0;;;;;;;;;
783;Contribution environmental problem;2004;;;;211.0;19386.0;;15.5;178.0;41.0;;;;;;;;;
784;Contribution environmental problem;2005;;;;186.0;18646.0;;15.2;173.0;41.0;;;;;;;;;
785;Contribution environmental problem;2006;;;;102.0;17367.0;;15.3;169.0;40.0;;;;;;;;;
786;Contribution environmental problem;2007;;;;175.0;22777.0;;14.3;161.0;39.0;;;;;;;;;
787;Contribution environmental problem;2008;;;;75.0;15322.0;;12.4;154.0;38.0;;;;;;;;;
788;Contribution environmental problem;2009;;;;152.0;5288.0;;11.2;144.0;36.0;;;;;;;;;
789;Contribution environmental problem;2010;;;;128.0;14606.0;;10.5;137.0;35.0;;;;;;;;;
790;Contribution environmental problem;2011;;;;;;;9.8;131.0;34.0;;;;;;;;;
791;Contribution environmental problem;2012;;;;;;;9.6;125.0;32.0;;;;;;;;;
