ID;TypeOfBankruptcy;Regions;Periods;PronouncedBankrupcies_1
6190;Total natural persons;Groningen (PV);1991 April;
6191;Total natural persons;Groningen (PV);1991 May;
6192;Total natural persons;Groningen (PV);1991 June;
6193;Total natural persons;Groningen (PV);1991 2nd quarter;
6194;Total natural persons;Groningen (PV);1991 July;
6195;Total natural persons;Groningen (PV);1991 August;
6196;Total natural persons;Groningen (PV);1991 September;
6197;Total natural persons;Groningen (PV);1991 3rd quarter;
6198;Total natural persons;Groningen (PV);1991 October;
6199;Total natural persons;Groningen (PV);1991 November;
6200;Total natural persons;Groningen (PV);1991 December;
6201;Total natural persons;Groningen (PV);1991 4th quarter;
6202;Total natural persons;Groningen (PV);1991;
6203;Total natural persons;Groningen (PV);1992 January;
6204;Total natural persons;Groningen (PV);1992 February;
6205;Total natural persons;Groningen (PV);1992 March;
6206;Total natural persons;Groningen (PV);1992 1st quarter;
6207;Total natural persons;Groningen (PV);1992 April;
6208;Total natural persons;Groningen (PV);1992 May;
6209;Total natural persons;Groningen (PV);1992 June;
6210;Total natural persons;Groningen (PV);1992 2nd quarter;
6211;Total natural persons;Groningen (PV);1992 July;
6212;Total natural persons;Groningen (PV);1992 August;
6213;Total natural persons;Groningen (PV);1992 September;
6214;Total natural persons;Groningen (PV);1992 3rd quarter;
6215;Total natural persons;Groningen (PV);1992 October;
6216;Total natural persons;Groningen (PV);1992 November;
6217;Total natural persons;Groningen (PV);1992 December;
6218;Total natural persons;Groningen (PV);1992 4th quarter;
6219;Total natural persons;Groningen (PV);1992;
6220;Total natural persons;Groningen (PV);1993 January;
6221;Total natural persons;Groningen (PV);1993 February;
6222;Total natural persons;Groningen (PV);1993 March;
6223;Total natural persons;Groningen (PV);1993 1st quarter;
6224;Total natural persons;Groningen (PV);1993 April;
6225;Total natural persons;Groningen (PV);1993 May;
6226;Total natural persons;Groningen (PV);1993 June;
6227;Total natural persons;Groningen (PV);1993 2nd quarter;
6228;Total natural persons;Groningen (PV);1993 July;
6229;Total natural persons;Groningen (PV);1993 August;
6230;Total natural persons;Groningen (PV);1993 September;
6231;Total natural persons;Groningen (PV);1993 3rd quarter;
6232;Total natural persons;Groningen (PV);1993 October;
6233;Total natural persons;Groningen (PV);1993 November;
6234;Total natural persons;Groningen (PV);1993 December;
6235;Total natural persons;Groningen (PV);1993 4th quarter;
6236;Total natural persons;Groningen (PV);1993;
6237;Total natural persons;Groningen (PV);1994 January;
6238;Total natural persons;Groningen (PV);1994 February;
6239;Total natural persons;Groningen (PV);1994 March;
6240;Total natural persons;Groningen (PV);1994 1st quarter;
6241;Total natural persons;Groningen (PV);1994 April;
6242;Total natural persons;Groningen (PV);1994 May;
6243;Total natural persons;Groningen (PV);1994 June;
6244;Total natural persons;Groningen (PV);1994 2nd quarter;
6245;Total natural persons;Groningen (PV);1994 July;
6246;Total natural persons;Groningen (PV);1994 August;
6247;Total natural persons;Groningen (PV);1994 September;
6248;Total natural persons;Groningen (PV);1994 3rd quarter;
6249;Total natural persons;Groningen (PV);1994 October;
6250;Total natural persons;Groningen (PV);1994 November;
6251;Total natural persons;Groningen (PV);1994 December;
6252;Total natural persons;Groningen (PV);1994 4th quarter;
6253;Total natural persons;Groningen (PV);1994;
6254;Total natural persons;Groningen (PV);1995 January;
6255;Total natural persons;Groningen (PV);1995 February;
6256;Total natural persons;Groningen (PV);1995 March;
6257;Total natural persons;Groningen (PV);1995 1st quarter;
6258;Total natural persons;Groningen (PV);1995 April;
6259;Total natural persons;Groningen (PV);1995 May;
6260;Total natural persons;Groningen (PV);1995 June;
6261;Total natural persons;Groningen (PV);1995 2nd quarter;
6262;Total natural persons;Groningen (PV);1995 July;
6263;Total natural persons;Groningen (PV);1995 August;
6264;Total natural persons;Groningen (PV);1995 September;
6265;Total natural persons;Groningen (PV);1995 3rd quarter;
6266;Total natural persons;Groningen (PV);1995 October;
6267;Total natural persons;Groningen (PV);1995 November;
6268;Total natural persons;Groningen (PV);1995 December;
6269;Total natural persons;Groningen (PV);1995 4th quarter;
6270;Total natural persons;Groningen (PV);1995;
6271;Total natural persons;Groningen (PV);1996 January;
6272;Total natural persons;Groningen (PV);1996 February;
6273;Total natural persons;Groningen (PV);1996 March;
6274;Total natural persons;Groningen (PV);1996 1st quarter;
6275;Total natural persons;Groningen (PV);1996 April;
6276;Total natural persons;Groningen (PV);1996 May;
6277;Total natural persons;Groningen (PV);1996 June;
6278;Total natural persons;Groningen (PV);1996 2nd quarter;
6279;Total natural persons;Groningen (PV);1996 July;
6280;Total natural persons;Groningen (PV);1996 August;
6281;Total natural persons;Groningen (PV);1996 September;
6282;Total natural persons;Groningen (PV);1996 3rd quarter;
6283;Total natural persons;Groningen (PV);1996 October;
6284;Total natural persons;Groningen (PV);1996 November;
6285;Total natural persons;Groningen (PV);1996 December;
6286;Total natural persons;Groningen (PV);1996 4th quarter;
6287;Total natural persons;Groningen (PV);1996;
6288;Total natural persons;Groningen (PV);1997 January;
6289;Total natural persons;Groningen (PV);1997 February;
6290;Total natural persons;Groningen (PV);1997 March;
6291;Total natural persons;Groningen (PV);1997 1st quarter;
6292;Total natural persons;Groningen (PV);1997 April;
6293;Total natural persons;Groningen (PV);1997 May;
6294;Total natural persons;Groningen (PV);1997 June;
6295;Total natural persons;Groningen (PV);1997 2nd quarter;
6296;Total natural persons;Groningen (PV);1997 July;
6297;Total natural persons;Groningen (PV);1997 August;
6298;Total natural persons;Groningen (PV);1997 September;
6299;Total natural persons;Groningen (PV);1997 3rd quarter;
6300;Total natural persons;Groningen (PV);1997 October;
6301;Total natural persons;Groningen (PV);1997 November;
6302;Total natural persons;Groningen (PV);1997 December;
6303;Total natural persons;Groningen (PV);1997 4th quarter;
6304;Total natural persons;Groningen (PV);1997;
6305;Total natural persons;Groningen (PV);1998 January;
6306;Total natural persons;Groningen (PV);1998 February;
6307;Total natural persons;Groningen (PV);1998 March;
6308;Total natural persons;Groningen (PV);1998 1st quarter;
6309;Total natural persons;Groningen (PV);1998 April;
6310;Total natural persons;Groningen (PV);1998 May;
6311;Total natural persons;Groningen (PV);1998 June;
6312;Total natural persons;Groningen (PV);1998 2nd quarter;
6313;Total natural persons;Groningen (PV);1998 July;
6314;Total natural persons;Groningen (PV);1998 August;
6315;Total natural persons;Groningen (PV);1998 September;
6316;Total natural persons;Groningen (PV);1998 3rd quarter;
6317;Total natural persons;Groningen (PV);1998 October;
6318;Total natural persons;Groningen (PV);1998 November;
6319;Total natural persons;Groningen (PV);1998 December;
6320;Total natural persons;Groningen (PV);1998 4th quarter;
6321;Total natural persons;Groningen (PV);1998;
6322;Total natural persons;Groningen (PV);1999 January;
6323;Total natural persons;Groningen (PV);1999 February;
6324;Total natural persons;Groningen (PV);1999 March;
6325;Total natural persons;Groningen (PV);1999 1st quarter;
6326;Total natural persons;Groningen (PV);1999 April;
6327;Total natural persons;Groningen (PV);1999 May;
6328;Total natural persons;Groningen (PV);1999 June;
6329;Total natural persons;Groningen (PV);1999 2nd quarter;
6330;Total natural persons;Groningen (PV);1999 July;
6331;Total natural persons;Groningen (PV);1999 August;
6332;Total natural persons;Groningen (PV);1999 September;
6333;Total natural persons;Groningen (PV);1999 3rd quarter;
6334;Total natural persons;Groningen (PV);1999 October;
6335;Total natural persons;Groningen (PV);1999 November;
6336;Total natural persons;Groningen (PV);1999 December;
6337;Total natural persons;Groningen (PV);1999 4th quarter;
6338;Total natural persons;Groningen (PV);1999;
6339;Total natural persons;Groningen (PV);2000 January;
6340;Total natural persons;Groningen (PV);2000 February;
6341;Total natural persons;Groningen (PV);2000 March;
6342;Total natural persons;Groningen (PV);2000 1st quarter;
6343;Total natural persons;Groningen (PV);2000 April;
6344;Total natural persons;Groningen (PV);2000 May;
6345;Total natural persons;Groningen (PV);2000 June;
6346;Total natural persons;Groningen (PV);2000 2nd quarter;
6347;Total natural persons;Groningen (PV);2000 July;
6348;Total natural persons;Groningen (PV);2000 August;
6349;Total natural persons;Groningen (PV);2000 September;
6350;Total natural persons;Groningen (PV);2000 3rd quarter;
6351;Total natural persons;Groningen (PV);2000 October;
6352;Total natural persons;Groningen (PV);2000 November;
6353;Total natural persons;Groningen (PV);2000 December;
6354;Total natural persons;Groningen (PV);2000 4th quarter;
6355;Total natural persons;Groningen (PV);2000;
6356;Total natural persons;Groningen (PV);2001 January;
6357;Total natural persons;Groningen (PV);2001 February;
6358;Total natural persons;Groningen (PV);2001 March;
6359;Total natural persons;Groningen (PV);2001 1st quarter;
6360;Total natural persons;Groningen (PV);2001 April;
6361;Total natural persons;Groningen (PV);2001 May;
6362;Total natural persons;Groningen (PV);2001 June;
6363;Total natural persons;Groningen (PV);2001 2nd quarter;
6364;Total natural persons;Groningen (PV);2001 July;
6365;Total natural persons;Groningen (PV);2001 August;
6366;Total natural persons;Groningen (PV);2001 September;
6367;Total natural persons;Groningen (PV);2001 3rd quarter;
6368;Total natural persons;Groningen (PV);2001 October;
6369;Total natural persons;Groningen (PV);2001 November;
6370;Total natural persons;Groningen (PV);2001 December;
6371;Total natural persons;Groningen (PV);2001 4th quarter;
6372;Total natural persons;Groningen (PV);2001;
6373;Total natural persons;Groningen (PV);2002 January;
6374;Total natural persons;Groningen (PV);2002 February;
6375;Total natural persons;Groningen (PV);2002 March;
6376;Total natural persons;Groningen (PV);2002 1st quarter;
6377;Total natural persons;Groningen (PV);2002 April;
6378;Total natural persons;Groningen (PV);2002 May;
6379;Total natural persons;Groningen (PV);2002 June;
6380;Total natural persons;Groningen (PV);2002 2nd quarter;
6381;Total natural persons;Groningen (PV);2002 July;
6382;Total natural persons;Groningen (PV);2002 August;
6383;Total natural persons;Groningen (PV);2002 September;
6384;Total natural persons;Groningen (PV);2002 3rd quarter;
6385;Total natural persons;Groningen (PV);2002 October;
6386;Total natural persons;Groningen (PV);2002 November;
6387;Total natural persons;Groningen (PV);2002 December;
6388;Total natural persons;Groningen (PV);2002 4th quarter;
6389;Total natural persons;Groningen (PV);2002;
6390;Total natural persons;Groningen (PV);2003 January;
6391;Total natural persons;Groningen (PV);2003 February;
6392;Total natural persons;Groningen (PV);2003 March;
6393;Total natural persons;Groningen (PV);2003 1st quarter;
6394;Total natural persons;Groningen (PV);2003 April;
6395;Total natural persons;Groningen (PV);2003 May;
6396;Total natural persons;Groningen (PV);2003 June;
6397;Total natural persons;Groningen (PV);2003 2nd quarter;
6398;Total natural persons;Groningen (PV);2003 July;
6399;Total natural persons;Groningen (PV);2003 August;
6400;Total natural persons;Groningen (PV);2003 September;
6401;Total natural persons;Groningen (PV);2003 3rd quarter;
6402;Total natural persons;Groningen (PV);2003 October;
6403;Total natural persons;Groningen (PV);2003 November;
6404;Total natural persons;Groningen (PV);2003 December;
6405;Total natural persons;Groningen (PV);2003 4th quarter;
6406;Total natural persons;Groningen (PV);2003;
6407;Total natural persons;Groningen (PV);2004 January;
6408;Total natural persons;Groningen (PV);2004 February;
6409;Total natural persons;Groningen (PV);2004 March;
6410;Total natural persons;Groningen (PV);2004 1st quarter;
6411;Total natural persons;Groningen (PV);2004 April;
6412;Total natural persons;Groningen (PV);2004 May;
6413;Total natural persons;Groningen (PV);2004 June;
6414;Total natural persons;Groningen (PV);2004 2nd quarter;
6415;Total natural persons;Groningen (PV);2004 July;
6416;Total natural persons;Groningen (PV);2004 August;
6417;Total natural persons;Groningen (PV);2004 September;
6418;Total natural persons;Groningen (PV);2004 3rd quarter;
6419;Total natural persons;Groningen (PV);2004 October;
6420;Total natural persons;Groningen (PV);2004 November;
6421;Total natural persons;Groningen (PV);2004 December;
6422;Total natural persons;Groningen (PV);2004 4th quarter;
6423;Total natural persons;Groningen (PV);2004;
6424;Total natural persons;Groningen (PV);2005 January;
6425;Total natural persons;Groningen (PV);2005 February;
6426;Total natural persons;Groningen (PV);2005 March;
6427;Total natural persons;Groningen (PV);2005 1st quarter;
6428;Total natural persons;Groningen (PV);2005 April;
6429;Total natural persons;Groningen (PV);2005 May;
6430;Total natural persons;Groningen (PV);2005 June;
6431;Total natural persons;Groningen (PV);2005 2nd quarter;
6432;Total natural persons;Groningen (PV);2005 July;
6433;Total natural persons;Groningen (PV);2005 August;
6434;Total natural persons;Groningen (PV);2005 September;
6435;Total natural persons;Groningen (PV);2005 3rd quarter;
6436;Total natural persons;Groningen (PV);2005 October;
6437;Total natural persons;Groningen (PV);2005 November;
6438;Total natural persons;Groningen (PV);2005 December;
6439;Total natural persons;Groningen (PV);2005 4th quarter;
6440;Total natural persons;Groningen (PV);2005;
6441;Total natural persons;Groningen (PV);2006 January;
6442;Total natural persons;Groningen (PV);2006 February;
6443;Total natural persons;Groningen (PV);2006 March;
6444;Total natural persons;Groningen (PV);2006 1st quarter;
6445;Total natural persons;Groningen (PV);2006 April;
6446;Total natural persons;Groningen (PV);2006 May;
6447;Total natural persons;Groningen (PV);2006 June;
6448;Total natural persons;Groningen (PV);2006 2nd quarter;
6449;Total natural persons;Groningen (PV);2006 July;
6450;Total natural persons;Groningen (PV);2006 August;
6451;Total natural persons;Groningen (PV);2006 September;
6452;Total natural persons;Groningen (PV);2006 3rd quarter;
6453;Total natural persons;Groningen (PV);2006 October;
6454;Total natural persons;Groningen (PV);2006 November;
6455;Total natural persons;Groningen (PV);2006 December;
6456;Total natural persons;Groningen (PV);2006 4th quarter;
6457;Total natural persons;Groningen (PV);2006;
6458;Total natural persons;Groningen (PV);2007 January;
6459;Total natural persons;Groningen (PV);2007 February;
6460;Total natural persons;Groningen (PV);2007 March;
6461;Total natural persons;Groningen (PV);2007 1st quarter;
6462;Total natural persons;Groningen (PV);2007 April;
6463;Total natural persons;Groningen (PV);2007 May;
6464;Total natural persons;Groningen (PV);2007 June;
6465;Total natural persons;Groningen (PV);2007 2nd quarter;
6466;Total natural persons;Groningen (PV);2007 July;
6467;Total natural persons;Groningen (PV);2007 August;
6468;Total natural persons;Groningen (PV);2007 September;
6469;Total natural persons;Groningen (PV);2007 3rd quarter;
6470;Total natural persons;Groningen (PV);2007 October;
6471;Total natural persons;Groningen (PV);2007 November;
6472;Total natural persons;Groningen (PV);2007 December;
6473;Total natural persons;Groningen (PV);2007 4th quarter;
6474;Total natural persons;Groningen (PV);2007;
6475;Total natural persons;Groningen (PV);2008 January;
6476;Total natural persons;Groningen (PV);2008 February;
6477;Total natural persons;Groningen (PV);2008 March;
6478;Total natural persons;Groningen (PV);2008 1st quarter;
6479;Total natural persons;Groningen (PV);2008 April;
6480;Total natural persons;Groningen (PV);2008 May;
6481;Total natural persons;Groningen (PV);2008 June;
