ID;RegioS;Begindatum_1;Einddatum_2;GebiedsOfGemeentecode_3;Provincie_4;ProvincieAfkorting_5;BegindatumSorteerveld_6;EinddatumSorteerveld_7
1147;Schoten;01 jan 1830 ;01 mei 1927 ;GM1173  ;Noord-Holland                      ;NH.            ;18300101;19270501    
1148;Schoterland;01 jan 1830 ;01 jul 1934 ;GM1174  ;Friesland                          ;F.             ;18300101;19340701    
1149;Schouwen-Duiveland;01 jan 1997 ;            ;GM1676  ;Zeeland                            ;Z.             ;19970101;            
1150;Schuddebeurs en Simonshaven;01 jan 1830 ;11 jul 1855 ;GM1371  ;Zuid-Holland                       ;ZH.            ;18300101;18550711    
1151;Serooskerke (Schouwen-Duivenland);01 jan 1830 ;01 jan 1961 ;GM1175  ;Zeeland                            ;Z.             ;18300101;19610101    
1152;Serooskerke (Walcheren);01 jan 1830 ;01 jul 1966 ;GM1176  ;Zeeland                            ;Z.             ;18300101;19660701    
1153;Sevenum;02 jan 1839 ;01 jan 2010 ;GM0964  ;Limburg                            ;L.             ;18390102;20100101    
1154;Sijbekarspel;01 jan 1830 ;01 jan 1979 ;GM0447  ;Noord-Holland                      ;NH.            ;18300101;19790101    
1155;Simpelveld;02 jan 1839 ;            ;GM0965  ;Limburg                            ;L.             ;18390102;            
1156;Sint Anna Termuiden;01 jan 1830 ;23 apr 1880 ;GM1177  ;Zeeland                            ;Z.             ;18300101;18800423    
1157;Sint Anthonis;04 jul 1995 ;01 jan 2022 ;GM1702  ;Noord-Brabant                      ;NB.            ;19950704;20220101    
1158;Sint Anthonypolder;01 jan 1830 ;01 jan 1832 ;GM1372  ;Zuid-Holland                       ;ZH.            ;18300101;18320101    
1159;Sint Geertruid;02 jan 1839 ;01 jan 1982 ;GM0966  ;Limburg                            ;L.             ;18390102;19820101    
1160;Sint Jansteen;01 jan 1830 ;01 apr 1970 ;GM0709  ;Zeeland                            ;Z.             ;18300101;19700401    
1161;Sint Kruis;01 jan 1830 ;01 apr 1941 ;GM1178  ;Zeeland                            ;Z.             ;18300101;19410401    
1162;Sint Laurens;01 jan 1830 ;01 jul 1966 ;GM1179  ;Zeeland                            ;Z.             ;18300101;19660701    
1163;Sint Maarten;01 jan 1830 ;01 jan 1990 ;GM0445  ;Noord-Holland                      ;NH.            ;18300101;19900101    
1164;Sint Maartensregt;01 jan 1830 ;01 sep 1855 ;GM1373  ;Zuid-Holland                       ;ZH.            ;18300101;18550901    
1165;Sint Odilienberg;02 jan 1839 ;01 jan 1991 ;GM0967  ;Limburg                            ;L.             ;18390102;19910101    
1166;Sint Pancras;01 jan 1830 ;01 jan 1990 ;GM0446  ;Noord-Holland                      ;NH.            ;18300101;19900101    
1167;Sint Philipsland;01 jan 1830 ;01 jan 1995 ;GM0712  ;Zeeland                            ;Z.             ;18300101;19950101    
1168;Sint Pieter;02 jan 1839 ;01 jan 1920 ;GM1180  ;Limburg                            ;L.             ;18390102;19200101    
1169;Sint-Annaland;01 jan 1830 ;01 jul 1971 ;GM0708  ;Zeeland                            ;Z.             ;18300101;19710701    
1170;Sint-Maartensdijk;01 jan 1830 ;01 jul 1971 ;GM0711  ;Zeeland                            ;Z.             ;18300101;19710701    
1171;Sint-Michielsgestel;01 jan 1830 ;            ;GM0845  ;Noord-Brabant                      ;NB.            ;18300101;            
1172;Sint-Oedenrode;01 jan 1830 ;01 jan 2017 ;GM0846  ;Noord-Brabant                      ;NB.            ;18300101;20170101    
1173;Sittard;02 jan 1839 ;01 jan 2001 ;GM0968  ;Limburg                            ;L.             ;18390102;20010101    
1174;Sittard-Geleen;01 jan 2001 ;            ;GM1883  ;Limburg                            ;L.             ;20010101;            
1175;Skarsterlân;01 mrt 1985 ;01 jan 2014 ;GM0051  ;Friesland                          ;F.             ;19850301;20140101    
1176;Sleen;01 jan 1830 ;01 jan 1998 ;GM0130  ;Drenthe                            ;D.             ;18300101;19980101    
1177;Slenaken;02 jan 1839 ;01 jan 1982 ;GM0969  ;Limburg                            ;L.             ;18390102;19820101    
1178;Sliedrecht;01 jan 1830 ;            ;GM0610  ;Zuid-Holland                       ;ZH.            ;18300101;            
1179;Slochteren;01 jan 1830 ;01 jan 2018 ;GM0040  ;Groningen                          ;Gr.            ;18300101;20180101    
1180;Sloten (F.);01 jan 1830 ;01 jan 1984 ;GM0089  ;Friesland                          ;F.             ;18300101;19840101    
1181;Sloten (NH.);01 jan 1830 ;01 jan 1921 ;GM1181  ;Noord-Holland                      ;NH.            ;18300101;19210101    
1182;Sluipwijk;01 jan 1830 ;01 jun 1870 ;GM1182  ;Zuid-Holland                       ;ZH.            ;18300101;18700601    
1183;Sluis;01 jan 2003 ;            ;GM1714  ;Zeeland                            ;Z.             ;20030101;            
1184;Sluis (oud);01 jan 1830 ;01 jan 1995 ;GM0713  ;Zeeland                            ;Z.             ;18300101;19950101    
1185;Sluis-Aardenburg;01 jan 1995 ;01 jan 2003 ;GM1698  ;Zeeland                            ;Z.             ;19950101;20030101    
1186;Smallingerland;01 jan 1830 ;            ;GM0090  ;Friesland                          ;F.             ;18300101;            
1187;Smilde;01 jan 1830 ;01 jan 1998 ;GM0131  ;Drenthe                            ;D.             ;18300101;19980101    
1188;Sneek;01 jan 1830 ;01 jan 2011 ;GM0091  ;Friesland                          ;F.             ;18300101;20110101    
1189;Snelrewaard;01 jan 1830 ;01 jan 1989 ;GM0341  ;Utrecht                            ;U.             ;18300101;19890101    
1190;Soerendonk;01 jan 1830 ;01 jan 1925 ;GM1183  ;Noord-Brabant                      ;NB.            ;18300101;19250101    
1191;Soest;01 jan 1830 ;            ;GM0342  ;Utrecht                            ;U.             ;18300101;            
1192;Someren;01 jan 1830 ;            ;GM0847  ;Noord-Brabant                      ;NB.            ;18300101;            
1193;Sommelsdijk;01 jan 1830 ;01 jan 1966 ;GM1184  ;Zuid-Holland                       ;ZH.            ;18300101;19660101    
1194;Son en Breugel;01 jan 1830 ;            ;GM0848  ;Noord-Brabant                      ;NB.            ;18300101;            
1195;Spaarndam;01 jan 1830 ;24 apr 1927 ;GM1185  ;Noord-Holland                      ;NH.            ;18300101;19270424    
1196;Spaarnwoude;01 jan 1830 ;13 jun 1857 ;GM1374  ;Noord-Holland                      ;NH.            ;18300101;18570613    
1197;Spanbroek;01 jan 1830 ;01 jul 1959 ;GM1186  ;Noord-Holland                      ;NH.            ;18300101;19590701    
1198;Spaubeek;02 jan 1839 ;01 jan 1982 ;GM0970  ;Limburg                            ;L.             ;18390102;19820101    
1199;Spijk;01 jan 1830 ;18 jul 1855 ;GM1375  ;Zuid-Holland                       ;ZH.            ;18300101;18550718    
1200;Spijkenisse;01 jan 1830 ;01 jan 2015 ;GM0612  ;Zuid-Holland                       ;ZH.            ;18300101;20150101    
1201;Sprang;01 jan 1830 ;01 jan 1923 ;GM1187  ;Noord-Brabant                      ;NB.            ;18300101;19230101    
1202;Sprang-Capelle;01 jan 1923 ;01 jan 1997 ;GM0849  ;Noord-Brabant                      ;NB.            ;19230101;19970101    
1203;St. Anthonis;01 jan 1994 ;04 jul 1995 ;GM1691  ;Noord-Brabant                      ;NB.            ;19940101;19950704    
1204;Stad aan 't Haringvliet;01 jan 1830 ;01 jan 1966 ;GM1188  ;Zuid-Holland                       ;ZH.            ;18300101;19660101    
1205;Stad Delden;01 jan 1830 ;01 jan 2001 ;GM0179  ;Overijssel                         ;O.             ;18300101;20010101    
1206;Stad-Almelo;01 jan 1830 ;01 dec 1913 ;GM1189  ;Overijssel                         ;O.             ;18300101;19131201    
1207;Stad-Doetinchem;01 jan 1830 ;01 jan 1920 ;GM1190  ;Gelderland                         ;Gld.           ;18300101;19200101    
1208;Stad-Hardenberg;01 jan 1830 ;01 mei 1941 ;GM1191  ;Overijssel                         ;O.             ;18300101;19410501    
1209;Stad-Ommen;01 jan 1830 ;01 jan 1924 ;GM1192  ;Overijssel                         ;O.             ;18300101;19240101    
1210;Stadskanaal;01 jan 1969 ;            ;GM0037  ;Groningen                          ;Gr.            ;19690101;            
1211;Stad-Vollenhove;01 jan 1830 ;01 feb 1942 ;GM1193  ;Overijssel                         ;O.             ;18300101;19420201    
1212;Standdaarbuiten;01 jan 1830 ;01 jan 1997 ;GM0850  ;Noord-Brabant                      ;NB.            ;18300101;19970101    
1213;Staphorst;01 jan 1830 ;            ;GM0180  ;Overijssel                         ;O.             ;18300101;            
1214;Stavenisse;01 jan 1830 ;01 jul 1971 ;GM0714  ;Zeeland                            ;Z.             ;18300101;19710701    
1215;Staveren;01 jan 1830 ;01 jan 1939 ;GM1257  ;Friesland                          ;F.             ;18300101;19390101    
1216;Stavoren;01 jan 1939 ;01 jan 1984 ;GM0092  ;Friesland                          ;F.             ;19390101;19840101    
1217;Stede Broec;01 jan 1979 ;            ;GM0532  ;Noord-Holland                      ;NH.            ;19790101;            
1218;Stedum;01 jan 1830 ;01 jan 1990 ;GM0041  ;Groningen                          ;Gr.            ;18300101;19900101    
1219;Steenbergen;25 jun 1962 ;            ;GM0851  ;Noord-Brabant                      ;NB.            ;19620625;            
1220;Steenbergen en Kruisland;01 jan 1830 ;25 jun 1962 ;GM1376  ;Noord-Brabant                      ;NB.            ;18300101;19620625    
1221;Steenderen;01 jan 1830 ;01 jan 2005 ;GM0280  ;Gelderland                         ;Gld.           ;18300101;20050101    
1222;Steenwijk;01 jan 1830 ;01 jan 2003 ;GM0181  ;Overijssel                         ;O.             ;18300101;20030101    
1223;Steenwijkerland;01 jan 2003 ;            ;GM1708  ;Overijssel                         ;O.             ;20030101;            
1224;Steenwijkerwold;01 jan 1830 ;01 jan 1973 ;GM0182  ;Overijssel                         ;O.             ;18300101;19730101    
1225;Stein (L.);02 jan 1839 ;            ;GM0971  ;Limburg                            ;L.             ;18390102;            
1226;Stein (ZH.);01 jan 1830 ;01 jun 1870 ;GM1194  ;Zuid-Holland                       ;ZH.            ;18300101;18700601    
1227;Stellendam;01 jan 1830 ;01 jan 1966 ;GM1195  ;Zuid-Holland                       ;ZH.            ;18300101;19660101    
1228;Sterkenburg;01 jan 1830 ;13 jun 1857 ;GM1377  ;Utrecht                            ;U.             ;18300101;18570613    
1229;Stevensweert;02 jan 1839 ;01 jan 1991 ;GM0972  ;Limburg                            ;L.             ;18390102;19910101    
1230;Stichtse Vecht;01 jan 2011 ;            ;GM1904  ;Utrecht                            ;U.             ;20110101;            
1231;Stiphout;01 jan 1830 ;01 jan 1968 ;GM1196  ;Noord-Brabant                      ;NB.            ;18300101;19680101    
1232;Stolwijk;01 jan 1830 ;01 jan 1985 ;GM0615  ;Zuid-Holland                       ;ZH.            ;18300101;19850101    
1233;Stompwijk;01 jan 1830 ;01 jan 1938 ;GM1197  ;Zuid-Holland                       ;ZH.            ;18300101;19380101    
1234;Stoppeldijk;01 jan 1830 ;01 jul 1936 ;GM1198  ;Zeeland                            ;Z.             ;18300101;19360701    
1235;Stormpolder;01 jan 1830 ;11 jul 1855 ;GM1378  ;Zuid-Holland                       ;ZH.            ;18300101;18550711    
1236;Stoutenburg;01 jan 1830 ;01 jun 1969 ;GM0343  ;Utrecht                            ;U.             ;18300101;19690601    
1237;Stramproy;02 jan 1839 ;01 jan 1998 ;GM0973  ;Limburg                            ;L.             ;18390102;19980101    
1238;Stratum;01 jan 1830 ;01 jan 1920 ;GM1199  ;Noord-Brabant                      ;NB.            ;18300101;19200101    
1239;Streefkerk;01 jan 1830 ;01 jan 1986 ;GM0616  ;Zuid-Holland                       ;ZH.            ;18300101;19860101    
1240;Strevelshoek;01 jan 1830 ;01 jan 1846 ;GM1380  ;Zuid-Holland                       ;ZH.            ;18300101;18460101    
1241;Strijen;01 jan 1830 ;01 jan 2019 ;GM0617  ;Zuid-Holland                       ;ZH.            ;18300101;20190101    
1242;Strijensas;01 jan 1830 ;11 jul 1855 ;GM1381  ;Zuid-Holland                       ;ZH.            ;18300101;18550711    
1243;Strijp;01 jan 1830 ;01 jan 1920 ;GM1201  ;Noord-Brabant                      ;NB.            ;18300101;19200101    
1244;Strucht;02 jan 1839 ;08 aug 1878 ;GM1200  ;Limburg                            ;L.             ;18390102;18780808    
1245;Súdwest-Fryslân;01 jan 2011 ;            ;GM1900  ;Friesland                          ;F.             ;20110101;            
1246;Susteren;02 jan 1839 ;01 jan 2003 ;GM0974  ;Limburg                            ;L.             ;18390102;20030101    
1247;Swalmen;02 jan 1839 ;01 jan 2007 ;GM0975  ;Limburg                            ;L.             ;18390102;20070101    
1248;Teckop;01 jan 1830 ;08 sep 1857 ;GM1382  ;Utrecht                            ;U.             ;18300101;18570908    
1249;Tegelen;02 jan 1839 ;01 jan 2001 ;GM0976  ;Limburg                            ;L.             ;18390102;20010101    
1250;Tempel;01 jan 1830 ;11 jul 1855 ;GM1383  ;Zuid-Holland                       ;ZH.            ;18300101;18550711    
1251;Terheijden;01 jan 1830 ;01 jan 1997 ;GM0853  ;Noord-Brabant                      ;NB.            ;18300101;19970101    
1252;Termunten;01 jan 1830 ;01 jan 1990 ;GM0042  ;Groningen                          ;Gr.            ;18300101;19900101    
1253;Terneuzen;01 jan 1830 ;            ;GM0715  ;Zeeland                            ;Z.             ;18300101;            
1254;Terschelling;01 jan 1830 ;            ;GM0093  ;Friesland                          ;F.             ;18300101;            
1255;Teteringen;01 jan 1830 ;01 jan 1997 ;GM0854  ;Noord-Brabant                      ;NB.            ;18300101;19970101    
1256;Texel;01 jan 1830 ;            ;GM0448  ;Noord-Holland                      ;NH.            ;18300101;            
1257;Teylingen;01 jan 2006 ;            ;GM1525  ;Zuid-Holland                       ;ZH.            ;20060101;            
1258;Tholen;01 jan 1830 ;            ;GM0716  ;Zeeland                            ;Z.             ;18300101;            
1259;Thorn;02 jan 1839 ;01 jan 2007 ;GM0977  ;Limburg                            ;L.             ;18390102;20070101    
1260;Tiel;01 jan 1830 ;            ;GM0281  ;Gelderland                         ;Gld.           ;18300101;            
1261;Tienhoven (U.);01 jan 1830 ;01 jul 1957 ;GM1202  ;Utrecht                            ;U.             ;18300101;19570701    
1262;Tienhoven (ZH.);01 jan 1830 ;01 jan 1986 ;GM0618  ;Zuid-Holland                       ;ZH.            ;18300101;19860101    
1263;Tietjerksteradeel;01 jan 1830 ;01 jan 1989 ;GM0094  ;Friesland                          ;F.             ;18300101;19890101    
1264;Tilburg;01 jan 1830 ;            ;GM0855  ;Noord-Brabant                      ;NB.            ;18300101;            
1265;Tongelre;01 jan 1830 ;01 jan 1920 ;GM1203  ;Noord-Brabant                      ;NB.            ;18300101;19200101    
1266;Tubbergen;01 jan 1830 ;            ;GM0183  ;Overijssel                         ;O.             ;18300101;            
1267;Tudderen (Drostambt);23 apr 1949 ;01 aug 1963 ;GM1204  ;Limburg                            ;L.             ;19490423;19630801    
1268;Tull en 't Waal;01 jan 1830 ;01 jan 1962 ;GM1205  ;Utrecht                            ;U.             ;18300101;19620101    
1269;Twenterand;01 jun 2002 ;            ;GM1700  ;Overijssel                         ;O.             ;20020601;            
1270;Twisk;01 jan 1830 ;01 jan 1979 ;GM0449  ;Noord-Holland                      ;NH.            ;18300101;19790101    
1271;Tynaarlo;01 dec 1999 ;            ;GM1730  ;Drenthe                            ;D.             ;19991201;            
1272;Tytsjerksteradiel;01 jan 1989 ;            ;GM0737  ;Friesland                          ;F.             ;19890101;            
1273;Ubach over Worms;02 jan 1839 ;01 jan 1982 ;GM0978  ;Limburg                            ;L.             ;18390102;19820101    
1274;Ubbergen;01 jan 1830 ;01 jan 2015 ;GM0282  ;Gelderland                         ;Gld.           ;18300101;20150101    
1275;Uden;01 jan 1830 ;01 jan 2022 ;GM0856  ;Noord-Brabant                      ;NB.            ;18300101;20220101    
1276;Udenhout;01 jan 1830 ;01 jan 1997 ;GM0857  ;Noord-Brabant                      ;NB.            ;18300101;19970101    
1277;Uitgeest;01 jan 1830 ;            ;GM0450  ;Noord-Holland                      ;NH.            ;18300101;            
1278;Uithoorn;01 jan 1830 ;            ;GM0451  ;Noord-Holland                      ;NH.            ;18300101;            
1279;Uithuizen;01 jan 1830 ;01 jan 1979 ;GM0043  ;Groningen                          ;Gr.            ;18300101;19790101    
1280;Uithuizermeeden;01 jan 1830 ;01 jan 1979 ;GM0044  ;Groningen                          ;Gr.            ;18300101;19790101    
1281;Ulestraten;02 jan 1839 ;01 jan 1982 ;GM0979  ;Limburg                            ;L.             ;18390102;19820101    
1282;Ulrum;01 jan 1830 ;01 jan 1992 ;GM0045  ;Groningen                          ;Gr.            ;18300101;19920101    
1283;Urk;01 jan 1830 ;            ;GM0184  ;Flevoland                          ;Fle.           ;18300101;            
1284;Urmond;02 jan 1839 ;01 jan 1982 ;GM0980  ;Limburg                            ;L.             ;18390102;19820101    
1285;Ursem;01 jan 1830 ;01 jan 1979 ;GM0452  ;Noord-Holland                      ;NH.            ;18300101;19790101    
1286;Usquert;01 jan 1830 ;01 jan 1990 ;GM0046  ;Groningen                          ;Gr.            ;18300101;19900101    
1287;Utingeradeel;01 jan 1830 ;01 jan 1984 ;GM0095  ;Friesland                          ;F.             ;18300101;19840101    
1288;Utrecht (gemeente);01 jan 1830 ;            ;GM0344  ;Utrecht                            ;U.             ;18300101;            
1289;Utrechtse Heuvelrug;01 jan 2006 ;            ;GM1581  ;Utrecht                            ;U.             ;20060101;            
1290;Vaals;02 jan 1839 ;            ;GM0981  ;Limburg                            ;L.             ;18390102;            
1291;Valburg;01 jan 1830 ;01 jan 2001 ;GM0283  ;Gelderland                         ;Gld.           ;18300101;20010101    
1292;Valkenburg (L.);02 jan 1839 ;01 okt 1940 ;GM1252  ;Limburg                            ;L.             ;18390102;19401001    
1293;Valkenburg (ZH.);01 jan 1830 ;01 jan 2006 ;GM0619  ;Zuid-Holland                       ;ZH.            ;18300101;20060101    
1294;Valkenburg aan de Geul;01 jan 1982 ;            ;GM0994  ;Limburg                            ;L.             ;19820101;            
1295;Valkenburg-Houthem;01 okt 1940 ;01 jan 1982 ;GM0982  ;Limburg                            ;L.             ;19401001;19820101    
1296;Valkenisse;01 jul 1966 ;01 jan 1997 ;GM0720  ;Zeeland                            ;Z.             ;19660701;19970101    
1297;Valkenswaard;01 jan 1830 ;            ;GM0858  ;Noord-Brabant                      ;NB.            ;18300101;            
1298;Varik;01 jan 1830 ;01 jan 1978 ;GM0284  ;Gelderland                         ;Gld.           ;18300101;19780101    
1299;Veen;01 jan 1830 ;01 jan 1973 ;GM0859  ;Noord-Brabant                      ;NB.            ;18300101;19730101    
1300;Veendam;01 jan 1830 ;            ;GM0047  ;Groningen                          ;Gr.            ;18300101;            
1301;Veenendaal;01 jan 1830 ;            ;GM0345  ;Utrecht                            ;U.             ;18300101;            
1302;Veenhuizen;01 jan 1830 ;13 apr 1854 ;GM1384  ;Noord-Holland                      ;NH.            ;18300101;18540413    
1303;Veere;01 jan 1830 ;            ;GM0717  ;Zeeland                            ;Z.             ;18300101;            
1304;Veghel;01 jan 1830 ;01 jan 2017 ;GM0860  ;Noord-Brabant                      ;NB.            ;18300101;20170101    
1305;Veldhoven;01 mei 1921 ;            ;GM0861  ;Noord-Brabant                      ;NB.            ;19210501;            
1306;Veldhoven en Meerveldhoven;01 jan 1830 ;01 mei 1921 ;GM1206  ;Noord-Brabant                      ;NB.            ;18300101;19210501    
1307;Veldhuizen;01 jan 1830 ;01 jan 1954 ;GM1207  ;Utrecht                            ;U.             ;18300101;19540101    
1308;Velp;01 jan 1830 ;01 jul 1942 ;GM1208  ;Noord-Brabant                      ;NB.            ;18300101;19420701    
1309;Velsen;01 jan 1830 ;            ;GM0453  ;Noord-Holland                      ;NH.            ;18300101;            
1310;Venhuizen;01 jan 1830 ;01 jan 2006 ;GM0454  ;Noord-Holland                      ;NH.            ;18300101;20060101    
1311;Venlo;02 jan 1839 ;            ;GM0983  ;Limburg                            ;L.             ;18390102;            
1312;de Vennip;01 jan 1830 ;11 jul 1855 ;GM1385  ;Zuid-Holland                       ;ZH.            ;18300101;18550711    
1313;Venray;02 jan 1839 ;            ;GM0984  ;Limburg                            ;L.             ;18390102;            
1314;Verwolde;01 jan 1830 ;13 apr 1854 ;GM1386  ;Gelderland                         ;Gld.           ;18300101;18540413    
1315;Vessem, Wintelre en Knegsel;01 jan 1830 ;01 jan 1997 ;GM0862  ;Noord-Brabant                      ;NB.            ;18300101;19970101    
1316;Veur;01 jan 1830 ;01 jan 1938 ;GM1209  ;Zuid-Holland                       ;ZH.            ;18300101;19380101    
1317;Vianen;01 jan 1830 ;01 jan 2019 ;GM0620  ;Utrecht                            ;U.             ;18300101;20190101    
1318;Vierlingsbeek;01 jan 1830 ;01 jan 1998 ;GM0863  ;Noord-Brabant                      ;NB.            ;18300101;19980101    
1319;Vierpolders;01 jan 1830 ;01 jan 1980 ;GM0621  ;Zuid-Holland                       ;ZH.            ;18300101;19800101    
1320;Vijfheerenlanden;01 jan 2019 ;            ;GM1961  ;Utrecht                            ;U.             ;20190101;            
1321;Vinkeveen;01 jan 1830 ;01 jan 1841 ;GM1387  ;Utrecht                            ;U.             ;18300101;18410101    
1322;Vinkeveen en Waverveen;01 jan 1841 ;01 jan 1989 ;GM0346  ;Utrecht                            ;U.             ;18410101;19890101    
1323;Vlaardingen;01 jan 1830 ;            ;GM0622  ;Zuid-Holland                       ;ZH.            ;18300101;            
1324;Vlaardinger-Ambacht;01 jan 1830 ;01 aug 1941 ;GM1210  ;Zuid-Holland                       ;ZH.            ;18300101;19410801    
1325;Vlagtwedde;01 jan 1830 ;01 jan 2018 ;GM0048  ;Groningen                          ;Gr.            ;18300101;20180101    
1326;Vledder;01 jan 1830 ;01 jan 1998 ;GM0132  ;Drenthe                            ;D.             ;18300101;19980101    
1327;Vleuten;01 jan 1830 ;01 jan 1954 ;GM1211  ;Utrecht                            ;U.             ;18300101;19540101    
1328;Vleuten-De Meern;01 jan 1954 ;01 jan 2001 ;GM0347  ;Utrecht                            ;U.             ;19540101;20010101    
1329;Vlieland;01 jan 1830 ;            ;GM0096  ;Friesland                          ;F.             ;18300101;            
1330;Vlierden;01 jan 1830 ;01 jan 1926 ;GM1212  ;Noord-Brabant                      ;NB.            ;18300101;19260101    
1331;Vliet;01 jan 1830 ;01 jan 1846 ;GM1388  ;Zuid-Holland                       ;ZH.            ;18300101;18460101    
1332;Vlijmen;01 jan 1830 ;01 jan 1997 ;GM0864  ;Noord-Brabant                      ;NB.            ;18300101;19970101    
1333;Vlissingen;01 jan 1830 ;            ;GM0718  ;Zeeland                            ;Z.             ;18300101;            
1334;Vlist;01 jan 1830 ;01 jan 2015 ;GM0623  ;Zuid-Holland                       ;ZH.            ;18300101;20150101    
1335;Vlodrop;02 jan 1839 ;01 jan 1991 ;GM0985  ;Limburg                            ;L.             ;18390102;19910101    
1336;Voerendaal;02 jan 1839 ;            ;GM0986  ;Limburg                            ;L.             ;18390102;            
1337;Vogelwaarde;01 jul 1936 ;01 apr 1970 ;GM0719  ;Zeeland                            ;Z.             ;19360701;19700401    
1338;Vollenhove;01 feb 1942 ;01 jan 1973 ;GM0185  ;Overijssel                         ;O.             ;19420201;19730101    
1339;Voorburg;01 jan 1830 ;01 jan 2002 ;GM0624  ;Zuid-Holland                       ;ZH.            ;18300101;20020101    
1340;Voorhout;01 jan 1830 ;01 jan 2006 ;GM0625  ;Zuid-Holland                       ;ZH.            ;18300101;20060101    
1341;Voorne aan Zee;01 jan 2023 ;            ;GM1992  ;Zuid-Holland                       ;ZH.            ;20230101;            
1342;Voorschoten;01 jan 1830 ;            ;GM0626  ;Zuid-Holland                       ;ZH.            ;18300101;            
1343;Voorst;01 jan 1830 ;            ;GM0285  ;Gelderland                         ;Gld.           ;18300101;            
1344;Vorden;01 jan 1830 ;01 jan 2005 ;GM0286  ;Gelderland                         ;Gld.           ;18300101;20050101    
1345;Vreeland;01 jan 1830 ;01 apr 1964 ;GM1213  ;Utrecht                            ;U.             ;18300101;19640401    
1346;Vreeswijk;01 jan 1830 ;01 jul 1971 ;GM0348  ;Utrecht                            ;U.             ;18300101;19710701    
1347;Vries;01 jan 1830 ;01 jan 1998 ;GM0133  ;Drenthe                            ;D.             ;18300101;19980101    
1348;Vriezenveen;01 jan 1830 ;01 jun 2002 ;GM0186  ;Overijssel                         ;O.             ;18300101;20020601    
1349;Vrije en Lage Boekhorst;01 jan 1830 ;11 jul 1855 ;GM1390  ;Zuid-Holland                       ;ZH.            ;18300101;18550711    
1350;Vrijenban;01 jan 1830 ;01 jan 1921 ;GM1215  ;Zuid-Holland                       ;ZH.            ;18300101;19210101    
1351;Vrijhoeve-Capelle;01 jan 1830 ;01 jan 1923 ;GM1216  ;Noord-Brabant                      ;NB.            ;18300101;19230101    
1352;Vrijhoeven;01 jan 1830 ;10 jul 1840 ;GM1391  ;Zuid-Holland                       ;ZH.            ;18300101;18400710    
1353;Vrouwenpolder;01 jan 1830 ;01 jul 1966 ;GM1214  ;Zeeland                            ;Z.             ;18300101;19660701    
1354;Vught;01 jan 1830 ;            ;GM0865  ;Noord-Brabant                      ;NB.            ;18300101;            
1355;Vuren;01 jan 1830 ;03 jan 1987 ;GM0287  ;Gelderland                         ;Gld.           ;18300101;19870103    
1356;de Vuursche;01 jan 1830 ;01 dec 1857 ;GM1392  ;Utrecht                            ;U.             ;18300101;18571201    
1357;Waadhoeke;01 jan 2018 ;            ;GM1949  ;Friesland                          ;F.             ;20180101;            
1358;Waalre;01 jan 1830 ;            ;GM0866  ;Noord-Brabant                      ;NB.            ;18300101;            
1359;Waalwijk;01 jan 1830 ;            ;GM0867  ;Noord-Brabant                      ;NB.            ;18300101;            
1360;Waarde;01 jan 1830 ;01 jan 1970 ;GM0721  ;Zeeland                            ;Z.             ;18300101;19700101    
1361;Waardenburg;01 jan 1830 ;01 jan 1978 ;GM0288  ;Gelderland                         ;Gld.           ;18300101;19780101    
1362;Waarder;01 jan 1830 ;01 feb 1964 ;GM1217  ;Zuid-Holland                       ;ZH.            ;18300101;19640201    
1363;Waddinxveen;01 jul 1870 ;            ;GM0627  ;Zuid-Holland                       ;ZH.            ;18700701;            
1364;Wadenoijen;01 jan 1830 ;01 jul 1956 ;GM1218  ;Gelderland                         ;Gld.           ;18300101;19560701    
1365;Wageningen;01 jan 1830 ;            ;GM0289  ;Gelderland                         ;Gld.           ;18300101;            
1366;Wamel;01 jan 1830 ;01 jul 1985 ;GM0290  ;Gelderland                         ;Gld.           ;18300101;19850701    
1367;Wanneperveen;01 jan 1830 ;01 jan 1973 ;GM0187  ;Overijssel                         ;O.             ;18300101;19730101    
1368;Wanroij;01 jan 1830 ;01 jan 1994 ;GM0868  ;Noord-Brabant                      ;NB.            ;18300101;19940101    
1369;Wanssum;02 jan 1839 ;01 jul 1969 ;GM0987  ;Limburg                            ;L.             ;18390102;19690701    
1370;Warder;01 jan 1830 ;01 aug 1970 ;GM0455  ;Noord-Holland                      ;NH.            ;18300101;19700801    
1371;Warffum;01 jan 1830 ;01 jan 1990 ;GM0049  ;Groningen                          ;Gr.            ;18300101;19900101    
1372;Warmenhuizen;01 jan 1830 ;01 jan 1990 ;GM0456  ;Noord-Holland                      ;NH.            ;18300101;19900101    
1373;Warmond;01 jan 1830 ;01 jan 2006 ;GM0628  ;Zuid-Holland                       ;ZH.            ;18300101;20060101    
1374;Warnsveld;01 jan 1830 ;01 jan 2005 ;GM0291  ;Gelderland                         ;Gld.           ;18300101;20050101    
1375;Waspik;01 jan 1830 ;01 jan 1997 ;GM0869  ;Noord-Brabant                      ;NB.            ;18300101;19970101    
1376;Wassenaar;01 jan 1830 ;            ;GM0629  ;Zuid-Holland                       ;ZH.            ;18300101;            
1377;Watergraafsmeer;01 jan 1830 ;01 jan 1921 ;GM1219  ;Noord-Holland                      ;NH.            ;18300101;19210101    
1378;Wateringen;01 jan 1830 ;01 jan 2004 ;GM0630  ;Zuid-Holland                       ;ZH.            ;18300101;20040101    
