ID;Sex;Age;ModesOfTravel;TravelMotives;Margins;Periods;StagesPerPersonPerDayAverage_1;DistanceTravelledPerStageAverage_2;AverageTravelTimePerStage_3
273;Total male and female;10000;Total;Attending education/courses;Lower bound 95% confidence interval;2022;0.21;6.75;18.65
274;Total male and female;10000;Total;Attending education/courses;Lower bound 95% confidence interval;2023;0.23;6.83;18.86
275;Total male and female;10000;Total;Attending education/courses;Upper bound 95% confidence interval;1999;0.32;7.54;18.85
276;Total male and female;10000;Total;Attending education/courses;Upper bound 95% confidence interval;2000;0.32;7.65;19.07
277;Total male and female;10000;Total;Attending education/courses;Upper bound 95% confidence interval;2001;0.31;7.64;18.89
278;Total male and female;10000;Total;Attending education/courses;Upper bound 95% confidence interval;2002;0.31;7.65;18.86
279;Total male and female;10000;Total;Attending education/courses;Upper bound 95% confidence interval;2003;0.31;7.68;18.97
280;Total male and female;10000;Total;Attending education/courses;Upper bound 95% confidence interval;2004;0.32;7.5;18.68
281;Total male and female;10000;Total;Attending education/courses;Upper bound 95% confidence interval;2005;0.31;7.56;18.87
282;Total male and female;10000;Total;Attending education/courses;Upper bound 95% confidence interval;2006;0.32;7.49;18.9
283;Total male and female;10000;Total;Attending education/courses;Upper bound 95% confidence interval;2007;0.31;7.49;18.88
284;Total male and female;10000;Total;Attending education/courses;Upper bound 95% confidence interval;2008;0.31;7.42;18.7
285;Total male and female;10000;Total;Attending education/courses;Upper bound 95% confidence interval;2009;0.31;7.38;18.56
286;Total male and female;10000;Total;Attending education/courses;Upper bound 95% confidence interval;2010;0.32;7.38;18.6
287;Total male and female;10000;Total;Attending education/courses;Upper bound 95% confidence interval;2011;0.32;7.41;18.61
288;Total male and female;10000;Total;Attending education/courses;Upper bound 95% confidence interval;2012;0.3;7.49;18.84
289;Total male and female;10000;Total;Attending education/courses;Upper bound 95% confidence interval;2013;0.3;7.5;18.8
290;Total male and female;10000;Total;Attending education/courses;Upper bound 95% confidence interval;2014;0.3;7.63;19.09
291;Total male and female;10000;Total;Attending education/courses;Upper bound 95% confidence interval;2015;0.3;7.72;19.06
292;Total male and female;10000;Total;Attending education/courses;Upper bound 95% confidence interval;2016;0.3;7.72;19.24
293;Total male and female;10000;Total;Attending education/courses;Upper bound 95% confidence interval;2017;0.29;7.73;19.41
294;Total male and female;10000;Total;Attending education/courses;Upper bound 95% confidence interval;2018;0.29;7.61;19.1
295;Total male and female;10000;Total;Attending education/courses;Upper bound 95% confidence interval;2019;0.29;7.58;19.06
296;Total male and female;10000;Total;Attending education/courses;Upper bound 95% confidence interval;2020;0.17;7.13;19.08
297;Total male and female;10000;Total;Attending education/courses;Upper bound 95% confidence interval;2021;0.18;7.0;19.15
298;Total male and female;10000;Total;Attending education/courses;Upper bound 95% confidence interval;2022;0.22;7.29;19.56
299;Total male and female;10000;Total;Attending education/courses;Upper bound 95% confidence interval;2023;0.24;7.49;19.99
300;Total male and female;10000;Total;Leisure;Value;1999;1.19;12.42;31.37
301;Total male and female;10000;Total;Leisure;Value;2000;1.17;12.39;31.45
302;Total male and female;10000;Total;Leisure;Value;2001;1.15;12.5;31.5
303;Total male and female;10000;Total;Leisure;Value;2002;1.14;12.63;31.31
304;Total male and female;10000;Total;Leisure;Value;2003;1.15;12.66;31.6
305;Total male and female;10000;Total;Leisure;Value;2004;1.15;12.97;31.52
306;Total male and female;10000;Total;Leisure;Value;2005;1.13;12.9;31.6
307;Total male and female;10000;Total;Leisure;Value;2006;1.12;12.73;31.84
308;Total male and female;10000;Total;Leisure;Value;2007;1.1;12.67;32.03
309;Total male and female;10000;Total;Leisure;Value;2008;1.06;12.58;31.64
310;Total male and female;10000;Total;Leisure;Value;2009;1.11;12.59;31.67
311;Total male and female;10000;Total;Leisure;Value;2010;1.09;12.56;31.45
312;Total male and female;10000;Total;Leisure;Value;2011;1.05;12.93;32.1
313;Total male and female;10000;Total;Leisure;Value;2012;1.08;12.81;32.15
314;Total male and female;10000;Total;Leisure;Value;2013;1.1;13.0;31.68
315;Total male and female;10000;Total;Leisure;Value;2014;1.11;13.07;32.53
316;Total male and female;10000;Total;Leisure;Value;2015;1.07;13.16;32.7
317;Total male and female;10000;Total;Leisure;Value;2016;1.06;13.14;32.59
318;Total male and female;10000;Total;Leisure;Value;2017;1.03;13.28;32.46
319;Total male and female;10000;Total;Leisure;Value;2018;1.07;13.42;32.7
320;Total male and female;10000;Total;Leisure;Value;2019;1.05;13.5;32.59
321;Total male and female;10000;Total;Leisure;Value;2020;0.93;10.99;36.22
322;Total male and female;10000;Total;Leisure;Value;2021;1.03;11.49;38.55
323;Total male and female;10000;Total;Leisure;Value;2022;1.11;11.54;34.86
324;Total male and female;10000;Total;Leisure;Value;2023;1.12;11.91;33.59
325;Total male and female;10000;Total;Leisure;Lower bound 95% confidence interval;1999;1.12;11.68;29.64
326;Total male and female;10000;Total;Leisure;Lower bound 95% confidence interval;2000;1.1;11.66;29.79
327;Total male and female;10000;Total;Leisure;Lower bound 95% confidence interval;2001;1.09;11.77;29.84
328;Total male and female;10000;Total;Leisure;Lower bound 95% confidence interval;2002;1.08;11.88;29.71
329;Total male and female;10000;Total;Leisure;Lower bound 95% confidence interval;2003;1.09;11.88;30.04
330;Total male and female;10000;Total;Leisure;Lower bound 95% confidence interval;2004;1.09;12.24;30.13
331;Total male and female;10000;Total;Leisure;Lower bound 95% confidence interval;2005;1.07;12.2;30.28
332;Total male and female;10000;Total;Leisure;Lower bound 95% confidence interval;2006;1.06;12.02;30.38
333;Total male and female;10000;Total;Leisure;Lower bound 95% confidence interval;2007;1.05;12.01;30.68
334;Total male and female;10000;Total;Leisure;Lower bound 95% confidence interval;2008;1.01;11.9;30.26
335;Total male and female;10000;Total;Leisure;Lower bound 95% confidence interval;2009;1.06;11.92;30.36
336;Total male and female;10000;Total;Leisure;Lower bound 95% confidence interval;2010;1.05;11.99;30.49
337;Total male and female;10000;Total;Leisure;Lower bound 95% confidence interval;2011;1.01;12.34;31.15
338;Total male and female;10000;Total;Leisure;Lower bound 95% confidence interval;2012;1.04;12.28;31.21
339;Total male and female;10000;Total;Leisure;Lower bound 95% confidence interval;2013;1.06;12.45;30.79
340;Total male and female;10000;Total;Leisure;Lower bound 95% confidence interval;2014;1.07;12.53;31.59
341;Total male and female;10000;Total;Leisure;Lower bound 95% confidence interval;2015;1.03;12.63;31.77
342;Total male and female;10000;Total;Leisure;Lower bound 95% confidence interval;2016;1.02;12.59;31.69
343;Total male and female;10000;Total;Leisure;Lower bound 95% confidence interval;2017;1.0;12.76;31.5
344;Total male and female;10000;Total;Leisure;Lower bound 95% confidence interval;2018;1.06;13.12;32.19
345;Total male and female;10000;Total;Leisure;Lower bound 95% confidence interval;2019;1.04;13.19;32.08
346;Total male and female;10000;Total;Leisure;Lower bound 95% confidence interval;2020;0.92;10.69;35.58
347;Total male and female;10000;Total;Leisure;Lower bound 95% confidence interval;2021;1.02;11.2;37.89
348;Total male and female;10000;Total;Leisure;Lower bound 95% confidence interval;2022;1.1;11.3;34.39
349;Total male and female;10000;Total;Leisure;Lower bound 95% confidence interval;2023;1.11;11.64;33.08
350;Total male and female;10000;Total;Leisure;Upper bound 95% confidence interval;1999;1.26;13.22;33.07
351;Total male and female;10000;Total;Leisure;Upper bound 95% confidence interval;2000;1.23;13.18;33.25
352;Total male and female;10000;Total;Leisure;Upper bound 95% confidence interval;2001;1.21;13.29;33.29
353;Total male and female;10000;Total;Leisure;Upper bound 95% confidence interval;2002;1.2;13.44;33.06
354;Total male and female;10000;Total;Leisure;Upper bound 95% confidence interval;2003;1.21;13.41;33.33
355;Total male and female;10000;Total;Leisure;Upper bound 95% confidence interval;2004;1.2;13.74;32.86
356;Total male and female;10000;Total;Leisure;Upper bound 95% confidence interval;2005;1.18;13.67;32.98
357;Total male and female;10000;Total;Leisure;Upper bound 95% confidence interval;2006;1.17;13.46;33.16
358;Total male and female;10000;Total;Leisure;Upper bound 95% confidence interval;2007;1.16;13.44;33.39
359;Total male and female;10000;Total;Leisure;Upper bound 95% confidence interval;2008;1.12;13.28;32.98
360;Total male and female;10000;Total;Leisure;Upper bound 95% confidence interval;2009;1.16;13.31;32.94
361;Total male and female;10000;Total;Leisure;Upper bound 95% confidence interval;2010;1.13;13.13;32.51
362;Total male and female;10000;Total;Leisure;Upper bound 95% confidence interval;2011;1.09;13.51;33.11
363;Total male and female;10000;Total;Leisure;Upper bound 95% confidence interval;2012;1.12;13.38;33.17
364;Total male and female;10000;Total;Leisure;Upper bound 95% confidence interval;2013;1.14;13.55;32.67
365;Total male and female;10000;Total;Leisure;Upper bound 95% confidence interval;2014;1.15;13.61;33.46
366;Total male and female;10000;Total;Leisure;Upper bound 95% confidence interval;2015;1.11;13.68;33.63
367;Total male and female;10000;Total;Leisure;Upper bound 95% confidence interval;2016;1.1;13.65;33.51
368;Total male and female;10000;Total;Leisure;Upper bound 95% confidence interval;2017;1.07;13.8;33.34
369;Total male and female;10000;Total;Leisure;Upper bound 95% confidence interval;2018;1.08;13.73;33.22
370;Total male and female;10000;Total;Leisure;Upper bound 95% confidence interval;2019;1.07;13.82;33.11
371;Total male and female;10000;Total;Leisure;Upper bound 95% confidence interval;2020;0.94;11.28;36.89
372;Total male and female;10000;Total;Leisure;Upper bound 95% confidence interval;2021;1.04;11.77;39.19
373;Total male and female;10000;Total;Leisure;Upper bound 95% confidence interval;2022;1.12;11.79;35.37
374;Total male and female;10000;Total;Leisure;Upper bound 95% confidence interval;2023;1.13;12.18;34.13
375;Total male and female;10000;Total;Other;Value;1999;0.59;13.76;21.22
376;Total male and female;10000;Total;Other;Value;2000;0.58;13.65;20.94
377;Total male and female;10000;Total;Other;Value;2001;0.57;13.48;20.9
378;Total male and female;10000;Total;Other;Value;2002;0.58;13.26;20.61
379;Total male and female;10000;Total;Other;Value;2003;0.58;13.11;20.52
380;Total male and female;10000;Total;Other;Value;2004;0.54;12.67;20.31
381;Total male and female;10000;Total;Other;Value;2005;0.53;12.49;20.22
382;Total male and female;10000;Total;Other;Value;2006;0.55;12.31;20.05
383;Total male and female;10000;Total;Other;Value;2007;0.54;12.11;20.19
384;Total male and female;10000;Total;Other;Value;2008;0.55;11.7;19.75
385;Total male and female;10000;Total;Other;Value;2009;0.55;11.71;19.76
386;Total male and female;10000;Total;Other;Value;2010;0.53;11.91;20.0
387;Total male and female;10000;Total;Other;Value;2011;0.51;12.2;19.96
388;Total male and female;10000;Total;Other;Value;2012;0.51;12.0;19.92
389;Total male and female;10000;Total;Other;Value;2013;0.5;11.77;19.67
390;Total male and female;10000;Total;Other;Value;2014;0.48;11.5;19.53
391;Total male and female;10000;Total;Other;Value;2015;0.45;11.91;19.68
392;Total male and female;10000;Total;Other;Value;2016;0.43;11.89;19.66
393;Total male and female;10000;Total;Other;Value;2017;0.43;11.94;19.63
394;Total male and female;10000;Total;Other;Value;2018;0.45;11.55;19.27
395;Total male and female;10000;Total;Other;Value;2019;0.45;11.87;19.57
396;Total male and female;10000;Total;Other;Value;2020;0.4;10.22;17.72
397;Total male and female;10000;Total;Other;Value;2021;0.44;10.32;18.4
398;Total male and female;10000;Total;Other;Value;2022;0.46;10.18;18.54
399;Total male and female;10000;Total;Other;Value;2023;0.46;10.67;18.86
400;Total male and female;10000;Total;Other;Lower bound 95% confidence interval;1999;0.54;12.38;19.68
401;Total male and female;10000;Total;Other;Lower bound 95% confidence interval;2000;0.54;12.26;19.43
402;Total male and female;10000;Total;Other;Lower bound 95% confidence interval;2001;0.53;12.11;19.39
403;Total male and female;10000;Total;Other;Lower bound 95% confidence interval;2002;0.53;11.99;19.26
404;Total male and female;10000;Total;Other;Lower bound 95% confidence interval;2003;0.54;11.78;19.28
405;Total male and female;10000;Total;Other;Lower bound 95% confidence interval;2004;0.5;11.38;19.01
406;Total male and female;10000;Total;Other;Lower bound 95% confidence interval;2005;0.49;11.24;19.05
407;Total male and female;10000;Total;Other;Lower bound 95% confidence interval;2006;0.51;11.12;18.82
408;Total male and female;10000;Total;Other;Lower bound 95% confidence interval;2007;0.51;10.97;19.09
409;Total male and female;10000;Total;Other;Lower bound 95% confidence interval;2008;0.51;10.6;18.66
410;Total male and female;10000;Total;Other;Lower bound 95% confidence interval;2009;0.51;10.72;18.76
411;Total male and female;10000;Total;Other;Lower bound 95% confidence interval;2010;0.51;11.05;19.18
412;Total male and female;10000;Total;Other;Lower bound 95% confidence interval;2011;0.49;11.34;19.18
413;Total male and female;10000;Total;Other;Lower bound 95% confidence interval;2012;0.48;11.19;19.12
414;Total male and female;10000;Total;Other;Lower bound 95% confidence interval;2013;0.48;11.0;18.99
415;Total male and female;10000;Total;Other;Lower bound 95% confidence interval;2014;0.46;10.7;18.83
416;Total male and female;10000;Total;Other;Lower bound 95% confidence interval;2015;0.43;11.14;19.03
417;Total male and female;10000;Total;Other;Lower bound 95% confidence interval;2016;0.41;11.16;19.05
418;Total male and female;10000;Total;Other;Lower bound 95% confidence interval;2017;0.41;11.3;19.06
419;Total male and female;10000;Total;Other;Lower bound 95% confidence interval;2018;0.44;11.17;18.81
420;Total male and female;10000;Total;Other;Lower bound 95% confidence interval;2019;0.44;11.45;19.09
421;Total male and female;10000;Total;Other;Lower bound 95% confidence interval;2020;0.39;9.82;17.21
422;Total male and female;10000;Total;Other;Lower bound 95% confidence interval;2021;0.43;9.96;17.94
423;Total male and female;10000;Total;Other;Lower bound 95% confidence interval;2022;0.45;9.88;18.2
