ID;ProductsOfActivityAndOtherItems;Periods;TotalSupplyAtBasicPrices_1;DomesticOutput_2;Total_3;ImportsOfGoods_4;ImportsOfServices_5;TotalUseAtPurchaserSPrices_6;IntermediateConsumption_7;Total_8;HouseholdsAndNPISHs_9;GeneralGovernment_10;GrossFixedCapitalFormation_11;ChangesInInventoriesInclValuables_12;Total_13;ExportsOfGoods_14;ExportsOfServices_15;TotalSupplyAtBasicPrices_16;DomesticOutput_17;Total_18;ImportsOfGoods_19;ImportsOfServices_20;TotalUseAtPurchaserSPrices_21;IntermediateConsumption_22;Total_23;HouseholdsAndNPISHs_24;GeneralGovernment_25;GrossFixedCapitalFormation_26;ChangesInInventoriesInclValuables_27;Total_28;ExportsOfGoods_29;ExportsOfServices_30;TotalSupplyAtBasicPrices_31;DomesticOutput_32;Total_33;ImportsOfGoods_34;ImportsOfServices_35;TotalUseAtPurchaserSPrices_36;IntermediateConsumption_37;Total_38;HouseholdsAndNPISHs_39;GeneralGovernment_40;GrossFixedCapitalFormation_41;ChangesInInventoriesInclValuables_42;Total_43;ExportsOfGoods_44;ExportsOfServices_45;TotalSupplyAtBasicPrices_46;DomesticOutput_47;Total_48;ImportsOfGoods_49;ImportsOfServices_50;TotalUseAtPurchaserSPrices_51;IntermediateConsumption_52;Total_53;HouseholdsAndNPISHs_54;GeneralGovernment_55;GrossFixedCapitalFormation_56;ChangesInInventoriesInclValuables_57;Total_58;ExportsOfGoods_59;ExportsOfServices_60
10;011-013 Crops and planting material;2022;42700;18951;23749;23749;0;56125;18621;8914;8914;0;199;693;27698;27698;0;38034.0;17546.0;20488.0;20488.0;;50764.0;15035.0;8447.0;8447.0;;196.0;;26362.0;26362.0;;-2.8;-4.2;-1.7;-1.7;;-2.4;-2.5;1.7;1.7;;6.5;;-4.1;-4.1;;112.3;108.0;115.9;115.9;;110.6;123.9;105.5;105.5;;101.5;;105.1;105.1;
11;011-013 Crops and planting material;2023;43366;19994;23372;23372;0;57507;18499;9532;9532;0;183;293;29000;29000;0;37921.0;16985.0;20901.0;20901.0;;50621.0;15119.0;8455.0;8455.0;;175.0;;26305.0;26305.0;;-0.3;-3.2;2.0;2.0;;-0.3;0.6;0.1;0.1;;-10.6;;-0.2;-0.2;;114.4;117.7;111.8;111.8;;113.6;122.4;112.7;112.7;;104.4;;110.2;110.2;
12;014 Live animals and animal products;2021;14657;11799;2858;2858;0;15700;12455;640;640;0;132;-38;2511;2511;0;14657.0;11799.0;2858.0;2858.0;0.0;15700.0;12455.0;640.0;640.0;0.0;132.0;;2511.0;2511.0;0.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;100.0;;100.0;100.0;100.0;100.0;;100.0;;100.0;100.0;
13;014 Live animals and animal products;2022;19377;15895;3482;3482;0;20434;16630;728;728;0;168;32;2876;2876;0;14270.0;11653.0;2617.0;2617.0;;15276.0;12170.0;648.0;648.0;;169.0;;2258.0;2258.0;;-2.6;-1.2;-8.4;-8.4;;-2.7;-2.3;1.3;1.3;;28.0;;-10.1;-10.1;;135.8;136.4;133.1;133.1;;133.8;136.6;112.3;112.3;;99.4;;127.4;127.4;
14;014 Live animals and animal products;2023;18803;15325;3478;3478;0;19902;15701;781;781;0;172;-32;3280;3280;0;14281.0;11602.0;2681.0;2681.0;;15267.0;12119.0;628.0;628.0;;179.0;;2316.0;2316.0;;0.1;-0.4;2.4;2.4;;-0.1;-0.4;-3.2;-3.2;;6.0;;2.6;2.6;;131.7;132.1;129.7;129.7;;130.4;129.6;124.5;124.5;;96.1;;141.6;141.6;
15;016 Agricultural and animal husbandry..;2021;3196;3196;0;0;0;3206;3190;0;0;0;0;0;16;0;16;3196.0;3196.0;0.0;0.0;0.0;3206.0;3190.0;0.0;0.0;0.0;0.0;;16.0;0.0;16.0;;;;;;;;;;;;;;;;100.0;100.0;;;;100.0;100.0;;;;;;100.0;;100.0
16;016 Agricultural and animal husbandry..;2022;3244;3244;0;0;0;3256;3236;0;0;0;0;0;20;0;20;3064.0;3064.0;;;;3070.0;3050.0;;;;;;20.0;;20.0;-4.1;-4.1;;;;-4.2;-4.4;;;;;;25.0;;25.0;105.9;105.9;;;;106.1;106.1;;;;;;100.0;;100.0
17;016 Agricultural and animal husbandry..;2023;3347;3347;0;0;0;3362;3348;0;0;0;0;0;14;0;14;3003.0;3003.0;;;;3005.0;2990.0;;;;;;15.0;;15.0;-2.0;-2.0;;;;-2.1;-2.0;;;;;;-25.0;;-25.0;111.5;111.5;;;;111.9;112.0;;;;;;93.3;;93.3
18;02 Products of forestry, logging and..;2021;930;265;665;665;0;1050;192;29;29;0;0;5;824;824;0;930.0;265.0;665.0;665.0;0.0;1050.0;192.0;29.0;29.0;0.0;0.0;;824.0;824.0;0.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;100.0;;100.0;100.0;100.0;100.0;;;;100.0;100.0;
19;02 Products of forestry, logging and..;2022;874;343;531;531;0;975;253;33;33;0;0;0;689;689;0;669.0;258.0;411.0;411.0;;761.0;201.0;31.0;31.0;;;;529.0;529.0;;-28.1;-2.6;-38.2;-38.2;;-27.5;4.7;6.9;6.9;;;;-35.8;-35.8;;130.6;132.9;129.2;129.2;;128.1;125.9;106.5;106.5;;;;130.2;130.2;
20;02 Products of forestry, logging and..;2023;775;326;449;449;0;867;269;33;33;0;0;5;560;560;0;612.0;247.0;365.0;365.0;;696.0;211.0;31.0;31.0;;;;452.0;452.0;;-8.6;-4.4;-11.3;-11.3;;-8.5;5.1;0.0;0.0;;;;-14.5;-14.5;;126.7;132.1;123.2;123.2;;124.5;127.3;106.5;106.5;;;;123.8;123.8;
21;03 Fish and other fishing products..;2021;1184;314;870;870;0;1586;446;193;193;0;0;10;937;937;0;1184.0;314.0;870.0;870.0;0.0;1586.0;446.0;193.0;193.0;0.0;0.0;;937.0;937.0;0.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;100.0;;100.0;100.0;100.0;100.0;;;;100.0;100.0;
22;03 Fish and other fishing products..;2022;1129;329;800;800;0;1479;381;200;200;0;0;-8;906;906;0;931.0;269.0;662.0;662.0;;1266.0;323.0;177.0;177.0;;;;771.0;771.0;;-21.4;-14.3;-23.9;-23.9;;-20.2;-27.6;-8.3;-8.3;;;;-17.7;-17.7;;121.3;122.3;120.8;120.8;;116.8;118.0;113.0;113.0;;;;117.5;117.5;
23;03 Fish and other fishing products..;2023;1027;210;817;817;0;1368;328;207;207;0;0;-3;836;836;0;933.0;193.0;741.0;741.0;;1267.0;298.0;171.0;171.0;;;;795.0;795.0;;0.3;-28.3;12.0;12.0;;0.1;-7.6;-3.5;-3.5;;;;3.1;3.1;;110.0;108.8;110.2;110.2;;108.0;109.9;121.2;121.2;;;;105.2;105.2;
24;B-E Mining, manufacturing products..;2021;903946;420051;483895;474465;9430;1115454;360747;174426;164290;10136;45171;12493;522617;509994;12623;903946.0;420051.0;483895.0;474465.0;9430.0;1115454.0;360747.0;174426.0;164290.0;10136.0;45171.0;;522617.0;509994.0;12623.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;;100.0;100.0;100.0
25;B-E Mining, manufacturing products..;2022;1187759;541765;645994;635082;10912;1414981;476659;191875;180913;10962;52202;22644;671601;653510;18091;936853.0;434121.0;502732.0;492356.0;10376.0;1152073.0;371947.0;174830.0;164392.0;10438.0;48020.0;;540172.0;523150.0;17022.0;3.6;3.3;3.9;3.8;10.0;3.3;3.1;0.2;0.1;3.0;6.3;;3.4;2.6;34.8;126.8;124.8;128.5;129.0;105.2;122.8;128.2;109.7;110.0;105.0;108.7;;124.3;124.9;106.3
26;B-E Mining, manufacturing products..;2023;1120544;527535;593009;581930;11079;1350808;451764;203437;191551;11886;55708;-1738;641637;622865;18772;910249.0;422078.0;488179.0;478039.0;10154.0;1122952.0;367608.0;173026.0;162005.0;11054.0;49384.0;;534553.0;517742.0;16806.0;-2.8;-2.8;-2.9;-2.9;-2.1;-2.5;-1.2;-1.0;-1.5;5.9;2.8;;-1.0;-1.0;-1.3;123.1;125.0;121.5;121.7;109.1;120.3;122.9;117.6;118.2;107.5;112.8;;120.0;120.3;111.7
27;B Mining and quarrying;2021;68731;11795;56936;56031;905;79137;42363;7709;7670;39;105;-810;29770;27849;1921;68731.0;11795.0;56936.0;56031.0;905.0;79137.0;42363.0;7709.0;7670.0;39.0;105.0;;29770.0;27849.0;1921.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;;100.0;100.0;100.0
28;B Mining and quarrying;2022;149888;23813;126075;124912;1163;158986;73755;9668;9624;44;109;6385;69069;66499;2570;70090.0;10757.0;59333.0;58324.0;1009.0;78938.0;40968.0;6028.0;5989.0;39.0;95.0;;29869.0;27645.0;2224.0;2.0;-8.8;4.2;4.1;11.5;-0.3;-3.3;-21.8;-21.9;0.0;-9.5;;0.3;-0.7;15.8;213.9;221.4;212.5;214.2;115.3;201.4;180.0;160.4;160.7;112.8;114.7;;231.2;240.5;115.6
29;B Mining and quarrying;2023;118351;17112;101239;100155;1084;124231;61703;9090;9042;48;106;-357;53689;50891;2798;66696.0;8001.0;58788.0;57833.0;918.0;75090.0;40916.0;5625.0;5577.0;53.0;90.0;;29024.0;26766.0;2364.0;-4.8;-25.6;-0.9;-0.8;-9.0;-4.9;-0.1;-6.7;-6.9;36.4;-5.5;;-2.8;-3.2;6.3;177.4;213.9;172.2;173.2;118.1;165.4;150.8;161.6;162.1;90.3;118.1;;185.0;190.1;118.3
30;05 Coal and lignite;2021;1840;0;1840;1840;0;1939;1174;0;0;0;0;313;452;452;0;1840.0;0.0;1840.0;1840.0;0.0;1939.0;1174.0;0.0;0.0;0.0;0.0;;452.0;452.0;0.0;;;;;;;;;;;;;;;;100.0;;100.0;100.0;;100.0;100.0;;;;;;100.0;100.0;
31;05 Coal and lignite;2022;4692;0;4692;4692;0;4825;3119;0;0;0;0;110;1596;1596;0;1819.0;;1819.0;1819.0;;1931.0;1196.0;;;;;;613.0;613.0;;-1.1;;-1.1;-1.1;;-0.4;1.9;;;;;;35.6;35.6;;257.9;;257.9;257.9;;249.9;260.8;;;;;;260.4;260.4;
32;05 Coal and lignite;2023;2180;0;2180;2180;0;2247;1376;0;0;0;0;48;823;823;0;1421.0;;1421.0;1421.0;;1510.0;885.0;;;;;;554.0;554.0;;-21.9;;-21.9;-21.9;;-21.8;-26.0;;;;;;-9.6;-9.6;;153.4;;153.4;153.4;;148.8;155.4;;;;;;148.6;148.6;
33;06 Crude petroleum and natural gas;2021;57444;7404;50040;50040;0;66115;35035;7571;7532;39;0;-1367;24876;24876;0;57444.0;7404.0;50040.0;50040.0;0.0;66115.0;35035.0;7571.0;7532.0;39.0;0.0;;24876.0;24876.0;0.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;100.0;;100.0;100.0;100.0;100.0;100.0;;;100.0;100.0;
34;06 Crude petroleum and natural gas;2022;134520;18387;116133;116133;0;141865;63659;9524;9480;44;0;6149;62533;62533;0;58814.0;6200.0;52614.0;52614.0;;66039.0;33089.0;5889.0;5850.0;39.0;;;25347.0;25347.0;;2.4;-16.3;5.1;5.1;;-0.1;-5.6;-22.2;-22.3;0.0;;;1.9;1.9;;228.7;296.6;220.7;220.7;;214.8;192.4;161.7;162.1;112.8;;;246.7;246.7;
35;06 Crude petroleum and natural gas;2023;105460;11536;93924;93924;0;109684;53237;8942;8894;48;0;-33;47538;47538;0;56371.0;4169.0;52812.0;52812.0;;63282.0;33679.0;5491.0;5443.0;53.0;;;24574.0;24574.0;;-4.2;-32.8;0.4;0.4;;-4.2;1.8;-6.8;-7.0;36.4;;;-3.1;-3.1;;187.1;276.7;177.8;177.8;;173.3;158.1;162.8;163.4;90.3;;;193.5;193.5;
36;07 Metal ores;2021;2646;35;2611;2611;0;2669;1483;0;0;0;0;207;979;979;0;2646.0;35.0;2611.0;2611.0;0.0;2669.0;1483.0;0.0;0.0;0.0;0.0;;979.0;979.0;0.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;100.0;;100.0;100.0;;;;;;100.0;100.0;
37;07 Metal ores;2022;2343;31;2312;2312;0;2364;1488;0;0;0;0;42;834;834;0;2521.0;30.0;2491.0;2491.0;;2539.0;1884.0;;;;;;595.0;595.0;;-4.7;-14.3;-4.6;-4.6;;-4.9;27.0;;;;;;-39.2;-39.2;;92.9;103.3;92.8;92.8;;93.1;79.0;;;;;;140.2;140.2;
38;07 Metal ores;2023;2522;35;2487;2487;0;2543;1567;0;0;0;0;-220;1196;1196;0;2403.0;29.0;2374.0;2374.0;;2421.0;1760.0;;;;;;755.0;755.0;;-4.7;-3.2;-4.7;-4.7;;-4.7;-6.6;;;;;;26.9;26.9;;105.0;120.6;104.8;104.8;;105.0;89.0;;;;;;158.5;158.5;
39;08 Other mining and quarrying products;2021;3581;2041;1540;1540;0;5194;3470;138;138;0;0;44;1542;1542;0;3581.0;2041.0;1540.0;1540.0;0.0;5194.0;3470.0;138.0;138.0;0.0;0.0;;1542.0;1542.0;0.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;100.0;;100.0;100.0;100.0;100.0;;;;100.0;100.0;
40;08 Other mining and quarrying products;2022;3921;2146;1775;1775;0;5520;3759;144;144;0;0;81;1536;1536;0;3124.0;1724.0;1400.0;1400.0;;4617.0;3309.0;139.0;139.0;;;;1090.0;1090.0;;-12.8;-15.5;-9.1;-9.1;;-11.1;-4.6;0.7;0.7;;;;-29.3;-29.3;;125.5;124.5;126.8;126.8;;119.6;113.6;103.6;103.6;;;;140.9;140.9;
41;08 Other mining and quarrying products;2023;3639;2075;1564;1564;0;5207;3877;148;148;0;0;-152;1334;1334;0;2676.0;1555.0;1122.0;1122.0;;4034.0;3136.0;136.0;136.0;;;;893.0;893.0;;-14.3;-9.8;-19.8;-19.8;;-12.6;-5.2;-2.1;-2.1;;;;-18.0;-18.0;;136.0;133.4;139.3;139.3;;129.1;123.6;108.7;108.7;;;;149.3;149.3;
42;09 Mining support services;2021;3220;2315;905;0;905;3220;1201;0;0;0;105;-7;1921;0;1921;3220.0;2315.0;905.0;0.0;905.0;3220.0;1201.0;0.0;0.0;0.0;105.0;;1921.0;0.0;1921.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;;100.0;100.0;100.0;;;;100.0;;100.0;;100.0
43;09 Mining support services;2022;4412;3249;1163;0;1163;4412;1730;0;0;0;109;3;2570;0;2570;3812.0;2803.0;1009.0;;1009.0;3812.0;1490.0;;;;95.0;;2224.0;;2224.0;18.4;21.1;11.5;;11.5;18.4;24.1;;;;-9.5;;15.8;;15.8;115.7;115.9;115.3;;115.3;115.7;116.1;;;;114.7;;115.6;;115.6
44;09 Mining support services;2023;4550;3466;1084;0;1084;4550;1646;0;0;0;106;0;2798;0;2798;3837.0;2919.0;918.0;;918.0;3837.0;1383.0;;;;90.0;;2364.0;;2364.0;0.7;4.1;-9.0;;-9.0;0.7;-7.2;;;;-5.5;;6.3;;6.3;118.6;118.8;118.1;;118.1;118.6;119.0;;;;118.1;;118.3;;118.3
45;C Manufacturing;2021;792201;371299;420902;412730;8172;986835;292741;151271;145154;6117;44858;13238;484727;474427;10300;792201.0;371299.0;420902.0;412730.0;8172.0;986835.0;292741.0;151271.0;145154.0;6117.0;44858.0;;484727.0;474427.0;10300.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;;100.0;100.0;100.0
46;C Manufacturing;2022;975177;463076;512101;502730;9371;1186242;361835;164840;158197;6643;51697;16318;591552;576480;15072;823369.0;385431.0;437938.0;428942.0;8996.0;1023126.0;303955.0;153031.0;146790.0;6241.0;47757.0;;503215.0;488856.0;14359.0;3.9;3.8;4.0;3.9;10.1;3.7;3.8;1.2;1.1;2.0;6.5;;3.8;3.0;39.4;118.4;120.1;116.9;117.2;104.2;115.9;119.0;107.7;107.8;106.4;108.3;;117.6;117.9;105.0
47;C Manufacturing;2023;938957;454242;484715;475137;9578;1157249;351009;173862;166638;7224;55260;-1387;578505;562933;15572;802322.0;378902.0;423329.0;414498.0;8848.0;1000461.0;300510.0;151935.0;145172.0;6770.0;49130.0;;499173.0;485103.0;14048.0;-2.6;-1.7;-3.3;-3.4;-1.6;-2.2;-1.1;-0.7;-1.1;8.5;2.9;;-0.8;-0.8;-2.2;117.0;119.9;114.5;114.6;108.2;115.7;116.8;114.4;114.8;106.7;112.5;;115.9;116.0;110.8
48;10-12 Food, beverages and tobacco;2021;136706;85425;51281;50060;1221;182255;48212;52712;52712;0;0;1104;80227;79388;839;136706.0;85425.0;51281.0;50060.0;1221.0;182255.0;48212.0;52712.0;52712.0;0.0;0.0;;80227.0;79388.0;839.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;;;;100.0;100.0;100.0
49;10-12 Food, beverages and tobacco;2022;174459;110578;63881;62185;1696;223438;66836;56703;56703;0;0;1239;98660;97494;1166;142280.0;89663.0;52617.0;50968.0;1649.0;188916.0;54084.0;52285.0;52285.0;;;;81439.0;80300.0;1139.0;4.1;5.0;2.6;1.8;35.1;3.7;12.2;-0.8;-0.8;;;;1.5;1.1;35.8;122.6;123.3;121.4;122.0;102.9;118.3;123.6;108.4;108.4;;;;121.1;121.4;102.4
50;10-12 Food, beverages and tobacco;2023;178319;114710;63609;61857;1752;228614;67456;61128;61128;0;0;1307;98723;97598;1125;137372.0;87653.0;49702.0;48192.0;1501.0;182629.0;53183.0;50833.0;50833.0;;;;77639.0;76644.0;978.0;-3.4;-2.2;-5.5;-5.4;-9.0;-3.3;-1.7;-2.8;-2.8;;;;-4.7;-4.6;-14.2;129.8;130.9;128.0;128.4;116.7;125.2;126.8;120.3;120.3;;;;127.2;127.3;115.1
51;10 Food products;2021;121203;76490;44713;43582;1131;154245;43443;39190;39190;0;0;748;70864;70148;716;121203.0;76490.0;44713.0;43582.0;1131.0;154245.0;43443.0;39190.0;39190.0;0.0;0.0;;70864.0;70148.0;716.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;;;;100.0;100.0;100.0
52;10 Food products;2022;156961;100292;56669;55074;1595;193058;61079;43049;43049;0;0;961;87969;87012;957;126649.0;80516.0;46133.0;44582.0;1551.0;160744.0;49021.0;38927.0;38927.0;;;;71972.0;71038.0;934.0;4.5;5.3;3.2;2.3;37.1;4.2;12.8;-0.7;-0.7;;;;1.6;1.3;30.4;123.9;124.6;122.8;123.5;102.8;120.1;124.6;110.6;110.6;;;;122.2;122.5;102.5
53;10 Food products;2023;159852;103778;56074;54427;1647;196707;61155;46458;46458;0;0;1287;87807;86864;943;122241.0;78759.0;43468.0;42055.0;1403.0;155113.0;48062.0;37608.0;37608.0;;;;68537.0;67722.0;800.0;-3.5;-2.2;-5.8;-5.7;-9.5;-3.5;-2.0;-3.4;-3.4;;;;-4.8;-4.7;-14.3;130.8;131.8;129.0;129.4;117.4;126.8;127.2;123.5;123.5;;;;128.1;128.3;117.8
54;101-102 Fish and meat;2021;22075;13944;8131;8131;0;30147;5678;9323;9323;0;0;131;15015;15015;0;22075.0;13944.0;8131.0;8131.0;0.0;30147.0;5678.0;9323.0;9323.0;0.0;0.0;;15015.0;15015.0;0.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;100.0;;100.0;100.0;100.0;100.0;;;;100.0;100.0;
55;101-102 Fish and meat;2022;27141;16607;10534;10534;0;35621;7496;9978;9978;0;0;215;17932;17932;0;21749.0;13535.0;8214.0;8214.0;;29627.0;5929.0;8853.0;8853.0;;;;14664.0;14664.0;;-1.5;-2.9;1.0;1.0;;-1.7;4.4;-5.0;-5.0;;;;-2.3;-2.3;;124.8;122.7;128.2;128.2;;120.2;126.4;112.7;112.7;;;;122.3;122.3;
56;101-102 Fish and meat;2023;27890;17552;10338;10338;0;36450;7877;10663;10663;0;0;39;17871;17871;0;20999.0;12841.0;8148.0;8148.0;;28683.0;5849.0;8701.0;8701.0;;;;14094.0;14094.0;;-3.4;-5.1;-0.8;-0.8;;-3.2;-1.3;-1.7;-1.7;;;;-3.9;-3.9;;132.8;136.7;126.9;126.9;;127.1;134.7;122.5;122.5;;;;126.8;126.8;
57;103 Processed and preserved fruit..;2021;9257;5614;3643;3643;0;12921;1617;4676;4676;0;0;135;6493;6493;0;9257.0;5614.0;3643.0;3643.0;0.0;12921.0;1617.0;4676.0;4676.0;0.0;0.0;;6493.0;6493.0;0.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;100.0;;100.0;100.0;100.0;100.0;;;;100.0;100.0;
58;103 Processed and preserved fruit..;2022;11046;6706;4340;4340;0;15059;2164;5023;5023;0;0;98;7774;7774;0;9556.0;5777.0;3779.0;3779.0;;13330.0;1933.0;4658.0;4658.0;;;;6645.0;6645.0;;3.2;2.9;3.7;3.7;;3.2;19.5;-0.4;-0.4;;;;2.3;2.3;;115.6;116.1;114.8;114.8;;113.0;112.0;107.8;107.8;;;;117.0;117.0;
59;103 Processed and preserved fruit..;2023;12795;8202;4593;4593;0;17047;2454;5401;5401;0;0;-79;9271;9271;0;9355.0;5749.0;3606.0;3606.0;;13032.0;1979.0;4468.0;4468.0;;;;6625.0;6625.0;;-2.1;-0.5;-4.6;-4.6;;-2.2;2.4;-4.1;-4.1;;;;-0.3;-0.3;;136.8;142.7;127.4;127.4;;130.8;124.0;120.9;120.9;;;;139.9;139.9;
60;104 Vegetable and animal oils and fats;2021;15143;6995;8148;8148;0;17283;8197;901;901;0;0;-47;8232;8232;0;15143.0;6995.0;8148.0;8148.0;0.0;17283.0;8197.0;901.0;901.0;0.0;0.0;;8232.0;8232.0;0.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;100.0;;100.0;100.0;100.0;100.0;;;;100.0;100.0;
