ID;Geslacht;LeeftijdOp31December;Perioden;Overledenen_1
277;Totaal mannen en vrouwen;Totaal leeftijd;1976 week 8;2461
278;Totaal mannen en vrouwen;Totaal leeftijd;1976 week 9;2246
279;Totaal mannen en vrouwen;Totaal leeftijd;1976 week 10;2314
280;Totaal mannen en vrouwen;Totaal leeftijd;1976 week 11;2495
281;Totaal mannen en vrouwen;Totaal leeftijd;1976 week 12;2740
282;Totaal mannen en vrouwen;Totaal leeftijd;1976 week 13;3006
283;Totaal mannen en vrouwen;Totaal leeftijd;1976 week 14;2848
284;Totaal mannen en vrouwen;Totaal leeftijd;1976 week 15;2592
285;Totaal mannen en vrouwen;Totaal leeftijd;1976 week 16;2339
286;Totaal mannen en vrouwen;Totaal leeftijd;1976 week 17;2247
287;Totaal mannen en vrouwen;Totaal leeftijd;1976 week 18;2058
288;Totaal mannen en vrouwen;Totaal leeftijd;1976 week 19;2248
289;Totaal mannen en vrouwen;Totaal leeftijd;1976 week 20;2118
290;Totaal mannen en vrouwen;Totaal leeftijd;1976 week 21;2014
291;Totaal mannen en vrouwen;Totaal leeftijd;1976 week 22;2008
292;Totaal mannen en vrouwen;Totaal leeftijd;1976 week 23;2007
293;Totaal mannen en vrouwen;Totaal leeftijd;1976 week 24;2222
294;Totaal mannen en vrouwen;Totaal leeftijd;1976 week 25;2064
295;Totaal mannen en vrouwen;Totaal leeftijd;1976 week 26;2415
296;Totaal mannen en vrouwen;Totaal leeftijd;1976 week 27;2672
297;Totaal mannen en vrouwen;Totaal leeftijd;1976 week 28;2361
298;Totaal mannen en vrouwen;Totaal leeftijd;1976 week 29;1987
299;Totaal mannen en vrouwen;Totaal leeftijd;1976 week 30;1833
300;Totaal mannen en vrouwen;Totaal leeftijd;1976 week 31;1912
301;Totaal mannen en vrouwen;Totaal leeftijd;1976 week 32;1913
302;Totaal mannen en vrouwen;Totaal leeftijd;1976 week 33;2098
303;Totaal mannen en vrouwen;Totaal leeftijd;1976 week 34;1923
304;Totaal mannen en vrouwen;Totaal leeftijd;1976 week 35;2007
305;Totaal mannen en vrouwen;Totaal leeftijd;1976 week 36;1816
306;Totaal mannen en vrouwen;Totaal leeftijd;1976 week 37;1900
307;Totaal mannen en vrouwen;Totaal leeftijd;1976 week 38;1973
308;Totaal mannen en vrouwen;Totaal leeftijd;1976 week 39;1997
309;Totaal mannen en vrouwen;Totaal leeftijd;1976 week 40;2058
310;Totaal mannen en vrouwen;Totaal leeftijd;1976 week 41;1970
311;Totaal mannen en vrouwen;Totaal leeftijd;1976 week 42;2010
312;Totaal mannen en vrouwen;Totaal leeftijd;1976 week 43;2095
313;Totaal mannen en vrouwen;Totaal leeftijd;1976 week 44;2061
314;Totaal mannen en vrouwen;Totaal leeftijd;1976 week 45;2114
315;Totaal mannen en vrouwen;Totaal leeftijd;1976 week 46;2161
316;Totaal mannen en vrouwen;Totaal leeftijd;1976 week 47;2121
317;Totaal mannen en vrouwen;Totaal leeftijd;1976 week 48;2040
318;Totaal mannen en vrouwen;Totaal leeftijd;1976 week 49;2184
319;Totaal mannen en vrouwen;Totaal leeftijd;1976 week 50;2214
320;Totaal mannen en vrouwen;Totaal leeftijd;1976 week 51;2140
321;Totaal mannen en vrouwen;Totaal leeftijd;1976 week 52;2192
322;Totaal mannen en vrouwen;Totaal leeftijd;1976 week 53 (5 dagen);1644
323;Totaal mannen en vrouwen;Totaal leeftijd;1976;114454
324;Totaal mannen en vrouwen;Totaal leeftijd;1977 week 0 (2 dagen);659
325;Totaal mannen en vrouwen;Totaal leeftijd;1977 week 1;2198
326;Totaal mannen en vrouwen;Totaal leeftijd;1977 week 2;2222
327;Totaal mannen en vrouwen;Totaal leeftijd;1977 week 3;2236
328;Totaal mannen en vrouwen;Totaal leeftijd;1977 week 4;2145
329;Totaal mannen en vrouwen;Totaal leeftijd;1977 week 5;2207
330;Totaal mannen en vrouwen;Totaal leeftijd;1977 week 6;2162
331;Totaal mannen en vrouwen;Totaal leeftijd;1977 week 7;2127
332;Totaal mannen en vrouwen;Totaal leeftijd;1977 week 8;2193
