ID;TypeOfAccommodation;CountryOfResidence;Regions;Periods;Guests_1;OvernightStays_2
6349;Total overnight accommodation;The Netherlands;Groningen (PV);2018 1st quarter;108;187
6350;Total overnight accommodation;The Netherlands;Groningen (PV);2018 April;54;100
6351;Total overnight accommodation;The Netherlands;Groningen (PV);2018 May;64;141
6352;Total overnight accommodation;The Netherlands;Groningen (PV);2018 June;60;129
6353;Total overnight accommodation;The Netherlands;Groningen (PV);2018 2nd quarter;178;369
6354;Total overnight accommodation;The Netherlands;Groningen (PV);2018 July;58;148
6355;Total overnight accommodation;The Netherlands;Groningen (PV);2018 August;80;214
6356;Total overnight accommodation;The Netherlands;Groningen (PV);2018 September;55;123
6357;Total overnight accommodation;The Netherlands;Groningen (PV);2018 3rd quarter;193;484
6358;Total overnight accommodation;The Netherlands;Groningen (PV);2018 October;59;119
6359;Total overnight accommodation;The Netherlands;Groningen (PV);2018 November;39;70
6360;Total overnight accommodation;The Netherlands;Groningen (PV);2018 December;39;72
6361;Total overnight accommodation;The Netherlands;Groningen (PV);2018 4th quarter;137;262
6362;Total overnight accommodation;The Netherlands;Groningen (PV);2018;617;1302
6363;Total overnight accommodation;The Netherlands;Groningen (PV);2019 January;35;61
6364;Total overnight accommodation;The Netherlands;Groningen (PV);2019 February;34;60
6365;Total overnight accommodation;The Netherlands;Groningen (PV);2019 March;38;64
6366;Total overnight accommodation;The Netherlands;Groningen (PV);2019 1st quarter;107;184
6367;Total overnight accommodation;The Netherlands;Groningen (PV);2019 April;47;101
6368;Total overnight accommodation;The Netherlands;Groningen (PV);2019 May;57;114
6369;Total overnight accommodation;The Netherlands;Groningen (PV);2019 June;57;132
6370;Total overnight accommodation;The Netherlands;Groningen (PV);2019 2nd quarter;162;347
6371;Total overnight accommodation;The Netherlands;Groningen (PV);2019 July;59;146
6372;Total overnight accommodation;The Netherlands;Groningen (PV);2019 August;56;173
6373;Total overnight accommodation;The Netherlands;Groningen (PV);2019 September;49;110
6374;Total overnight accommodation;The Netherlands;Groningen (PV);2019 3rd quarter;164;429
6375;Total overnight accommodation;The Netherlands;Groningen (PV);2019 October;47;98
6376;Total overnight accommodation;The Netherlands;Groningen (PV);2019 November;37;68
6377;Total overnight accommodation;The Netherlands;Groningen (PV);2019 December;42;79
6378;Total overnight accommodation;The Netherlands;Groningen (PV);2019 4th quarter;126;245
6379;Total overnight accommodation;The Netherlands;Groningen (PV);2019;558;1206
6380;Total overnight accommodation;The Netherlands;Groningen (PV);2020 January;38;68
6381;Total overnight accommodation;The Netherlands;Groningen (PV);2020 February;36;65
6382;Total overnight accommodation;The Netherlands;Groningen (PV);2020 March;20;44
6383;Total overnight accommodation;The Netherlands;Groningen (PV);2020 1st quarter;94;178
6384;Total overnight accommodation;The Netherlands;Groningen (PV);2020 April;11;30
6385;Total overnight accommodation;The Netherlands;Groningen (PV);2020 May;20;59
6386;Total overnight accommodation;The Netherlands;Groningen (PV);2020 June;41;116
6387;Total overnight accommodation;The Netherlands;Groningen (PV);2020 2nd quarter;71;205
6388;Total overnight accommodation;The Netherlands;Groningen (PV);2020 July;80;284
6389;Total overnight accommodation;The Netherlands;Groningen (PV);2020 August;87;314
6390;Total overnight accommodation;The Netherlands;Groningen (PV);2020 September;59;156
6391;Total overnight accommodation;The Netherlands;Groningen (PV);2020 3rd quarter;225;753
6392;Total overnight accommodation;The Netherlands;Groningen (PV);2020 October;32;86
6393;Total overnight accommodation;The Netherlands;Groningen (PV);2020 November;26;54
6394;Total overnight accommodation;The Netherlands;Groningen (PV);2020 December;20;49
6395;Total overnight accommodation;The Netherlands;Groningen (PV);2020 4th quarter;79;190
6396;Total overnight accommodation;The Netherlands;Groningen (PV);2020;469;1326
6397;Total overnight accommodation;The Netherlands;Groningen (PV);2021 January;10;28
6398;Total overnight accommodation;The Netherlands;Groningen (PV);2021 February;14;34
6399;Total overnight accommodation;The Netherlands;Groningen (PV);2021 March;17;46
6400;Total overnight accommodation;The Netherlands;Groningen (PV);2021 1th quarter;41;109
6401;Total overnight accommodation;The Netherlands;Groningen (PV);2021 April;25;72
6402;Total overnight accommodation;The Netherlands;Groningen (PV);2021 May;46;134
6403;Total overnight accommodation;The Netherlands;Groningen (PV);2021 June;54;158
6404;Total overnight accommodation;The Netherlands;Groningen (PV);2021 2nd quarter;125;364
6405;Total overnight accommodation;The Netherlands;Groningen (PV);2021 July;65;210
6406;Total overnight accommodation;The Netherlands;Groningen (PV);2021 August;80;284
6407;Total overnight accommodation;The Netherlands;Groningen (PV);2021 September;54;139
6408;Total overnight accommodation;The Netherlands;Groningen (PV);2021 3rd quarter;199;632
6409;Total overnight accommodation;The Netherlands;Groningen (PV);2021 October;46;106
6410;Total overnight accommodation;The Netherlands;Groningen (PV);2021 November;32;69
6411;Total overnight accommodation;The Netherlands;Groningen (PV);2021 December;20;46
6412;Total overnight accommodation;The Netherlands;Groningen (PV);2021 4th quarter;99;221
6413;Total overnight accommodation;The Netherlands;Groningen (PV);2021;463;1327
6414;Total overnight accommodation;The Netherlands;Groningen (PV);2022 January;19;45
6415;Total overnight accommodation;The Netherlands;Groningen (PV);2022 February;24;49
6416;Total overnight accommodation;The Netherlands;Groningen (PV);2022 March;35;69
6417;Total overnight accommodation;The Netherlands;Groningen (PV);2022 1th quarter;78;164
6418;Total overnight accommodation;The Netherlands;Groningen (PV);2022 April;47;105
6419;Total overnight accommodation;The Netherlands;Groningen (PV);2022 May;60;145
6420;Total overnight accommodation;The Netherlands;Groningen (PV);2022 June;70;162
6421;Total overnight accommodation;The Netherlands;Groningen (PV);2022 2nd quarter;176;412
6422;Total overnight accommodation;The Netherlands;Groningen (PV);2022 July;60;182
6423;Total overnight accommodation;The Netherlands;Groningen (PV);2022 August;74;254
6424;Total overnight accommodation;The Netherlands;Groningen (PV);2022 September;55;145
6425;Total overnight accommodation;The Netherlands;Groningen (PV);2022 3rd quarter;188;581
6426;Total overnight accommodation;The Netherlands;Groningen (PV);2022 October;54;120
6427;Total overnight accommodation;The Netherlands;Groningen (PV);2022 November;38;76
6428;Total overnight accommodation;The Netherlands;Groningen (PV);2022 December;37;72
6429;Total overnight accommodation;The Netherlands;Groningen (PV);2022 4th quarter;129;268
6430;Total overnight accommodation;The Netherlands;Groningen (PV);2022;571;1425
6431;Total overnight accommodation;The Netherlands;Groningen (PV);2023 January;30;57
6432;Total overnight accommodation;The Netherlands;Groningen (PV);2023 February;37;66
6433;Total overnight accommodation;The Netherlands;Groningen (PV);2023 March;44;78
6434;Total overnight accommodation;The Netherlands;Groningen (PV);2023 1st quarter;111;201
6435;Total overnight accommodation;The Netherlands;Groningen (PV);2023 April;47;84
6436;Total overnight accommodation;The Netherlands;Groningen (PV);2023 May;55;120
6437;Total overnight accommodation;The Netherlands;Groningen (PV);2023 June;55;125
6438;Total overnight accommodation;The Netherlands;Groningen (PV);2023 2nd quarter;157;329
6439;Total overnight accommodation;The Netherlands;Groningen (PV);2023 July;56;151
6440;Total overnight accommodation;The Netherlands;Groningen (PV);2023 August;61;201
6441;Total overnight accommodation;The Netherlands;Groningen (PV);2023 September;53;116
6442;Total overnight accommodation;The Netherlands;Groningen (PV);2023 3rd quarter;170;469
6443;Total overnight accommodation;The Netherlands;Groningen (PV);2023 October;44;94
6444;Total overnight accommodation;The Netherlands;Groningen (PV);2023 November;40;71
6445;Total overnight accommodation;The Netherlands;Groningen (PV);2023 December;35;66
6446;Total overnight accommodation;The Netherlands;Groningen (PV);2023 4th quarter;120;231
6447;Total overnight accommodation;The Netherlands;Groningen (PV);2023;558;1230
6448;Total overnight accommodation;The Netherlands;Groningen (PV);2024 January;37;72
6449;Total overnight accommodation;The Netherlands;Groningen (PV);2024 February;37;69
6450;Total overnight accommodation;The Netherlands;Groningen (PV);2024 March;42;78
6451;Total overnight accommodation;The Netherlands;Groningen (PV);2024 1st quarter;116;219
6452;Total overnight accommodation;The Netherlands;Groningen (PV);2024 April;45;86
6453;Total overnight accommodation;The Netherlands;Groningen (PV);2024 May;62;156
6454;Total overnight accommodation;The Netherlands;Groningen (PV);2024 June;63;142
6455;Total overnight accommodation;The Netherlands;Groningen (PV);2024 2nd quarter;171;384
6456;Total overnight accommodation;The Netherlands;Groningen (PV);2024 July;63;154
6457;Total overnight accommodation;The Netherlands;Groningen (PV);2024 August;70;211
6458;Total overnight accommodation;The Netherlands;Groningen (PV);2024 September;62;134
6459;Total overnight accommodation;The Netherlands;Groningen (PV);2024 3rd quarter;194;493
6460;Total overnight accommodation;The Netherlands;Groningen (PV);2024 October;47;90
6461;Total overnight accommodation;The Netherlands;Groningen (PV);2024 November;41;76
6462;Total overnight accommodation;The Netherlands;Groningen (PV);2024 December;42;78
6463;Total overnight accommodation;The Netherlands;Groningen (PV);2024 4th quarter;129;244
6464;Total overnight accommodation;The Netherlands;Groningen (PV);2024;610;1338
6465;Total overnight accommodation;The Netherlands;Groningen (PV);2025 January;35;62
6466;Total overnight accommodation;The Netherlands;Groningen (PV);2025 February;39;72
6467;Total overnight accommodation;The Netherlands;Fryslân (PV);2012 January;48;110
6468;Total overnight accommodation;The Netherlands;Fryslân (PV);2012 February;47;104
6469;Total overnight accommodation;The Netherlands;Fryslân (PV);2012 March;66;147
6470;Total overnight accommodation;The Netherlands;Fryslân (PV);2012 1st quarter;161;362
6471;Total overnight accommodation;The Netherlands;Fryslân (PV);2012 April;93;258
6472;Total overnight accommodation;The Netherlands;Fryslân (PV);2012 May;165;492
6473;Total overnight accommodation;The Netherlands;Fryslân (PV);2012 June;181;540
6474;Total overnight accommodation;The Netherlands;Fryslân (PV);2012 2nd quarter;439;1290
6475;Total overnight accommodation;The Netherlands;Fryslân (PV);2012 July;162;705
6476;Total overnight accommodation;The Netherlands;Fryslân (PV);2012 August;187;852
6477;Total overnight accommodation;The Netherlands;Fryslân (PV);2012 September;140;388
6478;Total overnight accommodation;The Netherlands;Fryslân (PV);2012 3rd quarter;489;1946
6479;Total overnight accommodation;The Netherlands;Fryslân (PV);2012 October;93;247
6480;Total overnight accommodation;The Netherlands;Fryslân (PV);2012 November;65;145
6481;Total overnight accommodation;The Netherlands;Fryslân (PV);2012 December;53;136
6482;Total overnight accommodation;The Netherlands;Fryslân (PV);2012 4th quarter;211;529
6483;Total overnight accommodation;The Netherlands;Fryslân (PV);2012;1300;4126
6484;Total overnight accommodation;The Netherlands;Fryslân (PV);2013 January;44;114
6485;Total overnight accommodation;The Netherlands;Fryslân (PV);2013 February;57;133
6486;Total overnight accommodation;The Netherlands;Fryslân (PV);2013 March;68;154
6487;Total overnight accommodation;The Netherlands;Fryslân (PV);2013 1st quarter;169;401
6488;Total overnight accommodation;The Netherlands;Fryslân (PV);2013 April;88;223
6489;Total overnight accommodation;The Netherlands;Fryslân (PV);2013 May;158;470
6490;Total overnight accommodation;The Netherlands;Fryslân (PV);2013 June;164;462
6491;Total overnight accommodation;The Netherlands;Fryslân (PV);2013 2nd quarter;410;1156
6492;Total overnight accommodation;The Netherlands;Fryslân (PV);2013 July;165;694
6493;Total overnight accommodation;The Netherlands;Fryslân (PV);2013 August;186;842
6494;Total overnight accommodation;The Netherlands;Fryslân (PV);2013 September;142;403
6495;Total overnight accommodation;The Netherlands;Fryslân (PV);2013 3rd quarter;492;1940
6496;Total overnight accommodation;The Netherlands;Fryslân (PV);2013 October;87;235
6497;Total overnight accommodation;The Netherlands;Fryslân (PV);2013 November;63;137
6498;Total overnight accommodation;The Netherlands;Fryslân (PV);2013 December;66;157
6499;Total overnight accommodation;The Netherlands;Fryslân (PV);2013 4th quarter;215;529
6500;Total overnight accommodation;The Netherlands;Fryslân (PV);2013;1287;4026
6501;Total overnight accommodation;The Netherlands;Fryslân (PV);2014 January;50;125
6502;Total overnight accommodation;The Netherlands;Fryslân (PV);2014 February;54;126
6503;Total overnight accommodation;The Netherlands;Fryslân (PV);2014 March;71;163
6504;Total overnight accommodation;The Netherlands;Fryslân (PV);2014 1st quarter;176;414
6505;Total overnight accommodation;The Netherlands;Fryslân (PV);2014 April;89;242
6506;Total overnight accommodation;The Netherlands;Fryslân (PV);2014 May;144;414
6507;Total overnight accommodation;The Netherlands;Fryslân (PV);2014 June;175;563
6508;Total overnight accommodation;The Netherlands;Fryslân (PV);2014 2nd quarter;408;1219
6509;Total overnight accommodation;The Netherlands;Fryslân (PV);2014 July;162;693
6510;Total overnight accommodation;The Netherlands;Fryslân (PV);2014 August;180;852
6511;Total overnight accommodation;The Netherlands;Fryslân (PV);2014 September;150;451
6512;Total overnight accommodation;The Netherlands;Fryslân (PV);2014 3rd quarter;492;1996
6513;Total overnight accommodation;The Netherlands;Fryslân (PV);2014 October;101;269
6514;Total overnight accommodation;The Netherlands;Fryslân (PV);2014 November;63;148
6515;Total overnight accommodation;The Netherlands;Fryslân (PV);2014 December;55;147
6516;Total overnight accommodation;The Netherlands;Fryslân (PV);2014 4th quarter;219;565
6517;Total overnight accommodation;The Netherlands;Fryslân (PV);2014;1295;4195
6518;Total overnight accommodation;The Netherlands;Fryslân (PV);2015 January;38;91
6519;Total overnight accommodation;The Netherlands;Fryslân (PV);2015 February;56;141
6520;Total overnight accommodation;The Netherlands;Fryslân (PV);2015 March;56;130
6521;Total overnight accommodation;The Netherlands;Fryslân (PV);2015 1st quarter;150;363
6522;Total overnight accommodation;The Netherlands;Fryslân (PV);2015 April;86;227
