ID;TypeOfBankruptcy;Periods;BankruptciesSessionDayCorrected_1
2348;Companies and institutions;1986 2nd quarter;467
2349;Companies and institutions;1986 July;122
2350;Companies and institutions;1986 August;161
2351;Companies and institutions;1986 September;184
2352;Companies and institutions;1986 3rd quarter;467
2353;Companies and institutions;1986 October;149
2354;Companies and institutions;1986 November;202
2355;Companies and institutions;1986 December;142
2356;Companies and institutions;1986 4th quarter;493
2357;Companies and institutions;1986;1918
2358;Companies and institutions;1987 January;133
2359;Companies and institutions;1987 February;157
2360;Companies and institutions;1987 March;153
2361;Companies and institutions;1987 1st quarter;443
2362;Companies and institutions;1987 April;139
2363;Companies and institutions;1987 May;134
2364;Companies and institutions;1987 June;116
2365;Companies and institutions;1987 2nd quarter;389
2366;Companies and institutions;1987 July;154
2367;Companies and institutions;1987 August;127
2368;Companies and institutions;1987 September;148
2369;Companies and institutions;1987 3rd quarter;429
2370;Companies and institutions;1987 October;130
2371;Companies and institutions;1987 November;116
2372;Companies and institutions;1987 December;133
2373;Companies and institutions;1987 4th quarter;379
2374;Companies and institutions;1987;1640
2375;Companies and institutions;1988 January;119
2376;Companies and institutions;1988 February;159
2377;Companies and institutions;1988 March;152
2378;Companies and institutions;1988 1st quarter;430
2379;Companies and institutions;1988 April;131
2380;Companies and institutions;1988 May;168
2381;Companies and institutions;1988 June;153
2382;Companies and institutions;1988 2nd quarter;452
2383;Companies and institutions;1988 July;141
2384;Companies and institutions;1988 August;122
2385;Companies and institutions;1988 September;118
2386;Companies and institutions;1988 3rd quarter;381
2387;Companies and institutions;1988 October;150
2388;Companies and institutions;1988 November;138
2389;Companies and institutions;1988 December;124
2390;Companies and institutions;1988 4th quarter;412
2391;Companies and institutions;1988;1675
2392;Companies and institutions;1989 January;157
2393;Companies and institutions;1989 February;115
2394;Companies and institutions;1989 March;150
2395;Companies and institutions;1989 1st quarter;422
2396;Companies and institutions;1989 April;131
2397;Companies and institutions;1989 May;107
2398;Companies and institutions;1989 June;142
2399;Companies and institutions;1989 2nd quarter;380
2400;Companies and institutions;1989 July;126
2401;Companies and institutions;1989 August;111
2402;Companies and institutions;1989 September;144
2403;Companies and institutions;1989 3rd quarter;381
2404;Companies and institutions;1989 October;124
2405;Companies and institutions;1989 November;134
2406;Companies and institutions;1989 December;120
2407;Companies and institutions;1989 4th quarter;378
2408;Companies and institutions;1989;1561
2409;Companies and institutions;1990 January;136
2410;Companies and institutions;1990 February;102
2411;Companies and institutions;1990 March;137
2412;Companies and institutions;1990 1st quarter;375
2413;Companies and institutions;1990 April;131
2414;Companies and institutions;1990 May;132
2415;Companies and institutions;1990 June;139
2416;Companies and institutions;1990 2nd quarter;402
2417;Companies and institutions;1990 July;121
2418;Companies and institutions;1990 August;105
2419;Companies and institutions;1990 September;155
2420;Companies and institutions;1990 3rd quarter;381
2421;Companies and institutions;1990 October;130
2422;Companies and institutions;1990 November;141
2423;Companies and institutions;1990 December;98
2424;Companies and institutions;1990 4th quarter;369
2425;Companies and institutions;1990;1527
2426;Companies and institutions;1991 January;117
2427;Companies and institutions;1991 February;144
2428;Companies and institutions;1991 March;167
2429;Companies and institutions;1991 1st quarter;428
2430;Companies and institutions;1991 April;140
2431;Companies and institutions;1991 May;152
2432;Companies and institutions;1991 June;164
2433;Companies and institutions;1991 2nd quarter;456
2434;Companies and institutions;1991 July;152
2435;Companies and institutions;1991 August;155
2436;Companies and institutions;1991 September;156
2437;Companies and institutions;1991 3rd quarter;463
2438;Companies and institutions;1991 October;182
2439;Companies and institutions;1991 November;221
2440;Companies and institutions;1991 December;203
2441;Companies and institutions;1991 4th quarter;606
2442;Companies and institutions;1991;1953
2443;Companies and institutions;1992 January;169
2444;Companies and institutions;1992 February;162
2445;Companies and institutions;1992 March;208
2446;Companies and institutions;1992 1st quarter;539
2447;Companies and institutions;1992 April;192
2448;Companies and institutions;1992 May;202
2449;Companies and institutions;1992 June;188
2450;Companies and institutions;1992 2nd quarter;582
2451;Companies and institutions;1992 July;186
2452;Companies and institutions;1992 August;168
2453;Companies and institutions;1992 September;240
2454;Companies and institutions;1992 3rd quarter;594
2455;Companies and institutions;1992 October;292
2456;Companies and institutions;1992 November;258
2457;Companies and institutions;1992 December;236
2458;Companies and institutions;1992 4th quarter;786
2459;Companies and institutions;1992;2501
2460;Companies and institutions;1993 January;242
2461;Companies and institutions;1993 February;233
2462;Companies and institutions;1993 March;329
2463;Companies and institutions;1993 1st quarter;804
2464;Companies and institutions;1993 April;264
2465;Companies and institutions;1993 May;310
2466;Companies and institutions;1993 June;269
2467;Companies and institutions;1993 2nd quarter;843
2468;Companies and institutions;1993 July;335
2469;Companies and institutions;1993 August;276
2470;Companies and institutions;1993 September;293
2471;Companies and institutions;1993 3rd quarter;904
2472;Companies and institutions;1993 October;258
2473;Companies and institutions;1993 November;284
2474;Companies and institutions;1993 December;271
2475;Companies and institutions;1993 4th quarter;813
2476;Companies and institutions;1993;3364
2477;Companies and institutions;1994 January;289
2478;Companies and institutions;1994 February;263
2479;Companies and institutions;1994 March;285
2480;Companies and institutions;1994 1st quarter;837
2481;Companies and institutions;1994 April;259
2482;Companies and institutions;1994 May;219
2483;Companies and institutions;1994 June;311
2484;Companies and institutions;1994 2nd quarter;789
2485;Companies and institutions;1994 July;256
2486;Companies and institutions;1994 August;268
2487;Companies and institutions;1994 September;266
2488;Companies and institutions;1994 3rd quarter;790
2489;Companies and institutions;1994 October;256
2490;Companies and institutions;1994 November;266
2491;Companies and institutions;1994 December;222
2492;Companies and institutions;1994 4th quarter;744
2493;Companies and institutions;1994;3160
2494;Companies and institutions;1995 January;228
2495;Companies and institutions;1995 February;204
2496;Companies and institutions;1995 March;232
2497;Companies and institutions;1995 1st quarter;664
2498;Companies and institutions;1995 April;223
2499;Companies and institutions;1995 May;210
2500;Companies and institutions;1995 June;241
2501;Companies and institutions;1995 2nd quarter;674
2502;Companies and institutions;1995 July;262
2503;Companies and institutions;1995 August;208
2504;Companies and institutions;1995 September;282
2505;Companies and institutions;1995 3rd quarter;752
2506;Companies and institutions;1995 October;262
2507;Companies and institutions;1995 November;216
2508;Companies and institutions;1995 December;204
2509;Companies and institutions;1995 4th quarter;682
2510;Companies and institutions;1995;2772
2511;Companies and institutions;1996 January;202
2512;Companies and institutions;1996 February;202
2513;Companies and institutions;1996 March;249
2514;Companies and institutions;1996 1st quarter;653
2515;Companies and institutions;1996 April;208
2516;Companies and institutions;1996 May;216
2517;Companies and institutions;1996 June;233
2518;Companies and institutions;1996 2nd quarter;657
2519;Companies and institutions;1996 July;201
2520;Companies and institutions;1996 August;219
2521;Companies and institutions;1996 September;240
2522;Companies and institutions;1996 3rd quarter;660
2523;Companies and institutions;1996 October;243
2524;Companies and institutions;1996 November;202
2525;Companies and institutions;1996 December;220
2526;Companies and institutions;1996 4th quarter;665
2527;Companies and institutions;1996;2635
2528;Companies and institutions;1997 January;238
2529;Companies and institutions;1997 February;227
2530;Companies and institutions;1997 March;229
2531;Companies and institutions;1997 1st quarter;694
2532;Companies and institutions;1997 April;201
2533;Companies and institutions;1997 May;248
2534;Companies and institutions;1997 June;230
2535;Companies and institutions;1997 2nd quarter;679
2536;Companies and institutions;1997 July;222
2537;Companies and institutions;1997 August;195
2538;Companies and institutions;1997 September;215
2539;Companies and institutions;1997 3rd quarter;632
2540;Companies and institutions;1997 October;238
2541;Companies and institutions;1997 November;253
2542;Companies and institutions;1997 December;185
2543;Companies and institutions;1997 4th quarter;676
2544;Companies and institutions;1997;2681
2545;Companies and institutions;1998 January;202
2546;Companies and institutions;1998 February;202
2547;Companies and institutions;1998 March;260
2548;Companies and institutions;1998 1st quarter;664
2549;Companies and institutions;1998 April;228
2550;Companies and institutions;1998 May;180
2551;Companies and institutions;1998 June;207
2552;Companies and institutions;1998 2nd quarter;615
2553;Companies and institutions;1998 July;201
2554;Companies and institutions;1998 August;169
2555;Companies and institutions;1998 September;234
2556;Companies and institutions;1998 3rd quarter;604
2557;Companies and institutions;1998 October;196
2558;Companies and institutions;1998 November;204
2559;Companies and institutions;1998 December;187
2560;Companies and institutions;1998 4th quarter;587
2561;Companies and institutions;1998;2470
2562;Companies and institutions;1999 January;168
2563;Companies and institutions;1999 February;203
2564;Companies and institutions;1999 March;228
2565;Companies and institutions;1999 1st quarter;599
2566;Companies and institutions;1999 April;211
2567;Companies and institutions;1999 May;192
2568;Companies and institutions;1999 June;205
2569;Companies and institutions;1999 2nd quarter;608
2570;Companies and institutions;1999 July;177
2571;Companies and institutions;1999 August;161
2572;Companies and institutions;1999 September;182
2573;Companies and institutions;1999 3rd quarter;520
2574;Companies and institutions;1999 October;191
2575;Companies and institutions;1999 November;205
2576;Companies and institutions;1999 December;190
2577;Companies and institutions;1999 4th quarter;586
2578;Companies and institutions;1999;2313
2579;Companies and institutions;2000 January;189
2580;Companies and institutions;2000 February;200
2581;Companies and institutions;2000 March;196
2582;Companies and institutions;2000 1st quarter;585
2583;Companies and institutions;2000 April;179
2584;Companies and institutions;2000 May;213
2585;Companies and institutions;2000 June;210
2586;Companies and institutions;2000 2nd quarter;602
2587;Companies and institutions;2000 July;233
2588;Companies and institutions;2000 August;218
2589;Companies and institutions;2000 September;216
2590;Companies and institutions;2000 3rd quarter;667
2591;Companies and institutions;2000 October;273
2592;Companies and institutions;2000 November;274
2593;Companies and institutions;2000 December;220
2594;Companies and institutions;2000 4th quarter;767
2595;Companies and institutions;2000;2621
2596;Companies and institutions;2001 January;233
2597;Companies and institutions;2001 February;261
2598;Companies and institutions;2001 March;254
2599;Companies and institutions;2001 1st quarter;748
2600;Companies and institutions;2001 April;247
2601;Companies and institutions;2001 May;288
2602;Companies and institutions;2001 June;258
2603;Companies and institutions;2001 2nd quarter;793
2604;Companies and institutions;2001 July;309
2605;Companies and institutions;2001 August;280
2606;Companies and institutions;2001 September;278
2607;Companies and institutions;2001 3rd quarter;867
2608;Companies and institutions;2001 October;309
2609;Companies and institutions;2001 November;321
2610;Companies and institutions;2001 December;295
2611;Companies and institutions;2001 4th quarter;925
2612;Companies and institutions;2001;3333
2613;Companies and institutions;2002 January;307
2614;Companies and institutions;2002 February;298
2615;Companies and institutions;2002 March;338
2616;Companies and institutions;2002 1st quarter;943
2617;Companies and institutions;2002 April;288
2618;Companies and institutions;2002 May;312
2619;Companies and institutions;2002 June;348
2620;Companies and institutions;2002 2nd quarter;948
2621;Companies and institutions;2002 July;425
2622;Companies and institutions;2002 August;304
2623;Companies and institutions;2002 September;362
2624;Companies and institutions;2002 3rd quarter;1091
2625;Companies and institutions;2002 October;388
2626;Companies and institutions;2002 November;370
2627;Companies and institutions;2002 December;345
2628;Companies and institutions;2002 4th quarter;1103
2629;Companies and institutions;2002;4085
2630;Companies and institutions;2003 January;362
2631;Companies and institutions;2003 February;402
2632;Companies and institutions;2003 March;405
2633;Companies and institutions;2003 1st quarter;1169
2634;Companies and institutions;2003 April;443
2635;Companies and institutions;2003 May;517
2636;Companies and institutions;2003 June;484
2637;Companies and institutions;2003 2nd quarter;1444
2638;Companies and institutions;2003 July;413
2639;Companies and institutions;2003 August;370
2640;Companies and institutions;2003 September;519
2641;Companies and institutions;2003 3rd quarter;1302
2642;Companies and institutions;2003 October;473
2643;Companies and institutions;2003 November;438
2644;Companies and institutions;2003 December;409
2645;Companies and institutions;2003 4th quarter;1320
2646;Companies and institutions;2003;5235
2647;Companies and institutions;2004 January;449
2648;Companies and institutions;2004 February;442
2649;Companies and institutions;2004 March;519
2650;Companies and institutions;2004 1st quarter;1410
2651;Companies and institutions;2004 April;370
2652;Companies and institutions;2004 May;432
2653;Companies and institutions;2004 June;452
2654;Companies and institutions;2004 2nd quarter;1254
2655;Companies and institutions;2004 July;441
2656;Companies and institutions;2004 August;460
2657;Companies and institutions;2004 September;408
2658;Companies and institutions;2004 3rd quarter;1309
2659;Companies and institutions;2004 October;423
2660;Companies and institutions;2004 November;461
2661;Companies and institutions;2004 December;410
2662;Companies and institutions;2004 4th quarter;1294
2663;Companies and institutions;2004;5267
2664;Companies and institutions;2005 January;448
2665;Companies and institutions;2005 February;459
2666;Companies and institutions;2005 March;442
2667;Companies and institutions;2005 1st quarter;1349
2668;Companies and institutions;2005 April;451
2669;Companies and institutions;2005 May;401
2670;Companies and institutions;2005 June;396
2671;Companies and institutions;2005 2nd quarter;1248
2672;Companies and institutions;2005 July;424
2673;Companies and institutions;2005 August;371
2674;Companies and institutions;2005 September;457
2675;Companies and institutions;2005 3rd quarter;1252
2676;Companies and institutions;2005 October;419
2677;Companies and institutions;2005 November;430
2678;Companies and institutions;2005 December;385
2679;Companies and institutions;2005 4th quarter;1234
2680;Companies and institutions;2005;5083
2681;Companies and institutions;2006 January;431
2682;Companies and institutions;2006 February;394
2683;Companies and institutions;2006 March;380
2684;Companies and institutions;2006 1st quarter;1205
2685;Companies and institutions;2006 April;384
2686;Companies and institutions;2006 May;359
2687;Companies and institutions;2006 June;355
2688;Companies and institutions;2006 2nd quarter;1098
2689;Companies and institutions;2006 July;356
2690;Companies and institutions;2006 August;305
2691;Companies and institutions;2006 September;334
2692;Companies and institutions;2006 3rd quarter;995
2693;Companies and institutions;2006 October;329
2694;Companies and institutions;2006 November;293
2695;Companies and institutions;2006 December;308
2696;Companies and institutions;2006 4th quarter;930
2697;Companies and institutions;2006;4228
2698;Companies and institutions;2007 January;356
2699;Companies and institutions;2007 February;269
2700;Companies and institutions;2007 March;290
2701;Companies and institutions;2007 1st quarter;915
2702;Companies and institutions;2007 April;304
2703;Companies and institutions;2007 May;286
2704;Companies and institutions;2007 June;273
2705;Companies and institutions;2007 2nd quarter;863
2706;Companies and institutions;2007 July;314
2707;Companies and institutions;2007 August;291
2708;Companies and institutions;2007 September;335
2709;Companies and institutions;2007 3rd quarter;940
2710;Companies and institutions;2007 October;313
2711;Companies and institutions;2007 November;305
2712;Companies and institutions;2007 December;253
2713;Companies and institutions;2007 4th quarter;871
2714;Companies and institutions;2007;3589
2715;Companies and institutions;2008 January;291
2716;Companies and institutions;2008 February;310
2717;Companies and institutions;2008 March;273
2718;Companies and institutions;2008 1st quarter;874
2719;Companies and institutions;2008 April;286
2720;Companies and institutions;2008 May;284
2721;Companies and institutions;2008 June;337
2722;Companies and institutions;2008 2nd quarter;907
2723;Companies and institutions;2008 July;276
2724;Companies and institutions;2008 August;305
2725;Companies and institutions;2008 September;305
2726;Companies and institutions;2008 3rd quarter;886
2727;Companies and institutions;2008 October;353
2728;Companies and institutions;2008 November;449
2729;Companies and institutions;2008 December;373
2730;Companies and institutions;2008 4th quarter;1175
2731;Companies and institutions;2008;3842
2732;Companies and institutions;2009 January;490
2733;Companies and institutions;2009 February;573
2734;Companies and institutions;2009 March;605
2735;Companies and institutions;2009 1st quarter;1668
2736;Companies and institutions;2009 April;660
2737;Companies and institutions;2009 May;521
2738;Companies and institutions;2009 June;630
2739;Companies and institutions;2009 2nd quarter;1811
2740;Companies and institutions;2009 July;672
2741;Companies and institutions;2009 August;540
2742;Companies and institutions;2009 September;559
2743;Companies and institutions;2009 3rd quarter;1771
2744;Companies and institutions;2009 October;566
2745;Companies and institutions;2009 November;631
2746;Companies and institutions;2009 December;495
2747;Companies and institutions;2009 4th quarter;1692
2748;Companies and institutions;2009;6942
2749;Companies and institutions;2010 January;505
2750;Companies and institutions;2010 February;579
2751;Companies and institutions;2010 March;562
2752;Companies and institutions;2010 1st quarter;1646
2753;Companies and institutions;2010 April;513
2754;Companies and institutions;2010 May;426
2755;Companies and institutions;2010 June;589
2756;Companies and institutions;2010 2nd quarter;1528
2757;Companies and institutions;2010 July;525
2758;Companies and institutions;2010 August;448
2759;Companies and institutions;2010 September;465
2760;Companies and institutions;2010 3rd quarter;1438
2761;Companies and institutions;2010 October;569
2762;Companies and institutions;2010 November;525
2763;Companies and institutions;2010 December;456
2764;Companies and institutions;2010 4th quarter;1550
2765;Companies and institutions;2010;6162
2766;Companies and institutions;2011 January;504
2767;Companies and institutions;2011 February;540
2768;Companies and institutions;2011 March;480
2769;Companies and institutions;2011 1st quarter;1524
2770;Companies and institutions;2011 April;476
2771;Companies and institutions;2011 May;507
2772;Companies and institutions;2011 June;451
2773;Companies and institutions;2011 2nd quarter;1434
2774;Companies and institutions;2011 July;484
2775;Companies and institutions;2011 August;437
2776;Companies and institutions;2011 September;555
2777;Companies and institutions;2011 3rd quarter;1476
2778;Companies and institutions;2011 October;558
2779;Companies and institutions;2011 November;573
2780;Companies and institutions;2011 December;552
2781;Companies and institutions;2011 4th quarter;1683
2782;Companies and institutions;2011;6117
2783;Companies and institutions;2012 January;598
2784;Companies and institutions;2012 February;622
2785;Companies and institutions;2012 March;603
2786;Companies and institutions;2012 1st quarter;1823
2787;Companies and institutions;2012 April;615
2788;Companies and institutions;2012 May;601
2789;Companies and institutions;2012 June;624
2790;Companies and institutions;2012 2nd quarter;1840
2791;Companies and institutions;2012 July;643
2792;Companies and institutions;2012 August;528
2793;Companies and institutions;2012 September;579
2794;Companies and institutions;2012 3rd quarter;1750
2795;Companies and institutions;2012 October;629
2796;Companies and institutions;2012 November;615
2797;Companies and institutions;2012 December;692
2798;Companies and institutions;2012 4th quarter;1936
2799;Companies and institutions;2012;7349
2800;Companies and institutions;2013 January;751
2801;Companies and institutions;2013 February;793
2802;Companies and institutions;2013 March;745
2803;Companies and institutions;2013 1st quarter;2289
2804;Companies and institutions;2013 April;728
2805;Companies and institutions;2013 May;816
2806;Companies and institutions;2013 June;742
2807;Companies and institutions;2013 2nd quarter;2286
2808;Companies and institutions;2013 July;689
2809;Companies and institutions;2013 August;636
2810;Companies and institutions;2013 September;623
2811;Companies and institutions;2013 3rd quarter;1948
2812;Companies and institutions;2013 October;658
2813;Companies and institutions;2013 November;607
2814;Companies and institutions;2013 December;588
2815;Companies and institutions;2013 4th quarter;1853
2816;Companies and institutions;2013;8376
2817;Companies and institutions;2014 January;633
2818;Companies and institutions;2014 February;645
2819;Companies and institutions;2014 March;556
2820;Companies and institutions;2014 1st quarter;1834
2821;Companies and institutions;2014 April;648
2822;Companies and institutions;2014 May;583
2823;Companies and institutions;2014 June;492
2824;Companies and institutions;2014 2nd quarter;1723
2825;Companies and institutions;2014 July;566
2826;Companies and institutions;2014 August;490
2827;Companies and institutions;2014 September;487
2828;Companies and institutions;2014 3rd quarter;1543
2829;Companies and institutions;2014 October;563
2830;Companies and institutions;2014 November;517
2831;Companies and institutions;2014 December;465
2832;Companies and institutions;2014 4th quarter;1545
2833;Companies and institutions;2014;6645
2834;Companies and institutions;2015 January;500
2835;Companies and institutions;2015 February;505
2836;Companies and institutions;2015 March;574
2837;Companies and institutions;2015 1st quarter;1579
2838;Companies and institutions;2015 April;470
2839;Companies and institutions;2015 May;456
2840;Companies and institutions;2015 June;427
2841;Companies and institutions;2015 2nd quarter;1353
2842;Companies and institutions;2015 July;441
2843;Companies and institutions;2015 August;333
2844;Companies and institutions;2015 September;339
2845;Companies and institutions;2015 3rd quarter;1113
2846;Companies and institutions;2015 October;395
2847;Companies and institutions;2015 November;411
2848;Companies and institutions;2015 December;420
2849;Companies and institutions;2015 4th quarter;1226
2850;Companies and institutions;2015;5271
2851;Companies and institutions;2016 January;401
2852;Companies and institutions;2016 February;483
2853;Companies and institutions;2016 March;394
2854;Companies and institutions;2016 1st quarter;1278
2855;Companies and institutions;2016 April;385
2856;Companies and institutions;2016 May;343
2857;Companies and institutions;2016 June;384
2858;Companies and institutions;2016 2nd quarter;1112
2859;Companies and institutions;2016 July;371
2860;Companies and institutions;2016 August;287
2861;Companies and institutions;2016 September;299
2862;Companies and institutions;2016 3rd quarter;957
2863;Companies and institutions;2016 October;303
2864;Companies and institutions;2016 November;417
2865;Companies and institutions;2016 December;332
2866;Companies and institutions;2016 4th quarter;1052
2867;Companies and institutions;2016;4399
2868;Companies and institutions;2017 January;336
2869;Companies and institutions;2017 February;292
2870;Companies and institutions;2017 March;304
2871;Companies and institutions;2017 1st quarter;932
2872;Companies and institutions;2017 April;263
2873;Companies and institutions;2017 May;281
2874;Companies and institutions;2017 June;300
2875;Companies and institutions;2017 2nd quarter;844
2876;Companies and institutions;2017 July;266
2877;Companies and institutions;2017 August;231
2878;Companies and institutions;2017 September;237
2879;Companies and institutions;2017 3rd quarter;734
2880;Companies and institutions;2017 October;261
2881;Companies and institutions;2017 November;251
2882;Companies and institutions;2017 December;269
2883;Companies and institutions;2017 4th quarter;781
2884;Companies and institutions;2017;3291
2885;Companies and institutions;2018 January;273
2886;Companies and institutions;2018 February;231
2887;Companies and institutions;2018 March;261
2888;Companies and institutions;2018 1st quarter;765
2889;Companies and institutions;2018 April;265
2890;Companies and institutions;2018 May;259
2891;Companies and institutions;2018 June;252
2892;Companies and institutions;2018 2nd quarter;776
2893;Companies and institutions;2018 July;247
2894;Companies and institutions;2018 August;254
2895;Companies and institutions;2018 September;223
2896;Companies and institutions;2018 3rd quarter;724
2897;Companies and institutions;2018 October;257
2898;Companies and institutions;2018 November;274
2899;Companies and institutions;2018 December;349
2900;Companies and institutions;2018 4th quarter;880
2901;Companies and institutions;2018;3145
2902;Companies and institutions;2019 January;285
2903;Companies and institutions;2019 February;255
2904;Companies and institutions;2019 March;275
2905;Companies and institutions;2019 1st quarter;815
2906;Companies and institutions;2019 April;282
2907;Companies and institutions;2019 May;264
2908;Companies and institutions;2019 June;273
2909;Companies and institutions;2019 2nd quarter;819
2910;Companies and institutions;2019 July;271
2911;Companies and institutions;2019 August;258
2912;Companies and institutions;2019 September;257
2913;Companies and institutions;2019 3rd quarter;786
2914;Companies and institutions;2019 October;251
2915;Companies and institutions;2019 November;289
2916;Companies and institutions;2019 December;249
2917;Companies and institutions;2019 4th quarter;789
2918;Companies and institutions;2019;3209
2919;Companies and institutions;2020 January;264
2920;Companies and institutions;2020 February;267
2921;Companies and institutions;2020 March;249
2922;Companies and institutions;2020 1st quarter;780
2923;Companies and institutions;2020 April;336
2924;Companies and institutions;2020 May;336
2925;Companies and institutions;2020 June;228
2926;Companies and institutions;2020 2nd quarter;900
2927;Companies and institutions;2020 July;197
2928;Companies and institutions;2020 August;170
2929;Companies and institutions;2020 September;181
2930;Companies and institutions;2020 3rd quarter;548
2931;Companies and institutions;2020 October;167
2932;Companies and institutions;2020 November;174
2933;Companies and institutions;2020 December;134
2934;Companies and institutions;2020 4th quarter;475
2935;Companies and institutions;2020;2703
2936;Companies and institutions;2021 January;146
2937;Companies and institutions;2021 February;113
2938;Companies and institutions;2021 March;141
2939;Companies and institutions;2021 1st quarter;400
2940;Companies and institutions;2021 April;156
2941;Companies and institutions;2021 May;133
2942;Companies and institutions;2021 June;119
2943;Companies and institutions;2021 2nd quarter;408
2944;Companies and institutions;2021 July;108
2945;Companies and institutions;2021 August;97
2946;Companies and institutions;2021 September;117
2947;Companies and institutions;2021 3rd quarter;322
2948;Companies and institutions;2021 October;108
2949;Companies and institutions;2021 November;164
2950;Companies and institutions;2021 December;135
2951;Companies and institutions;2021 4th quarter;407
2952;Companies and institutions;2021;1537
2953;Companies and institutions;2022 January;120
2954;Companies and institutions;2022 February;161
2955;Companies and institutions;2022 March;148
2956;Companies and institutions;2022 1st quarter;429
2957;Companies and institutions;2022 April;97
2958;Companies and institutions;2022 May;160
2959;Companies and institutions;2022 June;137
2960;Companies and institutions;2022 2nd quarter;394
2961;Companies and institutions;2022 July;126
2962;Companies and institutions;2022 August;129
2963;Companies and institutions;2022 September;151
2964;Companies and institutions;2022 3rd quarter;406
2965;Companies and institutions;2022 October;195
2966;Companies and institutions;2022 November;198
2967;Companies and institutions;2022 December;232
2968;Companies and institutions;2022 4th quarter;625
2969;Companies and institutions;2022;1854
2970;Companies and institutions;2023 January;194
2971;Companies and institutions;2023 February;241
2972;Companies and institutions;2023 March;181
2973;Companies and institutions;2023 1st quarter;616
2974;Companies and institutions;2023 April;206
2975;Companies and institutions;2023 May;225
2976;Companies and institutions;2023 June;269
2977;Companies and institutions;2023 2nd quarter;700
2978;Companies and institutions;2023 July;216
2979;Companies and institutions;2023 August;229
2980;Companies and institutions;2023 September;254
2981;Companies and institutions;2023 3rd quarter;699
2982;Companies and institutions;2023 October;245
2983;Companies and institutions;2023 November;268
2984;Companies and institutions;2023 December;343
2985;Companies and institutions;2023 4th quarter;856
2986;Companies and institutions;2023;2871
2987;Companies and institutions;2024 January;324
2988;Companies and institutions;2024 February;316
2989;Companies and institutions;2024 March;295
2990;Companies and institutions;2024 1st quarter;935
2991;Companies and institutions;2024 April;318
2992;Companies and institutions;2024 May;313
2993;Companies and institutions;2024 June;345
2994;Companies and institutions;2024 2nd quarter;976
2995;Companies and institutions;2024 July;363
2996;Companies and institutions;2024 August;292
2997;Companies and institutions;2024 September;320
2998;Companies and institutions;2024 3rd quarter;975
2999;Companies and institutions;2024 October;291
3000;Companies and institutions;2024 November;310
3001;Companies and institutions;2024 December;295
3002;Companies and institutions;2024 4th quarter;896
3003;Companies and institutions;2024;3782
3004;Companies and institutions;2025 January;270
3005;Companies and institutions;2025 February;337
3006;Companies and institutions;2025 March;233
3007;Companies and institutions;2025 1st quarter;840
