ID;OriginOfExports;Periods;ExportsOfGoodsAndServices_1;ExportsOfGoods_2;ExportsOfServices_3;ExportsOfGoodsAndServices_4;ExportsOfGoods_5;ExportsOfServices_6;ExportsOfGoodsAndServices_7;ExportsOfGoods_8;ExportsOfServices_9;ExportsOfGoodsAndServices_10;ExportsOfGoods_11;ExportsOfServices_12
924;92 Lotteries and betting;2019;164;0;164;158.0;;158.0;10.2;;10.2;103.6;;103.6
925;92 Lotteries and betting;2020;91;0;91;89.0;;89.0;-43.9;;-43.9;102.5;;102.5
926;92 Lotteries and betting;2021;88;0;88;83.0;;83.0;-6.6;;-6.6;106.1;;106.1
927;92 Lotteries and betting;2022;129;0;129;113.0;;113.0;36.4;;36.4;114.1;;114.1
928;93 Sports and recreation;2015;435;0;435;435.0;0.0;435.0;;;;100.0;;100.0
929;93 Sports and recreation;2016;442;0;442;434.0;;434.0;-0.2;;-0.2;101.8;;101.8
930;93 Sports and recreation;2017;490;0;490;471.0;;471.0;8.6;;8.6;104.0;;104.0
931;93 Sports and recreation;2018;505;0;505;479.0;;479.0;1.6;;1.6;105.4;;105.4
932;93 Sports and recreation;2019;523;0;523;484.0;;484.0;1.0;;1.0;108.1;;108.1
933;93 Sports and recreation;2020;300;0;300;273.0;;273.0;-43.6;;-43.6;109.9;;109.9
934;93 Sports and recreation;2021;298;0;298;266.0;;266.0;-2.7;;-2.7;112.2;;112.2
935;93 Sports and recreation;2022;530;0;530;450.0;;450.0;69.5;;69.5;117.8;;117.8
936;S Other service activities;2015;198;11;187;198.0;11.0;187.0;;;;100.0;100.0;100.0
937;S Other service activities;2016;210;11;199;208.0;11.0;197.0;5.1;0.0;5.3;101.0;100.0;101.0
938;S Other service activities;2017;230;11;219;226.0;11.0;215.0;8.6;0.0;9.0;101.8;100.0;101.9
939;S Other service activities;2018;251;11;240;243.0;11.0;231.0;7.4;0.0;7.8;103.5;100.0;103.7
940;S Other service activities;2019;254;14;240;245.0;14.0;231.0;1.2;27.3;0.0;103.5;100.0;103.7
941;S Other service activities;2020;200;14;186;194.0;14.0;180.0;-20.9;0.0;-22.1;103.0;100.0;103.1
942;S Other service activities;2021;213;29;184;201.0;28.0;174.0;3.5;100.0;-3.8;106.0;103.6;106.0
943;S Other service activities;2022;269;32;237;241.0;26.0;215.0;19.7;-6.9;23.9;111.8;122.8;110.2
944;94 Membership organisations;2015;12;11;1;12.0;11.0;1.0;;;;100.0;100.0;100.0
945;94 Membership organisations;2016;12;11;1;12.0;11.0;1.0;0.0;0.0;0.0;100.0;100.0;100.0
946;94 Membership organisations;2017;12;11;1;12.0;11.0;1.0;0.0;0.0;0.0;100.0;100.0;100.0
947;94 Membership organisations;2018;12;11;1;13.0;11.0;2.0;8.3;0.0;100.0;92.3;100.0;50.0
948;94 Membership organisations;2019;15;14;1;16.0;14.0;2.0;25.0;27.3;0.0;92.3;100.0;50.0
949;94 Membership organisations;2020;15;14;1;17.0;14.0;4.0;6.7;0.0;100.0;86.5;100.0;25.0
950;94 Membership organisations;2021;21;19;2;22.0;18.0;4.0;26.7;28.6;0.0;95.6;105.6;50.0
951;94 Membership organisations;2022;25;23;2;21.0;18.0;2.0;-4.8;0.0;-50.0;119.6;127.8;100.0
952;95 Repair computers and consumergoods;2015;83;0;83;83.0;0.0;83.0;;;;100.0;;100.0
953;95 Repair computers and consumergoods;2016;83;0;83;86.0;;86.0;3.6;;3.6;96.5;;96.5
954;95 Repair computers and consumergoods;2017;92;0;92;94.0;;94.0;9.6;;9.6;97.6;;97.6
955;95 Repair computers and consumergoods;2018;104;0;104;105.0;;105.0;10.9;;10.9;99.5;;99.5
956;95 Repair computers and consumergoods;2019;101;0;101;101.0;;101.0;-3.8;;-3.8;100.5;;100.5
957;95 Repair computers and consumergoods;2020;99;0;99;100.0;;100.0;-1.0;;-1.0;99.5;;99.5
958;95 Repair computers and consumergoods;2021;104;10;94;104.0;;93.0;4.0;;-6.1;100.4;;100.5
959;95 Repair computers and consumergoods;2022;105;9;96;103.0;;94.0;-1.0;-20.0;1.1;102.4;;101.6
960;96 Other personal services;2015;103;0;103;103.0;0.0;103.0;;;;100.0;;100.0
961;96 Other personal services;2016;115;0;115;110.0;;110.0;6.8;;6.8;104.5;;104.5
962;96 Other personal services;2017;126;0;126;120.0;;120.0;8.7;;8.7;105.4;;105.4
963;96 Other personal services;2018;135;0;135;125.0;;125.0;4.8;;4.8;107.8;;107.8
964;96 Other personal services;2019;138;0;138;129.0;;129.0;3.0;;3.0;107.0;;107.0
965;96 Other personal services;2020;86;0;86;79.0;;79.0;-38.4;;-38.4;108.3;;108.3
966;96 Other personal services;2021;88;0;88;79.0;;79.0;-1.2;;-1.2;112.1;;112.1
967;96 Other personal services;2022;139;0;139;118.0;;118.0;50.0;;50.0;118.0;;118.0
968;T Activities of households;2015;0;0;0;0.0;0.0;0.0;;;;;;
969;T Activities of households;2016;0;0;0;;;;;;;;;
970;T Activities of households;2017;0;0;0;;;;;;;;;
971;T Activities of households;2018;0;0;0;;;;;;;;;
972;T Activities of households;2019;0;0;0;;;;;;;;;
973;T Activities of households;2020;0;0;0;;;;;;;;;
974;T Activities of households;2021;0;0;0;;;;;;;;;
975;T Activities of households;2022;0;0;0;;;;;;;;;
976;97 Households with domestic personnel;2015;0;0;0;0.0;0.0;0.0;;;;;;
977;97 Households with domestic personnel;2016;0;0;0;;;;;;;;;
978;97 Households with domestic personnel;2017;0;0;0;;;;;;;;;
979;97 Households with domestic personnel;2018;0;0;0;;;;;;;;;
980;97 Households with domestic personnel;2019;0;0;0;;;;;;;;;
981;97 Households with domestic personnel;2020;0;0;0;;;;;;;;;
982;97 Households with domestic personnel;2021;0;0;0;;;;;;;;;
983;97 Households with domestic personnel;2022;0;0;0;;;;;;;;;
984;98 Households producing for own use;2015;0;0;0;0.0;0.0;0.0;;;;;;
985;98 Households producing for own use;2016;0;0;0;;;;;;;;;
986;98 Households producing for own use;2017;0;0;0;;;;;;;;;
987;98 Households producing for own use;2018;0;0;0;;;;;;;;;
988;98 Households producing for own use;2019;0;0;0;;;;;;;;;
989;98 Households producing for own use;2020;0;0;0;;;;;;;;;
990;98 Households producing for own use;2021;0;0;0;;;;;;;;;
991;98 Households producing for own use;2022;0;0;0;;;;;;;;;
992;U Extraterritorial organisations;2015;0;0;0;0.0;0.0;0.0;;;;;;
993;U Extraterritorial organisations;2016;0;0;0;;;;;;;;;
994;U Extraterritorial organisations;2017;0;0;0;;;;;;;;;
995;U Extraterritorial organisations;2018;0;0;0;;;;;;;;;
996;U Extraterritorial organisations;2019;0;0;0;;;;;;;;;
997;U Extraterritorial organisations;2020;0;0;0;;;;;;;;;
998;U Extraterritorial organisations;2021;0;0;0;;;;;;;;;
999;U Extraterritorial organisations;2022;0;0;0;;;;;;;;;
1000;99 Extraterritorial organisations;2015;0;0;0;0.0;0.0;0.0;;;;;;
1001;99 Extraterritorial organisations;2016;0;0;0;;;;;;;;;
1002;99 Extraterritorial organisations;2017;0;0;0;;;;;;;;;
1003;99 Extraterritorial organisations;2018;0;0;0;;;;;;;;;
1004;99 Extraterritorial organisations;2019;0;0;0;;;;;;;;;
1005;99 Extraterritorial organisations;2020;0;0;0;;;;;;;;;
1006;99 Extraterritorial organisations;2021;0;0;0;;;;;;;;;
1007;99 Extraterritorial organisations;2022;0;0;0;;;;;;;;;
1008;68A Imp. rents owner-occupided dwellings;2015;894;0;894;894.0;0.0;894.0;;;;100.0;;100.0
1009;68A Imp. rents owner-occupided dwellings;2016;953;0;953;945.0;;945.0;5.7;;5.7;100.8;;100.8
1010;68A Imp. rents owner-occupided dwellings;2017;1108;0;1108;1046.0;;1046.0;10.7;;10.7;105.9;;105.9
1011;68A Imp. rents owner-occupided dwellings;2018;1214;0;1214;1100.0;;1100.0;5.1;;5.1;110.4;;110.4
1012;68A Imp. rents owner-occupided dwellings;2019;1285;0;1285;1151.0;;1151.0;4.6;;4.6;111.7;;111.7
1013;68A Imp. rents owner-occupided dwellings;2020;662;0;662;576.0;;576.0;-50.0;;-50.0;115.0;;115.0
1014;68A Imp. rents owner-occupided dwellings;2021;577;0;577;486.0;;486.0;-15.6;;-15.6;118.7;;118.7
1015;68A Imp. rents owner-occupided dwellings;2022;1327;0;1327;1004.0;;1004.0;106.4;;106.4;132.2;;132.2
1016;68B Real estate excl. imputed rents;2015;646;0;646;646.0;0.0;646.0;;;;100.0;;100.0
1017;68B Real estate excl. imputed rents;2016;657;0;657;644.0;;644.0;-0.3;;-0.3;102.0;;102.0
1018;68B Real estate excl. imputed rents;2017;688;0;688;676.0;;676.0;5.0;;5.0;101.7;;101.7
1019;68B Real estate excl. imputed rents;2018;713;0;713;688.0;;688.0;1.7;;1.7;103.6;;103.6
1020;68B Real estate excl. imputed rents;2019;771;0;771;733.0;;733.0;6.5;;6.5;105.3;;105.3
1021;68B Real estate excl. imputed rents;2020;508;0;508;477.0;;477.0;-34.9;;-34.9;106.5;;106.5
1022;68B Real estate excl. imputed rents;2021;504;0;504;467.0;;467.0;-2.2;;-2.2;108.0;;108.0
1023;68B Real estate excl. imputed rents;2022;740;0;740;662.0;;662.0;41.9;;41.9;111.8;;111.8
1024;Total other items;2015;220126;208852;11274;220126.0;208852.0;11274.0;;;;100.0;100.0;100.0
1025;Total other items;2016;224123;214150;9973;231263.0;221364.0;9899.0;5.1;6.0;-12.2;96.9;96.7;100.7
1026;Total other items;2017;245337;235013;10324;247752.0;237519.0;10247.0;7.1;7.3;3.5;99.0;98.9;100.7
1027;Total other items;2018;258673;249130;9543;256673.0;247398.0;9314.0;3.6;4.2;-9.1;100.8;100.7;102.5
1028;Total other items;2019;274880;263618;11262;272723.0;262233.0;10521.0;6.3;6.0;13.0;100.8;100.5;107.0
1029;Total other items;2020;261110;254410;6700;267612.0;261755.0;6157.0;-1.9;-0.2;-41.5;97.6;97.2;108.8
1030;Total other items;2021;319407;317502;1905;300661.0;299905.0;1716.0;12.3;14.6;-72.1;106.2;105.9;111.0
1031;Total other items;2022;393747;393009;738;313905.0;311890.0;2960.0;4.4;4.0;72.5;125.4;126.0;24.9
1032;Re-exports;2015;177843;167521;10322;177843.0;167521.0;10322.0;;;;100.0;100.0;100.0
1033;Re-exports;2016;179535;170829;8706;186554.0;177862.0;8692.0;4.9;6.2;-15.8;96.2;96.0;100.2
1034;Re-exports;2017;197668;188856;8812;200293.0;191546.0;8771.0;7.4;7.7;0.9;98.7;98.6;100.5
1035;Re-exports;2018;208259;200306;7953;207568.0;199803.0;7814.0;3.6;4.3;-10.9;100.3;100.3;101.8
1036;Re-exports;2019;220497;211532;8965;221075.0;212504.0;8619.0;6.5;6.4;10.3;99.7;99.5;104.0
1037;Re-exports;2020;207528;201212;6316;217597.0;211805.0;5953.0;-1.6;-0.3;-30.9;95.4;95.0;106.1
1038;Re-exports;2021;258086;255920;2166;245932.0;244665.0;2001.0;13.0;15.5;-66.4;104.9;104.6;108.2
1039;Re-exports;2022;327679;325324;2355;255779.0;254586.0;1960.0;4.0;4.1;-2.0;128.1;127.8;120.1
1040;Taxes less subsidies on products;2015;2625;1339;1286;2625.0;1339.0;1286.0;;;;100.0;100.0;100.0
1041;Taxes less subsidies on products;2016;2761;1352;1409;2795.0;1427.0;1368.0;6.5;6.6;6.4;98.8;94.7;103.0
1042;Taxes less subsidies on products;2017;2930;1417;1513;2966.0;1508.0;1457.0;6.1;5.7;6.5;98.8;93.9;103.8
1043;Taxes less subsidies on products;2018;3103;1500;1603;3090.0;1591.0;1500.0;4.2;5.5;2.9;100.4;94.3;106.9
1044;Taxes less subsidies on products;2019;3642;1644;1998;3323.0;1721.0;1604.0;7.5;8.1;7.0;109.6;95.5;124.5
1045;Taxes less subsidies on products;2020;2562;1553;1009;2405.0;1715.0;801.0;-27.6;-0.3;-50.1;106.5;90.5;126.0
1046;Taxes less subsidies on products;2021;2804;1851;953;2456.0;1875.0;730.0;2.1;9.3;-8.8;114.1;98.7;130.5
1047;Taxes less subsidies on products;2022;3960;2294;1666;3114.0;1954.0;1246.0;26.8;4.2;70.6;127.2;117.4;133.8
1048;Trade and transport margins;2015;41962;39992;1970;41962.0;39992.0;1970.0;;;;100.0;100.0;100.0
1049;Trade and transport margins;2016;44129;41969;2160;44173.0;42075.0;2098.0;5.3;5.2;6.5;99.9;99.7;103.0
1050;Trade and transport margins;2017;46997;44740;2257;46690.0;44490.0;2200.0;5.7;5.7;4.9;100.7;100.6;102.6
1051;Trade and transport margins;2018;49669;47324;2345;48265.0;46036.0;2230.0;3.4;3.5;1.4;102.9;102.8;105.1
1052;Trade and transport margins;2019;53008;50442;2566;50444.0;48064.0;2380.0;4.5;4.4;6.7;105.1;104.9;107.8
1053;Trade and transport margins;2020;53069;51645;1424;49540.0;48274.0;1294.0;-1.8;0.4;-45.6;107.1;107.0;110.0
1054;Trade and transport margins;2021;61117;59731;1386;54827.0;53619.0;1245.0;10.7;11.1;-3.8;111.5;111.4;111.3
1055;Trade and transport margins;2022;67715;65391;2324;57595.0;55624.0;2010.0;5.0;3.7;61.5;117.6;117.6;115.6
1056;Cif/fob-adjustment;2015;-2304;0;-2304;-2304.0;0.0;-2304.0;;;;100.0;;100.0
1057;Cif/fob-adjustment;2016;-2302;0;-2302;-2259.0;;-2259.0;-2.0;;-2.0;101.9;;101.9
1058;Cif/fob-adjustment;2017;-2258;0;-2258;-2185.0;;-2185.0;-3.3;;-3.3;103.3;;103.3
1059;Cif/fob-adjustment;2018;-2358;0;-2358;-2238.0;;-2238.0;2.4;;2.4;105.4;;105.4
1060;Cif/fob-adjustment;2019;-2267;0;-2267;-2098.0;;-2098.0;-6.2;;-6.2;108.0;;108.0
1061;Cif/fob-adjustment;2020;-2049;0;-2049;-1845.0;;-1845.0;-12.1;;-12.1;111.1;;111.1
1062;Cif/fob-adjustment;2021;-2600;0;-2600;-2292.0;;-2292.0;24.3;;24.3;113.4;;113.4
1063;Cif/fob-adjustment;2022;-5607;0;-5607;-2380.0;;-2380.0;3.8;;3.8;235.6;;235.6
1064;Total exports;2015;570353;418373;151980;570353.0;418373.0;151980.0;;;;100.0;100.0;100.0
1065;Total exports;2016;563377;420899;142478;579868.0;436695.0;143173.0;1.7;4.4;-5.8;97.2;96.4;99.5
1066;Total exports;2017;615553;460770;154783;617558.0;462931.0;154559.0;6.5;6.0;8.0;99.7;99.5;100.1
1067;Total exports;2018;655439;484921;170518;644301.0;477368.0;166828.0;4.3;3.1;7.9;101.7;101.6;102.2
1068;Total exports;2019;671077;490287;180790;657057.0;483588.0;173342.0;2.0;1.3;3.9;102.1;101.4;104.3
1069;Total exports;2020;623408;459196;164212;628597.0;473240.0;155532.0;-4.3;-2.1;-10.3;99.2;97.0;105.6
1070;Total exports;2021;732209;561504;170705;678619.0;522520.0;157229.0;8.0;10.4;1.1;107.9;107.5;108.6
1071;Total exports;2022;898661;694897;203764;709231.0;534314.0;175977.0;4.5;2.3;11.9;126.7;130.1;115.8
