ID;Destinations;AllProdComCodes;AllPeriods;PriceIndexNumbersExcludingExcise_1;MonthOnMonthDevelopment_2;YearOnYearDevelopment_3
491;Total sales;06 Crude petroleum, natural gas liqui...;2020 January;;;
492;Total sales;06 Crude petroleum, natural gas liqui...;2020 February;51.6;;
493;Total sales;06 Crude petroleum, natural gas liqui...;2020 March;41.7;-19.3;-35.8
494;Total sales;06 Crude petroleum, natural gas liqui...;2020 April;;;
495;Total sales;06 Crude petroleum, natural gas liqui...;2020 May;;;
496;Total sales;06 Crude petroleum, natural gas liqui...;2020 June;;;
497;Total sales;06 Crude petroleum, natural gas liqui...;2020 July;28.8;;-40.4
498;Total sales;06 Crude petroleum, natural gas liqui...;2020 August;;;
499;Total sales;06 Crude petroleum, natural gas liqui...;2020 September;38.3;;
500;Total sales;06 Crude petroleum, natural gas liqui...;2020 October;;;
501;Total sales;06 Crude petroleum, natural gas liqui...;2020 November;;;
502;Total sales;06 Crude petroleum, natural gas liqui...;2020 December;47.7;;-20.6
503;Total sales;06 Crude petroleum, natural gas liqui...;2020;40.5;;-31.6
504;Total sales;06 Crude petroleum, natural gas liqui...;2021 January;52.5;10.1;
505;Total sales;06 Crude petroleum, natural gas liqui...;2021 February;;;
506;Total sales;06 Crude petroleum, natural gas liqui...;2021 March;56.3;;35.1
507;Total sales;06 Crude petroleum, natural gas liqui...;2021 April;;;
508;Total sales;06 Crude petroleum, natural gas liqui...;2021 May;66.3;;
509;Total sales;06 Crude petroleum, natural gas liqui...;2021 June;77.1;16.3;
510;Total sales;06 Crude petroleum, natural gas liqui...;2021 July;91.8;19.1;218.9
511;Total sales;06 Crude petroleum, natural gas liqui...;2021 August;109.0;18.7;
512;Total sales;06 Crude petroleum, natural gas liqui...;2021 September;123.7;13.5;222.9
513;Total sales;06 Crude petroleum, natural gas liqui...;2021 October;151.7;22.6;
514;Total sales;06 Crude petroleum, natural gas liqui...;2021 November;177.7;17.2;
515;Total sales;06 Crude petroleum, natural gas liqui...;2021 December;175.9;-1.0;269.2
516;Total sales;06 Crude petroleum, natural gas liqui...;2021;100.0;;147.0
517;Total sales;06 Crude petroleum, natural gas liqui...;2022 January;208.5;18.6;297.6
518;Total sales;06 Crude petroleum, natural gas liqui...;2022 February;186.4;-10.6;
519;Total sales;06 Crude petroleum, natural gas liqui...;2022 March;190.6;2.2;238.5
520;Total sales;06 Crude petroleum, natural gas liqui...;2022 April;251.8;32.2;
521;Total sales;06 Crude petroleum, natural gas liqui...;2022 May;218.8;-13.1;229.9
522;Total sales;06 Crude petroleum, natural gas liqui...;2022 June;218.2;-0.2;182.9
523;Total sales;06 Crude petroleum, natural gas liqui...;2022 July;254.4;16.6;177.0
524;Total sales;06 Crude petroleum, natural gas liqui...;2022 August;361.5;42.1;231.5
525;Total sales;06 Crude petroleum, natural gas liqui...;2022 September;463.3;28.2;274.4
526;Total sales;06 Crude petroleum, natural gas liqui...;2022 October;464.5;0.2;206.1
527;Total sales;06 Crude petroleum, natural gas liqui...;2022 November;415.4;-10.6;133.7
528;Total sales;06 Crude petroleum, natural gas liqui...;2022 December;348.3;-16.2;98.0
529;Total sales;06 Crude petroleum, natural gas liqui...;2022;298.5;;198.5
530;Total sales;06 Crude petroleum, natural gas liqui...;2023 January;319.4;-8.3;53.2
531;Total sales;06 Crude petroleum, natural gas liqui...;2023 February;322.1;0.8;72.8
532;Total sales;06 Crude petroleum, natural gas liqui...;2023 March;280.3;-13.0;47.1
533;Total sales;06 Crude petroleum, natural gas liqui...;2023 April;222.3;-20.7;-11.7
534;Total sales;06 Crude petroleum, natural gas liqui...;2023 May;197.2;-11.3;-9.9
535;Total sales;06 Crude petroleum, natural gas liqui...;2023 June;199.4;1.1;-8.6
536;Total sales;06 Crude petroleum, natural gas liqui...;2023 July;191.2;-4.1;-24.8
537;Total sales;06 Crude petroleum, natural gas liqui...;2023 August;185.9;-2.8;-48.6
538;Total sales;06 Crude petroleum, natural gas liqui...;2023 September;205.2;10.4;-55.7
539;Total sales;06 Crude petroleum, natural gas liqui...;2023 October;187.5;-8.6;-59.6
540;Total sales;06 Crude petroleum, natural gas liqui...;2023 November;213.7;14.0;-48.6
541;Total sales;06 Crude petroleum, natural gas liqui...;2023 December;224.0;4.8;-35.7
542;Total sales;06 Crude petroleum, natural gas liqui...;2023;229.0;;-23.3
543;Total sales;06 Crude petroleum, natural gas liqui...;2024 January;184.3;-17.7;-42.3
544;Total sales;06 Crude petroleum, natural gas liqui...;2024 February;151.7;-17.7;-52.9
545;Total sales;06 Crude petroleum, natural gas liqui...;2024 March;167.0;10.1;-40.4
546;Total sales;06 Crude petroleum, natural gas liqui...;2024 April;164.4;-1.6;-26.0
547;Total sales;06 Crude petroleum, natural gas liqui...;2024 May;166.6;1.3;-15.5
548;Total sales;06 Crude petroleum, natural gas liqui...;2024 June;183.1;9.9;-8.2
549;Total sales;06 Crude petroleum, natural gas liqui...;2024 July;198.0;8.1;3.5
550;Total sales;06 Crude petroleum, natural gas liqui...;2024 August;172.9;-12.7;-7.0
551;Total sales;06 Crude petroleum, natural gas liqui...;2024 September;187.3;8.3;-8.7
552;Total sales;06 Crude petroleum, natural gas liqui...;2024 October;167.6;-10.5;-10.6
553;Total sales;06 Crude petroleum, natural gas liqui...;2024 November;179.7;7.2;-15.9
554;Total sales;06 Crude petroleum, natural gas liqui...;2024 December;192.5;7.1;-14.1
555;Total sales;06 Crude petroleum, natural gas liqui...;2024;176.3;;-23.0
556;Total sales;06 Crude petroleum, natural gas liqui...;2025 January;194.6;1.1;5.6
557;Total sales;06 Crude petroleum, natural gas liqui...;2025 February;202.0;3.8;33.1
558;Total sales;061 Crude petroleum and natural gas l...;2018 January;91.5;;
559;Total sales;061 Crude petroleum and natural gas l...;2018 February;85.5;-6.6;
560;Total sales;061 Crude petroleum and natural gas l...;2018 March;;;
561;Total sales;061 Crude petroleum and natural gas l...;2018 April;;;
562;Total sales;061 Crude petroleum and natural gas l...;2018 May;;;
563;Total sales;061 Crude petroleum and natural gas l...;2018 June;;;
564;Total sales;061 Crude petroleum and natural gas l...;2018 July;105.3;;
565;Total sales;061 Crude petroleum and natural gas l...;2018 August;;;
566;Total sales;061 Crude petroleum and natural gas l...;2018 September;;;
567;Total sales;061 Crude petroleum and natural gas l...;2018 October;115.4;;
568;Total sales;061 Crude petroleum and natural gas l...;2018 November;;;
569;Total sales;061 Crude petroleum and natural gas l...;2018 December;;;
570;Total sales;061 Crude petroleum and natural gas l...;2018;98.4;;
571;Total sales;061 Crude petroleum and natural gas l...;2019 January;83.7;;-8.5
572;Total sales;061 Crude petroleum and natural gas l...;2019 February;;;
573;Total sales;061 Crude petroleum and natural gas l...;2019 March;93.8;;
574;Total sales;061 Crude petroleum and natural gas l...;2019 April;103.0;9.8;
575;Total sales;061 Crude petroleum and natural gas l...;2019 May;;;
576;Total sales;061 Crude petroleum and natural gas l...;2019 June;91.6;;
577;Total sales;061 Crude petroleum and natural gas l...;2019 July;92.0;0.4;-12.7
578;Total sales;061 Crude petroleum and natural gas l...;2019 August;85.6;-7.0;
579;Total sales;061 Crude petroleum and natural gas l...;2019 September;;;
580;Total sales;061 Crude petroleum and natural gas l...;2019 October;87.5;;-24.2
581;Total sales;061 Crude petroleum and natural gas l...;2019 November;94.2;7.7;
582;Total sales;061 Crude petroleum and natural gas l...;2019 December;98.9;4.9;
583;Total sales;061 Crude petroleum and natural gas l...;2019;92.9;;-5.6
584;Total sales;061 Crude petroleum and natural gas l...;2020 January;;;
585;Total sales;061 Crude petroleum and natural gas l...;2020 February;86.2;;
586;Total sales;061 Crude petroleum and natural gas l...;2020 March;54.3;-37.0;-42.1
587;Total sales;061 Crude petroleum and natural gas l...;2020 April;;;
588;Total sales;061 Crude petroleum and natural gas l...;2020 May;;;
589;Total sales;061 Crude petroleum and natural gas l...;2020 June;;;
590;Total sales;061 Crude petroleum and natural gas l...;2020 July;55.1;;-40.1
591;Total sales;061 Crude petroleum and natural gas l...;2020 August;;;
592;Total sales;061 Crude petroleum and natural gas l...;2020 September;57.2;;
593;Total sales;061 Crude petroleum and natural gas l...;2020 October;;;
594;Total sales;061 Crude petroleum and natural gas l...;2020 November;;;
595;Total sales;061 Crude petroleum and natural gas l...;2020 December;64.6;;-34.6
596;Total sales;061 Crude petroleum and natural gas l...;2020;;;
597;Total sales;061 Crude petroleum and natural gas l...;2021 January;73.0;12.9;
598;Total sales;061 Crude petroleum and natural gas l...;2021 February;;;
599;Total sales;061 Crude petroleum and natural gas l...;2021 March;87.7;;61.4
600;Total sales;061 Crude petroleum and natural gas l...;2021 April;;;
601;Total sales;061 Crude petroleum and natural gas l...;2021 May;94.4;;
602;Total sales;061 Crude petroleum and natural gas l...;2021 June;;;
603;Total sales;061 Crude petroleum and natural gas l...;2021 July;106.6;;93.5
604;Total sales;061 Crude petroleum and natural gas l...;2021 August;102.6;-3.8;
605;Total sales;061 Crude petroleum and natural gas l...;2021 September;107.0;4.3;87.0
606;Total sales;061 Crude petroleum and natural gas l...;2021 October;124.5;16.3;
607;Total sales;061 Crude petroleum and natural gas l...;2021 November;121.5;-2.4;
608;Total sales;061 Crude petroleum and natural gas l...;2021 December;114.5;-5.8;77.1
609;Total sales;061 Crude petroleum and natural gas l...;2021;100.0;;
610;Total sales;061 Crude petroleum and natural gas l...;2022 January;128.6;12.4;76.3
611;Total sales;061 Crude petroleum and natural gas l...;2022 February;138.4;7.6;
612;Total sales;061 Crude petroleum and natural gas l...;2022 March;170.9;23.5;94.9
613;Total sales;061 Crude petroleum and natural gas l...;2022 April;158.3;-7.4;
614;Total sales;061 Crude petroleum and natural gas l...;2022 May;171.4;8.3;81.6
615;Total sales;061 Crude petroleum and natural gas l...;2022 June;178.1;3.9;
616;Total sales;061 Crude petroleum and natural gas l...;2022 July;169.0;-5.1;58.5
617;Total sales;061 Crude petroleum and natural gas l...;2022 August;150.9;-10.7;47.1
618;Total sales;061 Crude petroleum and natural gas l...;2022 September;146.2;-3.1;36.6
619;Total sales;061 Crude petroleum and natural gas l...;2022 October;156.0;6.7;25.3
620;Total sales;061 Crude petroleum and natural gas l...;2022 November;145.4;-6.8;19.6
621;Total sales;061 Crude petroleum and natural gas l...;2022 December;123.3;-15.2;7.7
622;Total sales;061 Crude petroleum and natural gas l...;2022;153.0;;53.0
623;Total sales;061 Crude petroleum and natural gas l...;2023 January;127.0;3.0;-1.3
624;Total sales;061 Crude petroleum and natural gas l...;2023 February;127.5;0.4;-7.9
625;Total sales;061 Crude petroleum and natural gas l...;2023 March;120.1;-5.8;-29.7
626;Total sales;061 Crude petroleum and natural gas l...;2023 April;114.6;-4.5;-27.6
627;Total sales;061 Crude petroleum and natural gas l...;2023 May;104.6;-8.8;-39.0
628;Total sales;061 Crude petroleum and natural gas l...;2023 June;103.3;-1.3;-42.0
629;Total sales;061 Crude petroleum and natural gas l...;2023 July;105.7;2.4;-37.4
630;Total sales;061 Crude petroleum and natural gas l...;2023 August;117.5;11.2;-22.1
631;Total sales;061 Crude petroleum and natural gas l...;2023 September;126.8;7.9;-13.2
632;Total sales;061 Crude petroleum and natural gas l...;2023 October;124.0;-2.2;-20.5
633;Total sales;061 Crude petroleum and natural gas l...;2023 November;120.3;-3.0;-17.2
634;Total sales;061 Crude petroleum and natural gas l...;2023 December;113.6;-5.6;-7.8
635;Total sales;061 Crude petroleum and natural gas l...;2023;117.1;;-23.5
636;Total sales;061 Crude petroleum and natural gas l...;2024 January;113.6;0.0;-10.5
637;Total sales;061 Crude petroleum and natural gas l...;2024 February;119.0;4.8;-6.6
638;Total sales;061 Crude petroleum and natural gas l...;2024 March;120.3;1.1;0.2
639;Total sales;061 Crude petroleum and natural gas l...;2024 April;124.5;3.4;8.6
640;Total sales;061 Crude petroleum and natural gas l...;2024 May;120.3;-3.4;15.0
641;Total sales;061 Crude petroleum and natural gas l...;2024 June;117.9;-2.0;14.2
642;Total sales;061 Crude petroleum and natural gas l...;2024 July;119.9;1.7;13.4
643;Total sales;061 Crude petroleum and natural gas l...;2024 August;;;
644;Total sales;061 Crude petroleum and natural gas l...;2024 September;104.6;;-17.5
645;Total sales;061 Crude petroleum and natural gas l...;2024 October;109.0;4.2;-12.1
646;Total sales;061 Crude petroleum and natural gas l...;2024 November;109.2;0.2;-9.2
647;Total sales;061 Crude petroleum and natural gas l...;2024 December;107.4;-1.7;-5.5
648;Total sales;061 Crude petroleum and natural gas l...;2024;;;
649;Total sales;061 Crude petroleum and natural gas l...;2025 January;116.3;8.3;2.4
650;Total sales;061 Crude petroleum and natural gas l...;2025 February;116.6;0.2;-2.1
651;Total sales;06101 Petroleum oils and oils obtaine...;2018 January;91.5;;
652;Total sales;06101 Petroleum oils and oils obtaine...;2018 February;85.5;-6.6;
653;Total sales;06101 Petroleum oils and oils obtaine...;2018 March;;;
654;Total sales;06101 Petroleum oils and oils obtaine...;2018 April;;;
655;Total sales;06101 Petroleum oils and oils obtaine...;2018 May;;;
656;Total sales;06101 Petroleum oils and oils obtaine...;2018 June;;;
657;Total sales;06101 Petroleum oils and oils obtaine...;2018 July;105.3;;
658;Total sales;06101 Petroleum oils and oils obtaine...;2018 August;;;
659;Total sales;06101 Petroleum oils and oils obtaine...;2018 September;;;
660;Total sales;06101 Petroleum oils and oils obtaine...;2018 October;115.4;;
661;Total sales;06101 Petroleum oils and oils obtaine...;2018 November;;;
662;Total sales;06101 Petroleum oils and oils obtaine...;2018 December;;;
663;Total sales;06101 Petroleum oils and oils obtaine...;2018;98.4;;
664;Total sales;06101 Petroleum oils and oils obtaine...;2019 January;83.7;;-8.5
665;Total sales;06101 Petroleum oils and oils obtaine...;2019 February;;;
666;Total sales;06101 Petroleum oils and oils obtaine...;2019 March;93.8;;
667;Total sales;06101 Petroleum oils and oils obtaine...;2019 April;103.0;9.8;
668;Total sales;06101 Petroleum oils and oils obtaine...;2019 May;;;
669;Total sales;06101 Petroleum oils and oils obtaine...;2019 June;91.6;;
670;Total sales;06101 Petroleum oils and oils obtaine...;2019 July;92.0;0.4;-12.7
671;Total sales;06101 Petroleum oils and oils obtaine...;2019 August;85.6;-7.0;
672;Total sales;06101 Petroleum oils and oils obtaine...;2019 September;;;
673;Total sales;06101 Petroleum oils and oils obtaine...;2019 October;87.5;;-24.2
674;Total sales;06101 Petroleum oils and oils obtaine...;2019 November;94.2;7.7;
675;Total sales;06101 Petroleum oils and oils obtaine...;2019 December;98.9;4.9;
676;Total sales;06101 Petroleum oils and oils obtaine...;2019;92.9;;-5.6
677;Total sales;06101 Petroleum oils and oils obtaine...;2020 January;;;
678;Total sales;06101 Petroleum oils and oils obtaine...;2020 February;86.2;;
679;Total sales;06101 Petroleum oils and oils obtaine...;2020 March;54.3;-37.0;-42.1
680;Total sales;06101 Petroleum oils and oils obtaine...;2020 April;;;
681;Total sales;06101 Petroleum oils and oils obtaine...;2020 May;;;
682;Total sales;06101 Petroleum oils and oils obtaine...;2020 June;;;
683;Total sales;06101 Petroleum oils and oils obtaine...;2020 July;55.1;;-40.1
684;Total sales;06101 Petroleum oils and oils obtaine...;2020 August;;;
685;Total sales;06101 Petroleum oils and oils obtaine...;2020 September;57.2;;
686;Total sales;06101 Petroleum oils and oils obtaine...;2020 October;;;
687;Total sales;06101 Petroleum oils and oils obtaine...;2020 November;;;
688;Total sales;06101 Petroleum oils and oils obtaine...;2020 December;64.6;;-34.6
689;Total sales;06101 Petroleum oils and oils obtaine...;2020;;;
690;Total sales;06101 Petroleum oils and oils obtaine...;2021 January;73.0;12.9;
691;Total sales;06101 Petroleum oils and oils obtaine...;2021 February;;;
692;Total sales;06101 Petroleum oils and oils obtaine...;2021 March;87.7;;61.4
693;Total sales;06101 Petroleum oils and oils obtaine...;2021 April;;;
694;Total sales;06101 Petroleum oils and oils obtaine...;2021 May;94.4;;
695;Total sales;06101 Petroleum oils and oils obtaine...;2021 June;;;
696;Total sales;06101 Petroleum oils and oils obtaine...;2021 July;106.6;;93.5
697;Total sales;06101 Petroleum oils and oils obtaine...;2021 August;102.6;-3.8;
698;Total sales;06101 Petroleum oils and oils obtaine...;2021 September;107.0;4.3;87.0
699;Total sales;06101 Petroleum oils and oils obtaine...;2021 October;124.5;16.3;
700;Total sales;06101 Petroleum oils and oils obtaine...;2021 November;121.5;-2.4;
701;Total sales;06101 Petroleum oils and oils obtaine...;2021 December;114.5;-5.8;77.1
702;Total sales;06101 Petroleum oils and oils obtaine...;2021;100.0;;
703;Total sales;06101 Petroleum oils and oils obtaine...;2022 January;128.6;12.4;76.3
704;Total sales;06101 Petroleum oils and oils obtaine...;2022 February;138.4;7.6;
705;Total sales;06101 Petroleum oils and oils obtaine...;2022 March;170.9;23.5;94.9
