ID;InstitutionalSectors;NotConsolidatedOrConsolidated;Periods;Total_1;Total_2;ImportsOfGoods_3;Total_4;ImportsOfServicesExcludingFISIM_5;ImportsOfFISIM_6;Total_7;Total_8;FinancialIntermediationServiceFISIM_9;OtherMarketOutput_10;Total_11;OwnAccountCapitalFormation_12;ProductsRetainedForOwnConsumption_13;Total_14;PaymentsForNonMarketOutput_15;OtherNonMarketOutput_16;Total_17;WagesAndSalaries_18;EmployersSocialContributions_19;Total_20;Total_21;ValueAddedTaxVAT_22;TaxesDutiesOnImportsExcludingVAT_23;OtherTaxesOnProducts_24;OtherTaxesOnProduction_25;Total_26;SubsidiesOnProducts_27;OtherSubsidiesOnProduction_28;Total_29;InterestDefinitionNationalAccounts_30;CorrectionFISIM_31;InterestBeforeCorrectionForFISIM_32;Total_33;Dividends_34;WithdrawalsFromIncomeOfQuasiCorp_35;ReinvestedEarningsOnForeignInvestm_36;Total_37;InvestmIncomeAttribToPolicyHolder_38;IncomePayableOnPensionEntitlements_39;InvIncomeAttributableToShareholders_40;Rent_41;Total_42;CurrentTaxesOnIncome_43;OtherCurrentTaxes_44;Total_45;Total_46;EmployersActualSocialContributions_47;EmployersImputedSocialContributions_48;HouseholdsActualSocialContributions_49;HouseholdsSocialContribSupplements_50;TheSocialInsurSchemeServiceCharges_51;Total_52;SocialSecurityBenefitsInCash_53;OtherSocialInsuranceBenefits_54;SocialAssistanceBenefitsInCash_55;Total_56;NetNonLifeInsurancePremiums_57;NonLifeInsuranceClaims_58;CurrentTransfersWithinGenGovernment_59;CurrentInternationalCoOperation_60;MiscellaneousCurrentTransfers_61;TheVATAndGNIBasedEUOwnResource_62;AdjustmChangeInPensionEntitlements_63;Total_64;CapitalTaxes_65;InvestmentGrants_66;OtherCapitalTransfers_67;Total_68;Total_69;ExportsOfGoods_70;Total_71;ExportsOfServicesExcludingFISIM_72;ExportsOfFISIM_73;IntermediateConsumption_74;Total_75;WagesAndSalaries_76;EmployersSocialContributions_77;Total_78;TaxesOnProducts_79;OtherTaxesOnProduction_80;Total_81;SubsidiesOnProducts_82;OtherSubsidiesOnProduction_83;Total_84;InterestDefinitionNationalAccounts_85;CorrectionFISIM_86;InterestBeforeCorrectionForFISIM_87;Total_88;Dividends_89;WithdrawalsFromIncomeOfQuasiCorps_90;ReinvestedEarningsOnForeignInvestm_91;Total_92;InvestmIncomeAttribToPolicyHolder_93;IncomePayableOnPensionEntitlements_94;InvIncomeAttributableToShareholders_95;Rent_96;Total_97;CurrentTaxesOnIncome_98;OtherCurrentTaxes_99;Total_100;Total_101;EmployersActualSocialContributions_102;EmployersImputedSocialContributions_103;HouseholdsActualSocialContributions_104;HouseholdsSocialContribSupplements_105;TheSocialInsurSchemeServiceCharges_106;Total_107;SocialSecurityBenefitsInCash_108;OtherSocialInsuranceBenefits_109;SocialAssistanceBenefitsInCash_110;Total_111;NetNonLifeInsurancePremiums_112;NonLifeInsuranceClaims_113;CurrentTransfersWithinGenGovernment_114;CurrentInternationalCoOperation_115;MiscellaneousCurrentTransfers_116;TheVATAndGNIBasedEUOwnResource_117;AdjustmChangeInPensionEntitlements_118;Total_119;Total_120;Total_121;TransfersInKindNonMarketProduction_122;TransfersInKindMarketProduction_123;OtherIndividualFinalConsumption_124;ActualCollectiveFinalConsumption_125;Total_126;CapitalTaxes_127;InvestmentGrants_128;OtherCapitalTransfers_129;Total_130;Total_131;ConsumptionOfFixedCapital_132;NetFixedCapitalFormation_133;Total_134;ChangesInInventories_135;AcquisitionsLessDisposalsOfValuables_136;AcqLessDisposalsOfNonProdAssets_137;GrossDomesticProduct_138;GrossValueAdded_139;NetDomesticProduct_140;NetValueAdded_141;GrossOperatingSurplus_142;NetOperatingSurplus_143;GrossProfitsBeforeTaxes_144;NetProfitsBeforeTaxes_145;GrossNationalIncome_146;NetNationalIncome_147;GrossDisposableIncome_148;NetDisposableIncome_149;GrossSaving_150;NetSaving_151;NetTransactionsOfGoodAndServices_152;SurplusNationOnCurrentTransactions_153;NetSavingAndCapitalTransfers_154;NetLendingOrNetBorrowing_155;TotalFinancialTransactionsInAssets_156;TotalFinancialTransactionsLiabilities_157;NetFinancialTransactions_158;StatisticalDiscrepancy_159
5423;Households including NPISHs;Not consolidated;2010;684891.0;;;;;;155787.0;117481.0;;117481.0;33669.0;1023.0;32646.0;4637.0;263.0;4374.0;305637.0;242152.0;63485.0;;;;;;;1809.0;;1809.0;49240.0;8353.0;291.0;8062.0;11456.0;10886.0;570.0;0.0;29414.0;5675.0;22183.0;1556.0;17.0;;;;112220.0;525.0;;525.0;;;;111695.0;47084.0;44430.0;20181.0;24871.0;;8821.0;;;16050.0;;18624.0;16703.0;;350.0;16353.0;679327.0;;;;;;78307.0;14163.0;11270.0;2893.0;1737.0;;1737.0;;;;17397.0;17136.0;-20792.0;37928.0;;;;;;;;;261.0;51224.0;44698.0;6526.0;149997.0;149472.0;51501.0;11984.0;71220.0;22183.0;-7416.0;525.0;;525.0;;20689.0;8277.0;;;;12412.0;;;290857.0;290857.0;4374.0;4374.0;;286483.0;;17891.0;1703.0;;16188.0;37199.0;36702.0;27991.0;8711.0;497.0;397.0;100.0;-134.0;;77480.0;;49489.0;63389.0;35398.0;;;400869.0;372878.0;316050.0;288059.0;43817.0;15826.0;;;14638.0;5564.0;34528.0;26828.0;7700.0;-2136.0
5424;Households including NPISHs;Not consolidated;2011 1st quarter;168484.0;;;;;;39923.0;30151.0;;30151.0;8523.0;275.0;8248.0;1249.0;66.0;1183.0;73352.0;57177.0;16175.0;;;;;;;410.0;;410.0;11415.0;2139.0;260.0;1879.0;2258.0;2181.0;77.0;0.0;7014.0;1319.0;5269.0;426.0;4.0;;;;28373.0;128.0;;128.0;;;;28245.0;11484.0;11607.0;5154.0;6579.0;;2331.0;;;4248.0;;4066.0;4366.0;;105.0;4261.0;172670.0;;;;;;20384.0;3409.0;2683.0;726.0;424.0;;424.0;;;;4854.0;4785.0;-4831.0;9616.0;;;;;;;;;69.0;12190.0;10514.0;1676.0;39054.0;38926.0;12817.0;3358.0;19956.0;5269.0;-2474.0;128.0;;128.0;;5393.0;2360.0;;;;3033.0;;;73539.0;73539.0;1183.0;1183.0;;72356.0;;4605.0;344.0;;4261.0;8697.0;8595.0;6687.0;1908.0;102.0;35.0;67.0;121.0;;19539.0;;12852.0;16116.0;9429.0;;;96029.0;89342.0;74344.0;67657.0;4871.0;-1816.0;;;-2055.0;-4186.0;9114.0;12978.0;-3864.0;-322.0
5425;Households including NPISHs;Not consolidated;2011 2nd quarter;192971.0;;;;;;40854.0;31010.0;;31010.0;8547.0;272.0;8275.0;1297.0;69.0;1228.0;87902.0;70653.0;17249.0;;;;;;;510.0;;510.0;16584.0;2643.0;322.0;2321.0;4198.0;4065.0;133.0;0.0;9739.0;1776.0;7521.0;442.0;4.0;;;;30890.0;147.0;;147.0;;;;30743.0;14342.0;10741.0;5660.0;6219.0;;2326.0;;;3893.0;;6579.0;3433.0;;75.0;3358.0;177589.0;;;;;;20314.0;4117.0;3327.0;790.0;445.0;;445.0;;;;5290.0;5222.0;-4546.0;9768.0;;;;;;;;;68.0;16528.0;14875.0;1653.0;36726.0;36579.0;14623.0;2626.0;14448.0;7521.0;-2639.0;147.0;;147.0;;5248.0;2093.0;;;;3155.0;;;75843.0;75843.0;1228.0;1228.0;;74615.0;;3719.0;423.0;;3296.0;9187.0;9041.0;6778.0;2263.0;146.0;59.0;87.0;172.0;;20540.0;;13762.0;16488.0;9710.0;;;115684.0;108906.0;94291.0;87513.0;25027.0;18249.0;;;17963.0;15382.0;11168.0;-4785.0;15953.0;-571.0
5426;Households including NPISHs;Not consolidated;2011 3rd quarter;168937.0;;;;;;40031.0;30199.0;;30199.0;8603.0;271.0;8332.0;1229.0;66.0;1163.0;71850.0;55962.0;15888.0;;;;;;;497.0;;497.0;12541.0;2333.0;-37.0;2370.0;2160.0;1959.0;201.0;0.0;8043.0;1082.0;6751.0;210.0;5.0;;;;27767.0;138.0;;138.0;;;;27629.0;11069.0;11198.0;5362.0;6188.0;;2334.0;;;3854.0;;5710.0;4353.0;;76.0;4277.0;172462.0;;;;;;20057.0;3489.0;2745.0;744.0;476.0;;476.0;;;;4887.0;4823.0;-5148.0;9971.0;;;;;;;;;64.0;12122.0;10467.0;1655.0;38037.0;37899.0;12701.0;3187.0;17763.0;6751.0;-2503.0;138.0;;138.0;;5000.0;2007.0;;;;2993.0;;;75930.0;75930.0;1163.0;1163.0;;74767.0;;4598.0;347.0;;4251.0;7878.0;7946.0;6872.0;1074.0;-68.0;-48.0;-20.0;-12.0;;19974.0;;13102.0;16506.0;9634.0;;;96010.0;89138.0;74806.0;67934.0;4586.0;-2286.0;;;-2531.0;-3525.0;-6518.0;-3876.0;-2642.0;-883.0
5427;Households including NPISHs;Not consolidated;2011 4th quarter;177197.0;;;;;;41881.0;31929.0;;31929.0;8681.0;297.0;8384.0;1271.0;70.0;1201.0;79941.0;63336.0;16605.0;;;;;;;422.0;;422.0;11489.0;1976.0;-297.0;2273.0;1410.0;1314.0;96.0;0.0;8099.0;1644.0;6065.0;390.0;4.0;;;;28062.0;140.0;;140.0;;;;27922.0;11296.0;11386.0;5240.0;6430.0;;2581.0;;;3849.0;;4593.0;4379.0;;76.0;4303.0;177558.0;;;;;;21411.0;3707.0;2952.0;755.0;449.0;;449.0;;;;4227.0;4158.0;-5492.0;9650.0;;;;;;;;;69.0;13201.0;11586.0;1615.0;40155.0;40015.0;13629.0;2976.0;20022.0;6065.0;-2677.0;140.0;;140.0;;5766.0;2301.0;;;;3465.0;;;74878.0;74878.0;1201.0;1201.0;;73677.0;;4664.0;412.0;;4252.0;8831.0;8917.0;6940.0;1977.0;-86.0;-30.0;-56.0;269.0;;20470.0;;13530.0;16736.0;9796.0;;;103939.0;96999.0;79309.0;72369.0;9024.0;2084.0;;;1799.0;-361.0;-584.0;-496.0;-88.0;-273.0
5428;Households including NPISHs;Not consolidated;2011;707589.0;;;;;;162689.0;123289.0;;123289.0;34354.0;1115.0;33239.0;5046.0;271.0;4775.0;313045.0;247128.0;65917.0;;;;;;;1839.0;;1839.0;52029.0;9091.0;248.0;8843.0;10026.0;9519.0;507.0;0.0;32895.0;5821.0;25606.0;1468.0;17.0;;;;115092.0;553.0;;553.0;;;;114539.0;48191.0;44932.0;21416.0;25416.0;;9572.0;;;15844.0;;20948.0;16531.0;;332.0;16199.0;700279.0;;;;;;82166.0;14722.0;11707.0;3015.0;1794.0;;1794.0;;;;19258.0;18988.0;-20017.0;39005.0;;;;;;;;;270.0;54041.0;47442.0;6599.0;153972.0;153419.0;53770.0;12147.0;72189.0;25606.0;-10293.0;553.0;;553.0;;21407.0;8761.0;;;;12646.0;;;300190.0;300190.0;4775.0;4775.0;;295415.0;;17586.0;1526.0;;16060.0;34593.0;34499.0;27277.0;7222.0;94.0;16.0;78.0;550.0;;80523.0;;53246.0;65846.0;38569.0;;;411662.0;384385.0;322750.0;295473.0;43508.0;16231.0;;;15176.0;7310.0;13180.0;3821.0;9359.0;-2049.0
5429;Households including NPISHs;Not consolidated;2012 1st quarter;172866.0;;;;;;40487.0;30240.0;;30240.0;8964.0;295.0;8669.0;1283.0;65.0;1218.0;74537.0;57848.0;16689.0;;;;;;;391.0;;391.0;12612.0;2108.0;-634.0;2742.0;2627.0;2545.0;82.0;0.0;7873.0;1439.0;6037.0;397.0;4.0;;;;28411.0;115.0;;115.0;;;;28296.0;11699.0;11157.0;5440.0;6437.0;;2455.0;;;3982.0;;5579.0;4412.0;;68.0;4344.0;173718.0;;;;;;21690.0;3386.0;2634.0;752.0;440.0;;440.0;;;;3810.0;3733.0;-5986.0;9719.0;;;;;;;;;77.0;12141.0;10433.0;1708.0;40614.0;40499.0;13674.0;3015.0;20067.0;6037.0;-2294.0;115.0;;115.0;;5348.0;2338.0;;;;3010.0;;;74280.0;74280.0;1218.0;1218.0;;73062.0;;4528.0;286.0;;4242.0;7441.0;7431.0;6548.0;883.0;10.0;24.0;-14.0;40.0;;18797.0;;12249.0;15362.0;8814.0;;;98701.0;92153.0;75446.0;68898.0;6745.0;197.0;;;81.0;-852.0;7594.0;10840.0;-3246.0;2394.0
5430;Households including NPISHs;Not consolidated;2012 2nd quarter;196644.0;;;;;;41255.0;30885.0;;30885.0;9052.0;297.0;8755.0;1318.0;69.0;1249.0;89273.0;71050.0;18223.0;;;;;;;472.0;;472.0;16142.0;1504.0;-781.0;2285.0;4068.0;3918.0;150.0;0.0;10566.0;1539.0;8618.0;409.0;4.0;;;;31286.0;91.0;;91.0;;;;31195.0;14662.0;10743.0;5790.0;6241.0;;2322.0;;;3919.0;;8505.0;3470.0;;70.0;3400.0;179657.0;;;;;;22123.0;4090.0;3261.0;829.0;437.0;;437.0;;;;3242.0;3162.0;-6301.0;9463.0;;;;;;;;;80.0;16902.0;15197.0;1705.0;40366.0;40275.0;15566.0;2657.0;15846.0;8618.0;-2412.0;91.0;;91.0;;5283.0;2261.0;;;;3022.0;;;75923.0;75923.0;1249.0;1249.0;;74674.0;;3698.0;352.0;;3346.0;7617.0;7627.0;6777.0;850.0;-10.0;4.0;-14.0;-24.0;;19132.0;;12355.0;15077.0;8300.0;;;117250.0;110473.0;92226.0;85449.0;24808.0;18031.0;;;17803.0;16987.0;14001.0;-2320.0;16321.0;666.0
5431;Households including NPISHs;Not consolidated;2012 3rd quarter;172035.0;;;;;;40800.0;30598.0;;30598.0;8944.0;289.0;8655.0;1258.0;66.0;1192.0;72899.0;56417.0;16482.0;;;;;;;467.0;;467.0;12092.0;1216.0;-885.0;2101.0;2442.0;2236.0;206.0;0.0;8431.0;1075.0;7220.0;136.0;3.0;;;;28189.0;127.0;;127.0;;;;28062.0;11911.0;10934.0;5217.0;6184.0;;2338.0;;;3846.0;;6952.0;4452.0;;68.0;4384.0;172908.0;;;;;;21965.0;3465.0;2695.0;770.0;501.0;;501.0;;;;2521.0;2444.0;-6755.0;9199.0;;;;;;;;;77.0;12087.0;10380.0;1707.0;39096.0;38969.0;13512.0;2970.0;17618.0;7220.0;-2351.0;127.0;;127.0;;5202.0;2205.0;;;;2997.0;;;75873.0;75873.0;1192.0;1192.0;;74681.0;;4723.0;339.0;;4384.0;7520.0;7430.0;6769.0;661.0;90.0;36.0;54.0;-45.0;;18835.0;;12066.0;15336.0;8567.0;;;97806.0;91037.0;75794.0;69025.0;6873.0;104.0;;;-167.0;-873.0;-1.0;-2049.0;2048.0;-2921.0
5432;Households including NPISHs;Not consolidated;2012 4th quarter;180153.0;;;;;;42607.0;32552.0;;32552.0;8757.0;313.0;8444.0;1298.0;71.0;1227.0;80749.0;63427.0;17322.0;;;;;;;403.0;;403.0;11475.0;1180.0;-933.0;2113.0;1817.0;1709.0;108.0;0.0;8474.0;1588.0;6466.0;420.0;4.0;;;;28322.0;95.0;;95.0;;;;28227.0;11947.0;10894.0;5386.0;6304.0;;2458.0;;;3846.0;;5813.0;4480.0;;68.0;4412.0;176959.0;;;;;;23043.0;3647.0;2871.0;776.0;437.0;;437.0;;;;2669.0;2599.0;-6900.0;9499.0;;;;;;;;;70.0;12968.0;11424.0;1544.0;41796.0;41701.0;14858.0;2464.0;20345.0;6466.0;-2432.0;95.0;;95.0;;5323.0;2413.0;;;;2910.0;;;74586.0;74586.0;1227.0;1227.0;;73359.0;;4664.0;396.0;;4268.0;7596.0;7508.0;6645.0;863.0;88.0;32.0;56.0;230.0;;19564.0;;12919.0;15883.0;9238.0;;;105438.0;98793.0;79977.0;73332.0;11204.0;4559.0;;;4375.0;3194.0;6068.0;455.0;5613.0;-2419.0
5433;Households including NPISHs;Not consolidated;2012;721698.0;;;;;;165149.0;124275.0;;124275.0;35717.0;1194.0;34523.0;5157.0;271.0;4886.0;317458.0;248742.0;68716.0;;;;;;;1733.0;;1733.0;52321.0;6008.0;-3233.0;9241.0;10954.0;10408.0;546.0;0.0;35344.0;5641.0;28341.0;1362.0;15.0;;;;116208.0;428.0;;428.0;;;;115780.0;50219.0;43728.0;21833.0;25166.0;;9573.0;;;15593.0;;26849.0;16814.0;;274.0;16540.0;703242.0;;;;;;88821.0;14588.0;11461.0;3127.0;1815.0;;1815.0;;;;12242.0;11938.0;-25942.0;37880.0;;;;;;;;;304.0;54098.0;47434.0;6664.0;161872.0;161444.0;57610.0;11106.0;73876.0;28341.0;-9489.0;428.0;;428.0;;21156.0;9217.0;;;;11939.0;;;300662.0;300662.0;4886.0;4886.0;;295776.0;;17613.0;1373.0;;16240.0;30174.0;29996.0;26739.0;3257.0;178.0;96.0;82.0;201.0;;76328.0;;49589.0;61658.0;34919.0;;;419195.0;392456.0;323443.0;296704.0;49630.0;22891.0;;;22092.0;18456.0;27662.0;6926.0;20736.0;-2280.0
5434;Households including NPISHs;Not consolidated;2013 1st quarter;175298.0;;;;;;40880.0;30333.0;;30333.0;9176.0;299.0;8877.0;1371.0;67.0;1304.0;75596.0;58227.0;17369.0;;;;;;;375.0;;375.0;11917.0;1282.0;-694.0;1976.0;2568.0;2473.0;95.0;0.0;8064.0;1303.0;6354.0;407.0;3.0;;;;28628.0;146.0;;146.0;;;;28482.0;12104.0;11025.0;5353.0;6221.0;;2358.0;;;3863.0;;6781.0;4900.0;;76.0;4824.0;175481.0;;;;;;22487.0;3318.0;2565.0;753.0;446.0;;446.0;;;;2567.0;2506.0;-6652.0;9158.0;;;;;;;;;61.0;12269.0;10542.0;1727.0;42798.0;42652.0;14343.0;3026.0;21151.0;6354.0;-2222.0;146.0;;146.0;;5550.0;2446.0;;;;3104.0;;;74638.0;74638.0;1304.0;1304.0;;73334.0;;5209.0;358.0;;4851.0;6258.0;6284.0;6668.0;-384.0;-26.0;-48.0;22.0;-59.0;;18393.0;;11725.0;15004.0;8336.0;;;99950.0;93282.0;74182.0;67514.0;6325.0;-343.0;;;-652.0;-183.0;6778.0;8669.0;-1891.0;1708.0
5435;Households including NPISHs;Not consolidated;2013 2nd quarter;199657.0;;;;;;41787.0;31177.0;;31177.0;9200.0;297.0;8903.0;1410.0;73.0;1337.0;89589.0;71210.0;18379.0;;;;;;;515.0;;515.0;16034.0;1389.0;-565.0;1954.0;4169.0;4003.0;166.0;0.0;10472.0;1743.0;8283.0;446.0;4.0;;;;31743.0;80.0;;80.0;;;;31663.0;15469.0;10282.0;5912.0;6326.0;;2363.0;;;3963.0;;8981.0;4682.0;;50.0;4632.0;181701.0;;;;;;22715.0;3986.0;3190.0;796.0;450.0;;450.0;;;;2486.0;2444.0;-6554.0;8998.0;;;;;;;;;42.0;16343.0;14636.0;1707.0;41942.0;41862.0;16157.0;2222.0;17375.0;8283.0;-2175.0;80.0;;80.0;;5537.0;2381.0;;;;3156.0;;;76600.0;76600.0;1337.0;1337.0;;75263.0;;5038.0;437.0;;4601.0;6577.0;6605.0;6697.0;-92.0;-28.0;-48.0;20.0;27.0;;19072.0;;12375.0;15151.0;8454.0;;;118288.0;111591.0;92535.0;85838.0;24916.0;18219.0;;;17863.0;17956.0;15259.0;-3258.0;18517.0;-561.0
5436;Households including NPISHs;Not consolidated;2013 3rd quarter;174704.0;;;;;;41724.0;30855.0;;30855.0;9558.0;296.0;9262.0;1311.0;66.0;1245.0;73179.0;56434.0;16745.0;;;;;;;499.0;;499.0;12293.0;1624.0;-275.0;1899.0;2479.0;2231.0;248.0;0.0;8187.0;910.0;7096.0;181.0;3.0;;;;28896.0;115.0;;115.0;;;;28781.0;12834.0;10425.0;5522.0;6212.0;;2195.0;;;4017.0;;7539.0;4362.0;;48.0;4314.0;175335.0;;;;;;21762.0;3364.0;2606.0;758.0;500.0;;500.0;;;;2804.0;2748.0;-6161.0;8909.0;;;;;;;;;56.0;11972.0;10285.0;1687.0;40658.0;40543.0;14128.0;2617.0;18858.0;7096.0;-2156.0;115.0;;115.0;;5418.0;2270.0;;;;3148.0;;;77246.0;77246.0;1245.0;1245.0;;76001.0;;4805.0;497.0;;4308.0;6804.0;6827.0;6717.0;110.0;-23.0;-49.0;26.0;2.0;;19962.0;;13245.0;16597.0;9880.0;;;99265.0;92548.0;76325.0;69608.0;6618.0;-99.0;;;-542.0;-631.0;2143.0;3128.0;-985.0;354.0
5437;Households including NPISHs;Not consolidated;2013 4th quarter;183506.0;;;;;;43622.0;32626.0;;32626.0;9668.0;332.0;9336.0;1328.0;70.0;1258.0;80266.0;63993.0;16273.0;;;;;;;405.0;;405.0;11930.0;1637.0;-182.0;1819.0;1797.0;1674.0;123.0;0.0;8493.0;1378.0;6677.0;438.0;3.0;;;;29592.0;46.0;;46.0;;;;29546.0;12689.0;10979.0;5878.0;6158.0;;2429.0;;;3729.0;;6653.0;4880.0;;49.0;4831.0;179425.0;;;;;;22622.0;3492.0;2799.0;693.0;468.0;;468.0;;;;3002.0;2948.0;-5984.0;8932.0;;;;;;;;;54.0;13206.0;11583.0;1623.0;41991.0;41945.0;13475.0;2798.0;21099.0;6677.0;-2104.0;46.0;;46.0;;5380.0;2437.0;;;;2943.0;;;76354.0;76354.0;1258.0;1258.0;;75096.0;;5272.0;448.0;;4824.0;7462.0;7480.0;6706.0;774.0;-18.0;-49.0;31.0;176.0;;21000.0;;14294.0;17445.0;10739.0;;;106639.0;99933.0;81812.0;75106.0;12111.0;5405.0;;;5013.0;4081.0;-6819.0;-14345.0;7526.0;-3445.0
5438;Households including NPISHs;Not consolidated;2013;733165.0;;;;;;168013.0;124991.0;;124991.0;37602.0;1224.0;36378.0;5420.0;276.0;5144.0;318630.0;249864.0;68766.0;;;;;;;1794.0;;1794.0;52174.0;5932.0;-1716.0;7648.0;11013.0;10381.0;632.0;0.0;35216.0;5334.0;28410.0;1472.0;13.0;;;;118859.0;387.0;;387.0;;;;118472.0;53096.0;42711.0;22665.0;24917.0;;9345.0;;;15572.0;;29954.0;18824.0;;223.0;18601.0;711942.0;;;;;;89586.0;14160.0;11160.0;3000.0;1864.0;;1864.0;;;;10859.0;10646.0;-25351.0;35997.0;;;;;;;;;213.0;53790.0;47046.0;6744.0;167389.0;167002.0;58103.0;10663.0;78483.0;28410.0;-8657.0;387.0;;387.0;;21885.0;9534.0;;;;12351.0;;;304838.0;304838.0;5144.0;5144.0;;299694.0;;20324.0;1740.0;;18584.0;27101.0;27196.0;26788.0;408.0;-95.0;-194.0;99.0;146.0;;78427.0;;51639.0;64197.0;37409.0;;;424142.0;397354.0;324854.0;298066.0;49970.0;23182.0;;;21682.0;21223.0;17361.0;-5806.0;23167.0;-1944.0
5439;Households including NPISHs;Not consolidated;2014 1st quarter;178154.0;;;;;;42611.0;31440.0;;31440.0;9746.0;326.0;9420.0;1425.0;68.0;1357.0;75543.0;57922.0;17621.0;;;;;;;388.0;;388.0;12386.0;1564.0;-239.0;1803.0;2023.0;1903.0;120.0;0.0;8796.0;1438.0;6856.0;502.0;3.0;;;;29612.0;161.0;;161.0;;;;29451.0;12885.0;11416.0;5150.0;6138.0;;2454.0;;;3684.0;;6329.0;5147.0;;75.0;5072.0;178430.0;;;;;;22209.0;3352.0;2574.0;778.0;423.0;;423.0;;;;2956.0;2888.0;-6099.0;8987.0;;;;;;;;;68.0;12110.0;10315.0;1795.0;42699.0;42538.0;14421.0;3200.0;20271.0;6856.0;-2210.0;161.0;;161.0;;5665.0;2507.0;;;;3158.0;;;75774.0;75774.0;1357.0;1357.0;;74417.0;;5337.0;319.0;;5018.0;7720.0;7669.0;6655.0;1014.0;51.0;34.0;17.0;185.0;;20402.0;;13747.0;17015.0;10360.0;;;101988.0;95333.0;77264.0;70609.0;7819.0;1164.0;;;974.0;-276.0;1800.0;1675.0;125.0;-401.0
5440;Households including NPISHs;Not consolidated;2014 2nd quarter;203218.0;;;;;;43207.0;32026.0;;32026.0;9724.0;330.0;9394.0;1457.0;78.0;1379.0;90007.0;70886.0;19121.0;;;;;;;455.0;;455.0;16614.0;1418.0;-309.0;1727.0;4013.0;3808.0;205.0;0.0;11181.0;1684.0;8980.0;517.0;2.0;;;;33096.0;36.0;;36.0;;;;33060.0;16229.0;10902.0;5929.0;6082.0;;2323.0;;;3759.0;;8847.0;4910.0;;41.0;4869.0;184828.0;;;;;;22601.0;4020.0;3184.0;836.0;468.0;;468.0;;;;2643.0;2600.0;-6125.0;8725.0;;;;;;;;;43.0;17252.0;15395.0;1857.0;41347.0;41311.0;16526.0;2595.0;15406.0;8980.0;-2196.0;36.0;;36.0;;5703.0;2392.0;;;;3311.0;;;77954.0;77954.0;1379.0;1379.0;;76575.0;;5197.0;360.0;;4837.0;7553.0;7465.0;6663.0;802.0;88.0;74.0;14.0;90.0;;20606.0;;13943.0;16573.0;9910.0;;;120551.0;113888.0;95427.0;88764.0;26320.0;19657.0;;;19370.0;18390.0;14675.0;-1861.0;16536.0;1854.0
5441;Households including NPISHs;Not consolidated;2014 3rd quarter;178771.0;;;;;;43075.0;31578.0;;31578.0;10109.0;331.0;9778.0;1388.0;68.0;1320.0;74229.0;56735.0;17494.0;;;;;;;443.0;;443.0;12431.0;1147.0;-513.0;1660.0;2408.0;2129.0;279.0;0.0;8873.0;951.0;7696.0;226.0;3.0;;;;29676.0;99.0;;99.0;;;;29577.0;12865.0;11360.0;5352.0;6105.0;;2225.0;;;3880.0;;7125.0;5687.0;;34.0;5653.0;179625.0;;;;;;22274.0;3435.0;2659.0;776.0;505.0;;505.0;;;;2221.0;2165.0;-6465.0;8630.0;;;;;;;;;56.0;13034.0;11193.0;1841.0;40631.0;40532.0;14328.0;3166.0;17584.0;7696.0;-2242.0;99.0;;99.0;;5415.0;2322.0;;;;3093.0;;;78280.0;78280.0;1320.0;1320.0;;76960.0;;5963.0;370.0;;5593.0;7731.0;7684.0;6688.0;996.0;47.0;33.0;14.0;136.0;;20801.0;;14113.0;17304.0;10616.0;;;101743.0;95055.0;78444.0;71756.0;7289.0;601.0;;;325.0;-854.0;-1229.0;-1586.0;357.0;-1211.0
5442;Households including NPISHs;Not consolidated;2014 4th quarter;189330.0;;;;;;44897.0;33299.0;;33299.0;10193.0;344.0;9849.0;1405.0;69.0;1336.0;82894.0;64364.0;18530.0;;;;;;;383.0;;383.0;13567.0;975.0;-658.0;1633.0;3413.0;3261.0;152.0;0.0;9177.0;1368.0;7273.0;536.0;2.0;;;;29401.0;84.0;;84.0;;;;29317.0;12913.0;10813.0;5591.0;5700.0;;2469.0;;;3231.0;;6763.0;5725.0;;68.0;5657.0;185030.0;;;;;;23676.0;3618.0;2832.0;786.0;504.0;;504.0;;;;2024.0;1965.0;-6764.0;8729.0;;;;;;;;;59.0;14756.0;12992.0;1764.0;43547.0;43463.0;16040.0;2490.0;20065.0;7273.0;-2405.0;84.0;;84.0;;5258.0;2451.0;;;;2807.0;;;77652.0;77652.0;1336.0;1336.0;;76316.0;;6152.0;485.0;;5667.0;7690.0;7663.0;6667.0;996.0;27.0;13.0;14.0;153.0;;21221.0;;14554.0;17482.0;10815.0;;;111919.0;105252.0;83459.0;76792.0;12570.0;5903.0;;;5476.0;4300.0;10245.0;2718.0;7527.0;-3227.0
