ID;BuildingPhases;Region;Periods;TotalBuildingCosts_1;BuildingCostsAlteration_2;BuildingCostsNewBuildings_3;Dwelling_4;AAgricultureForestryAndFishing_5;BFManufacturingAndEnergy_6;GITradeHotelsRestaurantsBars_7;HJTransportICT_8;KNFinancialAndBusinessServices_9;OPublicAdministrationAndServices_10;PEducation_11;QHealthAndSocialWorkActivities_12;RUCultureRecreationOtherServices_13
5168;Building projects started;Zuid-Holland (PV);2017 April;331;78;253;155.0;17.0;32.0;8.0;18.0;6.0;0.0;3.0;11.0;3.0
5169;Building projects started;Zuid-Holland (PV);2017 May;504;65;440;364.0;7.0;8.0;22.0;18.0;2.0;0.0;7.0;7.0;5.0
5170;Building projects started;Zuid-Holland (PV);2017 June;232;48;185;137.0;1.0;5.0;19.0;4.0;4.0;0.0;9.0;5.0;0.0
5171;Building projects started;Zuid-Holland (PV);2017 2nd quarter;1067;190;877;656.0;24.0;46.0;49.0;40.0;12.0;0.0;19.0;23.0;8.0
5172;Building projects started;Zuid-Holland (PV);2017 July;204;60;144;116.0;2.0;10.0;6.0;2.0;1.0;0.0;1.0;3.0;4.0
5173;Building projects started;Zuid-Holland (PV);2017 August;375;72;303;270.0;9.0;10.0;4.0;1.0;2.0;0.0;2.0;0.0;4.0
5174;Building projects started;Zuid-Holland (PV);2017 September;218;90;129;79.0;4.0;9.0;16.0;1.0;5.0;0.0;13.0;1.0;0.0
5175;Building projects started;Zuid-Holland (PV);2017 3rd quarter;797;221;576;465.0;15.0;29.0;26.0;4.0;9.0;0.0;16.0;4.0;8.0
5176;Building projects started;Zuid-Holland (PV);2017 October;298;67;232;207.0;3.0;4.0;2.0;2.0;6.0;0.0;3.0;3.0;2.0
5177;Building projects started;Zuid-Holland (PV);2017 November;400;100;300;248.0;5.0;29.0;12.0;3.0;1.0;0.0;0.0;1.0;1.0
5178;Building projects started;Zuid-Holland (PV);2017 December;276;54;222;189.0;1.0;10.0;1.0;5.0;0.0;0.0;0.0;11.0;4.0
5179;Building projects started;Zuid-Holland (PV);2017 4th quarter;975;221;754;644.0;9.0;43.0;16.0;9.0;7.0;0.0;4.0;14.0;7.0
5180;Building projects started;Zuid-Holland (PV);2017;3684;864;2819;2176.0;65.0;166.0;106.0;63.0;37.0;0.0;43.0;50.0;114.0
5181;Building projects started;Zuid-Holland (PV);2018 January;348;92;256;214.0;;;;;;;;;
5182;Building projects started;Zuid-Holland (PV);2018 February;277;62;215;174.0;;;;;;;;;
5183;Building projects started;Zuid-Holland (PV);2018 March;317;45;272;191.0;;;;;;;;;
5184;Building projects started;Zuid-Holland (PV);2018 1st quarter;942;198;744;579.0;;;;;;;;;
5185;Building projects started;Zuid-Holland (PV);2018 April;223;66;157;105.0;;;;;;;;;
5186;Building projects started;Zuid-Holland (PV);2018 May;381;72;309;264.0;;;;;;;;;
5187;Building projects started;Zuid-Holland (PV);2018 June;282;38;244;150.0;;;;;;;;;
5188;Building projects started;Zuid-Holland (PV);2018 2nd quarter;886;176;710;519.0;;;;;;;;;
5189;Building projects started;Zuid-Holland (PV);2018 July;471;74;396;226.0;;;;;;;;;
5190;Building projects started;Zuid-Holland (PV);2018 August;401;89;312;249.0;;;;;;;;;
5191;Building projects started;Zuid-Holland (PV);2018 September;306;56;250;165.0;;;;;;;;;
5192;Building projects started;Zuid-Holland (PV);2018 3rd quarter;1177;220;957;640.0;;;;;;;;;
5193;Building projects started;Zuid-Holland (PV);2018 October;317;90;227;174.0;;;;;;;;;
5194;Building projects started;Zuid-Holland (PV);2018 November;533;91;442;380.0;;;;;;;;;
5195;Building projects started;Zuid-Holland (PV);2018 December;394;62;332;275.0;;;;;;;;;
5196;Building projects started;Zuid-Holland (PV);2018 4th quarter;1244;243;1000;829.0;;;;;;;;;
5197;Building projects started;Zuid-Holland (PV);2018;4249;838;3411;2567.0;34.0;129.0;307.0;116.0;75.0;6.0;35.0;82.0;59.0
5198;Building projects started;Zuid-Holland (PV);2019 January;321;58;263;172.0;;;;;;;;;
5199;Building projects started;Zuid-Holland (PV);2019 February;361;124;237;201.0;;;;;;;;;
5200;Building projects started;Zuid-Holland (PV);2019 March;256;67;189;98.0;;;;;;;;;
5201;Building projects started;Zuid-Holland (PV);2019 1st quarter;938;248;689;471.0;;;;;;;;;
5202;Building projects started;Zuid-Holland (PV);2019 April;337;105;232;194.0;;;;;;;;;
5203;Building projects started;Zuid-Holland (PV);2019 May;256;61;194;127.0;;;;;;;;;
5204;Building projects started;Zuid-Holland (PV);2019 June;257;80;177;116.0;;;;;;;;;
5205;Building projects started;Zuid-Holland (PV);2019 2nd quarter;850;247;603;437.0;;;;;;;;;
5206;Building projects started;Zuid-Holland (PV);2019 July;249;48;201;142.0;;;;;;;;;
5207;Building projects started;Zuid-Holland (PV);2019 August;503;178;324;263.0;;;;;;;;;
5208;Building projects started;Zuid-Holland (PV);2019 September;442;58;384;258.0;;;;;;;;;
5209;Building projects started;Zuid-Holland (PV);2019 3rd quarter;1194;285;910;663.0;;;;;;;;;
5210;Building projects started;Zuid-Holland (PV);2019 October;359;92;267;182.0;;;;;;;;;
5211;Building projects started;Zuid-Holland (PV);2019 November;350;117;232;182.0;;;;;;;;;
5212;Building projects started;Zuid-Holland (PV);2019 December;284;93;192;118.0;;;;;;;;;
5213;Building projects started;Zuid-Holland (PV);2019 4th quarter;993;302;691;482.0;;;;;;;;;
5214;Building projects started;Zuid-Holland (PV);2019;3974;1081;2893;2054.0;31.0;216.0;140.0;115.0;124.0;8.0;83.0;73.0;49.0
5215;Building projects started;Zuid-Holland (PV);2020 January;512;89;423;299.0;;;;;;;;;
5216;Building projects started;Zuid-Holland (PV);2020 February;252;82;170;120.0;;;;;;;;;
5217;Building projects started;Zuid-Holland (PV);2020 March;249;78;171;94.0;;;;;;;;;
5218;Building projects started;Zuid-Holland (PV);2020 1st quarter;1013;248;765;512.0;;;;;;;;;
5219;Building projects started;Zuid-Holland (PV);2020 April;364;98;266;207.0;;;;;;;;;
5220;Building projects started;Zuid-Holland (PV);2020 May;272;64;208;154.0;;;;;;;;;
5221;Building projects started;Zuid-Holland (PV);2020 June;444;165;279;167.0;;;;;;;;;
5222;Building projects started;Zuid-Holland (PV);2020 2nd quarter;1080;327;753;529.0;;;;;;;;;
5223;Building projects started;Zuid-Holland (PV);2020 July;281;55;226;155.0;;;;;;;;;
5224;Building projects started;Zuid-Holland (PV);2020 August;423;67;357;201.0;;;;;;;;;
5225;Building projects started;Zuid-Holland (PV);2020 September;392;91;301;154.0;;;;;;;;;
5226;Building projects started;Zuid-Holland (PV);2020 3rd quarter;1097;213;884;510.0;;;;;;;;;
5227;Building projects started;Zuid-Holland (PV);2020 October;277;65;212;135.0;;;;;;;;;
5228;Building projects started;Zuid-Holland (PV);2020 November;501;70;431;369.0;;;;;;;;;
5229;Building projects started;Zuid-Holland (PV);2020 December;398;59;338;267.0;;;;;;;;;
5230;Building projects started;Zuid-Holland (PV);2020 4th quarter;1176;194;982;771.0;;;;;;;;;
5231;Building projects started;Zuid-Holland (PV);2020;4365;982;3383;2322.0;22.0;268.0;175.0;287.0;96.0;4.0;75.0;83.0;51.0
5232;Building projects started;Zuid-Holland (PV);2021 January;490;104;386;336.0;;;;;;;;;
5233;Building projects started;Zuid-Holland (PV);2021 February;448;84;364;243.0;;;;;;;;;
5234;Building projects started;Zuid-Holland (PV);2021 March;388;110;277;213.0;;;;;;;;;
5235;Building projects started;Zuid-Holland (PV);2021 1st quarter;1326;299;1027;792.0;;;;;;;;;
5236;Building projects started;Zuid-Holland (PV);2021 April;503;48;454;337.0;;;;;;;;;
5237;Building projects started;Zuid-Holland (PV);2021 May;435;76;359;285.0;;;;;;;;;
5238;Building projects started;Zuid-Holland (PV);2021 June;387;75;312;221.0;;;;;;;;;
5239;Building projects started;Zuid-Holland (PV);2021 2nd quarter;1325;199;1126;842.0;;;;;;;;;
5240;Building projects started;Zuid-Holland (PV);2021 July;322;64;258;205.0;;;;;;;;;
5241;Building projects started;Zuid-Holland (PV);2021 August;428;66;362;286.0;;;;;;;;;
5242;Building projects started;Zuid-Holland (PV);2021 September;376;109;268;205.0;;;;;;;;;
5243;Building projects started;Zuid-Holland (PV);2021 3rd quarter;1127;239;888;696.0;;;;;;;;;
5244;Building projects started;Zuid-Holland (PV);2021 October;425;114;311;155.0;;;;;;;;;
5245;Building projects started;Zuid-Holland (PV);2021 November;521;127;394;326.0;;;;;;;;;
5246;Building projects started;Zuid-Holland (PV);2021 December;525;71;455;399.0;;;;;;;;;
5247;Building projects started;Zuid-Holland (PV);2021 4th quarter;1471;311;1159;881.0;;;;;;;;;
5248;Building projects started;Zuid-Holland (PV);2021;5249;1049;4200;3210.0;37.0;154.0;114.0;212.0;113.0;99.0;124.0;80.0;58.0
5249;Building projects started;Zuid-Holland (PV);2022 January;675;72;603;477.0;;;;;;;;;
5250;Building projects started;Zuid-Holland (PV);2022 February;471;49;422;337.0;;;;;;;;;
5251;Building projects started;Zuid-Holland (PV);2022 March;337;85;252;216.0;;;;;;;;;
5252;Building projects started;Zuid-Holland (PV);2022 1st quarter;1484;206;1278;1029.0;;;;;;;;;
5253;Building projects started;Zuid-Holland (PV);2022 April;519;106;412;365.0;;;;;;;;;
5254;Building projects started;Zuid-Holland (PV);2022 May;407;62;344;255.0;;;;;;;;;
5255;Building projects started;Zuid-Holland (PV);2022 June;319;71;248;200.0;;;;;;;;;
5256;Building projects started;Zuid-Holland (PV);2022 2nd quarter;1244;239;1005;821.0;;;;;;;;;
5257;Building projects started;Zuid-Holland (PV);2022 July;548;55;493;391.0;;;;;;;;;
5258;Building projects started;Zuid-Holland (PV);2022 August;686;91;595;523.0;;;;;;;;;
5259;Building projects started;Zuid-Holland (PV);2022 September;337;105;232;172.0;;;;;;;;;
5260;Building projects started;Zuid-Holland (PV);2022 3rd quarter;1571;251;1320;1086.0;;;;;;;;;
5261;Building projects started;Zuid-Holland (PV);2022 October;363;149;214;146.0;;;;;;;;;
5262;Building projects started;Zuid-Holland (PV);2022 November;434;75;359;304.0;;;;;;;;;
5263;Building projects started;Zuid-Holland (PV);2022 December;400;71;329;218.0;;;;;;;;;
5264;Building projects started;Zuid-Holland (PV);2022 4th quarter;1197;295;902;668.0;;;;;;;;;
5265;Building projects started;Zuid-Holland (PV);2022;5496;991;4505;3604.0;32.0;203.0;71.0;286.0;118.0;16.0;92.0;45.0;38.0
5266;Building projects started;Zuid-Holland (PV);2023 January;261;71;190;133.0;;;;;;;;;
5267;Building projects started;Zuid-Holland (PV);2023 February;370;69;301;142.0;;;;;;;;;
5268;Building projects started;Zuid-Holland (PV);2023 March;160;50;110;73.0;;;;;;;;;
5269;Building projects started;Zuid-Holland (PV);2023 1st quarter;791;190;601;348.0;;;;;;;;;
5270;Building projects started;Zuid-Holland (PV);2023 April;287;58;230;119.0;;;;;;;;;
5271;Building projects started;Zuid-Holland (PV);2023 May;516;81;435;325.0;;;;;;;;;
5272;Building projects started;Zuid-Holland (PV);2023 June;275;71;204;163.0;;;;;;;;;
5273;Building projects started;Zuid-Holland (PV);2023 2nd quarter;1078;209;869;607.0;;;;;;;;;
5274;Building projects started;Zuid-Holland (PV);2023 July;546;90;456;288.0;;;;;;;;;
5275;Building projects started;Zuid-Holland (PV);2023 August;293;96;197;123.0;;;;;;;;;
5276;Building projects started;Zuid-Holland (PV);2023 September;269;75;194;111.0;;;;;;;;;
5277;Building projects started;Zuid-Holland (PV);2023 3rd quarter;1109;261;847;522.0;;;;;;;;;
5278;Building projects started;Zuid-Holland (PV);2023 October;412;119;293;219.0;;;;;;;;;
5279;Building projects started;Zuid-Holland (PV);2023 November;345;140;205;123.0;;;;;;;;;
5280;Building projects started;Zuid-Holland (PV);2023 December;532;94;438;235.0;;;;;;;;;
5281;Building projects started;Zuid-Holland (PV);2023 4th quarter;1290;353;937;578.0;;;;;;;;;
5282;Building projects started;Zuid-Holland (PV);2023;4267;1014;3254;2054.0;32.0;200.0;187.0;221.0;205.0;94.0;142.0;81.0;37.0
5283;Building projects started;Zuid-Holland (PV);2024 January;361;73;288;181.0;;;;;;;;;
5284;Building projects started;Zuid-Holland (PV);2024 February;301;84;217;118.0;;;;;;;;;
5285;Building projects started;Zuid-Holland (PV);2024 March;751;164;588;473.0;;;;;;;;;
5286;Building projects started;Zuid-Holland (PV);2024 1st quarter;1413;321;1092;773.0;;;;;;;;;
5287;Building projects started;Zuid-Holland (PV);2024 April;467;102;366;309.0;;;;;;;;;
5288;Building projects started;Zuid-Holland (PV);2024 May;316;61;255;168.0;;;;;;;;;
5289;Building projects started;Zuid-Holland (PV);2024 June;628;70;558;424.0;;;;;;;;;
5290;Building projects started;Zuid-Holland (PV);2024 2nd quarter;1411;233;1179;900.0;;;;;;;;;
5291;Building projects started;Zuid-Holland (PV);2024 July;579;63;516;365.0;;;;;;;;;
5292;Building projects started;Zuid-Holland (PV);2024 August;679;99;580;393.0;;;;;;;;;
5293;Building projects started;Zuid-Holland (PV);2024 September;248;29;219;126.0;;;;;;;;;
5294;Building projects started;Zuid-Holland (PV);2024 3rd quarter;1507;192;1315;884.0;;;;;;;;;
5295;Building projects started;Zuid-Holland (PV);2024 October;283;130;153;89.0;;;;;;;;;
5296;Building projects started;Zuid-Holland (PV);2024 November;733;253;481;365.0;;;;;;;;;
5297;Building projects started;Zuid-Holland (PV);2024 December;890;82;808;705.0;;;;;;;;;
5298;Building projects started;Zuid-Holland (PV);2024 4th quarter;1906;464;1442;1159.0;;;;;;;;;
5299;Building projects started;Zuid-Holland (PV);2024;6238;1210;5028;3715.0;85.0;259.0;197.0;124.0;213.0;44.0;132.0;112.0;147.0
5300;Building projects started;Zuid-Holland (PV);2025 January;632;77;555;493.0;;;;;;;;;
5301;Building projects started;Zeeland (PV);2015 January;28;12;16;10.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;1.0;0.0
5302;Building projects started;Zeeland (PV);2015 February;22;2;19;14.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;1.0;0.0
5303;Building projects started;Zeeland (PV);2015 March;22;3;18;16.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
5304;Building projects started;Zeeland (PV);2015 1st quarter;72;18;54;41.0;1.0;1.0;8.0;0.0;0.0;0.0;0.0;2.0;1.0
5305;Building projects started;Zeeland (PV);2015 April;32;5;27;23.0;3.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
5306;Building projects started;Zeeland (PV);2015 May;49;8;42;36.0;0.0;1.0;2.0;0.0;3.0;0.0;0.0;0.0;0.0
5307;Building projects started;Zeeland (PV);2015 June;45;9;35;30.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0
5308;Building projects started;Zeeland (PV);2015 2nd quarter;126;22;104;88.0;4.0;1.0;4.0;1.0;4.0;0.0;0.0;1.0;1.0
5309;Building projects started;Zeeland (PV);2015 July;23;10;13;8.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0
5310;Building projects started;Zeeland (PV);2015 August;34;3;31;23.0;1.0;0.0;3.0;0.0;4.0;0.0;0.0;0.0;1.0
5311;Building projects started;Zeeland (PV);2015 September;26;8;17;10.0;5.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
5312;Building projects started;Zeeland (PV);2015 3rd quarter;83;22;61;41.0;6.0;2.0;6.0;0.0;4.0;0.0;0.0;1.0;1.0
5313;Building projects started;Zeeland (PV);2015 October;10;4;7;4.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5314;Building projects started;Zeeland (PV);2015 November;13;3;11;9.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5315;Building projects started;Zeeland (PV);2015 December;17;7;10;7.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0
5316;Building projects started;Zeeland (PV);2015 4th quarter;41;13;28;19.0;2.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0
5317;Building projects started;Zeeland (PV);2015;320;74;247;189.0;14.0;6.0;20.0;1.0;9.0;0.0;0.0;4.0;3.0
5318;Building projects started;Zeeland (PV);2016 January;18;4;14;13.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5319;Building projects started;Zeeland (PV);2016 February;28;15;13;10.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0
5320;Building projects started;Zeeland (PV);2016 March;36;8;29;14.0;10.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;1.0
5321;Building projects started;Zeeland (PV);2016 1st quarter;82;26;56;37.0;10.0;1.0;3.0;0.0;2.0;0.0;0.0;0.0;2.0
5322;Building projects started;Zeeland (PV);2016 April;33;4;29;13.0;12.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;1.0
5323;Building projects started;Zeeland (PV);2016 May;30;8;22;16.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5324;Building projects started;Zeeland (PV);2016 June;24;4;21;11.0;2.0;0.0;2.0;0.0;5.0;0.0;0.0;1.0;0.0
5325;Building projects started;Zeeland (PV);2016 2nd quarter;87;16;72;40.0;19.0;0.0;4.0;1.0;6.0;0.0;0.0;1.0;1.0
5326;Building projects started;Zeeland (PV);2016 July;39;12;27;18.0;0.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5327;Building projects started;Zeeland (PV);2016 August;21;5;16;10.0;1.0;1.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0
5328;Building projects started;Zeeland (PV);2016 September;32;9;24;18.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0
5329;Building projects started;Zeeland (PV);2016 3rd quarter;92;26;67;46.0;4.0;10.0;1.0;0.0;0.0;0.0;2.0;3.0;1.0
5330;Building projects started;Zeeland (PV);2016 October;23;3;20;11.0;3.0;3.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0
5331;Building projects started;Zeeland (PV);2016 November;51;3;48;23.0;1.0;20.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0
5332;Building projects started;Zeeland (PV);2016 December;11;1;9;6.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0
5333;Building projects started;Zeeland (PV);2016 4th quarter;85;7;78;40.0;5.0;24.0;2.0;1.0;0.0;0.0;0.0;4.0;1.0
5334;Building projects started;Zeeland (PV);2016;347;75;272;164.0;38.0;35.0;10.0;3.0;7.0;0.0;2.0;8.0;5.0
5335;Building projects started;Zeeland (PV);2017 January;36;2;34;27.0;0.0;1.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0
5336;Building projects started;Zeeland (PV);2017 February;20;4;16;16.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5337;Building projects started;Zeeland (PV);2017 March;31;5;26;18.0;1.0;3.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0
5338;Building projects started;Zeeland (PV);2017 1st quarter;87;12;76;61.0;2.0;4.0;7.0;0.0;1.0;0.0;0.0;0.0;0.0
5339;Building projects started;Zeeland (PV);2017 April;19;5;14;7.0;2.0;3.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0
5340;Building projects started;Zeeland (PV);2017 May;30;4;26;19.0;2.0;1.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0
5341;Building projects started;Zeeland (PV);2017 June;17;3;14;10.0;1.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5342;Building projects started;Zeeland (PV);2017 2nd quarter;66;11;54;36.0;5.0;8.0;3.0;2.0;0.0;0.0;0.0;0.0;0.0
5343;Building projects started;Zeeland (PV);2017 July;35;5;30;21.0;2.0;3.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0
5344;Building projects started;Zeeland (PV);2017 August;63;4;59;25.0;1.0;3.0;2.0;0.0;0.0;0.0;0.0;0.0;28.0
5345;Building projects started;Zeeland (PV);2017 September;30;4;26;19.0;2.0;0.0;1.0;0.0;4.0;0.0;0.0;0.0;0.0
5346;Building projects started;Zeeland (PV);2017 3rd quarter;127;13;115;65.0;4.0;7.0;3.0;0.0;7.0;0.0;0.0;0.0;28.0
5347;Building projects started;Zeeland (PV);2017 October;31;7;24;15.0;3.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
5348;Building projects started;Zeeland (PV);2017 November;26;7;19;17.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
5349;Building projects started;Zeeland (PV);2017 December;30;4;26;14.0;1.0;3.0;6.0;3.0;0.0;0.0;0.0;0.0;0.0
5350;Building projects started;Zeeland (PV);2017 4th quarter;87;18;69;46.0;4.0;6.0;9.0;3.0;0.0;0.0;0.0;0.0;2.0
5351;Building projects started;Zeeland (PV);2017;367;53;314;207.0;15.0;25.0;22.0;5.0;9.0;0.0;0.0;0.0;30.0
5352;Building projects started;Zeeland (PV);2018 January;37;5;32;16.0;;;;;;;;;
5353;Building projects started;Zeeland (PV);2018 February;33;7;27;23.0;;;;;;;;;
5354;Building projects started;Zeeland (PV);2018 March;58;8;50;34.0;;;;;;;;;
5355;Building projects started;Zeeland (PV);2018 1st quarter;128;20;109;72.0;;;;;;;;;
5356;Building projects started;Zeeland (PV);2018 April;34;6;28;9.0;;;;;;;;;
5357;Building projects started;Zeeland (PV);2018 May;32;8;24;18.0;;;;;;;;;
5358;Building projects started;Zeeland (PV);2018 June;53;7;46;20.0;;;;;;;;;
5359;Building projects started;Zeeland (PV);2018 2nd quarter;119;21;99;47.0;;;;;;;;;
5360;Building projects started;Zeeland (PV);2018 July;37;8;29;17.0;;;;;;;;;
5361;Building projects started;Zeeland (PV);2018 August;37;7;30;22.0;;;;;;;;;
5362;Building projects started;Zeeland (PV);2018 September;44;5;39;20.0;;;;;;;;;
5363;Building projects started;Zeeland (PV);2018 3rd quarter;118;20;98;59.0;;;;;;;;;
5364;Building projects started;Zeeland (PV);2018 October;25;4;21;17.0;;;;;;;;;
5365;Building projects started;Zeeland (PV);2018 November;80;17;63;47.0;;;;;;;;;
5366;Building projects started;Zeeland (PV);2018 December;52;3;49;33.0;;;;;;;;;
5367;Building projects started;Zeeland (PV);2018 4th quarter;157;25;133;97.0;;;;;;;;;
5368;Building projects started;Zeeland (PV);2018;524;85;438;275.0;32.0;44.0;42.0;13.0;10.0;0.0;1.0;5.0;16.0
5369;Building projects started;Zeeland (PV);2019 January;36;8;28;20.0;;;;;;;;;
5370;Building projects started;Zeeland (PV);2019 February;36;6;30;23.0;;;;;;;;;
5371;Building projects started;Zeeland (PV);2019 March;22;4;18;10.0;;;;;;;;;
5372;Building projects started;Zeeland (PV);2019 1st quarter;95;19;76;53.0;;;;;;;;;
5373;Building projects started;Zeeland (PV);2019 April;27;6;21;11.0;;;;;;;;;
5374;Building projects started;Zeeland (PV);2019 May;32;8;24;16.0;;;;;;;;;
5375;Building projects started;Zeeland (PV);2019 June;46;12;34;25.0;;;;;;;;;
5376;Building projects started;Zeeland (PV);2019 2nd quarter;106;26;80;53.0;;;;;;;;;
5377;Building projects started;Zeeland (PV);2019 July;38;8;30;13.0;;;;;;;;;
5378;Building projects started;Zeeland (PV);2019 August;31;6;26;20.0;;;;;;;;;
5379;Building projects started;Zeeland (PV);2019 September;44;17;27;16.0;;;;;;;;;
5380;Building projects started;Zeeland (PV);2019 3rd quarter;114;31;82;50.0;;;;;;;;;
5381;Building projects started;Zeeland (PV);2019 October;26;6;20;13.0;;;;;;;;;
5382;Building projects started;Zeeland (PV);2019 November;107;41;66;59.0;;;;;;;;;
5383;Building projects started;Zeeland (PV);2019 December;60;8;52;33.0;;;;;;;;;
5384;Building projects started;Zeeland (PV);2019 4th quarter;194;55;138;105.0;;;;;;;;;
5385;Building projects started;Zeeland (PV);2019;508;131;376;261.0;12.0;18.0;40.0;3.0;7.0;1.0;2.0;25.0;7.0
5386;Building projects started;Zeeland (PV);2020 January;33;5;28;22.0;;;;;;;;;
5387;Building projects started;Zeeland (PV);2020 February;26;8;19;16.0;;;;;;;;;
5388;Building projects started;Zeeland (PV);2020 March;41;16;25;19.0;;;;;;;;;
5389;Building projects started;Zeeland (PV);2020 1st quarter;100;29;71;57.0;;;;;;;;;
5390;Building projects started;Zeeland (PV);2020 April;39;12;27;23.0;;;;;;;;;
5391;Building projects started;Zeeland (PV);2020 May;45;7;38;33.0;;;;;;;;;
5392;Building projects started;Zeeland (PV);2020 June;57;18;39;29.0;;;;;;;;;
5393;Building projects started;Zeeland (PV);2020 2nd quarter;141;37;104;85.0;;;;;;;;;
5394;Building projects started;Zeeland (PV);2020 July;43;11;32;27.0;;;;;;;;;
5395;Building projects started;Zeeland (PV);2020 August;49;27;22;17.0;;;;;;;;;
5396;Building projects started;Zeeland (PV);2020 September;27;9;18;15.0;;;;;;;;;
5397;Building projects started;Zeeland (PV);2020 3rd quarter;119;47;72;60.0;;;;;;;;;
5398;Building projects started;Zeeland (PV);2020 October;34;9;25;18.0;;;;;;;;;
5399;Building projects started;Zeeland (PV);2020 November;41;7;33;25.0;;;;;;;;;
5400;Building projects started;Zeeland (PV);2020 December;30;15;14;11.0;;;;;;;;;
5401;Building projects started;Zeeland (PV);2020 4th quarter;104;32;72;54.0;;;;;;;;;
5402;Building projects started;Zeeland (PV);2020;464;144;320;255.0;13.0;18.0;15.0;3.0;5.0;0.0;1.0;8.0;2.0
5403;Building projects started;Zeeland (PV);2021 January;25;9;16;10.0;;;;;;;;;
5404;Building projects started;Zeeland (PV);2021 February;71;23;48;43.0;;;;;;;;;
5405;Building projects started;Zeeland (PV);2021 March;49;9;40;30.0;;;;;;;;;
5406;Building projects started;Zeeland (PV);2021 1st quarter;145;42;104;83.0;;;;;;;;;
5407;Building projects started;Zeeland (PV);2021 April;77;29;48;28.0;;;;;;;;;
5408;Building projects started;Zeeland (PV);2021 May;95;10;85;44.0;;;;;;;;;
5409;Building projects started;Zeeland (PV);2021 June;83;28;55;44.0;;;;;;;;;
5410;Building projects started;Zeeland (PV);2021 2nd quarter;256;68;187;116.0;;;;;;;;;
5411;Building projects started;Zeeland (PV);2021 July;49;11;38;12.0;;;;;;;;;
5412;Building projects started;Zeeland (PV);2021 August;96;14;82;77.0;;;;;;;;;
5413;Building projects started;Zeeland (PV);2021 September;40;9;31;25.0;;;;;;;;;
5414;Building projects started;Zeeland (PV);2021 3rd quarter;186;34;152;113.0;;;;;;;;;
5415;Building projects started;Zeeland (PV);2021 October;50;9;40;21.0;;;;;;;;;
5416;Building projects started;Zeeland (PV);2021 November;43;11;32;25.0;;;;;;;;;
5417;Building projects started;Zeeland (PV);2021 December;48;9;38;29.0;;;;;;;;;
5418;Building projects started;Zeeland (PV);2021 4th quarter;141;30;111;75.0;;;;;;;;;
5419;Building projects started;Zeeland (PV);2021;728;173;554;388.0;16.0;30.0;53.0;17.0;9.0;16.0;14.0;7.0;4.0
5420;Building projects started;Zeeland (PV);2022 January;40;6;34;21.0;;;;;;;;;
5421;Building projects started;Zeeland (PV);2022 February;35;4;31;16.0;;;;;;;;;
5422;Building projects started;Zeeland (PV);2022 March;49;12;37;34.0;;;;;;;;;
5423;Building projects started;Zeeland (PV);2022 1st quarter;124;22;102;71.0;;;;;;;;;
5424;Building projects started;Zeeland (PV);2022 April;50;5;44;39.0;;;;;;;;;
5425;Building projects started;Zeeland (PV);2022 May;55;12;43;34.0;;;;;;;;;
5426;Building projects started;Zeeland (PV);2022 June;64;22;42;26.0;;;;;;;;;
5427;Building projects started;Zeeland (PV);2022 2nd quarter;168;39;129;99.0;;;;;;;;;
5428;Building projects started;Zeeland (PV);2022 July;44;9;35;31.0;;;;;;;;;
5429;Building projects started;Zeeland (PV);2022 August;53;11;42;34.0;;;;;;;;;
5430;Building projects started;Zeeland (PV);2022 September;58;29;29;20.0;;;;;;;;;
