ID;Client;BuildingPhases;Periods;TotalBuildingCosts_1;BuildingCostsAlteration_2;BuildingCostsNewBuildings_3;Dwelling_4;AAgricultureForestryAndFishing_5;BFManufacturingAndEnergy_6;GITradeHotelsRestaurantsBars_7;HJTransportICT_8;KNFinancialAndBusinessServices_9;OPublicAdministrationAndServices_10;PEducation_11;QHealthAndSocialWorkActivities_12;RUCultureRecreationOtherServices_13
994;Total;Remaining production of buildings;2023 1st quarter;17061;2815;14247;9652.0;107.0;1022.0;577.0;1300.0;417.0;156.0;325.0;471.0;220.0
995;Total;Remaining production of buildings;2023 April;17037;2769;14268;9684.0;104.0;1006.0;587.0;1245.0;443.0;216.0;326.0;451.0;206.0
996;Total;Remaining production of buildings;2023 May;17225;2773;14452;9872.0;98.0;976.0;595.0;1240.0;460.0;206.0;374.0;436.0;195.0
997;Total;Remaining production of buildings;2023 June;16760;2728;14033;9520.0;89.0;932.0;561.0;1255.0;477.0;191.0;410.0;410.0;188.0
998;Total;Remaining production of buildings;2023 2nd quarter;16760;2728;14033;9520.0;89.0;932.0;561.0;1255.0;477.0;191.0;410.0;410.0;188.0
999;Total;Remaining production of buildings;2023 July;16995;2776;14219;9659.0;89.0;906.0;580.0;1277.0;502.0;186.0;418.0;396.0;206.0
1000;Total;Remaining production of buildings;2023 August;17574;2936;14639;9972.0;97.0;958.0;625.0;1271.0;520.0;179.0;433.0;377.0;206.0
1001;Total;Remaining production of buildings;2023 September;16946;2876;14070;9618.0;95.0;871.0;591.0;1241.0;483.0;167.0;416.0;388.0;200.0
1002;Total;Remaining production of buildings;2023 3rd quarter;16946;2876;14070;9618.0;95.0;871.0;591.0;1241.0;483.0;167.0;416.0;388.0;200.0
1003;Total;Remaining production of buildings;2023 October;16530;2821;13709;9412.0;89.0;815.0;579.0;1190.0;470.0;160.0;427.0;380.0;186.0
1004;Total;Remaining production of buildings;2023 November;16296;2783;13513;9416.0;86.0;734.0;553.0;1153.0;441.0;154.0;434.0;359.0;184.0
1005;Total;Remaining production of buildings;2023 December;16681;2832;13849;9635.0;88.0;706.0;582.0;1150.0;596.0;145.0;437.0;332.0;177.0
1006;Total;Remaining production of buildings;2023 4th quarter;16681;2832;13849;9635.0;88.0;706.0;582.0;1150.0;596.0;145.0;437.0;332.0;177.0
1007;Total;Remaining production of buildings;2023;16681;2832;13849;9635.0;88.0;706.0;582.0;1150.0;596.0;145.0;437.0;332.0;177.0
1008;Total;Remaining production of buildings;2024 January;16790;2932;13858;9670.0;105.0;692.0;578.0;1122.0;597.0;135.0;445.0;327.0;188.0
1009;Total;Remaining production of buildings;2024 February;16479;2856;13623;9347.0;103.0;797.0;591.0;1142.0;597.0;127.0;429.0;329.0;160.0
1010;Total;Remaining production of buildings;2024 March;16594;2922;13672;9453.0;101.0;779.0;586.0;1064.0;600.0;115.0;491.0;326.0;158.0
1011;Total;Remaining production of buildings;2024 1st quarter;16594;2922;13672;9453.0;101.0;779.0;586.0;1064.0;600.0;115.0;491.0;326.0;158.0
1012;Total;Remaining production of buildings;2024 April;16696;2942;13754;9703.0;109.0;774.0;556.0;1001.0;572.0;107.0;469.0;322.0;142.0
1013;Total;Remaining production of buildings;2024 May;16805;2876;13929;9820.0;146.0;764.0;532.0;1011.0;582.0;94.0;474.0;374.0;133.0
1014;Total;Remaining production of buildings;2024 June;17687;2869;14818;10338.0;152.0;849.0;555.0;1251.0;605.0;98.0;477.0;360.0;134.0
1015;Total;Remaining production of buildings;2024 2nd quarter;17687;2869;14818;10338.0;152.0;849.0;555.0;1251.0;605.0;98.0;477.0;360.0;134.0
1016;Total;Remaining production of buildings;2024 July;18000;2879;15121;10445.0;159.0;841.0;588.0;1373.0;608.0;85.0;483.0;400.0;138.0
1017;Total;Remaining production of buildings;2024 August;19075;3044;16032;11066.0;202.0;940.0;602.0;1373.0;606.0;107.0;473.0;428.0;235.0
1018;Total;Remaining production of buildings;2024 September;18658;2977;15681;10699.0;194.0;955.0;600.0;1371.0;591.0;143.0;448.0;415.0;266.0
1019;Total;Remaining production of buildings;2024 3rd quarter;18658;2977;15681;10699.0;194.0;955.0;600.0;1371.0;591.0;143.0;448.0;415.0;266.0
1020;Total;Remaining production of buildings;2024 October;17881;2889;14993;10182.0;173.0;952.0;642.0;1234.0;544.0;165.0;447.0;404.0;251.0
1021;Total;Remaining production of buildings;2024 November;17870;2979;14890;10204.0;178.0;936.0;646.0;1152.0;559.0;149.0;425.0;397.0;246.0
1022;Total;Remaining production of buildings;2024 December;18330;2932;15399;10658.0;172.0;1000.0;686.0;1139.0;535.0;137.0;422.0;404.0;246.0
1023;Total;Remaining production of buildings;2024 4th quarter;18330;2932;15399;10658.0;172.0;1000.0;686.0;1139.0;535.0;137.0;422.0;404.0;246.0
1024;Total;Remaining production of buildings;2024;18330;2932;15399;10658.0;172.0;1000.0;686.0;1139.0;535.0;137.0;422.0;404.0;246.0
1025;Total;Remaining production of buildings;2025 January;18218;2837;15381;10879.0;165.0;946.0;634.0;1043.0;521.0;138.0;397.0;423.0;233.0
1026;Total;Building projects completed;2015 January;673;210;464;258.0;37.0;26.0;24.0;8.0;19.0;1.0;55.0;23.0;14.0
1027;Total;Building projects completed;2015 February;908;248;660;440.0;56.0;29.0;43.0;6.0;11.0;0.0;33.0;24.0;20.0
1028;Total;Building projects completed;2015 March;1086;277;809;499.0;76.0;29.0;58.0;27.0;27.0;0.0;32.0;31.0;30.0
1029;Total;Building projects completed;2015 1st quarter;2667;734;1933;1197.0;169.0;83.0;124.0;41.0;57.0;2.0;119.0;77.0;63.0
1030;Total;Building projects completed;2015 April;937;200;737;477.0;51.0;16.0;42.0;52.0;13.0;3.0;31.0;38.0;13.0
1031;Total;Building projects completed;2015 May;810;213;597;359.0;31.0;19.0;57.0;40.0;38.0;0.0;14.0;17.0;22.0
1032;Total;Building projects completed;2015 June;1039;232;806;413.0;40.0;94.0;20.0;28.0;24.0;38.0;82.0;54.0;13.0
1033;Total;Building projects completed;2015 2nd quarter;2786;646;2141;1249.0;122.0;129.0;120.0;120.0;75.0;42.0;127.0;109.0;48.0
1034;Total;Building projects completed;2015 July;919;220;699;358.0;27.0;13.0;35.0;22.0;136.0;0.0;10.0;70.0;28.0
1035;Total;Building projects completed;2015 August;399;116;283;173.0;23.0;6.0;11.0;1.0;5.0;0.0;32.0;24.0;8.0
1036;Total;Building projects completed;2015 September;1009;197;812;451.0;32.0;38.0;108.0;32.0;12.0;6.0;11.0;24.0;97.0
1037;Total;Building projects completed;2015 3rd quarter;2326;533;1793;982.0;82.0;58.0;154.0;54.0;153.0;6.0;53.0;118.0;134.0
1038;Total;Building projects completed;2015 October;922;242;680;415.0;36.0;42.0;56.0;12.0;35.0;14.0;25.0;19.0;26.0
1039;Total;Building projects completed;2015 November;1118;289;829;584.0;34.0;35.0;22.0;2.0;11.0;0.0;104.0;20.0;17.0
1040;Total;Building projects completed;2015 December;816;187;629;395.0;29.0;32.0;70.0;10.0;6.0;0.0;43.0;33.0;12.0
1041;Total;Building projects completed;2015 4th quarter;2856;718;2138;1394.0;99.0;109.0;148.0;24.0;53.0;14.0;172.0;72.0;54.0
1042;Total;Building projects completed;2015;10637;2632;8005;4822.0;471.0;380.0;546.0;239.0;338.0;63.0;471.0;376.0;299.0
1043;Total;Building projects completed;2016 January;1103;258;845;545.0;37.0;44.0;23.0;48.0;74.0;0.0;25.0;38.0;11.0
1044;Total;Building projects completed;2016 February;917;241;676;458.0;36.0;23.0;35.0;24.0;11.0;6.0;21.0;23.0;38.0
1045;Total;Building projects completed;2016 March;1029;205;824;475.0;33.0;34.0;26.0;8.0;25.0;0.0;32.0;75.0;116.0
1046;Total;Building projects completed;2016 1st quarter;3049;704;2345;1477.0;105.0;101.0;84.0;81.0;110.0;6.0;78.0;136.0;165.0
1047;Total;Building projects completed;2016 April;1091;282;809;572.0;38.0;16.0;36.0;19.0;41.0;7.0;26.0;35.0;21.0
1048;Total;Building projects completed;2016 May;945;237;708;483.0;33.0;18.0;38.0;3.0;34.0;3.0;33.0;20.0;42.0
1049;Total;Building projects completed;2016 June;1181;259;922;611.0;42.0;28.0;34.0;48.0;69.0;16.0;37.0;9.0;29.0
1050;Total;Building projects completed;2016 2nd quarter;3217;778;2439;1665.0;113.0;62.0;107.0;70.0;144.0;26.0;95.0;65.0;92.0
1051;Total;Building projects completed;2016 July;1247;284;964;595.0;28.0;33.0;12.0;77.0;60.0;49.0;50.0;27.0;32.0
1052;Total;Building projects completed;2016 August;429;101;328;220.0;14.0;5.0;12.0;11.0;4.0;0.0;26.0;20.0;14.0
1053;Total;Building projects completed;2016 September;1200;340;860;592.0;33.0;20.0;47.0;37.0;15.0;26.0;26.0;29.0;35.0
1054;Total;Building projects completed;2016 3rd quarter;2876;725;2151;1407.0;75.0;58.0;70.0;126.0;78.0;75.0;102.0;76.0;82.0
1055;Total;Building projects completed;2016 October;1069;351;718;445.0;30.0;24.0;72.0;34.0;9.0;25.0;15.0;36.0;27.0
1056;Total;Building projects completed;2016 November;1199;221;978;677.0;30.0;26.0;74.0;21.0;74.0;0.0;29.0;29.0;18.0
1057;Total;Building projects completed;2016 December;939;209;730;479.0;18.0;62.0;74.0;7.0;12.0;0.0;34.0;27.0;17.0
1058;Total;Building projects completed;2016 4th quarter;3206;781;2426;1601.0;78.0;112.0;219.0;62.0;96.0;25.0;78.0;92.0;62.0
1059;Total;Building projects completed;2016;12349;2988;9361;6151.0;371.0;333.0;481.0;339.0;428.0;132.0;354.0;370.0;402.0
1060;Total;Building projects completed;2017 January;652;186;467;315.0;12.0;15.0;43.0;2.0;22.0;0.0;28.0;21.0;9.0
1061;Total;Building projects completed;2017 February;933;215;718;483.0;30.0;27.0;35.0;50.0;23.0;1.0;21.0;30.0;17.0
1062;Total;Building projects completed;2017 March;1225;310;914;564.0;40.0;26.0;44.0;36.0;23.0;59.0;39.0;42.0;42.0
1063;Total;Building projects completed;2017 1st quarter;2810;711;2099;1362.0;82.0;68.0;122.0;88.0;68.0;60.0;88.0;92.0;68.0
1064;Total;Building projects completed;2017 April;1095;279;816;472.0;42.0;36.0;94.0;10.0;23.0;0.0;11.0;88.0;41.0
1065;Total;Building projects completed;2017 May;1175;331;844;595.0;29.0;34.0;52.0;15.0;40.0;0.0;28.0;36.0;15.0
1066;Total;Building projects completed;2017 June;1010;236;774;537.0;47.0;60.0;30.0;20.0;23.0;0.0;17.0;22.0;18.0
1067;Total;Building projects completed;2017 2nd quarter;3280;846;2434;1604.0;118.0;130.0;176.0;44.0;85.0;0.0;56.0;147.0;74.0
1068;Total;Building projects completed;2017 July;994;298;696;434.0;40.0;29.0;32.0;21.0;69.0;0.0;24.0;20.0;26.0
1069;Total;Building projects completed;2017 August;559;149;409;326.0;18.0;29.0;9.0;3.0;3.0;2.0;10.0;2.0;8.0
1070;Total;Building projects completed;2017 September;1335;342;993;673.0;32.0;44.0;59.0;72.0;24.0;2.0;18.0;41.0;29.0
1071;Total;Building projects completed;2017 3rd quarter;2888;790;2098;1432.0;89.0;102.0;100.0;96.0;96.0;4.0;52.0;64.0;63.0
1072;Total;Building projects completed;2017 October;1324;279;1045;757.0;45.0;21.0;39.0;28.0;59.0;7.0;37.0;30.0;23.0
1073;Total;Building projects completed;2017 November;1264;319;944;646.0;23.0;45.0;68.0;8.0;10.0;0.0;25.0;104.0;16.0
1074;Total;Building projects completed;2017 December;885;189;696;461.0;27.0;46.0;31.0;25.0;17.0;57.0;5.0;17.0;11.0
1075;Total;Building projects completed;2017 4th quarter;3472;787;2685;1864.0;94.0;112.0;138.0;61.0;86.0;63.0;66.0;150.0;51.0
1076;Total;Building projects completed;2017;12451;3134;9316;6262.0;384.0;412.0;536.0;289.0;336.0;127.0;262.0;453.0;256.0
1077;Total;Building projects completed;2018 January;1533;335;1198;783.0;;;;;;;;;
1078;Total;Building projects completed;2018 February;1003;210;793;616.0;;;;;;;;;
1079;Total;Building projects completed;2018 March;1253;362;891;573.0;;;;;;;;;
1080;Total;Building projects completed;2018 1st quarter;3789;907;2882;1972.0;;;;;;;;;
1081;Total;Building projects completed;2018 April;1277;254;1023;739.0;;;;;;;;;
1082;Total;Building projects completed;2018 May;1429;343;1085;766.0;;;;;;;;;
1083;Total;Building projects completed;2018 June;1585;337;1248;887.0;;;;;;;;;
1084;Total;Building projects completed;2018 2nd quarter;4291;934;3357;2393.0;;;;;;;;;
1085;Total;Building projects completed;2018 July;1435;401;1034;674.0;;;;;;;;;
1086;Total;Building projects completed;2018 August;793;178;615;322.0;;;;;;;;;
1087;Total;Building projects completed;2018 September;1274;341;933;686.0;;;;;;;;;
1088;Total;Building projects completed;2018 3rd quarter;3502;919;2583;1682.0;;;;;;;;;
1089;Total;Building projects completed;2018 October;1444;332;1112;817.0;;;;;;;;;
1090;Total;Building projects completed;2018 November;1690;327;1363;887.0;;;;;;;;;
1091;Total;Building projects completed;2018 December;945;249;696;500.0;;;;;;;;;
1092;Total;Building projects completed;2018 4th quarter;4079;909;3171;2204.0;;;;;;;;;
1093;Total;Building projects completed;2018;15661;3669;11992;8252.0;357.0;701.0;588.0;490.0;603.0;13.0;296.0;394.0;298.0
1094;Total;Building projects completed;2019 January;1301;279;1022;689.0;;;;;;;;;
1095;Total;Building projects completed;2019 February;1236;306;930;609.0;;;;;;;;;
1096;Total;Building projects completed;2019 March;1482;339;1143;795.0;;;;;;;;;
1097;Total;Building projects completed;2019 1st quarter;4019;924;3095;2093.0;;;;;;;;;
1098;Total;Building projects completed;2019 April;1450;320;1130;825.0;;;;;;;;;
1099;Total;Building projects completed;2019 May;1276;277;1000;693.0;;;;;;;;;
1100;Total;Building projects completed;2019 June;1318;286;1032;743.0;;;;;;;;;
1101;Total;Building projects completed;2019 2nd quarter;4044;882;3161;2261.0;;;;;;;;;
1102;Total;Building projects completed;2019 July;1576;347;1229;815.0;;;;;;;;;
1103;Total;Building projects completed;2019 August;637;133;504;377.0;;;;;;;;;
1104;Total;Building projects completed;2019 September;1731;408;1323;907.0;;;;;;;;;
1105;Total;Building projects completed;2019 3rd quarter;3945;888;3056;2099.0;;;;;;;;;
1106;Total;Building projects completed;2019 October;1622;398;1224;851.0;;;;;;;;;
1107;Total;Building projects completed;2019 November;1557;317;1240;771.0;;;;;;;;;
1108;Total;Building projects completed;2019 December;971;221;750;511.0;;;;;;;;;
1109;Total;Building projects completed;2019 4th quarter;4150;936;3214;2133.0;;;;;;;;;
1110;Total;Building projects completed;2019;16158;3630;12527;8585.0;356.0;810.0;674.0;684.0;334.0;68.0;317.0;413.0;287.0
1111;Total;Building projects completed;2020 January;1655;380;1275;866.0;;;;;;;;;
1112;Total;Building projects completed;2020 February;1328;280;1048;637.0;;;;;;;;;
1113;Total;Building projects completed;2020 March;1584;339;1244;826.0;;;;;;;;;
1114;Total;Building projects completed;2020 1st quarter;4567;999;3568;2329.0;;;;;;;;;
1115;Total;Building projects completed;2020 April;1252;329;924;567.0;;;;;;;;;
1116;Total;Building projects completed;2020 May;1554;239;1315;958.0;;;;;;;;;
1117;Total;Building projects completed;2020 June;1286;324;962;659.0;;;;;;;;;
1118;Total;Building projects completed;2020 2nd quarter;4093;892;3201;2185.0;;;;;;;;;
1119;Total;Building projects completed;2020 July;1098;245;853;623.0;;;;;;;;;
1120;Total;Building projects completed;2020 August;1135;150;986;671.0;;;;;;;;;
1121;Total;Building projects completed;2020 September;1576;302;1274;889.0;;;;;;;;;
1122;Total;Building projects completed;2020 3rd quarter;3810;697;3113;2183.0;;;;;;;;;
1123;Total;Building projects completed;2020 October;1423;387;1036;728.0;;;;;;;;;
1124;Total;Building projects completed;2020 November;1542;406;1136;828.0;;;;;;;;;
1125;Total;Building projects completed;2020 December;1065;242;822;530.0;;;;;;;;;
1126;Total;Building projects completed;2020 4th quarter;4030;1036;2994;2087.0;;;;;;;;;
1127;Total;Building projects completed;2020;16500;3624;12876;8783.0;310.0;1037.0;674.0;610.0;335.0;63.0;324.0;297.0;443.0
1128;Total;Building projects completed;2021 January;1493;329;1164;805.0;;;;;;;;;
1129;Total;Building projects completed;2021 February;1150;250;900;571.0;;;;;;;;;
1130;Total;Building projects completed;2021 March;2054;493;1562;1151.0;;;;;;;;;
1131;Total;Building projects completed;2021 1st quarter;4697;1072;3625;2527.0;;;;;;;;;
1132;Total;Building projects completed;2021 April;1410;347;1063;692.0;;;;;;;;;
1133;Total;Building projects completed;2021 May;1351;299;1053;759.0;;;;;;;;;
1134;Total;Building projects completed;2021 June;1813;363;1449;957.0;;;;;;;;;
1135;Total;Building projects completed;2021 2nd quarter;4574;1009;3565;2407.0;;;;;;;;;
1136;Total;Building projects completed;2021 July;1716;296;1421;883.0;;;;;;;;;
1137;Total;Building projects completed;2021 August;839;200;639;521.0;;;;;;;;;
1138;Total;Building projects completed;2021 September;1771;348;1423;979.0;;;;;;;;;
1139;Total;Building projects completed;2021 3rd quarter;4327;844;3483;2383.0;;;;;;;;;
1140;Total;Building projects completed;2021 October;1596;390;1206;877.0;;;;;;;;;
1141;Total;Building projects completed;2021 November;2142;390;1752;1254.0;;;;;;;;;
1142;Total;Building projects completed;2021 December;1440;312;1128;790.0;;;;;;;;;
1143;Total;Building projects completed;2021 4th quarter;5178;1092;4087;2921.0;;;;;;;;;
1144;Total;Building projects completed;2021;18777;4017;14760;10238.0;283.0;975.0;876.0;705.0;438.0;44.0;401.0;509.0;291.0
1145;Total;Building projects completed;2022 January;1789;353;1436;1022.0;;;;;;;;;
1146;Total;Building projects completed;2022 February;1669;412;1257;879.0;;;;;;;;;
1147;Total;Building projects completed;2022 March;1809;457;1352;890.0;;;;;;;;;
1148;Total;Building projects completed;2022 1st quarter;5267;1222;4045;2791.0;;;;;;;;;
1149;Total;Building projects completed;2022 April;1763;442;1321;943.0;;;;;;;;;
1150;Total;Building projects completed;2022 May;1754;389;1365;1022.0;;;;;;;;;
1151;Total;Building projects completed;2022 June;1794;328;1466;873.0;;;;;;;;;
1152;Total;Building projects completed;2022 2nd quarter;5311;1158;4153;2838.0;;;;;;;;;
1153;Total;Building projects completed;2022 July;1667;376;1291;800.0;;;;;;;;;
1154;Total;Building projects completed;2022 August;1127;274;852;639.0;;;;;;;;;
1155;Total;Building projects completed;2022 September;2106;413;1693;1126.0;;;;;;;;;
1156;Total;Building projects completed;2022 3rd quarter;4900;1063;3837;2565.0;;;;;;;;;
1157;Total;Building projects completed;2022 October;1817;346;1471;1098.0;;;;;;;;;
1158;Total;Building projects completed;2022 November;2054;472;1581;1136.0;;;;;;;;;
1159;Total;Building projects completed;2022 December;1290;298;992;649.0;;;;;;;;;
1160;Total;Building projects completed;2022 4th quarter;5161;1116;4045;2883.0;;;;;;;;;
1161;Total;Building projects completed;2022;20638;4559;16079;11076.0;305.0;1146.0;687.0;1169.0;517.0;75.0;323.0;558.0;223.0
1162;Total;Building projects completed;2023 January;1742;317;1424;872.0;;;;;;;;;
1163;Total;Building projects completed;2023 February;1893;393;1499;815.0;;;;;;;;;
1164;Total;Building projects completed;2023 March;1711;436;1275;951.0;;;;;;;;;
1165;Total;Building projects completed;2023 1st quarter;5346;1147;4199;2638.0;;;;;;;;;
1166;Total;Building projects completed;2023 April;1667;558;1109;697.0;;;;;;;;;
1167;Total;Building projects completed;2023 May;1391;343;1048;736.0;;;;;;;;;
1168;Total;Building projects completed;2023 June;1945;533;1411;962.0;;;;;;;;;
1169;Total;Building projects completed;2023 2nd quarter;5002;1435;3568;2395.0;;;;;;;;;
1170;Total;Building projects completed;2023 July;1576;351;1225;830.0;;;;;;;;;
1171;Total;Building projects completed;2023 August;1202;217;985;740.0;;;;;;;;;
1172;Total;Building projects completed;2023 September;1670;431;1240;701.0;;;;;;;;;
1173;Total;Building projects completed;2023 3rd quarter;4449;999;3450;2271.0;;;;;;;;;
1174;Total;Building projects completed;2023 October;1901;338;1562;900.0;;;;;;;;;
1175;Total;Building projects completed;2023 November;1884;393;1491;1006.0;;;;;;;;;
1176;Total;Building projects completed;2023 December;1480;290;1190;767.0;;;;;;;;;
1177;Total;Building projects completed;2023 4th quarter;5265;1021;4243;2673.0;;;;;;;;;
1178;Total;Building projects completed;2023;20062;4602;15459;9977.0;263.0;1605.0;740.0;1090.0;571.0;69.0;376.0;506.0;262.0
1179;Total;Building projects completed;2024 January;1602;322;1280;862.0;;;;;;;;;
1180;Total;Building projects completed;2024 February;1784;467;1317;774.0;;;;;;;;;
1181;Total;Building projects completed;2024 March;1513;338;1176;627.0;;;;;;;;;
1182;Total;Building projects completed;2024 1st quarter;4899;1126;3773;2264.0;;;;;;;;;
1183;Total;Building projects completed;2024 April;1820;347;1473;1124.0;;;;;;;;;
