ID;TypeOfBankruptcy;Periods;PronouncedBankruptcies_1
1768;Nat. person with sole proprietorship;1996 August;141
1769;Nat. person with sole proprietorship;1996 September;143
1770;Nat. person with sole proprietorship;1996 3rd quarter;441
1771;Nat. person with sole proprietorship;1996 October;168
1772;Nat. person with sole proprietorship;1996 November;161
1773;Nat. person with sole proprietorship;1996 December;132
1774;Nat. person with sole proprietorship;1996 4th quarter;461
1775;Nat. person with sole proprietorship;1996;1899
1776;Nat. person with sole proprietorship;1997 January;182
1777;Nat. person with sole proprietorship;1997 February;157
1778;Nat. person with sole proprietorship;1997 March;132
1779;Nat. person with sole proprietorship;1997 1st quarter;471
1780;Nat. person with sole proprietorship;1997 April;139
1781;Nat. person with sole proprietorship;1997 May;146
1782;Nat. person with sole proprietorship;1997 June;117
1783;Nat. person with sole proprietorship;1997 2nd quarter;402
1784;Nat. person with sole proprietorship;1997 July;146
1785;Nat. person with sole proprietorship;1997 August;108
1786;Nat. person with sole proprietorship;1997 September;174
1787;Nat. person with sole proprietorship;1997 3rd quarter;428
1788;Nat. person with sole proprietorship;1997 October;147
1789;Nat. person with sole proprietorship;1997 November;141
1790;Nat. person with sole proprietorship;1997 December;139
1791;Nat. person with sole proprietorship;1997 4th quarter;427
1792;Nat. person with sole proprietorship;1997;1728
1793;Nat. person with sole proprietorship;1998 January;133
1794;Nat. person with sole proprietorship;1998 February;130
1795;Nat. person with sole proprietorship;1998 March;175
1796;Nat. person with sole proprietorship;1998 1st quarter;438
1797;Nat. person with sole proprietorship;1998 April;145
1798;Nat. person with sole proprietorship;1998 May;114
1799;Nat. person with sole proprietorship;1998 June;148
1800;Nat. person with sole proprietorship;1998 2nd quarter;407
1801;Nat. person with sole proprietorship;1998 July;139
1802;Nat. person with sole proprietorship;1998 August;121
1803;Nat. person with sole proprietorship;1998 September;175
1804;Nat. person with sole proprietorship;1998 3rd quarter;435
1805;Nat. person with sole proprietorship;1998 October;116
1806;Nat. person with sole proprietorship;1998 November;88
1807;Nat. person with sole proprietorship;1998 December;61
1808;Nat. person with sole proprietorship;1998 4th quarter;265
1809;Nat. person with sole proprietorship;1998;1545
1810;Nat. person with sole proprietorship;1999 January;76
1811;Nat. person with sole proprietorship;1999 February;79
1812;Nat. person with sole proprietorship;1999 March;100
1813;Nat. person with sole proprietorship;1999 1st quarter;255
1814;Nat. person with sole proprietorship;1999 April;83
1815;Nat. person with sole proprietorship;1999 May;56
1816;Nat. person with sole proprietorship;1999 June;88
1817;Nat. person with sole proprietorship;1999 2nd quarter;227
1818;Nat. person with sole proprietorship;1999 July;66
1819;Nat. person with sole proprietorship;1999 August;80
1820;Nat. person with sole proprietorship;1999 September;81
1821;Nat. person with sole proprietorship;1999 3rd quarter;227
1822;Nat. person with sole proprietorship;1999 October;67
1823;Nat. person with sole proprietorship;1999 November;72
1824;Nat. person with sole proprietorship;1999 December;77
1825;Nat. person with sole proprietorship;1999 4th quarter;216
1826;Nat. person with sole proprietorship;1999;925
1827;Nat. person with sole proprietorship;2000 January;73
1828;Nat. person with sole proprietorship;2000 February;74
1829;Nat. person with sole proprietorship;2000 March;92
1830;Nat. person with sole proprietorship;2000 1st quarter;239
1831;Nat. person with sole proprietorship;2000 April;73
1832;Nat. person with sole proprietorship;2000 May;77
1833;Nat. person with sole proprietorship;2000 June;61
1834;Nat. person with sole proprietorship;2000 2nd quarter;211
1835;Nat. person with sole proprietorship;2000 July;73
1836;Nat. person with sole proprietorship;2000 August;114
1837;Nat. person with sole proprietorship;2000 September;79
1838;Nat. person with sole proprietorship;2000 3rd quarter;266
1839;Nat. person with sole proprietorship;2000 October;86
1840;Nat. person with sole proprietorship;2000 November;87
1841;Nat. person with sole proprietorship;2000 December;69
1842;Nat. person with sole proprietorship;2000 4th quarter;242
1843;Nat. person with sole proprietorship;2000;958
1844;Nat. person with sole proprietorship;2001 January;84
1845;Nat. person with sole proprietorship;2001 February;75
1846;Nat. person with sole proprietorship;2001 March;89
1847;Nat. person with sole proprietorship;2001 1st quarter;248
1848;Nat. person with sole proprietorship;2001 April;81
1849;Nat. person with sole proprietorship;2001 May;97
1850;Nat. person with sole proprietorship;2001 June;74
1851;Nat. person with sole proprietorship;2001 2nd quarter;252
1852;Nat. person with sole proprietorship;2001 July;86
1853;Nat. person with sole proprietorship;2001 August;100
1854;Nat. person with sole proprietorship;2001 September;75
1855;Nat. person with sole proprietorship;2001 3rd quarter;261
1856;Nat. person with sole proprietorship;2001 October;102
1857;Nat. person with sole proprietorship;2001 November;77
1858;Nat. person with sole proprietorship;2001 December;57
1859;Nat. person with sole proprietorship;2001 4th quarter;236
1860;Nat. person with sole proprietorship;2001;997
1861;Nat. person with sole proprietorship;2002 January;98
1862;Nat. person with sole proprietorship;2002 February;79
1863;Nat. person with sole proprietorship;2002 March;85
1864;Nat. person with sole proprietorship;2002 1st quarter;262
1865;Nat. person with sole proprietorship;2002 April;74
1866;Nat. person with sole proprietorship;2002 May;70
1867;Nat. person with sole proprietorship;2002 June;84
1868;Nat. person with sole proprietorship;2002 2nd quarter;228
1869;Nat. person with sole proprietorship;2002 July;76
1870;Nat. person with sole proprietorship;2002 August;72
1871;Nat. person with sole proprietorship;2002 September;61
1872;Nat. person with sole proprietorship;2002 3rd quarter;209
1873;Nat. person with sole proprietorship;2002 October;90
1874;Nat. person with sole proprietorship;2002 November;33
1875;Nat. person with sole proprietorship;2002 December;56
1876;Nat. person with sole proprietorship;2002 4th quarter;179
1877;Nat. person with sole proprietorship;2002;878
1878;Nat. person with sole proprietorship;2003 January;98
1879;Nat. person with sole proprietorship;2003 February;77
1880;Nat. person with sole proprietorship;2003 March;106
1881;Nat. person with sole proprietorship;2003 1st quarter;281
1882;Nat. person with sole proprietorship;2003 April;124
1883;Nat. person with sole proprietorship;2003 May;88
1884;Nat. person with sole proprietorship;2003 June;92
1885;Nat. person with sole proprietorship;2003 2nd quarter;304
1886;Nat. person with sole proprietorship;2003 July;105
1887;Nat. person with sole proprietorship;2003 August;91
1888;Nat. person with sole proprietorship;2003 September;105
1889;Nat. person with sole proprietorship;2003 3rd quarter;301
1890;Nat. person with sole proprietorship;2003 October;80
1891;Nat. person with sole proprietorship;2003 November;104
1892;Nat. person with sole proprietorship;2003 December;81
1893;Nat. person with sole proprietorship;2003 4th quarter;265
1894;Nat. person with sole proprietorship;2003;1151
1895;Nat. person with sole proprietorship;2004 January;112
1896;Nat. person with sole proprietorship;2004 February;112
1897;Nat. person with sole proprietorship;2004 March;141
1898;Nat. person with sole proprietorship;2004 1st quarter;365
1899;Nat. person with sole proprietorship;2004 April;106
1900;Nat. person with sole proprietorship;2004 May;105
1901;Nat. person with sole proprietorship;2004 June;116
1902;Nat. person with sole proprietorship;2004 2nd quarter;327
1903;Nat. person with sole proprietorship;2004 July;121
1904;Nat. person with sole proprietorship;2004 August;118
1905;Nat. person with sole proprietorship;2004 September;128
1906;Nat. person with sole proprietorship;2004 3rd quarter;367
1907;Nat. person with sole proprietorship;2004 October;92
1908;Nat. person with sole proprietorship;2004 November;128
1909;Nat. person with sole proprietorship;2004 December;102
1910;Nat. person with sole proprietorship;2004 4th quarter;322
1911;Nat. person with sole proprietorship;2004;1381
1912;Nat. person with sole proprietorship;2005 January;136
1913;Nat. person with sole proprietorship;2005 February;118
1914;Nat. person with sole proprietorship;2005 March;162
1915;Nat. person with sole proprietorship;2005 1st quarter;416
1916;Nat. person with sole proprietorship;2005 April;110
1917;Nat. person with sole proprietorship;2005 May;138
1918;Nat. person with sole proprietorship;2005 June;177
1919;Nat. person with sole proprietorship;2005 2nd quarter;425
1920;Nat. person with sole proprietorship;2005 July;136
1921;Nat. person with sole proprietorship;2005 August;172
1922;Nat. person with sole proprietorship;2005 September;142
1923;Nat. person with sole proprietorship;2005 3rd quarter;450
1924;Nat. person with sole proprietorship;2005 October;135
1925;Nat. person with sole proprietorship;2005 November;142
1926;Nat. person with sole proprietorship;2005 December;129
1927;Nat. person with sole proprietorship;2005 4th quarter;406
1928;Nat. person with sole proprietorship;2005;1697
1929;Nat. person with sole proprietorship;2006 January;159
1930;Nat. person with sole proprietorship;2006 February;163
1931;Nat. person with sole proprietorship;2006 March;151
1932;Nat. person with sole proprietorship;2006 1st quarter;473
1933;Nat. person with sole proprietorship;2006 April;147
1934;Nat. person with sole proprietorship;2006 May;135
1935;Nat. person with sole proprietorship;2006 June;125
1936;Nat. person with sole proprietorship;2006 2nd quarter;407
1937;Nat. person with sole proprietorship;2006 July;137
1938;Nat. person with sole proprietorship;2006 August;167
1939;Nat. person with sole proprietorship;2006 September;136
1940;Nat. person with sole proprietorship;2006 3rd quarter;440
1941;Nat. person with sole proprietorship;2006 October;132
1942;Nat. person with sole proprietorship;2006 November;135
1943;Nat. person with sole proprietorship;2006 December;126
1944;Nat. person with sole proprietorship;2006 4th quarter;393
1945;Nat. person with sole proprietorship;2006;1713
1946;Nat. person with sole proprietorship;2007 January;89
1947;Nat. person with sole proprietorship;2007 February;75
1948;Nat. person with sole proprietorship;2007 March;76
1949;Nat. person with sole proprietorship;2007 1st quarter;240
1950;Nat. person with sole proprietorship;2007 April;76
1951;Nat. person with sole proprietorship;2007 May;106
1952;Nat. person with sole proprietorship;2007 June;79
1953;Nat. person with sole proprietorship;2007 2nd quarter;261
1954;Nat. person with sole proprietorship;2007 July;70
1955;Nat. person with sole proprietorship;2007 August;92
1956;Nat. person with sole proprietorship;2007 September;82
1957;Nat. person with sole proprietorship;2007 3rd quarter;244
1958;Nat. person with sole proprietorship;2007 October;106
1959;Nat. person with sole proprietorship;2007 November;80
1960;Nat. person with sole proprietorship;2007 December;82
1961;Nat. person with sole proprietorship;2007 4th quarter;268
1962;Nat. person with sole proprietorship;2007;1013
1963;Nat. person with sole proprietorship;2008 January;92
1964;Nat. person with sole proprietorship;2008 February;54
1965;Nat. person with sole proprietorship;2008 March;58
1966;Nat. person with sole proprietorship;2008 1st quarter;204
1967;Nat. person with sole proprietorship;2008 April;87
1968;Nat. person with sole proprietorship;2008 May;57
1969;Nat. person with sole proprietorship;2008 June;58
1970;Nat. person with sole proprietorship;2008 2nd quarter;202
1971;Nat. person with sole proprietorship;2008 July;70
1972;Nat. person with sole proprietorship;2008 August;60
1973;Nat. person with sole proprietorship;2008 September;74
1974;Nat. person with sole proprietorship;2008 3rd quarter;204
1975;Nat. person with sole proprietorship;2008 October;65
1976;Nat. person with sole proprietorship;2008 November;62
1977;Nat. person with sole proprietorship;2008 December;58
1978;Nat. person with sole proprietorship;2008 4th quarter;185
1979;Nat. person with sole proprietorship;2008;795
1980;Nat. person with sole proprietorship;2009 January;99
1981;Nat. person with sole proprietorship;2009 February;63
1982;Nat. person with sole proprietorship;2009 March;90
1983;Nat. person with sole proprietorship;2009 1st quarter;252
1984;Nat. person with sole proprietorship;2009 April;85
1985;Nat. person with sole proprietorship;2009 May;85
1986;Nat. person with sole proprietorship;2009 June;99
1987;Nat. person with sole proprietorship;2009 2nd quarter;269
1988;Nat. person with sole proprietorship;2009 July;92
1989;Nat. person with sole proprietorship;2009 August;72
1990;Nat. person with sole proprietorship;2009 September;88
1991;Nat. person with sole proprietorship;2009 3rd quarter;252
1992;Nat. person with sole proprietorship;2009 October;95
1993;Nat. person with sole proprietorship;2009 November;89
1994;Nat. person with sole proprietorship;2009 December;88
1995;Nat. person with sole proprietorship;2009 4th quarter;272
1996;Nat. person with sole proprietorship;2009;1045
1997;Nat. person with sole proprietorship;2010 January;110
1998;Nat. person with sole proprietorship;2010 February;84
1999;Nat. person with sole proprietorship;2010 March;110
2000;Nat. person with sole proprietorship;2010 1st quarter;304
2001;Nat. person with sole proprietorship;2010 April;82
2002;Nat. person with sole proprietorship;2010 May;74
2003;Nat. person with sole proprietorship;2010 June;96
2004;Nat. person with sole proprietorship;2010 2nd quarter;252
2005;Nat. person with sole proprietorship;2010 July;51
2006;Nat. person with sole proprietorship;2010 August;95
2007;Nat. person with sole proprietorship;2010 September;69
2008;Nat. person with sole proprietorship;2010 3rd quarter;215
2009;Nat. person with sole proprietorship;2010 October;65
2010;Nat. person with sole proprietorship;2010 November;87
2011;Nat. person with sole proprietorship;2010 December;62
2012;Nat. person with sole proprietorship;2010 4th quarter;214
2013;Nat. person with sole proprietorship;2010;985
2014;Nat. person with sole proprietorship;2011 January;69
2015;Nat. person with sole proprietorship;2011 February;58
2016;Nat. person with sole proprietorship;2011 March;82
2017;Nat. person with sole proprietorship;2011 1st quarter;209
2018;Nat. person with sole proprietorship;2011 April;55
2019;Nat. person with sole proprietorship;2011 May;72
2020;Nat. person with sole proprietorship;2011 June;50
2021;Nat. person with sole proprietorship;2011 2nd quarter;177
2022;Nat. person with sole proprietorship;2011 July;44
2023;Nat. person with sole proprietorship;2011 August;86
2024;Nat. person with sole proprietorship;2011 September;56
2025;Nat. person with sole proprietorship;2011 3rd quarter;186
2026;Nat. person with sole proprietorship;2011 October;64
2027;Nat. person with sole proprietorship;2011 November;82
2028;Nat. person with sole proprietorship;2011 December;48
2029;Nat. person with sole proprietorship;2011 4th quarter;194
2030;Nat. person with sole proprietorship;2011;766
2031;Nat. person with sole proprietorship;2012 January;95
2032;Nat. person with sole proprietorship;2012 February;72
2033;Nat. person with sole proprietorship;2012 March;88
2034;Nat. person with sole proprietorship;2012 1st quarter;255
2035;Nat. person with sole proprietorship;2012 April;75
2036;Nat. person with sole proprietorship;2012 May;77
2037;Nat. person with sole proprietorship;2012 June;62
2038;Nat. person with sole proprietorship;2012 2nd quarter;214
2039;Nat. person with sole proprietorship;2012 July;88
2040;Nat. person with sole proprietorship;2012 August;61
2041;Nat. person with sole proprietorship;2012 September;90
2042;Nat. person with sole proprietorship;2012 3rd quarter;239
2043;Nat. person with sole proprietorship;2012 October;116
2044;Nat. person with sole proprietorship;2012 November;107
2045;Nat. person with sole proprietorship;2012 December;66
2046;Nat. person with sole proprietorship;2012 4th quarter;289
2047;Nat. person with sole proprietorship;2012;997
2048;Nat. person with sole proprietorship;2013 January;101
2049;Nat. person with sole proprietorship;2013 February;72
2050;Nat. person with sole proprietorship;2013 March;99
2051;Nat. person with sole proprietorship;2013 1st quarter;272
2052;Nat. person with sole proprietorship;2013 April;93
2053;Nat. person with sole proprietorship;2013 May;91
2054;Nat. person with sole proprietorship;2013 June;85
2055;Nat. person with sole proprietorship;2013 2nd quarter;269
2056;Nat. person with sole proprietorship;2013 July;101
2057;Nat. person with sole proprietorship;2013 August;72
2058;Nat. person with sole proprietorship;2013 September;79
2059;Nat. person with sole proprietorship;2013 3rd quarter;252
2060;Nat. person with sole proprietorship;2013 October;92
2061;Nat. person with sole proprietorship;2013 November;96
2062;Nat. person with sole proprietorship;2013 December;74
2063;Nat. person with sole proprietorship;2013 4th quarter;262
2064;Nat. person with sole proprietorship;2013;1055
2065;Nat. person with sole proprietorship;2014 January;102
2066;Nat. person with sole proprietorship;2014 February;72
2067;Nat. person with sole proprietorship;2014 March;70
2068;Nat. person with sole proprietorship;2014 1st quarter;244
2069;Nat. person with sole proprietorship;2014 April;113
2070;Nat. person with sole proprietorship;2014 May;69
2071;Nat. person with sole proprietorship;2014 June;60
2072;Nat. person with sole proprietorship;2014 2nd quarter;242
2073;Nat. person with sole proprietorship;2014 July;90
2074;Nat. person with sole proprietorship;2014 August;72
2075;Nat. person with sole proprietorship;2014 September;91
2076;Nat. person with sole proprietorship;2014 3rd quarter;253
2077;Nat. person with sole proprietorship;2014 October;71
2078;Nat. person with sole proprietorship;2014 November;70
2079;Nat. person with sole proprietorship;2014 December;96
2080;Nat. person with sole proprietorship;2014 4th quarter;237
2081;Nat. person with sole proprietorship;2014;976
2082;Nat. person with sole proprietorship;2015 January;75
2083;Nat. person with sole proprietorship;2015 February;58
2084;Nat. person with sole proprietorship;2015 March;67
2085;Nat. person with sole proprietorship;2015 1st quarter;200
2086;Nat. person with sole proprietorship;2015 April;58
2087;Nat. person with sole proprietorship;2015 May;54
2088;Nat. person with sole proprietorship;2015 June;66
2089;Nat. person with sole proprietorship;2015 2nd quarter;178
2090;Nat. person with sole proprietorship;2015 July;55
2091;Nat. person with sole proprietorship;2015 August;47
2092;Nat. person with sole proprietorship;2015 September;75
2093;Nat. person with sole proprietorship;2015 3rd quarter;177
2094;Nat. person with sole proprietorship;2015 October;51
2095;Nat. person with sole proprietorship;2015 November;49
2096;Nat. person with sole proprietorship;2015 December;80
2097;Nat. person with sole proprietorship;2015 4th quarter;180
2098;Nat. person with sole proprietorship;2015;735
2099;Nat. person with sole proprietorship;2016 January;50
2100;Nat. person with sole proprietorship;2016 February;51
2101;Nat. person with sole proprietorship;2016 March;71
2102;Nat. person with sole proprietorship;2016 1st quarter;172
2103;Nat. person with sole proprietorship;2016 April;49
2104;Nat. person with sole proprietorship;2016 May;54
2105;Nat. person with sole proprietorship;2016 June;56
2106;Nat. person with sole proprietorship;2016 2nd quarter;159
2107;Nat. person with sole proprietorship;2016 July;51
2108;Nat. person with sole proprietorship;2016 August;51
2109;Nat. person with sole proprietorship;2016 September;53
2110;Nat. person with sole proprietorship;2016 3rd quarter;155
2111;Nat. person with sole proprietorship;2016 October;48
2112;Nat. person with sole proprietorship;2016 November;45
2113;Nat. person with sole proprietorship;2016 December;34
2114;Nat. person with sole proprietorship;2016 4th quarter;127
2115;Nat. person with sole proprietorship;2016;613
2116;Nat. person with sole proprietorship;2017 January;64
2117;Nat. person with sole proprietorship;2017 February;60
2118;Nat. person with sole proprietorship;2017 March;46
2119;Nat. person with sole proprietorship;2017 1st quarter;170
2120;Nat. person with sole proprietorship;2017 April;48
2121;Nat. person with sole proprietorship;2017 May;54
2122;Nat. person with sole proprietorship;2017 June;42
2123;Nat. person with sole proprietorship;2017 2nd quarter;144
2124;Nat. person with sole proprietorship;2017 July;38
2125;Nat. person with sole proprietorship;2017 August;52
2126;Nat. person with sole proprietorship;2017 September;47
2127;Nat. person with sole proprietorship;2017 3rd quarter;137
2128;Nat. person with sole proprietorship;2017 October;41
2129;Nat. person with sole proprietorship;2017 November;50
2130;Nat. person with sole proprietorship;2017 December;34
2131;Nat. person with sole proprietorship;2017 4th quarter;125
2132;Nat. person with sole proprietorship;2017;576
2133;Nat. person with sole proprietorship;2018 January;53
2134;Nat. person with sole proprietorship;2018 February;48
2135;Nat. person with sole proprietorship;2018 March;44
2136;Nat. person with sole proprietorship;2018 1st quarter;145
2137;Nat. person with sole proprietorship;2018 April;36
2138;Nat. person with sole proprietorship;2018 May;44
2139;Nat. person with sole proprietorship;2018 June;36
2140;Nat. person with sole proprietorship;2018 2nd quarter;116
2141;Nat. person with sole proprietorship;2018 July;32
2142;Nat. person with sole proprietorship;2018 August;48
2143;Nat. person with sole proprietorship;2018 September;52
2144;Nat. person with sole proprietorship;2018 3rd quarter;132
2145;Nat. person with sole proprietorship;2018 October;33
2146;Nat. person with sole proprietorship;2018 November;35
2147;Nat. person with sole proprietorship;2018 December;27
2148;Nat. person with sole proprietorship;2018 4th quarter;95
2149;Nat. person with sole proprietorship;2018;488
2150;Nat. person with sole proprietorship;2019 January;58
2151;Nat. person with sole proprietorship;2019 February;62
2152;Nat. person with sole proprietorship;2019 March;43
2153;Nat. person with sole proprietorship;2019 1st quarter;163
2154;Nat. person with sole proprietorship;2019 April;53
2155;Nat. person with sole proprietorship;2019 May;46
2156;Nat. person with sole proprietorship;2019 June;29
2157;Nat. person with sole proprietorship;2019 2nd quarter;128
2158;Nat. person with sole proprietorship;2019 July;48
2159;Nat. person with sole proprietorship;2019 August;42
2160;Nat. person with sole proprietorship;2019 September;56
2161;Nat. person with sole proprietorship;2019 3rd quarter;146
2162;Nat. person with sole proprietorship;2019 October;46
2163;Nat. person with sole proprietorship;2019 November;47
2164;Nat. person with sole proprietorship;2019 December;53
2165;Nat. person with sole proprietorship;2019 4th quarter;146
2166;Nat. person with sole proprietorship;2019;583
2167;Nat. person with sole proprietorship;2020 January;45
2168;Nat. person with sole proprietorship;2020 February;64
2169;Nat. person with sole proprietorship;2020 March;37
2170;Nat. person with sole proprietorship;2020 1st quarter;146
2171;Nat. person with sole proprietorship;2020 April;45
2172;Nat. person with sole proprietorship;2020 May;54
2173;Nat. person with sole proprietorship;2020 June;34
2174;Nat. person with sole proprietorship;2020 2nd quarter;133
2175;Nat. person with sole proprietorship;2020 July;29
2176;Nat. person with sole proprietorship;2020 August;24
2177;Nat. person with sole proprietorship;2020 September;37
2178;Nat. person with sole proprietorship;2020 3rd quarter;90
2179;Nat. person with sole proprietorship;2020 October;22
2180;Nat. person with sole proprietorship;2020 November;35
2181;Nat. person with sole proprietorship;2020 December;48
2182;Nat. person with sole proprietorship;2020 4th quarter;105
2183;Nat. person with sole proprietorship;2020;474
2184;Nat. person with sole proprietorship;2021 January;25
2185;Nat. person with sole proprietorship;2021 February;29
2186;Nat. person with sole proprietorship;2021 March;29
2187;Nat. person with sole proprietorship;2021 1st quarter;83
2188;Nat. person with sole proprietorship;2021 April;27
2189;Nat. person with sole proprietorship;2021 May;29
2190;Nat. person with sole proprietorship;2021 June;24
2191;Nat. person with sole proprietorship;2021 2nd quarter;80
2192;Nat. person with sole proprietorship;2021 July;17
2193;Nat. person with sole proprietorship;2021 August;14
2194;Nat. person with sole proprietorship;2021 September;24
2195;Nat. person with sole proprietorship;2021 3rd quarter;55
2196;Nat. person with sole proprietorship;2021 October;17
2197;Nat. person with sole proprietorship;2021 November;23
2198;Nat. person with sole proprietorship;2021 December;23
2199;Nat. person with sole proprietorship;2021 4th quarter;63
2200;Nat. person with sole proprietorship;2021;281
2201;Nat. person with sole proprietorship;2022 January;18
2202;Nat. person with sole proprietorship;2022 February;20
2203;Nat. person with sole proprietorship;2022 March;21
2204;Nat. person with sole proprietorship;2022 1st quarter;59
2205;Nat. person with sole proprietorship;2022 April;21
2206;Nat. person with sole proprietorship;2022 May;33
2207;Nat. person with sole proprietorship;2022 June;26
2208;Nat. person with sole proprietorship;2022 2nd quarter;80
2209;Nat. person with sole proprietorship;2022 July;21
2210;Nat. person with sole proprietorship;2022 August;22
2211;Nat. person with sole proprietorship;2022 September;21
2212;Nat. person with sole proprietorship;2022 3rd quarter;64
2213;Nat. person with sole proprietorship;2022 October;22
2214;Nat. person with sole proprietorship;2022 November;34
2215;Nat. person with sole proprietorship;2022 December;32
2216;Nat. person with sole proprietorship;2022 4th quarter;88
2217;Nat. person with sole proprietorship;2022;291
2218;Nat. person with sole proprietorship;2023 January;35
2219;Nat. person with sole proprietorship;2023 February;31
2220;Nat. person with sole proprietorship;2023 March;28
2221;Nat. person with sole proprietorship;2023 1st quarter;95
2222;Nat. person with sole proprietorship;2023 April;28
2223;Nat. person with sole proprietorship;2023 May;31
2224;Nat. person with sole proprietorship;2023 June;27
2225;Nat. person with sole proprietorship;2023 2nd quarter;86
2226;Nat. person with sole proprietorship;2023 July;35
2227;Nat. person with sole proprietorship;2023 August;42
2228;Nat. person with sole proprietorship;2023 September;36
2229;Nat. person with sole proprietorship;2023 3rd quarter;113
2230;Nat. person with sole proprietorship;2023 October;50
2231;Nat. person with sole proprietorship;2023 November;26
2232;Nat. person with sole proprietorship;2023 December;31
2233;Nat. person with sole proprietorship;2023 4th quarter;107
2234;Nat. person with sole proprietorship;2023;401
2235;Nat. person with sole proprietorship;2024 January;57
2236;Nat. person with sole proprietorship;2024 February;29
2237;Nat. person with sole proprietorship;2024 March;41
2238;Nat. person with sole proprietorship;2024 1st quarter;127
2239;Nat. person with sole proprietorship;2024 April;50
2240;Nat. person with sole proprietorship;2024 May;28
2241;Nat. person with sole proprietorship;2024 June;34
2242;Nat. person with sole proprietorship;2024 2nd quarter;112
2243;Nat. person with sole proprietorship;2024 July;51
2244;Nat. person with sole proprietorship;2024 August;37
2245;Nat. person with sole proprietorship;2024 September;47
2246;Nat. person with sole proprietorship;2024 3rd quarter;135
2247;Nat. person with sole proprietorship;2024 October;42
2248;Nat. person with sole proprietorship;2024 November;39
2249;Nat. person with sole proprietorship;2024 December;33
2250;Nat. person with sole proprietorship;2024 4th quarter;114
2251;Nat. person with sole proprietorship;2024;488
2252;Nat. person with sole proprietorship;2025 January;45
2253;Nat. person with sole proprietorship;2025 February;24
2254;Nat. person with sole proprietorship;2025 March;35
2255;Nat. person with sole proprietorship;2025 1st quarter;104
2256;Companies and institutions;1981 January;213
2257;Companies and institutions;1981 February;264
2258;Companies and institutions;1981 March;239
2259;Companies and institutions;1981 1st quarter;716
2260;Companies and institutions;1981 April;274
2261;Companies and institutions;1981 May;238
2262;Companies and institutions;1981 June;243
2263;Companies and institutions;1981 2nd quarter;755
2264;Companies and institutions;1981 July;306
2265;Companies and institutions;1981 August;211
2266;Companies and institutions;1981 September;318
2267;Companies and institutions;1981 3rd quarter;835
2268;Companies and institutions;1981 October;311
2269;Companies and institutions;1981 November;285
2270;Companies and institutions;1981 December;299
2271;Companies and institutions;1981 4th quarter;895
2272;Companies and institutions;1981;3201
2273;Companies and institutions;1982 January;301
2274;Companies and institutions;1982 February;350
2275;Companies and institutions;1982 March;399
2276;Companies and institutions;1982 1st quarter;1050
2277;Companies and institutions;1982 April;339
2278;Companies and institutions;1982 May;251
2279;Companies and institutions;1982 June;345
2280;Companies and institutions;1982 2nd quarter;935
2281;Companies and institutions;1982 July;306
2282;Companies and institutions;1982 August;271
2283;Companies and institutions;1982 September;338
2284;Companies and institutions;1982 3rd quarter;915
2285;Companies and institutions;1982 October;357
2286;Companies and institutions;1982 November;347
2287;Companies and institutions;1982 December;332
2288;Companies and institutions;1982 4th quarter;1036
2289;Companies and institutions;1982;3936
2290;Companies and institutions;1983 January;296
2291;Companies and institutions;1983 February;285
2292;Companies and institutions;1983 March;401
2293;Companies and institutions;1983 1st quarter;982
2294;Companies and institutions;1983 April;268
2295;Companies and institutions;1983 May;286
2296;Companies and institutions;1983 June;332
2297;Companies and institutions;1983 2nd quarter;886
2298;Companies and institutions;1983 July;213
2299;Companies and institutions;1983 August;297
2300;Companies and institutions;1983 September;267
2301;Companies and institutions;1983 3rd quarter;777
2302;Companies and institutions;1983 October;214
2303;Companies and institutions;1983 November;241
2304;Companies and institutions;1983 December;206
2305;Companies and institutions;1983 4th quarter;661
2306;Companies and institutions;1983;3306
2307;Companies and institutions;1984 January;240
2308;Companies and institutions;1984 February;278
2309;Companies and institutions;1984 March;258
2310;Companies and institutions;1984 1st quarter;776
2311;Companies and institutions;1984 April;198
2312;Companies and institutions;1984 May;243
2313;Companies and institutions;1984 June;217
2314;Companies and institutions;1984 2nd quarter;658
2315;Companies and institutions;1984 July;188
2316;Companies and institutions;1984 August;241
2317;Companies and institutions;1984 September;208
2318;Companies and institutions;1984 3rd quarter;637
2319;Companies and institutions;1984 October;217
2320;Companies and institutions;1984 November;195
2321;Companies and institutions;1984 December;156
2322;Companies and institutions;1984 4th quarter;568
2323;Companies and institutions;1984;2639
2324;Companies and institutions;1985 January;213
2325;Companies and institutions;1985 February;207
2326;Companies and institutions;1985 March;245
2327;Companies and institutions;1985 1st quarter;665
2328;Companies and institutions;1985 April;191
2329;Companies and institutions;1985 May;216
2330;Companies and institutions;1985 June;184
2331;Companies and institutions;1985 2nd quarter;591
2332;Companies and institutions;1985 july;194
2333;Companies and institutions;1985 August;161
2334;Companies and institutions;1985 September;184
2335;Companies and institutions;1985 3rd quarter;539
2336;Companies and institutions;1985 October;219
2337;Companies and institutions;1985 November;193
2338;Companies and institutions;1985 December;151
2339;Companies and institutions;1985 4th quarter;563
2340;Companies and institutions;1985;2358
2341;Companies and institutions;1986 January;169
2342;Companies and institutions;1986 February;124
2343;Companies and institutions;1986 March;189
2344;Companies and institutions;1986 1st quarter;482
2345;Companies and institutions;1986 April;154
2346;Companies and institutions;1986 May;148
2347;Companies and institutions;1986 June;164
2348;Companies and institutions;1986 2nd quarter;466
