ID;StandaardGoederennomenclatuurSGN;Perioden;InNLGeproduceerdEnAfgezet_1;Uitvoer_2;InBuitenlGeproduceerdInNLAfgezet_3
6162;2029000  Andere zuivelproducten;1996;114.0;100.0;119.0
6163;2029000  Andere zuivelproducten;Januari   1996;114.0;102.0;119.0
6164;2029000  Andere zuivelproducten;Februari  1996;114.0;103.0;120.0
6165;2029000  Andere zuivelproducten;Maart     1996;114.0;102.0;120.0
6166;2029000  Andere zuivelproducten;April     1996;114.0;100.0;120.0
6167;2029000  Andere zuivelproducten;Mei       1996;114.0;100.0;120.0
6168;2029000  Andere zuivelproducten;Juni      1996;114.0;99.0;120.0
6169;2029000  Andere zuivelproducten;Juli      1996;114.0;99.0;117.0
6170;2029000  Andere zuivelproducten;Augustus  1996;114.0;99.0;117.0
6171;2029000  Andere zuivelproducten;September 1996;114.0;100.0;116.0
6172;2029000  Andere zuivelproducten;Oktober   1996;114.0;99.0;118.0
6173;2029000  Andere zuivelproducten;November  1996;114.0;99.0;118.0
6174;2029000  Andere zuivelproducten;December  1996;114.0;98.0;118.0
6175;2029000  Andere zuivelproducten;1997;117.0;100.0;120.0
6176;2029000  Andere zuivelproducten;Januari   1997;116.0;99.0;118.0
6177;2029000  Andere zuivelproducten;Februari  1997;116.0;99.0;119.0
6178;2029000  Andere zuivelproducten;Maart     1997;116.0;99.0;119.0
6179;2029000  Andere zuivelproducten;April     1997;117.0;99.0;120.0
6180;2029000  Andere zuivelproducten;Mei       1997;117.0;100.0;119.0
6181;2029000  Andere zuivelproducten;Juni      1997;117.0;99.0;121.0
6182;2029000  Andere zuivelproducten;Juli      1997;117.0;100.0;121.0
6183;2029000  Andere zuivelproducten;Augustus  1997;117.0;100.0;121.0
6184;2029000  Andere zuivelproducten;September 1997;117.0;100.0;121.0
6185;2029000  Andere zuivelproducten;Oktober   1997;117.0;100.0;122.0
6186;2029000  Andere zuivelproducten;November  1997;117.0;100.0;122.0
6187;2029000  Andere zuivelproducten;December  1997;117.0;106.0;122.0
6188;2029000  Andere zuivelproducten;1998;118.0;105.0;124.0
6189;2029000  Andere zuivelproducten;Januari   1998;118.0;105.0;124.0
6190;2029000  Andere zuivelproducten;Februari  1998;118.0;105.0;124.0
6191;2029000  Andere zuivelproducten;Maart  1998;119.0;105.0;125.0
6192;2029000  Andere zuivelproducten;April  1998;119.0;105.0;124.0
6193;2029000  Andere zuivelproducten;Mei 1998;119.0;105.0;124.0
6194;2029000  Andere zuivelproducten;Juni 1998;119.0;105.0;123.0
6195;2029000  Andere zuivelproducten;Juli 1998;118.0;105.0;125.0
6196;2029000  Andere zuivelproducten;Augustus 1998;118.0;105.0;124.0
6197;2029000  Andere zuivelproducten;September 1998;118.0;105.0;124.0
6198;2029000  Andere zuivelproducten;Oktober 1998;118.0;106.0;123.0
6199;2029000  Andere zuivelproducten;November 1998;118.0;106.0;122.0
6200;2029000  Andere zuivelproducten;December 1998;118.0;106.0;122.0
6201;2029100  Consumptie ijs;1990;100.0;;
6202;2029100  Consumptie ijs;Januari   1990;98.0;;
6203;2029100  Consumptie ijs;Februari  1990;99.0;;
6204;2029100  Consumptie ijs;Maart     1990;100.0;;
6205;2029100  Consumptie ijs;April     1990;101.0;;
6206;2029100  Consumptie ijs;Mei       1990;100.0;;
6207;2029100  Consumptie ijs;Juni      1990;100.0;;
6208;2029100  Consumptie ijs;Juli      1990;100.0;;
6209;2029100  Consumptie ijs;Augustus  1990;100.0;;
6210;2029100  Consumptie ijs;September 1990;100.0;;
6211;2029100  Consumptie ijs;Oktober   1990;100.0;;
6212;2029100  Consumptie ijs;November  1990;100.0;;
6213;2029100  Consumptie ijs;December  1990;100.0;;
6214;2029100  Consumptie ijs;1991;102.0;;
6215;2029100  Consumptie ijs;Januari   1991;101.0;;
6216;2029100  Consumptie ijs;Februari  1991;101.0;;
6217;2029100  Consumptie ijs;Maart     1991;102.0;;
6218;2029100  Consumptie ijs;April     1991;102.0;;
6219;2029100  Consumptie ijs;Mei       1991;102.0;;
6220;2029100  Consumptie ijs;Juni      1991;103.0;;
6221;2029100  Consumptie ijs;Juli      1991;103.0;;
6222;2029100  Consumptie ijs;Augustus  1991;103.0;;
6223;2029100  Consumptie ijs;September 1991;103.0;;
6224;2029100  Consumptie ijs;Oktober   1991;103.0;;
6225;2029100  Consumptie ijs;November  1991;103.0;;
6226;2029100  Consumptie ijs;December  1991;103.0;;
6227;2029100  Consumptie ijs;1992;104.0;;
6228;2029100  Consumptie ijs;Januari   1992;104.0;;
6229;2029100  Consumptie ijs;Februari  1992;104.0;;
6230;2029100  Consumptie ijs;Maart     1992;104.0;;
6231;2029100  Consumptie ijs;April     1992;105.0;;
6232;2029100  Consumptie ijs;Mei       1992;105.0;;
6233;2029100  Consumptie ijs;Juni      1992;103.0;;
6234;2029100  Consumptie ijs;Juli      1992;103.0;;
6235;2029100  Consumptie ijs;Augustus  1992;103.0;;
6236;2029100  Consumptie ijs;September 1992;104.0;;
6237;2029100  Consumptie ijs;Oktober   1992;103.0;;
6238;2029100  Consumptie ijs;November  1992;103.0;;
6239;2029100  Consumptie ijs;December  1992;103.0;;
6240;2029100  Consumptie ijs;1993;104.0;;
6241;2029100  Consumptie ijs;Januari   1993;104.0;;
6242;2029100  Consumptie ijs;Februari  1993;104.0;;
6243;2029100  Consumptie ijs;Maart     1993;104.0;;
6244;2029100  Consumptie ijs;April     1993;104.0;;
6245;2029100  Consumptie ijs;Mei       1993;104.0;;
6246;2029100  Consumptie ijs;Juni      1993;104.0;;
6247;2029100  Consumptie ijs;Juli      1993;104.0;;
6248;2029100  Consumptie ijs;Augustus  1993;104.0;;
6249;2029100  Consumptie ijs;September 1993;104.0;;
6250;2029100  Consumptie ijs;Oktober   1993;103.0;;
6251;2029100  Consumptie ijs;November  1993;103.0;;
6252;2029100  Consumptie ijs;December  1993;103.0;;
6253;2029100  Consumptie ijs;1994;103.0;;
6254;2029100  Consumptie ijs;Januari   1994;103.0;;
6255;2029100  Consumptie ijs;Februari  1994;103.0;;
6256;2029100  Consumptie ijs;Maart     1994;103.0;;
6257;2029100  Consumptie ijs;April     1994;103.0;;
6258;2029100  Consumptie ijs;Mei       1994;103.0;;
6259;2029100  Consumptie ijs;Juni      1994;103.0;;
6260;2029100  Consumptie ijs;Juli      1994;103.0;;
6261;2029100  Consumptie ijs;Augustus  1994;103.0;;
6262;2029100  Consumptie ijs;September 1994;103.0;;
6263;2029100  Consumptie ijs;Oktober   1994;103.0;;
6264;2029100  Consumptie ijs;November  1994;103.0;;
6265;2029100  Consumptie ijs;December  1994;104.0;;
6266;2029100  Consumptie ijs;1995;106.0;;
6267;2029100  Consumptie ijs;Januari   1995;106.0;;
6268;2029100  Consumptie ijs;Februari  1995;106.0;;
6269;2029100  Consumptie ijs;Maart     1995;106.0;;
6270;2029100  Consumptie ijs;April     1995;106.0;;
6271;2029100  Consumptie ijs;Mei       1995;106.0;;
6272;2029100  Consumptie ijs;Juni      1995;106.0;;
6273;2029100  Consumptie ijs;Juli      1995;106.0;;
6274;2029100  Consumptie ijs;Augustus  1995;106.0;;
6275;2029100  Consumptie ijs;September 1995;106.0;;
6276;2029100  Consumptie ijs;Oktober   1995;106.0;;
6277;2029100  Consumptie ijs;November  1995;106.0;;
6278;2029100  Consumptie ijs;December  1995;106.0;;
6279;2029100  Consumptie ijs;1996;107.0;;
6280;2029100  Consumptie ijs;Januari   1996;107.0;;
6281;2029100  Consumptie ijs;Februari  1996;107.0;;
6282;2029100  Consumptie ijs;Maart     1996;107.0;;
6283;2029100  Consumptie ijs;April     1996;107.0;;
6284;2029100  Consumptie ijs;Mei       1996;107.0;;
6285;2029100  Consumptie ijs;Juni      1996;107.0;;
6286;2029100  Consumptie ijs;Juli      1996;107.0;;
6287;2029100  Consumptie ijs;Augustus  1996;107.0;;
6288;2029100  Consumptie ijs;September 1996;107.0;;
6289;2029100  Consumptie ijs;Oktober   1996;107.0;;
6290;2029100  Consumptie ijs;November  1996;107.0;;
6291;2029100  Consumptie ijs;December  1996;107.0;;
6292;2029100  Consumptie ijs;1997;109.0;;
6293;2029100  Consumptie ijs;Januari   1997;109.0;;
6294;2029100  Consumptie ijs;Februari  1997;109.0;;
6295;2029100  Consumptie ijs;Maart     1997;109.0;;
6296;2029100  Consumptie ijs;April     1997;109.0;;
6297;2029100  Consumptie ijs;Mei       1997;109.0;;
6298;2029100  Consumptie ijs;Juni      1997;109.0;;
6299;2029100  Consumptie ijs;Juli      1997;109.0;;
6300;2029100  Consumptie ijs;Augustus  1997;109.0;;
6301;2029100  Consumptie ijs;September 1997;109.0;;
6302;2029100  Consumptie ijs;Oktober   1997;109.0;;
6303;2029100  Consumptie ijs;November  1997;109.0;;
6304;2029100  Consumptie ijs;December  1997;109.0;;
6305;2029100  Consumptie ijs;1998;110.0;;
6306;2029100  Consumptie ijs;Januari   1998;110.0;;
6307;2029100  Consumptie ijs;Februari  1998;110.0;;
6308;2029100  Consumptie ijs;Maart  1998;110.0;;
6309;2029100  Consumptie ijs;April  1998;110.0;;
6310;2029100  Consumptie ijs;Mei 1998;110.0;;
6311;2029100  Consumptie ijs;Juni 1998;110.0;;
6312;2029100  Consumptie ijs;Juli 1998;110.0;;
6313;2029100  Consumptie ijs;Augustus 1998;110.0;;
6314;2029100  Consumptie ijs;September 1998;110.0;;
6315;2029100  Consumptie ijs;Oktober 1998;110.0;;
6316;2029100  Consumptie ijs;November 1998;110.0;;
6317;2029100  Consumptie ijs;December 1998;110.0;;
6318;2029200  Vla, pappen e.d. (excl.pudding);1990;100.0;;
6319;2029200  Vla, pappen e.d. (excl.pudding);Januari   1990;101.0;;
6320;2029200  Vla, pappen e.d. (excl.pudding);Februari  1990;101.0;;
6321;2029200  Vla, pappen e.d. (excl.pudding);Maart     1990;101.0;;
6322;2029200  Vla, pappen e.d. (excl.pudding);April     1990;100.0;;
6323;2029200  Vla, pappen e.d. (excl.pudding);Mei       1990;100.0;;
6324;2029200  Vla, pappen e.d. (excl.pudding);Juni      1990;100.0;;
6325;2029200  Vla, pappen e.d. (excl.pudding);Juli      1990;100.0;;
6326;2029200  Vla, pappen e.d. (excl.pudding);Augustus  1990;100.0;;
6327;2029200  Vla, pappen e.d. (excl.pudding);September 1990;100.0;;
6328;2029200  Vla, pappen e.d. (excl.pudding);Oktober   1990;99.0;;
6329;2029200  Vla, pappen e.d. (excl.pudding);November  1990;99.0;;
6330;2029200  Vla, pappen e.d. (excl.pudding);December  1990;99.0;;
6331;2029200  Vla, pappen e.d. (excl.pudding);1991;102.0;;
6332;2029200  Vla, pappen e.d. (excl.pudding);Januari   1991;99.0;;
6333;2029200  Vla, pappen e.d. (excl.pudding);Februari  1991;99.0;;
6334;2029200  Vla, pappen e.d. (excl.pudding);Maart     1991;99.0;;
6335;2029200  Vla, pappen e.d. (excl.pudding);April     1991;100.0;;
6336;2029200  Vla, pappen e.d. (excl.pudding);Mei       1991;102.0;;
6337;2029200  Vla, pappen e.d. (excl.pudding);Juni      1991;102.0;;
6338;2029200  Vla, pappen e.d. (excl.pudding);Juli      1991;102.0;;
6339;2029200  Vla, pappen e.d. (excl.pudding);Augustus  1991;102.0;;
6340;2029200  Vla, pappen e.d. (excl.pudding);September 1991;105.0;;
6341;2029200  Vla, pappen e.d. (excl.pudding);Oktober   1991;105.0;;
6342;2029200  Vla, pappen e.d. (excl.pudding);November  1991;105.0;;
6343;2029200  Vla, pappen e.d. (excl.pudding);December  1991;105.0;;
6344;2029200  Vla, pappen e.d. (excl.pudding);1992;107.0;;
6345;2029200  Vla, pappen e.d. (excl.pudding);Januari   1992;105.0;;
6346;2029200  Vla, pappen e.d. (excl.pudding);Februari  1992;105.0;;
6347;2029200  Vla, pappen e.d. (excl.pudding);Maart     1992;105.0;;
6348;2029200  Vla, pappen e.d. (excl.pudding);April     1992;105.0;;
6349;2029200  Vla, pappen e.d. (excl.pudding);Mei       1992;105.0;;
6350;2029200  Vla, pappen e.d. (excl.pudding);Juni      1992;106.0;;
6351;2029200  Vla, pappen e.d. (excl.pudding);Juli      1992;109.0;;
6352;2029200  Vla, pappen e.d. (excl.pudding);Augustus  1992;109.0;;
6353;2029200  Vla, pappen e.d. (excl.pudding);September 1992;109.0;;
6354;2029200  Vla, pappen e.d. (excl.pudding);Oktober   1992;109.0;;
6355;2029200  Vla, pappen e.d. (excl.pudding);November  1992;109.0;;
6356;2029200  Vla, pappen e.d. (excl.pudding);December  1992;108.0;;
6357;2029200  Vla, pappen e.d. (excl.pudding);1993;111.0;;
6358;2029200  Vla, pappen e.d. (excl.pudding);Januari   1993;109.0;;
6359;2029200  Vla, pappen e.d. (excl.pudding);Februari  1993;108.0;;
6360;2029200  Vla, pappen e.d. (excl.pudding);Maart     1993;111.0;;
6361;2029200  Vla, pappen e.d. (excl.pudding);April     1993;112.0;;
6362;2029200  Vla, pappen e.d. (excl.pudding);Mei       1993;112.0;;
6363;2029200  Vla, pappen e.d. (excl.pudding);Juni      1993;112.0;;
6364;2029200  Vla, pappen e.d. (excl.pudding);Juli      1993;112.0;;
6365;2029200  Vla, pappen e.d. (excl.pudding);Augustus  1993;112.0;;
6366;2029200  Vla, pappen e.d. (excl.pudding);September 1993;112.0;;
6367;2029200  Vla, pappen e.d. (excl.pudding);Oktober   1993;112.0;;
6368;2029200  Vla, pappen e.d. (excl.pudding);November  1993;112.0;;
6369;2029200  Vla, pappen e.d. (excl.pudding);December  1993;112.0;;
6370;2029200  Vla, pappen e.d. (excl.pudding);1994;112.0;;
6371;2029200  Vla, pappen e.d. (excl.pudding);Januari   1994;112.0;;
6372;2029200  Vla, pappen e.d. (excl.pudding);Februari  1994;112.0;;
6373;2029200  Vla, pappen e.d. (excl.pudding);Maart     1994;112.0;;
6374;2029200  Vla, pappen e.d. (excl.pudding);April     1994;112.0;;
6375;2029200  Vla, pappen e.d. (excl.pudding);Mei       1994;112.0;;
6376;2029200  Vla, pappen e.d. (excl.pudding);Juni      1994;112.0;;
6377;2029200  Vla, pappen e.d. (excl.pudding);Juli      1994;112.0;;
6378;2029200  Vla, pappen e.d. (excl.pudding);Augustus  1994;112.0;;
6379;2029200  Vla, pappen e.d. (excl.pudding);September 1994;112.0;;
6380;2029200  Vla, pappen e.d. (excl.pudding);Oktober   1994;112.0;;
6381;2029200  Vla, pappen e.d. (excl.pudding);November  1994;112.0;;
6382;2029200  Vla, pappen e.d. (excl.pudding);December  1994;112.0;;
6383;2029200  Vla, pappen e.d. (excl.pudding);1995;112.0;;
6384;2029200  Vla, pappen e.d. (excl.pudding);Januari   1995;112.0;;
6385;2029200  Vla, pappen e.d. (excl.pudding);Februari  1995;112.0;;
6386;2029200  Vla, pappen e.d. (excl.pudding);Maart     1995;112.0;;
6387;2029200  Vla, pappen e.d. (excl.pudding);April     1995;112.0;;
6388;2029200  Vla, pappen e.d. (excl.pudding);Mei       1995;112.0;;
6389;2029200  Vla, pappen e.d. (excl.pudding);Juni      1995;112.0;;
6390;2029200  Vla, pappen e.d. (excl.pudding);Juli      1995;112.0;;
6391;2029200  Vla, pappen e.d. (excl.pudding);Augustus  1995;112.0;;
6392;2029200  Vla, pappen e.d. (excl.pudding);September 1995;112.0;;
6393;2029200  Vla, pappen e.d. (excl.pudding);Oktober   1995;112.0;;
6394;2029200  Vla, pappen e.d. (excl.pudding);November  1995;113.0;;
6395;2029200  Vla, pappen e.d. (excl.pudding);December  1995;113.0;;
6396;2029200  Vla, pappen e.d. (excl.pudding);1996;113.0;;
6397;2029200  Vla, pappen e.d. (excl.pudding);Januari   1996;113.0;;
6398;2029200  Vla, pappen e.d. (excl.pudding);Februari  1996;113.0;;
6399;2029200  Vla, pappen e.d. (excl.pudding);Maart     1996;113.0;;
6400;2029200  Vla, pappen e.d. (excl.pudding);April     1996;113.0;;
6401;2029200  Vla, pappen e.d. (excl.pudding);Mei       1996;113.0;;
6402;2029200  Vla, pappen e.d. (excl.pudding);Juni      1996;113.0;;
6403;2029200  Vla, pappen e.d. (excl.pudding);Juli      1996;113.0;;
6404;2029200  Vla, pappen e.d. (excl.pudding);Augustus  1996;114.0;;
6405;2029200  Vla, pappen e.d. (excl.pudding);September 1996;114.0;;
6406;2029200  Vla, pappen e.d. (excl.pudding);Oktober   1996;114.0;;
6407;2029200  Vla, pappen e.d. (excl.pudding);November  1996;114.0;;
6408;2029200  Vla, pappen e.d. (excl.pudding);December  1996;114.0;;
6409;2029200  Vla, pappen e.d. (excl.pudding);1997;115.0;;
6410;2029200  Vla, pappen e.d. (excl.pudding);Januari   1997;114.0;;
6411;2029200  Vla, pappen e.d. (excl.pudding);Februari  1997;114.0;;
6412;2029200  Vla, pappen e.d. (excl.pudding);Maart     1997;114.0;;
6413;2029200  Vla, pappen e.d. (excl.pudding);April     1997;114.0;;
6414;2029200  Vla, pappen e.d. (excl.pudding);Mei       1997;114.0;;
6415;2029200  Vla, pappen e.d. (excl.pudding);Juni      1997;114.0;;
6416;2029200  Vla, pappen e.d. (excl.pudding);Juli      1997;116.0;;
6417;2029200  Vla, pappen e.d. (excl.pudding);Augustus  1997;116.0;;
6418;2029200  Vla, pappen e.d. (excl.pudding);September 1997;116.0;;
6419;2029200  Vla, pappen e.d. (excl.pudding);Oktober   1997;116.0;;
6420;2029200  Vla, pappen e.d. (excl.pudding);November  1997;116.0;;
6421;2029200  Vla, pappen e.d. (excl.pudding);December  1997;116.0;;
6422;2029200  Vla, pappen e.d. (excl.pudding);1998;118.0;;
6423;2029200  Vla, pappen e.d. (excl.pudding);Januari   1998;118.0;;
6424;2029200  Vla, pappen e.d. (excl.pudding);Februari  1998;118.0;;
6425;2029200  Vla, pappen e.d. (excl.pudding);Maart  1998;118.0;;
6426;2029200  Vla, pappen e.d. (excl.pudding);April  1998;118.0;;
6427;2029200  Vla, pappen e.d. (excl.pudding);Mei 1998;118.0;;
6428;2029200  Vla, pappen e.d. (excl.pudding);Juni 1998;118.0;;
6429;2029200  Vla, pappen e.d. (excl.pudding);Juli 1998;118.0;;
6430;2029200  Vla, pappen e.d. (excl.pudding);Augustus 1998;118.0;;
6431;2029200  Vla, pappen e.d. (excl.pudding);September 1998;118.0;;
6432;2029200  Vla, pappen e.d. (excl.pudding);Oktober 1998;118.0;;
6433;2029200  Vla, pappen e.d. (excl.pudding);November 1998;118.0;;
6434;2029200  Vla, pappen e.d. (excl.pudding);December 1998;118.0;;
6435;2029400  Kindervoeding op melkbasis;1990;;100.0;
6436;2029400  Kindervoeding op melkbasis;Januari   1990;;102.0;
6437;2029400  Kindervoeding op melkbasis;Februari  1990;;101.0;
6438;2029400  Kindervoeding op melkbasis;Maart     1990;;102.0;
6439;2029400  Kindervoeding op melkbasis;April     1990;;102.0;
6440;2029400  Kindervoeding op melkbasis;Mei       1990;;102.0;
6441;2029400  Kindervoeding op melkbasis;Juni      1990;;101.0;
6442;2029400  Kindervoeding op melkbasis;Juli      1990;;100.0;
6443;2029400  Kindervoeding op melkbasis;Augustus  1990;;98.0;
6444;2029400  Kindervoeding op melkbasis;September 1990;;98.0;
6445;2029400  Kindervoeding op melkbasis;Oktober   1990;;98.0;
6446;2029400  Kindervoeding op melkbasis;November  1990;;97.0;
6447;2029400  Kindervoeding op melkbasis;December  1990;;98.0;
6448;2029400  Kindervoeding op melkbasis;1991;;101.0;
6449;2029400  Kindervoeding op melkbasis;Januari   1991;;99.0;
6450;2029400  Kindervoeding op melkbasis;Februari  1991;;97.0;
6451;2029400  Kindervoeding op melkbasis;Maart     1991;;101.0;
6452;2029400  Kindervoeding op melkbasis;April     1991;;103.0;
6453;2029400  Kindervoeding op melkbasis;Mei       1991;;104.0;
6454;2029400  Kindervoeding op melkbasis;Juni      1991;;103.0;
6455;2029400  Kindervoeding op melkbasis;Juli      1991;;103.0;
6456;2029400  Kindervoeding op melkbasis;Augustus  1991;;103.0;
6457;2029400  Kindervoeding op melkbasis;September 1991;;102.0;
6458;2029400  Kindervoeding op melkbasis;Oktober   1991;;100.0;
6459;2029400  Kindervoeding op melkbasis;November  1991;;100.0;
6460;2029400  Kindervoeding op melkbasis;December  1991;;98.0;
6461;2029400  Kindervoeding op melkbasis;1992;;100.0;
6462;2029400  Kindervoeding op melkbasis;Januari   1992;;99.0;
6463;2029400  Kindervoeding op melkbasis;Februari  1992;;99.0;
6464;2029400  Kindervoeding op melkbasis;Maart     1992;;99.0;
6465;2029400  Kindervoeding op melkbasis;April     1992;;99.0;
6466;2029400  Kindervoeding op melkbasis;Mei       1992;;100.0;
6467;2029400  Kindervoeding op melkbasis;Juni      1992;;100.0;
6468;2029400  Kindervoeding op melkbasis;Juli      1992;;100.0;
6469;2029400  Kindervoeding op melkbasis;Augustus  1992;;100.0;
6470;2029400  Kindervoeding op melkbasis;September 1992;;100.0;
6471;2029400  Kindervoeding op melkbasis;Oktober   1992;;100.0;
6472;2029400  Kindervoeding op melkbasis;November  1992;;101.0;
6473;2029400  Kindervoeding op melkbasis;December  1992;;101.0;
6474;2029400  Kindervoeding op melkbasis;1993;;101.0;
6475;2029400  Kindervoeding op melkbasis;Januari   1993;;100.0;
6476;2029400  Kindervoeding op melkbasis;Februari  1993;;100.0;
6477;2029400  Kindervoeding op melkbasis;Maart     1993;;102.0;
6478;2029400  Kindervoeding op melkbasis;April     1993;;102.0;
6479;2029400  Kindervoeding op melkbasis;Mei       1993;;102.0;
6480;2029400  Kindervoeding op melkbasis;Juni      1993;;102.0;
6481;2029400  Kindervoeding op melkbasis;Juli      1993;;101.0;
6482;2029400  Kindervoeding op melkbasis;Augustus  1993;;101.0;
6483;2029400  Kindervoeding op melkbasis;September 1993;;101.0;
6484;2029400  Kindervoeding op melkbasis;Oktober   1993;;101.0;
6485;2029400  Kindervoeding op melkbasis;November  1993;;101.0;
6486;2029400  Kindervoeding op melkbasis;December  1993;;100.0;
6487;2029400  Kindervoeding op melkbasis;1994;;100.0;
6488;2029400  Kindervoeding op melkbasis;Januari   1994;;99.0;
6489;2029400  Kindervoeding op melkbasis;Februari  1994;;100.0;
6490;2029400  Kindervoeding op melkbasis;Maart     1994;;100.0;
6491;2029400  Kindervoeding op melkbasis;April     1994;;98.0;
6492;2029400  Kindervoeding op melkbasis;Mei       1994;;98.0;
6493;2029400  Kindervoeding op melkbasis;Juni      1994;;98.0;
6494;2029400  Kindervoeding op melkbasis;Juli      1994;;101.0;
6495;2029400  Kindervoeding op melkbasis;Augustus  1994;;101.0;
6496;2029400  Kindervoeding op melkbasis;September 1994;;102.0;
6497;2029400  Kindervoeding op melkbasis;Oktober   1994;;102.0;
6498;2029400  Kindervoeding op melkbasis;November  1994;;102.0;
6499;2029400  Kindervoeding op melkbasis;December  1994;;102.0;
6500;2029400  Kindervoeding op melkbasis;1995;;101.0;
6501;2029400  Kindervoeding op melkbasis;Januari   1995;;101.0;
6502;2029400  Kindervoeding op melkbasis;Februari  1995;;101.0;
6503;2029400  Kindervoeding op melkbasis;Maart     1995;;101.0;
6504;2029400  Kindervoeding op melkbasis;April     1995;;101.0;
6505;2029400  Kindervoeding op melkbasis;Mei       1995;;101.0;
6506;2029400  Kindervoeding op melkbasis;Juni      1995;;102.0;
6507;2029400  Kindervoeding op melkbasis;Juli      1995;;102.0;
6508;2029400  Kindervoeding op melkbasis;Augustus  1995;;102.0;
6509;2029400  Kindervoeding op melkbasis;September 1995;;102.0;
6510;2029400  Kindervoeding op melkbasis;Oktober   1995;;102.0;
6511;2029400  Kindervoeding op melkbasis;November  1995;;102.0;
6512;2029400  Kindervoeding op melkbasis;December  1995;;102.0;
6513;2029400  Kindervoeding op melkbasis;1996;;102.0;
6514;2029400  Kindervoeding op melkbasis;Januari   1996;;102.0;
6515;2029400  Kindervoeding op melkbasis;Februari  1996;;102.0;
6516;2029400  Kindervoeding op melkbasis;Maart     1996;;102.0;
6517;2029400  Kindervoeding op melkbasis;April     1996;;103.0;
6518;2029400  Kindervoeding op melkbasis;Mei       1996;;103.0;
6519;2029400  Kindervoeding op melkbasis;Juni      1996;;102.0;
6520;2029400  Kindervoeding op melkbasis;Juli      1996;;102.0;
6521;2029400  Kindervoeding op melkbasis;Augustus  1996;;102.0;
6522;2029400  Kindervoeding op melkbasis;September 1996;;102.0;
6523;2029400  Kindervoeding op melkbasis;Oktober   1996;;101.0;
6524;2029400  Kindervoeding op melkbasis;November  1996;;101.0;
6525;2029400  Kindervoeding op melkbasis;December  1996;;101.0;
6526;2029400  Kindervoeding op melkbasis;1997;;103.0;
6527;2029400  Kindervoeding op melkbasis;Januari   1997;;101.0;
6528;2029400  Kindervoeding op melkbasis;Februari  1997;;102.0;
6529;2029400  Kindervoeding op melkbasis;Maart     1997;;102.0;
6530;2029400  Kindervoeding op melkbasis;April     1997;;102.0;
6531;2029400  Kindervoeding op melkbasis;Mei       1997;;102.0;
6532;2029400  Kindervoeding op melkbasis;Juni      1997;;102.0;
6533;2029400  Kindervoeding op melkbasis;Juli      1997;;103.0;
6534;2029400  Kindervoeding op melkbasis;Augustus  1997;;103.0;
6535;2029400  Kindervoeding op melkbasis;September 1997;;102.0;
6536;2029400  Kindervoeding op melkbasis;Oktober   1997;;102.0;
6537;2029400  Kindervoeding op melkbasis;November  1997;;103.0;
6538;2029400  Kindervoeding op melkbasis;December  1997;;110.0;
6539;2029400  Kindervoeding op melkbasis;1998;;109.0;
6540;2029400  Kindervoeding op melkbasis;Januari   1998;;109.0;
6541;2029400  Kindervoeding op melkbasis;Februari  1998;;109.0;
6542;2029400  Kindervoeding op melkbasis;Maart  1998;;109.0;
6543;2029400  Kindervoeding op melkbasis;April  1998;;109.0;
6544;2029400  Kindervoeding op melkbasis;Mei 1998;;109.0;
6545;2029400  Kindervoeding op melkbasis;Juni 1998;;109.0;
6546;2029400  Kindervoeding op melkbasis;Juli 1998;;109.0;
6547;2029400  Kindervoeding op melkbasis;Augustus 1998;;109.0;
6548;2029400  Kindervoeding op melkbasis;September 1998;;109.0;
6549;2029400  Kindervoeding op melkbasis;Oktober 1998;;110.0;
6550;2029400  Kindervoeding op melkbasis;November 1998;;110.0;
6551;2029400  Kindervoeding op melkbasis;December 1998;;111.0;
6552;2029900  Ov. zuiv.prod. (w.o. milkshak.);1990;100.0;100.0;
6553;2029900  Ov. zuiv.prod. (w.o. milkshak.);Januari   1990;99.0;108.0;
6554;2029900  Ov. zuiv.prod. (w.o. milkshak.);Februari  1990;99.0;105.0;
6555;2029900  Ov. zuiv.prod. (w.o. milkshak.);Maart     1990;100.0;108.0;
6556;2029900  Ov. zuiv.prod. (w.o. milkshak.);April     1990;99.0;100.0;
6557;2029900  Ov. zuiv.prod. (w.o. milkshak.);Mei       1990;99.0;100.0;
6558;2029900  Ov. zuiv.prod. (w.o. milkshak.);Juni      1990;100.0;99.0;
6559;2029900  Ov. zuiv.prod. (w.o. milkshak.);Juli      1990;100.0;98.0;
6560;2029900  Ov. zuiv.prod. (w.o. milkshak.);Augustus  1990;98.0;97.0;
6561;2029900  Ov. zuiv.prod. (w.o. milkshak.);September 1990;99.0;97.0;
6562;2029900  Ov. zuiv.prod. (w.o. milkshak.);Oktober   1990;99.0;96.0;
6563;2029900  Ov. zuiv.prod. (w.o. milkshak.);November  1990;103.0;96.0;
6564;2029900  Ov. zuiv.prod. (w.o. milkshak.);December  1990;106.0;96.0;
6565;2029900  Ov. zuiv.prod. (w.o. milkshak.);1991;104.0;98.0;
6566;2029900  Ov. zuiv.prod. (w.o. milkshak.);Januari   1991;102.0;96.0;
6567;2029900  Ov. zuiv.prod. (w.o. milkshak.);Februari  1991;100.0;95.0;
6568;2029900  Ov. zuiv.prod. (w.o. milkshak.);Maart     1991;100.0;98.0;
6569;2029900  Ov. zuiv.prod. (w.o. milkshak.);April     1991;102.0;100.0;
