ID;OutputAndImportPrices;ProductsAccordingToPRODCOMList;Periods;ProducerPriceIndexPPI_1;YearOnYearChangePPI_2;MonthOnMonthChangePPI_3
3375;Total output prices;0812123 Crushed stone of a kind used...;2017 September;;;
3376;Total output prices;0812123 Crushed stone of a kind used...;2017 October;;;
3377;Total output prices;0812123 Crushed stone of a kind used...;2017 November;;;
3378;Total output prices;0812123 Crushed stone of a kind used...;2017 December;;;
3379;Total output prices;0812123 Crushed stone of a kind used...;2017;;;
3380;Total output prices;089 Mining and quarrying product...;2005 January;85.4;2.8;2.7
3381;Total output prices;089 Mining and quarrying product...;2005 February;85.6;3.3;0.3
3382;Total output prices;089 Mining and quarrying product...;2005 March;85.7;2.4;0.1
3383;Total output prices;089 Mining and quarrying product...;2005 April;85.7;3.9;0.0
3384;Total output prices;089 Mining and quarrying product...;2005 May;84.4;2.6;-1.5
3385;Total output prices;089 Mining and quarrying product...;2005 June;84.5;2.6;0.1
3386;Total output prices;089 Mining and quarrying product...;2005 July;84.7;2.6;0.3
3387;Total output prices;089 Mining and quarrying product...;2005 August;85.2;1.5;0.6
3388;Total output prices;089 Mining and quarrying product...;2005 September;85.2;2.9;0.0
3389;Total output prices;089 Mining and quarrying product...;2005 October;85.1;2.7;-0.1
3390;Total output prices;089 Mining and quarrying product...;2005 November;85.8;1.0;0.8
3391;Total output prices;089 Mining and quarrying product...;2005 December;85.8;3.1;-0.1
3392;Total output prices;089 Mining and quarrying product...;2005;85.3;2.6;
3393;Total output prices;089 Mining and quarrying product...;2006 January;83.1;-2.7;-3.1
3394;Total output prices;089 Mining and quarrying product...;2006 February;83.3;-2.7;0.2
3395;Total output prices;089 Mining and quarrying product...;2006 March;83.1;-3.0;-0.2
3396;Total output prices;089 Mining and quarrying product...;2006 April;85.3;-0.5;2.6
3397;Total output prices;089 Mining and quarrying product...;2006 May;82.4;-2.4;-3.3
3398;Total output prices;089 Mining and quarrying product...;2006 June;84.4;-0.1;2.4
3399;Total output prices;089 Mining and quarrying product...;2006 July;80.0;-5.6;-5.2
3400;Total output prices;089 Mining and quarrying product...;2006 August;81.8;-4.1;2.3
3401;Total output prices;089 Mining and quarrying product...;2006 September;83.5;-2.1;2.1
3402;Total output prices;089 Mining and quarrying product...;2006 October;84.7;-0.5;1.5
3403;Total output prices;089 Mining and quarrying product...;2006 November;81.8;-4.7;-3.5
3404;Total output prices;089 Mining and quarrying product...;2006 December;84.1;-2.0;2.8
3405;Total output prices;089 Mining and quarrying product...;2006;83.1;-2.5;
3406;Total output prices;089 Mining and quarrying product...;2007 January;83.8;0.9;-0.3
3407;Total output prices;089 Mining and quarrying product...;2007 February;85.3;2.4;1.7
3408;Total output prices;089 Mining and quarrying product...;2007 March;85.2;2.5;0.0
3409;Total output prices;089 Mining and quarrying product...;2007 April;85.0;-0.3;-0.3
3410;Total output prices;089 Mining and quarrying product...;2007 May;82.4;0.0;-3.0
3411;Total output prices;089 Mining and quarrying product...;2007 June;80.9;-4.1;-1.8
3412;Total output prices;089 Mining and quarrying product...;2007 July;84.6;5.7;4.5
3413;Total output prices;089 Mining and quarrying product...;2007 August;83.1;1.7;-1.7
3414;Total output prices;089 Mining and quarrying product...;2007 September;84.5;1.2;1.6
3415;Total output prices;089 Mining and quarrying product...;2007 October;84.3;-0.5;-0.2
3416;Total output prices;089 Mining and quarrying product...;2007 November;86.7;6.1;2.9
3417;Total output prices;089 Mining and quarrying product...;2007 December;84.4;0.4;-2.7
3418;Total output prices;089 Mining and quarrying product...;2007;84.2;1.3;
3419;Total output prices;089 Mining and quarrying product...;2008 January;96.3;14.8;14.1
3420;Total output prices;089 Mining and quarrying product...;2008 February;97.6;14.5;1.4
3421;Total output prices;089 Mining and quarrying product...;2008 March;105.0;23.2;7.6
3422;Total output prices;089 Mining and quarrying product...;2008 April;98.1;15.5;-6.6
3423;Total output prices;089 Mining and quarrying product...;2008 May;99.2;20.3;1.0
3424;Total output prices;089 Mining and quarrying product...;2008 June;98.2;21.4;-0.9
3425;Total output prices;089 Mining and quarrying product...;2008 July;101.4;19.9;3.2
3426;Total output prices;089 Mining and quarrying product...;2008 August;97.8;17.6;-3.6
3427;Total output prices;089 Mining and quarrying product...;2008 September;99.2;17.5;1.5
3428;Total output prices;089 Mining and quarrying product...;2008 October;105.9;25.7;6.7
3429;Total output prices;089 Mining and quarrying product...;2008 November;107.8;24.3;1.8
3430;Total output prices;089 Mining and quarrying product...;2008 December;103.4;22.6;-4.0
3431;Total output prices;089 Mining and quarrying product...;2008;100.8;19.8;
3432;Total output prices;089 Mining and quarrying product...;2009 January;107.3;11.4;3.7
3433;Total output prices;089 Mining and quarrying product...;2009 February;105.2;7.8;-1.9
3434;Total output prices;089 Mining and quarrying product...;2009 March;106.2;1.1;0.9
3435;Total output prices;089 Mining and quarrying product...;2009 April;104.4;6.4;-1.7
3436;Total output prices;089 Mining and quarrying product...;2009 May;107.8;8.8;3.3
3437;Total output prices;089 Mining and quarrying product...;2009 June;105.1;7.0;-2.5
3438;Total output prices;089 Mining and quarrying product...;2009 July;103.4;1.9;-1.6
3439;Total output prices;089 Mining and quarrying product...;2009 August;105.2;7.6;1.7
3440;Total output prices;089 Mining and quarrying product...;2009 September;106.4;7.2;1.1
3441;Total output prices;089 Mining and quarrying product...;2009 October;101.4;-4.3;-4.7
3442;Total output prices;089 Mining and quarrying product...;2009 November;102.6;-4.8;1.2
3443;Total output prices;089 Mining and quarrying product...;2009 December;99.7;-3.6;-2.8
3444;Total output prices;089 Mining and quarrying product...;2009;104.6;3.7;
3445;Total output prices;089 Mining and quarrying product...;2010 January;98.3;-8.4;-1.4
3446;Total output prices;089 Mining and quarrying product...;2010 February;98.6;-6.3;0.3
3447;Total output prices;089 Mining and quarrying product...;2010 March;95.4;-10.2;-3.2
3448;Total output prices;089 Mining and quarrying product...;2010 April;98.6;-5.6;3.3
3449;Total output prices;089 Mining and quarrying product...;2010 May;97.0;-10.1;-1.6
3450;Total output prices;089 Mining and quarrying product...;2010 June;97.0;-7.8;0.0
3451;Total output prices;089 Mining and quarrying product...;2010 July;101.5;-1.9;4.6
3452;Total output prices;089 Mining and quarrying product...;2010 August;102.5;-2.6;1.0
3453;Total output prices;089 Mining and quarrying product...;2010 September;100.6;-5.5;-1.9
3454;Total output prices;089 Mining and quarrying product...;2010 October;102.9;1.5;2.3
3455;Total output prices;089 Mining and quarrying product...;2010 November;104.5;1.9;1.6
3456;Total output prices;089 Mining and quarrying product...;2010 December;103.2;3.5;-1.2
3457;Total output prices;089 Mining and quarrying product...;2010;100.0;-4.4;
3458;Total output prices;089 Mining and quarrying product...;2011 January;107.0;8.9;3.7
3459;Total output prices;089 Mining and quarrying product...;2011 February;107.6;9.1;0.5
3460;Total output prices;089 Mining and quarrying product...;2011 March;106.5;11.6;-1.0
3461;Total output prices;089 Mining and quarrying product...;2011 April;99.6;1.1;-6.5
3462;Total output prices;089 Mining and quarrying product...;2011 May;105.6;8.8;6.0
3463;Total output prices;089 Mining and quarrying product...;2011 June;107.3;10.7;1.7
3464;Total output prices;089 Mining and quarrying product...;2011 July;110.8;9.2;3.2
3465;Total output prices;089 Mining and quarrying product...;2011 August;102.0;-0.5;-8.0
3466;Total output prices;089 Mining and quarrying product...;2011 September;108.3;7.7;6.2
3467;Total output prices;089 Mining and quarrying product...;2011 October;104.2;1.2;-3.8
3468;Total output prices;089 Mining and quarrying product...;2011 November;105.3;0.7;1.1
3469;Total output prices;089 Mining and quarrying product...;2011 December;109.7;6.2;4.2
3470;Total output prices;089 Mining and quarrying product...;2011;106.2;6.2;
3471;Total output prices;089 Mining and quarrying product...;2012 January;109.5;2.3;-0.2
3472;Total output prices;089 Mining and quarrying product...;2012 February;111.4;3.6;1.8
3473;Total output prices;089 Mining and quarrying product...;2012 March;108.9;2.3;-2.2
3474;Total output prices;089 Mining and quarrying product...;2012 April;98.8;-0.8;-9.3
3475;Total output prices;089 Mining and quarrying product...;2012 May;105.3;-0.3;6.5
3476;Total output prices;089 Mining and quarrying product...;2012 June;106.9;-0.4;1.5
3477;Total output prices;089 Mining and quarrying product...;2012 July;103.9;-6.2;-2.8
3478;Total output prices;089 Mining and quarrying product...;2012 August;106.1;4.1;2.1
3479;Total output prices;089 Mining and quarrying product...;2012 September;102.4;-5.4;-3.5
3480;Total output prices;089 Mining and quarrying product...;2012 October;102.3;-1.8;-0.1
3481;Total output prices;089 Mining and quarrying product...;2012 November;109.3;3.8;6.8
3482;Total output prices;089 Mining and quarrying product...;2012 December;106.2;-3.2;-2.9
3483;Total output prices;089 Mining and quarrying product...;2012;105.9;-0.2;
3484;Total output prices;089 Mining and quarrying product...;2013 January;104.6;-4.4;-1.5
3485;Total output prices;089 Mining and quarrying product...;2013 February;104.9;-5.8;0.3
3486;Total output prices;089 Mining and quarrying product...;2013 March;105.3;-3.4;0.4
3487;Total output prices;089 Mining and quarrying product...;2013 April;103.3;4.6;-1.9
3488;Total output prices;089 Mining and quarrying product...;2013 May;105.6;0.3;2.2
3489;Total output prices;089 Mining and quarrying product...;2013 June;106.3;-0.5;0.7
3490;Total output prices;089 Mining and quarrying product...;2013 July;105.1;1.2;-1.2
3491;Total output prices;089 Mining and quarrying product...;2013 August;107.9;1.7;2.7
3492;Total output prices;089 Mining and quarrying product...;2013 September;107.2;4.7;-0.6
3493;Total output prices;089 Mining and quarrying product...;2013 October;111.7;9.1;4.1
3494;Total output prices;089 Mining and quarrying product...;2013 November;108.1;-1.1;-3.2
3495;Total output prices;089 Mining and quarrying product...;2013 December;107.4;1.2;-0.6
3496;Total output prices;089 Mining and quarrying product...;2013;106.5;0.5;
3497;Total output prices;089 Mining and quarrying product...;2014 January;109.9;5.0;2.3
3498;Total output prices;089 Mining and quarrying product...;2014 February;110.2;5.0;0.3
3499;Total output prices;089 Mining and quarrying product...;2014 March;111.1;5.5;0.8
3500;Total output prices;089 Mining and quarrying product...;2014 April;111.5;7.9;0.3
3501;Total output prices;089 Mining and quarrying product...;2014 May;113.2;7.2;1.5
3502;Total output prices;089 Mining and quarrying product...;2014 June;116.6;9.6;3.0
3503;Total output prices;089 Mining and quarrying product...;2014 July;110.6;5.2;-5.1
3504;Total output prices;089 Mining and quarrying product...;2014 August;111.6;3.4;0.9
3505;Total output prices;089 Mining and quarrying product...;2014 September;110.4;2.9;-1.1
3506;Total output prices;089 Mining and quarrying product...;2014 October;107.5;-3.7;-2.6
3507;Total output prices;089 Mining and quarrying product...;2014 November;105.4;-2.4;-1.9
3508;Total output prices;089 Mining and quarrying product...;2014 December;105.8;-1.6;0.3
3509;Total output prices;089 Mining and quarrying product...;2014;110.3;3.6;
3510;Total output prices;089 Mining and quarrying product...;2015 January;109.8;-0.1;3.8
3511;Total output prices;089 Mining and quarrying product...;2015 February;106.7;-3.2;-2.8
3512;Total output prices;089 Mining and quarrying product...;2015 March;110.5;-0.6;3.6
3513;Total output prices;089 Mining and quarrying product...;2015 April;110.9;-0.5;0.4
3514;Total output prices;089 Mining and quarrying product...;2015 May;112.1;-1.0;1.0
3515;Total output prices;089 Mining and quarrying product...;2015 June;111.6;-4.2;-0.4
3516;Total output prices;089 Mining and quarrying product...;2015 July;112.8;2.1;1.1
3517;Total output prices;089 Mining and quarrying product...;2015 August;113.1;1.3;0.2
3518;Total output prices;089 Mining and quarrying product...;2015 September;111.5;1.1;-1.3
3519;Total output prices;089 Mining and quarrying product...;2015 October;112.1;4.2;0.5
3520;Total output prices;089 Mining and quarrying product...;2015 November;111.1;5.4;-0.9
3521;Total output prices;089 Mining and quarrying product...;2015 December;110.8;4.8;-0.3
3522;Total output prices;089 Mining and quarrying product...;2015;111.1;0.7;
3523;Total output prices;089 Mining and quarrying product...;2016 January;110.3;0.5;-0.4
3524;Total output prices;089 Mining and quarrying product...;2016 February;110.3;3.4;-0.1
3525;Total output prices;089 Mining and quarrying product...;2016 March;110.5;0.1;0.2
3526;Total output prices;089 Mining and quarrying product...;2016 April;110.8;-0.1;0.2
3527;Total output prices;089 Mining and quarrying product...;2016 May;109.8;-2.0;-0.9
3528;Total output prices;089 Mining and quarrying product...;2016 June;109.7;-1.7;-0.1
3529;Total output prices;089 Mining and quarrying product...;2016 July;110.3;-2.2;0.6
3530;Total output prices;089 Mining and quarrying product...;2016 August;111.1;-1.8;0.7
3531;Total output prices;089 Mining and quarrying product...;2016 September;109.1;-2.2;-1.8
3532;Total output prices;089 Mining and quarrying product...;2016 October;109.7;-2.1;0.6
3533;Total output prices;089 Mining and quarrying product...;2016 November;109.7;-1.3;-0.1
3534;Total output prices;089 Mining and quarrying product...;2016 December;109.6;-1.1;0.0
3535;Total output prices;089 Mining and quarrying product...;2016;110.1;-0.9;
3536;Total output prices;089 Mining and quarrying product...;2017 January;109.7;-0.6;0.0
3537;Total output prices;089 Mining and quarrying product...;2017 February;110.9;0.6;1.2
3538;Total output prices;089 Mining and quarrying product...;2017 March;110.7;0.1;-0.2
3539;Total output prices;089 Mining and quarrying product...;2017 April;111.0;0.2;0.3
3540;Total output prices;089 Mining and quarrying product...;2017 May;110.5;0.6;-0.5
3541;Total output prices;089 Mining and quarrying product...;2017 June;110.2;0.4;-0.3
3542;Total output prices;089 Mining and quarrying product...;2017 July;110.9;0.5;0.7
3543;Total output prices;089 Mining and quarrying product...;2017 August;110.5;-0.5;-0.4
3544;Total output prices;089 Mining and quarrying product...;2017 September;111.0;1.8;0.4
3545;Total output prices;089 Mining and quarrying product...;2017 October;110.2;0.4;-0.7
3546;Total output prices;089 Mining and quarrying product...;2017 November;111.2;1.4;0.9
3547;Total output prices;089 Mining and quarrying product...;2017 December;110.2;0.5;-0.9
3548;Total output prices;089 Mining and quarrying product...;2017;110.6;0.5;
3549;Total output prices;0891 Chemical and fertiliser mine...;2005 January;84.4;-0.9;0.0
3550;Total output prices;0891 Chemical and fertiliser mine...;2005 February;84.4;-0.9;0.0
3551;Total output prices;0891 Chemical and fertiliser mine...;2005 March;84.4;-0.9;0.0
3552;Total output prices;0891 Chemical and fertiliser mine...;2005 April;84.6;-0.7;0.3
3553;Total output prices;0891 Chemical and fertiliser mine...;2005 May;84.6;-0.7;0.0
3554;Total output prices;0891 Chemical and fertiliser mine...;2005 June;84.6;-0.7;0.0
3555;Total output prices;0891 Chemical and fertiliser mine...;2005 July;84.5;-0.9;-0.2
3556;Total output prices;0891 Chemical and fertiliser mine...;2005 August;84.5;-0.9;0.0
3557;Total output prices;0891 Chemical and fertiliser mine...;2005 September;84.5;-0.9;0.0
3558;Total output prices;0891 Chemical and fertiliser mine...;2005 October;83.6;-1.9;-1.0
