ID;CompanySize;SectorBranchesSIC2008;Periods;EmployedPersons_1;YearsOfWork_2;ExpenditureRDOnInHouseActivities_3;EnterprisesWithInHouseRDActivities_4
2988;250 and more employed persons;F Construction;2021;;;;55.0
2989;250 and more employed persons;F Construction;2022;984.0;617.0;65.0;
2990;250 and more employed persons;G-I Trade, transport, hotels, catering;2013;4350.0;2747.0;271.0;110.0
2991;250 and more employed persons;G-I Trade, transport, hotels, catering;2014;3220.0;2063.0;175.0;100.0
2992;250 and more employed persons;G-I Trade, transport, hotels, catering;2015;3640.0;2519.0;222.0;105.0
2993;250 and more employed persons;G-I Trade, transport, hotels, catering;2016;3760.0;2806.0;253.0;110.0
2994;250 and more employed persons;G-I Trade, transport, hotels, catering;2017;3889.0;2946.0;294.0;115.0
2995;250 and more employed persons;G-I Trade, transport, hotels, catering;2018;4328.0;3129.0;295.0;115.0
2996;250 and more employed persons;G-I Trade, transport, hotels, catering;2019;4884.0;3772.0;343.0;115.0
2997;250 and more employed persons;G-I Trade, transport, hotels, catering;2020;4941.0;3619.0;298.0;140.0
2998;250 and more employed persons;G-I Trade, transport, hotels, catering;2021;5166.0;3738.0;319.0;130.0
2999;250 and more employed persons;G-I Trade, transport, hotels, catering;2022;5161.0;3815.0;400.0;
3000;250 and more employed persons;G Wholesale and retail trade;2013;3542.0;2210.0;211.0;85.0
3001;250 and more employed persons;G Wholesale and retail trade;2014;2056.0;1420.0;106.0;65.0
3002;250 and more employed persons;G Wholesale and retail trade;2015;2115.0;1502.0;124.0;60.0
3003;250 and more employed persons;G Wholesale and retail trade;2016;2217.0;1759.0;157.0;70.0
3004;250 and more employed persons;G Wholesale and retail trade;2017;2285.0;1810.0;180.0;65.0
3005;250 and more employed persons;G Wholesale and retail trade;2018;2753.0;2029.0;185.0;70.0
3006;250 and more employed persons;G Wholesale and retail trade;2019;3212.0;2551.0;223.0;70.0
3007;250 and more employed persons;G Wholesale and retail trade;2020;3222.0;2407.0;210.0;85.0
3008;250 and more employed persons;G Wholesale and retail trade;2021;3361.0;2461.0;209.0;85.0
3009;250 and more employed persons;G Wholesale and retail trade;2022;3714.0;2550.0;277.0;
3010;250 and more employed persons;H Transportation and storage;2013;;;;25.0
3011;250 and more employed persons;H Transportation and storage;2014;;;;35.0
3012;250 and more employed persons;H Transportation and storage;2015;1491.0;1002.0;96.0;35.0
3013;250 and more employed persons;H Transportation and storage;2016;1493.0;1023.0;95.0;35.0
3014;250 and more employed persons;H Transportation and storage;2017;1560.0;1108.0;111.0;45.0
3015;250 and more employed persons;H Transportation and storage;2018;1531.0;1078.0;109.0;40.0
3016;250 and more employed persons;H Transportation and storage;2019;1637.0;1202.0;117.0;40.0
3017;250 and more employed persons;H Transportation and storage;2020;1662.0;1184.0;86.0;45.0
3018;250 and more employed persons;H Transportation and storage;2021;1750.0;1257.0;108.0;40.0
3019;250 and more employed persons;H Transportation and storage;2022;1403.0;1253.0;122.0;
3020;250 and more employed persons;I Accommodation and food serving;2013;;;;
3021;250 and more employed persons;I Accommodation and food serving;2014;;;;
3022;250 and more employed persons;I Accommodation and food serving;2015;34.0;15.0;1.0;5.0
3023;250 and more employed persons;I Accommodation and food serving;2016;50.0;24.0;2.0;5.0
3024;250 and more employed persons;I Accommodation and food serving;2017;43.0;28.0;2.0;5.0
3025;250 and more employed persons;I Accommodation and food serving;2018;44.0;23.0;2.0;10.0
3026;250 and more employed persons;I Accommodation and food serving;2019;35.0;20.0;2.0;5.0
3027;250 and more employed persons;I Accommodation and food serving;2020;58.0;28.0;2.0;10.0
3028;250 and more employed persons;I Accommodation and food serving;2021;55.0;20.0;1.0;5.0
3029;250 and more employed persons;I Accommodation and food serving;2022;44.0;11.0;1.0;
3030;250 and more employed persons;J Information and communication;2013;10585.0;8097.0;737.0;55.0
3031;250 and more employed persons;J Information and communication;2014;9117.0;6525.0;675.0;70.0
3032;250 and more employed persons;J Information and communication;2015;8414.0;6153.0;640.0;65.0
3033;250 and more employed persons;J Information and communication;2016;10898.0;8296.0;656.0;65.0
3034;250 and more employed persons;J Information and communication;2017;10442.0;8262.0;671.0;65.0
3035;250 and more employed persons;J Information and communication;2018;11048.0;8834.0;684.0;70.0
3036;250 and more employed persons;J Information and communication;2019;12621.0;10030.0;864.0;75.0
3037;250 and more employed persons;J Information and communication;2020;13530.0;10437.0;815.0;75.0
3038;250 and more employed persons;J Information and communication;2021;14348.0;11505.0;914.0;80.0
3039;250 and more employed persons;J Information and communication;2022;15442.0;12278.0;1054.0;
3040;250 and more employed persons;58-60 Publishing, movie, radio and  TV;2013;319.0;170.0;15.0;10.0
3041;250 and more employed persons;58-60 Publishing, movie, radio and  TV;2014;;;;20.0
3042;250 and more employed persons;58-60 Publishing, movie, radio and  TV;2015;;;;15.0
3043;250 and more employed persons;58-60 Publishing, movie, radio and  TV;2016;;;;15.0
3044;250 and more employed persons;58-60 Publishing, movie, radio and  TV;2017;272.0;166.0;11.0;15.0
3045;250 and more employed persons;58-60 Publishing, movie, radio and  TV;2018;298.0;184.0;16.0;15.0
3046;250 and more employed persons;58-60 Publishing, movie, radio and  TV;2019;;;;15.0
3047;250 and more employed persons;58-60 Publishing, movie, radio and  TV;2020;;;;15.0
3048;250 and more employed persons;58-60 Publishing, movie, radio and  TV;2021;;;;15.0
3049;250 and more employed persons;58-60 Publishing, movie, radio and  TV;2022;;;;
3050;250 and more employed persons;58 Publishing;2013;;;;10.0
3051;250 and more employed persons;58 Publishing;2014;299.0;201.0;17.0;15.0
3052;250 and more employed persons;58 Publishing;2015;191.0;156.0;12.0;10.0
3053;250 and more employed persons;58 Publishing;2016;201.0;122.0;8.0;10.0
3054;250 and more employed persons;58 Publishing;2017;;;;10.0
3055;250 and more employed persons;58 Publishing;2018;161.0;93.0;8.0;5.0
3056;250 and more employed persons;58 Publishing;2019;;;;10.0
3057;250 and more employed persons;58 Publishing;2020;;;;10.0
3058;250 and more employed persons;58 Publishing;2021;;;;10.0
3059;250 and more employed persons;58 Publishing;2022;;;;
3060;250 and more employed persons;59 Film, TV and music production etc;2013;0.0;0.0;0.0;0.0
3061;250 and more employed persons;59 Film, TV and music production etc;2014;;;;
3062;250 and more employed persons;59 Film, TV and music production etc;2015;;;;
3063;250 and more employed persons;59 Film, TV and music production etc;2016;;;;
3064;250 and more employed persons;59 Film, TV and music production etc;2017;;;;
3065;250 and more employed persons;59 Film, TV and music production etc;2018;;;;
3066;250 and more employed persons;59 Film, TV and music production etc;2019;;;;
3067;250 and more employed persons;59 Film, TV and music production etc;2020;;;;
3068;250 and more employed persons;59 Film, TV and music production etc;2021;;;;
3069;250 and more employed persons;59 Film, TV and music production etc;2022;;;;
3070;250 and more employed persons;60 Programming and broadcasting;2013;;;;
3071;250 and more employed persons;60 Programming and broadcasting;2014;;;;
3072;250 and more employed persons;60 Programming and broadcasting;2015;;;;
3073;250 and more employed persons;60 Programming and broadcasting;2016;;;;
3074;250 and more employed persons;60 Programming and broadcasting;2017;;;;
3075;250 and more employed persons;60 Programming and broadcasting;2018;;;;
3076;250 and more employed persons;60 Programming and broadcasting;2019;;;;
3077;250 and more employed persons;60 Programming and broadcasting;2020;;;;
3078;250 and more employed persons;60 Programming and broadcasting;2021;;;;
3079;250 and more employed persons;60 Programming and broadcasting;2022;;;;
3080;250 and more employed persons;61 Telecommunications;2013;;;;
3081;250 and more employed persons;61 Telecommunications;2014;;;;
3082;250 and more employed persons;61 Telecommunications;2015;;;;
3083;250 and more employed persons;61 Telecommunications;2016;;;;
3084;250 and more employed persons;61 Telecommunications;2017;;;;
3085;250 and more employed persons;61 Telecommunications;2018;;;;
3086;250 and more employed persons;61 Telecommunications;2019;;;;
3087;250 and more employed persons;61 Telecommunications;2020;;;;
3088;250 and more employed persons;61 Telecommunications;2021;;;;
3089;250 and more employed persons;61 Telecommunications;2022;;;;
3090;250 and more employed persons;62-63 IT- and information services;2013;;;;35.0
3091;250 and more employed persons;62-63 IT- and information services;2014;;;;45.0
3092;250 and more employed persons;62-63 IT- and information services;2015;;;;45.0
3093;250 and more employed persons;62-63 IT- and information services;2016;;;;45.0
3094;250 and more employed persons;62-63 IT- and information services;2017;;;;45.0
3095;250 and more employed persons;62-63 IT- and information services;2018;;;;55.0
3096;250 and more employed persons;62-63 IT- and information services;2019;5680.0;4442.0;432.0;55.0
3097;250 and more employed persons;62-63 IT- and information services;2020;6560.0;4900.0;446.0;60.0
3098;250 and more employed persons;62-63 IT- and information services;2021;7460.0;5964.0;538.0;60.0
3099;250 and more employed persons;62-63 IT- and information services;2022;8900.0;6963.0;652.0;
3100;250 and more employed persons;62 Support activities in the field of IT;2013;;;;35.0
3101;250 and more employed persons;62 Support activities in the field of IT;2014;;;;45.0
3102;250 and more employed persons;62 Support activities in the field of IT;2015;;;;45.0
3103;250 and more employed persons;62 Support activities in the field of IT;2016;;;;45.0
3104;250 and more employed persons;62 Support activities in the field of IT;2017;;;;45.0
3105;250 and more employed persons;62 Support activities in the field of IT;2018;;;;50.0
3106;250 and more employed persons;62 Support activities in the field of IT;2019;;;;55.0
3107;250 and more employed persons;62 Support activities in the field of IT;2020;;;;55.0
3108;250 and more employed persons;62 Support activities in the field of IT;2021;;;;55.0
3109;250 and more employed persons;62 Support activities in the field of IT;2022;8698.0;6775.0;641.0;
3110;250 and more employed persons;63 Information service activities;2013;0.0;0.0;0.0;0.0
3111;250 and more employed persons;63 Information service activities;2014;0.0;0.0;0.0;0.0
3112;250 and more employed persons;63 Information service activities;2015;0.0;0.0;0.0;0.0
3113;250 and more employed persons;63 Information service activities;2016;0.0;0.0;0.0;0.0
3114;250 and more employed persons;63 Information service activities;2017;0.0;0.0;0.0;0.0
3115;250 and more employed persons;63 Information service activities;2018;;;;
3116;250 and more employed persons;63 Information service activities;2019;;;;
3117;250 and more employed persons;63 Information service activities;2020;;;;
3118;250 and more employed persons;63 Information service activities;2021;;;;
3119;250 and more employed persons;63 Information service activities;2022;202.0;188.0;12.0;
3120;250 and more employed persons;K Financial institutions;2013;;;;30.0
3121;250 and more employed persons;K Financial institutions;2014;;;;35.0
3122;250 and more employed persons;K Financial institutions;2015;;;;30.0
3123;250 and more employed persons;K Financial institutions;2016;;;;35.0
3124;250 and more employed persons;K Financial institutions;2017;2621.0;2070.0;258.0;45.0
3125;250 and more employed persons;K Financial institutions;2018;;;;45.0
3126;250 and more employed persons;K Financial institutions;2019;;;;45.0
3127;250 and more employed persons;K Financial institutions;2020;;;;50.0
3128;250 and more employed persons;K Financial institutions;2021;;;;45.0
3129;250 and more employed persons;K Financial institutions;2022;;;;
3130;250 and more employed persons;L Renting, buying, selling real estate;2013;;;;
3131;250 and more employed persons;L Renting, buying, selling real estate;2014;;;;
3132;250 and more employed persons;L Renting, buying, selling real estate;2015;;;;
3133;250 and more employed persons;L Renting, buying, selling real estate;2016;;;;
3134;250 and more employed persons;L Renting, buying, selling real estate;2017;87.0;82.0;6.0;5.0
3135;250 and more employed persons;L Renting, buying, selling real estate;2018;;;;
3136;250 and more employed persons;L Renting, buying, selling real estate;2019;;;;
3137;250 and more employed persons;L Renting, buying, selling real estate;2020;;;;
3138;250 and more employed persons;L Renting, buying, selling real estate;2021;;;;
3139;250 and more employed persons;L Renting, buying, selling real estate;2022;;;;
3140;250 and more employed persons;68 Renting, buying, selling real estate;2013;;;;
3141;250 and more employed persons;68 Renting, buying, selling real estate;2014;;;;
3142;250 and more employed persons;68 Renting, buying, selling real estate;2015;;;;
3143;250 and more employed persons;68 Renting, buying, selling real estate;2016;;;;
3144;250 and more employed persons;68 Renting, buying, selling real estate;2017;87.0;82.0;6.0;5.0
3145;250 and more employed persons;68 Renting, buying, selling real estate;2018;;;;
3146;250 and more employed persons;68 Renting, buying, selling real estate;2019;;;;
3147;250 and more employed persons;68 Renting, buying, selling real estate;2020;;;;
3148;250 and more employed persons;68 Renting, buying, selling real estate;2021;;;;
3149;250 and more employed persons;68 Renting, buying, selling real estate;2022;;;;
3150;250 and more employed persons;M-N Business services;2013;9616.0;7147.0;903.0;85.0
3151;250 and more employed persons;M-N Business services;2014;9196.0;6704.0;812.0;80.0
3152;250 and more employed persons;M-N Business services;2015;9294.0;6612.0;807.0;80.0
3153;250 and more employed persons;M-N Business services;2016;9872.0;6956.0;840.0;95.0
3154;250 and more employed persons;M-N Business services;2017;11091.0;7802.0;902.0;110.0
3155;250 and more employed persons;M-N Business services;2018;11775.0;7916.0;965.0;125.0
3156;250 and more employed persons;M-N Business services;2019;12524.0;8812.0;1063.0;125.0
3157;250 and more employed persons;M-N Business services;2020;13448.0;9551.0;1184.0;135.0
3158;250 and more employed persons;M-N Business services;2021;13599.0;9782.0;1161.0;110.0
