ID;RegistrationInDonorregister;Regions;Periods;DonorregisterFixedChoice_1;DonorregisterFixedChoice_2
4056;Registered in donorregister;Harlingen;2014;5.1;37.0
4057;Registered in donorregister;Harlingen;2015;5.1;37.0
4058;Registered in donorregister;Harlingen;2016;5.2;37.0
4059;Registered in donorregister;Harlingen;2017;5.4;39.0
4060;Registered in donorregister;Harlingen;2018;5.6;40.0
4061;Registered in donorregister;Harlingen;2019;5.6;40.0
4062;Registered in donorregister;Hattem;2014;3.9;39.0
4063;Registered in donorregister;Hattem;2015;4.0;40.0
4064;Registered in donorregister;Hattem;2016;4.1;40.0
4065;Registered in donorregister;Hattem;2017;4.3;41.0
4066;Registered in donorregister;Hattem;2018;4.5;42.0
4067;Registered in donorregister;Hattem;2019;4.5;42.0
4068;Registered in donorregister;Heemskerk;2014;13.6;40.0
4069;Registered in donorregister;Heemskerk;2015;13.7;40.0
4070;Registered in donorregister;Heemskerk;2016;13.8;40.0
4071;Registered in donorregister;Heemskerk;2017;14.2;41.0
4072;Registered in donorregister;Heemskerk;2018;14.7;43.0
4073;Registered in donorregister;Heemskerk;2019;14.8;43.0
4074;Registered in donorregister;Heemstede;2014;9.6;42.0
4075;Registered in donorregister;Heemstede;2015;9.8;43.0
4076;Registered in donorregister;Heemstede;2016;10.0;43.0
4077;Registered in donorregister;Heemstede;2017;10.2;44.0
4078;Registered in donorregister;Heemstede;2018;10.6;46.0
4079;Registered in donorregister;Heemstede;2019;10.7;46.0
4080;Registered in donorregister;Heerde;2014;5.9;37.0
4081;Registered in donorregister;Heerde;2015;6.0;37.0
4082;Registered in donorregister;Heerde;2016;6.0;37.0
4083;Registered in donorregister;Heerde;2017;6.2;38.0
4084;Registered in donorregister;Heerde;2018;6.4;39.0
4085;Registered in donorregister;Heerde;2019;6.4;40.0
4086;Registered in donorregister;Heerenveen;2014;16.8;39.0
4087;Registered in donorregister;Heerenveen;2015;17.0;39.0
4088;Registered in donorregister;Heerenveen;2016;17.2;39.0
4089;Registered in donorregister;Heerenveen;2017;17.6;40.0
4090;Registered in donorregister;Heerenveen;2018;18.3;42.0
4091;Registered in donorregister;Heerenveen;2019;18.4;42.0
4092;Registered in donorregister;Heerhugowaard;2014;19.3;43.0
4093;Registered in donorregister;Heerhugowaard;2015;19.5;43.0
4094;Registered in donorregister;Heerhugowaard;2016;19.8;43.0
4095;Registered in donorregister;Heerhugowaard;2017;20.6;44.0
4096;Registered in donorregister;Heerhugowaard;2018;21.6;45.0
4097;Registered in donorregister;Heerhugowaard;2019;22.1;46.0
4098;Registered in donorregister;Heerlen;2014;31.8;40.0
4099;Registered in donorregister;Heerlen;2015;31.7;40.0
4100;Registered in donorregister;Heerlen;2016;31.5;40.0
4101;Registered in donorregister;Heerlen;2017;32.3;41.0
4102;Registered in donorregister;Heerlen;2018;33.3;43.0
4103;Registered in donorregister;Heerlen;2019;33.5;43.0
4104;Registered in donorregister;Heeze-Leende;2014;6.3;46.0
4105;Registered in donorregister;Heeze-Leende;2015;6.4;47.0
4106;Registered in donorregister;Heeze-Leende;2016;6.6;47.0
4107;Registered in donorregister;Heeze-Leende;2017;6.7;48.0
4108;Registered in donorregister;Heeze-Leende;2018;6.9;49.0
4109;Registered in donorregister;Heeze-Leende;2019;7.0;49.0
4110;Registered in donorregister;Heiloo;2014;8.8;45.0
4111;Registered in donorregister;Heiloo;2015;8.8;44.0
4112;Registered in donorregister;Heiloo;2016;8.9;45.0
4113;Registered in donorregister;Heiloo;2017;9.2;45.0
4114;Registered in donorregister;Heiloo;2018;9.5;47.0
4115;Registered in donorregister;Heiloo;2019;9.8;47.0
4116;Registered in donorregister;Den Helder;2014;20.4;41.0
4117;Registered in donorregister;Den Helder;2015;20.4;41.0
4118;Registered in donorregister;Den Helder;2016;20.3;41.0
4119;Registered in donorregister;Den Helder;2017;20.7;42.0
4120;Registered in donorregister;Den Helder;2018;21.4;43.0
4121;Registered in donorregister;Den Helder;2019;21.6;44.0
4122;Registered in donorregister;Hellendoorn;2014;13.3;43.0
4123;Registered in donorregister;Hellendoorn;2015;13.4;44.0
4124;Registered in donorregister;Hellendoorn;2016;13.5;44.0
4125;Registered in donorregister;Hellendoorn;2017;13.8;44.0
4126;Registered in donorregister;Hellendoorn;2018;14.1;45.0
4127;Registered in donorregister;Hellendoorn;2019;14.2;45.0
4128;Registered in donorregister;Hellevoetsluis;2014;14.3;41.0
4129;Registered in donorregister;Hellevoetsluis;2015;14.3;41.0
4130;Registered in donorregister;Hellevoetsluis;2016;14.5;41.0
4131;Registered in donorregister;Hellevoetsluis;2017;14.9;42.0
4132;Registered in donorregister;Hellevoetsluis;2018;15.4;44.0
4133;Registered in donorregister;Hellevoetsluis;2019;15.5;44.0
4134;Registered in donorregister;Helmond;2014;31.3;41.0
4135;Registered in donorregister;Helmond;2015;31.4;41.0
4136;Registered in donorregister;Helmond;2016;31.6;41.0
4137;Registered in donorregister;Helmond;2017;32.4;42.0
4138;Registered in donorregister;Helmond;2018;33.7;43.0
4139;Registered in donorregister;Helmond;2019;34.0;43.0
4140;Registered in donorregister;Hendrik-Ido-Ambacht;2014;9.5;40.0
4141;Registered in donorregister;Hendrik-Ido-Ambacht;2015;9.6;40.0
4142;Registered in donorregister;Hendrik-Ido-Ambacht;2016;9.7;40.0
4143;Registered in donorregister;Hendrik-Ido-Ambacht;2017;10.1;40.0
4144;Registered in donorregister;Hendrik-Ido-Ambacht;2018;10.8;42.0
4145;Registered in donorregister;Hendrik-Ido-Ambacht;2019;10.9;42.0
4146;Registered in donorregister;Hengelo (O.);2014;28.4;41.0
4147;Registered in donorregister;Hengelo (O.);2015;28.7;41.0
4148;Registered in donorregister;Hengelo (O.);2016;28.9;41.0
4149;Registered in donorregister;Hengelo (O.);2017;29.5;42.0
4150;Registered in donorregister;Hengelo (O.);2018;30.6;43.0
4151;Registered in donorregister;Hengelo (O.);2019;30.8;43.0
4152;Registered in donorregister;'s-Hertogenbosch;2014;55.9;43.0
4153;Registered in donorregister;'s-Hertogenbosch;2015;56.3;43.0
4154;Registered in donorregister;'s-Hertogenbosch;2016;57.0;43.0
4155;Registered in donorregister;'s-Hertogenbosch;2017;58.8;44.0
4156;Registered in donorregister;'s-Hertogenbosch;2018;61.3;46.0
4157;Registered in donorregister;'s-Hertogenbosch;2019;62.0;46.0
4158;Registered in donorregister;Heumen;2014;6.3;44.0
4159;Registered in donorregister;Heumen;2015;6.4;44.0
4160;Registered in donorregister;Heumen;2016;6.5;45.0
4161;Registered in donorregister;Heumen;2017;6.7;46.0
4162;Registered in donorregister;Heumen;2018;6.9;47.0
4163;Registered in donorregister;Heumen;2019;6.9;47.0
4164;Registered in donorregister;Heusden;2014;16.9;45.0
4165;Registered in donorregister;Heusden;2015;17.0;45.0
4166;Registered in donorregister;Heusden;2016;17.1;45.0
4167;Registered in donorregister;Heusden;2017;17.4;46.0
4168;Registered in donorregister;Heusden;2018;18.0;47.0
4169;Registered in donorregister;Heusden;2019;18.1;47.0
4170;Registered in donorregister;Hillegom;2014;7.6;42.0
4171;Registered in donorregister;Hillegom;2015;7.7;42.0
4172;Registered in donorregister;Hillegom;2016;7.7;42.0
4173;Registered in donorregister;Hillegom;2017;8.0;43.0
4174;Registered in donorregister;Hillegom;2018;8.4;44.0
4175;Registered in donorregister;Hillegom;2019;8.5;44.0
4176;Registered in donorregister;Hilvarenbeek;2014;6.0;45.0
4177;Registered in donorregister;Hilvarenbeek;2015;6.0;46.0
4178;Registered in donorregister;Hilvarenbeek;2016;6.1;46.0
4179;Registered in donorregister;Hilvarenbeek;2017;6.3;47.0
4180;Registered in donorregister;Hilvarenbeek;2018;6.5;48.0
4181;Registered in donorregister;Hilvarenbeek;2019;6.5;48.0
4182;Registered in donorregister;Hilversum;2014;30.1;40.0
4183;Registered in donorregister;Hilversum;2015;30.3;40.0
4184;Registered in donorregister;Hilversum;2016;30.6;40.0
4185;Registered in donorregister;Hilversum;2017;31.9;41.0
4186;Registered in donorregister;Hilversum;2018;33.3;43.0
4187;Registered in donorregister;Hilversum;2019;33.4;43.0
4188;Registered in donorregister;Hoeksche Waard;2014;;
4189;Registered in donorregister;Hoeksche Waard;2015;;
4190;Registered in donorregister;Hoeksche Waard;2016;;
4191;Registered in donorregister;Hoeksche Waard;2017;;
4192;Registered in donorregister;Hoeksche Waard;2018;;
4193;Registered in donorregister;Hoeksche Waard;2019;;
4194;Registered in donorregister;Hof van Twente;2014;12.3;40.0
4195;Registered in donorregister;Hof van Twente;2015;12.4;41.0
4196;Registered in donorregister;Hof van Twente;2016;12.6;41.0
4197;Registered in donorregister;Hof van Twente;2017;12.9;42.0
4198;Registered in donorregister;Hof van Twente;2018;13.2;43.0
4199;Registered in donorregister;Hof van Twente;2019;13.3;43.0
4200;Registered in donorregister;Het Hogeland;2014;;
4201;Registered in donorregister;Het Hogeland;2015;;
4202;Registered in donorregister;Het Hogeland;2016;;
4203;Registered in donorregister;Het Hogeland;2017;;
4204;Registered in donorregister;Het Hogeland;2018;;
4205;Registered in donorregister;Het Hogeland;2019;;
4206;Registered in donorregister;Hollands Kroon;2014;17.0;41.0
4207;Registered in donorregister;Hollands Kroon;2015;17.0;41.0
4208;Registered in donorregister;Hollands Kroon;2016;17.2;41.0
4209;Registered in donorregister;Hollands Kroon;2017;17.7;42.0
4210;Registered in donorregister;Hollands Kroon;2018;18.3;44.0
4211;Registered in donorregister;Hollands Kroon;2019;18.4;44.0
4212;Registered in donorregister;Hoogeveen;2014;17.9;38.0
4213;Registered in donorregister;Hoogeveen;2015;18.0;38.0
4214;Registered in donorregister;Hoogeveen;2016;18.1;38.0
4215;Registered in donorregister;Hoogeveen;2017;18.6;39.0
4216;Registered in donorregister;Hoogeveen;2018;19.4;40.0
4217;Registered in donorregister;Hoogeveen;2019;19.5;40.0
4218;Registered in donorregister;Hoogezand-Sappemeer;2014;;
4219;Registered in donorregister;Hoogezand-Sappemeer;2015;;
4220;Registered in donorregister;Hoogezand-Sappemeer;2016;;
4221;Registered in donorregister;Hoogezand-Sappemeer;2017;;
4222;Registered in donorregister;Hoogezand-Sappemeer;2018;;
4223;Registered in donorregister;Hoogezand-Sappemeer;2019;;
4224;Registered in donorregister;Hoorn;2014;25.6;42.0
4225;Registered in donorregister;Hoorn;2015;25.7;42.0
4226;Registered in donorregister;Hoorn;2016;25.9;42.0
4227;Registered in donorregister;Hoorn;2017;26.7;43.0
4228;Registered in donorregister;Hoorn;2018;27.7;44.0
4229;Registered in donorregister;Hoorn;2019;28.0;44.0
4230;Registered in donorregister;Horst aan de Maas;2014;17.1;47.0
4231;Registered in donorregister;Horst aan de Maas;2015;17.3;47.0
4232;Registered in donorregister;Horst aan de Maas;2016;17.5;48.0
4233;Registered in donorregister;Horst aan de Maas;2017;17.9;48.0
4234;Registered in donorregister;Horst aan de Maas;2018;18.4;49.0
4235;Registered in donorregister;Horst aan de Maas;2019;18.5;49.0
4236;Registered in donorregister;Houten;2014;17.4;43.0
4237;Registered in donorregister;Houten;2015;17.6;43.0
4238;Registered in donorregister;Houten;2016;17.8;44.0
4239;Registered in donorregister;Houten;2017;18.5;45.0
4240;Registered in donorregister;Houten;2018;19.3;46.0
4241;Registered in donorregister;Houten;2019;19.6;46.0
4242;Registered in donorregister;Huizen;2014;14.5;40.0
4243;Registered in donorregister;Huizen;2015;14.6;40.0
4244;Registered in donorregister;Huizen;2016;14.6;41.0
4245;Registered in donorregister;Huizen;2017;15.2;42.0
4246;Registered in donorregister;Huizen;2018;15.8;43.0
4247;Registered in donorregister;Huizen;2019;15.9;44.0
4248;Registered in donorregister;Hulst;2014;9.8;40.0
4249;Registered in donorregister;Hulst;2015;9.8;40.0
4250;Registered in donorregister;Hulst;2016;9.9;40.0
4251;Registered in donorregister;Hulst;2017;10.0;41.0
4252;Registered in donorregister;Hulst;2018;10.3;42.0
4253;Registered in donorregister;Hulst;2019;10.3;42.0
4254;Registered in donorregister;IJsselstein;2014;12.1;42.0
4255;Registered in donorregister;IJsselstein;2015;12.0;41.0
4256;Registered in donorregister;IJsselstein;2016;12.1;41.0
4257;Registered in donorregister;IJsselstein;2017;12.5;42.0
4258;Registered in donorregister;IJsselstein;2018;13.1;44.0
4259;Registered in donorregister;IJsselstein;2019;13.2;44.0
4260;Registered in donorregister;Kaag en Braassem;2014;9.5;43.0
4261;Registered in donorregister;Kaag en Braassem;2015;9.6;43.0
4262;Registered in donorregister;Kaag en Braassem;2016;9.7;43.0
4263;Registered in donorregister;Kaag en Braassem;2017;10.0;43.0
4264;Registered in donorregister;Kaag en Braassem;2018;10.4;45.0
4265;Registered in donorregister;Kaag en Braassem;2019;10.5;45.0
4266;Registered in donorregister;Kampen;2014;15.3;36.0
4267;Registered in donorregister;Kampen;2015;15.5;36.0
4268;Registered in donorregister;Kampen;2016;15.7;36.0
4269;Registered in donorregister;Kampen;2017;16.4;37.0
4270;Registered in donorregister;Kampen;2018;17.3;38.0
4271;Registered in donorregister;Kampen;2019;17.6;39.0
4272;Registered in donorregister;Kapelle;2014;4.5;42.0
4273;Registered in donorregister;Kapelle;2015;4.5;42.0
4274;Registered in donorregister;Kapelle;2016;4.5;42.0
4275;Registered in donorregister;Kapelle;2017;4.6;43.0
4276;Registered in donorregister;Kapelle;2018;4.8;44.0
4277;Registered in donorregister;Kapelle;2019;4.8;44.0
4278;Registered in donorregister;Katwijk;2014;18.1;34.0
4279;Registered in donorregister;Katwijk;2015;18.4;34.0
4280;Registered in donorregister;Katwijk;2016;18.8;35.0
4281;Registered in donorregister;Katwijk;2017;19.5;36.0
4282;Registered in donorregister;Katwijk;2018;20.6;37.0
4283;Registered in donorregister;Katwijk;2019;20.8;37.0
4284;Registered in donorregister;Kerkrade;2014;16.2;39.0
4285;Registered in donorregister;Kerkrade;2015;16.2;39.0
4286;Registered in donorregister;Kerkrade;2016;16.1;39.0
4287;Registered in donorregister;Kerkrade;2017;16.5;40.0
4288;Registered in donorregister;Kerkrade;2018;17.0;41.0
4289;Registered in donorregister;Kerkrade;2019;17.0;41.0
4290;Registered in donorregister;Koggenland;2014;8.6;45.0
4291;Registered in donorregister;Koggenland;2015;8.6;44.0
4292;Registered in donorregister;Koggenland;2016;8.7;45.0
4293;Registered in donorregister;Koggenland;2017;8.9;45.0
4294;Registered in donorregister;Koggenland;2018;9.2;46.0
4295;Registered in donorregister;Koggenland;2019;9.2;46.0
4296;Registered in donorregister;Kollumerland en Nieuwkruisland;2014;3.8;35.0
4297;Registered in donorregister;Kollumerland en Nieuwkruisland;2015;3.8;35.0
4298;Registered in donorregister;Kollumerland en Nieuwkruisland;2016;3.9;35.0
4299;Registered in donorregister;Kollumerland en Nieuwkruisland;2017;4.0;36.0
4300;Registered in donorregister;Kollumerland en Nieuwkruisland;2018;4.2;37.0
4301;Registered in donorregister;Kollumerland en Nieuwkruisland;2019;4.2;38.0
4302;Registered in donorregister;Korendijk;2014;3.6;39.0
4303;Registered in donorregister;Korendijk;2015;3.7;39.0
4304;Registered in donorregister;Korendijk;2016;3.7;39.0
4305;Registered in donorregister;Korendijk;2017;3.8;40.0
4306;Registered in donorregister;Korendijk;2018;4.0;42.0
4307;Registered in donorregister;Korendijk;2019;4.1;42.0
4308;Registered in donorregister;Krimpen aan den IJssel;2014;9.2;37.0
4309;Registered in donorregister;Krimpen aan den IJssel;2015;9.2;37.0
4310;Registered in donorregister;Krimpen aan den IJssel;2016;9.2;37.0
4311;Registered in donorregister;Krimpen aan den IJssel;2017;9.4;38.0
4312;Registered in donorregister;Krimpen aan den IJssel;2018;9.8;39.0
4313;Registered in donorregister;Krimpen aan den IJssel;2019;9.9;39.0
4314;Registered in donorregister;Krimpenerwaard;2014;18.2;39.0
4315;Registered in donorregister;Krimpenerwaard;2015;18.5;39.0
4316;Registered in donorregister;Krimpenerwaard;2016;18.7;39.0
4317;Registered in donorregister;Krimpenerwaard;2017;19.4;40.0
4318;Registered in donorregister;Krimpenerwaard;2018;20.2;42.0
4319;Registered in donorregister;Krimpenerwaard;2019;20.4;42.0
4320;Registered in donorregister;Laarbeek;2014;8.5;45.0
4321;Registered in donorregister;Laarbeek;2015;8.6;45.0
4322;Registered in donorregister;Laarbeek;2016;8.8;46.0
4323;Registered in donorregister;Laarbeek;2017;8.9;46.0
4324;Registered in donorregister;Laarbeek;2018;9.3;48.0
4325;Registered in donorregister;Laarbeek;2019;9.4;48.0
4326;Registered in donorregister;Landerd;2014;5.8;44.0
4327;Registered in donorregister;Landerd;2015;5.9;44.0
4328;Registered in donorregister;Landerd;2016;6.0;45.0
4329;Registered in donorregister;Landerd;2017;6.1;45.0
4330;Registered in donorregister;Landerd;2018;6.2;46.0
4331;Registered in donorregister;Landerd;2019;6.3;46.0
4332;Registered in donorregister;Landgraaf;2014;13.7;41.0
4333;Registered in donorregister;Landgraaf;2015;13.7;41.0
4334;Registered in donorregister;Landgraaf;2016;13.8;41.0
4335;Registered in donorregister;Landgraaf;2017;14.2;42.0
4336;Registered in donorregister;Landgraaf;2018;14.7;43.0
4337;Registered in donorregister;Landgraaf;2019;14.9;44.0
4338;Registered in donorregister;Landsmeer;2014;3.6;39.0
4339;Registered in donorregister;Landsmeer;2015;3.8;40.0
4340;Registered in donorregister;Landsmeer;2016;3.9;40.0
4341;Registered in donorregister;Landsmeer;2017;4.0;41.0
4342;Registered in donorregister;Landsmeer;2018;4.2;43.0
4343;Registered in donorregister;Landsmeer;2019;4.2;43.0
4344;Registered in donorregister;Langedijk;2014;10.2;44.0
4345;Registered in donorregister;Langedijk;2015;10.4;44.0
4346;Registered in donorregister;Langedijk;2016;10.6;45.0
4347;Registered in donorregister;Langedijk;2017;10.9;46.0
4348;Registered in donorregister;Langedijk;2018;11.4;47.0
4349;Registered in donorregister;Langedijk;2019;11.5;47.0
4350;Registered in donorregister;Lansingerland;2014;18.9;40.0
4351;Registered in donorregister;Lansingerland;2015;19.3;40.0
4352;Registered in donorregister;Lansingerland;2016;19.8;41.0
4353;Registered in donorregister;Lansingerland;2017;20.7;42.0
4354;Registered in donorregister;Lansingerland;2018;21.9;43.0
4355;Registered in donorregister;Lansingerland;2019;22.1;43.0
4356;Registered in donorregister;Laren (NH.);2014;3.7;38.0
4357;Registered in donorregister;Laren (NH.);2015;3.7;39.0
4358;Registered in donorregister;Laren (NH.);2016;3.8;39.0
4359;Registered in donorregister;Laren (NH.);2017;3.9;40.0
4360;Registered in donorregister;Laren (NH.);2018;4.0;41.0
4361;Registered in donorregister;Laren (NH.);2019;4.0;41.0
4362;Registered in donorregister;Leek;2014;6.6;39.0
4363;Registered in donorregister;Leek;2015;6.6;39.0
4364;Registered in donorregister;Leek;2016;6.7;39.0
4365;Registered in donorregister;Leek;2017;6.9;40.0
4366;Registered in donorregister;Leek;2018;7.2;42.0
4367;Registered in donorregister;Leek;2019;7.3;43.0
4368;Registered in donorregister;Leerdam;2014;5.8;33.0
4369;Registered in donorregister;Leerdam;2015;5.9;33.0
4370;Registered in donorregister;Leerdam;2016;5.9;33.0
4371;Registered in donorregister;Leerdam;2017;6.2;34.0
4372;Registered in donorregister;Leerdam;2018;6.7;37.0
4373;Registered in donorregister;Leerdam;2019;6.8;37.0
4374;Registered in donorregister;Leeuwarden;2014;41.7;39.0
4375;Registered in donorregister;Leeuwarden;2015;42.1;40.0
4376;Registered in donorregister;Leeuwarden;2016;42.3;40.0
4377;Registered in donorregister;Leeuwarden;2017;43.5;41.0
4378;Registered in donorregister;Leeuwarden;2018;45.1;42.0
4379;Registered in donorregister;Leeuwarden;2019;45.5;42.0
4380;Registered in donorregister;Leeuwarderadeel;2014;;
4381;Registered in donorregister;Leeuwarderadeel;2015;;
4382;Registered in donorregister;Leeuwarderadeel;2016;;
4383;Registered in donorregister;Leeuwarderadeel;2017;;
4384;Registered in donorregister;Leeuwarderadeel;2018;;
4385;Registered in donorregister;Leeuwarderadeel;2019;;
4386;Registered in donorregister;Leiden;2014;43.4;40.0
4387;Registered in donorregister;Leiden;2015;43.6;40.0
4388;Registered in donorregister;Leiden;2016;44.2;41.0
4389;Registered in donorregister;Leiden;2017;46.0;42.0
4390;Registered in donorregister;Leiden;2018;48.3;44.0
4391;Registered in donorregister;Leiden;2019;48.4;43.0
4392;Registered in donorregister;Leiderdorp;2014;10.0;43.0
4393;Registered in donorregister;Leiderdorp;2015;10.1;43.0
4394;Registered in donorregister;Leiderdorp;2016;10.2;43.0
4395;Registered in donorregister;Leiderdorp;2017;10.5;44.0
4396;Registered in donorregister;Leiderdorp;2018;10.9;46.0
4397;Registered in donorregister;Leiderdorp;2019;11.0;46.0
4398;Registered in donorregister;Leidschendam-Voorburg;2014;26.0;41.0
4399;Registered in donorregister;Leidschendam-Voorburg;2015;26.2;41.0
4400;Registered in donorregister;Leidschendam-Voorburg;2016;26.2;41.0
4401;Registered in donorregister;Leidschendam-Voorburg;2017;27.1;42.0
4402;Registered in donorregister;Leidschendam-Voorburg;2018;28.1;43.0
4403;Registered in donorregister;Leidschendam-Voorburg;2019;28.3;43.0
4404;Registered in donorregister;Lelystad;2014;24.6;38.0
4405;Registered in donorregister;Lelystad;2015;24.6;38.0
4406;Registered in donorregister;Lelystad;2016;24.7;38.0
4407;Registered in donorregister;Lelystad;2017;25.6;39.0
4408;Registered in donorregister;Lelystad;2018;27.0;41.0
4409;Registered in donorregister;Lelystad;2019;27.2;41.0
4410;Registered in donorregister;Leudal;2014;13.6;42.0
4411;Registered in donorregister;Leudal;2015;13.7;42.0
4412;Registered in donorregister;Leudal;2016;13.7;42.0
4413;Registered in donorregister;Leudal;2017;13.9;43.0
4414;Registered in donorregister;Leudal;2018;14.4;45.0
4415;Registered in donorregister;Leudal;2019;14.4;45.0
4416;Registered in donorregister;Leusden;2014;10.8;43.0
4417;Registered in donorregister;Leusden;2015;10.8;43.0
4418;Registered in donorregister;Leusden;2016;11.0;43.0
4419;Registered in donorregister;Leusden;2017;11.4;44.0
4420;Registered in donorregister;Leusden;2018;11.9;46.0
4421;Registered in donorregister;Leusden;2019;12.1;46.0
4422;Registered in donorregister;Lingewaal;2014;3.6;38.0
4423;Registered in donorregister;Lingewaal;2015;3.7;38.0
4424;Registered in donorregister;Lingewaal;2016;3.8;39.0
4425;Registered in donorregister;Lingewaal;2017;3.9;40.0
4426;Registered in donorregister;Lingewaal;2018;4.0;42.0
4427;Registered in donorregister;Lingewaal;2019;4.1;42.0
4428;Registered in donorregister;Lingewaard;2014;17.3;44.0
4429;Registered in donorregister;Lingewaard;2015;17.4;44.0
4430;Registered in donorregister;Lingewaard;2016;17.7;44.0
4431;Registered in donorregister;Lingewaard;2017;18.2;45.0
4432;Registered in donorregister;Lingewaard;2018;18.8;46.0
4433;Registered in donorregister;Lingewaard;2019;18.9;46.0
4434;Registered in donorregister;Lisse;2014;8.2;42.0
4435;Registered in donorregister;Lisse;2015;8.3;42.0
4436;Registered in donorregister;Lisse;2016;8.4;43.0
4437;Registered in donorregister;Lisse;2017;8.7;44.0
4438;Registered in donorregister;Lisse;2018;8.9;45.0
4439;Registered in donorregister;Lisse;2019;9.0;45.0
4440;Registered in donorregister;Littenseradiel;2014;;
4441;Registered in donorregister;Littenseradiel;2015;;
4442;Registered in donorregister;Littenseradiel;2016;;
4443;Registered in donorregister;Littenseradiel;2017;;
4444;Registered in donorregister;Littenseradiel;2018;;
4445;Registered in donorregister;Littenseradiel;2019;;
4446;Registered in donorregister;Lochem;2014;12.8;44.0
4447;Registered in donorregister;Lochem;2015;12.9;44.0
4448;Registered in donorregister;Lochem;2016;13.0;44.0
4449;Registered in donorregister;Lochem;2017;13.4;45.0
4450;Registered in donorregister;Lochem;2018;13.8;46.0
4451;Registered in donorregister;Lochem;2019;13.9;46.0
4452;Registered in donorregister;Loon op Zand;2014;8.9;44.0
4453;Registered in donorregister;Loon op Zand;2015;9.0;45.0
4454;Registered in donorregister;Loon op Zand;2016;9.0;44.0
4455;Registered in donorregister;Loon op Zand;2017;9.2;45.0
4456;Registered in donorregister;Loon op Zand;2018;9.4;46.0
4457;Registered in donorregister;Loon op Zand;2019;9.5;46.0
4458;Registered in donorregister;Lopik;2014;4.3;36.0
4459;Registered in donorregister;Lopik;2015;4.3;36.0
4460;Registered in donorregister;Lopik;2016;4.4;36.0
4461;Registered in donorregister;Lopik;2017;4.5;36.0
4462;Registered in donorregister;Lopik;2018;4.8;38.0
4463;Registered in donorregister;Lopik;2019;4.9;38.0
4464;Registered in donorregister;Loppersum;2014;3.6;40.0
4465;Registered in donorregister;Loppersum;2015;3.5;40.0
4466;Registered in donorregister;Loppersum;2016;3.5;40.0
4467;Registered in donorregister;Loppersum;2017;3.6;41.0
4468;Registered in donorregister;Loppersum;2018;3.6;43.0
4469;Registered in donorregister;Loppersum;2019;3.6;43.0
4470;Registered in donorregister;Losser;2014;7.7;39.0
4471;Registered in donorregister;Losser;2015;7.8;40.0
4472;Registered in donorregister;Losser;2016;7.9;40.0
4473;Registered in donorregister;Losser;2017;8.2;41.0
4474;Registered in donorregister;Losser;2018;8.5;42.0
4475;Registered in donorregister;Losser;2019;8.5;43.0
4476;Registered in donorregister;Maasdonk;2014;;
4477;Registered in donorregister;Maasdonk;2015;;
4478;Registered in donorregister;Maasdonk;2016;;
4479;Registered in donorregister;Maasdonk;2017;;
4480;Registered in donorregister;Maasdonk;2018;;
4481;Registered in donorregister;Maasdonk;2019;;
4482;Registered in donorregister;Maasdriel;2014;8.4;40.0
4483;Registered in donorregister;Maasdriel;2015;8.5;40.0
4484;Registered in donorregister;Maasdriel;2016;8.5;41.0
4485;Registered in donorregister;Maasdriel;2017;8.7;41.0
4486;Registered in donorregister;Maasdriel;2018;9.0;42.0
4487;Registered in donorregister;Maasdriel;2019;9.1;42.0
4488;Registered in donorregister;Maasgouw;2014;9.1;42.0
4489;Registered in donorregister;Maasgouw;2015;9.1;42.0
4490;Registered in donorregister;Maasgouw;2016;9.2;43.0
4491;Registered in donorregister;Maasgouw;2017;9.4;44.0
4492;Registered in donorregister;Maasgouw;2018;9.7;45.0
4493;Registered in donorregister;Maasgouw;2019;9.8;45.0
4494;Registered in donorregister;Maassluis;2014;10.6;38.0
4495;Registered in donorregister;Maassluis;2015;10.7;38.0
4496;Registered in donorregister;Maassluis;2016;10.7;38.0
4497;Registered in donorregister;Maassluis;2017;11.2;39.0
4498;Registered in donorregister;Maassluis;2018;11.9;42.0
4499;Registered in donorregister;Maassluis;2019;12.0;42.0
4500;Registered in donorregister;Maastricht;2014;44.1;39.0
4501;Registered in donorregister;Maastricht;2015;44.0;39.0
4502;Registered in donorregister;Maastricht;2016;43.7;39.0
4503;Registered in donorregister;Maastricht;2017;44.4;40.0
4504;Registered in donorregister;Maastricht;2018;45.4;40.0
4505;Registered in donorregister;Maastricht;2019;45.1;40.0
4506;Registered in donorregister;De Marne;2014;3.5;39.0
4507;Registered in donorregister;De Marne;2015;3.4;39.0
4508;Registered in donorregister;De Marne;2016;3.5;39.0
4509;Registered in donorregister;De Marne;2017;3.5;40.0
4510;Registered in donorregister;De Marne;2018;3.7;41.0
4511;Registered in donorregister;De Marne;2019;3.7;41.0
4512;Registered in donorregister;Marum;2014;3.4;38.0
4513;Registered in donorregister;Marum;2015;3.4;38.0
4514;Registered in donorregister;Marum;2016;3.5;39.0
4515;Registered in donorregister;Marum;2017;3.6;40.0
4516;Registered in donorregister;Marum;2018;3.8;41.0
4517;Registered in donorregister;Marum;2019;3.8;42.0
4518;Registered in donorregister;Medemblik;2014;15.6;42.0
4519;Registered in donorregister;Medemblik;2015;15.7;42.0
4520;Registered in donorregister;Medemblik;2016;15.8;42.0
4521;Registered in donorregister;Medemblik;2017;16.4;43.0
4522;Registered in donorregister;Medemblik;2018;17.1;44.0
4523;Registered in donorregister;Medemblik;2019;17.3;44.0
