ID;Sex;Age;Citizenship;Periods;TotalAsylumRequests_1;FirstAsylumRequests_2
447;Total male and female, including unknown;Total age;50;2015 1st Quarter;35;35
448;Total male and female, including unknown;Total age;50;2015 April;15;15
449;Total male and female, including unknown;Total age;50;2015 May;25;25
450;Total male and female, including unknown;Total age;50;2015 June;40;40
451;Total male and female, including unknown;Total age;50;2015 2nd Quarter;80;80
452;Total male and female, including unknown;Total age;50;2015 July;70;70
453;Total male and female, including unknown;Total age;50;2015 August;75;75
454;Total male and female, including unknown;Total age;50;2015 September;175;170
455;Total male and female, including unknown;Total age;50;2015 3rd Quarter;320;320
456;Total male and female, including unknown;Total age;50;2015 October;285;285
457;Total male and female, including unknown;Total age;50;2015 November;145;140
458;Total male and female, including unknown;Total age;50;2015 December;150;150
459;Total male and female, including unknown;Total age;50;2015 4th Quarter;580;575
460;Total male and female, including unknown;Total age;50;2015;1015;1005
461;Total male and female, including unknown;Total age;50;2016 January;235;230
462;Total male and female, including unknown;Total age;40;2007 January;30;20
463;Total male and female, including unknown;Total age;40;2007 February;20;15
464;Total male and female, including unknown;Total age;40;2007 March;5;5
465;Total male and female, including unknown;Total age;40;2007 1st Quarter;55;40
466;Total male and female, including unknown;Total age;40;2007 April;5;5
467;Total male and female, including unknown;Total age;40;2007 May;10;10
468;Total male and female, including unknown;Total age;40;2007 June;10;10
469;Total male and female, including unknown;Total age;40;2007 2nd Quarter;25;25
470;Total male and female, including unknown;Total age;40;2007 July;10;5
471;Total male and female, including unknown;Total age;40;2007 August;5;5
472;Total male and female, including unknown;Total age;40;2007 September;10;5
473;Total male and female, including unknown;Total age;40;2007 3rd Quarter;30;20
474;Total male and female, including unknown;Total age;40;2007 October;15;10
475;Total male and female, including unknown;Total age;40;2007 November;15;10
476;Total male and female, including unknown;Total age;40;2007 December;15;15
477;Total male and female, including unknown;Total age;40;2007 4th Quarter;45;35
478;Total male and female, including unknown;Total age;40;2007;155;115
479;Total male and female, including unknown;Total age;40;2008 January;15;5
480;Total male and female, including unknown;Total age;40;2008 February;20;15
481;Total male and female, including unknown;Total age;40;2008 March;10;5
482;Total male and female, including unknown;Total age;40;2008 1st Quarter;40;25
483;Total male and female, including unknown;Total age;40;2008 April;5;5
484;Total male and female, including unknown;Total age;40;2008 May;10;10
485;Total male and female, including unknown;Total age;40;2008 June;15;15
486;Total male and female, including unknown;Total age;40;2008 2nd Quarter;35;30
487;Total male and female, including unknown;Total age;40;2008 July;30;30
488;Total male and female, including unknown;Total age;40;2008 August;30;25
489;Total male and female, including unknown;Total age;40;2008 September;35;30
490;Total male and female, including unknown;Total age;40;2008 3rd Quarter;95;85
491;Total male and female, including unknown;Total age;40;2008 October;30;25
492;Total male and female, including unknown;Total age;40;2008 November;20;20
493;Total male and female, including unknown;Total age;40;2008 December;20;20
494;Total male and female, including unknown;Total age;40;2008 4th Quarter;70;65
495;Total male and female, including unknown;Total age;40;2008;240;210
496;Total male and female, including unknown;Total age;40;2009 January;25;25
497;Total male and female, including unknown;Total age;40;2009 February;30;25
498;Total male and female, including unknown;Total age;40;2009 March;15;15
499;Total male and female, including unknown;Total age;40;2009 1st Quarter;70;65
500;Total male and female, including unknown;Total age;40;2009 April;10;10
501;Total male and female, including unknown;Total age;40;2009 May;35;35
502;Total male and female, including unknown;Total age;40;2009 June;30;30
503;Total male and female, including unknown;Total age;40;2009 2nd Quarter;75;75
504;Total male and female, including unknown;Total age;40;2009 July;20;20
505;Total male and female, including unknown;Total age;40;2009 August;35;30
506;Total male and female, including unknown;Total age;40;2009 September;45;40
507;Total male and female, including unknown;Total age;40;2009 3rd Quarter;100;90
508;Total male and female, including unknown;Total age;40;2009 October;55;50
509;Total male and female, including unknown;Total age;40;2009 November;35;30
510;Total male and female, including unknown;Total age;40;2009 December;40;40
511;Total male and female, including unknown;Total age;40;2009 4th Quarter;125;125
512;Total male and female, including unknown;Total age;40;2009;370;350
513;Total male and female, including unknown;Total age;40;2010 January;50;50
514;Total male and female, including unknown;Total age;40;2010 February;80;75
515;Total male and female, including unknown;Total age;40;2010 March;50;45
516;Total male and female, including unknown;Total age;40;2010 1st Quarter;180;170
517;Total male and female, including unknown;Total age;40;2010 April;40;40
518;Total male and female, including unknown;Total age;40;2010 May;20;15
519;Total male and female, including unknown;Total age;40;2010 June;50;45
520;Total male and female, including unknown;Total age;40;2010 2nd Quarter;105;100
521;Total male and female, including unknown;Total age;40;2010 July;30;30
522;Total male and female, including unknown;Total age;40;2010 August;45;45
523;Total male and female, including unknown;Total age;40;2010 September;70;70
524;Total male and female, including unknown;Total age;40;2010 3rd Quarter;150;145
525;Total male and female, including unknown;Total age;40;2010 October;65;60
526;Total male and female, including unknown;Total age;40;2010 November;75;70
527;Total male and female, including unknown;Total age;40;2010 December;70;65
528;Total male and female, including unknown;Total age;40;2010 4th Quarter;215;190
529;Total male and female, including unknown;Total age;40;2010;650;610
530;Total male and female, including unknown;Total age;40;2011 January;50;40
531;Total male and female, including unknown;Total age;40;2011 February;25;25
532;Total male and female, including unknown;Total age;40;2011 March;60;50
533;Total male and female, including unknown;Total age;40;2011 1st Quarter;135;110
534;Total male and female, including unknown;Total age;40;2011 April;45;35
535;Total male and female, including unknown;Total age;40;2011 May;40;40
536;Total male and female, including unknown;Total age;40;2011 June;50;40
537;Total male and female, including unknown;Total age;40;2011 2nd Quarter;130;115
538;Total male and female, including unknown;Total age;40;2011 July;40;30
539;Total male and female, including unknown;Total age;40;2011 August;65;50
540;Total male and female, including unknown;Total age;40;2011 September;55;45
541;Total male and female, including unknown;Total age;40;2011 3rd Quarter;160;130
542;Total male and female, including unknown;Total age;40;2011 October;45;30
543;Total male and female, including unknown;Total age;40;2011 November;55;35
544;Total male and female, including unknown;Total age;40;2011 December;55;45
545;Total male and female, including unknown;Total age;40;2011 4th Quarter;155;110
546;Total male and female, including unknown;Total age;40;2011;580;470
