ID;GoodsAndServices;Periods;VolumeChanges_1;VolumeChangesShoppingdayAdjusted_2;Indices2000100_3;ValueChanges_4;ValueIndices_5;ShareInDomesticConsOfHouseholds_6;AbsoluteValueInEuroS_7
383;8000;2017 August;2.5;1.9;110.2;3.9;144.9;;
384;8000;2017 September;2.9;2.6;111.1;4.5;146.1;;
385;8000;2017 3rd quarter;2.3;2.3;111.0;3.7;145.8;;
386;8000;2017 October;0.9;1.8;112.2;2.2;146.8;;
387;8000;2017 November;2.8;2.4;114.2;4.3;150.2;;
388;8000;2017 December;0.6;1.3;120.5;1.8;158.6;;
389;8000;2017 4th quarter;1.4;1.8;115.6;4.1;153.8;;
390;8000;2017;1.9;2.2;111.6;3.3;147.4;;
391;8000;2018 January;2.3;1.9;113.9;4.1;153.0;;
392;8000;2018 February;3.0;3.0;106.7;4.5;145.2;;
393;8000;2018 March;3.7;3.2;115.0;5.1;156.4;;
394;8000;2018 1st quarter;3.0;2.7;111.8;4.6;151.5;;
395;8000;2018 April;2.2;3.2;111.2;3.5;150.3;;
396;8000;2018 May;2.7;2.1;114.4;4.7;154.2;;
397;8000;2018 June;2.9;2.6;116.9;4.6;155.8;;
398;8000;2018 2nd quarter;2.6;2.6;114.2;4.3;153.5;;
399;8000;2018 July;2.2;2.9;114.3;4.4;153.0;;
400;8000;2018 August;2.9;2.3;113.4;5.1;152.3;;
401;8000;2018 September;0.9;2.2;112.1;2.6;149.9;;
402;8000;2018 3rd quarter;2.0;2.5;113.3;4.0;151.7;;
403;8000;2018 October;3.0;2.1;115.6;5.1;154.4;;
