ID;Landen;SITC;Perioden;TotaleInvoerwaarde_1;TotaleUitvoerwaarde_2
337;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2020 november;78.0;135.0
338;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2020 december;93.0;138.0
339;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2020;1128.0;1772.0
340;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2021 januari;;
341;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2021 februari;;
342;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2021 maart;;
343;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2021 april;;
344;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2021 mei;;
345;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2021 juni;;
346;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2021 juli;;
347;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2021 augustus;;
348;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2021 september;;
349;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2021 oktober;;
350;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2021 november;;
351;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2021 december;;
352;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2021;;
353;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2022 januari;98.0;135.0
354;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2022 februari;99.0;126.0
355;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2022 maart;129.0;137.0
356;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2022 april;123.0;158.0
357;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2022 mei;136.0;149.0
358;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2022 juni;134.0;153.0
359;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2022 juli;119.0;127.0
360;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2022 augustus;142.0;153.0
