ID;ParticipatieEnVertrouwen;Persoonskenmerken;Perioden;NietZoGelukkig_1;Gelukkig_2;NietZoTevredenMetHetLeven_3;TevredenMetHetLeven_4
1047;45;Leeftijd: 35 tot 50 jaar;2010 oude methode;22.0;78.0;16.0;84.0
1048;45;Leeftijd: 35 tot 50 jaar;2010 nieuwe methode;20.0;80.0;19.0;81.0
1049;45;Leeftijd: 35 tot 50 jaar;2012;24.0;76.0;22.0;78.0
1050;45;Leeftijd: 50 tot 65 jaar;2003;;;;
1051;45;Leeftijd: 50 tot 65 jaar;2004;;;;
1052;45;Leeftijd: 50 tot 65 jaar;2005;;;;
1053;45;Leeftijd: 50 tot 65 jaar;2006;;;;
1054;45;Leeftijd: 50 tot 65 jaar;2007;16.0;84.0;15.0;85.0
1055;45;Leeftijd: 50 tot 65 jaar;2008;15.0;85.0;14.0;86.0
1056;45;Leeftijd: 50 tot 65 jaar;2009;;;;
1057;45;Leeftijd: 50 tot 65 jaar;2010 oude methode;16.0;84.0;17.0;83.0
1058;45;Leeftijd: 50 tot 65 jaar;2010 nieuwe methode;20.0;80.0;19.0;81.0
1059;45;Leeftijd: 50 tot 65 jaar;2012;25.0;75.0;25.0;75.0
1060;45;Leeftijd: 65 jaar of ouder;2003;;;;
1061;45;Leeftijd: 65 jaar of ouder;2004;;;;
1062;45;Leeftijd: 65 jaar of ouder;2005;;;;
1063;45;Leeftijd: 65 jaar of ouder;2006;;;;
1064;45;Leeftijd: 65 jaar of ouder;2007;19.0;81.0;16.0;84.0
1065;45;Leeftijd: 65 jaar of ouder;2008;18.0;82.0;14.0;86.0
1066;45;Leeftijd: 65 jaar of ouder;2009;;;;
1067;45;Leeftijd: 65 jaar of ouder;2010 oude methode;22.0;78.0;16.0;84.0
1068;45;Leeftijd: 65 jaar of ouder;2010 nieuwe methode;24.0;76.0;19.0;81.0
1069;45;Leeftijd: 65 jaar of ouder;2012;23.0;77.0;19.0;81.0
1070;45;Herkomst: autochtoon;2003;;;;
1071;45;Herkomst: autochtoon;2004;;;;
1072;45;Herkomst: autochtoon;2005;;;;
1073;45;Herkomst: autochtoon;2006;;;;
1074;45;Herkomst: autochtoon;2007;13.0;87.0;14.0;86.0
1075;45;Herkomst: autochtoon;2008;13.0;87.0;13.0;87.0
1076;45;Herkomst: autochtoon;2009;;;;
1077;45;Herkomst: autochtoon;2010 oude methode;13.0;87.0;14.0;86.0
1078;45;Herkomst: autochtoon;2010 nieuwe methode;17.0;83.0;17.0;83.0
1079;45;Herkomst: autochtoon;2012;20.0;80.0;19.0;81.0
1080;45;Herkomst: westerse allochtoon;2003;;;;
1081;45;Herkomst: westerse allochtoon;2004;;;;
1082;45;Herkomst: westerse allochtoon;2005;;;;
1083;45;Herkomst: westerse allochtoon;2006;;;;
