ID;RegioS;SamenstellingVanHetHuishouden;AantalHuishoudens_1;GemiddBesteedbInkomenPerHuishouden_2
1613;Valkenburg (ZH.);Eenpersoonshuishouden;0.3;20.1
1614;Valkenburg (ZH.);Meerpers. huishouden met minderj. kind.;0.5;38.9
1615;Valkenburg (ZH.);Meerpers. huishouden z. minderj. kind.;0.6;35.0
1616;Vianen;Totaal particulier huishouden;7.6;34.0
1617;Vianen;Eenpersoonshuishouden;1.8;19.6
1618;Vianen;Meerpers. huishouden met minderj. kind.;2.5;38.7
1619;Vianen;Meerpers. huishouden z. minderj. kind.;3.3;38.1
1620;Vlaardingen;Totaal particulier huishouden;33.7;28.3
1621;Vlaardingen;Eenpersoonshuishouden;12.4;18.0
1622;Vlaardingen;Meerpers. huishouden met minderj. kind.;8.3;34.1
1623;Vlaardingen;Meerpers. huishouden z. minderj. kind.;13.0;34.5
1624;Vlist;Totaal particulier huishouden;3.6;33.4
1625;Vlist;Eenpersoonshuishouden;0.8;18.8
1626;Vlist;Meerpers. huishouden met minderj. kind.;1.1;39.6
1627;Vlist;Meerpers. huishouden z. minderj. kind.;1.7;36.6
1628;Voorhout;Totaal particulier huishouden;5.1;38.8
1629;Voorhout;Eenpersoonshuishouden;0.9;21.0
1630;Voorhout;Meerpers. huishouden met minderj. kind.;2.1;44.3
1631;Voorhout;Meerpers. huishouden z. minderj. kind.;2.0;41.4
1632;Voorschoten;Totaal particulier huishouden;9.3;37.4
1633;Voorschoten;Eenpersoonshuishouden;2.9;23.1
1634;Voorschoten;Meerpers. huishouden met minderj. kind.;2.7;46.6
1635;Voorschoten;Meerpers. huishouden z. minderj. kind.;3.8;41.8
1636;Waddinxveen;Totaal particulier huishouden;10.4;34.5
1637;Waddinxveen;Eenpersoonshuishouden;2.6;20.0
1638;Waddinxveen;Meerpers. huishouden met minderj. kind.;3.3;40.8
1639;Waddinxveen;Meerpers. huishouden z. minderj. kind.;4.5;38.4
1640;Warmond;Totaal particulier huishouden;1.9;37.4
1641;Warmond;Eenpersoonshuishouden;0.6;19.8
1642;Warmond;Meerpers. huishouden met minderj. kind.;0.5;45.4
1643;Warmond;Meerpers. huishouden z. minderj. kind.;0.8;45.1
1644;Wassenaar;Totaal particulier huishouden;10.7;42.7
1645;Wassenaar;Eenpersoonshuishouden;3.6;27.3
1646;Wassenaar;Meerpers. huishouden met minderj. kind.;2.8;54.9
1647;Wassenaar;Meerpers. huishouden z. minderj. kind.;4.3;47.7
1648;Wateringen;Totaal particulier huishouden;6.3;33.9
1649;Wateringen;Eenpersoonshuishouden;1.6;19.8
1650;Wateringen;Meerpers. huishouden met minderj. kind.;2.1;39.9
1651;Wateringen;Meerpers. huishouden z. minderj. kind.;2.7;37.6
1652;Woerden;Totaal particulier huishouden;18.5;35.4
1653;Woerden;Eenpersoonshuishouden;4.9;20.1
1654;Woerden;Meerpers. huishouden met minderj. kind.;6.0;42.0
1655;Woerden;Meerpers. huishouden z. minderj. kind.;7.5;40.2
1656;Zoetermeer;Totaal particulier huishouden;45.9;33.4
1657;Zoetermeer;Eenpersoonshuishouden;13.5;19.7
1658;Zoetermeer;Meerpers. huishouden met minderj. kind.;14.6;38.8
1659;Zoetermeer;Meerpers. huishouden z. minderj. kind.;17.8;39.3
1660;Zoeterwoude;Totaal particulier huishouden;3.1;36.7
1661;Zoeterwoude;Eenpersoonshuishouden;0.6;20.2
1662;Zoeterwoude;Meerpers. huishouden met minderj. kind.;1.0;41.8
1663;Zoeterwoude;Meerpers. huishouden z. minderj. kind.;1.4;40.6
1664;Zwijndrecht;Totaal particulier huishouden;18.9;31.2
1665;Zwijndrecht;Eenpersoonshuishouden;5.7;18.4
1666;Zwijndrecht;Meerpers. huishouden met minderj. kind.;5.3;37.3
1667;Zwijndrecht;Meerpers. huishouden z. minderj. kind.;8.0;36.2
1668;Nederlek;Totaal particulier huishouden;5.9;33.0
1669;Nederlek;Eenpersoonshuishouden;1.5;18.4
1670;Nederlek;Meerpers. huishouden met minderj. kind.;1.8;39.7
1671;Nederlek;Meerpers. huishouden z. minderj. kind.;2.6;36.7
1672;Ouderkerk;Totaal particulier huishouden;3.0;34.4
1673;Ouderkerk;Eenpersoonshuishouden;0.7;18.6
1674;Ouderkerk;Meerpers. huishouden met minderj. kind.;1.0;40.4
1675;Ouderkerk;Meerpers. huishouden z. minderj. kind.;1.3;37.8
1676;Jacobswoude;Totaal particulier huishouden;4.0;35.3
1677;Jacobswoude;Eenpersoonshuishouden;0.9;19.5
1678;Jacobswoude;Meerpers. huishouden met minderj. kind.;1.3;41.5
1679;Jacobswoude;Meerpers. huishouden z. minderj. kind.;1.8;38.5
1680;GaasterlÔn-Sleat;Totaal particulier huishouden;4.1;28.8
1681;GaasterlÔn-Sleat;Eenpersoonshuishouden;1.1;16.5
1682;GaasterlÔn-Sleat;Meerpers. huishouden met minderj. kind.;1.2;35.6
1683;GaasterlÔn-Sleat;Meerpers. huishouden z. minderj. kind.;1.8;32.0
1684;Borsele;Totaal particulier huishouden;8.7;30.9
1685;Borsele;Eenpersoonshuishouden;2.1;18.3
1686;Borsele;Meerpers. huishouden met minderj. kind.;2.8;36.1
1687;Borsele;Meerpers. huishouden z. minderj. kind.;3.8;34.1
1688;Goes;Totaal particulier huishouden;15.6;29.3
1689;Goes;Eenpersoonshuishouden;5.4;18.1
1690;Goes;Meerpers. huishouden met minderj. kind.;4.1;36.4
1691;Goes;Meerpers. huishouden z. minderj. kind.;6.1;34.3
1692;West Maas en Waal;Totaal particulier huishouden;7.0;32.5
1693;West Maas en Waal;Eenpersoonshuishouden;1.6;17.8
1694;West Maas en Waal;Meerpers. huishouden met minderj. kind.;2.2;38.4
1695;West Maas en Waal;Meerpers. huishouden z. minderj. kind.;3.2;35.8
1696;Hulst;Totaal particulier huishouden;11.7;30.6
1697;Hulst;Eenpersoonshuishouden;3.3;17.5
1698;Hulst;Meerpers. huishouden met minderj. kind.;3.1;39.3
1699;Hulst;Meerpers. huishouden z. minderj. kind.;5.3;33.7
1700;Kapelle;Totaal particulier huishouden;4.5;33.2
1701;Kapelle;Eenpersoonshuishouden;1.0;18.0
1702;Kapelle;Meerpers. huishouden met minderj. kind.;1.4;37.1
1703;Kapelle;Meerpers. huishouden z. minderj. kind.;2.0;37.8
1704;Wymbritseradiel;Totaal particulier huishouden;6.1;29.8
1705;Wymbritseradiel;Eenpersoonshuishouden;1.5;18.2
1706;Wymbritseradiel;Meerpers. huishouden met minderj. kind.;2.0;35.4
1707;Wymbritseradiel;Meerpers. huishouden z. minderj. kind.;2.6;32.0
1708;Middelburg (Z.);Totaal particulier huishouden;19.9;28.6
1709;Middelburg (Z.);Eenpersoonshuishouden;6.9;17.7
1710;Middelburg (Z.);Meerpers. huishouden met minderj. kind.;5.2;35.2
1711;Middelburg (Z.);Meerpers. huishouden z. minderj. kind.;7.8;33.9
1712;Giessenlanden;Totaal particulier huishouden;5.3;34.8
1713;Giessenlanden;Eenpersoonshuishouden;1.1;17.4
1714;Giessenlanden;Meerpers. huishouden met minderj. kind.;1.8;42.7
1715;Giessenlanden;Meerpers. huishouden z. minderj. kind.;2.4;36.9
1716;Graafstroom;Totaal particulier huishouden;3.2;36.8
1717;Graafstroom;Eenpersoonshuishouden;0.6;18.9
1718;Graafstroom;Meerpers. huishouden met minderj. kind.;1.2;43.0
1719;Graafstroom;Meerpers. huishouden z. minderj. kind.;1.4;39.4
1720;Liesveld;Totaal particulier huishouden;3.4;34.1
1721;Liesveld;Eenpersoonshuishouden;0.7;17.5
1722;Liesveld;Meerpers. huishouden met minderj. kind.;1.2;40.9
1723;Liesveld;Meerpers. huishouden z. minderj. kind.;1.4;36.8
1724;Reimerswaal;Totaal particulier huishouden;7.8;30.3
1725;Reimerswaal;Eenpersoonshuishouden;2.0;17.8
1726;Reimerswaal;Meerpers. huishouden met minderj. kind.;2.6;36.0
1727;Reimerswaal;Meerpers. huishouden z. minderj. kind.;3.1;33.8
1728;Zederik;Totaal particulier huishouden;4.8;34.1
1729;Zederik;Eenpersoonshuishouden;1.1;17.0
1730;Zederik;Meerpers. huishouden met minderj. kind.;1.6;40.8
1731;Zederik;Meerpers. huishouden z. minderj. kind.;2.1;37.4
1732;Wûnseradiel;Totaal particulier huishouden;4.7;28.1
1733;Wûnseradiel;Eenpersoonshuishouden;1.2;17.1
1734;Wûnseradiel;Meerpers. huishouden met minderj. kind.;1.5;32.5
1735;Wûnseradiel;Meerpers. huishouden z. minderj. kind.;1.9;31.7
1736;Terneuzen;Totaal particulier huishouden;23.8;29.6
1737;Terneuzen;Eenpersoonshuishouden;7.2;18.0
1738;Terneuzen;Meerpers. huishouden met minderj. kind.;6.3;36.0
1739;Terneuzen;Meerpers. huishouden z. minderj. kind.;10.3;33.8
1740;Tholen;Totaal particulier huishouden;9.0;29.3
1741;Tholen;Eenpersoonshuishouden;2.3;16.8
1742;Tholen;Meerpers. huishouden met minderj. kind.;2.9;34.9
1743;Tholen;Meerpers. huishouden z. minderj. kind.;3.8;32.6
1744;Veere;Totaal particulier huishouden;8.7;31.4
1745;Veere;Eenpersoonshuishouden;2.3;17.9
1746;Veere;Meerpers. huishouden met minderj. kind.;2.5;38.1
1747;Veere;Meerpers. huishouden z. minderj. kind.;3.9;35.0
1748;Vlissingen;Totaal particulier huishouden;20.1;27.2
1749;Vlissingen;Eenpersoonshuishouden;7.2;17.0
1750;Vlissingen;Meerpers. huishouden met minderj. kind.;4.9;32.5
1751;Vlissingen;Meerpers. huishouden z. minderj. kind.;8.0;33.1
1752;Lingewaal;Totaal particulier huishouden;3.9;34.0
1753;Lingewaal;Eenpersoonshuishouden;0.8;18.9
1754;Lingewaal;Meerpers. huishouden met minderj. kind.;1.4;37.8
1755;Lingewaal;Meerpers. huishouden z. minderj. kind.;1.8;37.5
1756;De Ronde Venen;Totaal particulier huishouden;13.4;36.1
1757;De Ronde Venen;Eenpersoonshuishouden;3.4;20.3
1758;De Ronde Venen;Meerpers. huishouden met minderj. kind.;4.4;42.9
1759;De Ronde Venen;Meerpers. huishouden z. minderj. kind.;5.5;40.4
1760;Tytsjerksteradiel;Totaal particulier huishouden;12.5;30.2
1761;Tytsjerksteradiel;Eenpersoonshuishouden;3.0;17.1
1762;Tytsjerksteradiel;Meerpers. huishouden met minderj. kind.;3.7;35.2
1763;Tytsjerksteradiel;Meerpers. huishouden z. minderj. kind.;5.7;33.8
1764;Aalburg;Totaal particulier huishouden;4.1;33.5
1765;Aalburg;Eenpersoonshuishouden;0.8;17.1
1766;Aalburg;Meerpers. huishouden met minderj. kind.;1.6;39.1
1767;Aalburg;Meerpers. huishouden z. minderj. kind.;1.7;36.0
1768;Asten;Totaal particulier huishouden;6.0;32.5
1769;Asten;Eenpersoonshuishouden;1.4;17.3
1770;Asten;Meerpers. huishouden met minderj. kind.;1.9;38.7
1771;Asten;Meerpers. huishouden z. minderj. kind.;2.7;36.1
1772;Baarle-Nassau;Totaal particulier huishouden;2.6;30.5
1773;Baarle-Nassau;Eenpersoonshuishouden;0.7;17.7
1774;Baarle-Nassau;Meerpers. huishouden met minderj. kind.;0.6;35.7
1775;Baarle-Nassau;Meerpers. huishouden z. minderj. kind.;1.3;35.0
1776;Bergen op Zoom;Totaal particulier huishouden;27.7;29.6
1777;Bergen op Zoom;Eenpersoonshuishouden;8.5;18.0
1778;Bergen op Zoom;Meerpers. huishouden met minderj. kind.;7.8;36.1
1779;Bergen op Zoom;Meerpers. huishouden z. minderj. kind.;11.4;33.8
1780;Best;Totaal particulier huishouden;11.1;33.2
1781;Best;Eenpersoonshuishouden;2.6;18.8
1782;Best;Meerpers. huishouden met minderj. kind.;3.7;38.1
1783;Best;Meerpers. huishouden z. minderj. kind.;4.8;37.0
1784;Boekel;Totaal particulier huishouden;3.2;32.6
1785;Boekel;Eenpersoonshuishouden;0.6;17.1
1786;Boekel;Meerpers. huishouden met minderj. kind.;1.2;35.0
1787;Boekel;Meerpers. huishouden z. minderj. kind.;1.4;37.0
1788;Boxmeer;Totaal particulier huishouden;11.2;32.2
1789;Boxmeer;Eenpersoonshuishouden;2.7;17.9
1790;Boxmeer;Meerpers. huishouden met minderj. kind.;3.5;36.6
1791;Boxmeer;Meerpers. huishouden z. minderj. kind.;4.9;36.9
1792;Boxtel;Totaal particulier huishouden;11.6;31.5
1793;Boxtel;Eenpersoonshuishouden;3.2;17.2
1794;Boxtel;Meerpers. huishouden met minderj. kind.;3.4;37.1
1795;Boxtel;Meerpers. huishouden z. minderj. kind.;5.0;36.9
1796;Breda;Totaal particulier huishouden;70.5;30.1
1797;Breda;Eenpersoonshuishouden;24.8;18.7
1798;Breda;Meerpers. huishouden met minderj. kind.;18.0;37.4
1799;Breda;Meerpers. huishouden z. minderj. kind.;27.7;35.7
1800;Deurne;Totaal particulier huishouden;11.9;32.1
1801;Deurne;Eenpersoonshuishouden;2.7;17.9
1802;Deurne;Meerpers. huishouden met minderj. kind.;3.7;37.1
1803;Deurne;Meerpers. huishouden z. minderj. kind.;5.5;35.6
1804;Pekela;Totaal particulier huishouden;5.5;26.2
1805;Pekela;Eenpersoonshuishouden;1.4;16.1
1806;Pekela;Meerpers. huishouden met minderj. kind.;1.6;30.4
1807;Pekela;Meerpers. huishouden z. minderj. kind.;2.5;29.1
1808;Dongen;Totaal particulier huishouden;9.7;32.2
1809;Dongen;Eenpersoonshuishouden;2.3;19.9
1810;Dongen;Meerpers. huishouden met minderj. kind.;3.1;37.1
1811;Dongen;Meerpers. huishouden z. minderj. kind.;4.4;35.2
1812;Eersel;Totaal particulier huishouden;6.7;35.1
1813;Eersel;Eenpersoonshuishouden;1.4;19.8
1814;Eersel;Meerpers. huishouden met minderj. kind.;2.2;39.4
1815;Eersel;Meerpers. huishouden z. minderj. kind.;3.1;39.0
1816;Eindhoven;Totaal particulier huishouden;92.6;28.1
1817;Eindhoven;Eenpersoonshuishouden;36.8;18.4
1818;Eindhoven;Meerpers. huishouden met minderj. kind.;21.1;34.8
1819;Eindhoven;Meerpers. huishouden z. minderj. kind.;34.8;34.3
1820;Etten-Leur;Totaal particulier huishouden;15.6;31.5
1821;Etten-Leur;Eenpersoonshuishouden;4.0;17.8
1822;Etten-Leur;Meerpers. huishouden met minderj. kind.;4.7;37.1
1823;Etten-Leur;Meerpers. huishouden z. minderj. kind.;6.9;35.6
1824;Geertruidenberg;Totaal particulier huishouden;8.4;31.8
1825;Geertruidenberg;Eenpersoonshuishouden;2.0;18.2
1826;Geertruidenberg;Meerpers. huishouden met minderj. kind.;2.5;35.3
1827;Geertruidenberg;Meerpers. huishouden z. minderj. kind.;3.9;36.5
1828;Geldrop;Totaal particulier huishouden;11.9;30.4
1829;Geldrop;Eenpersoonshuishouden;3.6;18.9
1830;Geldrop;Meerpers. huishouden met minderj. kind.;3.3;34.3
1831;Geldrop;Meerpers. huishouden z. minderj. kind.;5.0;36.1
1832;Gilze en Rijen;Totaal particulier huishouden;9.6;31.9
1833;Gilze en Rijen;Eenpersoonshuishouden;2.1;17.7
1834;Gilze en Rijen;Meerpers. huishouden met minderj. kind.;3.0;37.4
1835;Gilze en Rijen;Meerpers. huishouden z. minderj. kind.;4.4;34.9
1836;Goirle;Totaal particulier huishouden;8.7;34.0
1837;Goirle;Eenpersoonshuishouden;1.9;18.5
1838;Goirle;Meerpers. huishouden met minderj. kind.;2.7;39.2
1839;Goirle;Meerpers. huishouden z. minderj. kind.;4.1;38.0
1840;Grave;Totaal particulier huishouden;4.9;30.9
1841;Grave;Eenpersoonshuishouden;1.2;17.8
1842;Grave;Meerpers. huishouden met minderj. kind.;1.5;36.0
1843;Grave;Meerpers. huishouden z. minderj. kind.;2.2;34.8
1844;Haaren;Totaal particulier huishouden;5.0;34.4
1845;Haaren;Eenpersoonshuishouden;1.1;18.4
1846;Haaren;Meerpers. huishouden met minderj. kind.;1.6;38.9
1847;Haaren;Meerpers. huishouden z. minderj. kind.;2.3;38.6
1848;Helmond;Totaal particulier huishouden;35.3;28.6
1849;Helmond;Eenpersoonshuishouden;10.3;17.6
1850;Helmond;Meerpers. huishouden met minderj. kind.;10.5;33.0
1851;Helmond;Meerpers. huishouden z. minderj. kind.;14.6;33.2
1852;'s-Hertogenbosch;Totaal particulier huishouden;57.0;30.4
1853;'s-Hertogenbosch;Eenpersoonshuishouden;20.1;18.7
1854;'s-Hertogenbosch;Meerpers. huishouden met minderj. kind.;15.1;36.7
1855;'s-Hertogenbosch;Meerpers. huishouden z. minderj. kind.;21.8;36.8
1856;Heusden;Totaal particulier huishouden;16.2;33.3
1857;Heusden;Eenpersoonshuishouden;3.3;17.8
1858;Heusden;Meerpers. huishouden met minderj. kind.;5.5;38.3
1859;Heusden;Meerpers. huishouden z. minderj. kind.;7.4;36.5
1860;Hilvarenbeek;Totaal particulier huishouden;5.5;34.1
1861;Hilvarenbeek;Eenpersoonshuishouden;1.2;19.5
1862;Hilvarenbeek;Meerpers. huishouden met minderj. kind.;1.8;38.2
1863;Hilvarenbeek;Meerpers. huishouden z. minderj. kind.;2.5;37.9
1864;Lith;Totaal particulier huishouden;2.3;33.4
1865;Lith;Eenpersoonshuishouden;0.4;15.8
1866;Lith;Meerpers. huishouden met minderj. kind.;0.9;37.1
1867;Lith;Meerpers. huishouden z. minderj. kind.;1.0;36.8
1868;Loon op Zand;Totaal particulier huishouden;8.8;32.9
1869;Loon op Zand;Eenpersoonshuishouden;1.9;18.3
1870;Loon op Zand;Meerpers. huishouden met minderj. kind.;2.8;37.8
1871;Loon op Zand;Meerpers. huishouden z. minderj. kind.;4.0;36.3
1872;Mierlo;Totaal particulier huishouden;4.0;32.7
1873;Mierlo;Eenpersoonshuishouden;0.9;16.6
1874;Mierlo;Meerpers. huishouden met minderj. kind.;1.3;39.3
1875;Mierlo;Meerpers. huishouden z. minderj. kind.;1.7;36.3
1876;Mill en Sint Hubert;Totaal particulier huishouden;4.1;31.1
1877;Mill en Sint Hubert;Eenpersoonshuishouden;0.8;16.6
1878;Mill en Sint Hubert;Meerpers. huishouden met minderj. kind.;1.3;34.6
1879;Mill en Sint Hubert;Meerpers. huishouden z. minderj. kind.;2.0;34.8
1880;Nuenen, Gerwen en Nederwetten;Totaal particulier huishouden;9.0;37.1
1881;Nuenen, Gerwen en Nederwetten;Eenpersoonshuishouden;1.8;21.7
1882;Nuenen, Gerwen en Nederwetten;Meerpers. huishouden met minderj. kind.;2.9;41.4
1883;Nuenen, Gerwen en Nederwetten;Meerpers. huishouden z. minderj. kind.;4.3;40.7
1884;Oirschot;Totaal particulier huishouden;6.5;34.2
1885;Oirschot;Eenpersoonshuishouden;1.4;18.8
1886;Oirschot;Meerpers. huishouden met minderj. kind.;2.1;38.3
1887;Oirschot;Meerpers. huishouden z. minderj. kind.;3.0;38.7
1888;Oisterwijk;Totaal particulier huishouden;10.1;34.2
1889;Oisterwijk;Eenpersoonshuishouden;2.6;19.7
1890;Oisterwijk;Meerpers. huishouden met minderj. kind.;3.0;40.2
1891;Oisterwijk;Meerpers. huishouden z. minderj. kind.;4.5;38.6
1892;Oosterhout;Totaal particulier huishouden;21.8;31.6
1893;Oosterhout;Eenpersoonshuishouden;5.8;18.3
1894;Oosterhout;Meerpers. huishouden met minderj. kind.;6.4;37.5
1895;Oosterhout;Meerpers. huishouden z. minderj. kind.;9.5;35.7
1896;Oss;Totaal particulier huishouden;30.5;30.8
1897;Oss;Eenpersoonshuishouden;8.3;18.0
1898;Oss;Meerpers. huishouden met minderj. kind.;9.2;35.5
1899;Oss;Meerpers. huishouden z. minderj. kind.;13.0;35.6
1900;Rucphen;Totaal particulier huishouden;8.8;31.5
1901;Rucphen;Eenpersoonshuishouden;1.6;16.0
1902;Rucphen;Meerpers. huishouden met minderj. kind.;2.8;36.5
1903;Rucphen;Meerpers. huishouden z. minderj. kind.;4.5;34.1
1904;Schijndel;Totaal particulier huishouden;8.9;32.2
1905;Schijndel;Eenpersoonshuishouden;2.0;17.8
1906;Schijndel;Meerpers. huishouden met minderj. kind.;2.8;36.7
1907;Schijndel;Meerpers. huishouden z. minderj. kind.;4.1;36.2
1908;Sint-Michielsgestel;Totaal particulier huishouden;10.5;33.9
1909;Sint-Michielsgestel;Eenpersoonshuishouden;2.3;18.9
1910;Sint-Michielsgestel;Meerpers. huishouden met minderj. kind.;3.4;39.6
1911;Sint-Michielsgestel;Meerpers. huishouden z. minderj. kind.;4.8;37.3
1912;Sint-Oedenrode;Totaal particulier huishouden;6.4;33.0
1913;Sint-Oedenrode;Eenpersoonshuishouden;1.4;19.0
1914;Sint-Oedenrode;Meerpers. huishouden met minderj. kind.;2.0;37.9
1915;Sint-Oedenrode;Meerpers. huishouden z. minderj. kind.;3.0;36.1
1916;Someren;Totaal particulier huishouden;6.7;31.9
1917;Someren;Eenpersoonshuishouden;1.5;17.8
1918;Someren;Meerpers. huishouden met minderj. kind.;2.3;37.0
1919;Someren;Meerpers. huishouden z. minderj. kind.;2.9;34.9
1920;Son en Breugel;Totaal particulier huishouden;6.1;35.1
1921;Son en Breugel;Eenpersoonshuishouden;1.4;20.6
1922;Son en Breugel;Meerpers. huishouden met minderj. kind.;1.8;38.0
1923;Son en Breugel;Meerpers. huishouden z. minderj. kind.;2.9;40.4
1924;Steenbergen;Totaal particulier huishouden;9.3;31.4
1925;Steenbergen;Eenpersoonshuishouden;2.1;17.5
1926;Steenbergen;Meerpers. huishouden met minderj. kind.;2.8;37.4
1927;Steenbergen;Meerpers. huishouden z. minderj. kind.;4.5;34.2
1928;Waterland;Totaal particulier huishouden;7.0;36.0
1929;Waterland;Eenpersoonshuishouden;1.9;19.8
1930;Waterland;Meerpers. huishouden met minderj. kind.;2.0;43.3
1931;Waterland;Meerpers. huishouden z. minderj. kind.;3.1;41.0
1932;Tilburg;Totaal particulier huishouden;82.3;28.5
1933;Tilburg;Eenpersoonshuishouden;28.5;17.6
1934;Tilburg;Meerpers. huishouden met minderj. kind.;21.8;34.4
1935;Tilburg;Meerpers. huishouden z. minderj. kind.;32.1;34.0
1936;Uden;Totaal particulier huishouden;16.1;31.5
1937;Uden;Eenpersoonshuishouden;4.4;18.0
1938;Uden;Meerpers. huishouden met minderj. kind.;4.8;36.7
1939;Uden;Meerpers. huishouden z. minderj. kind.;6.9;36.6
1940;Valkenswaard;Totaal particulier huishouden;13.1;30.4
1941;Valkenswaard;Eenpersoonshuishouden;3.7;17.6
1942;Valkenswaard;Meerpers. huishouden met minderj. kind.;3.4;37.0
1943;Valkenswaard;Meerpers. huishouden z. minderj. kind.;6.0;34.6
1944;Veghel;Totaal particulier huishouden;13.5;33.0
1945;Veghel;Eenpersoonshuishouden;3.1;18.7
1946;Veghel;Meerpers. huishouden met minderj. kind.;4.5;37.8
1947;Veghel;Meerpers. huishouden z. minderj. kind.;5.8;36.9
1948;Veldhoven;Totaal particulier huishouden;17.1;32.2
1949;Veldhoven;Eenpersoonshuishouden;4.5;18.5
1950;Veldhoven;Meerpers. huishouden met minderj. kind.;5.1;38.3
1951;Veldhoven;Meerpers. huishouden z. minderj. kind.;7.5;36.3
1952;Vught;Totaal particulier huishouden;10.1;34.6
1953;Vught;Eenpersoonshuishouden;3.1;21.4
1954;Vught;Meerpers. huishouden met minderj. kind.;3.0;41.0
1955;Vught;Meerpers. huishouden z. minderj. kind.;4.1;39.9
1956;Waalre;Totaal particulier huishouden;6.7;36.1
1957;Waalre;Eenpersoonshuishouden;1.8;21.8
1958;Waalre;Meerpers. huishouden met minderj. kind.;1.9;42.3
1959;Waalre;Meerpers. huishouden z. minderj. kind.;3.0;40.8
1960;Waalwijk;Totaal particulier huishouden;18.3;31.2
1961;Waalwijk;Eenpersoonshuishouden;4.6;17.4
1962;Waalwijk;Meerpers. huishouden met minderj. kind.;5.3;36.0
1963;Waalwijk;Meerpers. huishouden z. minderj. kind.;8.4;35.8
1964;Werkendam;Totaal particulier huishouden;9.7;33.4
1965;Werkendam;Eenpersoonshuishouden;2.0;17.1
1966;Werkendam;Meerpers. huishouden met minderj. kind.;3.3;37.8
1967;Werkendam;Meerpers. huishouden z. minderj. kind.;4.4;37.6
1968;Woensdrecht;Totaal particulier huishouden;8.6;31.0
1969;Woensdrecht;Eenpersoonshuishouden;1.9;16.7
1970;Woensdrecht;Meerpers. huishouden met minderj. kind.;2.5;35.4
1971;Woensdrecht;Meerpers. huishouden z. minderj. kind.;4.2;34.9
1972;Woudrichem;Totaal particulier huishouden;5.3;33.6
1973;Woudrichem;Eenpersoonshuishouden;1.1;17.9
1974;Woudrichem;Meerpers. huishouden met minderj. kind.;1.7;37.9
1975;Woudrichem;Meerpers. huishouden z. minderj. kind.;2.4;37.7
1976;Zundert;Totaal particulier huishouden;7.8;32.4
1977;Zundert;Eenpersoonshuishouden;1.8;17.8
1978;Zundert;Meerpers. huishouden met minderj. kind.;2.3;38.8
1979;Zundert;Meerpers. huishouden z. minderj. kind.;3.7;35.5
1980;Wormerland;Totaal particulier huishouden;6.2;33.0
1981;Wormerland;Eenpersoonshuishouden;1.6;18.8
1982;Wormerland;Meerpers. huishouden met minderj. kind.;1.9;39.8
1983;Wormerland;Meerpers. huishouden z. minderj. kind.;2.7;36.6
1984;Onderbanken;Totaal particulier huishouden;3.3;29.8
1985;Onderbanken;Eenpersoonshuishouden;0.7;17.2
1986;Onderbanken;Meerpers. huishouden met minderj. kind.;1.0;34.5
1987;Onderbanken;Meerpers. huishouden z. minderj. kind.;1.6;32.6
1988;Landgraaf;Totaal particulier huishouden;16.9;28.4
1989;Landgraaf;Eenpersoonshuishouden;4.6;17.0
1990;Landgraaf;Meerpers. huishouden met minderj. kind.;4.6;33.7
1991;Landgraaf;Meerpers. huishouden z. minderj. kind.;7.7;32.1
1992;Arcen en Velden;Totaal particulier huishouden;3.4;32.7
1993;Arcen en Velden;Eenpersoonshuishouden;0.7;18.5
1994;Arcen en Velden;Meerpers. huishouden met minderj. kind.;1.1;34.8
1995;Arcen en Velden;Meerpers. huishouden z. minderj. kind.;1.6;37.9
1996;Beek (L.);Totaal particulier huishouden;7.0;31.4
1997;Beek (L.);Eenpersoonshuishouden;1.8;18.2
1998;Beek (L.);Meerpers. huishouden met minderj. kind.;2.1;37.8
1999;Beek (L.);Meerpers. huishouden z. minderj. kind.;3.2;34.9
2000;Beesel;Totaal particulier huishouden;5.3;30.4
2001;Beesel;Eenpersoonshuishouden;1.2;17.2
2002;Beesel;Meerpers. huishouden met minderj. kind.;1.7;35.1
2003;Beesel;Meerpers. huishouden z. minderj. kind.;2.4;33.7
2004;Bergen (L.);Totaal particulier huishouden;5.1;31.2
2005;Bergen (L.);Eenpersoonshuishouden;1.2;16.8
2006;Bergen (L.);Meerpers. huishouden met minderj. kind.;1.6;36.2
2007;Bergen (L.);Meerpers. huishouden z. minderj. kind.;2.4;35.0
2008;Brunssum;Totaal particulier huishouden;13.2;26.7
2009;Brunssum;Eenpersoonshuishouden;4.1;16.5
2010;Brunssum;Meerpers. huishouden met minderj. kind.;3.5;32.5
2011;Brunssum;Meerpers. huishouden z. minderj. kind.;5.5;30.7
2012;Eijsden;Totaal particulier huishouden;4.5;33.3
2013;Eijsden;Eenpersoonshuishouden;0.9;18.2
2014;Eijsden;Meerpers. huishouden met minderj. kind.;1.6;38.8
2015;Eijsden;Meerpers. huishouden z. minderj. kind.;2.0;35.7
2016;Gennep;Totaal particulier huishouden;6.4;30.7
2017;Gennep;Eenpersoonshuishouden;1.7;17.4
2018;Gennep;Meerpers. huishouden met minderj. kind.;1.9;35.9
2019;Gennep;Meerpers. huishouden z. minderj. kind.;2.8;35.1
2020;Haelen;Totaal particulier huishouden;3.9;32.7
2021;Haelen;Eenpersoonshuishouden;0.9;17.6
2022;Haelen;Meerpers. huishouden met minderj. kind.;1.1;38.4
