ID;SectorBranchesSIC2008;Margins;SeasonalAdjustment;Periods;TurnoverLast3Months_1;TurnoverNext3Months_2;SellingPricesRatesNext3Months_3;PurchaseOrdersNext3Months_4;WorkforceLast3Months_5;WorkforceNext3Months_6;InvestmentsCurrentYear_7;BusinessClimateLast3Months_8;BusinessClimateNext3Months_9;ProfitabilityLast3Months_10
9253;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2014 August;33.1;3.4;4.6;-5.7;;5.3;;;9.6;
9254;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2014 September;2.1;35.8;13.4;16.9;;4.5;;;15.8;
9255;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2014 October;-2.2;44.5;6.2;25.4;11.3;9.5;17.9;0.5;12.7;-2.2
9256;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2014 November;1.1;41.9;2.9;25.9;;7.2;;;6.2;
9257;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2014 December;20.4;27.4;1.7;14.4;;6.5;;;3.3;
9258;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2015 January;49.8;-20.0;-2.6;-11.4;11.0;-2.2;10.8;9.9;14.1;8.5
9259;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2015 February;32.9;-4.2;3.9;6.5;;4.4;;;4.5;
9260;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2015 March;14.5;29.0;10.4;19.9;;13.0;;;21.0;
9261;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2015 April;14.9;46.4;6.9;27.8;10.3;9.6;11.5;4.1;14.0;-1.7
9262;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2015 May;7.4;45.0;2.1;20.0;;11.0;;;19.5;
9263;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2015 June;25.7;5.4;3.8;4.6;;8.6;;;9.3;
9264;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2015 July;47.6;-5.4;2.0;-0.2;12.4;7.2;6.5;16.7;12.4;18.0
9265;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2015 August;31.5;6.7;16.9;2.2;;1.9;;;14.4;
9266;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2015 September;18.2;25.8;14.7;7.3;;9.1;;;15.4;
9267;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2015 October;0.9;44.0;15.7;20.3;7.1;11.6;17.7;18.8;18.7;16.1
9268;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2015 November;26.5;48.8;7.8;24.9;;8.0;;;20.8;
9269;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2015 December;28.8;26.9;3.1;14.8;;5.5;;;18.9;
9270;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2016 January;48.6;-4.2;7.2;6.7;15.5;4.0;13.9;15.6;10.7;14.3
9271;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2016 February;38.8;3.4;7.6;10.8;;6.7;;;14.2;
9272;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2016 March;21.5;25.3;8.8;15.3;;8.1;;;11.8;
9273;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2016 April;2.6;36.2;9.3;15.9;9.0;10.1;12.6;15.2;20.2;6.4
9274;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2016 May;12.4;31.6;1.9;14.4;;11.8;;;15.5;
9275;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2016 June;28.1;10.2;-1.1;5.7;;8.6;;;8.6;
9276;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2016 July;30.2;10.9;-0.6;9.8;10.3;4.6;12.8;12.2;10.3;16.1
9277;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2016 August;39.8;18.6;3.8;16.0;;9.4;;;6.0;
9278;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2016 September;18.1;26.2;7.5;18.7;;10.7;;;6.1;
9279;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2016 October;5.2;40.2;6.8;32.2;14.1;8.6;14.2;12.8;10.8;7.8
9280;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2016 November;11.3;41.3;10.1;29.9;;12.0;;;15.8;
9281;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2016 December;28.3;33.5;1.4;29.2;;11.5;;;15.3;
9282;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2017 January;56.5;-3.1;4.0;6.0;15.6;7.6;17.6;22.1;18.6;21.3
9283;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2017 February;47.5;8.1;8.0;10.1;;7.3;;;13.5;
9284;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2017 March;29.9;27.9;8.7;15.6;;12.8;;;13.3;
9285;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2017 April;12.5;40.3;6.7;24.9;12.0;16.5;28.6;19.9;17.5;10.6
9286;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2017 May;14.2;44.7;5.4;25.1;;15.6;;;12.1;
9287;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2017 June;42.7;14.5;2.0;10.9;;11.8;;;13.4;
9288;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2017 July;47.8;11.7;0.5;9.5;18.3;13.7;21.3;14.7;13.4;17.2
9289;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2017 August;37.3;17.8;8.5;20.3;;13.2;;;10.7;
9290;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2017 September;14.5;40.9;8.9;28.6;;11.6;;;12.2;
9291;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2017 October;15.8;43.6;3.8;27.4;13.2;14.2;23.0;17.4;20.5;8.6
9292;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2017 November;10.1;35.4;0.1;30.5;;13.6;;;10.2;
9293;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2017 December;35.6;30.0;0.9;24.3;;11.3;;;10.5;
9294;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2018 January;45.9;10.6;6.7;12.6;25.5;13.4;22.0;19.6;10.8;15.3
9295;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2018 February;30.3;16.3;7.0;15.3;;11.0;;;11.4;
9296;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2018 March;27.1;26.0;4.8;19.9;;15.1;;;12.8;
9297;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2018 April;-6.2;41.4;7.3;29.8;12.0;20.9;18.5;10.1;12.9;1.7
9298;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2018 May;9.7;31.7;4.1;20.6;;18.4;;;11.6;
9299;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2018 June;30.7;4.6;2.6;8.9;;11.6;;;10.3;
9300;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2018 July;35.2;5.0;0.4;6.1;20.2;16.4;20.3;14.8;8.4;10.4
9301;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2018 August;39.1;10.7;7.6;10.6;;11.8;;;8.6;
9302;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2018 September;16.5;40.4;7.7;21.0;;19.0;;;13.5;
9303;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2018 October;10.4;46.8;10.7;27.6;14.8;25.2;25.3;14.9;15.5;7.3
9304;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2018 November;4.2;42.8;11.6;27.0;;16.4;;;8.3;
9305;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2018 December;32.2;31.0;25.6;19.4;;13.9;;;6.6;
9306;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2019 January;39.0;10.6;34.7;6.0;15.1;9.4;12.0;5.6;1.6;4.8
9307;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2019 February;37.1;10.5;20.8;13.9;;13.6;;;5.6;
9308;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2019 March;23.2;31.0;15.8;19.2;;18.0;;;6.2;
9309;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2019 April;-0.8;43.2;7.2;27.6;12.6;22.3;19.9;3.2;6.3;1.8
9310;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2019 May;24.0;24.5;3.5;18.0;;15.4;;;7.7;
9311;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2019 June;30.4;7.5;3.8;-0.4;;11.8;;;5.2;
9312;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2019 July;45.5;2.8;2.6;5.4;14.9;14.0;17.7;9.8;5.7;12.9
9313;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2019 August;38.7;7.0;7.7;3.8;;8.1;;;8.2;
9314;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2019 September;10.0;34.8;8.2;25.1;;10.9;;;6.2;
9315;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2019 October;13.6;34.0;8.0;20.9;9.0;14.4;10.0;1.2;5.8;3.6
9316;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2019 November;7.4;37.9;9.6;19.5;;12.1;;;6.3;
9317;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2019 December;23.9;19.5;11.5;8.7;;10.1;;;5.1;
9318;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2020 January;41.1;-4.7;10.4;8.8;10.8;9.3;13.7;12.9;5.9;9.6
9319;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2020 February;32.8;8.0;12.9;11.7;;15.3;;;5.9;
9320;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2020 March;19.0;14.7;12.0;13.8;;8.4;;;-6.9;
9321;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2020 April;8.5;-16.4;0.8;-19.6;1.9;-5.0;-13.9;-7.7;-29.1;-12.9
9322;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2020 May;12.2;-3.5;2.2;-4.3;;-6.7;;;-6.3;
9323;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2020 June;19.0;13.4;4.4;4.3;;3.3;;;13.0;
9324;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2020 July;31.8;4.1;0.4;2.5;-1.0;1.1;-6.1;11.0;7.5;2.9
9325;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2020 August;35.9;11.3;1.5;13.3;;7.6;;;11.6;
9326;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2020 September;21.2;34.2;5.4;24.3;;10.1;;;4.5;
9327;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2020 October;5.5;24.6;3.2;18.7;-0.1;2.9;3.2;15.4;-1.2;14.9
9328;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2020 November;-1.2;21.3;0.7;15.8;;7.4;;;-6.1;
9329;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2020 December;6.5;16.5;2.6;6.7;;5.7;;;-2.0;
9330;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2021 January;24.5;-29.4;4.2;-16.0;11.7;6.0;7.2;0.5;-7.7;-0.3
9331;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2021 February;11.9;-18.8;5.8;-15.6;;1.6;;;-3.1;
9332;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2021 March;0.0;7.0;5.6;4.3;;8.7;;;6.2;
9333;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2021 April;-8.0;31.4;8.5;20.5;0.7;9.5;11.3;-11.7;16.8;-17.9
9334;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2021 May;-4.9;33.8;9.0;22.0;;9.8;;;27.9;
9335;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2021 June;21.7;31.4;12.6;22.1;;16.3;;;26.6;
9336;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2021 July;36.5;0.4;20.8;9.6;15.0;15.8;24.2;19.3;10.7;17.9
9337;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2021 August;15.9;12.0;15.4;13.2;;18.7;;;9.7;
9338;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2021 September;5.5;30.9;23.3;25.9;;31.2;;;12.6;
9339;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2021 October;-2.2;32.6;40.1;35.3;15.9;21.2;15.2;11.1;12.1;9.0
9340;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2021 November;2.4;31.4;43.1;22.0;;13.7;;;8.5;
9341;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2021 December;30.5;20.0;39.9;18.5;;5.5;;;-2.3;
9342;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2022 January;33.2;-33.4;40.4;-3.8;16.9;0.9;6.3;11.6;-6.7;2.7
9343;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2022 February;25.5;5.0;53.3;9.2;;9.5;;;11.7;
9344;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2022 March;9.5;19.7;59.4;14.9;;9.9;;;-2.0;
9345;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2022 April;-11.9;44.9;64.8;37.1;3.7;21.7;9.6;-7.9;-1.3;-7.6
9346;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2022 May;2.5;23.3;59.9;25.6;;17.3;;;-4.3;
9347;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2022 June;23.7;-4.9;40.9;-4.8;;15.8;;;-7.3;
9348;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2022 July;43.2;-13.2;56.3;10.2;0.9;6.0;6.7;-9.6;-10.9;-2.9
9349;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2022 August;48.8;5.3;58.1;15.5;;9.4;;;-11.2;
9350;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2022 September;8.3;29.1;58.3;29.5;;3.3;;;-18.6;
9351;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2022 October;-4.5;33.3;68.1;23.9;2.4;8.5;-8.1;-17.4;-26.1;-25.8
9352;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2022 November;7.5;36.2;56.5;26.2;;5.0;;;-15.2;
9353;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2022 December;25.7;31.8;59.3;24.6;;-1.6;;;-27.7;
9354;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2023 January;45.6;-24.9;56.7;-10.3;3.2;-1.4;-0.9;-18.3;-19.4;-14.3
9355;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2023 February;25.2;0.9;52.5;23.2;;-0.6;;;-3.4;
9356;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2023 March;28.7;20.8;40.3;19.7;;2.8;;;0.3;
9357;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2023 April;10.2;30.8;33.8;13.0;-4.7;8.1;6.6;-6.5;-0.1;-8.6
9358;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2023 May;14.1;27.9;32.9;14.8;;8.8;;-7.7;-0.4;
9359;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2023 June;30.1;22.4;21.9;7.0;;4.7;;2.2;-4.7;
9360;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2023 July;47.9;-3.2;15.6;0.5;3.4;6.5;2.9;0.0;-3.9;7.7
9361;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2023 August;38.3;1.3;15.5;2.8;;6.1;;1.1;-4.2;
9362;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2023 September;-3.3;32.4;16.1;26.2;;0.2;;-6.1;-4.5;
9363;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2023 October;-1.9;43.9;27.1;31.3;-7.7;1.3;35.7;-9.3;-0.1;-12.4
9364;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2023 November;-1.5;42.3;13.2;26.2;;5.6;;-7.1;0.9;
9365;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2023 December;26.3;0.5;17.3;-12.0;;-0.7;;-5.2;-4.5;
9366;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2024 January;41.5;-29.5;15.3;-16.6;6.3;1.8;15.0;-4.4;-4.9;-4.3
9367;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2024 February;35.0;2.9;14.3;3.0;;3.5;;-4.7;-1.4;
9368;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2024 March;3.4;9.8;12.7;7.1;;6.1;;-6.3;-2.1;
9369;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2024 April;-1.3;26.5;10.5;15.3;-0.6;5.8;-1.3;-12.0;4.5;-17.4
9370;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2024 May;-9.3;16.1;7.8;5.9;;1.5;;-4.3;0.4;
9371;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2024 June;11.1;-8.7;7.3;-12.3;;1.8;;-0.6;0.0;
9372;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2024 July;37.1;-21.7;6.0;-17.3;-1.5;0.1;5.8;-2.8;-4.1;6.4
9373;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2024 August;25.8;-13.8;9.0;-10.8;;4.1;;-3.0;-4.8;
9374;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2024 September;-22.4;26.9;8.3;23.9;;1.3;;-4.7;-1.9;
9375;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2024 October;-20.9;36.4;13.9;29.5;-1.6;0.9;7.9;-4.4;4.0;-4.2
9376;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2024 November;-2.6;37.0;7.4;28.2;;-2.5;;-5.1;-1.8;
9377;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2024 December;10.8;32.6;10.4;23.6;;0.9;;-2.6;-0.5;
9378;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2025 January;44.3;-32.7;22.6;-17.1;-3.9;0.6;3.5;-5.9;-6.2;4.0
9379;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2025 February;35.1;-2.3;23.7;7.1;;9.5;;-6.9;-2.1;
9380;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Original, unadjusted data;2025 March;18.5;23.1;13.6;23.7;;3.7;;-7.3;-1.8;
9381;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Seasonally adjusted data;2012 January;;;;;;;;;;
9382;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Seasonally adjusted data;2012 February;;;;;;;;;;
9383;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Seasonally adjusted data;2012 March;;;;;;;;;;
9384;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Seasonally adjusted data;2012 April;;;;;;;;;;
9385;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Seasonally adjusted data;2012 May;;;;;;;;;;
9386;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Seasonally adjusted data;2012 June;;;;;;;;;;
9387;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Seasonally adjusted data;2012 July;;;;;;;;;;
9388;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Seasonally adjusted data;2012 August;;;;;;;;;;
9389;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Seasonally adjusted data;2012 September;;;;;;;;;;
9390;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Seasonally adjusted data;2012 October;;;;;;;;;;
9391;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Seasonally adjusted data;2012 November;;;;;;;;;;
9392;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Seasonally adjusted data;2012 December;;;;;;;;;;
9393;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Seasonally adjusted data;2013 January;;;;;;;;;;
9394;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Seasonally adjusted data;2013 February;;;;;;;;;;
9395;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Seasonally adjusted data;2013 March;;;;;;;;;;
9396;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Seasonally adjusted data;2013 April;;;;;;;;;;
9397;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Seasonally adjusted data;2013 May;;;;;;;;;;
9398;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Seasonally adjusted data;2013 June;;;;;;;;;;
9399;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Seasonally adjusted data;2013 July;;;;;;;;;;
9400;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Seasonally adjusted data;2013 August;;;;;;;;;;
9401;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Seasonally adjusted data;2013 September;;;;;;;;;;
9402;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Seasonally adjusted data;2013 October;;;;;;;;;;
9403;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Seasonally adjusted data;2013 November;;;;;;;;;;
9404;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Seasonally adjusted data;2013 December;;;;;;;;;;
9405;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Seasonally adjusted data;2014 January;5.3;16.6;4.7;-3.2;0.7;0.7;6.2;-2.1;7.7;0.1
9406;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Seasonally adjusted data;2014 February;12.4;9.8;-1.2;0.3;;-1.7;;;7.7;
9407;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Seasonally adjusted data;2014 March;19.4;16.3;4.5;6.6;;-0.5;;;14.9;
9408;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Seasonally adjusted data;2014 April;23.7;16.3;5.5;7.5;10.2;-0.9;8.0;15.3;16.1;9.2
9409;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Seasonally adjusted data;2014 May;19.2;15.7;-1.1;3.3;;0.0;;;11.0;
9410;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Seasonally adjusted data;2014 June;15.0;19.3;-1.1;12.1;;2.3;;;12.6;
9411;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Seasonally adjusted data;2014 July;15.4;21.4;-0.8;10.2;10.6;5.6;-3.1;2.4;11.1;-2.4
9412;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Seasonally adjusted data;2014 August;20.6;16.1;1.7;2.4;;5.6;;;10.3;
9413;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Seasonally adjusted data;2014 September;11.0;23.9;9.2;9.8;;3.2;;;13.8;
9414;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Seasonally adjusted data;2014 October;18.5;25.4;4.7;15.4;11.3;7.5;17.9;-1.6;10.8;-1.5
9415;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Seasonally adjusted data;2014 November;17.9;24.3;4.2;17.0;;7.4;;;5.8;
9416;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Seasonally adjusted data;2014 December;16.5;22.3;4.6;13.5;;8.5;;;4.7;
9417;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Seasonally adjusted data;2015 January;27.5;4.9;-4.1;0.6;9.3;1.2;10.8;10.6;16.2;5.0
9418;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Seasonally adjusted data;2015 February;21.0;15.0;2.1;13.0;;8.1;;;6.7;
9419;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Seasonally adjusted data;2015 March;15.8;24.0;6.5;17.1;;12.4;;;21.2;
9420;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Seasonally adjusted data;2015 April;34.5;26.1;4.2;15.3;12.3;6.3;11.5;5.1;10.4;3.8
9421;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Seasonally adjusted data;2015 May;17.7;32.6;5.3;16.5;;8.5;;;19.7;
9422;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Seasonally adjusted data;2015 June;19.9;19.7;8.1;12.3;;8.9;;;9.8;
9423;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Seasonally adjusted data;2015 July;27.2;15.2;8.4;12.1;12.1;6.9;6.5;15.8;13.0;15.1
9424;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Seasonally adjusted data;2015 August;18.4;18.9;14.4;9.1;;2.1;;;15.0;
9425;47 Retail trade (not in motor vehicles);Upper bound 95% confidence interval;Seasonally adjusted data;2015 September;27.3;13.8;11.0;1.0;;8.1;;;13.7;
