ID;Persoonskenmerken;Cijfersoort;Perioden;VertrouwenInAndereMensen_1;Kerken_2;Leger_3;Rechters_4;Pers_5;Politie_6;TweedeKamer_7;Ambtenaren_8;Banken_9;GroteBedrijven_10;EuropeseUnie_11
108;Leeftijd: 15 tot 25 jaar;Ondergrens 95%-interval;2020;58.6;33.6;81.0;83.0;34.2;78.5;65.2;59.6;66.0;53.1;70.9
109;Leeftijd: 15 tot 25 jaar;Ondergrens 95%-interval;2021;63.8;32.5;82.3;84.6;39.7;78.6;49.2;60.4;68.8;49.6;73.0
110;Leeftijd: 15 tot 25 jaar;Bovengrens 95%-interval;2012;61.9;40.9;77.4;81.1;34.1;71.5;49.9;58.4;60.5;67.2;60.3
111;Leeftijd: 15 tot 25 jaar;Bovengrens 95%-interval;2013;63.5;36.4;79.7;82.6;33.4;72.1;44.4;56.6;52.4;64.2;58.1
112;Leeftijd: 15 tot 25 jaar;Bovengrens 95%-interval;2014;63.4;35.7;79.8;82.0;32.9;72.7;47.4;55.8;58.1;63.2;59.5
113;Leeftijd: 15 tot 25 jaar;Bovengrens 95%-interval;2015;64.9;34.3;76.9;81.0;28.8;73.2;46.3;54.2;55.5;60.3;57.6
114;Leeftijd: 15 tot 25 jaar;Bovengrens 95%-interval;2016;63.8;33.9;79.9;83.6;29.4;76.3;50.5;56.3;60.2;60.3;60.2
115;Leeftijd: 15 tot 25 jaar;Bovengrens 95%-interval;2017;66.3;35.2;79.6;85.7;30.7;81.4;57.5;60.0;61.6;60.9;69.5
116;Leeftijd: 15 tot 25 jaar;Bovengrens 95%-interval;2018;66.9;38.4;78.9;82.8;35.6;81.6;58.6;61.0;69.0;61.3;74.2
117;Leeftijd: 15 tot 25 jaar;Bovengrens 95%-interval;2019;63.2;38.8;81.0;83.7;34.8;82.5;53.9;62.7;65.7;57.8;72.5
118;Leeftijd: 15 tot 25 jaar;Bovengrens 95%-interval;2020;64.4;39.8;85.8;87.4;40.0;83.3;71.0;65.4;71.4;58.9;76.3
119;Leeftijd: 15 tot 25 jaar;Bovengrens 95%-interval;2021;70.0;39.1;87.1;89.0;46.3;83.6;55.8;67.0;74.6;56.2;78.8
120;Leeftijd: 25 tot 35 jaar;Waarde;2012;63.2;33.1;70.0;79.2;33.4;67.8;39.4;47.0;46.5;54.0;43.6
121;Leeftijd: 25 tot 35 jaar;Waarde;2013;63.0;27.6;70.5;79.8;29.8;69.6;37.1;44.7;37.9;42.8;39.9
122;Leeftijd: 25 tot 35 jaar;Waarde;2014;62.6;30.7;71.7;78.2;32.2;65.9;36.6;43.5;43.1;46.6;41.2
123;Leeftijd: 25 tot 35 jaar;Waarde;2015;64.3;31.3;73.8;78.9;28.9;71.5;35.7;45.2;39.0;46.3;43.3
124;Leeftijd: 25 tot 35 jaar;Waarde;2016;67.4;31.2;73.7;78.5;27.5;71.8;39.9;46.9;44.2;45.1;40.8
125;Leeftijd: 25 tot 35 jaar;Waarde;2017;64.9;30.5;71.2;81.0;26.9;79.0;43.3;50.5;44.0;45.7;50.5
126;Leeftijd: 25 tot 35 jaar;Waarde;2018;66.6;29.4;73.8;81.4;32.8;78.8;46.4;50.7;50.4;49.0;55.8
127;Leeftijd: 25 tot 35 jaar;Waarde;2019;65.8;30.0;73.9;83.2;36.1;77.9;46.7;52.0;46.0;45.9;55.5
128;Leeftijd: 25 tot 35 jaar;Waarde;2020;69.3;30.0;79.5;84.0;36.8;79.4;57.6;56.7;49.1;41.2;59.7
129;Leeftijd: 25 tot 35 jaar;Waarde;2021;69.8;30.8;77.3;83.3;47.0;77.7;43.9;52.8;51.6;45.5;64.6
130;Leeftijd: 25 tot 35 jaar;Ondergrens 95%-interval;2012;60.4;30.2;67.2;76.8;30.6;65.0;36.4;44.0;43.6;51.0;40.7
131;Leeftijd: 25 tot 35 jaar;Ondergrens 95%-interval;2013;60.1;24.8;67.7;77.4;26.9;66.8;34.2;41.6;35.0;39.8;36.9
132;Leeftijd: 25 tot 35 jaar;Ondergrens 95%-interval;2014;59.6;27.8;68.9;75.6;29.3;63.0;33.7;40.4;40.1;43.6;38.2
133;Leeftijd: 25 tot 35 jaar;Ondergrens 95%-interval;2015;61.4;28.3;71.1;76.4;26.1;68.8;32.8;42.1;36.0;43.3;40.3
134;Leeftijd: 25 tot 35 jaar;Ondergrens 95%-interval;2016;64.5;28.2;71.0;76.0;24.7;69.1;36.9;43.8;41.1;41.9;37.7
