ID;Sectoren;Milieudomeinen;Perioden;TotaleAanbodMilieudiensten_1;Productie_2;IntermediaireConsumptie_3;Import_4;Export_5;BelastingSubsidies_6;TotaleVerbruikMilieudiensten_7;FinaleBestedingen_8;Investeringen_9;BetaaldeOverdrachten_10;OntvangenOverdrachten_11;BetalingenBuitenland_12;OntvangstenBuitenland_13;UitgavenMilieubescherming_14
224;"Overheid; markt";Bodem, grond- en oppervlaktewater;2021;32;32.0;;;;;;;;;;;;
225;"Overheid; markt";Geluid;2013    ;13;13.0;;;;;;;;;;;;
226;"Overheid; markt";Geluid;2014    ;14;14.0;;;;;;;;;;;;
227;"Overheid; markt";Geluid;2015    ;16;16.0;;;;;;;;;;;;
228;"Overheid; markt";Geluid;2016    ;13;13.0;;;;;;;;;;;;
229;"Overheid; markt";Geluid;2017    ;14;14.0;;;;;;;;;;;;
230;"Overheid; markt";Geluid;2018    ;11;11.0;;;;;;;;;;;;
231;"Overheid; markt";Geluid;2019;8;8.0;;;;;;;;;;;;
232;"Overheid; markt";Geluid;2020;9;9.0;;;;;;;;;;;;
233;"Overheid; markt";Geluid;2021;8;8.0;;;;;;;;;;;;
234;"Overheid; markt";Natuur en landschap;2013    ;82;82.0;;;;;;;;;;;;
235;"Overheid; markt";Natuur en landschap;2014    ;101;101.0;;;;;;;;;;;;
236;"Overheid; markt";Natuur en landschap;2015    ;91;91.0;;;;;;;;;;;;
237;"Overheid; markt";Natuur en landschap;2016    ;182;182.0;;;;;;;;;;;;
238;"Overheid; markt";Natuur en landschap;2017    ;237;237.0;;;;;;;;;;;;
239;"Overheid; markt";Natuur en landschap;2018    ;255;255.0;;;;;;;;;;;;
240;"Overheid; markt";Natuur en landschap;2019;266;266.0;;;;;;;;;;;;
241;"Overheid; markt";Natuur en landschap;2020;239;239.0;;;;;;;;;;;;
242;"Overheid; markt";Natuur en landschap;2021;250;250.0;;;;;;;;;;;;
243;"Overheid; markt";Straling;2013    ;0;0.0;;;;;;;;;;;;
244;"Overheid; markt";Straling;2014    ;0;0.0;;;;;;;;;;;;
245;"Overheid; markt";Straling;2015    ;0;0.0;;;;;;;;;;;;
246;"Overheid; markt";Straling;2016    ;0;0.0;;;;;;;;;;;;
247;"Overheid; markt";Straling;2017    ;0;0.0;;;;;;;;;;;;
248;"Overheid; markt";Straling;2018    ;0;0.0;;;;;;;;;;;;
249;"Overheid; markt";Straling;2019;0;0.0;;;;;;;;;;;;
250;"Overheid; markt";Straling;2020;0;0.0;;;;;;;;;;;;
251;"Overheid; markt";Straling;2021;0;0.0;;;;;;;;;;;;
252;"Overheid; markt";Milieu onderzoek;2013    ;1;1.0;;;;;;;;;;;;
253;"Overheid; markt";Milieu onderzoek;2014    ;0;0.0;;;;;;;;;;;;
254;"Overheid; markt";Milieu onderzoek;2015    ;0;;;;;;;;;;;;;
255;"Overheid; markt";Milieu onderzoek;2016    ;1;;;;;;;;;;;;;
256;"Overheid; markt";Milieu onderzoek;2017    ;0;;;;;;;;;;;;;
257;"Overheid; markt";Milieu onderzoek;2018    ;0;;;;;;;;;;;;;
258;"Overheid; markt";Milieu onderzoek;2019;0;;;;;;;;;;;;;
