ID;Sex;Age;CountryOfBirth;CaribbeanNetherlands;Periods;Immigration_1;EmigrationIncludingAdministrative_2;NetMigrationIncludingAdministrativ_3
7661;Total male and female;10 to 14 years;Ecuador;Bonaire;2015;0;0;0
7662;Total male and female;10 to 14 years;Ecuador;Bonaire;2016;0;0;0
7663;Total male and female;10 to 14 years;Ecuador;Bonaire;2017;0;0;0
7664;Total male and female;10 to 14 years;Ecuador;Bonaire;2018;0;0;0
7665;Total male and female;10 to 14 years;Ecuador;Bonaire;2019;1;0;1
7666;Total male and female;10 to 14 years;Ecuador;Bonaire;2020;0;0;0
7667;Total male and female;10 to 14 years;Ecuador;Bonaire;2021;1;1;0
7668;Total male and female;10 to 14 years;Ecuador;Bonaire;2022;1;0;1
7669;Total male and female;10 to 14 years;Ecuador;Bonaire;2023;2;0;2
7670;Total male and female;10 to 14 years;Ecuador;St Eustatius;2011;0;0;0
7671;Total male and female;10 to 14 years;Ecuador;St Eustatius;2012;0;0;0
7672;Total male and female;10 to 14 years;Ecuador;St Eustatius;2013;0;0;0
7673;Total male and female;10 to 14 years;Ecuador;St Eustatius;2014;0;0;0
7674;Total male and female;10 to 14 years;Ecuador;St Eustatius;2015;0;0;0
7675;Total male and female;10 to 14 years;Ecuador;St Eustatius;2016;0;0;0
7676;Total male and female;10 to 14 years;Ecuador;St Eustatius;2017;0;0;0
7677;Total male and female;10 to 14 years;Ecuador;St Eustatius;2018;0;0;0
7678;Total male and female;10 to 14 years;Ecuador;St Eustatius;2019;0;0;0
7679;Total male and female;10 to 14 years;Ecuador;St Eustatius;2020;0;0;0
7680;Total male and female;10 to 14 years;Ecuador;St Eustatius;2021;0;0;0
7681;Total male and female;10 to 14 years;Ecuador;St Eustatius;2022;0;0;0
7682;Total male and female;10 to 14 years;Ecuador;St Eustatius;2023;0;0;0
7683;Total male and female;10 to 14 years;Ecuador;Saba;2011;0;0;0
7684;Total male and female;10 to 14 years;Ecuador;Saba;2012;0;0;0
7685;Total male and female;10 to 14 years;Ecuador;Saba;2013;0;0;0
7686;Total male and female;10 to 14 years;Ecuador;Saba;2014;0;0;0
7687;Total male and female;10 to 14 years;Ecuador;Saba;2015;0;0;0
7688;Total male and female;10 to 14 years;Ecuador;Saba;2016;0;0;0
7689;Total male and female;10 to 14 years;Ecuador;Saba;2017;0;0;0
7690;Total male and female;10 to 14 years;Ecuador;Saba;2018;0;0;0
7691;Total male and female;10 to 14 years;Ecuador;Saba;2019;0;0;0
7692;Total male and female;10 to 14 years;Ecuador;Saba;2020;0;0;0
7693;Total male and female;10 to 14 years;Ecuador;Saba;2021;0;0;0
7694;Total male and female;10 to 14 years;Ecuador;Saba;2022;0;0;0
7695;Total male and female;10 to 14 years;Ecuador;Saba;2023;0;0;0
7696;Total male and female;10 to 14 years;Guyana;Caribbean Netherlands;2011;0;2;-2
7697;Total male and female;10 to 14 years;Guyana;Caribbean Netherlands;2012;0;0;0
7698;Total male and female;10 to 14 years;Guyana;Caribbean Netherlands;2013;0;0;0
7699;Total male and female;10 to 14 years;Guyana;Caribbean Netherlands;2014;0;0;0
7700;Total male and female;10 to 14 years;Guyana;Caribbean Netherlands;2015;0;0;0
7701;Total male and female;10 to 14 years;Guyana;Caribbean Netherlands;2016;0;1;-1
7702;Total male and female;10 to 14 years;Guyana;Caribbean Netherlands;2017;0;3;-3
7703;Total male and female;10 to 14 years;Guyana;Caribbean Netherlands;2018;0;0;0
7704;Total male and female;10 to 14 years;Guyana;Caribbean Netherlands;2019;0;0;0
7705;Total male and female;10 to 14 years;Guyana;Caribbean Netherlands;2020;0;0;0
7706;Total male and female;10 to 14 years;Guyana;Caribbean Netherlands;2021;0;0;0
7707;Total male and female;10 to 14 years;Guyana;Caribbean Netherlands;2022;0;0;0
7708;Total male and female;10 to 14 years;Guyana;Caribbean Netherlands;2023;1;0;1
7709;Total male and female;10 to 14 years;Guyana;Bonaire;2011;0;0;0
7710;Total male and female;10 to 14 years;Guyana;Bonaire;2012;0;0;0
7711;Total male and female;10 to 14 years;Guyana;Bonaire;2013;0;0;0
7712;Total male and female;10 to 14 years;Guyana;Bonaire;2014;0;0;0
7713;Total male and female;10 to 14 years;Guyana;Bonaire;2015;0;0;0
7714;Total male and female;10 to 14 years;Guyana;Bonaire;2016;0;0;0
7715;Total male and female;10 to 14 years;Guyana;Bonaire;2017;0;0;0
7716;Total male and female;10 to 14 years;Guyana;Bonaire;2018;0;0;0
7717;Total male and female;10 to 14 years;Guyana;Bonaire;2019;0;0;0
7718;Total male and female;10 to 14 years;Guyana;Bonaire;2020;0;0;0
7719;Total male and female;10 to 14 years;Guyana;Bonaire;2021;0;0;0
7720;Total male and female;10 to 14 years;Guyana;Bonaire;2022;0;0;0
7721;Total male and female;10 to 14 years;Guyana;Bonaire;2023;0;0;0
7722;Total male and female;10 to 14 years;Guyana;St Eustatius;2011;0;0;0
7723;Total male and female;10 to 14 years;Guyana;St Eustatius;2012;0;0;0
7724;Total male and female;10 to 14 years;Guyana;St Eustatius;2013;0;0;0
7725;Total male and female;10 to 14 years;Guyana;St Eustatius;2014;0;0;0
7726;Total male and female;10 to 14 years;Guyana;St Eustatius;2015;0;0;0
7727;Total male and female;10 to 14 years;Guyana;St Eustatius;2016;0;1;-1
7728;Total male and female;10 to 14 years;Guyana;St Eustatius;2017;0;0;0
7729;Total male and female;10 to 14 years;Guyana;St Eustatius;2018;0;0;0
7730;Total male and female;10 to 14 years;Guyana;St Eustatius;2019;0;0;0
7731;Total male and female;10 to 14 years;Guyana;St Eustatius;2020;0;0;0
7732;Total male and female;10 to 14 years;Guyana;St Eustatius;2021;0;0;0
7733;Total male and female;10 to 14 years;Guyana;St Eustatius;2022;0;0;0
7734;Total male and female;10 to 14 years;Guyana;St Eustatius;2023;1;0;1
7735;Total male and female;10 to 14 years;Guyana;Saba;2011;0;2;-2
7736;Total male and female;10 to 14 years;Guyana;Saba;2012;0;0;0
7737;Total male and female;10 to 14 years;Guyana;Saba;2013;0;0;0
7738;Total male and female;10 to 14 years;Guyana;Saba;2014;0;0;0
7739;Total male and female;10 to 14 years;Guyana;Saba;2015;0;0;0
7740;Total male and female;10 to 14 years;Guyana;Saba;2016;0;0;0
7741;Total male and female;10 to 14 years;Guyana;Saba;2017;0;3;-3
7742;Total male and female;10 to 14 years;Guyana;Saba;2018;0;0;0
7743;Total male and female;10 to 14 years;Guyana;Saba;2019;0;0;0
7744;Total male and female;10 to 14 years;Guyana;Saba;2020;0;0;0
7745;Total male and female;10 to 14 years;Guyana;Saba;2021;0;0;0
7746;Total male and female;10 to 14 years;Guyana;Saba;2022;0;0;0
7747;Total male and female;10 to 14 years;Guyana;Saba;2023;0;0;0
7748;Total male and female;10 to 14 years;Haiti;Caribbean Netherlands;2011;0;0;0
7749;Total male and female;10 to 14 years;Haiti;Caribbean Netherlands;2012;1;0;1
7750;Total male and female;10 to 14 years;Haiti;Caribbean Netherlands;2013;1;0;1
7751;Total male and female;10 to 14 years;Haiti;Caribbean Netherlands;2014;0;0;0
7752;Total male and female;10 to 14 years;Haiti;Caribbean Netherlands;2015;1;0;1
7753;Total male and female;10 to 14 years;Haiti;Caribbean Netherlands;2016;0;0;0
7754;Total male and female;10 to 14 years;Haiti;Caribbean Netherlands;2017;1;0;1
7755;Total male and female;10 to 14 years;Haiti;Caribbean Netherlands;2018;1;0;1
7756;Total male and female;10 to 14 years;Haiti;Caribbean Netherlands;2019;0;0;0
7757;Total male and female;10 to 14 years;Haiti;Caribbean Netherlands;2020;2;0;2
7758;Total male and female;10 to 14 years;Haiti;Caribbean Netherlands;2021;1;0;1
7759;Total male and female;10 to 14 years;Haiti;Caribbean Netherlands;2022;2;0;2
7760;Total male and female;10 to 14 years;Haiti;Caribbean Netherlands;2023;2;0;2
7761;Total male and female;10 to 14 years;Haiti;Bonaire;2011;0;0;0
7762;Total male and female;10 to 14 years;Haiti;Bonaire;2012;1;0;1
7763;Total male and female;10 to 14 years;Haiti;Bonaire;2013;0;0;0
7764;Total male and female;10 to 14 years;Haiti;Bonaire;2014;0;0;0
7765;Total male and female;10 to 14 years;Haiti;Bonaire;2015;1;0;1
7766;Total male and female;10 to 14 years;Haiti;Bonaire;2016;0;0;0
7767;Total male and female;10 to 14 years;Haiti;Bonaire;2017;1;0;1
7768;Total male and female;10 to 14 years;Haiti;Bonaire;2018;1;0;1
7769;Total male and female;10 to 14 years;Haiti;Bonaire;2019;0;0;0
7770;Total male and female;10 to 14 years;Haiti;Bonaire;2020;2;0;2
7771;Total male and female;10 to 14 years;Haiti;Bonaire;2021;1;0;1
7772;Total male and female;10 to 14 years;Haiti;Bonaire;2022;2;0;2
7773;Total male and female;10 to 14 years;Haiti;Bonaire;2023;2;0;2
7774;Total male and female;10 to 14 years;Haiti;St Eustatius;2011;0;0;0
7775;Total male and female;10 to 14 years;Haiti;St Eustatius;2012;0;0;0
7776;Total male and female;10 to 14 years;Haiti;St Eustatius;2013;1;0;1
7777;Total male and female;10 to 14 years;Haiti;St Eustatius;2014;0;0;0
7778;Total male and female;10 to 14 years;Haiti;St Eustatius;2015;0;0;0
7779;Total male and female;10 to 14 years;Haiti;St Eustatius;2016;0;0;0
7780;Total male and female;10 to 14 years;Haiti;St Eustatius;2017;0;0;0
7781;Total male and female;10 to 14 years;Haiti;St Eustatius;2018;0;0;0
7782;Total male and female;10 to 14 years;Haiti;St Eustatius;2019;0;0;0
7783;Total male and female;10 to 14 years;Haiti;St Eustatius;2020;0;0;0
7784;Total male and female;10 to 14 years;Haiti;St Eustatius;2021;0;0;0
7785;Total male and female;10 to 14 years;Haiti;St Eustatius;2022;0;0;0
7786;Total male and female;10 to 14 years;Haiti;St Eustatius;2023;0;0;0
7787;Total male and female;10 to 14 years;Haiti;Saba;2011;0;0;0
7788;Total male and female;10 to 14 years;Haiti;Saba;2012;0;0;0
7789;Total male and female;10 to 14 years;Haiti;Saba;2013;0;0;0
7790;Total male and female;10 to 14 years;Haiti;Saba;2014;0;0;0
7791;Total male and female;10 to 14 years;Haiti;Saba;2015;0;0;0
7792;Total male and female;10 to 14 years;Haiti;Saba;2016;0;0;0
7793;Total male and female;10 to 14 years;Haiti;Saba;2017;0;0;0
7794;Total male and female;10 to 14 years;Haiti;Saba;2018;0;0;0
7795;Total male and female;10 to 14 years;Haiti;Saba;2019;0;0;0
7796;Total male and female;10 to 14 years;Haiti;Saba;2020;0;0;0
7797;Total male and female;10 to 14 years;Haiti;Saba;2021;0;0;0
7798;Total male and female;10 to 14 years;Haiti;Saba;2022;0;0;0
7799;Total male and female;10 to 14 years;Haiti;Saba;2023;0;0;0
7800;Total male and female;10 to 14 years;Jamaica;Caribbean Netherlands;2011;1;0;1
7801;Total male and female;10 to 14 years;Jamaica;Caribbean Netherlands;2012;1;0;1
7802;Total male and female;10 to 14 years;Jamaica;Caribbean Netherlands;2013;0;1;-1
7803;Total male and female;10 to 14 years;Jamaica;Caribbean Netherlands;2014;1;0;1
7804;Total male and female;10 to 14 years;Jamaica;Caribbean Netherlands;2015;1;0;1
7805;Total male and female;10 to 14 years;Jamaica;Caribbean Netherlands;2016;0;0;0
7806;Total male and female;10 to 14 years;Jamaica;Caribbean Netherlands;2017;1;0;1
7807;Total male and female;10 to 14 years;Jamaica;Caribbean Netherlands;2018;3;0;3
7808;Total male and female;10 to 14 years;Jamaica;Caribbean Netherlands;2019;1;0;1
7809;Total male and female;10 to 14 years;Jamaica;Caribbean Netherlands;2020;0;0;0
7810;Total male and female;10 to 14 years;Jamaica;Caribbean Netherlands;2021;0;0;0
7811;Total male and female;10 to 14 years;Jamaica;Caribbean Netherlands;2022;3;0;3
7812;Total male and female;10 to 14 years;Jamaica;Caribbean Netherlands;2023;3;1;2
7813;Total male and female;10 to 14 years;Jamaica;Bonaire;2011;0;0;0
7814;Total male and female;10 to 14 years;Jamaica;Bonaire;2012;0;0;0
7815;Total male and female;10 to 14 years;Jamaica;Bonaire;2013;0;0;0
7816;Total male and female;10 to 14 years;Jamaica;Bonaire;2014;0;0;0
7817;Total male and female;10 to 14 years;Jamaica;Bonaire;2015;0;0;0
7818;Total male and female;10 to 14 years;Jamaica;Bonaire;2016;0;0;0
7819;Total male and female;10 to 14 years;Jamaica;Bonaire;2017;1;0;1
7820;Total male and female;10 to 14 years;Jamaica;Bonaire;2018;3;0;3
7821;Total male and female;10 to 14 years;Jamaica;Bonaire;2019;1;0;1
7822;Total male and female;10 to 14 years;Jamaica;Bonaire;2020;0;0;0
7823;Total male and female;10 to 14 years;Jamaica;Bonaire;2021;0;0;0
7824;Total male and female;10 to 14 years;Jamaica;Bonaire;2022;1;0;1
7825;Total male and female;10 to 14 years;Jamaica;Bonaire;2023;0;0;0
7826;Total male and female;10 to 14 years;Jamaica;St Eustatius;2011;0;0;0
7827;Total male and female;10 to 14 years;Jamaica;St Eustatius;2012;0;0;0
7828;Total male and female;10 to 14 years;Jamaica;St Eustatius;2013;0;1;-1
7829;Total male and female;10 to 14 years;Jamaica;St Eustatius;2014;0;0;0
7830;Total male and female;10 to 14 years;Jamaica;St Eustatius;2015;0;0;0
7831;Total male and female;10 to 14 years;Jamaica;St Eustatius;2016;0;0;0
7832;Total male and female;10 to 14 years;Jamaica;St Eustatius;2017;0;0;0
7833;Total male and female;10 to 14 years;Jamaica;St Eustatius;2018;0;0;0
7834;Total male and female;10 to 14 years;Jamaica;St Eustatius;2019;0;0;0
7835;Total male and female;10 to 14 years;Jamaica;St Eustatius;2020;0;0;0
7836;Total male and female;10 to 14 years;Jamaica;St Eustatius;2021;0;0;0
7837;Total male and female;10 to 14 years;Jamaica;St Eustatius;2022;1;0;1
7838;Total male and female;10 to 14 years;Jamaica;St Eustatius;2023;3;1;2
7839;Total male and female;10 to 14 years;Jamaica;Saba;2011;1;0;1
7840;Total male and female;10 to 14 years;Jamaica;Saba;2012;1;0;1
7841;Total male and female;10 to 14 years;Jamaica;Saba;2013;0;0;0
7842;Total male and female;10 to 14 years;Jamaica;Saba;2014;1;0;1
7843;Total male and female;10 to 14 years;Jamaica;Saba;2015;1;0;1
7844;Total male and female;10 to 14 years;Jamaica;Saba;2016;0;0;0
7845;Total male and female;10 to 14 years;Jamaica;Saba;2017;0;0;0
7846;Total male and female;10 to 14 years;Jamaica;Saba;2018;0;0;0
7847;Total male and female;10 to 14 years;Jamaica;Saba;2019;0;0;0
7848;Total male and female;10 to 14 years;Jamaica;Saba;2020;0;0;0
7849;Total male and female;10 to 14 years;Jamaica;Saba;2021;0;0;0
7850;Total male and female;10 to 14 years;Jamaica;Saba;2022;1;0;1
7851;Total male and female;10 to 14 years;Jamaica;Saba;2023;0;0;0
7852;Total male and female;10 to 14 years;The Netherlands;Caribbean Netherlands;2011;30;9;21
7853;Total male and female;10 to 14 years;The Netherlands;Caribbean Netherlands;2012;23;32;-9
7854;Total male and female;10 to 14 years;The Netherlands;Caribbean Netherlands;2013;55;27;28
7855;Total male and female;10 to 14 years;The Netherlands;Caribbean Netherlands;2014;38;33;5
7856;Total male and female;10 to 14 years;The Netherlands;Caribbean Netherlands;2015;31;36;-5
7857;Total male and female;10 to 14 years;The Netherlands;Caribbean Netherlands;2016;26;31;-5
7858;Total male and female;10 to 14 years;The Netherlands;Caribbean Netherlands;2017;28;35;-7
7859;Total male and female;10 to 14 years;The Netherlands;Caribbean Netherlands;2018;33;25;8
7860;Total male and female;10 to 14 years;The Netherlands;Caribbean Netherlands;2019;34;23;11
7861;Total male and female;10 to 14 years;The Netherlands;Caribbean Netherlands;2020;22;17;5
7862;Total male and female;10 to 14 years;The Netherlands;Caribbean Netherlands;2021;36;31;5
7863;Total male and female;10 to 14 years;The Netherlands;Caribbean Netherlands;2022;50;27;23
7864;Total male and female;10 to 14 years;The Netherlands;Caribbean Netherlands;2023;28;27;1
7865;Total male and female;10 to 14 years;The Netherlands;Bonaire;2011;27;8;19
7866;Total male and female;10 to 14 years;The Netherlands;Bonaire;2012;20;28;-8
7867;Total male and female;10 to 14 years;The Netherlands;Bonaire;2013;52;24;28
7868;Total male and female;10 to 14 years;The Netherlands;Bonaire;2014;34;31;3
7869;Total male and female;10 to 14 years;The Netherlands;Bonaire;2015;28;34;-6
7870;Total male and female;10 to 14 years;The Netherlands;Bonaire;2016;21;27;-6
7871;Total male and female;10 to 14 years;The Netherlands;Bonaire;2017;23;34;-11
7872;Total male and female;10 to 14 years;The Netherlands;Bonaire;2018;30;21;9
7873;Total male and female;10 to 14 years;The Netherlands;Bonaire;2019;30;19;11
7874;Total male and female;10 to 14 years;The Netherlands;Bonaire;2020;18;14;4
7875;Total male and female;10 to 14 years;The Netherlands;Bonaire;2021;33;25;8
7876;Total male and female;10 to 14 years;The Netherlands;Bonaire;2022;46;24;22
7877;Total male and female;10 to 14 years;The Netherlands;Bonaire;2023;28;23;5
7878;Total male and female;10 to 14 years;The Netherlands;St Eustatius;2011;2;1;1
7879;Total male and female;10 to 14 years;The Netherlands;St Eustatius;2012;3;4;-1
7880;Total male and female;10 to 14 years;The Netherlands;St Eustatius;2013;2;2;0
7881;Total male and female;10 to 14 years;The Netherlands;St Eustatius;2014;1;2;-1
7882;Total male and female;10 to 14 years;The Netherlands;St Eustatius;2015;2;1;1
7883;Total male and female;10 to 14 years;The Netherlands;St Eustatius;2016;3;3;0
7884;Total male and female;10 to 14 years;The Netherlands;St Eustatius;2017;4;0;4
7885;Total male and female;10 to 14 years;The Netherlands;St Eustatius;2018;3;3;0
7886;Total male and female;10 to 14 years;The Netherlands;St Eustatius;2019;4;1;3
7887;Total male and female;10 to 14 years;The Netherlands;St Eustatius;2020;0;3;-3
7888;Total male and female;10 to 14 years;The Netherlands;St Eustatius;2021;0;1;-1
7889;Total male and female;10 to 14 years;The Netherlands;St Eustatius;2022;2;1;1
7890;Total male and female;10 to 14 years;The Netherlands;St Eustatius;2023;0;2;-2
7891;Total male and female;10 to 14 years;The Netherlands;Saba;2011;1;0;1
7892;Total male and female;10 to 14 years;The Netherlands;Saba;2012;0;0;0
7893;Total male and female;10 to 14 years;The Netherlands;Saba;2013;1;1;0
7894;Total male and female;10 to 14 years;The Netherlands;Saba;2014;3;0;3
7895;Total male and female;10 to 14 years;The Netherlands;Saba;2015;1;1;0
7896;Total male and female;10 to 14 years;The Netherlands;Saba;2016;2;1;1
7897;Total male and female;10 to 14 years;The Netherlands;Saba;2017;1;1;0
7898;Total male and female;10 to 14 years;The Netherlands;Saba;2018;0;1;-1
7899;Total male and female;10 to 14 years;The Netherlands;Saba;2019;0;3;-3
7900;Total male and female;10 to 14 years;The Netherlands;Saba;2020;4;0;4
7901;Total male and female;10 to 14 years;The Netherlands;Saba;2021;3;5;-2
7902;Total male and female;10 to 14 years;The Netherlands;Saba;2022;2;2;0
7903;Total male and female;10 to 14 years;The Netherlands;Saba;2023;0;2;-2
7904;Total male and female;10 to 14 years;Peru;Caribbean Netherlands;2011;0;0;0
7905;Total male and female;10 to 14 years;Peru;Caribbean Netherlands;2012;4;0;4
7906;Total male and female;10 to 14 years;Peru;Caribbean Netherlands;2013;2;0;2
7907;Total male and female;10 to 14 years;Peru;Caribbean Netherlands;2014;1;0;1
7908;Total male and female;10 to 14 years;Peru;Caribbean Netherlands;2015;0;0;0
7909;Total male and female;10 to 14 years;Peru;Caribbean Netherlands;2016;0;2;-2
7910;Total male and female;10 to 14 years;Peru;Caribbean Netherlands;2017;1;0;1
7911;Total male and female;10 to 14 years;Peru;Caribbean Netherlands;2018;1;0;1
7912;Total male and female;10 to 14 years;Peru;Caribbean Netherlands;2019;1;0;1
7913;Total male and female;10 to 14 years;Peru;Caribbean Netherlands;2020;0;0;0
7914;Total male and female;10 to 14 years;Peru;Caribbean Netherlands;2021;1;0;1
7915;Total male and female;10 to 14 years;Peru;Caribbean Netherlands;2022;0;0;0
7916;Total male and female;10 to 14 years;Peru;Caribbean Netherlands;2023;4;0;4
7917;Total male and female;10 to 14 years;Peru;Bonaire;2011;0;0;0
7918;Total male and female;10 to 14 years;Peru;Bonaire;2012;4;0;4
7919;Total male and female;10 to 14 years;Peru;Bonaire;2013;2;0;2
7920;Total male and female;10 to 14 years;Peru;Bonaire;2014;1;0;1
7921;Total male and female;10 to 14 years;Peru;Bonaire;2015;0;0;0
7922;Total male and female;10 to 14 years;Peru;Bonaire;2016;0;2;-2
7923;Total male and female;10 to 14 years;Peru;Bonaire;2017;1;0;1
7924;Total male and female;10 to 14 years;Peru;Bonaire;2018;1;0;1
7925;Total male and female;10 to 14 years;Peru;Bonaire;2019;1;0;1
7926;Total male and female;10 to 14 years;Peru;Bonaire;2020;0;0;0
7927;Total male and female;10 to 14 years;Peru;Bonaire;2021;1;0;1
7928;Total male and female;10 to 14 years;Peru;Bonaire;2022;0;0;0
7929;Total male and female;10 to 14 years;Peru;Bonaire;2023;4;0;4
7930;Total male and female;10 to 14 years;Peru;St Eustatius;2011;0;0;0
7931;Total male and female;10 to 14 years;Peru;St Eustatius;2012;0;0;0
7932;Total male and female;10 to 14 years;Peru;St Eustatius;2013;0;0;0
7933;Total male and female;10 to 14 years;Peru;St Eustatius;2014;0;0;0
7934;Total male and female;10 to 14 years;Peru;St Eustatius;2015;0;0;0
7935;Total male and female;10 to 14 years;Peru;St Eustatius;2016;0;0;0
7936;Total male and female;10 to 14 years;Peru;St Eustatius;2017;0;0;0
7937;Total male and female;10 to 14 years;Peru;St Eustatius;2018;0;0;0
7938;Total male and female;10 to 14 years;Peru;St Eustatius;2019;0;0;0
7939;Total male and female;10 to 14 years;Peru;St Eustatius;2020;0;0;0
7940;Total male and female;10 to 14 years;Peru;St Eustatius;2021;0;0;0
7941;Total male and female;10 to 14 years;Peru;St Eustatius;2022;0;0;0
7942;Total male and female;10 to 14 years;Peru;St Eustatius;2023;0;0;0
7943;Total male and female;10 to 14 years;Peru;Saba;2011;0;0;0
7944;Total male and female;10 to 14 years;Peru;Saba;2012;0;0;0
7945;Total male and female;10 to 14 years;Peru;Saba;2013;0;0;0
7946;Total male and female;10 to 14 years;Peru;Saba;2014;0;0;0
7947;Total male and female;10 to 14 years;Peru;Saba;2015;0;0;0
7948;Total male and female;10 to 14 years;Peru;Saba;2016;0;0;0
7949;Total male and female;10 to 14 years;Peru;Saba;2017;0;0;0
7950;Total male and female;10 to 14 years;Peru;Saba;2018;0;0;0
7951;Total male and female;10 to 14 years;Peru;Saba;2019;0;0;0
7952;Total male and female;10 to 14 years;Peru;Saba;2020;0;0;0
7953;Total male and female;10 to 14 years;Peru;Saba;2021;0;0;0
7954;Total male and female;10 to 14 years;Peru;Saba;2022;0;0;0
7955;Total male and female;10 to 14 years;Peru;Saba;2023;0;0;0
7956;Total male and female;10 to 14 years;St Eustatius;Caribbean Netherlands;2011;0;1;-1
7957;Total male and female;10 to 14 years;St Eustatius;Caribbean Netherlands;2012;0;1;-1
7958;Total male and female;10 to 14 years;St Eustatius;Caribbean Netherlands;2013;0;5;-5
7959;Total male and female;10 to 14 years;St Eustatius;Caribbean Netherlands;2014;1;0;1
7960;Total male and female;10 to 14 years;St Eustatius;Caribbean Netherlands;2015;1;1;0
7961;Total male and female;10 to 14 years;St Eustatius;Caribbean Netherlands;2016;0;0;0
7962;Total male and female;10 to 14 years;St Eustatius;Caribbean Netherlands;2017;0;0;0
7963;Total male and female;10 to 14 years;St Eustatius;Caribbean Netherlands;2018;0;6;-6
7964;Total male and female;10 to 14 years;St Eustatius;Caribbean Netherlands;2019;0;0;0
7965;Total male and female;10 to 14 years;St Eustatius;Caribbean Netherlands;2020;0;0;0
7966;Total male and female;10 to 14 years;St Eustatius;Caribbean Netherlands;2021;1;1;0
7967;Total male and female;10 to 14 years;St Eustatius;Caribbean Netherlands;2022;0;2;-2
7968;Total male and female;10 to 14 years;St Eustatius;Caribbean Netherlands;2023;1;5;-4
7969;Total male and female;10 to 14 years;St Eustatius;Bonaire;2011;0;0;0
7970;Total male and female;10 to 14 years;St Eustatius;Bonaire;2012;0;0;0
7971;Total male and female;10 to 14 years;St Eustatius;Bonaire;2013;0;0;0
7972;Total male and female;10 to 14 years;St Eustatius;Bonaire;2014;0;0;0
7973;Total male and female;10 to 14 years;St Eustatius;Bonaire;2015;0;0;0
7974;Total male and female;10 to 14 years;St Eustatius;Bonaire;2016;0;0;0
7975;Total male and female;10 to 14 years;St Eustatius;Bonaire;2017;0;0;0
7976;Total male and female;10 to 14 years;St Eustatius;Bonaire;2018;0;0;0
7977;Total male and female;10 to 14 years;St Eustatius;Bonaire;2019;0;0;0
7978;Total male and female;10 to 14 years;St Eustatius;Bonaire;2020;0;0;0
7979;Total male and female;10 to 14 years;St Eustatius;Bonaire;2021;0;0;0
7980;Total male and female;10 to 14 years;St Eustatius;Bonaire;2022;0;0;0
7981;Total male and female;10 to 14 years;St Eustatius;Bonaire;2023;0;0;0
7982;Total male and female;10 to 14 years;St Eustatius;St Eustatius;2011;0;1;-1
7983;Total male and female;10 to 14 years;St Eustatius;St Eustatius;2012;0;1;-1
7984;Total male and female;10 to 14 years;St Eustatius;St Eustatius;2013;0;5;-5
7985;Total male and female;10 to 14 years;St Eustatius;St Eustatius;2014;1;0;1
7986;Total male and female;10 to 14 years;St Eustatius;St Eustatius;2015;1;1;0
7987;Total male and female;10 to 14 years;St Eustatius;St Eustatius;2016;0;0;0
7988;Total male and female;10 to 14 years;St Eustatius;St Eustatius;2017;0;0;0
7989;Total male and female;10 to 14 years;St Eustatius;St Eustatius;2018;0;6;-6
7990;Total male and female;10 to 14 years;St Eustatius;St Eustatius;2019;0;0;0
7991;Total male and female;10 to 14 years;St Eustatius;St Eustatius;2020;0;0;0
7992;Total male and female;10 to 14 years;St Eustatius;St Eustatius;2021;1;1;0
7993;Total male and female;10 to 14 years;St Eustatius;St Eustatius;2022;0;2;-2
7994;Total male and female;10 to 14 years;St Eustatius;St Eustatius;2023;1;5;-4
7995;Total male and female;10 to 14 years;St Eustatius;Saba;2011;0;0;0
7996;Total male and female;10 to 14 years;St Eustatius;Saba;2012;0;0;0
7997;Total male and female;10 to 14 years;St Eustatius;Saba;2013;0;0;0
7998;Total male and female;10 to 14 years;St Eustatius;Saba;2014;0;0;0
7999;Total male and female;10 to 14 years;St Eustatius;Saba;2015;0;0;0
8000;Total male and female;10 to 14 years;St Eustatius;Saba;2016;0;0;0
8001;Total male and female;10 to 14 years;St Eustatius;Saba;2017;0;0;0
8002;Total male and female;10 to 14 years;St Eustatius;Saba;2018;0;0;0
8003;Total male and female;10 to 14 years;St Eustatius;Saba;2019;0;0;0
8004;Total male and female;10 to 14 years;St Eustatius;Saba;2020;0;0;0
8005;Total male and female;10 to 14 years;St Eustatius;Saba;2021;0;0;0
8006;Total male and female;10 to 14 years;St Eustatius;Saba;2022;0;0;0
8007;Total male and female;10 to 14 years;St Eustatius;Saba;2023;0;0;0
8008;Total male and female;10 to 14 years;St Kitts and Nevis;Caribbean Netherlands;2011;0;0;0
8009;Total male and female;10 to 14 years;St Kitts and Nevis;Caribbean Netherlands;2012;0;0;0
8010;Total male and female;10 to 14 years;St Kitts and Nevis;Caribbean Netherlands;2013;0;1;-1
8011;Total male and female;10 to 14 years;St Kitts and Nevis;Caribbean Netherlands;2014;0;0;0
8012;Total male and female;10 to 14 years;St Kitts and Nevis;Caribbean Netherlands;2015;0;1;-1
8013;Total male and female;10 to 14 years;St Kitts and Nevis;Caribbean Netherlands;2016;0;0;0
8014;Total male and female;10 to 14 years;St Kitts and Nevis;Caribbean Netherlands;2017;0;1;-1
8015;Total male and female;10 to 14 years;St Kitts and Nevis;Caribbean Netherlands;2018;0;0;0
8016;Total male and female;10 to 14 years;St Kitts and Nevis;Caribbean Netherlands;2019;0;0;0
8017;Total male and female;10 to 14 years;St Kitts and Nevis;Caribbean Netherlands;2020;0;0;0
