ID;SalesAndConsumptionOfForeignProduct;ProductsAccordingToPRODCOMList;Periods;PriceIndexNumbersExcludingExcise_1;MonthOnMonthDevelopment_2;YearOnYearDevelopment_3
4477;Total sales;C Manufactured products;2006 June;105.9;0.3;6.2
4478;Total sales;C Manufactured products;2006 July;107.0;1.1;6.4
4479;Total sales;C Manufactured products;2006 August;106.9;-0.1;5.5
4480;Total sales;C Manufactured products;2006 September;105.3;-1.5;2.6
4481;Total sales;C Manufactured products;2006 October;105.0;-0.3;1.8
4482;Total sales;C Manufactured products;2006 November;104.7;-0.3;2.6
4483;Total sales;C Manufactured products;2006 December;104.9;0.3;3.1
4484;Total sales;C Manufactured products;2006;105.1;;5.1
4485;Total sales;C Manufactured products;2007 January;104.9;0.0;1.8
4486;Total sales;C Manufactured products;2007 February;105.5;0.5;2.1
4487;Total sales;C Manufactured products;2007 March;106.3;0.8;2.4
4488;Total sales;C Manufactured products;2007 April;108.2;1.8;2.5
4489;Total sales;C Manufactured products;2007 May;109.3;1.0;3.6
4490;Total sales;C Manufactured products;2007 June;109.7;0.4;3.7
4491;Total sales;C Manufactured products;2007 July;110.5;0.7;3.3
4492;Total sales;C Manufactured products;2007 August;110.3;-0.2;3.2
4493;Total sales;C Manufactured products;2007 September;111.2;0.9;5.7
4494;Total sales;C Manufactured products;2007 October;112.3;0.9;6.9
4495;Total sales;C Manufactured products;2007 November;113.8;1.3;8.7
4496;Total sales;C Manufactured products;2007 December;113.8;0.0;8.4
4497;Total sales;C Manufactured products;2007;109.7;;4.4
4498;Total sales;C Manufactured products;2008 January;114.6;0.7;9.2
4499;Total sales;C Manufactured products;2008 February;115.1;0.4;9.1
4500;Total sales;C Manufactured products;2008 March;116.1;0.9;9.2
4501;Total sales;C Manufactured products;2008 April;117.5;1.2;8.6
4502;Total sales;C Manufactured products;2008 May;120.3;2.4;10.1
4503;Total sales;C Manufactured products;2008 June;122.2;1.6;11.4
4504;Total sales;C Manufactured products;2008 July;123.6;1.2;11.8
4505;Total sales;C Manufactured products;2008 August;122.1;-1.3;10.7
4506;Total sales;C Manufactured products;2008 September;121.4;-0.5;9.1
4507;Total sales;C Manufactured products;2008 October;117.0;-3.6;4.2
4508;Total sales;C Manufactured products;2008 November;111.5;-4.7;-2.0
4509;Total sales;C Manufactured products;2008 December;106.2;-4.8;-6.6
4510;Total sales;C Manufactured products;2008;117.3;;7.0
4511;Total sales;C Manufactured products;2009 January;104.2;-1.9;-9.1
4512;Total sales;C Manufactured products;2009 February;104.1;0.0;-9.5
4513;Total sales;C Manufactured products;2009 March;104.1;-0.1;-10.4
4514;Total sales;C Manufactured products;2009 April;103.6;-0.4;-11.8
4515;Total sales;C Manufactured products;2009 May;104.8;1.1;-12.9
4516;Total sales;C Manufactured products;2009 June;106.3;1.5;-13.0
4517;Total sales;C Manufactured products;2009 July;106.0;-0.3;-14.2
4518;Total sales;C Manufactured products;2009 August;107.4;1.3;-12.0
4519;Total sales;C Manufactured products;2009 September;106.7;-0.7;-12.1
4520;Total sales;C Manufactured products;2009 October;107.0;0.3;-8.5
4521;Total sales;C Manufactured products;2009 November;107.8;0.7;-3.4
4522;Total sales;C Manufactured products;2009 December;107.9;0.2;1.6
4523;Total sales;C Manufactured products;2009;105.8;;-9.8
4524;Total sales;C Manufactured products;2010 January;109.8;1.7;5.4
4525;Total sales;C Manufactured products;2010 February;110.7;0.9;6.3
4526;Total sales;C Manufactured products;2010 March;112.3;1.5;8.0
4527;Total sales;C Manufactured products;2010 April;114.6;2.0;10.6
4528;Total sales;C Manufactured products;2010 May;115.4;0.7;10.1
4529;Total sales;C Manufactured products;2010 June;115.8;0.4;8.9
4530;Total sales;C Manufactured products;2010 July;114.9;-0.7;8.4
4531;Total sales;C Manufactured products;2010 August;115.1;0.2;7.2
4532;Total sales;C Manufactured products;2010 September;115.7;0.5;8.5
4533;Total sales;C Manufactured products;2010 October;116.6;0.8;8.9
4534;Total sales;C Manufactured products;2010 November;117.6;0.9;9.1
4535;Total sales;C Manufactured products;2010 December;119.4;1.5;10.7
4536;Total sales;C Manufactured products;2010;114.8;;8.5
4537;Total sales;C Manufactured products;2011 January;122.1;2.2;11.2
4538;Total sales;C Manufactured products;2011 February;124.4;1.9;12.4
4539;Total sales;C Manufactured products;2011 March;126.2;1.5;12.4
4540;Total sales;C Manufactured products;2011 April;127.7;1.2;11.5
4541;Total sales;C Manufactured products;2011 May;127.4;-0.3;10.5
4542;Total sales;C Manufactured products;2011 June;126.2;-1.0;9.0
4543;Total sales;C Manufactured products;2011 July;126.9;0.5;10.4
4544;Total sales;C Manufactured products;2011 August;126.2;-0.5;9.6
4545;Total sales;C Manufactured products;2011 September;126.8;0.5;9.6
4546;Total sales;C Manufactured products;2011 October;126.0;-0.6;8.1
4547;Total sales;C Manufactured products;2011 November;126.2;0.2;7.3
4548;Total sales;C Manufactured products;2011 December;126.1;-0.1;5.6
4549;Total sales;C Manufactured products;2011;126.0;;9.8
4550;Total sales;C Manufactured products;2012 January;128.4;1.9;5.2
4551;Total sales;C Manufactured products;2012 February;129.9;1.1;4.4
4552;Total sales;C Manufactured products;2012 March;131.1;1.0;3.9
4553;Total sales;C Manufactured products;2012 April;131.0;-0.1;2.5
4554;Total sales;C Manufactured products;2012 May;129.7;-1.0;1.8
4555;Total sales;C Manufactured products;2012 June;127.3;-1.9;0.8
4556;Total sales;C Manufactured products;2012 July;128.7;1.1;1.4
4557;Total sales;C Manufactured products;2012 August;131.2;1.9;3.9
4558;Total sales;C Manufactured products;2012 September;131.9;0.6;4.0
4559;Total sales;C Manufactured products;2012 October;131.2;-0.6;4.1
4560;Total sales;C Manufactured products;2012 November;130.5;-0.5;3.4
4561;Total sales;C Manufactured products;2012 December;129.6;-0.6;2.8
4562;Total sales;C Manufactured products;2012;130.0;;3.2
4563;Total sales;10 Food products;2000 January;92.3;;
4564;Total sales;10 Food products;2000 February;93.1;0.9;
4565;Total sales;10 Food products;2000 March;93.5;0.5;
4566;Total sales;10 Food products;2000 April;93.7;0.2;
4567;Total sales;10 Food products;2000 May;94.4;0.7;
4568;Total sales;10 Food products;2000 June;94.7;0.3;
4569;Total sales;10 Food products;2000 July;95.1;0.5;
4570;Total sales;10 Food products;2000 August;95.6;0.5;
4571;Total sales;10 Food products;2000 September;96.1;0.6;
4572;Total sales;10 Food products;2000 October;97.3;1.3;
4573;Total sales;10 Food products;2000 November;98.0;0.7;
4574;Total sales;10 Food products;2000 December;98.4;0.4;
4575;Total sales;10 Food products;2000;95.2;;
4576;Total sales;10 Food products;2001 January;98.4;0.0;6.7
4577;Total sales;10 Food products;2001 February;99.5;1.1;6.9
4578;Total sales;10 Food products;2001 March;100.4;1.0;7.4
4579;Total sales;10 Food products;2001 April;100.3;-0.1;7.1
4580;Total sales;10 Food products;2001 May;99.6;-0.7;5.6
4581;Total sales;10 Food products;2001 June;99.7;0.1;5.3
4582;Total sales;10 Food products;2001 July;100.1;0.4;5.2
4583;Total sales;10 Food products;2001 August;100.1;0.0;4.7
4584;Total sales;10 Food products;2001 September;99.9;-0.1;4.0
4585;Total sales;10 Food products;2001 October;100.4;0.4;3.1
4586;Total sales;10 Food products;2001 November;100.6;0.2;2.6
4587;Total sales;10 Food products;2001 December;99.9;-0.6;1.6
4588;Total sales;10 Food products;2001;99.9;;5.0
4589;Total sales;10 Food products;2002 January;99.9;-0.1;1.5
4590;Total sales;10 Food products;2002 February;99.7;-0.1;0.3
4591;Total sales;10 Food products;2002 March;100.0;0.3;-0.4
4592;Total sales;10 Food products;2002 April;99.7;-0.3;-0.7
4593;Total sales;10 Food products;2002 May;99.2;-0.5;-0.4
4594;Total sales;10 Food products;2002 June;98.4;-0.8;-1.3
4595;Total sales;10 Food products;2002 July;98.7;0.4;-1.4
4596;Total sales;10 Food products;2002 August;99.6;0.9;-0.5
4597;Total sales;10 Food products;2002 September;100.8;1.1;0.8
4598;Total sales;10 Food products;2002 October;101.1;0.3;0.7
4599;Total sales;10 Food products;2002 November;100.6;-0.5;0.0
4600;Total sales;10 Food products;2002 December;101.2;0.6;1.3
4601;Total sales;10 Food products;2002;99.9;;0.0
4602;Total sales;10 Food products;2003 January;100.5;-0.7;0.6
4603;Total sales;10 Food products;2003 February;100.3;-0.2;0.6
4604;Total sales;10 Food products;2003 March;99.0;-1.3;-1.0
4605;Total sales;10 Food products;2003 April;98.9;-0.1;-0.8
4606;Total sales;10 Food products;2003 May;98.0;-0.9;-1.2
4607;Total sales;10 Food products;2003 June;97.9;-0.1;-0.5
4608;Total sales;10 Food products;2003 July;98.1;0.2;-0.7
4609;Total sales;10 Food products;2003 August;98.5;0.4;-1.2
4610;Total sales;10 Food products;2003 September;100.2;1.8;-0.5
4611;Total sales;10 Food products;2003 October;100.2;0.0;-0.9
4612;Total sales;10 Food products;2003 November;101.1;0.9;0.5
4613;Total sales;10 Food products;2003 December;99.8;-1.2;-1.3
4614;Total sales;10 Food products;2003;99.4;;-0.5
4615;Total sales;10 Food products;2004 January;100.1;0.3;-0.4
4616;Total sales;10 Food products;2004 February;101.0;1.0;0.7
4617;Total sales;10 Food products;2004 March;101.7;0.6;2.7
4618;Total sales;10 Food products;2004 April;101.5;-0.2;2.6
4619;Total sales;10 Food products;2004 May;100.7;-0.8;2.7
4620;Total sales;10 Food products;2004 June;101.0;0.3;3.2
4621;Total sales;10 Food products;2004 July;100.8;-0.2;2.8
4622;Total sales;10 Food products;2004 August;101.3;0.5;2.9
4623;Total sales;10 Food products;2004 September;101.6;0.3;1.4
4624;Total sales;10 Food products;2004 October;100.5;-1.1;0.3
4625;Total sales;10 Food products;2004 November;100.9;0.3;-0.2
4626;Total sales;10 Food products;2004 December;100.7;-0.2;0.9
4627;Total sales;10 Food products;2004;101.0;;1.6
4628;Total sales;10 Food products;2005 January;99.3;-1.4;-0.7
4629;Total sales;10 Food products;2005 February;99.3;0.0;-1.7
4630;Total sales;10 Food products;2005 March;99.3;0.0;-2.3
4631;Total sales;10 Food products;2005 April;98.9;-0.4;-2.5
4632;Total sales;10 Food products;2005 May;99.3;0.3;-1.5
4633;Total sales;10 Food products;2005 June;100.1;0.9;-0.9
4634;Total sales;10 Food products;2005 July;100.3;0.1;-0.5
4635;Total sales;10 Food products;2005 August;100.1;-0.1;-1.1
4636;Total sales;10 Food products;2005 September;100.6;0.4;-1.0
4637;Total sales;10 Food products;2005 October;100.8;0.2;0.2
4638;Total sales;10 Food products;2005 November;100.8;0.1;0.0
4639;Total sales;10 Food products;2005 December;101.1;0.3;0.4
4640;Total sales;10 Food products;2005;100.0;;-1.0
4641;Total sales;10 Food products;2006 January;101.1;0.0;1.8
4642;Total sales;10 Food products;2006 February;101.6;0.5;2.3
4643;Total sales;10 Food products;2006 March;101.6;0.0;2.3
4644;Total sales;10 Food products;2006 April;101.6;0.0;2.7
4645;Total sales;10 Food products;2006 May;101.2;-0.4;2.0
4646;Total sales;10 Food products;2006 June;101.5;0.3;1.3
4647;Total sales;10 Food products;2006 July;101.4;-0.1;1.1
4648;Total sales;10 Food products;2006 August;101.9;0.5;1.7
4649;Total sales;10 Food products;2006 September;102.5;0.6;1.9
4650;Total sales;10 Food products;2006 October;103.6;1.0;2.8
4651;Total sales;10 Food products;2006 November;103.7;0.1;2.8
4652;Total sales;10 Food products;2006 December;104.8;1.1;3.6
4653;Total sales;10 Food products;2006;102.2;;2.2
4654;Total sales;10 Food products;2007 January;105.6;0.8;4.4
4655;Total sales;10 Food products;2007 February;106.2;0.5;4.5
4656;Total sales;10 Food products;2007 March;107.0;0.8;5.3
4657;Total sales;10 Food products;2007 April;109.0;1.8;7.2
4658;Total sales;10 Food products;2007 May;109.9;0.9;8.6
4659;Total sales;10 Food products;2007 June;110.5;0.5;8.9
4660;Total sales;10 Food products;2007 July;113.2;2.4;11.7
4661;Total sales;10 Food products;2007 August;114.8;1.5;12.7
4662;Total sales;10 Food products;2007 September;117.0;1.9;14.1
4663;Total sales;10 Food products;2007 October;118.2;1.0;14.1
4664;Total sales;10 Food products;2007 November;118.8;0.5;14.6
4665;Total sales;10 Food products;2007 December;119.2;0.3;13.7
4666;Total sales;10 Food products;2007;112.4;;10.0
4667;Total sales;10 Food products;2008 January;120.1;0.8;13.7
4668;Total sales;10 Food products;2008 February;120.8;0.7;13.8
4669;Total sales;10 Food products;2008 March;120.6;-0.2;12.7
4670;Total sales;10 Food products;2008 April;120.7;0.1;10.8
4671;Total sales;10 Food products;2008 May;121.4;0.6;10.4
4672;Total sales;10 Food products;2008 June;122.4;0.9;10.8
4673;Total sales;10 Food products;2008 July;121.6;-0.7;7.5
4674;Total sales;10 Food products;2008 August;121.4;-0.2;5.7
4675;Total sales;10 Food products;2008 September;120.9;-0.4;3.4
4676;Total sales;10 Food products;2008 October;119.1;-1.5;0.7
4677;Total sales;10 Food products;2008 November;116.8;-1.9;-1.6
4678;Total sales;10 Food products;2008 December;115.7;-1.0;-2.9
4679;Total sales;10 Food products;2008;120.1;;6.8
4680;Total sales;10 Food products;2009 January;114.9;-0.7;-4.3
4681;Total sales;10 Food products;2009 February;114.5;-0.3;-5.2
4682;Total sales;10 Food products;2009 March;113.8;-0.6;-5.6
4683;Total sales;10 Food products;2009 April;112.8;-0.9;-6.5
4684;Total sales;10 Food products;2009 May;112.7;-0.1;-7.1
4685;Total sales;10 Food products;2009 June;112.8;0.1;-7.9
4686;Total sales;10 Food products;2009 July;112.7;-0.1;-7.3
4687;Total sales;10 Food products;2009 August;112.7;0.0;-7.2
4688;Total sales;10 Food products;2009 September;112.6;-0.1;-6.9
4689;Total sales;10 Food products;2009 October;112.4;-0.2;-5.6
4690;Total sales;10 Food products;2009 November;113.1;0.7;-3.2
4691;Total sales;10 Food products;2009 December;113.8;0.6;-1.6
4692;Total sales;10 Food products;2009;113.2;;-5.7
4693;Total sales;10 Food products;2010 January;114.5;0.6;-0.4
4694;Total sales;10 Food products;2010 February;114.8;0.3;0.3
4695;Total sales;10 Food products;2010 March;115.3;0.4;1.3
4696;Total sales;10 Food products;2010 April;116.0;0.7;2.8
4697;Total sales;10 Food products;2010 May;117.5;1.3;4.3
4698;Total sales;10 Food products;2010 June;118.7;1.0;5.2
4699;Total sales;10 Food products;2010 July;118.8;0.1;5.4
4700;Total sales;10 Food products;2010 August;119.9;0.9;6.3
4701;Total sales;10 Food products;2010 September;120.6;0.6;7.1
4702;Total sales;10 Food products;2010 October;122.3;1.3;8.8
4703;Total sales;10 Food products;2010 November;123.5;1.0;9.2
4704;Total sales;10 Food products;2010 December;125.3;1.4;10.1
4705;Total sales;10 Food products;2010;118.9;;5.0
4706;Total sales;10 Food products;2011 January;128.1;2.3;11.9
4707;Total sales;10 Food products;2011 February;129.9;1.3;13.1
4708;Total sales;10 Food products;2011 March;130.7;0.6;13.4
4709;Total sales;10 Food products;2011 April;131.3;0.5;13.1
4710;Total sales;10 Food products;2011 May;131.6;0.3;12.0
4711;Total sales;10 Food products;2011 June;131.1;-0.4;10.5
4712;Total sales;10 Food products;2011 July;131.6;0.4;10.8
4713;Total sales;10 Food products;2011 August;130.7;-0.7;9.0
4714;Total sales;10 Food products;2011 September;130.6;-0.1;8.2
4715;Total sales;10 Food products;2011 October;130.5;0.0;6.8
4716;Total sales;10 Food products;2011 November;131.1;0.4;6.1
4717;Total sales;10 Food products;2011 December;131.6;0.4;5.1
4718;Total sales;10 Food products;2011;130.7;;9.9
4719;Total sales;10 Food products;2012 January;132.3;0.6;3.3
4720;Total sales;10 Food products;2012 February;132.3;0.0;1.9
4721;Total sales;10 Food products;2012 March;132.7;0.3;1.5
4722;Total sales;10 Food products;2012 April;132.9;0.2;1.2
4723;Total sales;10 Food products;2012 May;133.2;0.2;1.2
4724;Total sales;10 Food products;2012 June;134.0;0.6;2.2
4725;Total sales;10 Food products;2012 July;135.3;1.0;2.9
4726;Total sales;10 Food products;2012 August;137.0;1.2;4.8
4727;Total sales;10 Food products;2012 September;137.6;0.5;5.4
4728;Total sales;10 Food products;2012 October;138.5;0.6;6.1
4729;Total sales;10 Food products;2012 November;138.9;0.3;5.9
4730;Total sales;10 Food products;2012 December;138.4;-0.4;5.2
4731;Total sales;10 Food products;2012;135.3;;3.5
4732;Total sales;101 Preserved meat and meat prod...;2000 January;80.6;;
4733;Total sales;101 Preserved meat and meat prod...;2000 February;83.2;3.2;
4734;Total sales;101 Preserved meat and meat prod...;2000 March;83.9;0.8;
4735;Total sales;101 Preserved meat and meat prod...;2000 April;84.0;0.1;
4736;Total sales;101 Preserved meat and meat prod...;2000 May;86.7;3.2;
4737;Total sales;101 Preserved meat and meat prod...;2000 June;88.6;2.1;
4738;Total sales;101 Preserved meat and meat prod...;2000 July;88.8;0.3;
4739;Total sales;101 Preserved meat and meat prod...;2000 August;89.9;1.2;
4740;Total sales;101 Preserved meat and meat prod...;2000 September;91.6;1.9;
4741;Total sales;101 Preserved meat and meat prod...;2000 October;95.2;4.0;
4742;Total sales;101 Preserved meat and meat prod...;2000 November;96.0;0.9;
4743;Total sales;101 Preserved meat and meat prod...;2000 December;96.0;0.0;
4744;Total sales;101 Preserved meat and meat prod...;2000;88.7;;
4745;Total sales;101 Preserved meat and meat prod...;2001 January;92.6;-3.5;14.9
4746;Total sales;101 Preserved meat and meat prod...;2001 February;97.0;4.7;16.5
4747;Total sales;101 Preserved meat and meat prod...;2001 March;103.3;6.6;23.1
