ID;RegioS;Kiesgerechtigden_1;Opkomstpercentage_2;TotaalStemmen_3;GeldigeStemmen_4;OngeldigeStemmen_5;CDA_6;CD_7;EP_8;D66_9;EVPN_10;GL_11;LijstSala_12;PvdA_13;SP_14;SGPGPVRPF_15;VVD_16;CDA_17;CD_18;EP_19;D66_20;EVPN_21;GL_22;LijstSala_23;PvdA_24;SP_25;SGPGPVRPF_26;VVD_27;Gemeente_28;Landsdeel_29;Provincie_30;COROPGebied_31;Kamerkieskring_32
532;Zuidhorn;12969;48.9;6348;6316;32;1834;21;32;227;6;575;2;1106;185;1590;738;29.0;0.3;0.5;3.6;0.1;9.1;0.0;17.5;2.9;25.2;11.7;0056;1;20;03;01
533;Zuidlaren;24075;38.7;9323;9311;12;1730;42;70;546;20;1106;9;2243;256;512;2777;18.6;0.5;0.8;5.9;0.2;11.9;0.1;24.1;2.7;5.5;29.8;0136;1;22;07;03
534;Zundert;15122;23.3;3529;3526;3;1613;16;21;146;6;275;9;542;121;26;751;45.7;0.5;0.6;4.1;0.2;7.8;0.3;15.4;3.4;0.7;21.3;0879;4;30;33;17
535;Zutphen;26497;34.1;9040;8996;44;1552;30;39;556;12;1645;19;2505;792;393;1453;17.3;0.3;0.4;6.2;0.1;18.3;0.2;27.8;8.8;4.4;16.2;0301;2;25;14;07
536;Zwartsluis;3447;39.0;1346;1342;4;532;0;1;28;0;69;2;245;39;252;174;39.6;0.0;0.1;2.1;0.0;5.1;0.1;18.3;2.9;18.8;13.0;0192;2;23;10;04
537;Zwijndrecht;31545;30.4;9574;9548;26;2520;75;54;453;24;784;8;1691;284;1825;1830;26.4;0.8;0.6;4.7;0.3;8.2;0.1;17.7;3.0;19.1;19.2;0642;3;28;30;14
538;Zwolle;80968;33.5;27117;27031;86;6107;72;114;1572;31;3912;24;6013;1122;3889;4175;22.6;0.3;0.4;5.8;0.1;14.5;0.1;22.2;4.2;14.4;15.4;0193;2;23;10;04
539;Totaal Nederland;11862864;30.0;3560764;3544408;16356;954898;17740;23231;205623;13234;419869;10580;712929;178642;309612;698050;26.9;0.5;0.7;5.8;0.4;11.8;0.3;20.1;5.0;8.7;19.7;    ; ;  ;  ;  
540;Noord-Nederland;1270210;33.5;425811;424441;1370;118151;1364;3374;18300;695;44961;612;112308;19259;36053;69364;27.8;0.3;0.8;4.3;0.2;10.6;0.1;26.5;4.5;8.5;16.3;    ;1;  ;  ;  
541;Oost-Nederland;2464745;33.0;813913;810907;3006;240594;3056;4114;37028;1830;86213;1398;157583;32755;103506;142830;29.7;0.4;0.5;4.6;0.2;10.6;0.2;19.4;4.0;12.8;17.6;    ;2;  ;  ;  
542;West-Nederland;5490012;29.2;1604830;1595727;9103;317779;8932;11360;112128;7739;214096;7208;323428;77029;157589;358439;19.9;0.6;0.7;7.0;0.5;13.4;0.5;20.3;4.8;9.9;22.5;    ;3;  ;  ;  
543;Zuid-Nederland;2637897;27.2;716210;713333;2877;278374;4388;4383;38167;2970;74599;1362;119610;49599;12464;127417;39.0;0.6;0.6;5.4;0.4;10.5;0.2;16.8;7.0;1.7;17.9;    ;4;  ;  ;  
544;Groningen (PV);438781;33.4;146425;145778;647;32445;506;1440;7124;238;18295;225;39734;7902;15955;21914;22.3;0.3;1.0;4.9;0.2;12.5;0.2;27.3;5.4;10.9;15.0;    ;1;20;  ;  
545;Friesland (PV);471851;33.8;159721;159237;484;54448;445;1127;5549;246;15693;178;39400;6782;11484;23885;34.2;0.3;0.7;3.5;0.2;9.9;0.1;24.7;4.3;7.2;15.0;    ;1;21;  ;  
546;Drenthe (PV);359578;33.3;119665;119426;239;31258;413;807;5627;211;10973;209;33174;4575;8614;23565;26.2;0.3;0.7;4.7;0.2;9.2;0.2;27.8;3.8;7.2;19.7;    ;1;22;  ;  
547;Overijssel (PV);805120;33.9;273273;272258;1015;94906;841;1105;10230;523;23861;363;52200;10124;38322;39783;34.9;0.3;0.4;3.8;0.2;8.8;0.1;19.2;3.7;14.1;14.6;    ;2;23;  ;  
548;Flevoland (PV);215127;29.3;63004;62780;224;13240;284;446;3616;247;7125;252;12688;2400;7871;14611;21.1;0.5;0.7;5.8;0.4;11.3;0.4;20.2;3.8;12.5;23.3;    ;2;24;  ;  
549;Gelderland (PV);1444498;33.1;477636;475869;1767;132448;1931;2563;23182;1060;55227;783;92695;20231;57313;88436;27.8;0.4;0.5;4.9;0.2;11.6;0.2;19.5;4.3;12.0;18.6;    ;2;25;  ;  
550;Utrecht (PV);821705;33.7;277240;276112;1128;57303;1046;1545;19322;898;41926;669;46797;12054;33762;60790;20.8;0.4;0.6;7.0;0.3;15.2;0.2;16.9;4.4;12.2;22.0;    ;3;26;  ;  
551;Noord-Holland (PV);1873698;27.5;515388;512562;2826;89327;2779;4012;37244;2740;85321;4859;119980;26160;16967;123173;17.4;0.5;0.8;7.3;0.5;16.6;0.9;23.4;5.1;3.3;24.0;    ;3;27;  ;  
552;Zuid-Holland (PV);2516324;28.9;726151;721254;4897;151594;4655;5441;48923;3400;79874;1540;142091;35564;87699;160473;21.0;0.6;0.8;6.8;0.5;11.1;0.2;19.7;4.9;12.2;22.2;    ;3;28;  ;  
553;Zeeland (PV);278285;30.9;86051;85799;252;19555;452;362;6639;701;6975;140;14560;3251;19161;14003;22.8;0.5;0.4;7.7;0.8;8.1;0.2;17.0;3.8;22.3;16.3;    ;3;29;  ;  
554;Noord-Brabant (PV);1771704;27.2;481037;479319;1718;166903;2718;3417;28630;1482;51075;905;82914;33915;10841;96519;34.8;0.6;0.7;6.0;0.3;10.7;0.2;17.3;7.1;2.3;20.1;    ;4;30;  ;  
555;Limburg (PV);866193;27.2;235173;234014;1159;111471;1670;966;9537;1488;23524;457;36696;15684;1623;30898;47.6;0.7;0.4;4.1;0.6;10.1;0.2;15.7;6.7;0.7;13.2;    ;4;31;  ;  
556;Oost-Groningen (CR);119464;28.9;34522;34360;162;8418;177;300;1064;57;2902;74;11680;1808;2727;5153;24.5;0.5;0.9;3.1;0.2;8.4;0.2;34.0;5.3;7.9;15.0;    ;1;20;01;  
557;Delfzijl en omgeving (CR);40415;29.6;11955;11928;27;3511;49;125;421;22;908;14;3485;616;1121;1656;29.4;0.4;1.0;3.5;0.2;7.6;0.1;29.2;5.2;9.4;13.9;    ;1;20;02;  
558;Overig Groningen (CR);278902;35.8;99948;99490;458;20516;280;1015;5639;159;14485;137;24569;5478;12107;15105;20.6;0.3;1.0;5.7;0.2;14.6;0.1;24.7;5.5;12.2;15.2;    ;1;20;03;  
559;Noord-Friesland (CR);245312;33.9;83231;82964;267;29282;221;521;2868;126;8351;84;19984;3675;6124;11728;35.3;0.3;0.6;3.5;0.2;10.1;0.1;24.1;4.4;7.4;14.1;    ;1;21;04;  
560;Zuidwest-Friesland (CR);75958;32.8;24907;24837;70;10264;51;191;800;56;2283;34;5057;1043;1281;3777;41.3;0.2;0.8;3.2;0.2;9.2;0.1;20.4;4.2;5.2;15.2;    ;1;21;05;  
561;Zuidoost-Friesland (CR);150581;34.3;51583;51436;147;14902;173;415;1881;64;5059;60;14359;2064;4079;8380;29.0;0.3;0.8;3.7;0.1;9.8;0.1;27.9;4.0;7.9;16.3;    ;1;21;06;  
562;Noord-Drenthe (CR);134622;36.1;48585;48479;106;10121;190;412;2558;77;5360;82;13658;1682;3714;10625;20.9;0.4;0.8;5.3;0.2;11.1;0.2;28.2;3.5;7.7;21.9;    ;1;22;07;  
563;Zuidoost-Drenthe (CR);128913;28.9;37220;37145;75;11149;125;213;1600;72;2909;73;11371;1664;1623;6346;30.0;0.3;0.6;4.3;0.2;7.8;0.2;30.6;4.5;4.4;17.1;    ;1;22;08;  
564;Zuidwest-Drenthe (CR);96043;35.3;33860;33802;58;9988;98;182;1469;62;2704;54;8145;1229;3277;6594;29.5;0.3;0.5;4.3;0.2;8.0;0.2;24.1;3.6;9.7;19.5;    ;1;22;09;  
565;Noord-Overijssel (CR);256498;39.4;101035;100693;342;32255;263;377;3414;142;7685;91;17555;2833;23162;12916;32.0;0.3;0.4;3.4;0.1;7.6;0.1;17.4;2.8;23.0;12.8;    ;2;23;10;  
566;Zuidwest-Overijssel (CR);101658;32.2;32768;32685;83;10031;110;166;1699;50;4079;61;7866;1237;939;6447;30.7;0.3;0.5;5.2;0.2;12.5;0.2;24.1;3.8;2.9;19.7;    ;2;23;11;  
567;Twente (CR);446964;31.2;139470;138880;590;52620;468;562;5117;331;12097;211;26779;6054;14221;20420;37.9;0.3;0.4;3.7;0.2;8.7;0.2;19.3;4.4;10.2;14.7;    ;2;23;12;  
568;Veluwe (CR);465985;36.9;171854;171361;493;43808;654;936;6799;381;15286;270;25140;4299;42972;30816;25.6;0.4;0.5;4.0;0.2;8.9;0.2;14.7;2.5;25.1;18.0;    ;2;25;13;  
569;Achterhoek (CR);288224;33.8;97291;96961;330;34439;341;450;4185;216;9344;146;22145;3730;3016;18949;35.5;0.4;0.5;4.3;0.2;9.6;0.2;22.8;3.8;3.1;19.5;    ;2;25;14;  
570;Arnhem/Nijmegen (CR);526999;30.1;158414;157580;834;42138;641;937;9972;368;26247;280;34932;10285;3992;27788;26.7;0.4;0.6;6.3;0.2;16.7;0.2;22.2;6.5;2.5;17.6;    ;2;25;15;  
571;Zuidwest-Gelderland (CR);163290;30.7;50077;49967;110;12063;295;240;2226;95;4350;87;10478;1917;7333;10883;24.1;0.6;0.5;4.5;0.2;8.7;0.2;21.0;3.8;14.7;21.8;    ;2;25;16;  
572;Utrecht (CR);821705;33.7;277240;276112;1128;57303;1046;1545;19322;898;41926;669;46797;12054;33762;60790;20.8;0.4;0.6;7.0;0.3;15.2;0.2;16.9;4.4;12.2;22.0;    ;3;26;17;  
573;Kop van Noord-Holland (CR);264342;26.0;68679;68362;317;17145;314;603;3799;336;7916;269;15370;3072;2635;16903;25.1;0.5;0.9;5.6;0.5;11.6;0.4;22.5;4.5;3.9;24.7;    ;3;27;18;  
574;Alkmaar en omgeving (CR);172168;28.3;48740;48572;168;10212;219;401;3209;182;7223;154;11041;2937;1223;11771;21.0;0.5;0.8;6.6;0.4;14.9;0.3;22.7;6.0;2.5;24.2;    ;3;27;19;  
575;IJmond (CR);130255;27.0;35121;35006;115;7630;211;292;2136;318;5117;177;8774;1522;1131;7698;21.8;0.6;0.8;6.1;0.9;14.6;0.5;25.1;4.3;3.2;22.0;    ;3;27;20;  
576;Agglomeratie Haarlem (CR);168266;30.6;51562;51352;210;9284;163;370;3792;257;8202;153;10979;2074;1466;14612;18.1;0.3;0.7;7.4;0.5;16.0;0.3;21.4;4.0;2.9;28.5;    ;3;27;21;  
577;Zaanstreek (CR);113491;25.2;28550;28434;116;4815;208;195;1592;156;4588;400;7686;1948;1120;5726;16.9;0.7;0.7;5.6;0.5;16.1;1.4;27.0;6.9;3.9;20.1;    ;3;27;22;  
578;Groot Amsterdam (CR);847584;26.3;223117;221441;1676;29213;1395;1752;18111;1192;44379;3407;55161;12541;5401;48889;13.2;0.6;0.8;8.2;0.5;20.0;1.5;24.9;5.7;2.4;22.1;    ;3;27;23;  
579;Het Gooi en Vechtstreek (CR);177592;33.6;59619;59395;224;11028;269;399;4605;299;7896;299;10969;2066;3991;17574;18.6;0.5;0.7;7.8;0.5;13.3;0.5;18.5;3.5;6.7;29.6;    ;3;27;24;  
580;Aggl. Leiden en Bollenstreek (CR);285619;32.9;94044;93523;521;21292;362;613;6768;337;12952;246;15729;4302;8192;22730;22.8;0.4;0.7;7.2;0.4;13.8;0.3;16.8;4.6;8.8;24.3;    ;3;28;25;  
581;Agglomeratie 's-Gravenhage (CR);538657;28.5;153781;152224;1557;27908;904;1266;15498;816;19101;366;28657;8033;6450;43225;18.3;0.6;0.8;10.2;0.5;12.5;0.2;18.8;5.3;4.2;28.4;    ;3;28;26;  
582;Delft en Westland (CR);170610;31.6;53907;53341;566;16688;243;354;3334;175;6363;123;8548;1816;3942;11755;31.3;0.5;0.7;6.3;0.3;11.9;0.2;16.0;3.4;7.4;22.0;    ;3;28;27;  
583;Oost-Zuid-Holland (CR);235291;32.6;76613;76294;319;17813;404;531;4356;299;7604;185;12300;3004;13221;16577;23.3;0.5;0.7;5.7;0.4;10.0;0.2;16.1;3.9;17.3;21.7;    ;3;28;28;  
584;Groot Rijnmond (CR);983504;25.7;252679;250988;1691;47114;2150;2230;15047;1551;26373;493;58403;15202;32100;50325;18.8;0.9;0.9;6.0;0.6;10.5;0.2;23.3;6.1;12.8;20.1;    ;3;28;29;  
585;Zuidoost-Zuid-Holland (CR);302643;31.4;95127;94884;243;20779;592;447;3920;222;7481;127;18454;3207;23794;15861;21.9;0.6;0.5;4.1;0.2;7.9;0.1;19.4;3.4;25.1;16.7;    ;3;28;30;  
586;Zeeuwsch-Vlaanderen (CR);79632;26.5;21126;21052;74;5614;166;108;2986;369;1473;48;3916;592;2191;3589;26.7;0.8;0.5;14.2;1.8;7.0;0.2;18.6;2.8;10.4;17.0;    ;3;29;31;  
587;Overig Zeeland (CR);198653;32.7;64925;64747;178;13941;286;254;3653;332;5502;92;10644;2659;16970;10414;21.5;0.4;0.4;5.6;0.5;8.5;0.1;16.4;4.1;26.2;16.1;    ;3;29;32;  
588;West-Noord-Brabant (CR);446333;24.9;111273;110980;293;34702;762;1011;9374;353;11726;235;20631;5424;2004;24758;31.3;0.7;0.9;8.4;0.3;10.6;0.2;18.6;4.9;1.8;22.3;    ;4;30;33;  
589;Midden-Noord-Brabant (CR);330572;26.1;86333;86019;314;29123;494;565;4277;263;9393;157;14582;5823;5721;15621;33.9;0.6;0.7;5.0;0.3;10.9;0.2;17.0;6.8;6.7;18.2;    ;4;30;34;  
590;Noordoost-Noord-Brabant (CR);461221;28.8;132863;132380;483;51017;627;933;6338;396;13114;235;22339;12580;1115;23686;38.5;0.5;0.7;4.8;0.3;9.9;0.2;16.9;9.5;0.8;17.9;    ;4;30;35;  
591;Zuidoost-Noord-Brabant (CR);533578;28.2;150568;149940;628;52061;835;908;8641;470;16842;278;25362;10088;2001;32454;34.7;0.6;0.6;5.8;0.3;11.2;0.2;16.9;6.7;1.3;21.6;    ;4;30;36;  
592;Noord-Limburg (CR);202839;27.3;55431;55167;264;28766;375;232;2049;147;4707;77;7953;2351;295;8215;52.1;0.7;0.4;3.7;0.3;8.5;0.1;14.4;4.3;0.5;14.9;    ;4;31;37;  
593;Midden-Limburg (CR);166122;28.7;47625;47339;286;25640;340;207;1672;223;3707;98;6442;1836;325;6849;54.2;0.7;0.4;3.5;0.5;7.8;0.2;13.6;3.9;0.7;14.5;    ;4;31;38;  
594;Zuid-Limburg (CR);497232;26.6;132117;131508;609;57065;955;527;5816;1118;15110;282;22301;11497;1003;15834;43.4;0.7;0.4;4.4;0.9;11.5;0.2;17.0;8.7;0.8;12.0;    ;4;31;39;  
595;Flevoland (CR);215127;29.3;63004;62780;224;13240;284;446;3616;247;7125;252;12688;2400;7871;14611;21.1;0.5;0.7;5.8;0.4;11.3;0.4;20.2;3.8;12.5;23.3;    ;2;24;40;  
596;Groningen (KK);438781;33.4;146425;145778;647;32445;506;1440;7124;238;18295;225;39734;7902;15955;21914;22.3;0.3;1.0;4.9;0.2;12.5;0.2;27.3;5.4;10.9;15.0;    ;1;20;  ;01
597;Leeuwarden (KK);471851;33.8;159721;159237;484;54448;445;1127;5549;246;15693;178;39400;6782;11484;23885;34.2;0.3;0.7;3.5;0.2;9.9;0.1;24.7;4.3;7.2;15.0;    ;1;21;  ;02
598;Assen (KK);359578;33.3;119665;119426;239;31258;413;807;5627;211;10973;209;33174;4575;8614;23565;26.2;0.3;0.7;4.7;0.2;9.2;0.2;27.8;3.8;7.2;19.7;    ;1;22;  ;03
599;Zwolle (KK);805120;33.9;273273;272258;1015;94906;841;1105;10230;523;23861;363;52200;10124;38322;39783;34.9;0.3;0.4;3.8;0.2;8.8;0.1;19.2;3.7;14.1;14.6;    ;2;23;  ;04
600;Lelystad (KK);215127;29.3;63004;62780;224;13240;284;446;3616;247;7125;252;12688;2400;7871;14611;21.1;0.5;0.7;5.8;0.4;11.3;0.4;20.2;3.8;12.5;23.3;    ;2;24;  ;05
601;Nijmegen (KK);376374;30.5;114632;114122;510;29690;556;591;6116;232;17325;204;24301;7147;7821;20139;26.0;0.5;0.5;5.4;0.2;15.2;0.2;21.3;6.3;6.9;17.6;    ;2;25;  ;06
602;Arnhem (KK);1068124;34.0;363004;361747;1257;102758;1375;1972;17066;828;37902;579;68394;13084;49492;68297;28.4;0.4;0.5;4.7;0.2;10.5;0.2;18.9;3.6;13.7;18.9;    ;2;25;  ;07
603;Utrecht (KK);821705;33.7;277240;276112;1128;57303;1046;1545;19322;898;41926;669;46797;12054;33762;60790;20.8;0.4;0.6;7.0;0.3;15.2;0.2;16.9;4.4;12.2;22.0;    ;3;26;  ;08
604;Amsterdam (KK);527116;25.3;133272;131874;1398;11957;946;952;11938;684;32469;2669;35921;9431;2021;22886;9.1;0.7;0.7;9.1;0.5;24.6;2.0;27.2;7.2;1.5;17.4;    ;3;27;  ;09
605;Haarlem (KK);654287;30.4;198820;198145;675;38275;901;1492;14326;1112;27758;992;40633;7183;9179;56294;19.3;0.5;0.8;7.2;0.6;14.0;0.5;20.5;3.6;4.6;28.4;    ;3;27;  ;10
606;Den Helder (KK);692295;26.5;183296;182543;753;39095;932;1568;10980;944;25094;1198;43426;9546;5767;43993;21.4;0.5;0.9;6.0;0.5;13.7;0.7;23.8;5.2;3.2;24.1;    ;3;27;  ;11
607;'s-Gravenhage (KK);335120;27.0;90619;89565;1054;14642;592;662;10564;421;11981;195;17814;3983;3452;25259;16.3;0.7;0.7;11.8;0.5;13.4;0.2;19.9;4.4;3.9;28.2;    ;3;28;  ;12
608;Rotterdam (KK);428662;22.4;96005;94835;1170;15649;1122;1100;7056;698;12459;193;25936;7707;5503;17412;16.5;1.2;1.2;7.4;0.7;13.1;0.2;27.3;8.1;5.8;18.4;    ;3;28;  ;13
609;Dordrecht (KK);922545;29.3;270561;269233;1328;61975;1690;1728;13339;1159;25344;499;53223;11716;45565;52995;23.0;0.6;0.6;5.0;0.4;9.4;0.2;19.8;4.4;16.9;19.7;    ;3;28;  ;14
610;Leiden (KK);829997;32.4;268966;267621;1345;59328;1251;1951;17964;1122;30090;653;45118;12158;33179;64807;22.2;0.5;0.7;6.7;0.4;11.2;0.2;16.9;4.5;12.4;24.2;    ;3;28;  ;15
611;Middelburg (KK);278285;30.9;86051;85799;252;19555;452;362;6639;701;6975;140;14560;3251;19161;14003;22.8;0.5;0.4;7.7;0.8;8.1;0.2;17.0;3.8;22.3;16.3;    ;3;29;  ;16
612;Tilburg (KK);776905;25.4;197606;196999;607;63825;1256;1576;13651;616;21119;392;35213;11247;7725;40379;32.4;0.6;0.8;6.9;0.3;10.7;0.2;17.9;5.7;3.9;20.5;    ;4;30;  ;17
613;'s-Hertogenbosch (KK);994799;28.5;283431;282320;1111;103078;1462;1841;14979;866;29956;513;47701;22668;3116;56140;36.5;0.5;0.7;5.3;0.3;10.6;0.2;16.9;8.0;1.1;19.9;    ;4;30;  ;18
614;Maastricht (KK);866193;27.2;235173;234014;1159;111471;1670;966;9537;1488;23524;457;36696;15684;1623;30898;47.6;0.7;0.4;4.1;0.6;10.1;0.2;15.7;6.7;0.7;13.2;    ;4;31;  ;19
