ID;Sex;Age31December;Periods;Deaths_1
662;Total male and female;Total;1983 week 14;2279
663;Total male and female;Total;1983 week 15;2225
664;Total male and female;Total;1983 week 16;2190
665;Total male and female;Total;1983 week 17;2210
666;Total male and female;Total;1983 week 18;2199
667;Total male and female;Total;1983 week 19;2284
668;Total male and female;Total;1983 week 20;2182
669;Total male and female;Total;1983 week 21;2151
670;Total male and female;Total;1983 week 22;2318
671;Total male and female;Total;1983 week 23;2260
672;Total male and female;Total;1983 week 24;2151
673;Total male and female;Total;1983 week 25;2382
674;Total male and female;Total;1983 week 26;2079
675;Total male and female;Total;1983 week 27;2329
676;Total male and female;Total;1983 week 28;2409
677;Total male and female;Total;1983 week 29;2212
678;Total male and female;Total;1983 week 30;2110
679;Total male and female;Total;1983 week 31;1942
680;Total male and female;Total;1983 week 32;2079
681;Total male and female;Total;1983 week 33;2229
682;Total male and female;Total;1983 week 34;2102
683;Total male and female;Total;1983 week 35;2050
684;Total male and female;Total;1983 week 36;2072
685;Total male and female;Total;1983 week 37;2117
686;Total male and female;Total;1983 week 38;2134
687;Total male and female;Total;1983 week 39;2174
688;Total male and female;Total;1983 week 40;2155
689;Total male and female;Total;1983 week 41;2230
690;Total male and female;Total;1983 week 42;2169
691;Total male and female;Total;1983 week 43;2156
692;Total male and female;Total;1983 week 44;2305
693;Total male and female;Total;1983 week 45;2271
694;Total male and female;Total;1983 week 46;2269
695;Total male and female;Total;1983 week 47;2368
696;Total male and female;Total;1983 week 48;2270
697;Total male and female;Total;1983 week 49;2330
698;Total male and female;Total;1983 week 50;2407
699;Total male and female;Total;1983 week 51;2322
700;Total male and female;Total;1983 week 52 (6 days);1967
701;Total male and female;Total;1983;117761
702;Total male and female;Total;1984 week 0 (1 day);320
703;Total male and female;Total;1984 week 1;2343
704;Total male and female;Total;1984 week 2;2385
705;Total male and female;Total;1984 week 3;2333
706;Total male and female;Total;1984 week 4;2341
707;Total male and female;Total;1984 week 5;2363
708;Total male and female;Total;1984 week 6;2334
709;Total male and female;Total;1984 week 7;2206
710;Total male and female;Total;1984 week 8;2403
711;Total male and female;Total;1984 week 9;2532
712;Total male and female;Total;1984 week 10;2404
713;Total male and female;Total;1984 week 11;2524
714;Total male and female;Total;1984 week 12;2712
715;Total male and female;Total;1984 week 13;2613
716;Total male and female;Total;1984 week 14;2525
717;Total male and female;Total;1984 week 15;2500
718;Total male and female;Total;1984 week 16;2361
719;Total male and female;Total;1984 week 17;2321
720;Total male and female;Total;1984 week 18;2315
721;Total male and female;Total;1984 week 19;2215
722;Total male and female;Total;1984 week 20;2330
723;Total male and female;Total;1984 week 21;2163
724;Total male and female;Total;1984 week 22;2209
725;Total male and female;Total;1984 week 23;2096
726;Total male and female;Total;1984 week 24;2272
727;Total male and female;Total;1984 week 25;2239
728;Total male and female;Total;1984 week 26;2199
729;Total male and female;Total;1984 week 27;2150
730;Total male and female;Total;1984 week 28;2240
731;Total male and female;Total;1984 week 29;2095
732;Total male and female;Total;1984 week 30;2040
733;Total male and female;Total;1984 week 31;2142
734;Total male and female;Total;1984 week 32;2007
735;Total male and female;Total;1984 week 33;2127
736;Total male and female;Total;1984 week 34;2327
737;Total male and female;Total;1984 week 35;2087
738;Total male and female;Total;1984 week 36;2079
739;Total male and female;Total;1984 week 37;2072
740;Total male and female;Total;1984 week 38;2157
741;Total male and female;Total;1984 week 39;2243
742;Total male and female;Total;1984 week 40;2282
743;Total male and female;Total;1984 week 41;2236
744;Total male and female;Total;1984 week 42;2233
745;Total male and female;Total;1984 week 43;2232
746;Total male and female;Total;1984 week 44;2263
747;Total male and female;Total;1984 week 45;2248
748;Total male and female;Total;1984 week 46;2282
749;Total male and female;Total;1984 week 47;2411
750;Total male and female;Total;1984 week 48;2288
751;Total male and female;Total;1984 week 49;2343
752;Total male and female;Total;1984 week 50;2437
753;Total male and female;Total;1984 week 51;2423
754;Total male and female;Total;1984 week 52;2432
755;Total male and female;Total;1984 week 53 (1 day);378
756;Total male and female;Total;1984;119812
757;Total male and female;Total;1985 week 1 (6 days);2271
758;Total male and female;Total;1985 week 2;2700
759;Total male and female;Total;1985 week 3;2709
760;Total male and female;Total;1985 week 4;2676
761;Total male and female;Total;1985 week 5;2588
762;Total male and female;Total;1985 week 6;2440
763;Total male and female;Total;1985 week 7;2613
764;Total male and female;Total;1985 week 8;2640
765;Total male and female;Total;1985 week 9;2856
766;Total male and female;Total;1985 week 10;2789
767;Total male and female;Total;1985 week 11;2624
768;Total male and female;Total;1985 week 12;2594
769;Total male and female;Total;1985 week 13;2454
770;Total male and female;Total;1985 week 14;2437
771;Total male and female;Total;1985 week 15;2210
772;Total male and female;Total;1985 week 16;2257
773;Total male and female;Total;1985 week 17;2325
774;Total male and female;Total;1985 week 18;2226
775;Total male and female;Total;1985 week 19;2215
776;Total male and female;Total;1985 week 20;2244
777;Total male and female;Total;1985 week 21;2203
778;Total male and female;Total;1985 week 22;2202
779;Total male and female;Total;1985 week 23;2172
780;Total male and female;Total;1985 week 24;2174
781;Total male and female;Total;1985 week 25;2250
782;Total male and female;Total;1985 week 26;2143
783;Total male and female;Total;1985 week 27;2213
784;Total male and female;Total;1985 week 28;2207
785;Total male and female;Total;1985 week 29;2071
786;Total male and female;Total;1985 week 30;2151
787;Total male and female;Total;1985 week 31;2112
788;Total male and female;Total;1985 week 32;2123
789;Total male and female;Total;1985 week 33;2116
790;Total male and female;Total;1985 week 34;2054
791;Total male and female;Total;1985 week 35;2149
792;Total male and female;Total;1985 week 36;2090
793;Total male and female;Total;1985 week 37;2176
794;Total male and female;Total;1985 week 38;2143
795;Total male and female;Total;1985 week 39;2095
796;Total male and female;Total;1985 week 40;2228
797;Total male and female;Total;1985 week 41;2208
798;Total male and female;Total;1985 week 42;2223
799;Total male and female;Total;1985 week 43;2347
800;Total male and female;Total;1985 week 44;2412
801;Total male and female;Total;1985 week 45;2499
802;Total male and female;Total;1985 week 46;2445
803;Total male and female;Total;1985 week 47;2462
804;Total male and female;Total;1985 week 48;2628
805;Total male and female;Total;1985 week 49;2409
806;Total male and female;Total;1985 week 50;2430
807;Total male and female;Total;1985 week 51;2389
808;Total male and female;Total;1985 week 52;2564
809;Total male and female;Total;1985 week 53 (2 days);748
810;Total male and female;Total;1985;122704
811;Total male and female;Total;1986 week 1 (5 days);1905
812;Total male and female;Total;1986 week 2;2586
813;Total male and female;Total;1986 week 3;2631
814;Total male and female;Total;1986 week 4;2620
815;Total male and female;Total;1986 week 5;2514
816;Total male and female;Total;1986 week 6;2613
817;Total male and female;Total;1986 week 7;2964
818;Total male and female;Total;1986 week 8;3204
819;Total male and female;Total;1986 week 9;3354
820;Total male and female;Total;1986 week 10;3237
821;Total male and female;Total;1986 week 11;2958
822;Total male and female;Total;1986 week 12;2663
823;Total male and female;Total;1986 week 13;2569
824;Total male and female;Total;1986 week 14;2372
825;Total male and female;Total;1986 week 15;2372
826;Total male and female;Total;1986 week 16;2337
827;Total male and female;Total;1986 week 17;2296
828;Total male and female;Total;1986 week 18;2382
829;Total male and female;Total;1986 week 19;2178
830;Total male and female;Total;1986 week 20;2215
831;Total male and female;Total;1986 week 21;2263
832;Total male and female;Total;1986 week 22;2161
833;Total male and female;Total;1986 week 23;2175
834;Total male and female;Total;1986 week 24;2283
835;Total male and female;Total;1986 week 25;2400
836;Total male and female;Total;1986 week 26;2288
837;Total male and female;Total;1986 week 27;2521
838;Total male and female;Total;1986 week 28;2078
839;Total male and female;Total;1986 week 29;2131
840;Total male and female;Total;1986 week 30;2063
841;Total male and female;Total;1986 week 31;2194
842;Total male and female;Total;1986 week 32;2080
843;Total male and female;Total;1986 week 33;2106
844;Total male and female;Total;1986 week 34;2108
845;Total male and female;Total;1986 week 35;2132
846;Total male and female;Total;1986 week 36;2064
847;Total male and female;Total;1986 week 37;2322
848;Total male and female;Total;1986 week 38;2264
849;Total male and female;Total;1986 week 39;2248
850;Total male and female;Total;1986 week 40;2229
851;Total male and female;Total;1986 week 41;2202
852;Total male and female;Total;1986 week 42;2174
853;Total male and female;Total;1986 week 43;2297
854;Total male and female;Total;1986 week 44;2262
855;Total male and female;Total;1986 week 45;2382
856;Total male and female;Total;1986 week 46;2378
857;Total male and female;Total;1986 week 47;2336
858;Total male and female;Total;1986 week 48;2340
859;Total male and female;Total;1986 week 49;2353
860;Total male and female;Total;1986 week 50;2430
861;Total male and female;Total;1986 week 51;2543
862;Total male and female;Total;1986 week 52;2434
863;Total male and female;Total;1986 week 53 (3 days);1096
864;Total male and female;Total;1986;125307
865;Total male and female;Total;1987 week 1 (4 days);1409
866;Total male and female;Total;1987 week 2;2408
867;Total male and female;Total;1987 week 3;2689
868;Total male and female;Total;1987 week 4;2650
869;Total male and female;Total;1987 week 5 ;2586
870;Total male and female;Total;1987 week 6;2637
871;Total male and female;Total;1987 week 7;2466
872;Total male and female;Total;1987 week 8;2418
873;Total male and female;Total;1987 week 9;2398
874;Total male and female;Total;1987 week 10;2441
875;Total male and female;Total;1987 week 11;2448
876;Total male and female;Total;1987 week 12;2448
877;Total male and female;Total;1987 week 13;2419
878;Total male and female;Total;1987 week 14;2288
879;Total male and female;Total;1987 week 15;2292
880;Total male and female;Total;1987 week 16;2310
881;Total male and female;Total;1987 week 17;2225
882;Total male and female;Total;1987 week 18;2328
883;Total male and female;Total;1987 week 19;2265
884;Total male and female;Total;1987 week 20;2236
885;Total male and female;Total;1987 week 21;2260
886;Total male and female;Total;1987 week 22;2268
887;Total male and female;Total;1987 week 23;2300
888;Total male and female;Total;1987 week 24;2307
889;Total male and female;Total;1987 week 25;2234
890;Total male and female;Total;1987 week 26;2317
891;Total male and female;Total;1987 week 27;2387
892;Total male and female;Total;1987 week 28;2332
893;Total male and female;Total;1987 week 29;2234
894;Total male and female;Total;1987 week 30;2035
895;Total male and female;Total;1987 week 31;2116
896;Total male and female;Total;1987 week 32;2107
897;Total male and female;Total;1987 week 33;2218
898;Total male and female;Total;1987 week 34;2195
899;Total male and female;Total;1987 week 35;2118
900;Total male and female;Total;1987 week 36;2148
901;Total male and female;Total;1987 week 37;2167
