ID;Sex;PersonalCharacteristics;Periods;TotalPopulationAged15YearsAndOlder_1;TotalLabourForceAccToInternatDef_2;EmpLabourForceAccToInternatDef_3;UnempLabourForceAccToInternatDef_4;PeopleNotIncludedInTheLabourForce_5;GrossLabourParticipation_6;NetLabourParticipation_7;UnemploymentAsAPercentage_8;TotalEmployees_9;EmployeesPermanentJobs_10;EmployeesFlexibleJobs_11;SelfEmployed_12;FamilyWorkers_13;k_0119HrsPerWeek_14;k_2034HrsPerWeek_15;k_35HrsPerWeek_16;WorkingHoursUnknown_17;Military_18;LegislatorsSeniorOfficialsManagers_19;ScientistsScholars_20;TechniciansSkilledWorkers_21;OfficeWorkers_22;ServiceShopAndMarketSalesWorkers_23;SkilledWorkersAgricultureAndFishery_24;Craftsmen_25;FactoryWorkersMachineOperatorsEtc_26;ElementaryOccupations_27;NotClassifiable_28
463;Men;Lower secondary education;2001;1595;1079;1045;34.0;516.0;67.7;65.5;3.2;935.0;812.0;122.0;109.0;2.0;126.0;98.0;821.0;;10.0;113.0;20.0;78.0;81.0;86.0;30.0;275.0;178.0;153.0;22.0
464;Men;Lower secondary education;2002;1551;1030;991;39.0;521.0;66.4;63.9;3.8;883.0;761.0;121.0;106.0;2.0;125.0;92.0;772.0;2.0;9.0;110.0;19.0;63.0;64.0;90.0;35.0;260.0;166.0;155.0;20.0
465;Men;Lower secondary education;2003;1531;1013;958;55.0;518.0;66.2;62.6;5.5;853.0;732.0;121.0;102.0;3.0;132.0;105.0;720.0;2.0;8.0;103.0;19.0;66.0;69.0;88.0;34.0;227.0;171.0;155.0;17.0
466;Men;Lower secondary education;2004;1525;1003;946;57.0;522.0;65.8;62.0;5.7;836.0;705.0;131.0;108.0;2.0;142.0;93.0;709.0;2.0;7.0;82.0;16.0;65.0;81.0;86.0;34.0;244.0;173.0;150.0;6.0
467;Men;Lower secondary education;2005;1516;968;907;61.0;548.0;63.9;59.9;6.3;793.0;655.0;138.0;112.0;2.0;141.0;92.0;673.0;2.0;9.0;84.0;18.0;57.0;72.0;84.0;31.0;222.0;163.0;158.0;10.0
468;Men;Lower secondary education;2006;1520;993;945;49.0;526.0;65.4;62.2;4.9;824.0;665.0;159.0;118.0;2.0;161.0;99.0;682.0;3.0;8.0;92.0;18.0;60.0;68.0;86.0;34.0;221.0;161.0;183.0;13.0
469;Men;Higher secondary education;2000;2298;1781;1749;32.0;517.0;77.5;76.1;1.8;1497.0;1344.0;154.0;245.0;7.0;148.0;143.0;1457.0;;19.0;314.0;135.0;337.0;146.0;157.0;35.0;329.0;144.0;96.0;37.0
470;Men;Higher secondary education;2001;2340;1801;1774;28.0;539.0;77.0;75.8;1.5;1531.0;1386.0;145.0;238.0;5.0;145.0;148.0;1480.0;;21.0;317.0;143.0;334.0;149.0;153.0;34.0;343.0;158.0;97.0;25.0
471;Men;Higher secondary education;2002;2380;1823;1783;40.0;557.0;76.6;74.9;2.2;1511.0;1360.0;151.0;268.0;4.0;158.0;157.0;1465.0;2.0;17.0;313.0;132.0;342.0;140.0;164.0;34.0;353.0;159.0;105.0;24.0
472;Men;Higher secondary education;2003;2370;1814;1751;63.0;556.0;76.5;73.9;3.5;1491.0;1349.0;142.0;257.0;3.0;149.0;164.0;1437.0;2.0;15.0;291.0;120.0;342.0;139.0;177.0;33.0;341.0;158.0;109.0;27.0
473;Men;Higher secondary education;2004;2330;1763;1679;83.0;568.0;75.6;72.1;4.7;1430.0;1272.0;158.0;246.0;4.0;159.0;162.0;1355.0;4.0;16.0;227.0;118.0;332.0;153.0;170.0;37.0;347.0;170.0;105.0;5.0
474;Men;Higher secondary education;2005;2405;1811;1727;85.0;594.0;75.3;71.8;4.7;1464.0;1295.0;168.0;259.0;4.0;164.0;168.0;1391.0;3.0;17.0;231.0;112.0;316.0;146.0;190.0;32.0;367.0;163.0;135.0;17.0
475;Men;Higher secondary education;2006;2422;1812;1745;67.0;610.0;74.8;72.0;3.7;1464.0;1286.0;178.0;275.0;6.0;161.0;167.0;1410.0;7.0;18.0;250.0;115.0;308.0;147.0;194.0;37.0;360.0;169.0;128.0;20.0
476;Men;Post-secondary education;2000;206;158;156;2.0;48.0;76.5;75.6;1.2;135.0;129.0;6.0;20.0;;5.0;11.0;140.0;;;37.0;17.0;47.0;11.0;7.0;;19.0;9.0;3.0;3.0
477;Men;Post-secondary education;2001;211;160;158;2.0;50.0;76.1;75.0;1.5;141.0;136.0;5.0;16.0;;5.0;16.0;137.0;;;37.0;19.0;49.0;16.0;7.0;;19.0;5.0;4.0;
478;Men;Post-secondary education;2002;208;150;148;2.0;58.0;72.0;71.1;1.3;124.0;119.0;5.0;23.0;;7.0;16.0;124.0;;;29.0;19.0;46.0;14.0;8.0;;17.0;7.0;4.0;2.0
479;Men;Post-secondary education;2003;218;157;153;4.0;61.0;72.2;70.5;2.3;133.0;128.0;5.0;20.0;;7.0;17.0;130.0;;;33.0;17.0;44.0;12.0;9.0;;21.0;9.0;4.0;2.0
480;Men;Post-secondary education;2004;201;145;141;5.0;56.0;72.3;69.9;3.4;125.0;117.0;7.0;16.0;;6.0;15.0;120.0;;;21.0;12.0;40.0;13.0;10.0;;23.0;14.0;5.0;
481;Men;Post-secondary education;2005;204;141;134;6.0;64.0;68.9;65.8;4.5;115.0;108.0;7.0;19.0;;7.0;14.0;114.0;;;23.0;15.0;34.0;14.0;8.0;2.0;22.0;10.0;4.0;2.0
482;Men;Post-secondary education;2006;211;150;147;3.0;61.0;71.2;69.6;2.2;126.0;120.0;6.0;20.0;;6.0;14.0;126.0;;;24.0;13.0;38.0;14.0;11.0;;24.0;13.0;6.0;
483;Men;College and university educ., 1st stage;2000;1406;1156;1134;23.0;250.0;82.2;80.6;2.0;962.0;901.0;61.0;170.0;2.0;44.0;140.0;950.0;;5.0;239.0;572.0;186.0;42.0;24.0;2.0;17.0;13.0;10.0;25.0
484;Men;College and university educ., 1st stage;2001;1371;1119;1105;14.0;252.0;81.6;80.6;1.3;939.0;894.0;46.0;164.0;2.0;38.0;122.0;946.0;;5.0;242.0;560.0;174.0;41.0;25.0;2.0;14.0;13.0;8.0;20.0
485;Men;College and university educ., 1st stage;2002;1447;1200;1174;26.0;246.0;83.0;81.2;2.2;1012.0;959.0;53.0;162.0;;52.0;154.0;966.0;2.0;6.0;248.0;616.0;181.0;37.0;33.0;2.0;16.0;11.0;9.0;14.0
486;Men;College and university educ., 1st stage;2003;1539;1255;1213;42.0;284.0;81.5;78.8;3.3;1028.0;968.0;60.0;184.0;;55.0;162.0;994.0;2.0;7.0;262.0;597.0;203.0;46.0;30.0;3.0;18.0;12.0;12.0;23.0
487;Men;College and university educ., 1st stage;2004;1651;1312;1265;47.0;339.0;79.4;76.6;3.6;1057.0;998.0;60.0;205.0;3.0;61.0;159.0;1043.0;2.0;9.0;208.0;627.0;254.0;53.0;42.0;4.0;29.0;20.0;18.0;2.0
488;Men;College and university educ., 1st stage;2005;1613;1284;1244;40.0;330.0;79.6;77.1;3.1;1045.0;979.0;66.0;198.0;;67.0;164.0;1011.0;2.0;6.0;216.0;613.0;238.0;56.0;43.0;2.0;27.0;14.0;14.0;16.0
489;Men;College and university educ., 1st stage;2006;1616;1273;1242;31.0;343.0;78.8;76.9;2.4;1027.0;966.0;60.0;214.0;2.0;64.0;169.0;1009.0;;6.0;230.0;603.0;236.0;52.0;41.0;3.0;21.0;15.0;15.0;20.0
490;Men;College and university educ., 2nd stage;2000;30;25;25;;5.0;83.7;82.8;;22.0;20.0;2.0;3.0;;;4.0;19.0;;;5.0;18.0;;;;;;;;
491;Men;College and university educ., 2nd stage;2001;28;23;23;;4.0;84.0;82.6;;19.0;18.0;;4.0;;;4.0;19.0;;;4.0;18.0;;;;;;;;
492;Men;College and university educ., 2nd stage;2002;27;22;22;;5.0;81.5;81.0;;18.0;17.0;;3.0;;;2.0;19.0;;;3.0;18.0;;;;;;;;
493;Men;College and university educ., 2nd stage;2003;26;21;20;;5.0;80.0;78.0;;17.0;17.0;;3.0;;;2.0;18.0;;;3.0;16.0;;;;;;;;
494;Men;College and university educ., 2nd stage;2004;46;39;38;;8.0;83.3;82.1;;31.0;30.0;;7.0;;;4.0;33.0;;;6.0;29.0;3.0;;;;;;;
495;Men;College and university educ., 2nd stage;2005;52;44;43;;9.0;83.6;81.8;;33.0;32.0;2.0;9.0;;2.0;5.0;36.0;;;6.0;30.0;4.0;;;;;;;
496;Men;College and university educ., 2nd stage;2006;47;41;41;;5.0;88.3;88.0;;32.0;30.0;;10.0;;2.0;5.0;35.0;;;6.0;31.0;3.0;;;;;;;
497;Men;Education unknown;2000;32;23;23;;9.0;73.0;71.1;;20.0;18.0;2.0;3.0;;;3.0;19.0;;;4.0;;3.0;;2.0;;6.0;4.0;;
498;Men;Education unknown;2001;36;26;26;;10.0;71.9;70.4;;22.0;19.0;3.0;3.0;;;3.0;22.0;;;2.0;2.0;2.0;;2.0;;6.0;4.0;4.0;
499;Men;Education unknown;2002;25;17;17;;8.0;69.1;68.7;;14.0;13.0;;2.0;;;2.0;15.0;;;2.0;;2.0;;;;4.0;2.0;2.0;
500;Men;Education unknown;2003;26;19;18;;7.0;73.4;71.6;;16.0;14.0;2.0;2.0;;;2.0;16.0;;;3.0;;3.0;;;;4.0;3.0;2.0;
501;Men;Education unknown;2004;52;33;29;4.0;20.0;62.1;55.0;11.3;23.0;19.0;4.0;6.0;;;3.0;24.0;;;3.0;;2.0;;;;5.0;6.0;6.0;3.0
502;Men;Education unknown;2005;40;25;24;;15.0;61.8;59.3;;19.0;17.0;2.0;5.0;;;3.0;20.0;;;2.0;;;;3.0;;5.0;6.0;4.0;
503;Men;Education unknown;2006;48;30;28;2.0;18.0;62.4;57.4;8.0;23.0;20.0;4.0;4.0;;;2.0;25.0;;;4.0;;3.0;;2.0;;5.0;6.0;4.0;2.0
504;Women;Total personal characteristics;2000;6461;3474;3339;135.0;2987.0;53.8;51.7;3.9;2998.0;2490.0;508.0;295.0;46.0;1056.0;1241.0;1041.0;2.0;3.0;270.0;548.0;672.0;626.0;662.0;41.0;39.0;55.0;309.0;115.0
505;Women;Total personal characteristics;2001;6510;3531;3411;121.0;2979.0;54.2;52.4;3.4;3091.0;2617.0;474.0;282.0;38.0;1071.0;1285.0;1053.0;2.0;3.0;258.0;569.0;727.0;659.0;690.0;35.0;44.0;61.0;335.0;30.0
506;Women;Total personal characteristics;2002;6555;3585;3456;129.0;2969.0;54.7;52.7;3.6;3139.0;2679.0;460.0;276.0;40.0;1093.0;1358.0;997.0;8.0;4.0;251.0;604.0;744.0;667.0;687.0;31.0;42.0;54.0;332.0;40.0
507;Women;Total personal characteristics;2003;6591;3650;3485;165.0;2941.0;55.4;52.9;4.5;3167.0;2738.0;430.0;284.0;34.0;1097.0;1390.0;989.0;10.0;3.0;263.0;627.0;777.0;639.0;681.0;31.0;40.0;55.0;326.0;44.0
508;Women;Total personal characteristics;2004;6624;3692;3499;193.0;2932.0;55.7;52.8;5.2;3168.0;2715.0;453.0;298.0;32.0;1115.0;1406.0;967.0;10.0;3.0;186.0;706.0;728.0;664.0;763.0;27.0;29.0;56.0;324.0;12.0
509;Women;Total personal characteristics;2005;6653;3748;3538;210.0;2905.0;56.3;53.2;5.6;3200.0;2722.0;477.0;304.0;35.0;1138.0;1444.0;947.0;9.0;3.0;198.0;699.0;731.0;686.0;737.0;30.0;43.0;49.0;337.0;25.0
510;Women;Total personal characteristics;2006;6681;3802;3618;184.0;2879.0;56.9;54.1;4.8;3258.0;2741.0;517.0;324.0;35.0;1128.0;1484.0;990.0;15.0;3.0;233.0;714.0;741.0;677.0;766.0;31.0;32.0;49.0;339.0;32.0
511;Women;15-24 yrs;2000;921;645;600;45.0;276.0;70.0;65.1;7.0;584.0;366.0;217.0;15.0;2.0;276.0;122.0;202.0;;;11.0;35.0;80.0;138.0;200.0;12.0;8.0;11.0;68.0;36.0
512;Women;15-24 yrs;2001;929;654;614;40.0;275.0;70.4;66.1;6.1;600.0;396.0;205.0;12.0;;281.0;131.0;201.0;;2.0;13.0;37.0;91.0;145.0;208.0;14.0;8.0;9.0;83.0;5.0
513;Women;15-24 yrs;2002;938;657;620;37.0;281.0;70.1;66.1;5.6;606.0;395.0;212.0;13.0;2.0;290.0;140.0;188.0;2.0;2.0;10.0;37.0;92.0;141.0;225.0;7.0;8.0;9.0;81.0;8.0
514;Women;15-24 yrs;2003;945;654;602;51.0;291.0;69.2;63.8;7.8;590.0;391.0;199.0;11.0;2.0;290.0;137.0;173.0;3.0;;11.0;40.0;86.0;130.0;221.0;11.0;6.0;7.0;84.0;5.0
515;Women;15-24 yrs;2004;950;654;596;58.0;296.0;68.9;62.8;8.8;583.0;371.0;211.0;12.0;;301.0;124.0;168.0;3.0;2.0;8.0;40.0;83.0;115.0;237.0;10.0;4.0;7.0;88.0;
516;Women;15-24 yrs;2005;954;650;587;63.0;303.0;68.2;61.5;9.7;571.0;341.0;230.0;14.0;2.0;310.0;129.0;144.0;3.0;;8.0;41.0;80.0;119.0;227.0;10.0;6.0;5.0;88.0;2.0
517;Women;15-24 yrs;2006;958;655;601;54.0;303.0;68.3;62.7;8.3;582.0;329.0;253.0;16.0;2.0;324.0;121.0;150.0;6.0;;7.0;38.0;78.0;124.0;234.0;10.0;5.0;4.0;94.0;4.0
518;Women;25-34 yrs;2000;1207;964;935;30.0;243.0;79.9;77.4;3.1;878.0;793.0;86.0;50.0;7.0;181.0;340.0;413.0;;;75.0;178.0;228.0;178.0;163.0;7.0;12.0;15.0;59.0;20.0
519;Women;25-34 yrs;2001;1184;941;917;24.0;243.0;79.5;77.5;2.6;863.0;786.0;77.0;50.0;4.0;174.0;335.0;408.0;;;65.0;187.0;247.0;177.0;147.0;5.0;12.0;17.0;49.0;11.0
520;Women;25-34 yrs;2002;1159;916;889;26.0;244.0;79.0;76.7;2.9;838.0;770.0;68.0;45.0;7.0;174.0;339.0;375.0;2.0;2.0;66.0;192.0;231.0;172.0;135.0;6.0;11.0;14.0;50.0;11.0
521;Women;25-34 yrs;2003;1132;920;883;37.0;213.0;81.2;78.0;4.0;834.0;778.0;56.0;45.0;5.0;165.0;347.0;370.0;2.0;;64.0;201.0;241.0;150.0;135.0;6.0;10.0;11.0;50.0;14.0
522;Women;25-34 yrs;2004;1100;894;853;41.0;206.0;81.3;77.5;4.6;806.0;741.0;65.0;43.0;4.0;159.0;335.0;357.0;2.0;;45.0;224.0;207.0;158.0;144.0;4.0;6.0;14.0;46.0;4.0
523;Women;25-34 yrs;2005;1068;882;838;44.0;186.0;82.6;78.5;4.9;793.0;720.0;73.0;40.0;5.0;152.0;336.0;349.0;;;40.0;216.0;202.0;156.0;145.0;4.0;10.0;11.0;45.0;7.0
524;Women;25-34 yrs;2006;1040;863;831;32.0;178.0;82.9;79.9;3.7;780.0;704.0;77.0;47.0;4.0;138.0;339.0;352.0;;;50.0;218.0;191.0;149.0;150.0;5.0;7.0;11.0;42.0;10.0
525;Women;35-44 yrs;2000;1246;923;891;32.0;323.0;74.1;71.5;3.5;789.0;688.0;101.0;88.0;14.0;285.0;392.0;215.0;;;81.0;170.0;207.0;154.0;138.0;9.0;7.0;16.0;82.0;25.0
526;Women;35-44 yrs;2001;1260;954;925;29.0;306.0;75.7;73.4;3.0;830.0;739.0;92.0;83.0;11.0;296.0;413.0;216.0;;;83.0;169.0;218.0;173.0;153.0;8.0;12.0;16.0;85.0;8.0
527;Women;35-44 yrs;2002;1269;961;928;33.0;308.0;75.7;73.1;3.4;831.0;747.0;85.0;85.0;11.0;286.0;431.0;208.0;2.0;;76.0;180.0;227.0;173.0;147.0;8.0;10.0;15.0;83.0;9.0
528;Women;35-44 yrs;2003;1276;974;933;40.0;302.0;76.3;73.1;4.2;839.0;763.0;76.0;85.0;9.0;291.0;428.0;211.0;2.0;;85.0;186.0;230.0;169.0;140.0;6.0;10.0;16.0;81.0;11.0
529;Women;35-44 yrs;2004;1282;990;942;48.0;292.0;77.2;73.5;4.9;836.0;757.0;78.0;96.0;10.0;294.0;434.0;210.0;3.0;;57.0;204.0;222.0;185.0;168.0;7.0;8.0;15.0;73.0;3.0
530;Women;35-44 yrs;2005;1288;1011;959;53.0;276.0;78.5;74.5;5.2;855.0;779.0;77.0;92.0;12.0;289.0;454.0;214.0;;;64.0;201.0;216.0;192.0;163.0;7.0;13.0;16.0;78.0;7.0
531;Women;35-44 yrs;2006;1288;1019;972;47.0;269.0;79.1;75.5;4.6;859.0;779.0;80.0;103.0;10.0;287.0;453.0;230.0;2.0;;72.0;200.0;231.0;186.0;163.0;6.0;10.0;17.0;79.0;8.0
532;Women;45-54 yrs;2000;1127;718;694;25.0;409.0;63.7;61.5;3.4;589.0;511.0;78.0;89.0;16.0;217.0;310.0;165.0;;;69.0;123.0;127.0;123.0;128.0;10.0;10.0;9.0;73.0;20.0
533;Women;45-54 yrs;2001;1134;741;718;23.0;394.0;65.3;63.3;3.1;618.0;545.0;73.0;88.0;13.0;219.0;320.0;179.0;;;68.0;130.0;137.0;128.0;135.0;6.0;8.0;15.0;86.0;5.0
534;Women;45-54 yrs;2002;1128;765;739;26.0;363.0;67.8;65.5;3.4;648.0;586.0;63.0;79.0;11.0;217.0;346.0;174.0;2.0;;64.0;142.0;151.0;138.0;127.0;5.0;10.0;13.0;81.0;7.0
535;Women;45-54 yrs;2003;1128;793;765;28.0;335.0;70.3;67.8;3.5;672.0;611.0;61.0;81.0;12.0;221.0;367.0;176.0;;;68.0;143.0;171.0;140.0;130.0;5.0;9.0;14.0;75.0;9.0
536;Women;45-54 yrs;2004;1135;809;776;33.0;326.0;71.3;68.4;4.1;684.0;624.0;61.0;81.0;11.0;226.0;378.0;171.0;;;48.0;169.0;159.0;150.0;148.0;5.0;7.0;14.0;75.0;2.0
537;Women;45-54 yrs;2005;1147;832;797;36.0;315.0;72.5;69.4;4.3;699.0;636.0;62.0;88.0;10.0;230.0;391.0;173.0;2.0;;56.0;164.0;171.0;157.0;134.0;6.0;10.0;13.0;80.0;6.0
538;Women;45-54 yrs;2006;1162;855;820;35.0;307.0;73.6;70.6;4.0;721.0;654.0;66.0;89.0;10.0;222.0;413.0;184.0;2.0;;70.0;175.0;174.0;151.0;145.0;5.0;7.0;11.0;76.0;7.0
539;Women;55-64 yrs;2000;792;206;202;4.0;586.0;26.0;25.5;1.8;152.0;130.0;22.0;42.0;7.0;82.0;76.0;44.0;;;28.0;37.0;29.0;34.0;30.0;3.0;2.0;3.0;25.0;10.0
540;Women;55-64 yrs;2001;825;225;221;4.0;600.0;27.2;26.7;1.8;174.0;148.0;26.0;39.0;7.0;91.0;82.0;47.0;;;25.0;42.0;32.0;36.0;44.0;2.0;3.0;4.0;31.0;
541;Women;55-64 yrs;2002;872;265;258;6.0;607.0;30.3;29.6;2.4;208.0;179.0;28.0;43.0;8.0;111.0;97.0;50.0;;;29.0;50.0;38.0;42.0;50.0;3.0;3.0;4.0;35.0;5.0
542;Women;55-64 yrs;2003;911;285;277;8.0;626.0;31.3;30.4;2.9;221.0;190.0;31.0;49.0;7.0;114.0;106.0;55.0;2.0;;29.0;53.0;47.0;46.0;50.0;2.0;5.0;6.0;33.0;5.0
543;Women;55-64 yrs;2004;942;320;309;11.0;622.0;34.0;32.8;3.3;248.0;218.0;30.0;56.0;5.0;123.0;129.0;56.0;;;25.0;64.0;54.0;53.0;63.0;2.0;4.0;6.0;38.0;
544;Women;55-64 yrs;2005;968;348;334;14.0;620.0;35.9;34.5;4.0;273.0;241.0;32.0;54.0;7.0;139.0;129.0;65.0;;;26.0;70.0;59.0;60.0;65.0;3.0;4.0;5.0;40.0;3.0
545;Women;55-64 yrs;2006;992;383;368;15.0;609.0;38.6;37.1;4.0;305.0;269.0;35.0;57.0;7.0;137.0;155.0;72.0;3.0;;31.0;76.0;66.0;64.0;70.0;4.0;3.0;6.0;45.0;3.0
546;Women;65-74 yrs;2000;637;15;15;;622.0;2.4;2.4;;4.0;2.0;3.0;10.0;;12.0;;2.0;;;4.0;3.0;;;3.0;;;;2.0;2.0
547;Women;65-74 yrs;2001;639;15;14;;624.0;2.3;2.2;;5.0;3.0;2.0;9.0;;9.0;3.0;;;;3.0;4.0;2.0;;2.0;;;;;
548;Women;65-74 yrs;2002;641;18;18;;623.0;2.9;2.8;;8.0;3.0;5.0;9.0;;12.0;4.0;;;;5.0;2.0;3.0;2.0;3.0;;;;2.0;
549;Women;65-74 yrs;2003;645;22;22;;623.0;3.5;3.3;;11.0;4.0;7.0;10.0;;14.0;4.0;3.0;;;5.0;2.0;3.0;4.0;3.0;;;;3.0;
550;Women;65-74 yrs;2004;651;22;20;2.0;629.0;3.4;3.0;10.4;11.0;4.0;7.0;8.0;;11.0;5.0;3.0;;;2.0;5.0;;3.0;2.0;;;;4.0;
551;Women;65-74 yrs;2005;657;22;22;;634.0;3.4;3.3;;8.0;5.0;3.0;14.0;;16.0;4.0;;;;3.0;5.0;3.0;2.0;2.0;;;;5.0;
552;Women;65-74 yrs;2006;661;24;22;;637.0;3.6;3.4;;12.0;6.0;5.0;9.0;2.0;17.0;4.0;;;;3.0;6.0;2.0;3.0;4.0;;;;3.0;
553;Women;75 yrs and older;2000;530;2;2;;528.0;0.4;0.4;;;;;;;2.0;;;;;;;;;;;;;;
554;Women;75 yrs and older;2001;540;2;2;;537.0;0.4;0.4;;;;;2.0;;;;;;;;;;;;;;;;
555;Women;75 yrs and older;2002;548;4;4;;544.0;0.7;0.7;;;;;3.0;;2.0;;;;;;;;;;;;;;
556;Women;75 yrs and older;2003;555;3;3;;552.0;0.6;0.6;;;;;3.0;;2.0;;;;;;;;;;;;;;
557;Women;75 yrs and older;2004;564;3;3;;562.0;0.5;0.5;;;;;2.0;;2.0;;;;;;;;;;;;;;
558;Women;75 yrs and older;2005;572;2;2;;570.0;0.4;0.4;;;;;2.0;;2.0;;;;;;;;;;;;;;
559;Women;75 yrs and older;2006;579;3;3;;576.0;0.5;0.5;;;;;2.0;;2.0;;;;;;;;;;;;;;
560;Women;15 - 19 yrs;2000;450;274;244;30.0;176.0;60.9;54.3;10.9;236.0;120.0;116.0;7.0;;179.0;33.0;32.0;;;2.0;;12.0;56.0;98.0;7.0;3.0;4.0;41.0;20.0
561;Women;15 - 19 yrs;2001;453;279;255;25.0;174.0;61.6;56.2;8.9;248.0;133.0;114.0;6.0;;185.0;37.0;32.0;;;;;16.0;61.0;102.0;9.0;2.0;2.0;59.0;
562;Women;15 - 19 yrs;2002;460;274;250;24.0;185.0;59.7;54.3;8.9;244.0;125.0;118.0;6.0;;185.0;39.0;25.0;;;;2.0;14.0;53.0;111.0;5.0;2.0;2.0;55.0;3.0
563;Women;15 - 19 yrs;2003;467;274;242;32.0;193.0;58.6;51.7;11.7;235.0;125.0;110.0;5.0;;186.0;33.0;22.0;2.0;;;;12.0;52.0;107.0;7.0;2.0;2.0;55.0;
564;Women;15 - 19 yrs;2004;473;275;243;33.0;198.0;58.2;51.3;11.8;235.0;117.0;118.0;6.0;;191.0;28.0;22.0;2.0;;;2.0;12.0;42.0;118.0;6.0;;2.0;58.0;
565;Women;15 - 19 yrs;2005;479;274;236;38.0;205.0;57.3;49.3;13.9;230.0;101.0;129.0;6.0;;191.0;27.0;16.0;2.0;;;2.0;12.0;49.0;102.0;6.0;2.0;2.0;61.0;
566;Women;15 - 19 yrs;2006;484;282;247;35.0;202.0;58.3;50.9;12.6;238.0;102.0;136.0;7.0;;200.0;27.0;17.0;3.0;;;;12.0;47.0;114.0;7.0;2.0;2.0;61.0;
567;Women;20 - 24 yrs;2000;472;371;356;15.0;101.0;78.7;75.5;4.1;348.0;247.0;101.0;8.0;;97.0;88.0;170.0;;;10.0;34.0;68.0;81.0;102.0;5.0;5.0;7.0;27.0;16.0
568;Women;20 - 24 yrs;2001;475;375;359;15.0;101.0;78.8;75.6;4.1;352.0;262.0;90.0;6.0;;96.0;94.0;169.0;;;12.0;36.0;75.0;84.0;106.0;5.0;6.0;6.0;24.0;4.0
569;Women;20 - 24 yrs;2002;478;383;370;12.0;95.0;80.1;77.5;3.2;363.0;270.0;93.0;7.0;;105.0;100.0;164.0;;;9.0;36.0;77.0;87.0;114.0;3.0;6.0;6.0;26.0;5.0
570;Women;20 - 24 yrs;2003;477;380;361;19.0;98.0;79.6;75.6;5.0;355.0;266.0;89.0;5.0;;104.0;104.0;151.0;;;9.0;39.0;74.0;78.0;115.0;4.0;4.0;4.0;29.0;4.0
571;Women;20 - 24 yrs;2004;476;379;354;25.0;98.0;79.5;74.2;6.6;347.0;254.0;93.0;6.0;;110.0;97.0;146.0;;;7.0;38.0;71.0;73.0;119.0;4.0;3.0;5.0;30.0;
572;Women;20 - 24 yrs;2005;475;376;351;25.0;99.0;79.2;73.9;6.7;341.0;240.0;101.0;9.0;;119.0;103.0;128.0;;;7.0;39.0;68.0;71.0;125.0;3.0;4.0;3.0;27.0;2.0
573;Women;20 - 24 yrs;2006;474;373;354;19.0;101.0;78.6;74.6;5.1;343.0;227.0;116.0;9.0;;124.0;94.0;133.0;3.0;;6.0;37.0;65.0;77.0;120.0;3.0;3.0;3.0;34.0;4.0
574;Women;25 - 29 yrs;2000;566;468;452;15.0;98.0;82.7;80.0;3.3;433.0;389.0;44.0;18.0;;64.0;146.0;242.0;;;32.0;90.0;101.0;91.0;83.0;3.0;7.0;7.0;27.0;10.0
575;Women;25 - 29 yrs;2001;541;444;433;11.0;97.0;82.0;80.0;2.5;417.0;380.0;37.0;14.0;;58.0;136.0;238.0;;;25.0;90.0;122.0;83.0;71.0;3.0;5.0;8.0;20.0;7.0
576;Women;25 - 29 yrs;2002;520;419;405;14.0;101.0;80.6;77.8;3.4;389.0;354.0;35.0;13.0;2.0;59.0;134.0;211.0;;;23.0;91.0;107.0;78.0;62.0;3.0;5.0;7.0;22.0;4.0
577;Women;25 - 29 yrs;2003;505;423;404;19.0;82.0;83.7;80.1;4.4;389.0;360.0;29.0;14.0;;55.0;143.0;206.0;;;25.0;94.0;112.0;69.0;64.0;2.0;5.0;5.0;22.0;6.0
578;Women;25 - 29 yrs;2004;496;417;395;22.0;80.0;84.0;79.5;5.3;380.0;345.0;36.0;13.0;2.0;53.0;142.0;199.0;;;16.0;107.0;98.0;74.0;68.0;2.0;3.0;6.0;19.0;2.0
579;Women;25 - 29 yrs;2005;493;415;391;24.0;78.0;84.2;79.4;5.7;378.0;337.0;41.0;11.0;2.0;55.0;139.0;197.0;;;14.0;102.0;96.0;69.0;74.0;2.0;4.0;5.0;20.0;4.0
580;Women;25 - 29 yrs;2006;493;418;403;15.0;75.0;84.9;81.7;3.7;385.0;341.0;43.0;16.0;2.0;51.0;150.0;201.0;;;21.0;106.0;95.0;70.0;79.0;2.0;2.0;4.0;19.0;5.0
581;Women;30 - 34 yrs;2000;642;496;482;14.0;145.0;77.4;75.2;2.8;445.0;403.0;42.0;32.0;6.0;118.0;193.0;171.0;;;43.0;88.0;126.0;87.0;80.0;4.0;4.0;7.0;32.0;10.0
582;Women;30 - 34 yrs;2001;643;498;484;13.0;145.0;77.4;75.4;2.6;446.0;406.0;40.0;35.0;3.0;115.0;198.0;170.0;;;40.0;97.0;125.0;94.0;76.0;2.0;7.0;9.0;29.0;4.0
583;Women;30 - 34 yrs;2002;639;497;485;12.0;143.0;77.7;75.8;2.4;448.0;416.0;32.0;32.0;5.0;115.0;206.0;163.0;;;42.0;100.0;124.0;93.0;73.0;4.0;6.0;7.0;28.0;6.0
584;Women;30 - 34 yrs;2003;627;497;479;18.0;130.0;79.2;76.3;3.6;445.0;418.0;27.0;31.0;3.0;109.0;205.0;164.0;;;39.0;107.0;129.0;81.0;71.0;4.0;6.0;7.0;28.0;8.0
